YouTube Search interest: adele
United States; Jan 2008 - Jul 2015

Interest over time
Week,adele
2009-03-22 - 2009-03-28,2
2009-03-29 - 2009-04-04,2
2009-04-05 - 2009-04-11,1
2009-04-12 - 2009-04-18,1
2009-04-19 - 2009-04-25,1
2009-04-26 - 2009-05-02,1
2009-05-03 - 2009-05-09,1
2009-05-10 - 2009-05-16,1
2009-05-17 - 2009-05-23,1
2009-05-24 - 2009-05-30,1
2009-05-31 - 2009-06-06,1
2009-06-07 - 2009-06-13,1
2009-06-14 - 2009-06-20,2
2009-06-21 - 2009-06-27,2
2009-06-28 - 2009-07-04,1
2009-07-05 - 2009-07-11,1
2009-07-12 - 2009-07-18,1
2009-07-19 - 2009-07-25,1
2009-07-26 - 2009-08-01,1
2009-08-02 - 2009-08-08,1
2009-08-09 - 2009-08-15,1
2009-08-16 - 2009-08-22,1
2009-08-23 - 2009-08-29,1
2009-08-30 - 2009-09-05,1
2009-09-06 - 2009-09-12,1
2009-09-13 - 2009-09-19,2
2009-09-20 - 2009-09-26,2
2009-09-27 - 2009-10-03,1
2009-10-04 - 2009-10-10,1
2009-10-11 - 2009-10-17,1
2009-10-18 - 2009-10-24,1
2009-10-25 - 2009-10-31,1
2009-11-01 - 2009-11-07,1
2009-11-08 - 2009-11-14,1
2009-11-15 - 2009-11-21,1
2009-11-22 - 2009-11-28,1
2009-11-29 - 2009-12-05,1
2009-12-06 - 2009-12-12,1
2009-12-13 - 2009-12-19,1
2009-12-20 - 2009-12-26,1
2009-12-27 - 2010-01-02,1
2010-01-03 - 2010-01-09,1
2010-01-10 - 2010-01-16,1
2010-01-17 - 2010-01-23,1
2010-01-24 - 2010-01-30,1
2010-01-31 - 2010-02-06,1
2010-02-07 - 2010-02-13,1
2010-02-14 - 2010-02-20,1
2010-02-21 - 2010-02-27,1
2010-02-28 - 2010-03-06,1
2010-03-07 - 2010-03-13,1
2010-03-14 - 2010-03-20,1
2010-03-21 - 2010-03-27,1
2010-03-28 - 2010-04-03,1
2010-04-04 - 2010-04-10,1
2010-04-11 - 2010-04-17,1
2010-04-18 - 2010-04-24,1
2010-04-25 - 2010-05-01,1
2010-05-02 - 2010-05-08,1
2010-05-09 - 2010-05-15,1
2010-05-16 - 2010-05-22,1
2010-05-23 - 2010-05-29,1
2010-05-30 - 2010-06-05,1
2010-06-06 - 2010-06-12,1
2010-06-13 - 2010-06-19,1
2010-06-20 - 2010-06-26,1
2010-06-27 - 2010-07-03,1
2010-07-04 - 2010-07-10,1
2010-07-11 - 2010-07-17,1
2010-07-18 - 2010-07-24,1
2010-07-25 - 2010-07-31,1
2010-08-01 - 2010-08-07,1
2010-08-08 - 2010-08-14,1
2010-08-15 - 2010-08-21,1
2010-08-22 - 2010-08-28,1
2010-08-29 - 2010-09-04,1
2010-09-05 - 2010-09-11,1
2010-09-12 - 2010-09-18,1
2010-09-19 - 2010-09-25,1
2010-09-26 - 2010-10-02,1
2010-10-03 - 2010-10-09,1
2010-10-10 - 2010-10-16,1
2010-10-17 - 2010-10-23,1
2010-10-24 - 2010-10-30,1
2010-10-31 - 2010-11-06,1
2010-11-07 - 2010-11-13,1
2010-11-14 - 2010-11-20,1
2010-11-21 - 2010-11-27,1
2010-11-28 - 2010-12-04,2
2010-12-05 - 2010-12-11,3
2010-12-12 - 2010-12-18,3
2010-12-19 - 2010-12-25,2
2010-12-26 - 2011-01-01,2
2011-01-02 - 2011-01-08,3
2011-01-09 - 2011-01-15,3
2011-01-16 - 2011-01-22,4
2011-01-23 - 2011-01-29,5
2011-01-30 - 2011-02-05,5
2011-02-06 - 2011-02-12,6
2011-02-13 - 2011-02-19,9
2011-02-20 - 2011-02-26,14
2011-02-27 - 2011-03-05,17
2011-03-06 - 2011-03-12,15
2011-03-13 - 2011-03-19,13
2011-03-20 - 2011-03-26,13
2011-03-27 - 2011-04-02,15
2011-04-03 - 2011-04-09,16
2011-04-10 - 2011-04-16,19
2011-04-17 - 2011-04-23,29
2011-04-24 - 2011-04-30,31
2011-05-01 - 2011-05-07,32
2011-05-08 - 2011-05-14,36
2011-05-15 - 2011-05-21,35
2011-05-22 - 2011-05-28,31
2011-05-29 - 2011-06-04,30
2011-06-05 - 2011-06-11,29
2011-06-12 - 2011-06-18,27
2011-06-19 - 2011-06-25,25
2011-06-26 - 2011-07-02,23
2011-07-03 - 2011-07-09,23
2011-07-10 - 2011-07-16,25
2011-07-17 - 2011-07-23,23
2011-07-24 - 2011-07-30,25
2011-07-31 - 2011-08-06,24
2011-08-07 - 2011-08-13,25
2011-08-14 - 2011-08-20,27
2011-08-21 - 2011-08-27,28
2011-08-28 - 2011-09-03,58
2011-09-04 - 2011-09-10,52
2011-09-11 - 2011-09-17,51
2011-09-18 - 2011-09-24,52
2011-09-25 - 2011-10-01,59
2011-10-02 - 2011-10-08,63
2011-10-09 - 2011-10-15,57
2011-10-16 - 2011-10-22,51
2011-10-23 - 2011-10-29,51
2011-10-30 - 2011-11-05,47
2011-11-06 - 2011-11-12,47
2011-11-13 - 2011-11-19,51
2011-11-20 - 2011-11-26,50
2011-11-27 - 2011-12-03,48
2011-12-04 - 2011-12-10,43
2011-12-11 - 2011-12-17,46
2011-12-18 - 2011-12-24,48
2011-12-25 - 2011-12-31,45
2012-01-01 - 2012-01-07,42
2012-01-08 - 2012-01-14,44
2012-01-15 - 2012-01-21,44
2012-01-22 - 2012-01-28,41
2012-01-29 - 2012-02-04,43
2012-02-05 - 2012-02-11,47
2012-02-12 - 2012-02-18,100
2012-02-19 - 2012-02-25,58
2012-02-26 - 2012-03-03,50
2012-03-04 - 2012-03-10,45
2012-03-11 - 2012-03-17,41
2012-03-18 - 2012-03-24,40
2012-03-25 - 2012-03-31,35
2012-04-01 - 2012-04-07,32
2012-04-08 - 2012-04-14,29
2012-04-15 - 2012-04-21,27
2012-04-22 - 2012-04-28,27
2012-04-29 - 2012-05-05,25
2012-05-06 - 2012-05-12,23
2012-05-13 - 2012-05-19,24
2012-05-20 - 2012-05-26,22
2012-05-27 - 2012-06-02,21
2012-06-03 - 2012-06-09,22
2012-06-10 - 2012-06-16,20
2012-06-17 - 2012-06-23,17
2012-06-24 - 2012-06-30,17
2012-07-01 - 2012-07-07,16
2012-07-08 - 2012-07-14,15
2012-07-15 - 2012-07-21,15
2012-07-22 - 2012-07-28,14
2012-07-29 - 2012-08-04,13
2012-08-05 - 2012-08-11,13
2012-08-12 - 2012-08-18,13
2012-08-19 - 2012-08-25,13
2012-08-26 - 2012-09-01,12
2012-09-02 - 2012-09-08,12
2012-09-09 - 2012-09-15,12
2012-09-16 - 2012-09-22,12
2012-09-23 - 2012-09-29,12
2012-09-30 - 2012-10-06,19
2012-10-07 - 2012-10-13,20
2012-10-14 - 2012-10-20,16
2012-10-21 - 2012-10-27,15
2012-10-28 - 2012-11-03,14
2012-11-04 - 2012-11-10,15
2012-11-11 - 2012-11-17,18
2012-11-18 - 2012-11-24,16
2012-11-25 - 2012-12-01,15
2012-12-02 - 2012-12-08,13
2012-12-09 - 2012-12-15,12
2012-12-16 - 2012-12-22,12
2012-12-23 - 2012-12-29,12
2012-12-30 - 2013-01-05,12
2013-01-06 - 2013-01-12,11
2013-01-13 - 2013-01-19,14
2013-01-20 - 2013-01-26,11
2013-01-27 - 2013-02-02,11
2013-02-03 - 2013-02-09,10
2013-02-10 - 2013-02-16,13
2013-02-17 - 2013-02-23,11
2013-02-24 - 2013-03-02,18
2013-03-03 - 2013-03-09,12
2013-03-10 - 2013-03-16,11
2013-03-17 - 2013-03-23,10
2013-03-24 - 2013-03-30,10
2013-03-31 - 2013-04-06,9
2013-04-07 - 2013-04-13,9
2013-04-14 - 2013-04-20,9
2013-04-21 - 2013-04-27,9
2013-04-28 - 2013-05-04,8
2013-05-05 - 2013-05-11,8
2013-05-12 - 2013-05-18,9
2013-05-19 - 2013-05-25,8
2013-05-26 - 2013-06-01,8
2013-06-02 - 2013-06-08,8
2013-06-09 - 2013-06-15,7
2013-06-16 - 2013-06-22,7
2013-06-23 - 2013-06-29,7
2013-06-30 - 2013-07-06,7
2013-07-07 - 2013-07-13,7
2013-07-14 - 2013-07-20,6
2013-07-21 - 2013-07-27,6
2013-07-28 - 2013-08-03,6
2013-08-04 - 2013-08-10,6
2013-08-11 - 2013-08-17,7
2013-08-18 - 2013-08-24,6
2013-08-25 - 2013-08-31,6
2013-09-01 - 2013-09-07,6
2013-09-08 - 2013-09-14,6
2013-09-15 - 2013-09-21,6
2013-09-22 - 2013-09-28,6
2013-09-29 - 2013-10-05,6
2013-10-06 - 2013-10-12,7
2013-10-13 - 2013-10-19,7
2013-10-20 - 2013-10-26,6
2013-10-27 - 2013-11-02,6
2013-11-03 - 2013-11-09,6
2013-11-10 - 2013-11-16,6
2013-11-17 - 2013-11-23,6
2013-11-24 - 2013-11-30,6
2013-12-01 - 2013-12-07,5
2013-12-08 - 2013-12-14,5
2013-12-15 - 2013-12-21,5
2013-12-22 - 2013-12-28,5
2013-12-29 - 2014-01-04,5
2014-01-05 - 2014-01-11,5
2014-01-12 - 2014-01-18,5
2014-01-19 - 2014-01-25,5
2014-01-26 - 2014-02-01,5
2014-02-02 - 2014-02-08,5
2014-02-09 - 2014-02-15,5
2014-02-16 - 2014-02-22,5
2014-02-23 - 2014-03-01,5
2014-03-02 - 2014-03-08,6
2014-03-09 - 2014-03-15,5
2014-03-16 - 2014-03-22,5
2014-03-23 - 2014-03-29,5
2014-03-30 - 2014-04-05,5
2014-04-06 - 2014-04-12,5
2014-04-13 - 2014-04-19,4
2014-04-20 - 2014-04-26,5
2014-04-27 - 2014-05-03,5
2014-05-04 - 2014-05-10,5
2014-05-11 - 2014-05-17,4
2014-05-18 - 2014-05-24,5
2014-05-25 - 2014-05-31,4
2014-06-01 - 2014-06-07,4
2014-06-08 - 2014-06-14,4
2014-06-15 - 2014-06-21,4
2014-06-22 - 2014-06-28,4
2014-06-29 - 2014-07-05,4
2014-07-06 - 2014-07-12,4
2014-07-13 - 2014-07-19,4
2014-07-20 - 2014-07-26,4
2014-07-27 - 2014-08-02,4
2014-08-03 - 2014-08-09,4
2014-08-10 - 2014-08-16,4
2014-08-17 - 2014-08-23,4
2014-08-24 - 2014-08-30,4
2014-08-31 - 2014-09-06,4
2014-09-07 - 2014-09-13,4
2014-09-14 - 2014-09-20,4
2014-09-21 - 2014-09-27,4
2014-09-28 - 2014-10-04,5
2014-10-05 - 2014-10-11,4
2014-10-12 - 2014-10-18,4
2014-10-19 - 2014-10-25,4
2014-10-26 - 2014-11-01,4
2014-11-02 - 2014-11-08,4
2014-11-09 - 2014-11-15,4
2014-11-16 - 2014-11-22,3
2014-11-23 - 2014-11-29,3
2014-11-30 - 2014-12-06,4
2014-12-07 - 2014-12-13,4
2014-12-14 - 2014-12-20,3
2014-12-21 - 2014-12-27,3
2014-12-28 - 2015-01-03,3
2015-01-04 - 2015-01-10,3
2015-01-11 - 2015-01-17,4
2015-01-18 - 2015-01-24,4
2015-01-25 - 2015-01-31,4
2015-02-01 - 2015-02-07,4
2015-02-08 - 2015-02-14,4
2015-02-15 - 2015-02-21,3
2015-02-22 - 2015-02-28,3
2015-03-01 - 2015-03-07,4
2015-03-08 - 2015-03-14,3
2015-03-15 - 2015-03-21,4
2015-03-22 - 2015-03-28,3
2015-03-29 - 2015-04-04,3
2015-04-05 - 2015-04-11,3
2015-04-12 - 2015-04-18,3
2015-04-19 - 2015-04-25,3
2015-04-26 - 2015-05-02,3
2015-05-03 - 2015-05-09,3
2015-05-10 - 2015-05-16,3
2015-05-17 - 2015-05-23,4
2015-05-24 - 2015-05-30,3
2015-05-31 - 2015-06-06,3
2015-06-07 - 2015-06-13,3
2015-06-14 - 2015-06-20,3
2015-06-21 - 2015-06-27,3
2015-06-28 - 2015-07-04,3
2015-07-05 - 2015-07-11,3
2015-07-12 - 2015-07-18,3
2015-07-19 - 2015-07-25,3
2015-07-26 - 2015-08-01,3


Top sub-regions for adele
Sub-region,adele
New York,100
Florida,99
West Virginia,97
Indiana,97
Michigan,96
Kentucky,96
Illinois,95
Utah,95
Ohio,95
Iowa,93
South Carolina,93
North Carolina,93
Massachusetts,93
Pennsylvania,92
California,92
Louisiana,91
Arizona,91
Maine,91
Minnesota,91
Texas,91
Tennessee,90
North Dakota,90
Georgia,90
Oklahoma,90
Alabama,90
Wisconsin,89
Maryland,89
Idaho,88
Rhode Island,86
Montana,85
New Hampshire,85
New Jersey,85
Delaware,85
Mississippi,85
Arkansas,85
Hawaii,84
New Mexico,84
Connecticut,83
Nebraska,82
Colorado,82
Kansas,81
South Dakota,81
Vermont,80
Washington,80
Nevada,78
Missouri,77
Oregon,77
Wyoming,70
Alaska,66
District of Columbia,55
Virginia,51


Top metros for adele
Metro,adele
Hattiesburg-Laurel MS,100
Yuma AZ-El Centro CA,98
Abilene-Sweetwater TX,97
El Paso TX,94
Traverse City-Cadillac MI,93
Columbus GA,91
Watertown NY,90
Rockford IL,88
Dayton OH,85
Los Angeles CA,84
Rapid City SD,84
Harrisonburg VA,84
Lexington KY,84
Miami-Ft. Lauderdale FL,83
Bakersfield CA,82
Huntsville-Decatur (Florence) AL,81
Harlingen-Weslaco-Brownsville-McAllen TX,80
Utica NY,80
Missoula MT,80
Lafayette IN,80
Odessa-Midland TX,80
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,79
New York NY,79
Columbia-Jefferson City MO,79
Ft. Myers-Naples FL,79
Joplin MO-Pittsburg KS,79
Salt Lake City UT,78
Springfield MO,78
Davenport IA-Rock Island-Moline IL,78
Eugene OR,78
Peoria-Bloomington IL,78
Charleston SC,78
Chattanooga TN,76
Chico-Redding CA,76
Lansing MI,76
Grand Rapids-Kalamazoo-Battle Creek MI,76
Portland-Auburn ME,76
Monroe LA-El Dorado AR,76
Indianapolis IN,76
Lafayette LA,75
Houston TX,75
Milwaukee WI,75
Wichita Falls TX & Lawton OK,74
Yakima-Pasco-Richland-Kennewick WA,74
Albany-Schenectady-Troy NY,74
Amarillo TX,74
Palm Springs CA,73
Laredo TX,73
Boston MA-Manchester NH,73
Greenville-Spartanburg SC-Asheville NC-Anderson SC,73
Columbus-Tupelo-West Point MS,73
Wichita-Hutchinson KS,73
Phoenix AZ,73
Savannah GA,72
Detroit MI,72
Charleston-Huntington WV,72
Topeka KS,72
Chicago IL,72
Toledo OH,72
Knoxville TN,71
San Antonio TX,71
Duluth MN-Superior WI,71
Monterey-Salinas CA,71
Burlington VT-Plattsburgh NY,71
Orlando-Daytona Beach-Melbourne FL,71
Salisbury MD,71
Ft. Wayne IN,70
Gainesville FL,70
Florence-Myrtle Beach SC,70
Minneapolis-St. Paul MN,70
Macon GA,70
Columbia SC,70
Raleigh-Durham (Fayetteville) NC,70
Nashville TN,70
Montgomery (Selma) AL,70
San Diego CA,70
Springfield-Holyoke MA,70
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,70
Champaign & Springfield-Decatur IL,69
Evansville IN,69
Providence RI-New Bedford MA,69
Buffalo NY,69
Santa Barbara-Santa Maria-San Luis Obispo CA,69
Baton Rouge LA,69
Charlotte NC,69
Biloxi-Gulfport MS,69
Fargo-Valley City ND,69
Tallahassee FL-Thomasville GA,69
Wilkes Barre-Scranton PA,68
Jacksonville FL,68
Green Bay-Appleton WI,68
Greensboro-High Point-Winston Salem NC,68
Tampa-St. Petersburg (Sarasota) FL,68
Minot-Bismarck-Dickinson(Williston) ND,67
Albuquerque-Santa Fe NM,67
Johnstown-Altoona PA,67
Terre Haute IN,67
Memphis TN,67
Columbus OH,67
Louisville KY,67
Fresno-Visalia CA,66
South Bend-Elkhart IN,66
Atlanta GA,66
Beaumont-Port Arthur TX,66
Idaho Falls-Pocatello ID,66
Sioux City IA,66
Philadelphia PA,66
Mobile AL-Pensacola (Ft. Walton Beach) FL,66
Greenville-New Bern-Washington NC,66
Wilmington NC,66
Youngstown OH,66
Boise ID,66
Hartford & New Haven CT,65
Little Rock-Pine Bluff AR,65
Cincinnati OH,65
Lubbock TX,65
Shreveport LA,65
New Orleans LA,65
La Crosse-Eau Claire WI,65
Baltimore MD,65
Harrisburg-Lancaster-Lebanon-York PA,65
Austin TX,65
Ft. Smith-Fayetteville-Springdale-Rogers AR,65
Wausau-Rhinelander WI,64
Syracuse NY,64
Binghamton NY,64
Tri-Cities TN-VA,64
Sioux Falls(Mitchell) SD,64
Birmingham AL,64
Corpus Christi TX,63
Cleveland-Akron (Canton) OH,63
Tulsa OK,63
Honolulu HI,63
Rochester NY,63
Waco-Temple-Bryan TX,62
Colorado Springs-Pueblo CO,62
Flint-Saginaw-Bay City MI,62
Des Moines-Ames IA,62
Norfolk-Portsmouth-Newport News VA,62
Sacramento-Stockton-Modesto CA,62
Oklahoma City OK,62
Albany GA,62
Omaha NE,62
Lincoln & Hastings-Kearney NE,62
Bowling Green KY,61
Spokane WA,61
Charlottesville VA,61
Bangor ME,61
Madison WI,61
Tucson (Sierra Vista) AZ,61
Denver CO,61
Pittsburgh PA,61
Richmond-Petersburg VA,60
Kansas City MO,60
Seattle-Tacoma WA,60
Rochester MN-Mason City IA-Austin MN,60
West Palm Beach-Ft. Pierce FL,60
Roanoke-Lynchburg VA,60
Panama City FL,59
Las Vegas NV,59
Dallas-Ft. Worth TX,58
Augusta GA,57
Erie PA,57
Medford-Klamath Falls OR,57
Reno NV,56
Tyler-Longview(Lufkin & Nacogdoches) TX,56
St. Louis MO,55
Portland OR,54
Anchorage AK,53
Jackson MS,49
San Francisco-Oakland-San Jose CA,43
Washington DC (Hagerstown MD),39
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Elmira NY,0
Alpena MI,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Dothan AL,0
Victoria TX,0
Ottumwa IA-Kirksville MO,0
St. Joseph MO,0
Jackson TN,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Sherman TX-Ada OK,0
San Angelo TX,0
Meridian MS,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jonesboro AR,0
Mankato MN,0
North Platte NE,0
Fairbanks AK,0
Juneau AK,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Helena MT,0
Casper-Riverton WY,0
Grand Junction-Montrose CO,0
Glendive MT,0
Eureka CA,0
Bend OR,0


Top cities for adele
Town/City,adele
Hialeah,100
San Antonio,56
New York,55
Houston,54
Las Vegas,49
Los Angeles,49
Philadelphia,47
Denver,46
San Jose,45
Austin,45
Columbus,45
Portland,44
Phoenix,44
San Diego,44
Chicago,43



Top searches for adele
someone like you,100
adele lyrics,70
rumor has it,15
skyfall adele,10
skyfall,10
adele karaoke,10
turning tables adele,10
karaoke,10
turning tables,10
adele live,10
rihanna,10
chasing pavements adele,10
bruno mars,10
adele cover,10
chasing pavements,10
adele songs,10
nicki minaj,5
beyonce,5
katy perry,5
love song adele,5
adele remix,5
lady gaga,5
hometown adele,5
glee,5
glee adele,5
hometown glory adele,5
selena gomez,5
maroon 5,5
super bass,5
demi lovato,5
kelly clarkson,5
adele 21,5
how to love,5
adele grammy,5
it will rain,0
moves like jagger,0
adele interview,0
adele skyfall lyrics,0
christina aguilera,0
amy winehouse,0
lmfao,0
adele dubstep,0
jar of hearts,0
david guetta,0
we found love,0
pumped up kicks,0



Rising searches for adele
adele karaoke,Breakout
adele live,Breakout
adele lyrics,Breakout
bruno mars,Breakout
chasing pavements adele,Breakout
karaoke,Breakout
rihanna,Breakout
rumor has it,Breakout
skyfall,Breakout
skyfall adele,Breakout



