YouTube Search interest: prince royce
United States; Jan 2008 - Jul 2015

Interest over time
Week,prince royce
2009-03-22 - 2009-03-28,0
2009-03-29 - 2009-04-04,0
2009-04-05 - 2009-04-11,0
2009-04-12 - 2009-04-18,0
2009-04-19 - 2009-04-25,0
2009-04-26 - 2009-05-02,0
2009-05-03 - 2009-05-09,0
2009-05-10 - 2009-05-16,0
2009-05-17 - 2009-05-23,0
2009-05-24 - 2009-05-30,0
2009-05-31 - 2009-06-06,0
2009-06-07 - 2009-06-13,0
2009-06-14 - 2009-06-20,0
2009-06-21 - 2009-06-27,0
2009-06-28 - 2009-07-04,0
2009-07-05 - 2009-07-11,0
2009-07-12 - 2009-07-18,0
2009-07-19 - 2009-07-25,0
2009-07-26 - 2009-08-01,0
2009-08-02 - 2009-08-08,0
2009-08-09 - 2009-08-15,0
2009-08-16 - 2009-08-22,0
2009-08-23 - 2009-08-29,0
2009-08-30 - 2009-09-05,0
2009-09-06 - 2009-09-12,0
2009-09-13 - 2009-09-19,0
2009-09-20 - 2009-09-26,0
2009-09-27 - 2009-10-03,0
2009-10-04 - 2009-10-10,0
2009-10-11 - 2009-10-17,0
2009-10-18 - 2009-10-24,0
2009-10-25 - 2009-10-31,0
2009-11-01 - 2009-11-07,0
2009-11-08 - 2009-11-14,0
2009-11-15 - 2009-11-21,0
2009-11-22 - 2009-11-28,0
2009-11-29 - 2009-12-05,0
2009-12-06 - 2009-12-12,0
2009-12-13 - 2009-12-19,0
2009-12-20 - 2009-12-26,1
2009-12-27 - 2010-01-02,1
2010-01-03 - 2010-01-09,2
2010-01-10 - 2010-01-16,2
2010-01-17 - 2010-01-23,2
2010-01-24 - 2010-01-30,3
2010-01-31 - 2010-02-06,3
2010-02-07 - 2010-02-13,4
2010-02-14 - 2010-02-20,5
2010-02-21 - 2010-02-27,5
2010-02-28 - 2010-03-06,9
2010-03-07 - 2010-03-13,11
2010-03-14 - 2010-03-20,14
2010-03-21 - 2010-03-27,13
2010-03-28 - 2010-04-03,15
2010-04-04 - 2010-04-10,17
2010-04-11 - 2010-04-17,21
2010-04-18 - 2010-04-24,23
2010-04-25 - 2010-05-01,27
2010-05-02 - 2010-05-08,29
2010-05-09 - 2010-05-15,30
2010-05-16 - 2010-05-22,30
2010-05-23 - 2010-05-29,31
2010-05-30 - 2010-06-05,33
2010-06-06 - 2010-06-12,33
2010-06-13 - 2010-06-19,34
2010-06-20 - 2010-06-26,36
2010-06-27 - 2010-07-03,34
2010-07-04 - 2010-07-10,38
2010-07-11 - 2010-07-17,44
2010-07-18 - 2010-07-24,46
2010-07-25 - 2010-07-31,36
2010-08-01 - 2010-08-07,37
2010-08-08 - 2010-08-14,37
2010-08-15 - 2010-08-21,38
2010-08-22 - 2010-08-28,38
2010-08-29 - 2010-09-04,38
2010-09-05 - 2010-09-11,43
2010-09-12 - 2010-09-18,35
2010-09-19 - 2010-09-25,48
2010-09-26 - 2010-10-02,45
2010-10-03 - 2010-10-09,44
2010-10-10 - 2010-10-16,50
2010-10-17 - 2010-10-23,57
2010-10-24 - 2010-10-30,50
2010-10-31 - 2010-11-06,48
2010-11-07 - 2010-11-13,62
2010-11-14 - 2010-11-20,64
2010-11-21 - 2010-11-27,64
2010-11-28 - 2010-12-04,56
2010-12-05 - 2010-12-11,55
2010-12-12 - 2010-12-18,54
2010-12-19 - 2010-12-25,60
2010-12-26 - 2011-01-01,62
2011-01-02 - 2011-01-08,56
2011-01-09 - 2011-01-15,59
2011-01-16 - 2011-01-22,65
2011-01-23 - 2011-01-29,68
2011-01-30 - 2011-02-05,68
2011-02-06 - 2011-02-12,63
2011-02-13 - 2011-02-19,79
2011-02-20 - 2011-02-26,81
2011-02-27 - 2011-03-05,71
2011-03-06 - 2011-03-12,76
2011-03-13 - 2011-03-19,88
2011-03-20 - 2011-03-26,80
2011-03-27 - 2011-04-02,82
2011-04-03 - 2011-04-09,80
2011-04-10 - 2011-04-16,83
2011-04-17 - 2011-04-23,83
2011-04-24 - 2011-04-30,83
2011-05-01 - 2011-05-07,89
2011-05-08 - 2011-05-14,85
2011-05-15 - 2011-05-21,88
2011-05-22 - 2011-05-28,90
2011-05-29 - 2011-06-04,92
2011-06-05 - 2011-06-11,100
2011-06-12 - 2011-06-18,86
2011-06-19 - 2011-06-25,79
2011-06-26 - 2011-07-02,76
2011-07-03 - 2011-07-09,70
2011-07-10 - 2011-07-16,73
2011-07-17 - 2011-07-23,81
2011-07-24 - 2011-07-30,86
2011-07-31 - 2011-08-06,77
2011-08-07 - 2011-08-13,71
2011-08-14 - 2011-08-20,72
2011-08-21 - 2011-08-27,66
2011-08-28 - 2011-09-03,65
2011-09-04 - 2011-09-10,64
2011-09-11 - 2011-09-17,69
2011-09-18 - 2011-09-24,78
2011-09-25 - 2011-10-01,73
2011-10-02 - 2011-10-08,76
2011-10-09 - 2011-10-15,77
2011-10-16 - 2011-10-22,77
2011-10-23 - 2011-10-29,76
2011-10-30 - 2011-11-05,79
2011-11-06 - 2011-11-12,92
2011-11-13 - 2011-11-19,91
2011-11-20 - 2011-11-26,83
2011-11-27 - 2011-12-03,79
2011-12-04 - 2011-12-10,71
2011-12-11 - 2011-12-17,69
2011-12-18 - 2011-12-24,74
2011-12-25 - 2011-12-31,71
2012-01-01 - 2012-01-07,76
2012-01-08 - 2012-01-14,73
2012-01-15 - 2012-01-21,78
2012-01-22 - 2012-01-28,77
2012-01-29 - 2012-02-04,78
2012-02-05 - 2012-02-11,78
2012-02-12 - 2012-02-18,86
2012-02-19 - 2012-02-25,84
2012-02-26 - 2012-03-03,76
2012-03-04 - 2012-03-10,70
2012-03-11 - 2012-03-17,70
2012-03-18 - 2012-03-24,68
2012-03-25 - 2012-03-31,64
2012-04-01 - 2012-04-07,62
2012-04-08 - 2012-04-14,77
2012-04-15 - 2012-04-21,68
2012-04-22 - 2012-04-28,71
2012-04-29 - 2012-05-05,75
2012-05-06 - 2012-05-12,73
2012-05-13 - 2012-05-19,80
2012-05-20 - 2012-05-26,74
2012-05-27 - 2012-06-02,71
2012-06-03 - 2012-06-09,69
2012-06-10 - 2012-06-16,69
2012-06-17 - 2012-06-23,68
2012-06-24 - 2012-06-30,66
2012-07-01 - 2012-07-07,62
2012-07-08 - 2012-07-14,59
2012-07-15 - 2012-07-21,67
2012-07-22 - 2012-07-28,65
2012-07-29 - 2012-08-04,57
2012-08-05 - 2012-08-11,56
2012-08-12 - 2012-08-18,54
2012-08-19 - 2012-08-25,53
2012-08-26 - 2012-09-01,52
2012-09-02 - 2012-09-08,52
2012-09-09 - 2012-09-15,50
2012-09-16 - 2012-09-22,47
2012-09-23 - 2012-09-29,51
2012-09-30 - 2012-10-06,50
2012-10-07 - 2012-10-13,49
2012-10-14 - 2012-10-20,47
2012-10-21 - 2012-10-27,47
2012-10-28 - 2012-11-03,42
2012-11-04 - 2012-11-10,44
2012-11-11 - 2012-11-17,46
2012-11-18 - 2012-11-24,51
2012-11-25 - 2012-12-01,40
2012-12-02 - 2012-12-08,41
2012-12-09 - 2012-12-15,36
2012-12-16 - 2012-12-22,35
2012-12-23 - 2012-12-29,40
2012-12-30 - 2013-01-05,37
2013-01-06 - 2013-01-12,34
2013-01-13 - 2013-01-19,37
2013-01-20 - 2013-01-26,35
2013-01-27 - 2013-02-02,35
2013-02-03 - 2013-02-09,32
2013-02-10 - 2013-02-16,33
2013-02-17 - 2013-02-23,37
2013-02-24 - 2013-03-02,34
2013-03-03 - 2013-03-09,37
2013-03-10 - 2013-03-16,36
2013-03-17 - 2013-03-23,36
2013-03-24 - 2013-03-30,35
2013-03-31 - 2013-04-06,33
2013-04-07 - 2013-04-13,31
2013-04-14 - 2013-04-20,33
2013-04-21 - 2013-04-27,37
2013-04-28 - 2013-05-04,37
2013-05-05 - 2013-05-11,38
2013-05-12 - 2013-05-18,40
2013-05-19 - 2013-05-25,38
2013-05-26 - 2013-06-01,36
2013-06-02 - 2013-06-08,36
2013-06-09 - 2013-06-15,37
2013-06-16 - 2013-06-22,33
2013-06-23 - 2013-06-29,31
2013-06-30 - 2013-07-06,31
2013-07-07 - 2013-07-13,29
2013-07-14 - 2013-07-20,41
2013-07-21 - 2013-07-27,44
2013-07-28 - 2013-08-03,51
2013-08-04 - 2013-08-10,50
2013-08-11 - 2013-08-17,51
2013-08-18 - 2013-08-24,59
2013-08-25 - 2013-08-31,53
2013-09-01 - 2013-09-07,52
2013-09-08 - 2013-09-14,49
2013-09-15 - 2013-09-21,48
2013-09-22 - 2013-09-28,51
2013-09-29 - 2013-10-05,46
2013-10-06 - 2013-10-12,61
2013-10-13 - 2013-10-19,56
2013-10-20 - 2013-10-26,57
2013-10-27 - 2013-11-02,51
2013-11-03 - 2013-11-09,51
2013-11-10 - 2013-11-16,46
2013-11-17 - 2013-11-23,45
2013-11-24 - 2013-11-30,49
2013-12-01 - 2013-12-07,42
2013-12-08 - 2013-12-14,42
2013-12-15 - 2013-12-21,46
2013-12-22 - 2013-12-28,42
2013-12-29 - 2014-01-04,38
2014-01-05 - 2014-01-11,36
2014-01-12 - 2014-01-18,35
2014-01-19 - 2014-01-25,39
2014-01-26 - 2014-02-01,43
2014-02-02 - 2014-02-08,42
2014-02-09 - 2014-02-15,41
2014-02-16 - 2014-02-22,42
2014-02-23 - 2014-03-01,43
2014-03-02 - 2014-03-08,40
2014-03-09 - 2014-03-15,36
2014-03-16 - 2014-03-22,40
2014-03-23 - 2014-03-29,41
2014-03-30 - 2014-04-05,38
2014-04-06 - 2014-04-12,41
2014-04-13 - 2014-04-19,36
2014-04-20 - 2014-04-26,43
2014-04-27 - 2014-05-03,43
2014-05-04 - 2014-05-10,45
2014-05-11 - 2014-05-17,39
2014-05-18 - 2014-05-24,36
2014-05-25 - 2014-05-31,37
2014-06-01 - 2014-06-07,31
2014-06-08 - 2014-06-14,28
2014-06-15 - 2014-06-21,27
2014-06-22 - 2014-06-28,28
2014-06-29 - 2014-07-05,23
2014-07-06 - 2014-07-12,25
2014-07-13 - 2014-07-19,27
2014-07-20 - 2014-07-26,28
2014-07-27 - 2014-08-02,26
2014-08-03 - 2014-08-09,27
2014-08-10 - 2014-08-16,25
2014-08-17 - 2014-08-23,29
2014-08-24 - 2014-08-30,25
2014-08-31 - 2014-09-06,28
2014-09-07 - 2014-09-13,30
2014-09-14 - 2014-09-20,27
2014-09-21 - 2014-09-27,28
2014-09-28 - 2014-10-04,29
2014-10-05 - 2014-10-11,28
2014-10-12 - 2014-10-18,29
2014-10-19 - 2014-10-25,25
2014-10-26 - 2014-11-01,26
2014-11-02 - 2014-11-08,26
2014-11-09 - 2014-11-15,25
2014-11-16 - 2014-11-22,26
2014-11-23 - 2014-11-29,25
2014-11-30 - 2014-12-06,25
2014-12-07 - 2014-12-13,30
2014-12-14 - 2014-12-20,28
2014-12-21 - 2014-12-27,28
2014-12-28 - 2015-01-03,26
2015-01-04 - 2015-01-10,30
2015-01-11 - 2015-01-17,32
2015-01-18 - 2015-01-24,34
2015-01-25 - 2015-01-31,39
2015-02-01 - 2015-02-07,37
2015-02-08 - 2015-02-14,37
2015-02-15 - 2015-02-21,33
2015-02-22 - 2015-02-28,33
2015-03-01 - 2015-03-07,32
2015-03-08 - 2015-03-14,28
2015-03-15 - 2015-03-21,23
2015-03-22 - 2015-03-28,24
2015-03-29 - 2015-04-04,23
2015-04-05 - 2015-04-11,26
2015-04-12 - 2015-04-18,28
2015-04-19 - 2015-04-25,27
2015-04-26 - 2015-05-02,27
2015-05-03 - 2015-05-09,27
2015-05-10 - 2015-05-16,31
2015-05-17 - 2015-05-23,30
2015-05-24 - 2015-05-30,28
2015-05-31 - 2015-06-06,26
2015-06-07 - 2015-06-13,35
2015-06-14 - 2015-06-20,29
2015-06-21 - 2015-06-27,31
2015-06-28 - 2015-07-04,29
2015-07-05 - 2015-07-11,27
2015-07-12 - 2015-07-18,27
2015-07-19 - 2015-07-25,30
2015-07-26 - 2015-08-01,30


Top sub-regions for prince royce
Sub-region,prince royce
New York,100
New Jersey,99
Texas,98
Rhode Island,89
Florida,88
Illinois,75
Connecticut,71
Nevada,66
Massachusetts,64
California,56
Arizona,56
New Mexico,54
North Carolina,49
Maryland,45
District of Columbia,45
Colorado,43
Utah,41
Georgia,40
Delaware,39
Pennsylvania,36
Nebraska,35
Wisconsin,34
Indiana,33
Arkansas,33
Virginia,32
Idaho,31
Kansas,31
Oregon,29
Iowa,28
Minnesota,28
Oklahoma,27
Washington,25
South Carolina,25
Wyoming,23
Tennessee,20
New Hampshire,19
Michigan,19
Louisiana,19
Kentucky,17
Alabama,16
Mississippi,15
Ohio,15
Missouri,14
Vermont,13
South Dakota,10
Hawaii,10
West Virginia,9
Maine,6
Alaska,0
Montana,0
North Dakota,0


Top metros for prince royce
Metro,prince royce
Harlingen-Weslaco-Brownsville-McAllen TX,100
El Paso TX,74
New York NY,69
Houston TX,69
Miami-Ft. Lauderdale FL,65
Ft. Myers-Naples FL,56
Chicago IL,51
Bakersfield CA,49
West Palm Beach-Ft. Pierce FL,46
Providence RI-New Bedford MA,46
Orlando-Daytona Beach-Melbourne FL,40
San Antonio TX,39
Dallas-Ft. Worth TX,39
Fresno-Visalia CA,37
Tampa-St. Petersburg (Sarasota) FL,37
San Diego CA,37
Las Vegas NV,36
Los Angeles CA,35
Hartford & New Haven CT,35
Springfield-Holyoke MA,33
Philadelphia PA,33
Boston MA-Manchester NH,31
Phoenix AZ,30
Waco-Temple-Bryan TX,28
Charlotte NC,28
Raleigh-Durham (Fayetteville) NC,28
Tucson (Sierra Vista) AZ,28
Austin TX,27
Milwaukee WI,27
Albuquerque-Santa Fe NM,26
Greensboro-High Point-Winston Salem NC,25
Omaha NE,25
Atlanta GA,25
Washington DC (Hagerstown MD),24
Salt Lake City UT,23
Sacramento-Stockton-Modesto CA,23
Harrisburg-Lancaster-Lebanon-York PA,22
Denver CO,22
Grand Rapids-Kalamazoo-Battle Creek MI,20
Wilkes Barre-Scranton PA,18
Greenville-Spartanburg SC-Asheville NC-Anderson SC,18
Portland OR,17
Indianapolis IN,17
Minneapolis-St. Paul MN,16
San Francisco-Oakland-San Jose CA,16
Nashville TN,13
Seattle-Tacoma WA,13
Baltimore MD,12
Kansas City MO,11
Cleveland-Akron (Canton) OH,8
Detroit MI,8
Portland-Auburn ME,0
Binghamton NY,0
Macon GA,0
Savannah GA,0
Pittsburgh PA,0
Ft. Wayne IN,0
Flint-Saginaw-Bay City MI,0
Buffalo NY,0
Cincinnati OH,0
Erie PA,0
Charleston SC,0
Augusta GA,0
Columbus GA,0
Burlington VT-Plattsburgh NY,0
Albany GA,0
Utica NY,0
Louisville KY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Albany-Schenectady-Troy NY,0
Columbus OH,0
Youngstown OH,0
Bangor ME,0
Rochester NY,0
Traverse City-Cadillac MI,0
Lexington KY,0
Dayton OH,0
Norfolk-Portsmouth-Newport News VA,0
Greenville-New Bern-Washington NC,0
Columbia SC,0
Toledo OH,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Syracuse NY,0
Richmond-Petersburg VA,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Jacksonville FL,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Roanoke-Lynchburg VA,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
St. Louis MO,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Springfield MO,0
New Orleans LA,0
Sioux City IA,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Birmingham AL,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Memphis TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Oklahoma City OK,0
Lubbock TX,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Madison WI,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Tulsa OK,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Wichita-Hutchinson KS,0
Des Moines-Ames IA,0
Davenport IA-Rock Island-Moline IL,0
Mobile AL-Pensacola (Ft. Walton Beach) FL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Little Rock-Pine Bluff AR,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Honolulu HI,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Colorado Springs-Pueblo CO,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for prince royce
Town/City,prince royce
Paterson,100
Hialeah,59
McAllen,51
Houston,37
New York,33
El Paso,32
Providence,30
Newark,24
Miami,23
Chicago,22
Dallas,20
San Antonio,20
Las Vegas,18
Los Angeles,16
Boston,16



Top searches for prince royce
prince royce lyrics,100
corazon sin cara,80
el amor,75
stand by me,65
romeo,35
beso prince royce,35
darte un beso,30
prince royce incondicional,30
mana,25
romeo santos,25
mana prince royce,25
aventura,25
prince royce bachata,20
bachata,20
tu y yo,15
daddy yankee,15
ven conmigo,15
addicted,15
addicted prince royce,15
prince royce mix,15
promise,10
prince royce songs,10
prince royce promise,10
wisin y yandel,10
don omar,10
daddy y yankee,10
rechazame prince royce,10
prince royce 2012,10
chino y nacho,5
prince royce 2013,5
xtreme,5
prince royce karaoke,5
danza kuduro,5
plan b,5
romeo santos you,5
tito el bambino,5
crazy prince royce,5
romeo santos promise,5
prince royce live,5
prince royce 2014,5
toby love,5
bachata mix,5
propuesta indecente,5



Rising searches for prince royce
aventura,Breakout
bachata,Breakout
beso prince royce,Breakout
corazon sin cara,Breakout
darte un beso,Breakout
el amor,Breakout
mana,Breakout
mana prince royce,Breakout
prince royce bachata,Breakout
prince royce incondicional,Breakout



