YouTube Search interest: armin van buuren
United States; Jan 2008 - Jul 2015

Interest over time
Week,armin van buuren
2009-04-05 - 2009-04-11,46
2009-04-12 - 2009-04-18,38
2009-04-19 - 2009-04-25,44
2009-04-26 - 2009-05-02,43
2009-05-03 - 2009-05-09,42
2009-05-10 - 2009-05-16,38
2009-05-17 - 2009-05-23,42
2009-05-24 - 2009-05-30,40
2009-05-31 - 2009-06-06,40
2009-06-07 - 2009-06-13,43
2009-06-14 - 2009-06-20,46
2009-06-21 - 2009-06-27,32
2009-06-28 - 2009-07-04,39
2009-07-05 - 2009-07-11,37
2009-07-12 - 2009-07-18,34
2009-07-19 - 2009-07-25,41
2009-07-26 - 2009-08-01,38
2009-08-02 - 2009-08-08,52
2009-08-09 - 2009-08-15,41
2009-08-16 - 2009-08-22,39
2009-08-23 - 2009-08-29,47
2009-08-30 - 2009-09-05,54
2009-09-06 - 2009-09-12,54
2009-09-13 - 2009-09-19,45
2009-09-20 - 2009-09-26,50
2009-09-27 - 2009-10-03,46
2009-10-04 - 2009-10-10,53
2009-10-11 - 2009-10-17,56
2009-10-18 - 2009-10-24,55
2009-10-25 - 2009-10-31,56
2009-11-01 - 2009-11-07,66
2009-11-08 - 2009-11-14,57
2009-11-15 - 2009-11-21,48
2009-11-22 - 2009-11-28,48
2009-11-29 - 2009-12-05,61
2009-12-06 - 2009-12-12,53
2009-12-13 - 2009-12-19,57
2009-12-20 - 2009-12-26,44
2009-12-27 - 2010-01-02,46
2010-01-03 - 2010-01-09,54
2010-01-10 - 2010-01-16,53
2010-01-17 - 2010-01-23,55
2010-01-24 - 2010-01-30,56
2010-01-31 - 2010-02-06,47
2010-02-07 - 2010-02-13,50
2010-02-14 - 2010-02-20,55
2010-02-21 - 2010-02-27,54
2010-02-28 - 2010-03-06,56
2010-03-07 - 2010-03-13,51
2010-03-14 - 2010-03-20,38
2010-03-21 - 2010-03-27,51
2010-03-28 - 2010-04-03,60
2010-04-04 - 2010-04-10,56
2010-04-11 - 2010-04-17,60
2010-04-18 - 2010-04-24,50
2010-04-25 - 2010-05-01,59
2010-05-02 - 2010-05-08,50
2010-05-09 - 2010-05-15,59
2010-05-16 - 2010-05-22,54
2010-05-23 - 2010-05-29,51
2010-05-30 - 2010-06-05,54
2010-06-06 - 2010-06-12,42
2010-06-13 - 2010-06-19,52
2010-06-20 - 2010-06-26,60
2010-06-27 - 2010-07-03,58
2010-07-04 - 2010-07-10,62
2010-07-11 - 2010-07-17,55
2010-07-18 - 2010-07-24,55
2010-07-25 - 2010-07-31,53
2010-08-01 - 2010-08-07,46
2010-08-08 - 2010-08-14,61
2010-08-15 - 2010-08-21,57
2010-08-22 - 2010-08-28,59
2010-08-29 - 2010-09-04,65
2010-09-05 - 2010-09-11,77
2010-09-12 - 2010-09-18,75
2010-09-19 - 2010-09-25,63
2010-09-26 - 2010-10-02,64
2010-10-03 - 2010-10-09,56
2010-10-10 - 2010-10-16,60
2010-10-17 - 2010-10-23,64
2010-10-24 - 2010-10-30,68
2010-10-31 - 2010-11-06,67
2010-11-07 - 2010-11-13,65
2010-11-14 - 2010-11-20,66
2010-11-21 - 2010-11-27,62
2010-11-28 - 2010-12-04,65
2010-12-05 - 2010-12-11,62
2010-12-12 - 2010-12-18,69
2010-12-19 - 2010-12-25,63
2010-12-26 - 2011-01-01,56
2011-01-02 - 2011-01-08,49
2011-01-09 - 2011-01-15,45
2011-01-16 - 2011-01-22,43
2011-01-23 - 2011-01-29,49
2011-01-30 - 2011-02-05,42
2011-02-06 - 2011-02-12,44
2011-02-13 - 2011-02-19,41
2011-02-20 - 2011-02-26,47
2011-02-27 - 2011-03-05,43
2011-03-06 - 2011-03-12,47
2011-03-13 - 2011-03-19,45
2011-03-20 - 2011-03-26,45
2011-03-27 - 2011-04-02,52
2011-04-03 - 2011-04-09,50
2011-04-10 - 2011-04-16,49
2011-04-17 - 2011-04-23,43
2011-04-24 - 2011-04-30,52
2011-05-01 - 2011-05-07,42
2011-05-08 - 2011-05-14,48
2011-05-15 - 2011-05-21,60
2011-05-22 - 2011-05-28,50
2011-05-29 - 2011-06-04,53
2011-06-05 - 2011-06-11,41
2011-06-12 - 2011-06-18,40
2011-06-19 - 2011-06-25,47
2011-06-26 - 2011-07-02,52
2011-07-03 - 2011-07-09,55
2011-07-10 - 2011-07-16,55
2011-07-17 - 2011-07-23,44
2011-07-24 - 2011-07-30,44
2011-07-31 - 2011-08-06,51
2011-08-07 - 2011-08-13,51
2011-08-14 - 2011-08-20,49
2011-08-21 - 2011-08-27,55
2011-08-28 - 2011-09-03,52
2011-09-04 - 2011-09-10,58
2011-09-11 - 2011-09-17,53
2011-09-18 - 2011-09-24,50
2011-09-25 - 2011-10-01,53
2011-10-02 - 2011-10-08,52
2011-10-09 - 2011-10-15,47
2011-10-16 - 2011-10-22,46
2011-10-23 - 2011-10-29,43
2011-10-30 - 2011-11-05,43
2011-11-06 - 2011-11-12,44
2011-11-13 - 2011-11-19,44
2011-11-20 - 2011-11-26,43
2011-11-27 - 2011-12-03,40
2011-12-04 - 2011-12-10,43
2011-12-11 - 2011-12-17,42
2011-12-18 - 2011-12-24,42
2011-12-25 - 2011-12-31,36
2012-01-01 - 2012-01-07,41
2012-01-08 - 2012-01-14,40
2012-01-15 - 2012-01-21,38
2012-01-22 - 2012-01-28,43
2012-01-29 - 2012-02-04,44
2012-02-05 - 2012-02-11,39
2012-02-12 - 2012-02-18,40
2012-02-19 - 2012-02-25,41
2012-02-26 - 2012-03-03,43
2012-03-04 - 2012-03-10,36
2012-03-11 - 2012-03-17,41
2012-03-18 - 2012-03-24,45
2012-03-25 - 2012-03-31,74
2012-04-01 - 2012-04-07,41
2012-04-08 - 2012-04-14,47
2012-04-15 - 2012-04-21,44
2012-04-22 - 2012-04-28,39
2012-04-29 - 2012-05-05,40
2012-05-06 - 2012-05-12,42
2012-05-13 - 2012-05-19,42
2012-05-20 - 2012-05-26,47
2012-05-27 - 2012-06-02,42
2012-06-03 - 2012-06-09,42
2012-06-10 - 2012-06-16,46
2012-06-17 - 2012-06-23,40
2012-06-24 - 2012-06-30,43
2012-07-01 - 2012-07-07,43
2012-07-08 - 2012-07-14,33
2012-07-15 - 2012-07-21,37
2012-07-22 - 2012-07-28,32
2012-07-29 - 2012-08-04,35
2012-08-05 - 2012-08-11,34
2012-08-12 - 2012-08-18,34
2012-08-19 - 2012-08-25,38
2012-08-26 - 2012-09-01,39
2012-09-02 - 2012-09-08,39
2012-09-09 - 2012-09-15,42
2012-09-16 - 2012-09-22,36
2012-09-23 - 2012-09-29,30
2012-09-30 - 2012-10-06,45
2012-10-07 - 2012-10-13,43
2012-10-14 - 2012-10-20,41
2012-10-21 - 2012-10-27,45
2012-10-28 - 2012-11-03,42
2012-11-04 - 2012-11-10,41
2012-11-11 - 2012-11-17,38
2012-11-18 - 2012-11-24,34
2012-11-25 - 2012-12-01,36
2012-12-02 - 2012-12-08,33
2012-12-09 - 2012-12-15,33
2012-12-16 - 2012-12-22,35
2012-12-23 - 2012-12-29,31
2012-12-30 - 2013-01-05,36
2013-01-06 - 2013-01-12,33
2013-01-13 - 2013-01-19,36
2013-01-20 - 2013-01-26,34
2013-01-27 - 2013-02-02,35
2013-02-03 - 2013-02-09,38
2013-02-10 - 2013-02-16,38
2013-02-17 - 2013-02-23,30
2013-02-24 - 2013-03-02,39
2013-03-03 - 2013-03-09,43
2013-03-10 - 2013-03-16,43
2013-03-17 - 2013-03-23,71
2013-03-24 - 2013-03-30,74
2013-03-31 - 2013-04-06,68
2013-04-07 - 2013-04-13,66
2013-04-14 - 2013-04-20,57
2013-04-21 - 2013-04-27,61
2013-04-28 - 2013-05-04,74
2013-05-05 - 2013-05-11,90
2013-05-12 - 2013-05-18,79
2013-05-19 - 2013-05-25,71
2013-05-26 - 2013-06-01,71
2013-06-02 - 2013-06-08,74
2013-06-09 - 2013-06-15,66
2013-06-16 - 2013-06-22,61
2013-06-23 - 2013-06-29,71
2013-06-30 - 2013-07-06,57
2013-07-07 - 2013-07-13,63
2013-07-14 - 2013-07-20,57
2013-07-21 - 2013-07-27,69
2013-07-28 - 2013-08-03,72
2013-08-04 - 2013-08-10,72
2013-08-11 - 2013-08-17,72
2013-08-18 - 2013-08-24,80
2013-08-25 - 2013-08-31,72
2013-09-01 - 2013-09-07,82
2013-09-08 - 2013-09-14,83
2013-09-15 - 2013-09-21,95
2013-09-22 - 2013-09-28,92
2013-09-29 - 2013-10-05,100
2013-10-06 - 2013-10-12,93
2013-10-13 - 2013-10-19,89
2013-10-20 - 2013-10-26,87
2013-10-27 - 2013-11-02,81
2013-11-03 - 2013-11-09,78
2013-11-10 - 2013-11-16,70
2013-11-17 - 2013-11-23,74
2013-11-24 - 2013-11-30,56
2013-12-01 - 2013-12-07,61
2013-12-08 - 2013-12-14,64
2013-12-15 - 2013-12-21,64
2013-12-22 - 2013-12-28,50
2013-12-29 - 2014-01-04,64
2014-01-05 - 2014-01-11,59
2014-01-12 - 2014-01-18,65
2014-01-19 - 2014-01-25,54
2014-01-26 - 2014-02-01,62
2014-02-02 - 2014-02-08,50
2014-02-09 - 2014-02-15,61
2014-02-16 - 2014-02-22,56
2014-02-23 - 2014-03-01,54
2014-03-02 - 2014-03-08,52
2014-03-09 - 2014-03-15,51
2014-03-16 - 2014-03-22,47
2014-03-23 - 2014-03-29,53
2014-03-30 - 2014-04-05,74
2014-04-06 - 2014-04-12,70
2014-04-13 - 2014-04-19,74
2014-04-20 - 2014-04-26,63
2014-04-27 - 2014-05-03,58
2014-05-04 - 2014-05-10,64
2014-05-11 - 2014-05-17,48
2014-05-18 - 2014-05-24,47
2014-05-25 - 2014-05-31,41
2014-06-01 - 2014-06-07,47
2014-06-08 - 2014-06-14,45
2014-06-15 - 2014-06-21,39
2014-06-22 - 2014-06-28,47
2014-06-29 - 2014-07-05,42
2014-07-06 - 2014-07-12,38
2014-07-13 - 2014-07-19,36
2014-07-20 - 2014-07-26,41
2014-07-27 - 2014-08-02,41
2014-08-03 - 2014-08-09,35
2014-08-10 - 2014-08-16,36
2014-08-17 - 2014-08-23,39
2014-08-24 - 2014-08-30,34
2014-08-31 - 2014-09-06,39
2014-09-07 - 2014-09-13,43
2014-09-14 - 2014-09-20,36
2014-09-21 - 2014-09-27,32
2014-09-28 - 2014-10-04,34
2014-10-05 - 2014-10-11,39
2014-10-12 - 2014-10-18,34
2014-10-19 - 2014-10-25,30
2014-10-26 - 2014-11-01,33
2014-11-02 - 2014-11-08,36
2014-11-09 - 2014-11-15,36
2014-11-16 - 2014-11-22,35
2014-11-23 - 2014-11-29,25
2014-11-30 - 2014-12-06,28
2014-12-07 - 2014-12-13,31
2014-12-14 - 2014-12-20,29
2014-12-21 - 2014-12-27,31
2014-12-28 - 2015-01-03,30
2015-01-04 - 2015-01-10,30
2015-01-11 - 2015-01-17,34
2015-01-18 - 2015-01-24,27
2015-01-25 - 2015-01-31,29
2015-02-01 - 2015-02-07,27
2015-02-08 - 2015-02-14,28
2015-02-15 - 2015-02-21,21
2015-02-22 - 2015-02-28,27
2015-03-01 - 2015-03-07,29
2015-03-08 - 2015-03-14,26
2015-03-15 - 2015-03-21,30
2015-03-22 - 2015-03-28,29
2015-03-29 - 2015-04-04,42
2015-04-05 - 2015-04-11,27
2015-04-12 - 2015-04-18,29
2015-04-19 - 2015-04-25,32
2015-04-26 - 2015-05-02,29
2015-05-03 - 2015-05-09,38
2015-05-10 - 2015-05-16,30
2015-05-17 - 2015-05-23,35
2015-05-24 - 2015-05-30,29
2015-05-31 - 2015-06-06,32
2015-06-07 - 2015-06-13,31
2015-06-14 - 2015-06-20,29
2015-06-21 - 2015-06-27,29
2015-06-28 - 2015-07-04,35
2015-07-05 - 2015-07-11,26
2015-07-12 - 2015-07-18,26
2015-07-19 - 2015-07-25,25
2015-07-26 - 2015-08-01,25


Top sub-regions for armin van buuren
Sub-region,armin van buuren
California,100
Virginia,83
New York,81
New Jersey,76
Florida,71
Colorado,67
Illinois,66
District of Columbia,66
Nevada,65
Massachusetts,64
Connecticut,61
New Mexico,55
Washington,54
Rhode Island,54
Texas,54
Arizona,49
Maryland,48
Utah,48
Pennsylvania,46
Hawaii,45
Delaware,45
Minnesota,44
Oregon,42
New Hampshire,42
Wisconsin,41
Michigan,41
Georgia,36
Kansas,35
Indiana,34
Idaho,33
North Carolina,31
Missouri,30
Ohio,29
Iowa,28
Maine,26
Louisiana,25
Oklahoma,25
Arkansas,25
Mississippi,24
Tennessee,24
South Carolina,24
Nebraska,23
Alabama,21
Kentucky,20
Alaska,0
Montana,0
North Dakota,0
South Dakota,0
Vermont,0
West Virginia,0
Wyoming,0


Top metros for armin van buuren
Metro,armin van buuren
San Francisco-Oakland-San Jose CA,100
Los Angeles CA,93
Miami-Ft. Lauderdale FL,86
Washington DC (Hagerstown MD),85
San Diego CA,79
New York NY,77
Denver CO,65
Chicago IL,64
Houston TX,54
Boston MA-Manchester NH,53
Orlando-Daytona Beach-Melbourne FL,53
Tampa-St. Petersburg (Sarasota) FL,53
Seattle-Tacoma WA,51
Philadelphia PA,48
Detroit MI,45
Phoenix AZ,44
Dallas-Ft. Worth TX,43
Minneapolis-St. Paul MN,41
Atlanta GA,37
Portland-Auburn ME,0
Binghamton NY,0
Macon GA,0
Savannah GA,0
Pittsburgh PA,0
Ft. Wayne IN,0
Cleveland-Akron (Canton) OH,0
Baltimore MD,0
Flint-Saginaw-Bay City MI,0
Buffalo NY,0
Cincinnati OH,0
Erie PA,0
Charlotte NC,0
Greensboro-High Point-Winston Salem NC,0
Charleston SC,0
Augusta GA,0
Providence RI-New Bedford MA,0
Columbus GA,0
Burlington VT-Plattsburgh NY,0
Albany GA,0
Utica NY,0
Indianapolis IN,0
Louisville KY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Albany-Schenectady-Troy NY,0
Hartford & New Haven CT,0
Columbus OH,0
Youngstown OH,0
Bangor ME,0
Rochester NY,0
Traverse City-Cadillac MI,0
Lexington KY,0
Dayton OH,0
Springfield-Holyoke MA,0
Norfolk-Portsmouth-Newport News VA,0
Greenville-New Bern-Washington NC,0
Columbia SC,0
Toledo OH,0
West Palm Beach-Ft. Pierce FL,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Syracuse NY,0
Richmond-Petersburg VA,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Raleigh-Durham (Fayetteville) NC,0
Jacksonville FL,0
Grand Rapids-Kalamazoo-Battle Creek MI,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisburg-Lancaster-Lebanon-York PA,0
Greenville-Spartanburg SC-Asheville NC-Anderson SC,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Roanoke-Lynchburg VA,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Wilkes Barre-Scranton PA,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
St. Louis MO,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Kansas City MO,0
Milwaukee WI,0
Springfield MO,0
New Orleans LA,0
Sioux City IA,0
Waco-Temple-Bryan TX,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Birmingham AL,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Austin TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Memphis TN,0
San Antonio TX,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Oklahoma City OK,0
Lubbock TX,0
Omaha NE,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
Nashville TN,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Madison WI,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Tulsa OK,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Wichita-Hutchinson KS,0
Des Moines-Ames IA,0
Davenport IA-Rock Island-Moline IL,0
Mobile AL-Pensacola (Ft. Walton Beach) FL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Little Rock-Pine Bluff AR,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Honolulu HI,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Colorado Springs-Pueblo CO,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Salt Lake City UT,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Tucson (Sierra Vista) AZ,0
Albuquerque-Santa Fe NM,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Portland OR,0
Bend OR,0
Monterey-Salinas CA,0
Las Vegas NV,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Sacramento-Stockton-Modesto CA,0
Fresno-Visalia CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for armin van buuren
Town/City,armin van buuren
El Paso,100
Milpitas,97
Sterling,93
Irvine,68
Los Angeles,65
Miami,62
New York,59
San Jose,58
San Diego,57
San Francisco,48
Denver,47
Boston,46
Chicago,44
Washington,43
Las Vegas,40



Top searches for armin van buuren
tiesto,100
trance,70
state of trance,35
drowning,30
feels so good,25
dj tiesto,25
dash berlin,25
hardwell,20
paul van dyk,20
atb,20
above and beyond,15
van buren,15
armin van buren,15
nadia ali,15
ferry corsten,15
asot,15
drowning avicii,15
sharon den adel,15
youtopia,10
armin van burren,10
w&w,10
armin only,10
cosmic gate,10
markus schulz,10
sander van doorn,10
gareth emery,5
tomorrowland 2013,5
paul oakenfold,5
sound of goodbye,5
emma hewitt,5
oceanlab,5



Rising searches for armin van buuren
dash berlin,Breakout
dj tiesto,Breakout
drowning,Breakout
feels so good,Breakout
hardwell,Breakout
paul van dyk,Breakout
state of trance,Breakout



