YouTube Search interest: will young
United States; Jan 2008 - Jul 2015

Interest over time
Week,will young
2009-03-22 - 2009-03-28,13
2009-03-29 - 2009-04-04,10
2009-04-05 - 2009-04-11,9
2009-04-12 - 2009-04-18,13
2009-04-19 - 2009-04-25,10
2009-04-26 - 2009-05-02,8
2009-05-03 - 2009-05-09,15
2009-05-10 - 2009-05-16,13
2009-05-17 - 2009-05-23,10
2009-05-24 - 2009-05-30,11
2009-05-31 - 2009-06-06,12
2009-06-07 - 2009-06-13,13
2009-06-14 - 2009-06-20,10
2009-06-21 - 2009-06-27,12
2009-06-28 - 2009-07-04,12
2009-07-05 - 2009-07-11,11
2009-07-12 - 2009-07-18,15
2009-07-19 - 2009-07-25,15
2009-07-26 - 2009-08-01,12
2009-08-02 - 2009-08-08,10
2009-08-09 - 2009-08-15,11
2009-08-16 - 2009-08-22,14
2009-08-23 - 2009-08-29,13
2009-08-30 - 2009-09-05,15
2009-09-06 - 2009-09-12,14
2009-09-13 - 2009-09-19,19
2009-09-20 - 2009-09-26,14
2009-09-27 - 2009-10-03,16
2009-10-04 - 2009-10-10,14
2009-10-11 - 2009-10-17,17
2009-10-18 - 2009-10-24,10
2009-10-25 - 2009-10-31,15
2009-11-01 - 2009-11-07,15
2009-11-08 - 2009-11-14,14
2009-11-15 - 2009-11-21,15
2009-11-22 - 2009-11-28,12
2009-11-29 - 2009-12-05,14
2009-12-06 - 2009-12-12,14
2009-12-13 - 2009-12-19,17
2009-12-20 - 2009-12-26,14
2009-12-27 - 2010-01-02,12
2010-01-03 - 2010-01-09,15
2010-01-10 - 2010-01-16,20
2010-01-17 - 2010-01-23,16
2010-01-24 - 2010-01-30,15
2010-01-31 - 2010-02-06,16
2010-02-07 - 2010-02-13,15
2010-02-14 - 2010-02-20,17
2010-02-21 - 2010-02-27,16
2010-02-28 - 2010-03-06,16
2010-03-07 - 2010-03-13,14
2010-03-14 - 2010-03-20,20
2010-03-21 - 2010-03-27,26
2010-03-28 - 2010-04-03,25
2010-04-04 - 2010-04-10,29
2010-04-11 - 2010-04-17,34
2010-04-18 - 2010-04-24,31
2010-04-25 - 2010-05-01,33
2010-05-02 - 2010-05-08,31
2010-05-09 - 2010-05-15,31
2010-05-16 - 2010-05-22,37
2010-05-23 - 2010-05-29,68
2010-05-30 - 2010-06-05,41
2010-06-06 - 2010-06-12,30
2010-06-13 - 2010-06-19,21
2010-06-20 - 2010-06-26,26
2010-06-27 - 2010-07-03,21
2010-07-04 - 2010-07-10,17
2010-07-11 - 2010-07-17,21
2010-07-18 - 2010-07-24,19
2010-07-25 - 2010-07-31,19
2010-08-01 - 2010-08-07,17
2010-08-08 - 2010-08-14,20
2010-08-15 - 2010-08-21,18
2010-08-22 - 2010-08-28,18
2010-08-29 - 2010-09-04,19
2010-09-05 - 2010-09-11,21
2010-09-12 - 2010-09-18,23
2010-09-19 - 2010-09-25,19
2010-09-26 - 2010-10-02,15
2010-10-03 - 2010-10-09,21
2010-10-10 - 2010-10-16,20
2010-10-17 - 2010-10-23,19
2010-10-24 - 2010-10-30,23
2010-10-31 - 2010-11-06,18
2010-11-07 - 2010-11-13,22
2010-11-14 - 2010-11-20,23
2010-11-21 - 2010-11-27,20
2010-11-28 - 2010-12-04,20
2010-12-05 - 2010-12-11,17
2010-12-12 - 2010-12-18,14
2010-12-19 - 2010-12-25,14
2010-12-26 - 2011-01-01,19
2011-01-02 - 2011-01-08,18
2011-01-09 - 2011-01-15,20
2011-01-16 - 2011-01-22,18
2011-01-23 - 2011-01-29,18
2011-01-30 - 2011-02-05,17
2011-02-06 - 2011-02-12,21
2011-02-13 - 2011-02-19,21
2011-02-20 - 2011-02-26,19
2011-02-27 - 2011-03-05,19
2011-03-06 - 2011-03-12,19
2011-03-13 - 2011-03-19,22
2011-03-20 - 2011-03-26,23
2011-03-27 - 2011-04-02,20
2011-04-03 - 2011-04-09,22
2011-04-10 - 2011-04-16,24
2011-04-17 - 2011-04-23,23
2011-04-24 - 2011-04-30,19
2011-05-01 - 2011-05-07,25
2011-05-08 - 2011-05-14,21
2011-05-15 - 2011-05-21,24
2011-05-22 - 2011-05-28,22
2011-05-29 - 2011-06-04,23
2011-06-05 - 2011-06-11,25
2011-06-12 - 2011-06-18,24
2011-06-19 - 2011-06-25,21
2011-06-26 - 2011-07-02,24
2011-07-03 - 2011-07-09,27
2011-07-10 - 2011-07-16,25
2011-07-17 - 2011-07-23,20
2011-07-24 - 2011-07-30,20
2011-07-31 - 2011-08-06,20
2011-08-07 - 2011-08-13,29
2011-08-14 - 2011-08-20,50
2011-08-21 - 2011-08-27,49
2011-08-28 - 2011-09-03,53
2011-09-04 - 2011-09-10,52
2011-09-11 - 2011-09-17,54
2011-09-18 - 2011-09-24,49
2011-09-25 - 2011-10-01,48
2011-10-02 - 2011-10-08,49
2011-10-09 - 2011-10-15,48
2011-10-16 - 2011-10-22,46
2011-10-23 - 2011-10-29,56
2011-10-30 - 2011-11-05,48
2011-11-06 - 2011-11-12,46
2011-11-13 - 2011-11-19,52
2011-11-20 - 2011-11-26,66
2011-11-27 - 2011-12-03,62
2011-12-04 - 2011-12-10,83
2011-12-11 - 2011-12-17,79
2011-12-18 - 2011-12-24,100
2011-12-25 - 2011-12-31,90
2012-01-01 - 2012-01-07,78
2012-01-08 - 2012-01-14,66
2012-01-15 - 2012-01-21,73
2012-01-22 - 2012-01-28,67
2012-01-29 - 2012-02-04,70
2012-02-05 - 2012-02-11,80
2012-02-12 - 2012-02-18,100
2012-02-19 - 2012-02-25,89
2012-02-26 - 2012-03-03,75
2012-03-04 - 2012-03-10,74
2012-03-11 - 2012-03-17,78
2012-03-18 - 2012-03-24,73
2012-03-25 - 2012-03-31,75
2012-04-01 - 2012-04-07,73
2012-04-08 - 2012-04-14,61
2012-04-15 - 2012-04-21,54
2012-04-22 - 2012-04-28,52
2012-04-29 - 2012-05-05,50
2012-05-06 - 2012-05-12,54
2012-05-13 - 2012-05-19,50
2012-05-20 - 2012-05-26,50
2012-05-27 - 2012-06-02,48
2012-06-03 - 2012-06-09,43
2012-06-10 - 2012-06-16,41
2012-06-17 - 2012-06-23,31
2012-06-24 - 2012-06-30,33
2012-07-01 - 2012-07-07,30
2012-07-08 - 2012-07-14,29
2012-07-15 - 2012-07-21,26
2012-07-22 - 2012-07-28,30
2012-07-29 - 2012-08-04,21
2012-08-05 - 2012-08-11,27
2012-08-12 - 2012-08-18,29
2012-08-19 - 2012-08-25,27
2012-08-26 - 2012-09-01,26
2012-09-02 - 2012-09-08,24
2012-09-09 - 2012-09-15,25
2012-09-16 - 2012-09-22,33
2012-09-23 - 2012-09-29,37
2012-09-30 - 2012-10-06,26
2012-10-07 - 2012-10-13,26
2012-10-14 - 2012-10-20,28
2012-10-21 - 2012-10-27,29
2012-10-28 - 2012-11-03,32
2012-11-04 - 2012-11-10,37
2012-11-11 - 2012-11-17,35
2012-11-18 - 2012-11-24,36
2012-11-25 - 2012-12-01,34
2012-12-02 - 2012-12-08,32
2012-12-09 - 2012-12-15,33
2012-12-16 - 2012-12-22,39
2012-12-23 - 2012-12-29,46
2012-12-30 - 2013-01-05,29
2013-01-06 - 2013-01-12,26
2013-01-13 - 2013-01-19,29
2013-01-20 - 2013-01-26,24
2013-01-27 - 2013-02-02,22
2013-02-03 - 2013-02-09,26
2013-02-10 - 2013-02-16,33
2013-02-17 - 2013-02-23,25
2013-02-24 - 2013-03-02,22
2013-03-03 - 2013-03-09,21
2013-03-10 - 2013-03-16,23
2013-03-17 - 2013-03-23,20
2013-03-24 - 2013-03-30,24
2013-03-31 - 2013-04-06,22
2013-04-07 - 2013-04-13,24
2013-04-14 - 2013-04-20,20
2013-04-21 - 2013-04-27,29
2013-04-28 - 2013-05-04,28
2013-05-05 - 2013-05-11,26
2013-05-12 - 2013-05-18,35
2013-05-19 - 2013-05-25,34
2013-05-26 - 2013-06-01,27
2013-06-02 - 2013-06-08,25
2013-06-09 - 2013-06-15,23
2013-06-16 - 2013-06-22,18
2013-06-23 - 2013-06-29,18
2013-06-30 - 2013-07-06,24
2013-07-07 - 2013-07-13,22
2013-07-14 - 2013-07-20,20
2013-07-21 - 2013-07-27,19
2013-07-28 - 2013-08-03,19
2013-08-04 - 2013-08-10,20
2013-08-11 - 2013-08-17,17
2013-08-18 - 2013-08-24,18
2013-08-25 - 2013-08-31,20
2013-09-01 - 2013-09-07,20
2013-09-08 - 2013-09-14,18
2013-09-15 - 2013-09-21,17
2013-09-22 - 2013-09-28,21
2013-09-29 - 2013-10-05,16
2013-10-06 - 2013-10-12,18
2013-10-13 - 2013-10-19,19
2013-10-20 - 2013-10-26,24
2013-10-27 - 2013-11-02,22
2013-11-03 - 2013-11-09,20
2013-11-10 - 2013-11-16,21
2013-11-17 - 2013-11-23,22
2013-11-24 - 2013-11-30,12
2013-12-01 - 2013-12-07,22
2013-12-08 - 2013-12-14,18
2013-12-15 - 2013-12-21,20
2013-12-22 - 2013-12-28,16
2013-12-29 - 2014-01-04,18
2014-01-05 - 2014-01-11,17
2014-01-12 - 2014-01-18,18
2014-01-19 - 2014-01-25,18
2014-01-26 - 2014-02-01,16
2014-02-02 - 2014-02-08,25
2014-02-09 - 2014-02-15,18
2014-02-16 - 2014-02-22,22
2014-02-23 - 2014-03-01,17
2014-03-02 - 2014-03-08,16
2014-03-09 - 2014-03-15,18
2014-03-16 - 2014-03-22,21
2014-03-23 - 2014-03-29,17
2014-03-30 - 2014-04-05,16
2014-04-06 - 2014-04-12,16
2014-04-13 - 2014-04-19,23
2014-04-20 - 2014-04-26,15
2014-04-27 - 2014-05-03,15
2014-05-04 - 2014-05-10,18
2014-05-11 - 2014-05-17,17
2014-05-18 - 2014-05-24,15
2014-05-25 - 2014-05-31,15
2014-06-01 - 2014-06-07,17
2014-06-08 - 2014-06-14,14
2014-06-15 - 2014-06-21,19
2014-06-22 - 2014-06-28,17
2014-06-29 - 2014-07-05,17
2014-07-06 - 2014-07-12,15
2014-07-13 - 2014-07-19,18
2014-07-20 - 2014-07-26,15
2014-07-27 - 2014-08-02,20
2014-08-03 - 2014-08-09,18
2014-08-10 - 2014-08-16,17
2014-08-17 - 2014-08-23,13
2014-08-24 - 2014-08-30,13
2014-08-31 - 2014-09-06,17
2014-09-07 - 2014-09-13,17
2014-09-14 - 2014-09-20,14
2014-09-21 - 2014-09-27,18
2014-09-28 - 2014-10-04,18
2014-10-05 - 2014-10-11,17
2014-10-12 - 2014-10-18,18
2014-10-19 - 2014-10-25,18
2014-10-26 - 2014-11-01,17
2014-11-02 - 2014-11-08,16
2014-11-09 - 2014-11-15,13
2014-11-16 - 2014-11-22,13
2014-11-23 - 2014-11-29,12
2014-11-30 - 2014-12-06,11
2014-12-07 - 2014-12-13,15
2014-12-14 - 2014-12-20,11
2014-12-21 - 2014-12-27,11
2014-12-28 - 2015-01-03,14
2015-01-04 - 2015-01-10,10
2015-01-11 - 2015-01-17,10
2015-01-18 - 2015-01-24,13
2015-01-25 - 2015-01-31,17
2015-02-01 - 2015-02-07,17
2015-02-08 - 2015-02-14,16
2015-02-15 - 2015-02-21,12
2015-02-22 - 2015-02-28,14
2015-03-01 - 2015-03-07,12
2015-03-08 - 2015-03-14,13
2015-03-15 - 2015-03-21,13
2015-03-22 - 2015-03-28,13
2015-03-29 - 2015-04-04,16
2015-04-05 - 2015-04-11,13
2015-04-12 - 2015-04-18,17
2015-04-19 - 2015-04-25,16
2015-04-26 - 2015-05-02,16
2015-05-03 - 2015-05-09,13
2015-05-10 - 2015-05-16,12
2015-05-17 - 2015-05-23,14
2015-05-24 - 2015-05-30,15
2015-05-31 - 2015-06-06,15
2015-06-07 - 2015-06-13,12
2015-06-14 - 2015-06-20,13
2015-06-21 - 2015-06-27,13
2015-06-28 - 2015-07-04,11
2015-07-05 - 2015-07-11,10
2015-07-12 - 2015-07-18,10
2015-07-19 - 2015-07-25,11
2015-07-26 - 2015-08-01,19


Top sub-regions for will young
Sub-region,will young
Kentucky,100
South Carolina,94
Michigan,92
Ohio,91
Idaho,90
Alabama,90
Indiana,90
South Dakota,90
Iowa,87
Pennsylvania,85
West Virginia,84
North Carolina,83
Mississippi,82
Tennessee,82
Georgia,81
Wisconsin,81
Louisiana,79
Kansas,79
Missouri,79
Nebraska,78
Maine,78
Oklahoma,78
Florida,76
Arkansas,76
Minnesota,76
Illinois,76
Colorado,74
Arizona,73
Maryland,73
New Mexico,71
New York,71
Texas,71
New Hampshire,70
Connecticut,70
Rhode Island,69
Massachusetts,69
California,67
New Jersey,67
Utah,66
Hawaii,65
Washington,65
Nevada,60
Oregon,59
District of Columbia,53
Virginia,51
Alaska,0
Delaware,0
Montana,0
North Dakota,0
Vermont,0
Wyoming,0


Top metros for will young
Metro,will young
Detroit MI,100
Phoenix AZ,87
Philadelphia PA,77
New York NY,74
Atlanta GA,73
Boston MA-Manchester NH,70
Los Angeles CA,70
Dallas-Ft. Worth TX,67
Chicago IL,63
San Francisco-Oakland-San Jose CA,45
Washington DC (Hagerstown MD),42
Portland-Auburn ME,0
Binghamton NY,0
Macon GA,0
Savannah GA,0
Pittsburgh PA,0
Ft. Wayne IN,0
Cleveland-Akron (Canton) OH,0
Baltimore MD,0
Flint-Saginaw-Bay City MI,0
Buffalo NY,0
Cincinnati OH,0
Erie PA,0
Charlotte NC,0
Greensboro-High Point-Winston Salem NC,0
Charleston SC,0
Augusta GA,0
Providence RI-New Bedford MA,0
Columbus GA,0
Burlington VT-Plattsburgh NY,0
Albany GA,0
Utica NY,0
Indianapolis IN,0
Miami-Ft. Lauderdale FL,0
Louisville KY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Albany-Schenectady-Troy NY,0
Hartford & New Haven CT,0
Orlando-Daytona Beach-Melbourne FL,0
Columbus OH,0
Youngstown OH,0
Bangor ME,0
Rochester NY,0
Tampa-St. Petersburg (Sarasota) FL,0
Traverse City-Cadillac MI,0
Lexington KY,0
Dayton OH,0
Springfield-Holyoke MA,0
Norfolk-Portsmouth-Newport News VA,0
Greenville-New Bern-Washington NC,0
Columbia SC,0
Toledo OH,0
West Palm Beach-Ft. Pierce FL,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Syracuse NY,0
Richmond-Petersburg VA,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Raleigh-Durham (Fayetteville) NC,0
Jacksonville FL,0
Grand Rapids-Kalamazoo-Battle Creek MI,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisburg-Lancaster-Lebanon-York PA,0
Greenville-Spartanburg SC-Asheville NC-Anderson SC,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Roanoke-Lynchburg VA,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Wilkes Barre-Scranton PA,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
St. Louis MO,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Minneapolis-St. Paul MN,0
Kansas City MO,0
Milwaukee WI,0
Houston TX,0
Springfield MO,0
New Orleans LA,0
Sioux City IA,0
Waco-Temple-Bryan TX,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Birmingham AL,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Austin TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Memphis TN,0
San Antonio TX,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Oklahoma City OK,0
Lubbock TX,0
Omaha NE,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
Nashville TN,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Madison WI,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Tulsa OK,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Wichita-Hutchinson KS,0
Des Moines-Ames IA,0
Davenport IA-Rock Island-Moline IL,0
Mobile AL-Pensacola (Ft. Walton Beach) FL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Little Rock-Pine Bluff AR,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Honolulu HI,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Denver CO,0
Colorado Springs-Pueblo CO,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Salt Lake City UT,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Tucson (Sierra Vista) AZ,0
Albuquerque-Santa Fe NM,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Seattle-Tacoma WA,0
Portland OR,0
Bend OR,0
San Diego CA,0
Monterey-Salinas CA,0
Las Vegas NV,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Sacramento-Stockton-Modesto CA,0
Fresno-Visalia CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for will young
Town/City,will young
Indianapolis,100
Phoenix,95
San Antonio,93
Philadelphia,88
Columbus,86
St. Louis,82
Minneapolis,81
Atlanta,79
New York,77
Dallas,77
Denver,76
Portland,76
Houston,76
Los Angeles,74
Las Vegas,74



Top searches for will young
i will,100
she will,35
die young,30
it will rain,25
we are young,25
forever young,20
she will lyrics,10
she will drake,10
you chris young,10
young and beautiful,5
i will wait,5
forever young lyrics,5
young ill,5
grace will young,5



Rising searches for will young
die young,Breakout
forever young,Breakout
it will rain,Breakout
she will,Breakout
she will lyrics,Breakout
we are young,Breakout
i will,+160%



