YouTube Search interest: chris brown
United States; Jan 2008 - Jul 2015

Interest over time
Week,chris brown
2010-10-17 - 2010-10-23,32
2010-10-24 - 2010-10-30,34
2010-10-31 - 2010-11-06,36
2010-11-07 - 2010-11-13,34
2010-11-14 - 2010-11-20,35
2010-11-21 - 2010-11-27,37
2010-11-28 - 2010-12-04,36
2010-12-05 - 2010-12-11,36
2010-12-12 - 2010-12-18,37
2010-12-19 - 2010-12-25,39
2010-12-26 - 2011-01-01,37
2011-01-02 - 2011-01-08,42
2011-01-09 - 2011-01-15,42
2011-01-16 - 2011-01-22,42
2011-01-23 - 2011-01-29,45
2011-01-30 - 2011-02-05,47
2011-02-06 - 2011-02-12,46
2011-02-13 - 2011-02-19,53
2011-02-20 - 2011-02-26,50
2011-02-27 - 2011-03-05,53
2011-03-06 - 2011-03-12,64
2011-03-13 - 2011-03-19,74
2011-03-20 - 2011-03-26,100
2011-03-27 - 2011-04-02,89
2011-04-03 - 2011-04-09,80
2011-04-10 - 2011-04-16,77
2011-04-17 - 2011-04-23,82
2011-04-24 - 2011-04-30,77
2011-05-01 - 2011-05-07,81
2011-05-08 - 2011-05-14,81
2011-05-15 - 2011-05-21,77
2011-05-22 - 2011-05-28,76
2011-05-29 - 2011-06-04,74
2011-06-05 - 2011-06-11,72
2011-06-12 - 2011-06-18,73
2011-06-19 - 2011-06-25,78
2011-06-26 - 2011-07-02,83
2011-07-03 - 2011-07-09,70
2011-07-10 - 2011-07-16,69
2011-07-17 - 2011-07-23,63
2011-07-24 - 2011-07-30,66
2011-07-31 - 2011-08-06,65
2011-08-07 - 2011-08-13,65
2011-08-14 - 2011-08-20,62
2011-08-21 - 2011-08-27,59
2011-08-28 - 2011-09-03,63
2011-09-04 - 2011-09-10,56
2011-09-11 - 2011-09-17,54
2011-09-18 - 2011-09-24,53
2011-09-25 - 2011-10-01,51
2011-10-02 - 2011-10-08,50
2011-10-09 - 2011-10-15,52
2011-10-16 - 2011-10-22,49
2011-10-23 - 2011-10-29,48
2011-10-30 - 2011-11-05,45
2011-11-06 - 2011-11-12,44
2011-11-13 - 2011-11-19,42
2011-11-20 - 2011-11-26,45
2011-11-27 - 2011-12-03,41
2011-12-04 - 2011-12-10,41
2011-12-11 - 2011-12-17,43
2011-12-18 - 2011-12-24,47
2011-12-25 - 2011-12-31,46
2012-01-01 - 2012-01-07,41
2012-01-08 - 2012-01-14,43
2012-01-15 - 2012-01-21,44
2012-01-22 - 2012-01-28,43
2012-01-29 - 2012-02-04,43
2012-02-05 - 2012-02-11,42
2012-02-12 - 2012-02-18,53
2012-02-19 - 2012-02-25,61
2012-02-26 - 2012-03-03,50
2012-03-04 - 2012-03-10,46
2012-03-11 - 2012-03-17,48
2012-03-18 - 2012-03-24,47
2012-03-25 - 2012-03-31,45
2012-04-01 - 2012-04-07,47
2012-04-08 - 2012-04-14,45
2012-04-15 - 2012-04-21,42
2012-04-22 - 2012-04-28,42
2012-04-29 - 2012-05-05,41
2012-05-06 - 2012-05-12,40
2012-05-13 - 2012-05-19,44
2012-05-20 - 2012-05-26,47
2012-05-27 - 2012-06-02,49
2012-06-03 - 2012-06-09,47
2012-06-10 - 2012-06-16,52
2012-06-17 - 2012-06-23,48
2012-06-24 - 2012-06-30,44
2012-07-01 - 2012-07-07,53
2012-07-08 - 2012-07-14,45
2012-07-15 - 2012-07-21,41
2012-07-22 - 2012-07-28,39
2012-07-29 - 2012-08-04,38
2012-08-05 - 2012-08-11,35
2012-08-12 - 2012-08-18,37
2012-08-19 - 2012-08-25,35
2012-08-26 - 2012-09-01,34
2012-09-02 - 2012-09-08,34
2012-09-09 - 2012-09-15,34
2012-09-16 - 2012-09-22,32
2012-09-23 - 2012-09-29,32
2012-09-30 - 2012-10-06,32
2012-10-07 - 2012-10-13,32
2012-10-14 - 2012-10-20,30
2012-10-21 - 2012-10-27,29
2012-10-28 - 2012-11-03,27
2012-11-04 - 2012-11-10,29
2012-11-11 - 2012-11-17,29
2012-11-18 - 2012-11-24,29
2012-11-25 - 2012-12-01,27
2012-12-02 - 2012-12-08,26
2012-12-09 - 2012-12-15,26
2012-12-16 - 2012-12-22,25
2012-12-23 - 2012-12-29,26
2012-12-30 - 2013-01-05,22
2013-01-06 - 2013-01-12,19
2013-01-13 - 2013-01-19,20
2013-01-20 - 2013-01-26,20
2013-01-27 - 2013-02-02,20
2013-02-03 - 2013-02-09,19
2013-02-10 - 2013-02-16,20
2013-02-17 - 2013-02-23,19
2013-02-24 - 2013-03-02,19
2013-03-03 - 2013-03-09,19
2013-03-10 - 2013-03-16,19
2013-03-17 - 2013-03-23,18
2013-03-24 - 2013-03-30,20
2013-03-31 - 2013-04-06,28
2013-04-07 - 2013-04-13,25
2013-04-14 - 2013-04-20,23
2013-04-21 - 2013-04-27,23
2013-04-28 - 2013-05-04,23
2013-05-05 - 2013-05-11,21
2013-05-12 - 2013-05-18,22
2013-05-19 - 2013-05-25,23
2013-05-26 - 2013-06-01,22
2013-06-02 - 2013-06-08,21
2013-06-09 - 2013-06-15,19
2013-06-16 - 2013-06-22,19
2013-06-23 - 2013-06-29,18
2013-06-30 - 2013-07-06,20
2013-07-07 - 2013-07-13,17
2013-07-14 - 2013-07-20,17
2013-07-21 - 2013-07-27,19
2013-07-28 - 2013-08-03,17
2013-08-04 - 2013-08-10,17
2013-08-11 - 2013-08-17,16
2013-08-18 - 2013-08-24,20
2013-08-25 - 2013-08-31,17
2013-09-01 - 2013-09-07,21
2013-09-08 - 2013-09-14,19
2013-09-15 - 2013-09-21,20
2013-09-22 - 2013-09-28,19
2013-09-29 - 2013-10-05,19
2013-10-06 - 2013-10-12,20
2013-10-13 - 2013-10-19,21
2013-10-20 - 2013-10-26,21
2013-10-27 - 2013-11-02,20
2013-11-03 - 2013-11-09,20
2013-11-10 - 2013-11-16,20
2013-11-17 - 2013-11-23,22
2013-11-24 - 2013-11-30,20
2013-12-01 - 2013-12-07,20
2013-12-08 - 2013-12-14,20
2013-12-15 - 2013-12-21,21
2013-12-22 - 2013-12-28,19
2013-12-29 - 2014-01-04,17
2014-01-05 - 2014-01-11,17
2014-01-12 - 2014-01-18,18
2014-01-19 - 2014-01-25,17
2014-01-26 - 2014-02-01,17
2014-02-02 - 2014-02-08,17
2014-02-09 - 2014-02-15,18
2014-02-16 - 2014-02-22,18
2014-02-23 - 2014-03-01,18
2014-03-02 - 2014-03-08,18
2014-03-09 - 2014-03-15,17
2014-03-16 - 2014-03-22,18
2014-03-23 - 2014-03-29,21
2014-03-30 - 2014-04-05,20
2014-04-06 - 2014-04-12,21
2014-04-13 - 2014-04-19,20
2014-04-20 - 2014-04-26,20
2014-04-27 - 2014-05-03,20
2014-05-04 - 2014-05-10,19
2014-05-11 - 2014-05-17,19
2014-05-18 - 2014-05-24,18
2014-05-25 - 2014-05-31,18
2014-06-01 - 2014-06-07,17
2014-06-08 - 2014-06-14,16
2014-06-15 - 2014-06-21,15
2014-06-22 - 2014-06-28,15
2014-06-29 - 2014-07-05,20
2014-07-06 - 2014-07-12,16
2014-07-13 - 2014-07-19,16
2014-07-20 - 2014-07-26,15
2014-07-27 - 2014-08-02,15
2014-08-03 - 2014-08-09,15
2014-08-10 - 2014-08-16,16
2014-08-17 - 2014-08-23,17
2014-08-24 - 2014-08-30,17
2014-08-31 - 2014-09-06,16
2014-09-07 - 2014-09-13,18
2014-09-14 - 2014-09-20,23
2014-09-21 - 2014-09-27,21
2014-09-28 - 2014-10-04,20
2014-10-05 - 2014-10-11,19
2014-10-12 - 2014-10-18,20
2014-10-19 - 2014-10-25,19
2014-10-26 - 2014-11-01,19
2014-11-02 - 2014-11-08,20
2014-11-09 - 2014-11-15,19
2014-11-16 - 2014-11-22,18
2014-11-23 - 2014-11-29,17
2014-11-30 - 2014-12-06,17
2014-12-07 - 2014-12-13,19
2014-12-14 - 2014-12-20,18
2014-12-21 - 2014-12-27,16
2014-12-28 - 2015-01-03,15
2015-01-04 - 2015-01-10,14
2015-01-11 - 2015-01-17,17
2015-01-18 - 2015-01-24,17
2015-01-25 - 2015-01-31,17
2015-02-01 - 2015-02-07,18
2015-02-08 - 2015-02-14,18
2015-02-15 - 2015-02-21,17
2015-02-22 - 2015-02-28,20
2015-03-01 - 2015-03-07,19
2015-03-08 - 2015-03-14,17
2015-03-15 - 2015-03-21,17
2015-03-22 - 2015-03-28,17
2015-03-29 - 2015-04-04,16
2015-04-05 - 2015-04-11,16
2015-04-12 - 2015-04-18,16
2015-04-19 - 2015-04-25,17
2015-04-26 - 2015-05-02,16
2015-05-03 - 2015-05-09,16
2015-05-10 - 2015-05-16,17
2015-05-17 - 2015-05-23,17
2015-05-24 - 2015-05-30,15
2015-05-31 - 2015-06-06,16
2015-06-07 - 2015-06-13,15
2015-06-14 - 2015-06-20,15
2015-06-21 - 2015-06-27,15
2015-06-28 - 2015-07-04,18
2015-07-05 - 2015-07-11,14
2015-07-12 - 2015-07-18,15
2015-07-19 - 2015-07-25,14
2015-07-26 - 2015-08-01,14


Top sub-regions for chris brown
Sub-region,chris brown
Mississippi,100
Louisiana,91
Georgia,89
North Carolina,87
New York,86
Maryland,86
South Carolina,86
Florida,81
Alabama,81
Delaware,80
Ohio,76
New Jersey,76
Pennsylvania,75
Michigan,72
District of Columbia,71
Connecticut,71
Rhode Island,70
Texas,70
Indiana,69
Illinois,69
Arkansas,68
Tennessee,67
Missouri,65
Hawaii,65
Kentucky,64
Massachusetts,64
California,62
Arizona,61
Wisconsin,60
Virginia,59
Oklahoma,57
Nevada,56
Minnesota,54
Kansas,53
Iowa,53
New Mexico,52
Nebraska,51
Washington,51
West Virginia,49
Colorado,48
South Dakota,45
New Hampshire,42
North Dakota,40
Utah,40
Maine,38
Wyoming,37
Oregon,37
Vermont,37
Idaho,37
Alaska,36
Montana,31


Top metros for chris brown
Metro,chris brown
Greenwood-Greenville MS,100
Meridian MS,79
Florence-Myrtle Beach SC,77
Memphis TN,76
Hattiesburg-Laurel MS,76
Montgomery (Selma) AL,75
Albany GA,75
Jackson MS,72
Baton Rouge LA,71
Columbia SC,70
Norfolk-Portsmouth-Newport News VA,67
Monroe LA-El Dorado AR,66
Raleigh-Durham (Fayetteville) NC,66
Shreveport LA,65
Augusta GA,65
Alexandria LA,65
Tallahassee FL-Thomasville GA,64
New York NY,63
Columbus GA,63
Columbus-Tupelo-West Point MS,63
Greenville-New Bern-Washington NC,63
Beaumont-Port Arthur TX,63
Richmond-Petersburg VA,61
Philadelphia PA,61
New Orleans LA,61
Savannah GA,61
Macon GA,61
Salisbury MD,60
Biloxi-Gulfport MS,60
Greensboro-High Point-Winston Salem NC,60
Atlanta GA,59
Miami-Ft. Lauderdale FL,59
Lake Charles LA,59
Charlotte NC,58
Birmingham AL,58
Milwaukee WI,58
Baltimore MD,57
Detroit MI,56
Lafayette LA,56
Cleveland-Akron (Canton) OH,55
Providence RI-New Bedford MA,55
Charleston SC,55
Little Rock-Pine Bluff AR,55
Jonesboro AR,54
Houston TX,54
Jacksonville FL,53
Ft. Wayne IN,53
Bakersfield CA,53
Youngstown OH,52
Orlando-Daytona Beach-Melbourne FL,52
Toledo OH,52
Rockford IL,52
Fresno-Visalia CA,52
Los Angeles CA,51
Indianapolis IN,51
West Palm Beach-Ft. Pierce FL,50
St. Joseph MO,50
Dallas-Ft. Worth TX,50
Jackson TN,50
Hartford & New Haven CT,50
Dothan AL,49
Dayton OH,49
Tampa-St. Petersburg (Sarasota) FL,49
Louisville KY,49
Mobile AL-Pensacola (Ft. Walton Beach) FL,48
Utica NY,48
Columbus OH,48
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,48
Odessa-Midland TX,47
Harrisburg-Lancaster-Lebanon-York PA,47
Abilene-Sweetwater TX,47
Chicago IL,47
Wilmington NC,47
St. Louis MO,47
Amarillo TX,46
South Bend-Elkhart IN,46
Rochester NY,46
Boston MA-Manchester NH,46
Cincinnati OH,46
Phoenix AZ,46
Lansing MI,46
Honolulu HI,46
Roanoke-Lynchburg VA,45
Huntsville-Decatur (Florence) AL,45
Springfield-Holyoke MA,45
Ft. Myers-Naples FL,45
Oklahoma City OK,45
Binghamton NY,45
Grand Rapids-Kalamazoo-Battle Creek MI,45
Las Vegas NV,45
Syracuse NY,45
Evansville IN,45
Washington DC (Hagerstown MD),44
Wilkes Barre-Scranton PA,44
San Antonio TX,44
Lima OH,44
Corpus Christi TX,44
Gainesville FL,44
Peoria-Bloomington IL,44
Waco-Temple-Bryan TX,44
Lubbock TX,44
Tucson (Sierra Vista) AZ,44
Sacramento-Stockton-Modesto CA,44
Kansas City MO,44
Tyler-Longview(Lufkin & Nacogdoches) TX,43
Wichita Falls TX & Lawton OK,43
Greenville-Spartanburg SC-Asheville NC-Anderson SC,43
Terre Haute IN,43
Yuma AZ-El Centro CA,42
El Paso TX,42
Harrisonburg VA,42
Albany-Schenectady-Troy NY,42
Buffalo NY,42
Sherman TX-Ada OK,42
Palm Springs CA,41
Erie PA,41
Davenport IA-Rock Island-Moline IL,41
Pittsburgh PA,41
Joplin MO-Pittsburg KS,41
Wichita-Hutchinson KS,41
Bluefield-Beckley-Oak Hill WV,40
Elmira NY,40
Quincy IL-Hannibal MO-Keokuk IA,40
Flint-Saginaw-Bay City MI,40
Champaign & Springfield-Decatur IL,40
Chattanooga TN,40
Nashville TN,40
Lexington KY,40
Minneapolis-St. Paul MN,39
San Angelo TX,39
Harlingen-Weslaco-Brownsville-McAllen TX,39
Columbia-Jefferson City MO,39
Bowling Green KY,39
Yakima-Pasco-Richland-Kennewick WA,39
Panama City FL,39
Watertown NY,38
San Diego CA,38
Laredo TX,38
Topeka KS,37
Albuquerque-Santa Fe NM,36
Omaha NE,36
Monterey-Salinas CA,36
Sioux City IA,36
Green Bay-Appleton WI,36
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,36
Colorado Springs-Pueblo CO,36
Tri-Cities TN-VA,36
Rapid City SD,35
Santa Barbara-Santa Maria-San Luis Obispo CA,35
Des Moines-Ames IA,35
Ft. Smith-Fayetteville-Springdale-Rogers AR,35
Lincoln & Hastings-Kearney NE,35
Seattle-Tacoma WA,35
Clarksburg-Weston WV,35
Charlottesville VA,34
Tulsa OK,34
Chico-Redding CA,34
Denver CO,34
Reno NV,34
Mankato MN,34
Grand Junction-Montrose CO,34
Lafayette IN,34
Sioux Falls(Mitchell) SD,33
Rochester MN-Mason City IA-Austin MN,33
Knoxville TN,33
Cheyenne WY-Scottsbluff NE,33
Madison WI,33
Wheeling WV-Steubenville OH,33
Charleston-Huntington WV,32
Austin TX,32
Fargo-Valley City ND,32
San Francisco-Oakland-San Jose CA,32
Johnstown-Altoona PA,31
Portland-Auburn ME,30
Spokane WA,30
Salt Lake City UT,30
Springfield MO,30
Traverse City-Cadillac MI,29
Wausau-Rhinelander WI,29
Boise ID,28
Burlington VT-Plattsburgh NY,28
Duluth MN-Superior WI,28
Anchorage AK,28
Marquette MI,28
La Crosse-Eau Claire WI,28
Minot-Bismarck-Dickinson(Williston) ND,28
Medford-Klamath Falls OR,27
Portland OR,27
Eugene OR,26
Billings MT,26
Idaho Falls-Pocatello ID,25
Bangor ME,25
Missoula MT,17
Presque Isle ME,0
Alpena MI,0
Zanesville OH,0
Parkersburg WV,0
Victoria TX,0
Ottumwa IA-Kirksville MO,0
North Platte NE,0
Fairbanks AK,0
Juneau AK,0
Butte-Bozeman MT,0
Great Falls MT,0
Twin Falls ID,0
Helena MT,0
Casper-Riverton WY,0
Glendive MT,0
Eureka CA,0
Bend OR,0


Top cities for chris brown
Town/City,chris brown
Detroit,100
Philadelphia,95
New York,92
Baltimore,89
Atlanta,73
Charlotte,72
Newark,72
Indianapolis,71
Raleigh,70
Houston,68
Columbus,67
Washington,67
Chicago,66
St. Louis,65
Orlando,64



Top searches for chris brown
chris brown lyrics,100
lil wayne,35
drake,30
rihanna,30
nicki minaj,30
justin bieber,30
new chris brown,25
with you,25
chris brown forever,20
forever,20
chris brown songs,20
trey songz,20
deuces chris brown,15
deuces,15
beyonce,15
tyga,15
usher,15
wiz khalifa,15
next to you,15
i love you,15
strip,15
chris brown strip,15
wet the bed,10
yo chris brown,10
eminem,10
yeah 3x,10
kiss kiss,10
goodbye chris brown,10
kanye west,10
chris brown 2012,10
take you down,10
chris brown loyal,10
big sean,10
chris brown dancing,10
keri hilson,10
bow wow,10
say goodbye,5
crawl chris brown,5
chris brown dougie,5
t pain,5
bruno mars,5
michael jackson,5
pitbull,5
ciara,5
t-pain,5
chris brown 2010,5
superhuman,5
chris brown superhuman,5
soulja boy,5
rick ross,5



Rising searches for chris brown
deuces,Breakout
deuces chris brown,Breakout
drake,Breakout
justin bieber,Breakout
nicki minaj,Breakout
chris brown forever,+3,750%
forever,+3,700%
chris brown lyrics,+1,000%
trey songz,+350%
chris brown songs,+140%



