YouTube Search interest: john mayer
United States; Jan 2008 - Jul 2015

Interest over time
Week,john mayer
2009-03-15 - 2009-03-21,33
2009-03-22 - 2009-03-28,34
2009-03-29 - 2009-04-04,35
2009-04-05 - 2009-04-11,33
2009-04-12 - 2009-04-18,32
2009-04-19 - 2009-04-25,33
2009-04-26 - 2009-05-02,32
2009-05-03 - 2009-05-09,35
2009-05-10 - 2009-05-16,32
2009-05-17 - 2009-05-23,29
2009-05-24 - 2009-05-30,31
2009-05-31 - 2009-06-06,33
2009-06-07 - 2009-06-13,30
2009-06-14 - 2009-06-20,28
2009-06-21 - 2009-06-27,24
2009-06-28 - 2009-07-04,25
2009-07-05 - 2009-07-11,61
2009-07-12 - 2009-07-18,35
2009-07-19 - 2009-07-25,32
2009-07-26 - 2009-08-01,31
2009-08-02 - 2009-08-08,33
2009-08-09 - 2009-08-15,29
2009-08-16 - 2009-08-22,30
2009-08-23 - 2009-08-29,31
2009-08-30 - 2009-09-05,31
2009-09-06 - 2009-09-12,30
2009-09-13 - 2009-09-19,33
2009-09-20 - 2009-09-26,39
2009-09-27 - 2009-10-03,38
2009-10-04 - 2009-10-10,36
2009-10-11 - 2009-10-17,49
2009-10-18 - 2009-10-24,48
2009-10-25 - 2009-10-31,46
2009-11-01 - 2009-11-07,50
2009-11-08 - 2009-11-14,61
2009-11-15 - 2009-11-21,100
2009-11-22 - 2009-11-28,72
2009-11-29 - 2009-12-05,73
2009-12-06 - 2009-12-12,64
2009-12-13 - 2009-12-19,67
2009-12-20 - 2009-12-26,51
2009-12-27 - 2010-01-02,44
2010-01-03 - 2010-01-09,47
2010-01-10 - 2010-01-16,50
2010-01-17 - 2010-01-23,52
2010-01-24 - 2010-01-30,60
2010-01-31 - 2010-02-06,61
2010-02-07 - 2010-02-13,72
2010-02-14 - 2010-02-20,60
2010-02-21 - 2010-02-27,64
2010-02-28 - 2010-03-06,60
2010-03-07 - 2010-03-13,53
2010-03-14 - 2010-03-20,51
2010-03-21 - 2010-03-27,51
2010-03-28 - 2010-04-03,49
2010-04-04 - 2010-04-10,47
2010-04-11 - 2010-04-17,53
2010-04-18 - 2010-04-24,47
2010-04-25 - 2010-05-01,46
2010-05-02 - 2010-05-08,44
2010-05-09 - 2010-05-15,42
2010-05-16 - 2010-05-22,42
2010-05-23 - 2010-05-29,39
2010-05-30 - 2010-06-05,39
2010-06-06 - 2010-06-12,40
2010-06-13 - 2010-06-19,41
2010-06-20 - 2010-06-26,42
2010-06-27 - 2010-07-03,43
2010-07-04 - 2010-07-10,43
2010-07-11 - 2010-07-17,47
2010-07-18 - 2010-07-24,49
2010-07-25 - 2010-07-31,50
2010-08-01 - 2010-08-07,48
2010-08-08 - 2010-08-14,51
2010-08-15 - 2010-08-21,49
2010-08-22 - 2010-08-28,52
2010-08-29 - 2010-09-04,50
2010-09-05 - 2010-09-11,51
2010-09-12 - 2010-09-18,48
2010-09-19 - 2010-09-25,46
2010-09-26 - 2010-10-02,46
2010-10-03 - 2010-10-09,47
2010-10-10 - 2010-10-16,41
2010-10-17 - 2010-10-23,44
2010-10-24 - 2010-10-30,43
2010-10-31 - 2010-11-06,42
2010-11-07 - 2010-11-13,43
2010-11-14 - 2010-11-20,41
2010-11-21 - 2010-11-27,36
2010-11-28 - 2010-12-04,36
2010-12-05 - 2010-12-11,41
2010-12-12 - 2010-12-18,37
2010-12-19 - 2010-12-25,32
2010-12-26 - 2011-01-01,32
2011-01-02 - 2011-01-08,42
2011-01-09 - 2011-01-15,43
2011-01-16 - 2011-01-22,39
2011-01-23 - 2011-01-29,41
2011-01-30 - 2011-02-05,43
2011-02-06 - 2011-02-12,41
2011-02-13 - 2011-02-19,49
2011-02-20 - 2011-02-26,41
2011-02-27 - 2011-03-05,42
2011-03-06 - 2011-03-12,39
2011-03-13 - 2011-03-19,37
2011-03-20 - 2011-03-26,37
2011-03-27 - 2011-04-02,38
2011-04-03 - 2011-04-09,39
2011-04-10 - 2011-04-16,40
2011-04-17 - 2011-04-23,36
2011-04-24 - 2011-04-30,38
2011-05-01 - 2011-05-07,36
2011-05-08 - 2011-05-14,36
2011-05-15 - 2011-05-21,34
2011-05-22 - 2011-05-28,34
2011-05-29 - 2011-06-04,30
2011-06-05 - 2011-06-11,33
2011-06-12 - 2011-06-18,32
2011-06-19 - 2011-06-25,32
2011-06-26 - 2011-07-02,30
2011-07-03 - 2011-07-09,29
2011-07-10 - 2011-07-16,31
2011-07-17 - 2011-07-23,30
2011-07-24 - 2011-07-30,30
2011-07-31 - 2011-08-06,32
2011-08-07 - 2011-08-13,32
2011-08-14 - 2011-08-20,32
2011-08-21 - 2011-08-27,35
2011-08-28 - 2011-09-03,34
2011-09-04 - 2011-09-10,32
2011-09-11 - 2011-09-17,33
2011-09-18 - 2011-09-24,35
2011-09-25 - 2011-10-01,33
2011-10-02 - 2011-10-08,35
2011-10-09 - 2011-10-15,33
2011-10-16 - 2011-10-22,32
2011-10-23 - 2011-10-29,31
2011-10-30 - 2011-11-05,33
2011-11-06 - 2011-11-12,30
2011-11-13 - 2011-11-19,32
2011-11-20 - 2011-11-26,27
2011-11-27 - 2011-12-03,31
2011-12-04 - 2011-12-10,30
2011-12-11 - 2011-12-17,29
2011-12-18 - 2011-12-24,25
2011-12-25 - 2011-12-31,24
2012-01-01 - 2012-01-07,26
2012-01-08 - 2012-01-14,28
2012-01-15 - 2012-01-21,29
2012-01-22 - 2012-01-28,30
2012-01-29 - 2012-02-04,31
2012-02-05 - 2012-02-11,30
2012-02-12 - 2012-02-18,29
2012-02-19 - 2012-02-25,28
2012-02-26 - 2012-03-03,38
2012-03-04 - 2012-03-10,36
2012-03-11 - 2012-03-17,30
2012-03-18 - 2012-03-24,31
2012-03-25 - 2012-03-31,29
2012-04-01 - 2012-04-07,26
2012-04-08 - 2012-04-14,29
2012-04-15 - 2012-04-21,29
2012-04-22 - 2012-04-28,33
2012-04-29 - 2012-05-05,35
2012-05-06 - 2012-05-12,30
2012-05-13 - 2012-05-19,38
2012-05-20 - 2012-05-26,45
2012-05-27 - 2012-06-02,40
2012-06-03 - 2012-06-09,36
2012-06-10 - 2012-06-16,33
2012-06-17 - 2012-06-23,30
2012-06-24 - 2012-06-30,28
2012-07-01 - 2012-07-07,28
2012-07-08 - 2012-07-14,30
2012-07-15 - 2012-07-21,27
2012-07-22 - 2012-07-28,28
2012-07-29 - 2012-08-04,28
2012-08-05 - 2012-08-11,30
2012-08-12 - 2012-08-18,29
2012-08-19 - 2012-08-25,28
2012-08-26 - 2012-09-01,29
2012-09-02 - 2012-09-08,26
2012-09-09 - 2012-09-15,26
2012-09-16 - 2012-09-22,29
2012-09-23 - 2012-09-29,27
2012-09-30 - 2012-10-06,28
2012-10-07 - 2012-10-13,24
2012-10-14 - 2012-10-20,26
2012-10-21 - 2012-10-27,26
2012-10-28 - 2012-11-03,25
2012-11-04 - 2012-11-10,24
2012-11-11 - 2012-11-17,25
2012-11-18 - 2012-11-24,20
2012-11-25 - 2012-12-01,23
2012-12-02 - 2012-12-08,24
2012-12-09 - 2012-12-15,24
2012-12-16 - 2012-12-22,21
2012-12-23 - 2012-12-29,19
2012-12-30 - 2013-01-05,19
2013-01-06 - 2013-01-12,23
2013-01-13 - 2013-01-19,22
2013-01-20 - 2013-01-26,22
2013-01-27 - 2013-02-02,23
2013-02-03 - 2013-02-09,23
2013-02-10 - 2013-02-16,26
2013-02-17 - 2013-02-23,22
2013-02-24 - 2013-03-02,22
2013-03-03 - 2013-03-09,22
2013-03-10 - 2013-03-16,22
2013-03-17 - 2013-03-23,22
2013-03-24 - 2013-03-30,23
2013-03-31 - 2013-04-06,23
2013-04-07 - 2013-04-13,26
2013-04-14 - 2013-04-20,23
2013-04-21 - 2013-04-27,24
2013-04-28 - 2013-05-04,22
2013-05-05 - 2013-05-11,21
2013-05-12 - 2013-05-18,20
2013-05-19 - 2013-05-25,20
2013-05-26 - 2013-06-01,18
2013-06-02 - 2013-06-08,20
2013-06-09 - 2013-06-15,19
2013-06-16 - 2013-06-22,40
2013-06-23 - 2013-06-29,29
2013-06-30 - 2013-07-06,26
2013-07-07 - 2013-07-13,29
2013-07-14 - 2013-07-20,30
2013-07-21 - 2013-07-27,26
2013-07-28 - 2013-08-03,25
2013-08-04 - 2013-08-10,25
2013-08-11 - 2013-08-17,35
2013-08-18 - 2013-08-24,40
2013-08-25 - 2013-08-31,37
2013-09-01 - 2013-09-07,33
2013-09-08 - 2013-09-14,29
2013-09-15 - 2013-09-21,30
2013-09-22 - 2013-09-28,30
2013-09-29 - 2013-10-05,32
2013-10-06 - 2013-10-12,30
2013-10-13 - 2013-10-19,28
2013-10-20 - 2013-10-26,25
2013-10-27 - 2013-11-02,24
2013-11-03 - 2013-11-09,24
2013-11-10 - 2013-11-16,24
2013-11-17 - 2013-11-23,26
2013-11-24 - 2013-11-30,23
2013-12-01 - 2013-12-07,30
2013-12-08 - 2013-12-14,28
2013-12-15 - 2013-12-21,52
2013-12-22 - 2013-12-28,33
2013-12-29 - 2014-01-04,25
2014-01-05 - 2014-01-11,26
2014-01-12 - 2014-01-18,25
2014-01-19 - 2014-01-25,25
2014-01-26 - 2014-02-01,25
2014-02-02 - 2014-02-08,23
2014-02-09 - 2014-02-15,25
2014-02-16 - 2014-02-22,24
2014-02-23 - 2014-03-01,25
2014-03-02 - 2014-03-08,22
2014-03-09 - 2014-03-15,22
2014-03-16 - 2014-03-22,20
2014-03-23 - 2014-03-29,20
2014-03-30 - 2014-04-05,19
2014-04-06 - 2014-04-12,20
2014-04-13 - 2014-04-19,21
2014-04-20 - 2014-04-26,21
2014-04-27 - 2014-05-03,20
2014-05-04 - 2014-05-10,18
2014-05-11 - 2014-05-17,16
2014-05-18 - 2014-05-24,17
2014-05-25 - 2014-05-31,21
2014-06-01 - 2014-06-07,22
2014-06-08 - 2014-06-14,19
2014-06-15 - 2014-06-21,18
2014-06-22 - 2014-06-28,17
2014-06-29 - 2014-07-05,18
2014-07-06 - 2014-07-12,19
2014-07-13 - 2014-07-19,18
2014-07-20 - 2014-07-26,17
2014-07-27 - 2014-08-02,19
2014-08-03 - 2014-08-09,17
2014-08-10 - 2014-08-16,16
2014-08-17 - 2014-08-23,17
2014-08-24 - 2014-08-30,21
2014-08-31 - 2014-09-06,20
2014-09-07 - 2014-09-13,20
2014-09-14 - 2014-09-20,20
2014-09-21 - 2014-09-27,20
2014-09-28 - 2014-10-04,20
2014-10-05 - 2014-10-11,20
2014-10-12 - 2014-10-18,20
2014-10-19 - 2014-10-25,18
2014-10-26 - 2014-11-01,17
2014-11-02 - 2014-11-08,18
2014-11-09 - 2014-11-15,18
2014-11-16 - 2014-11-22,16
2014-11-23 - 2014-11-29,14
2014-11-30 - 2014-12-06,16
2014-12-07 - 2014-12-13,17
2014-12-14 - 2014-12-20,16
2014-12-21 - 2014-12-27,13
2014-12-28 - 2015-01-03,13
2015-01-04 - 2015-01-10,15
2015-01-11 - 2015-01-17,17
2015-01-18 - 2015-01-24,15
2015-01-25 - 2015-01-31,18
2015-02-01 - 2015-02-07,20
2015-02-08 - 2015-02-14,31
2015-02-15 - 2015-02-21,20
2015-02-22 - 2015-02-28,17
2015-03-01 - 2015-03-07,18
2015-03-08 - 2015-03-14,18
2015-03-15 - 2015-03-21,18
2015-03-22 - 2015-03-28,18
2015-03-29 - 2015-04-04,17
2015-04-05 - 2015-04-11,17
2015-04-12 - 2015-04-18,18
2015-04-19 - 2015-04-25,21
2015-04-26 - 2015-05-02,18
2015-05-03 - 2015-05-09,18
2015-05-10 - 2015-05-16,18
2015-05-17 - 2015-05-23,16
2015-05-24 - 2015-05-30,16
2015-05-31 - 2015-06-06,17
2015-06-07 - 2015-06-13,16
2015-06-14 - 2015-06-20,16
2015-06-21 - 2015-06-27,16
2015-06-28 - 2015-07-04,14
2015-07-05 - 2015-07-11,16
2015-07-12 - 2015-07-18,17
2015-07-19 - 2015-07-25,15
2015-07-26 - 2015-08-01,15


Top sub-regions for john mayer
Sub-region,john mayer
Connecticut,100
Massachusetts,97
Alabama,96
Indiana,95
South Carolina,93
New Hampshire,93
Tennessee,93
Rhode Island,92
Pennsylvania,91
Ohio,88
Missouri,87
Kentucky,87
Maine,87
North Carolina,85
Oklahoma,84
District of Columbia,83
Georgia,82
Vermont,81
New York,80
Michigan,80
Arkansas,79
Wisconsin,79
Texas,79
New Jersey,77
Mississippi,76
Minnesota,76
West Virginia,76
North Dakota,75
Hawaii,75
Louisiana,74
Florida,74
Colorado,73
Utah,73
Kansas,73
Illinois,72
California,70
Delaware,70
South Dakota,70
Montana,69
Nebraska,69
Virginia,68
Arizona,67
Idaho,66
Iowa,66
Maryland,66
Washington,66
Wyoming,62
New Mexico,60
Oregon,56
Nevada,55
Alaska,49


Top metros for john mayer
Metro,john mayer
Gainesville FL,100
Rochester NY,100
Columbus GA,98
Baton Rouge LA,96
Hartford & New Haven CT,95
Tri-Cities TN-VA,94
Lansing MI,94
Indianapolis IN,93
Roanoke-Lynchburg VA,93
Nashville TN,93
Dayton OH,93
Birmingham AL,92
Chattanooga TN,92
Boston MA-Manchester NH,92
Huntsville-Decatur (Florence) AL,90
Oklahoma City OK,88
Greenville-Spartanburg SC-Asheville NC-Anderson SC,88
Syracuse NY,88
Providence RI-New Bedford MA,87
Johnstown-Altoona PA,87
Richmond-Petersburg VA,87
Albany-Schenectady-Troy NY,87
Charlotte NC,86
Toledo OH,86
St. Louis MO,86
Portland-Auburn ME,85
Ft. Smith-Fayetteville-Springdale-Rogers AR,84
Tallahassee FL-Thomasville GA,84
Santa Barbara-Santa Maria-San Luis Obispo CA,84
Cincinnati OH,83
La Crosse-Eau Claire WI,83
Charleston SC,82
Austin TX,82
Knoxville TN,82
Philadelphia PA,81
Springfield MO,81
South Bend-Elkhart IN,81
Greenville-New Bern-Washington NC,80
Greensboro-High Point-Winston Salem NC,80
Champaign & Springfield-Decatur IL,80
Waco-Temple-Bryan TX,80
Atlanta GA,79
Buffalo NY,79
Pittsburgh PA,78
Madison WI,78
Flint-Saginaw-Bay City MI,78
Louisville KY,78
Charleston-Huntington WV,77
Mobile AL-Pensacola (Ft. Walton Beach) FL,77
Columbia SC,77
New York NY,76
Harrisburg-Lancaster-Lebanon-York PA,76
Lexington KY,76
Kansas City MO,76
Salt Lake City UT,75
Dallas-Ft. Worth TX,75
Detroit MI,74
Honolulu HI,74
Minneapolis-St. Paul MN,74
Raleigh-Durham (Fayetteville) NC,74
Cleveland-Akron (Canton) OH,74
Springfield-Holyoke MA,73
Wilkes Barre-Scranton PA,73
San Antonio TX,72
Colorado Springs-Pueblo CO,72
Jackson MS,72
Columbus OH,71
Burlington VT-Plattsburgh NY,71
Grand Rapids-Kalamazoo-Battle Creek MI,70
San Diego CA,70
Spokane WA,70
Orlando-Daytona Beach-Melbourne FL,69
Des Moines-Ames IA,69
Denver CO,69
Los Angeles CA,69
Reno NV,69
Memphis TN,68
Savannah GA,68
Little Rock-Pine Bluff AR,68
Milwaukee WI,68
Eugene OR,68
Baltimore MD,66
Omaha NE,66
Washington DC (Hagerstown MD),66
Jacksonville FL,65
New Orleans LA,65
Seattle-Tacoma WA,65
Chicago IL,64
Tucson (Sierra Vista) AZ,64
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,64
Phoenix AZ,63
Boise ID,62
Tampa-St. Petersburg (Sarasota) FL,62
Tulsa OK,62
Green Bay-Appleton WI,62
Miami-Ft. Lauderdale FL,61
Houston TX,60
Norfolk-Portsmouth-Newport News VA,59
Sacramento-Stockton-Modesto CA,59
West Palm Beach-Ft. Pierce FL,57
Albuquerque-Santa Fe NM,56
El Paso TX,56
San Francisco-Oakland-San Jose CA,53
Wichita-Hutchinson KS,52
Fresno-Visalia CA,52
Harlingen-Weslaco-Brownsville-McAllen TX,49
Portland OR,47
Las Vegas NV,46
Binghamton NY,0
Macon GA,0
Ft. Wayne IN,0
Erie PA,0
Augusta GA,0
Albany GA,0
Utica NY,0
Youngstown OH,0
Bangor ME,0
Traverse City-Cadillac MI,0
Watertown NY,0
Wilmington NC,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Elmira NY,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Sioux City IA,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
St. Joseph MO,0
Jackson TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Evansville IN,0
Lubbock TX,0
Panama City FL,0
Sherman TX-Ada OK,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Davenport IA-Rock Island-Moline IL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Beaumont-Port Arthur TX,0
Montgomery (Selma) AL,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Quincy IL-Hannibal MO-Keokuk IA,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Bakersfield CA,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Chico-Redding CA,0


Top cities for john mayer
Town/City,john mayer
St. Louis,100
Boston,99
Atlanta,87
Louisville,87
Richardson,86
Minneapolis,85
Washington,81
Columbus,80
Indianapolis,80
Miami,78
Austin,77
Los Angeles,77
San Antonio,76
Orlando,76
Charlotte,75



Top searches for john mayer
john mayer lyrics,100
gravity john mayer,85
gravity,85
john mayer live,65
say john mayer,60
say,60
john mayer daughters,50
daughters,50
john mayer acoustic,40
heartbreak warfare,40
who says,40
free fallin,35
john mayer cover,35
john mayer wonderland,35
john mayer guitar,30
free falling,25
john mayer train,25
neon,20
neon john mayer,20
new john mayer,20
john mayer atmosphere,15
john mayer georgia,15
jack johnson,15
stop this train,15
jason mraz,15
john mayer vultures,15
edge of desire,10
why georgia,10
john mayer interview,10
john mayer album,10
crossroads,10
john mayer lesson,10
john mayer solo,10
crossroads john mayer,10
kanye john mayer,10
clarity john mayer,10
belief john mayer,10
john mayer blues,10
comfortable john mayer,10
john mayer trio,10
belief,10
keith urban,10
eric clapton,10
assassin john mayer,10



Rising searches for john mayer
free fallin,Breakout
heartbreak warfare,Breakout
john mayer lyrics,Breakout
who says,Breakout
daughters,+250%
john mayer wonderland,+250%
john mayer daughters,+200%
gravity,+130%
gravity john mayer,+130%
john mayer cover,+90%



