YouTube Search interest: pitbull
United States; Jan 2008 - Jul 2015

Interest over time
Week,pitbull
2009-04-19 - 2009-04-25,30
2009-04-26 - 2009-05-02,32
2009-05-03 - 2009-05-09,34
2009-05-10 - 2009-05-16,35
2009-05-17 - 2009-05-23,35
2009-05-24 - 2009-05-30,43
2009-05-31 - 2009-06-06,38
2009-06-07 - 2009-06-13,38
2009-06-14 - 2009-06-20,38
2009-06-21 - 2009-06-27,36
2009-06-28 - 2009-07-04,35
2009-07-05 - 2009-07-11,33
2009-07-12 - 2009-07-18,36
2009-07-19 - 2009-07-25,38
2009-07-26 - 2009-08-01,38
2009-08-02 - 2009-08-08,40
2009-08-09 - 2009-08-15,41
2009-08-16 - 2009-08-22,42
2009-08-23 - 2009-08-29,41
2009-08-30 - 2009-09-05,43
2009-09-06 - 2009-09-12,43
2009-09-13 - 2009-09-19,42
2009-09-20 - 2009-09-26,46
2009-09-27 - 2009-10-03,43
2009-10-04 - 2009-10-10,41
2009-10-11 - 2009-10-17,38
2009-10-18 - 2009-10-24,35
2009-10-25 - 2009-10-31,32
2009-11-01 - 2009-11-07,32
2009-11-08 - 2009-11-14,33
2009-11-15 - 2009-11-21,31
2009-11-22 - 2009-11-28,32
2009-11-29 - 2009-12-05,32
2009-12-06 - 2009-12-12,33
2009-12-13 - 2009-12-19,33
2009-12-20 - 2009-12-26,38
2009-12-27 - 2010-01-02,37
2010-01-03 - 2010-01-09,34
2010-01-10 - 2010-01-16,33
2010-01-17 - 2010-01-23,35
2010-01-24 - 2010-01-30,35
2010-01-31 - 2010-02-06,33
2010-02-07 - 2010-02-13,33
2010-02-14 - 2010-02-20,31
2010-02-21 - 2010-02-27,32
2010-02-28 - 2010-03-06,31
2010-03-07 - 2010-03-13,30
2010-03-14 - 2010-03-20,29
2010-03-21 - 2010-03-27,29
2010-03-28 - 2010-04-03,27
2010-04-04 - 2010-04-10,27
2010-04-11 - 2010-04-17,25
2010-04-18 - 2010-04-24,26
2010-04-25 - 2010-05-01,27
2010-05-02 - 2010-05-08,26
2010-05-09 - 2010-05-15,25
2010-05-16 - 2010-05-22,25
2010-05-23 - 2010-05-29,26
2010-05-30 - 2010-06-05,28
2010-06-06 - 2010-06-12,28
2010-06-13 - 2010-06-19,26
2010-06-20 - 2010-06-26,27
2010-06-27 - 2010-07-03,28
2010-07-04 - 2010-07-10,30
2010-07-11 - 2010-07-17,34
2010-07-18 - 2010-07-24,36
2010-07-25 - 2010-07-31,35
2010-08-01 - 2010-08-07,38
2010-08-08 - 2010-08-14,37
2010-08-15 - 2010-08-21,35
2010-08-22 - 2010-08-28,34
2010-08-29 - 2010-09-04,36
2010-09-05 - 2010-09-11,35
2010-09-12 - 2010-09-18,33
2010-09-19 - 2010-09-25,33
2010-09-26 - 2010-10-02,34
2010-10-03 - 2010-10-09,37
2010-10-10 - 2010-10-16,41
2010-10-17 - 2010-10-23,43
2010-10-24 - 2010-10-30,42
2010-10-31 - 2010-11-06,46
2010-11-07 - 2010-11-13,49
2010-11-14 - 2010-11-20,46
2010-11-21 - 2010-11-27,45
2010-11-28 - 2010-12-04,41
2010-12-05 - 2010-12-11,42
2010-12-12 - 2010-12-18,41
2010-12-19 - 2010-12-25,45
2010-12-26 - 2011-01-01,46
2011-01-02 - 2011-01-08,40
2011-01-09 - 2011-01-15,41
2011-01-16 - 2011-01-22,43
2011-01-23 - 2011-01-29,44
2011-01-30 - 2011-02-05,43
2011-02-06 - 2011-02-12,41
2011-02-13 - 2011-02-19,42
2011-02-20 - 2011-02-26,44
2011-02-27 - 2011-03-05,50
2011-03-06 - 2011-03-12,48
2011-03-13 - 2011-03-19,48
2011-03-20 - 2011-03-26,47
2011-03-27 - 2011-04-02,52
2011-04-03 - 2011-04-09,55
2011-04-10 - 2011-04-16,58
2011-04-17 - 2011-04-23,63
2011-04-24 - 2011-04-30,70
2011-05-01 - 2011-05-07,79
2011-05-08 - 2011-05-14,93
2011-05-15 - 2011-05-21,96
2011-05-22 - 2011-05-28,97
2011-05-29 - 2011-06-04,97
2011-06-05 - 2011-06-11,100
2011-06-12 - 2011-06-18,93
2011-06-19 - 2011-06-25,93
2011-06-26 - 2011-07-02,90
2011-07-03 - 2011-07-09,87
2011-07-10 - 2011-07-16,80
2011-07-17 - 2011-07-23,86
2011-07-24 - 2011-07-30,98
2011-07-31 - 2011-08-06,84
2011-08-07 - 2011-08-13,76
2011-08-14 - 2011-08-20,70
2011-08-21 - 2011-08-27,66
2011-08-28 - 2011-09-03,73
2011-09-04 - 2011-09-10,69
2011-09-11 - 2011-09-17,61
2011-09-18 - 2011-09-24,62
2011-09-25 - 2011-10-01,59
2011-10-02 - 2011-10-08,56
2011-10-09 - 2011-10-15,54
2011-10-16 - 2011-10-22,51
2011-10-23 - 2011-10-29,52
2011-10-30 - 2011-11-05,48
2011-11-06 - 2011-11-12,49
2011-11-13 - 2011-11-19,49
2011-11-20 - 2011-11-26,59
2011-11-27 - 2011-12-03,51
2011-12-04 - 2011-12-10,51
2011-12-11 - 2011-12-17,48
2011-12-18 - 2011-12-24,49
2011-12-25 - 2011-12-31,49
2012-01-01 - 2012-01-07,50
2012-01-08 - 2012-01-14,45
2012-01-15 - 2012-01-21,45
2012-01-22 - 2012-01-28,42
2012-01-29 - 2012-02-04,40
2012-02-05 - 2012-02-11,42
2012-02-12 - 2012-02-18,44
2012-02-19 - 2012-02-25,48
2012-02-26 - 2012-03-03,45
2012-03-04 - 2012-03-10,41
2012-03-11 - 2012-03-17,42
2012-03-18 - 2012-03-24,38
2012-03-25 - 2012-03-31,40
2012-04-01 - 2012-04-07,42
2012-04-08 - 2012-04-14,43
2012-04-15 - 2012-04-21,40
2012-04-22 - 2012-04-28,45
2012-04-29 - 2012-05-05,47
2012-05-06 - 2012-05-12,49
2012-05-13 - 2012-05-19,54
2012-05-20 - 2012-05-26,54
2012-05-27 - 2012-06-02,54
2012-06-03 - 2012-06-09,49
2012-06-10 - 2012-06-16,49
2012-06-17 - 2012-06-23,46
2012-06-24 - 2012-06-30,45
2012-07-01 - 2012-07-07,43
2012-07-08 - 2012-07-14,40
2012-07-15 - 2012-07-21,40
2012-07-22 - 2012-07-28,37
2012-07-29 - 2012-08-04,37
2012-08-05 - 2012-08-11,35
2012-08-12 - 2012-08-18,35
2012-08-19 - 2012-08-25,31
2012-08-26 - 2012-09-01,29
2012-09-02 - 2012-09-08,28
2012-09-09 - 2012-09-15,26
2012-09-16 - 2012-09-22,24
2012-09-23 - 2012-09-29,24
2012-09-30 - 2012-10-06,24
2012-10-07 - 2012-10-13,23
2012-10-14 - 2012-10-20,21
2012-10-21 - 2012-10-27,22
2012-10-28 - 2012-11-03,22
2012-11-04 - 2012-11-10,22
2012-11-11 - 2012-11-17,22
2012-11-18 - 2012-11-24,25
2012-11-25 - 2012-12-01,24
2012-12-02 - 2012-12-08,24
2012-12-09 - 2012-12-15,21
2012-12-16 - 2012-12-22,23
2012-12-23 - 2012-12-29,23
2012-12-30 - 2013-01-05,27
2013-01-06 - 2013-01-12,25
2013-01-13 - 2013-01-19,25
2013-01-20 - 2013-01-26,22
2013-01-27 - 2013-02-02,23
2013-02-03 - 2013-02-09,22
2013-02-10 - 2013-02-16,22
2013-02-17 - 2013-02-23,23
2013-02-24 - 2013-03-02,28
2013-03-03 - 2013-03-09,26
2013-03-10 - 2013-03-16,25
2013-03-17 - 2013-03-23,26
2013-03-24 - 2013-03-30,30
2013-03-31 - 2013-04-06,25
2013-04-07 - 2013-04-13,24
2013-04-14 - 2013-04-20,24
2013-04-21 - 2013-04-27,25
2013-04-28 - 2013-05-04,25
2013-05-05 - 2013-05-11,26
2013-05-12 - 2013-05-18,27
2013-05-19 - 2013-05-25,35
2013-05-26 - 2013-06-01,28
2013-06-02 - 2013-06-08,27
2013-06-09 - 2013-06-15,22
2013-06-16 - 2013-06-22,24
2013-06-23 - 2013-06-29,23
2013-06-30 - 2013-07-06,23
2013-07-07 - 2013-07-13,23
2013-07-14 - 2013-07-20,25
2013-07-21 - 2013-07-27,21
2013-07-28 - 2013-08-03,21
2013-08-04 - 2013-08-10,20
2013-08-11 - 2013-08-17,20
2013-08-18 - 2013-08-24,19
2013-08-25 - 2013-08-31,17
2013-09-01 - 2013-09-07,16
2013-09-08 - 2013-09-14,16
2013-09-15 - 2013-09-21,16
2013-09-22 - 2013-09-28,15
2013-09-29 - 2013-10-05,14
2013-10-06 - 2013-10-12,16
2013-10-13 - 2013-10-19,17
2013-10-20 - 2013-10-26,18
2013-10-27 - 2013-11-02,21
2013-11-03 - 2013-11-09,25
2013-11-10 - 2013-11-16,30
2013-11-17 - 2013-11-23,31
2013-11-24 - 2013-11-30,43
2013-12-01 - 2013-12-07,40
2013-12-08 - 2013-12-14,42
2013-12-15 - 2013-12-21,43
2013-12-22 - 2013-12-28,38
2013-12-29 - 2014-01-04,40
2014-01-05 - 2014-01-11,39
2014-01-12 - 2014-01-18,40
2014-01-19 - 2014-01-25,38
2014-01-26 - 2014-02-01,36
2014-02-02 - 2014-02-08,37
2014-02-09 - 2014-02-15,33
2014-02-16 - 2014-02-22,29
2014-02-23 - 2014-03-01,27
2014-03-02 - 2014-03-08,27
2014-03-09 - 2014-03-15,27
2014-03-16 - 2014-03-22,26
2014-03-23 - 2014-03-29,26
2014-03-30 - 2014-04-05,28
2014-04-06 - 2014-04-12,29
2014-04-13 - 2014-04-19,28
2014-04-20 - 2014-04-26,30
2014-04-27 - 2014-05-03,28
2014-05-04 - 2014-05-10,27
2014-05-11 - 2014-05-17,27
2014-05-18 - 2014-05-24,32
2014-05-25 - 2014-05-31,29
2014-06-01 - 2014-06-07,25
2014-06-08 - 2014-06-14,32
2014-06-15 - 2014-06-21,26
2014-06-22 - 2014-06-28,22
2014-06-29 - 2014-07-05,21
2014-07-06 - 2014-07-12,18
2014-07-13 - 2014-07-19,20
2014-07-20 - 2014-07-26,18
2014-07-27 - 2014-08-02,19
2014-08-03 - 2014-08-09,17
2014-08-10 - 2014-08-16,16
2014-08-17 - 2014-08-23,18
2014-08-24 - 2014-08-30,17
2014-08-31 - 2014-09-06,17
2014-09-07 - 2014-09-13,18
2014-09-14 - 2014-09-20,21
2014-09-21 - 2014-09-27,21
2014-09-28 - 2014-10-04,21
2014-10-05 - 2014-10-11,21
2014-10-12 - 2014-10-18,20
2014-10-19 - 2014-10-25,22
2014-10-26 - 2014-11-01,21
2014-11-02 - 2014-11-08,20
2014-11-09 - 2014-11-15,18
2014-11-16 - 2014-11-22,18
2014-11-23 - 2014-11-29,24
2014-11-30 - 2014-12-06,18
2014-12-07 - 2014-12-13,18
2014-12-14 - 2014-12-20,18
2014-12-21 - 2014-12-27,19
2014-12-28 - 2015-01-03,23
2015-01-04 - 2015-01-10,22
2015-01-11 - 2015-01-17,22
2015-01-18 - 2015-01-24,22
2015-01-25 - 2015-01-31,22
2015-02-01 - 2015-02-07,22
2015-02-08 - 2015-02-14,23
2015-02-15 - 2015-02-21,22
2015-02-22 - 2015-02-28,21
2015-03-01 - 2015-03-07,24
2015-03-08 - 2015-03-14,23
2015-03-15 - 2015-03-21,21
2015-03-22 - 2015-03-28,21
2015-03-29 - 2015-04-04,20
2015-04-05 - 2015-04-11,18
2015-04-12 - 2015-04-18,18
2015-04-19 - 2015-04-25,17
2015-04-26 - 2015-05-02,17
2015-05-03 - 2015-05-09,18
2015-05-10 - 2015-05-16,18
2015-05-17 - 2015-05-23,21
2015-05-24 - 2015-05-30,18
2015-05-31 - 2015-06-06,18
2015-06-07 - 2015-06-13,19
2015-06-14 - 2015-06-20,19
2015-06-21 - 2015-06-27,18
2015-06-28 - 2015-07-04,19
2015-07-05 - 2015-07-11,16
2015-07-12 - 2015-07-18,18
2015-07-19 - 2015-07-25,17
2015-07-26 - 2015-08-01,18


Top sub-regions for pitbull
Sub-region,pitbull
Florida,100
California,90
New Mexico,90
New Jersey,88
Texas,87
New York,87
Arizona,83
Nevada,79
Illinois,79
Virginia,73
Connecticut,73
Wyoming,72
South Dakota,71
Massachusetts,71
Rhode Island,71
Wisconsin,69
North Dakota,69
Utah,68
Iowa,68
Colorado,68
Pennsylvania,67
Maine,66
Idaho,65
Nebraska,64
New Hampshire,62
Montana,61
Minnesota,61
Vermont,60
North Carolina,60
Kansas,59
Michigan,58
Indiana,58
Maryland,57
Hawaii,57
West Virginia,56
Georgia,55
Oregon,55
Delaware,55
Washington,55
District of Columbia,54
Missouri,53
Alaska,52
Ohio,52
Oklahoma,51
Kentucky,51
South Carolina,50
Arkansas,48
Tennessee,46
Mississippi,46
Alabama,45
Louisiana,43


Top metros for pitbull
Metro,pitbull
Yuma AZ-El Centro CA,100
Laredo TX,99
Miami-Ft. Lauderdale FL,91
Harlingen-Weslaco-Brownsville-McAllen TX,87
El Paso TX,85
Odessa-Midland TX,67
Palm Springs CA,65
West Palm Beach-Ft. Pierce FL,62
Ft. Myers-Naples FL,62
New York NY,60
Rapid City SD,59
Los Angeles CA,58
San Antonio TX,57
Amarillo TX,57
Yakima-Pasco-Richland-Kennewick WA,57
Fresno-Visalia CA,56
Albuquerque-Santa Fe NM,56
Watertown NY,56
Bakersfield CA,55
San Diego CA,54
Chicago IL,53
Wilkes Barre-Scranton PA,53
Rockford IL,52
Houston TX,52
San Francisco-Oakland-San Jose CA,51
Phoenix AZ,51
Tucson (Sierra Vista) AZ,51
Tampa-St. Petersburg (Sarasota) FL,50
Sioux City IA,50
Bangor ME,49
Orlando-Daytona Beach-Melbourne FL,48
Reno NV,48
Corpus Christi TX,48
Lubbock TX,47
Springfield-Holyoke MA,46
Washington DC (Hagerstown MD),46
Monterey-Salinas CA,45
Boston MA-Manchester NH,45
Las Vegas NV,45
Dallas-Ft. Worth TX,45
Milwaukee WI,44
Salt Lake City UT,44
Salisbury MD,44
Sacramento-Stockton-Modesto CA,44
Green Bay-Appleton WI,44
Idaho Falls-Pocatello ID,43
Santa Barbara-Santa Maria-San Luis Obispo CA,43
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,43
Providence RI-New Bedford MA,43
Spokane WA,43
Denver CO,43
Davenport IA-Rock Island-Moline IL,42
Abilene-Sweetwater TX,42
Wausau-Rhinelander WI,42
Johnstown-Altoona PA,42
Wichita-Hutchinson KS,42
Fargo-Valley City ND,42
Rochester MN-Mason City IA-Austin MN,42
Chico-Redding CA,42
Hartford & New Haven CT,41
Des Moines-Ames IA,41
Sioux Falls(Mitchell) SD,41
Burlington VT-Plattsburgh NY,41
Lincoln & Hastings-Kearney NE,41
La Crosse-Eau Claire WI,41
Harrisburg-Lancaster-Lebanon-York PA,40
Boise ID,40
Minot-Bismarck-Dickinson(Williston) ND,40
Savannah GA,40
Florence-Myrtle Beach SC,40
Binghamton NY,39
Ft. Smith-Fayetteville-Springdale-Rogers AR,39
Philadelphia PA,39
Medford-Klamath Falls OR,39
Gainesville FL,39
Duluth MN-Superior WI,39
Topeka KS,39
Buffalo NY,38
Charlotte NC,38
Syracuse NY,37
Tyler-Longview(Lufkin & Nacogdoches) TX,37
Erie PA,37
Colorado Springs-Pueblo CO,37
Lansing MI,37
Grand Rapids-Kalamazoo-Battle Creek MI,37
Portland-Auburn ME,37
Madison WI,36
Traverse City-Cadillac MI,36
Honolulu HI,36
Ft. Wayne IN,36
Minneapolis-St. Paul MN,36
Austin TX,35
Detroit MI,35
South Bend-Elkhart IN,35
Raleigh-Durham (Fayetteville) NC,35
Greenville-New Bern-Washington NC,35
Jacksonville FL,35
Kansas City MO,35
Omaha NE,35
Beaumont-Port Arthur TX,35
Albany-Schenectady-Troy NY,35
Portland OR,34
Waco-Temple-Bryan TX,34
Lexington KY,34
Rochester NY,34
Greensboro-High Point-Winston Salem NC,34
Atlanta GA,34
Flint-Saginaw-Bay City MI,34
Indianapolis IN,34
Champaign & Springfield-Decatur IL,34
Baltimore MD,34
Charlottesville VA,33
Cleveland-Akron (Canton) OH,33
Eugene OR,33
Seattle-Tacoma WA,33
Pittsburgh PA,33
Tri-Cities TN-VA,33
Shreveport LA,32
Tulsa OK,32
Anchorage AK,32
St. Louis MO,32
Dayton OH,32
Toledo OH,32
Chattanooga TN,31
Mobile AL-Pensacola (Ft. Walton Beach) FL,31
Knoxville TN,31
Peoria-Bloomington IL,31
Springfield MO,31
Oklahoma City OK,31
Tallahassee FL-Thomasville GA,31
Greenville-Spartanburg SC-Asheville NC-Anderson SC,31
New Orleans LA,30
Charleston-Huntington WV,30
Jackson MS,30
Wilmington NC,30
Columbus OH,30
Nashville TN,30
Evansville IN,29
Roanoke-Lynchburg VA,29
Little Rock-Pine Bluff AR,29
Cincinnati OH,29
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,28
Columbia SC,28
Norfolk-Portsmouth-Newport News VA,28
Columbia-Jefferson City MO,28
Charleston SC,28
Louisville KY,28
Richmond-Petersburg VA,27
Huntsville-Decatur (Florence) AL,27
Youngstown OH,27
Memphis TN,26
Birmingham AL,25
Macon GA,25
Columbus GA,24
Augusta GA,24
Lafayette LA,22
Montgomery (Selma) AL,22
Baton Rouge LA,21
Albany GA,0
Utica NY,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Elmira NY,0
Harrisonburg VA,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Joplin MO-Pittsburg KS,0
Dothan AL,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
St. Joseph MO,0
Jackson TN,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Panama City FL,0
Sherman TX-Ada OK,0
San Angelo TX,0
Columbus-Tupelo-West Point MS,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Helena MT,0
Casper-Riverton WY,0
Grand Junction-Montrose CO,0
Glendive MT,0
Eureka CA,0
Bend OR,0


Top cities for pitbull
Town/City,pitbull
Hialeah,100
El Paso,53
McAllen,52
Miami,52
Milpitas,38
Sterling,37
Los Angeles,37
Houston,35
San Antonio,35
Albuquerque,34
Las Vegas,34
New York,33
San Diego,33
Phoenix,32
Chicago,30



Top searches for pitbull
give me everything,100
baby pitbull,65
timber pitbull,40
tonight,40
hey baby pitbull,40
pitbull tonight,40
timber,40
hey baby,40
timber pitbull kesha,35
jennifer lopez,35
chris brown,30
pitbull shake,30
hotel room pitbull,30
enrique iglesias,30
pitbull songs,30
on the floor,30
shakira,20
usher,20
rihanna,20
pitbull everything tonight,20
pitbull anthem,20
nicki minaj,20
akon,20
pitbull 2011,20
i like it,20
international love,20
pitbull international love,20
katy perry,20
crazy pitbull,15
crazy,15
pitbull bon bon,15
christina aguilera,15
neyo,15
lady gaga,15
lmfao,15
bruno mars,15
david guetta,15
don omar,15
pitbull fights,10
pitbull the anthem,10
pitbull 2010,10
pitbull 2012,10
pitbull new song,10
flo rida,10
pit bull,10
party rock anthem,10
room service pitbull,10
wisin y yandel,10
fireball pitbull,10
britney spears,10



Rising searches for pitbull
enrique iglesias,Breakout
give me everything,Breakout
hey baby,Breakout
hey baby pitbull,Breakout
hotel room pitbull,Breakout
jennifer lopez,Breakout
pitbull tonight,Breakout
timber,Breakout
timber pitbull,Breakout
timber pitbull kesha,Breakout



