YouTube Search interest: bruno mars
United States; Jan 2008 - Jul 2015

Interest over time
Week,bruno mars
2009-03-22 - 2009-03-28,0
2009-03-29 - 2009-04-04,0
2009-04-05 - 2009-04-11,0
2009-04-12 - 2009-04-18,0
2009-04-19 - 2009-04-25,0
2009-04-26 - 2009-05-02,0
2009-05-03 - 2009-05-09,0
2009-05-10 - 2009-05-16,0
2009-05-17 - 2009-05-23,0
2009-05-24 - 2009-05-30,0
2009-05-31 - 2009-06-06,0
2009-06-07 - 2009-06-13,0
2009-06-14 - 2009-06-20,0
2009-06-21 - 2009-06-27,0
2009-06-28 - 2009-07-04,0
2009-07-05 - 2009-07-11,0
2009-07-12 - 2009-07-18,0
2009-07-19 - 2009-07-25,0
2009-07-26 - 2009-08-01,0
2009-08-02 - 2009-08-08,0
2009-08-09 - 2009-08-15,0
2009-08-16 - 2009-08-22,0
2009-08-23 - 2009-08-29,0
2009-08-30 - 2009-09-05,0
2009-09-06 - 2009-09-12,0
2009-09-13 - 2009-09-19,0
2009-09-20 - 2009-09-26,0
2009-09-27 - 2009-10-03,0
2009-10-04 - 2009-10-10,0
2009-10-11 - 2009-10-17,0
2009-10-18 - 2009-10-24,0
2009-10-25 - 2009-10-31,0
2009-11-01 - 2009-11-07,0
2009-11-08 - 2009-11-14,0
2009-11-15 - 2009-11-21,0
2009-11-22 - 2009-11-28,0
2009-11-29 - 2009-12-05,0
2009-12-06 - 2009-12-12,0
2009-12-13 - 2009-12-19,0
2009-12-20 - 2009-12-26,0
2009-12-27 - 2010-01-02,0
2010-01-03 - 2010-01-09,0
2010-01-10 - 2010-01-16,0
2010-01-17 - 2010-01-23,0
2010-01-24 - 2010-01-30,0
2010-01-31 - 2010-02-06,0
2010-02-07 - 2010-02-13,1
2010-02-14 - 2010-02-20,1
2010-02-21 - 2010-02-27,1
2010-02-28 - 2010-03-06,1
2010-03-07 - 2010-03-13,2
2010-03-14 - 2010-03-20,2
2010-03-21 - 2010-03-27,3
2010-03-28 - 2010-04-03,3
2010-04-04 - 2010-04-10,3
2010-04-11 - 2010-04-17,3
2010-04-18 - 2010-04-24,3
2010-04-25 - 2010-05-01,3
2010-05-02 - 2010-05-08,4
2010-05-09 - 2010-05-15,5
2010-05-16 - 2010-05-22,6
2010-05-23 - 2010-05-29,6
2010-05-30 - 2010-06-05,6
2010-06-06 - 2010-06-12,5
2010-06-13 - 2010-06-19,5
2010-06-20 - 2010-06-26,5
2010-06-27 - 2010-07-03,4
2010-07-04 - 2010-07-10,5
2010-07-11 - 2010-07-17,4
2010-07-18 - 2010-07-24,9
2010-07-25 - 2010-07-31,14
2010-08-01 - 2010-08-07,20
2010-08-08 - 2010-08-14,23
2010-08-15 - 2010-08-21,30
2010-08-22 - 2010-08-28,39
2010-08-29 - 2010-09-04,42
2010-09-05 - 2010-09-11,43
2010-09-12 - 2010-09-18,49
2010-09-19 - 2010-09-25,50
2010-09-26 - 2010-10-02,51
2010-10-03 - 2010-10-09,53
2010-10-10 - 2010-10-16,55
2010-10-17 - 2010-10-23,55
2010-10-24 - 2010-10-30,53
2010-10-31 - 2010-11-06,57
2010-11-07 - 2010-11-13,60
2010-11-14 - 2010-11-20,62
2010-11-21 - 2010-11-27,89
2010-11-28 - 2010-12-04,91
2010-12-05 - 2010-12-11,94
2010-12-12 - 2010-12-18,97
2010-12-19 - 2010-12-25,100
2010-12-26 - 2011-01-01,88
2011-01-02 - 2011-01-08,94
2011-01-09 - 2011-01-15,91
2011-01-16 - 2011-01-22,88
2011-01-23 - 2011-01-29,85
2011-01-30 - 2011-02-05,80
2011-02-06 - 2011-02-12,75
2011-02-13 - 2011-02-19,85
2011-02-20 - 2011-02-26,74
2011-02-27 - 2011-03-05,67
2011-03-06 - 2011-03-12,67
2011-03-13 - 2011-03-19,63
2011-03-20 - 2011-03-26,59
2011-03-27 - 2011-04-02,57
2011-04-03 - 2011-04-09,57
2011-04-10 - 2011-04-16,63
2011-04-17 - 2011-04-23,80
2011-04-24 - 2011-04-30,83
2011-05-01 - 2011-05-07,87
2011-05-08 - 2011-05-14,97
2011-05-15 - 2011-05-21,90
2011-05-22 - 2011-05-28,87
2011-05-29 - 2011-06-04,94
2011-06-05 - 2011-06-11,93
2011-06-12 - 2011-06-18,91
2011-06-19 - 2011-06-25,89
2011-06-26 - 2011-07-02,86
2011-07-03 - 2011-07-09,81
2011-07-10 - 2011-07-16,84
2011-07-17 - 2011-07-23,80
2011-07-24 - 2011-07-30,78
2011-07-31 - 2011-08-06,76
2011-08-07 - 2011-08-13,74
2011-08-14 - 2011-08-20,69
2011-08-21 - 2011-08-27,69
2011-08-28 - 2011-09-03,78
2011-09-04 - 2011-09-10,64
2011-09-11 - 2011-09-17,56
2011-09-18 - 2011-09-24,55
2011-09-25 - 2011-10-01,60
2011-10-02 - 2011-10-08,55
2011-10-09 - 2011-10-15,52
2011-10-16 - 2011-10-22,49
2011-10-23 - 2011-10-29,51
2011-10-30 - 2011-11-05,52
2011-11-06 - 2011-11-12,62
2011-11-13 - 2011-11-19,72
2011-11-20 - 2011-11-26,83
2011-11-27 - 2011-12-03,76
2011-12-04 - 2011-12-10,74
2011-12-11 - 2011-12-17,73
2011-12-18 - 2011-12-24,75
2011-12-25 - 2011-12-31,68
2012-01-01 - 2012-01-07,60
2012-01-08 - 2012-01-14,57
2012-01-15 - 2012-01-21,57
2012-01-22 - 2012-01-28,53
2012-01-29 - 2012-02-04,63
2012-02-05 - 2012-02-11,55
2012-02-12 - 2012-02-18,70
2012-02-19 - 2012-02-25,54
2012-02-26 - 2012-03-03,49
2012-03-04 - 2012-03-10,47
2012-03-11 - 2012-03-17,43
2012-03-18 - 2012-03-24,40
2012-03-25 - 2012-03-31,37
2012-04-01 - 2012-04-07,37
2012-04-08 - 2012-04-14,32
2012-04-15 - 2012-04-21,32
2012-04-22 - 2012-04-28,30
2012-04-29 - 2012-05-05,29
2012-05-06 - 2012-05-12,29
2012-05-13 - 2012-05-19,29
2012-05-20 - 2012-05-26,29
2012-05-27 - 2012-06-02,32
2012-06-03 - 2012-06-09,28
2012-06-10 - 2012-06-16,28
2012-06-17 - 2012-06-23,25
2012-06-24 - 2012-06-30,26
2012-07-01 - 2012-07-07,24
2012-07-08 - 2012-07-14,23
2012-07-15 - 2012-07-21,23
2012-07-22 - 2012-07-28,22
2012-07-29 - 2012-08-04,21
2012-08-05 - 2012-08-11,21
2012-08-12 - 2012-08-18,21
2012-08-19 - 2012-08-25,20
2012-08-26 - 2012-09-01,20
2012-09-02 - 2012-09-08,21
2012-09-09 - 2012-09-15,20
2012-09-16 - 2012-09-22,22
2012-09-23 - 2012-09-29,22
2012-09-30 - 2012-10-06,27
2012-10-07 - 2012-10-13,28
2012-10-14 - 2012-10-20,29
2012-10-21 - 2012-10-27,42
2012-10-28 - 2012-11-03,38
2012-11-04 - 2012-11-10,42
2012-11-11 - 2012-11-17,41
2012-11-18 - 2012-11-24,42
2012-11-25 - 2012-12-01,38
2012-12-02 - 2012-12-08,47
2012-12-09 - 2012-12-15,54
2012-12-16 - 2012-12-22,59
2012-12-23 - 2012-12-29,56
2012-12-30 - 2013-01-05,46
2013-01-06 - 2013-01-12,45
2013-01-13 - 2013-01-19,46
2013-01-20 - 2013-01-26,46
2013-01-27 - 2013-02-02,50
2013-02-03 - 2013-02-09,54
2013-02-10 - 2013-02-16,72
2013-02-17 - 2013-02-23,65
2013-02-24 - 2013-03-02,67
2013-03-03 - 2013-03-09,74
2013-03-10 - 2013-03-16,75
2013-03-17 - 2013-03-23,69
2013-03-24 - 2013-03-30,67
2013-03-31 - 2013-04-06,65
2013-04-07 - 2013-04-13,62
2013-04-14 - 2013-04-20,58
2013-04-21 - 2013-04-27,57
2013-04-28 - 2013-05-04,54
2013-05-05 - 2013-05-11,56
2013-05-12 - 2013-05-18,60
2013-05-19 - 2013-05-25,58
2013-05-26 - 2013-06-01,54
2013-06-02 - 2013-06-08,56
2013-06-09 - 2013-06-15,52
2013-06-16 - 2013-06-22,56
2013-06-23 - 2013-06-29,56
2013-06-30 - 2013-07-06,52
2013-07-07 - 2013-07-13,49
2013-07-14 - 2013-07-20,46
2013-07-21 - 2013-07-27,41
2013-07-28 - 2013-08-03,41
2013-08-04 - 2013-08-10,41
2013-08-11 - 2013-08-17,43
2013-08-18 - 2013-08-24,42
2013-08-25 - 2013-08-31,53
2013-09-01 - 2013-09-07,42
2013-09-08 - 2013-09-14,42
2013-09-15 - 2013-09-21,38
2013-09-22 - 2013-09-28,37
2013-09-29 - 2013-10-05,37
2013-10-06 - 2013-10-12,35
2013-10-13 - 2013-10-19,41
2013-10-20 - 2013-10-26,35
2013-10-27 - 2013-11-02,33
2013-11-03 - 2013-11-09,31
2013-11-10 - 2013-11-16,31
2013-11-17 - 2013-11-23,28
2013-11-24 - 2013-11-30,27
2013-12-01 - 2013-12-07,24
2013-12-08 - 2013-12-14,24
2013-12-15 - 2013-12-21,23
2013-12-22 - 2013-12-28,24
2013-12-29 - 2014-01-04,22
2014-01-05 - 2014-01-11,22
2014-01-12 - 2014-01-18,24
2014-01-19 - 2014-01-25,23
2014-01-26 - 2014-02-01,29
2014-02-02 - 2014-02-08,81
2014-02-09 - 2014-02-15,37
2014-02-16 - 2014-02-22,30
2014-02-23 - 2014-03-01,27
2014-03-02 - 2014-03-08,27
2014-03-09 - 2014-03-15,26
2014-03-16 - 2014-03-22,24
2014-03-23 - 2014-03-29,23
2014-03-30 - 2014-04-05,21
2014-04-06 - 2014-04-12,20
2014-04-13 - 2014-04-19,20
2014-04-20 - 2014-04-26,20
2014-04-27 - 2014-05-03,19
2014-05-04 - 2014-05-10,19
2014-05-11 - 2014-05-17,18
2014-05-18 - 2014-05-24,19
2014-05-25 - 2014-05-31,18
2014-06-01 - 2014-06-07,19
2014-06-08 - 2014-06-14,18
2014-06-15 - 2014-06-21,17
2014-06-22 - 2014-06-28,18
2014-06-29 - 2014-07-05,17
2014-07-06 - 2014-07-12,16
2014-07-13 - 2014-07-19,16
2014-07-20 - 2014-07-26,16
2014-07-27 - 2014-08-02,15
2014-08-03 - 2014-08-09,14
2014-08-10 - 2014-08-16,14
2014-08-17 - 2014-08-23,13
2014-08-24 - 2014-08-30,13
2014-08-31 - 2014-09-06,13
2014-09-07 - 2014-09-13,13
2014-09-14 - 2014-09-20,13
2014-09-21 - 2014-09-27,12
2014-09-28 - 2014-10-04,12
2014-10-05 - 2014-10-11,13
2014-10-12 - 2014-10-18,13
2014-10-19 - 2014-10-25,12
2014-10-26 - 2014-11-01,12
2014-11-02 - 2014-11-08,12
2014-11-09 - 2014-11-15,13
2014-11-16 - 2014-11-22,16
2014-11-23 - 2014-11-29,26
2014-11-30 - 2014-12-06,24
2014-12-07 - 2014-12-13,29
2014-12-14 - 2014-12-20,36
2014-12-21 - 2014-12-27,34
2014-12-28 - 2015-01-03,34
2015-01-04 - 2015-01-10,33
2015-01-11 - 2015-01-17,32
2015-01-18 - 2015-01-24,38
2015-01-25 - 2015-01-31,35
2015-02-01 - 2015-02-07,36
2015-02-08 - 2015-02-14,32
2015-02-15 - 2015-02-21,33
2015-02-22 - 2015-02-28,38
2015-03-01 - 2015-03-07,26
2015-03-08 - 2015-03-14,22
2015-03-15 - 2015-03-21,23
2015-03-22 - 2015-03-28,22
2015-03-29 - 2015-04-04,20
2015-04-05 - 2015-04-11,19
2015-04-12 - 2015-04-18,18
2015-04-19 - 2015-04-25,17
2015-04-26 - 2015-05-02,17
2015-05-03 - 2015-05-09,17
2015-05-10 - 2015-05-16,17
2015-05-17 - 2015-05-23,16
2015-05-24 - 2015-05-30,16
2015-05-31 - 2015-06-06,15
2015-06-07 - 2015-06-13,15
2015-06-14 - 2015-06-20,14
2015-06-21 - 2015-06-27,13
2015-06-28 - 2015-07-04,12
2015-07-05 - 2015-07-11,12
2015-07-12 - 2015-07-18,12
2015-07-19 - 2015-07-25,11
2015-07-26 - 2015-08-01,11


Top sub-regions for bruno mars
Sub-region,bruno mars
Hawaii,100
New Mexico,73
Nevada,73
Iowa,73
Arizona,72
California,70
Texas,70
Utah,69
Indiana,68
South Dakota,68
Idaho,68
West Virginia,67
Ohio,66
North Dakota,66
Michigan,66
Wisconsin,65
Kentucky,65
Florida,64
Kansas,63
Minnesota,63
Illinois,63
Pennsylvania,63
Nebraska,62
New York,61
Oklahoma,61
North Carolina,60
Arkansas,60
Colorado,60
New Jersey,59
Wyoming,59
Washington,58
Montana,57
South Carolina,57
Missouri,57
Rhode Island,57
Tennessee,57
Georgia,57
Louisiana,56
Maine,55
Alabama,54
Delaware,53
Connecticut,53
Mississippi,53
Massachusetts,53
Oregon,52
Maryland,52
Alaska,51
New Hampshire,50
Vermont,46
Virginia,36
District of Columbia,31


Top metros for bruno mars
Metro,bruno mars
Yuma AZ-El Centro CA,100
Honolulu HI,70
Odessa-Midland TX,68
Bakersfield CA,65
Harlingen-Weslaco-Brownsville-McAllen TX,64
Amarillo TX,63
El Paso TX,62
Laredo TX,61
Sioux City IA,60
Lima OH,59
Elmira NY,59
Fresno-Visalia CA,58
Palm Springs CA,58
Wichita-Hutchinson KS,56
Rockford IL,56
Utica NY,55
Watertown NY,55
Ft. Myers-Naples FL,54
Abilene-Sweetwater TX,54
Los Angeles CA,54
Davenport IA-Rock Island-Moline IL,54
Quincy IL-Hannibal MO-Keokuk IA,53
Las Vegas NV,52
South Bend-Elkhart IN,52
Ft. Wayne IN,52
San Antonio TX,52
Green Bay-Appleton WI,52
Wichita Falls TX & Lawton OK,51
San Angelo TX,51
Bluefield-Beckley-Oak Hill WV,51
Minot-Bismarck-Dickinson(Williston) ND,51
Phoenix AZ,51
Grand Rapids-Kalamazoo-Battle Creek MI,51
Biloxi-Gulfport MS,50
Yakima-Pasco-Richland-Kennewick WA,50
Traverse City-Cadillac MI,50
Boise ID,50
Albuquerque-Santa Fe NM,50
Peoria-Bloomington IL,49
Dayton OH,49
Salt Lake City UT,49
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,49
Billings MT,49
Clarksburg-Weston WV,49
Lubbock TX,49
Reno NV,48
New York NY,48
Rapid City SD,48
Chico-Redding CA,48
Tucson (Sierra Vista) AZ,48
Sioux Falls(Mitchell) SD,47
Tampa-St. Petersburg (Sarasota) FL,47
Corpus Christi TX,47
Cheyenne WY-Scottsbluff NE,47
Evansville IN,47
Charleston-Huntington WV,46
Monterey-Salinas CA,46
Toledo OH,46
Spokane WA,46
Youngstown OH,46
Grand Junction-Montrose CO,46
San Diego CA,46
Terre Haute IN,46
Florence-Myrtle Beach SC,46
Joplin MO-Pittsburg KS,46
Sherman TX-Ada OK,46
Wilkes Barre-Scranton PA,45
Beaumont-Port Arthur TX,45
Fargo-Valley City ND,45
Ft. Smith-Fayetteville-Springdale-Rogers AR,45
Springfield MO,45
Cleveland-Akron (Canton) OH,45
Minneapolis-St. Paul MN,45
Houston TX,45
Lansing MI,44
Milwaukee WI,44
Erie PA,44
Providence RI-New Bedford MA,44
Medford-Klamath Falls OR,44
Indianapolis IN,44
Des Moines-Ames IA,44
Chicago IL,44
Lafayette IN,44
Wausau-Rhinelander WI,44
Louisville KY,44
Flint-Saginaw-Bay City MI,44
Colorado Springs-Pueblo CO,44
Sacramento-Stockton-Modesto CA,44
Topeka KS,44
Lincoln & Hastings-Kearney NE,43
Missoula MT,43
Mankato MN,43
Greenville-New Bern-Washington NC,43
Rochester MN-Mason City IA-Austin MN,43
Idaho Falls-Pocatello ID,43
Marquette MI,43
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,43
Omaha NE,42
Chattanooga TN,42
Columbia-Jefferson City MO,42
Greensboro-High Point-Winston Salem NC,42
Lexington KY,42
Lake Charles LA,42
Charlotte NC,41
Cincinnati OH,41
Champaign & Springfield-Decatur IL,41
Mobile AL-Pensacola (Ft. Walton Beach) FL,41
Albany GA,41
Duluth MN-Superior WI,41
La Crosse-Eau Claire WI,41
Dothan AL,41
Buffalo NY,41
Columbus-Tupelo-West Point MS,41
Columbus OH,41
Little Rock-Pine Bluff AR,40
Huntsville-Decatur (Florence) AL,40
Santa Barbara-Santa Maria-San Luis Obispo CA,40
Columbus GA,40
Savannah GA,40
Tulsa OK,40
Binghamton NY,40
Orlando-Daytona Beach-Melbourne FL,40
Monroe LA-El Dorado AR,40
Harrisburg-Lancaster-Lebanon-York PA,40
Augusta GA,40
Memphis TN,39
Miami-Ft. Lauderdale FL,39
Philadelphia PA,39
Eugene OR,39
Johnstown-Altoona PA,39
Tyler-Longview(Lufkin & Nacogdoches) TX,39
Salisbury MD,39
Charleston SC,39
Tri-Cities TN-VA,39
Atlanta GA,39
Greenville-Spartanburg SC-Asheville NC-Anderson SC,39
Detroit MI,39
Knoxville TN,39
Panama City FL,38
Bowling Green KY,38
Oklahoma City OK,38
Nashville TN,38
Kansas City MO,38
Shreveport LA,38
Madison WI,38
Denver CO,37
Pittsburgh PA,37
Albany-Schenectady-Troy NY,37
Portland-Auburn ME,37
Wilmington NC,37
Columbia SC,37
Bangor ME,37
Waco-Temple-Bryan TX,37
Norfolk-Portsmouth-Newport News VA,37
Jacksonville FL,37
Hartford & New Haven CT,36
Dallas-Ft. Worth TX,36
New Orleans LA,36
Harrisonburg VA,36
Austin TX,36
Raleigh-Durham (Fayetteville) NC,36
West Palm Beach-Ft. Pierce FL,36
Seattle-Tacoma WA,36
Tallahassee FL-Thomasville GA,36
St. Louis MO,36
Anchorage AK,35
Syracuse NY,35
Rochester NY,35
Springfield-Holyoke MA,35
Birmingham AL,34
Boston MA-Manchester NH,34
Portland OR,34
Macon GA,34
Montgomery (Selma) AL,34
Burlington VT-Plattsburgh NY,34
Jackson TN,33
Baton Rouge LA,32
Richmond-Petersburg VA,32
Baltimore MD,32
Gainesville FL,32
Roanoke-Lynchburg VA,32
Lafayette LA,32
Charlottesville VA,30
San Francisco-Oakland-San Jose CA,28
Washington DC (Hagerstown MD),25
Jackson MS,25
Presque Isle ME,0
Wheeling WV-Steubenville OH,0
Alpena MI,0
Zanesville OH,0
Parkersburg WV,0
Victoria TX,0
Ottumwa IA-Kirksville MO,0
St. Joseph MO,0
Alexandria LA,0
Greenwood-Greenville MS,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Jonesboro AR,0
North Platte NE,0
Fairbanks AK,0
Juneau AK,0
Butte-Bozeman MT,0
Great Falls MT,0
Twin Falls ID,0
Helena MT,0
Casper-Riverton WY,0
Glendive MT,0
Eureka CA,0
Bend OR,0


Top cities for bruno mars
Town/City,bruno mars
McAllen,100
Honolulu,90
Las Vegas,80
San Antonio,75
Los Angeles,70
Houston,69
Phoenix,67
San Jose,66
San Diego,66
New York,64
Denver,63
Philadelphia,56
Chicago,53
Dallas,52
San Francisco,51



Top searches for bruno mars
bruno mars lyrics,100
lazy song,55
grenade,55
bruno mars grenade,55
rain bruno mars,35
it will rain,30
the lazy song,25
marry you,20
lil wayne,20
justin bieber,15
treasure bruno mars,15
eminem,15
bruno mars lighters,15
lazy song lyrics,15
lighters,15
katy perry,10
rihanna,10
bruno mars songs,10
count on me,10
chris brown,10
taylor swift,10
nicki minaj,10
drake,10
uptown funk,10
billionaire,10
billionaire bruno mars,10
mirror lil wayne,10
bruno mars live,5
adele,5
beyonce,5
bruno mars gorilla,5
marry me,5
wiz khalifa,5
selena gomez,5
maroon 5,5
lady gaga,5
usher,5
runaway bruno mars,5
eminem lighters,5
pink,5
pitbull,5
kesha,5
glee,5
one direction,5
again bruno mars,5
justin bieber baby,5
super bass,5
britney spears,5
justin timberlake,5
jason derulo,5



Rising searches for bruno mars
bruno mars grenade,Breakout
bruno mars lighters,Breakout
bruno mars lyrics,Breakout
eminem,Breakout
grenade,Breakout
it will rain,Breakout
justin bieber,Breakout
lazy song,Breakout
lazy song lyrics,Breakout
lil wayne,Breakout



