YouTube Search interest: flo rida
United States; Jan 2008 - Jul 2015

Interest over time
Week,flo rida
2010-05-09 - 2010-05-15,10
2010-05-16 - 2010-05-22,13
2010-05-23 - 2010-05-29,11
2010-05-30 - 2010-06-05,11
2010-06-06 - 2010-06-12,11
2010-06-13 - 2010-06-19,10
2010-06-20 - 2010-06-26,12
2010-06-27 - 2010-07-03,12
2010-07-04 - 2010-07-10,12
2010-07-11 - 2010-07-17,14
2010-07-18 - 2010-07-24,19
2010-07-25 - 2010-07-31,21
2010-08-01 - 2010-08-07,25
2010-08-08 - 2010-08-14,28
2010-08-15 - 2010-08-21,32
2010-08-22 - 2010-08-28,35
2010-08-29 - 2010-09-04,37
2010-09-05 - 2010-09-11,36
2010-09-12 - 2010-09-18,36
2010-09-19 - 2010-09-25,38
2010-09-26 - 2010-10-02,35
2010-10-03 - 2010-10-09,40
2010-10-10 - 2010-10-16,39
2010-10-17 - 2010-10-23,38
2010-10-24 - 2010-10-30,37
2010-10-31 - 2010-11-06,39
2010-11-07 - 2010-11-13,34
2010-11-14 - 2010-11-20,33
2010-11-21 - 2010-11-27,31
2010-11-28 - 2010-12-04,29
2010-12-05 - 2010-12-11,28
2010-12-12 - 2010-12-18,26
2010-12-19 - 2010-12-25,26
2010-12-26 - 2011-01-01,25
2011-01-02 - 2011-01-08,25
2011-01-09 - 2011-01-15,27
2011-01-16 - 2011-01-22,25
2011-01-23 - 2011-01-29,21
2011-01-30 - 2011-02-05,21
2011-02-06 - 2011-02-12,21
2011-02-13 - 2011-02-19,21
2011-02-20 - 2011-02-26,22
2011-02-27 - 2011-03-05,20
2011-03-06 - 2011-03-12,19
2011-03-13 - 2011-03-19,17
2011-03-20 - 2011-03-26,15
2011-03-27 - 2011-04-02,15
2011-04-03 - 2011-04-09,15
2011-04-10 - 2011-04-16,16
2011-04-17 - 2011-04-23,14
2011-04-24 - 2011-04-30,14
2011-05-01 - 2011-05-07,14
2011-05-08 - 2011-05-14,14
2011-05-15 - 2011-05-21,14
2011-05-22 - 2011-05-28,15
2011-05-29 - 2011-06-04,17
2011-06-05 - 2011-06-11,17
2011-06-12 - 2011-06-18,16
2011-06-19 - 2011-06-25,16
2011-06-26 - 2011-07-02,16
2011-07-03 - 2011-07-09,15
2011-07-10 - 2011-07-16,16
2011-07-17 - 2011-07-23,14
2011-07-24 - 2011-07-30,15
2011-07-31 - 2011-08-06,14
2011-08-07 - 2011-08-13,12
2011-08-14 - 2011-08-20,12
2011-08-21 - 2011-08-27,11
2011-08-28 - 2011-09-03,14
2011-09-04 - 2011-09-10,14
2011-09-11 - 2011-09-17,13
2011-09-18 - 2011-09-24,14
2011-09-25 - 2011-10-01,14
2011-10-02 - 2011-10-08,16
2011-10-09 - 2011-10-15,17
2011-10-16 - 2011-10-22,19
2011-10-23 - 2011-10-29,27
2011-10-30 - 2011-11-05,34
2011-11-06 - 2011-11-12,31
2011-11-13 - 2011-11-19,32
2011-11-20 - 2011-11-26,32
2011-11-27 - 2011-12-03,30
2011-12-04 - 2011-12-10,29
2011-12-11 - 2011-12-17,29
2011-12-18 - 2011-12-24,32
2011-12-25 - 2011-12-31,30
2012-01-01 - 2012-01-07,28
2012-01-08 - 2012-01-14,30
2012-01-15 - 2012-01-21,30
2012-01-22 - 2012-01-28,30
2012-01-29 - 2012-02-04,29
2012-02-05 - 2012-02-11,32
2012-02-12 - 2012-02-18,33
2012-02-19 - 2012-02-25,33
2012-02-26 - 2012-03-03,36
2012-03-04 - 2012-03-10,40
2012-03-11 - 2012-03-17,44
2012-03-18 - 2012-03-24,48
2012-03-25 - 2012-03-31,53
2012-04-01 - 2012-04-07,54
2012-04-08 - 2012-04-14,52
2012-04-15 - 2012-04-21,55
2012-04-22 - 2012-04-28,57
2012-04-29 - 2012-05-05,52
2012-05-06 - 2012-05-12,50
2012-05-13 - 2012-05-19,51
2012-05-20 - 2012-05-26,46
2012-05-27 - 2012-06-02,42
2012-06-03 - 2012-06-09,46
2012-06-10 - 2012-06-16,46
2012-06-17 - 2012-06-23,45
2012-06-24 - 2012-06-30,50
2012-07-01 - 2012-07-07,65
2012-07-08 - 2012-07-14,72
2012-07-15 - 2012-07-21,79
2012-07-22 - 2012-07-28,88
2012-07-29 - 2012-08-04,98
2012-08-05 - 2012-08-11,100
2012-08-12 - 2012-08-18,100
2012-08-19 - 2012-08-25,95
2012-08-26 - 2012-09-01,93
2012-09-02 - 2012-09-08,89
2012-09-09 - 2012-09-15,77
2012-09-16 - 2012-09-22,75
2012-09-23 - 2012-09-29,73
2012-09-30 - 2012-10-06,70
2012-10-07 - 2012-10-13,64
2012-10-14 - 2012-10-20,61
2012-10-21 - 2012-10-27,64
2012-10-28 - 2012-11-03,64
2012-11-04 - 2012-11-10,62
2012-11-11 - 2012-11-17,61
2012-11-18 - 2012-11-24,62
2012-11-25 - 2012-12-01,51
2012-12-02 - 2012-12-08,49
2012-12-09 - 2012-12-15,46
2012-12-16 - 2012-12-22,46
2012-12-23 - 2012-12-29,47
2012-12-30 - 2013-01-05,44
2013-01-06 - 2013-01-12,39
2013-01-13 - 2013-01-19,38
2013-01-20 - 2013-01-26,33
2013-01-27 - 2013-02-02,32
2013-02-03 - 2013-02-09,31
2013-02-10 - 2013-02-16,33
2013-02-17 - 2013-02-23,27
2013-02-24 - 2013-03-02,23
2013-03-03 - 2013-03-09,23
2013-03-10 - 2013-03-16,22
2013-03-17 - 2013-03-23,21
2013-03-24 - 2013-03-30,21
2013-03-31 - 2013-04-06,18
2013-04-07 - 2013-04-13,17
2013-04-14 - 2013-04-20,16
2013-04-21 - 2013-04-27,16
2013-04-28 - 2013-05-04,16
2013-05-05 - 2013-05-11,14
2013-05-12 - 2013-05-18,15
2013-05-19 - 2013-05-25,15
2013-05-26 - 2013-06-01,15
2013-06-02 - 2013-06-08,14
2013-06-09 - 2013-06-15,14
2013-06-16 - 2013-06-22,12
2013-06-23 - 2013-06-29,12
2013-06-30 - 2013-07-06,11
2013-07-07 - 2013-07-13,12
2013-07-14 - 2013-07-20,11
2013-07-21 - 2013-07-27,11
2013-07-28 - 2013-08-03,13
2013-08-04 - 2013-08-10,12
2013-08-11 - 2013-08-17,11
2013-08-18 - 2013-08-24,12
2013-08-25 - 2013-08-31,11
2013-09-01 - 2013-09-07,11
2013-09-08 - 2013-09-14,11
2013-09-15 - 2013-09-21,10
2013-09-22 - 2013-09-28,10
2013-09-29 - 2013-10-05,10
2013-10-06 - 2013-10-12,9
2013-10-13 - 2013-10-19,9
2013-10-20 - 2013-10-26,8
2013-10-27 - 2013-11-02,9
2013-11-03 - 2013-11-09,10
2013-11-10 - 2013-11-16,9
2013-11-17 - 2013-11-23,10
2013-11-24 - 2013-11-30,11
2013-12-01 - 2013-12-07,10
2013-12-08 - 2013-12-14,11
2013-12-15 - 2013-12-21,10
2013-12-22 - 2013-12-28,10
2013-12-29 - 2014-01-04,10
2014-01-05 - 2014-01-11,12
2014-01-12 - 2014-01-18,12
2014-01-19 - 2014-01-25,11
2014-01-26 - 2014-02-01,10
2014-02-02 - 2014-02-08,9
2014-02-09 - 2014-02-15,8
2014-02-16 - 2014-02-22,8
2014-02-23 - 2014-03-01,8
2014-03-02 - 2014-03-08,8
2014-03-09 - 2014-03-15,8
2014-03-16 - 2014-03-22,6
2014-03-23 - 2014-03-29,7
2014-03-30 - 2014-04-05,6
2014-04-06 - 2014-04-12,7
2014-04-13 - 2014-04-19,6
2014-04-20 - 2014-04-26,7
2014-04-27 - 2014-05-03,6
2014-05-04 - 2014-05-10,7
2014-05-11 - 2014-05-17,7
2014-05-18 - 2014-05-24,7
2014-05-25 - 2014-05-31,7
2014-06-01 - 2014-06-07,7
2014-06-08 - 2014-06-14,6
2014-06-15 - 2014-06-21,7
2014-06-22 - 2014-06-28,5
2014-06-29 - 2014-07-05,6
2014-07-06 - 2014-07-12,6
2014-07-13 - 2014-07-19,6
2014-07-20 - 2014-07-26,7
2014-07-27 - 2014-08-02,5
2014-08-03 - 2014-08-09,6
2014-08-10 - 2014-08-16,5
2014-08-17 - 2014-08-23,6
2014-08-24 - 2014-08-30,5
2014-08-31 - 2014-09-06,5
2014-09-07 - 2014-09-13,5
2014-09-14 - 2014-09-20,5
2014-09-21 - 2014-09-27,5
2014-09-28 - 2014-10-04,5
2014-10-05 - 2014-10-11,5
2014-10-12 - 2014-10-18,5
2014-10-19 - 2014-10-25,6
2014-10-26 - 2014-11-01,8
2014-11-02 - 2014-11-08,8
2014-11-09 - 2014-11-15,9
2014-11-16 - 2014-11-22,8
2014-11-23 - 2014-11-29,7
2014-11-30 - 2014-12-06,8
2014-12-07 - 2014-12-13,8
2014-12-14 - 2014-12-20,9
2014-12-21 - 2014-12-27,9
2014-12-28 - 2015-01-03,8
2015-01-04 - 2015-01-10,10
2015-01-11 - 2015-01-17,10
2015-01-18 - 2015-01-24,10
2015-01-25 - 2015-01-31,12
2015-02-01 - 2015-02-07,11
2015-02-08 - 2015-02-14,12
2015-02-15 - 2015-02-21,12
2015-02-22 - 2015-02-28,13
2015-03-01 - 2015-03-07,13
2015-03-08 - 2015-03-14,14
2015-03-15 - 2015-03-21,13
2015-03-22 - 2015-03-28,13
2015-03-29 - 2015-04-04,13
2015-04-05 - 2015-04-11,15
2015-04-12 - 2015-04-18,15
2015-04-19 - 2015-04-25,14
2015-04-26 - 2015-05-02,13
2015-05-03 - 2015-05-09,12
2015-05-10 - 2015-05-16,14
2015-05-17 - 2015-05-23,13
2015-05-24 - 2015-05-30,12
2015-05-31 - 2015-06-06,11
2015-06-07 - 2015-06-13,10
2015-06-14 - 2015-06-20,10
2015-06-21 - 2015-06-27,8
2015-06-28 - 2015-07-04,9
2015-07-05 - 2015-07-11,8
2015-07-12 - 2015-07-18,8
2015-07-19 - 2015-07-25,8
2015-07-26 - 2015-08-01,8


Top sub-regions for flo rida
Sub-region,flo rida
South Dakota,100
North Dakota,87
Maine,81
Iowa,80
Montana,77
Wyoming,76
Wisconsin,74
New Hampshire,72
Nebraska,69
Pennsylvania,68
Michigan,68
Idaho,66
Vermont,65
West Virginia,65
Minnesota,64
Ohio,63
Massachusetts,61
New Jersey,61
Colorado,61
Missouri,60
Illinois,60
Indiana,60
Utah,59
Florida,58
Kansas,58
New Mexico,58
Kentucky,58
New York,57
Rhode Island,57
Connecticut,56
Hawaii,55
Arizona,52
North Carolina,51
Washington,51
Alaska,50
South Carolina,49
Delaware,49
Georgia,49
Texas,48
California,48
Alabama,47
Tennessee,47
Maryland,47
Nevada,46
Oklahoma,45
Arkansas,45
District of Columbia,45
Oregon,44
Louisiana,44
Virginia,43
Mississippi,43


Top metros for flo rida
Metro,flo rida
Sioux Falls(Mitchell) SD,100
Minot-Bismarck-Dickinson(Williston) ND,95
Sioux City IA,92
Johnstown-Altoona PA,83
Wausau-Rhinelander WI,82
Green Bay-Appleton WI,82
Fargo-Valley City ND,79
Lincoln & Hastings-Kearney NE,79
Portland-Auburn ME,78
Binghamton NY,76
Davenport IA-Rock Island-Moline IL,75
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,75
Rochester MN-Mason City IA-Austin MN,73
Wilkes Barre-Scranton PA,70
La Crosse-Eau Claire WI,69
Des Moines-Ames IA,69
Flint-Saginaw-Bay City MI,66
Harrisburg-Lancaster-Lebanon-York PA,65
Ft. Wayne IN,64
Burlington VT-Plattsburgh NY,63
Spokane WA,63
Topeka KS,63
Syracuse NY,63
Springfield-Holyoke MA,62
Grand Rapids-Kalamazoo-Battle Creek MI,62
Albany-Schenectady-Troy NY,61
Boston MA-Manchester NH,61
Charleston-Huntington WV,61
Dayton OH,60
Lexington KY,60
Cleveland-Akron (Canton) OH,60
Madison WI,60
Chico-Redding CA,59
Wichita-Hutchinson KS,59
Pittsburgh PA,58
Rochester NY,58
Miami-Ft. Lauderdale FL,58
Tri-Cities TN-VA,58
Peoria-Bloomington IL,57
Boise ID,56
Cincinnati OH,56
Champaign & Springfield-Decatur IL,56
New York NY,56
Milwaukee WI,56
St. Louis MO,55
South Bend-Elkhart IN,55
Minneapolis-St. Paul MN,55
Providence RI-New Bedford MA,55
Salt Lake City UT,55
Springfield MO,54
Denver CO,54
Kansas City MO,54
Reno NV,54
Philadelphia PA,54
Detroit MI,53
Hartford & New Haven CT,53
Albuquerque-Santa Fe NM,53
Buffalo NY,53
Chicago IL,53
Columbus OH,52
Knoxville TN,51
Chattanooga TN,51
Toledo OH,51
Omaha NE,51
Honolulu HI,51
Colorado Springs-Pueblo CO,50
Ft. Myers-Naples FL,50
Tampa-St. Petersburg (Sarasota) FL,50
Orlando-Daytona Beach-Melbourne FL,50
Lansing MI,49
Phoenix AZ,49
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,49
Charleston SC,48
Louisville KY,48
Eugene OR,48
Greenville-New Bern-Washington NC,48
Huntsville-Decatur (Florence) AL,47
Indianapolis IN,47
Greenville-Spartanburg SC-Asheville NC-Anderson SC,47
Jacksonville FL,47
Seattle-Tacoma WA,47
Tucson (Sierra Vista) AZ,47
Charlotte NC,46
West Palm Beach-Ft. Pierce FL,46
Sacramento-Stockton-Modesto CA,46
Mobile AL-Pensacola (Ft. Walton Beach) FL,45
Roanoke-Lynchburg VA,44
Atlanta GA,44
Raleigh-Durham (Fayetteville) NC,44
Los Angeles CA,43
Santa Barbara-Santa Maria-San Luis Obispo CA,43
Bakersfield CA,43
Nashville TN,43
Richmond-Petersburg VA,42
Baltimore MD,42
El Paso TX,42
Las Vegas NV,42
Fresno-Visalia CA,42
Dallas-Ft. Worth TX,42
Savannah GA,42
Tallahassee FL-Thomasville GA,41
Columbia SC,41
San Antonio TX,41
Birmingham AL,41
Harlingen-Weslaco-Brownsville-McAllen TX,40
Monterey-Salinas CA,40
Little Rock-Pine Bluff AR,40
San Diego CA,39
Washington DC (Hagerstown MD),39
Ft. Smith-Fayetteville-Springdale-Rogers AR,39
Baton Rouge LA,38
Norfolk-Portsmouth-Newport News VA,38
Waco-Temple-Bryan TX,38
Portland OR,38
New Orleans LA,37
Houston TX,37
Jackson MS,37
Oklahoma City OK,37
San Francisco-Oakland-San Jose CA,36
Tulsa OK,36
Memphis TN,34
Greensboro-High Point-Winston Salem NC,34
Austin TX,34
Macon GA,0
Erie PA,0
Augusta GA,0
Columbus GA,0
Albany GA,0
Utica NY,0
Youngstown OH,0
Bangor ME,0
Traverse City-Cadillac MI,0
Watertown NY,0
Wilmington NC,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Elmira NY,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Dothan AL,0
Rockford IL,0
Shreveport LA,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Odessa-Midland TX,0
Amarillo TX,0
St. Joseph MO,0
Jackson TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Evansville IN,0
Lubbock TX,0
Panama City FL,0
Sherman TX-Ada OK,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Columbus-Tupelo-West Point MS,0
Duluth MN-Superior WI,0
Beaumont-Port Arthur TX,0
Montgomery (Selma) AL,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Medford-Klamath Falls OR,0
Bend OR,0


Top cities for flo rida
Town/City,flo rida
Miami,100
Denver,95
St. Louis,88
Boston,88
Richardson,87
Reston,85
Orlando,85
Phoenix,83
Columbus,80
Minneapolis,79
Philadelphia,77
Chicago,77
Tampa,77
Los Angeles,77
New York,76



Top searches for flo rida
whistle flo rida,100
whistle,100
flo rida low,65
low,65
wild ones,55
good feeling,45
right round,35
cry flo rida,30
i cry,30
sugar flo rida,25
sugar,25
pitbull,15
david guetta,15
florida,15
akon,10
maroon 5,10
flo rida ayer,10
ayer,10
jump flo rida,10
elevator flo rida,10
elevator,10
roll flo rida,10
wild one,5
gdfr flo rida,5
get low,5
be on you,5
sean kingston,5
in the ayer,5
right round lyrics,5
sia,5
florida right round,5



Rising searches for flo rida
cry flo rida,Breakout
good feeling,Breakout
i cry,Breakout
right round,Breakout
sugar,Breakout
sugar flo rida,Breakout
whistle,Breakout
whistle flo rida,Breakout
wild ones,Breakout



