YouTube Search interest: lady gaga
United States; Jan 2008 - Jul 2015

Interest over time
Week,lady gaga
2009-03-22 - 2009-03-28,23
2009-03-29 - 2009-04-04,21
2009-04-05 - 2009-04-11,24
2009-04-12 - 2009-04-18,21
2009-04-19 - 2009-04-25,22
2009-04-26 - 2009-05-02,23
2009-05-03 - 2009-05-09,23
2009-05-10 - 2009-05-16,25
2009-05-17 - 2009-05-23,27
2009-05-24 - 2009-05-30,29
2009-05-31 - 2009-06-06,32
2009-06-07 - 2009-06-13,31
2009-06-14 - 2009-06-20,30
2009-06-21 - 2009-06-27,30
2009-06-28 - 2009-07-04,26
2009-07-05 - 2009-07-11,23
2009-07-12 - 2009-07-18,23
2009-07-19 - 2009-07-25,23
2009-07-26 - 2009-08-01,21
2009-08-02 - 2009-08-08,21
2009-08-09 - 2009-08-15,24
2009-08-16 - 2009-08-22,24
2009-08-23 - 2009-08-29,22
2009-08-30 - 2009-09-05,22
2009-09-06 - 2009-09-12,23
2009-09-13 - 2009-09-19,62
2009-09-20 - 2009-09-26,43
2009-09-27 - 2009-10-03,36
2009-10-04 - 2009-10-10,41
2009-10-11 - 2009-10-17,33
2009-10-18 - 2009-10-24,32
2009-10-25 - 2009-10-31,34
2009-11-01 - 2009-11-07,38
2009-11-08 - 2009-11-14,51
2009-11-15 - 2009-11-21,71
2009-11-22 - 2009-11-28,83
2009-11-29 - 2009-12-05,78
2009-12-06 - 2009-12-12,74
2009-12-13 - 2009-12-19,71
2009-12-20 - 2009-12-26,69
2009-12-27 - 2010-01-02,66
2010-01-03 - 2010-01-09,60
2010-01-10 - 2010-01-16,57
2010-01-17 - 2010-01-23,57
2010-01-24 - 2010-01-30,56
2010-01-31 - 2010-02-06,73
2010-02-07 - 2010-02-13,51
2010-02-14 - 2010-02-20,51
2010-02-21 - 2010-02-27,45
2010-02-28 - 2010-03-06,45
2010-03-07 - 2010-03-13,77
2010-03-14 - 2010-03-20,100
2010-03-21 - 2010-03-27,74
2010-03-28 - 2010-04-03,62
2010-04-04 - 2010-04-10,52
2010-04-11 - 2010-04-17,53
2010-04-18 - 2010-04-24,49
2010-04-25 - 2010-05-01,49
2010-05-02 - 2010-05-08,60
2010-05-09 - 2010-05-15,65
2010-05-16 - 2010-05-22,57
2010-05-23 - 2010-05-29,53
2010-05-30 - 2010-06-05,54
2010-06-06 - 2010-06-12,72
2010-06-13 - 2010-06-19,54
2010-06-20 - 2010-06-26,48
2010-06-27 - 2010-07-03,46
2010-07-04 - 2010-07-10,47
2010-07-11 - 2010-07-17,43
2010-07-18 - 2010-07-24,38
2010-07-25 - 2010-07-31,37
2010-08-01 - 2010-08-07,36
2010-08-08 - 2010-08-14,35
2010-08-15 - 2010-08-21,33
2010-08-22 - 2010-08-28,31
2010-08-29 - 2010-09-04,30
2010-09-05 - 2010-09-11,30
2010-09-12 - 2010-09-18,41
2010-09-19 - 2010-09-25,31
2010-09-26 - 2010-10-02,27
2010-10-03 - 2010-10-09,27
2010-10-10 - 2010-10-16,25
2010-10-17 - 2010-10-23,23
2010-10-24 - 2010-10-30,23
2010-10-31 - 2010-11-06,23
2010-11-07 - 2010-11-13,22
2010-11-14 - 2010-11-20,21
2010-11-21 - 2010-11-27,21
2010-11-28 - 2010-12-04,20
2010-12-05 - 2010-12-11,20
2010-12-12 - 2010-12-18,21
2010-12-19 - 2010-12-25,22
2010-12-26 - 2011-01-01,24
2011-01-02 - 2011-01-08,20
2011-01-09 - 2011-01-15,18
2011-01-16 - 2011-01-22,18
2011-01-23 - 2011-01-29,18
2011-01-30 - 2011-02-05,17
2011-02-06 - 2011-02-12,28
2011-02-13 - 2011-02-19,57
2011-02-20 - 2011-02-26,36
2011-02-27 - 2011-03-05,50
2011-03-06 - 2011-03-12,35
2011-03-13 - 2011-03-19,29
2011-03-20 - 2011-03-26,29
2011-03-27 - 2011-04-02,29
2011-04-03 - 2011-04-09,27
2011-04-10 - 2011-04-16,32
2011-04-17 - 2011-04-23,39
2011-04-24 - 2011-04-30,33
2011-05-01 - 2011-05-07,40
2011-05-08 - 2011-05-14,46
2011-05-15 - 2011-05-21,42
2011-05-22 - 2011-05-28,54
2011-05-29 - 2011-06-04,41
2011-06-05 - 2011-06-11,35
2011-06-12 - 2011-06-18,36
2011-06-19 - 2011-06-25,36
2011-06-26 - 2011-07-02,27
2011-07-03 - 2011-07-09,25
2011-07-10 - 2011-07-16,24
2011-07-17 - 2011-07-23,24
2011-07-24 - 2011-07-30,24
2011-07-31 - 2011-08-06,23
2011-08-07 - 2011-08-13,20
2011-08-14 - 2011-08-20,28
2011-08-21 - 2011-08-27,27
2011-08-28 - 2011-09-03,39
2011-09-04 - 2011-09-10,27
2011-09-11 - 2011-09-17,24
2011-09-18 - 2011-09-24,23
2011-09-25 - 2011-10-01,23
2011-10-02 - 2011-10-08,24
2011-10-09 - 2011-10-15,21
2011-10-16 - 2011-10-22,21
2011-10-23 - 2011-10-29,18
2011-10-30 - 2011-11-05,18
2011-11-06 - 2011-11-12,18
2011-11-13 - 2011-11-19,18
2011-11-20 - 2011-11-26,23
2011-11-27 - 2011-12-03,25
2011-12-04 - 2011-12-10,24
2011-12-11 - 2011-12-17,18
2011-12-18 - 2011-12-24,18
2011-12-25 - 2011-12-31,18
2012-01-01 - 2012-01-07,17
2012-01-08 - 2012-01-14,15
2012-01-15 - 2012-01-21,14
2012-01-22 - 2012-01-28,13
2012-01-29 - 2012-02-04,12
2012-02-05 - 2012-02-11,12
2012-02-12 - 2012-02-18,12
2012-02-19 - 2012-02-25,10
2012-02-26 - 2012-03-03,10
2012-03-04 - 2012-03-10,10
2012-03-11 - 2012-03-17,10
2012-03-18 - 2012-03-24,10
2012-03-25 - 2012-03-31,10
2012-04-01 - 2012-04-07,9
2012-04-08 - 2012-04-14,9
2012-04-15 - 2012-04-21,9
2012-04-22 - 2012-04-28,9
2012-04-29 - 2012-05-05,9
2012-05-06 - 2012-05-12,8
2012-05-13 - 2012-05-19,8
2012-05-20 - 2012-05-26,9
2012-05-27 - 2012-06-02,9
2012-06-03 - 2012-06-09,9
2012-06-10 - 2012-06-16,9
2012-06-17 - 2012-06-23,8
2012-06-24 - 2012-06-30,8
2012-07-01 - 2012-07-07,8
2012-07-08 - 2012-07-14,8
2012-07-15 - 2012-07-21,8
2012-07-22 - 2012-07-28,8
2012-07-29 - 2012-08-04,7
2012-08-05 - 2012-08-11,7
2012-08-12 - 2012-08-18,7
2012-08-19 - 2012-08-25,7
2012-08-26 - 2012-09-01,7
2012-09-02 - 2012-09-08,6
2012-09-09 - 2012-09-15,7
2012-09-16 - 2012-09-22,7
2012-09-23 - 2012-09-29,7
2012-09-30 - 2012-10-06,7
2012-10-07 - 2012-10-13,7
2012-10-14 - 2012-10-20,6
2012-10-21 - 2012-10-27,6
2012-10-28 - 2012-11-03,6
2012-11-04 - 2012-11-10,6
2012-11-11 - 2012-11-17,6
2012-11-18 - 2012-11-24,7
2012-11-25 - 2012-12-01,6
2012-12-02 - 2012-12-08,6
2012-12-09 - 2012-12-15,5
2012-12-16 - 2012-12-22,6
2012-12-23 - 2012-12-29,6
2012-12-30 - 2013-01-05,5
2013-01-06 - 2013-01-12,5
2013-01-13 - 2013-01-19,5
2013-01-20 - 2013-01-26,5
2013-01-27 - 2013-02-02,5
2013-02-03 - 2013-02-09,5
2013-02-10 - 2013-02-16,5
2013-02-17 - 2013-02-23,5
2013-02-24 - 2013-03-02,5
2013-03-03 - 2013-03-09,5
2013-03-10 - 2013-03-16,5
2013-03-17 - 2013-03-23,5
2013-03-24 - 2013-03-30,5
2013-03-31 - 2013-04-06,4
2013-04-07 - 2013-04-13,4
2013-04-14 - 2013-04-20,4
2013-04-21 - 2013-04-27,4
2013-04-28 - 2013-05-04,4
2013-05-05 - 2013-05-11,4
2013-05-12 - 2013-05-18,4
2013-05-19 - 2013-05-25,4
2013-05-26 - 2013-06-01,4
2013-06-02 - 2013-06-08,4
2013-06-09 - 2013-06-15,4
2013-06-16 - 2013-06-22,4
2013-06-23 - 2013-06-29,4
2013-06-30 - 2013-07-06,4
2013-07-07 - 2013-07-13,4
2013-07-14 - 2013-07-20,4
2013-07-21 - 2013-07-27,4
2013-07-28 - 2013-08-03,5
2013-08-04 - 2013-08-10,6
2013-08-11 - 2013-08-17,15
2013-08-18 - 2013-08-24,19
2013-08-25 - 2013-08-31,32
2013-09-01 - 2013-09-07,18
2013-09-08 - 2013-09-14,18
2013-09-15 - 2013-09-21,16
2013-09-22 - 2013-09-28,14
2013-09-29 - 2013-10-05,12
2013-10-06 - 2013-10-12,14
2013-10-13 - 2013-10-19,14
2013-10-20 - 2013-10-26,15
2013-10-27 - 2013-11-02,17
2013-11-03 - 2013-11-09,19
2013-11-10 - 2013-11-16,21
2013-11-17 - 2013-11-23,19
2013-11-24 - 2013-11-30,19
2013-12-01 - 2013-12-07,15
2013-12-08 - 2013-12-14,14
2013-12-15 - 2013-12-21,14
2013-12-22 - 2013-12-28,12
2013-12-29 - 2014-01-04,11
2014-01-05 - 2014-01-11,10
2014-01-12 - 2014-01-18,9
2014-01-19 - 2014-01-25,9
2014-01-26 - 2014-02-01,8
2014-02-02 - 2014-02-08,7
2014-02-09 - 2014-02-15,6
2014-02-16 - 2014-02-22,6
2014-02-23 - 2014-03-01,6
2014-03-02 - 2014-03-08,5
2014-03-09 - 2014-03-15,6
2014-03-16 - 2014-03-22,6
2014-03-23 - 2014-03-29,11
2014-03-30 - 2014-04-05,8
2014-04-06 - 2014-04-12,6
2014-04-13 - 2014-04-19,6
2014-04-20 - 2014-04-26,5
2014-04-27 - 2014-05-03,5
2014-05-04 - 2014-05-10,6
2014-05-11 - 2014-05-17,5
2014-05-18 - 2014-05-24,5
2014-05-25 - 2014-05-31,5
2014-06-01 - 2014-06-07,4
2014-06-08 - 2014-06-14,4
2014-06-15 - 2014-06-21,5
2014-06-22 - 2014-06-28,4
2014-06-29 - 2014-07-05,4
2014-07-06 - 2014-07-12,4
2014-07-13 - 2014-07-19,4
2014-07-20 - 2014-07-26,4
2014-07-27 - 2014-08-02,5
2014-08-03 - 2014-08-09,4
2014-08-10 - 2014-08-16,4
2014-08-17 - 2014-08-23,4
2014-08-24 - 2014-08-30,4
2014-08-31 - 2014-09-06,4
2014-09-07 - 2014-09-13,3
2014-09-14 - 2014-09-20,4
2014-09-21 - 2014-09-27,4
2014-09-28 - 2014-10-04,4
2014-10-05 - 2014-10-11,3
2014-10-12 - 2014-10-18,3
2014-10-19 - 2014-10-25,3
2014-10-26 - 2014-11-01,3
2014-11-02 - 2014-11-08,3
2014-11-09 - 2014-11-15,3
2014-11-16 - 2014-11-22,3
2014-11-23 - 2014-11-29,3
2014-11-30 - 2014-12-06,4
2014-12-07 - 2014-12-13,3
2014-12-14 - 2014-12-20,3
2014-12-21 - 2014-12-27,3
2014-12-28 - 2015-01-03,3
2015-01-04 - 2015-01-10,3
2015-01-11 - 2015-01-17,3
2015-01-18 - 2015-01-24,3
2015-01-25 - 2015-01-31,3
2015-02-01 - 2015-02-07,3
2015-02-08 - 2015-02-14,4
2015-02-15 - 2015-02-21,4
2015-02-22 - 2015-02-28,21
2015-03-01 - 2015-03-07,5
2015-03-08 - 2015-03-14,4
2015-03-15 - 2015-03-21,4
2015-03-22 - 2015-03-28,3
2015-03-29 - 2015-04-04,3
2015-04-05 - 2015-04-11,3
2015-04-12 - 2015-04-18,3
2015-04-19 - 2015-04-25,3
2015-04-26 - 2015-05-02,3
2015-05-03 - 2015-05-09,3
2015-05-10 - 2015-05-16,3
2015-05-17 - 2015-05-23,3
2015-05-24 - 2015-05-30,3
2015-05-31 - 2015-06-06,3
2015-06-07 - 2015-06-13,3
2015-06-14 - 2015-06-20,3
2015-06-21 - 2015-06-27,3
2015-06-28 - 2015-07-04,2
2015-07-05 - 2015-07-11,3
2015-07-12 - 2015-07-18,3
2015-07-19 - 2015-07-25,3
2015-07-26 - 2015-08-01,3


Top sub-regions for lady gaga
Sub-region,lady gaga
Virginia,100
California,85
New York,83
South Dakota,82
District of Columbia,81
Missouri,79
Texas,78
New Jersey,77
Pennsylvania,76
Ohio,75
Connecticut,75
Massachusetts,75
North Dakota,74
Vermont,73
Nebraska,72
Maine,72
Arizona,71
Florida,71
Rhode Island,71
Wyoming,71
New Hampshire,70
Minnesota,70
Wisconsin,70
Michigan,69
Kentucky,69
Illinois,69
Nevada,68
Colorado,68
Oklahoma,68
New Mexico,67
Kansas,66
Washington,66
Indiana,66
Utah,65
Montana,65
Alaska,64
Iowa,64
West Virginia,63
Idaho,61
Louisiana,61
Georgia,61
Arkansas,60
North Carolina,60
Mississippi,59
Maryland,58
Tennessee,58
Hawaii,56
Delaware,56
Alabama,56
Oregon,55
South Carolina,54


Top metros for lady gaga
Metro,lady gaga
Laredo TX,100
San Francisco-Oakland-San Jose CA,94
Washington DC (Hagerstown MD),93
Cheyenne WY-Scottsbluff NE,92
St. Joseph MO,91
Grand Junction-Montrose CO,89
Fargo-Valley City ND,88
Sioux Falls(Mitchell) SD,87
New York NY,85
St. Louis MO,83
Mankato MN,82
Boston MA-Manchester NH,82
Hartford & New Haven CT,82
Minot-Bismarck-Dickinson(Williston) ND,80
Cleveland-Akron (Canton) OH,80
Dallas-Ft. Worth TX,80
Pittsburgh PA,79
Wilkes Barre-Scranton PA,79
Rochester MN-Mason City IA-Austin MN,78
Los Angeles CA,78
La Crosse-Eau Claire WI,78
San Antonio TX,77
El Paso TX,77
Duluth MN-Superior WI,76
Sioux City IA,76
Biloxi-Gulfport MS,75
Madison WI,75
Palm Springs CA,75
Jackson MS,75
Rapid City SD,75
Kansas City MO,75
Quincy IL-Hannibal MO-Keokuk IA,73
Louisville KY,73
Erie PA,73
Syracuse NY,73
Dayton OH,73
Harlingen-Weslaco-Brownsville-McAllen TX,73
Denver CO,73
Lincoln & Hastings-Kearney NE,73
Burlington VT-Plattsburgh NY,73
Green Bay-Appleton WI,73
Philadelphia PA,72
Albany-Schenectady-Troy NY,72
Springfield-Holyoke MA,72
Austin TX,72
Phoenix AZ,72
Omaha NE,72
Johnstown-Altoona PA,72
Salisbury MD,72
Abilene-Sweetwater TX,71
Reno NV,71
Billings MT,71
Jonesboro AR,71
Youngstown OH,71
Binghamton NY,71
Lafayette IN,71
Oklahoma City OK,71
Anchorage AK,71
Jackson TN,71
Lubbock TX,71
Chicago IL,70
Orlando-Daytona Beach-Melbourne FL,70
Portland-Auburn ME,70
Rochester NY,70
Wausau-Rhinelander WI,70
Tucson (Sierra Vista) AZ,70
Columbus OH,69
West Palm Beach-Ft. Pierce FL,69
San Diego CA,69
Sherman TX-Ada OK,69
Yakima-Pasco-Richland-Kennewick WA,69
Bakersfield CA,69
Detroit MI,68
Providence RI-New Bedford MA,68
Grand Rapids-Kalamazoo-Battle Creek MI,68
Seattle-Tacoma WA,68
Houston TX,68
Charlottesville VA,68
Joplin MO-Pittsburg KS,68
Colorado Springs-Pueblo CO,68
Las Vegas NV,67
New Orleans LA,67
Charleston-Huntington WV,67
Gainesville FL,67
Monterey-Salinas CA,67
Shreveport LA,67
Flint-Saginaw-Bay City MI,67
Wichita-Hutchinson KS,67
Lexington KY,67
Sacramento-Stockton-Modesto CA,67
Bangor ME,67
Eugene OR,66
Evansville IN,66
Clarksburg-Weston WV,66
Albuquerque-Santa Fe NM,66
Marquette MI,66
Fresno-Visalia CA,66
Spokane WA,66
Salt Lake City UT,66
Chico-Redding CA,65
Springfield MO,65
Indianapolis IN,65
Corpus Christi TX,65
Tri-Cities TN-VA,65
Ft. Smith-Fayetteville-Springdale-Rogers AR,65
Atlanta GA,64
Minneapolis-St. Paul MN,64
South Bend-Elkhart IN,64
Miami-Ft. Lauderdale FL,64
Beaumont-Port Arthur TX,64
Tampa-St. Petersburg (Sarasota) FL,64
Missoula MT,64
Toledo OH,64
Lansing MI,63
Santa Barbara-Santa Maria-San Luis Obispo CA,63
Boise ID,63
Tyler-Longview(Lufkin & Nacogdoches) TX,63
Watertown NY,63
Buffalo NY,63
Cincinnati OH,63
Columbia-Jefferson City MO,62
Baltimore MD,62
Harrisonburg VA,62
Odessa-Midland TX,62
Ft. Wayne IN,61
Harrisburg-Lancaster-Lebanon-York PA,61
Champaign & Springfield-Decatur IL,61
Peoria-Bloomington IL,61
Idaho Falls-Pocatello ID,61
Milwaukee WI,60
Charlotte NC,60
Raleigh-Durham (Fayetteville) NC,60
Yuma AZ-El Centro CA,59
Amarillo TX,59
Utica NY,59
Des Moines-Ames IA,59
Topeka KS,58
Little Rock-Pine Bluff AR,58
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,58
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,58
Rockford IL,58
Baton Rouge LA,57
Bluefield-Beckley-Oak Hill WV,57
Elmira NY,57
Wilmington NC,57
Lafayette LA,57
Birmingham AL,57
Chattanooga TN,57
Jacksonville FL,57
Davenport IA-Rock Island-Moline IL,56
Greenville-Spartanburg SC-Asheville NC-Anderson SC,56
Dothan AL,56
Waco-Temple-Bryan TX,56
Honolulu HI,56
Greensboro-High Point-Winston Salem NC,55
Terre Haute IN,55
Bowling Green KY,55
Traverse City-Cadillac MI,55
Mobile AL-Pensacola (Ft. Walton Beach) FL,54
Portland OR,54
Nashville TN,54
Medford-Klamath Falls OR,54
Huntsville-Decatur (Florence) AL,54
Norfolk-Portsmouth-Newport News VA,54
Columbia SC,54
Montgomery (Selma) AL,53
Savannah GA,53
Richmond-Petersburg VA,53
Memphis TN,53
Ft. Myers-Naples FL,52
Macon GA,52
Greenville-New Bern-Washington NC,52
Charleston SC,52
Roanoke-Lynchburg VA,52
Columbus GA,51
Tulsa OK,51
Augusta GA,51
Wichita Falls TX & Lawton OK,51
Knoxville TN,50
Florence-Myrtle Beach SC,50
Panama City FL,50
Tallahassee FL-Thomasville GA,48
Monroe LA-El Dorado AR,46
Albany GA,40
Columbus-Tupelo-West Point MS,39
Presque Isle ME,0
Wheeling WV-Steubenville OH,0
Lima OH,0
Alpena MI,0
Zanesville OH,0
Parkersburg WV,0
Victoria TX,0
Ottumwa IA-Kirksville MO,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
San Angelo TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
North Platte NE,0
Fairbanks AK,0
Juneau AK,0
Butte-Bozeman MT,0
Great Falls MT,0
Twin Falls ID,0
Helena MT,0
Casper-Riverton WY,0
Glendive MT,0
Eureka CA,0
Bend OR,0


Top cities for lady gaga
Town/City,lady gaga
Milpitas,100
Sterling,98
Herndon,86
Richardson,77
Reston,74
Ashburn,72
St. Louis,70
Irvine,69
Los Angeles,68
Pleasanton,66
Miami,65
New York,64
Phoenix,62
Orlando,60
Atlanta,59



Top searches for lady gaga
lady gaga lyrics,100
bad romance,75
telephone lady gaga,60
telephone,60
poker face,55
paparazzi,50
lady gaga paparazzi,50
born this way,45
alejandro lady gaga,45
alejandro,45
beyonce,35
lady gaga beyonce,35
just dance,30
you and i,30
lady gaga judas,25
katy perry,25
judas,20
lady gaga applause,20
justin bieber,20
lady gaga live,20
rihanna,20
edge of glory,20
baby,15
britney spears,15
lady gaga remix,15
taylor swift,15
kesha,15
nicki minaj,10
monster lady gaga,10
bad romance lyrics,10
miley cyrus,10
monster,10
lady gaga parody,10
lady gaga vma,10
eminem,10
marry the night,10
lady gaga starstruck,10
selena gomez,10
starstruck,10
lady gaga interview,10
poker face lyrics,10
shakira,10
black eyed peas,10
pink,5
lady gaga speechless,5
love game,5
tik tok,5
lady gaga cover,5
baby justin bieber,5
bruno mars,5



Rising searches for lady gaga
alejandro,Breakout
alejandro lady gaga,Breakout
bad romance,Breakout
beyonce,Breakout
born this way,Breakout
just dance,Breakout
lady gaga beyonce,Breakout
lady gaga lyrics,Breakout
lady gaga paparazzi,Breakout
paparazzi,Breakout



