YouTube Search interest: wiz khalifa
United States; Jan 2008 - Jul 2015

Interest over time
Week,wiz khalifa
2009-03-22 - 2009-03-28,1
2009-03-29 - 2009-04-04,1
2009-04-05 - 2009-04-11,1
2009-04-12 - 2009-04-18,1
2009-04-19 - 2009-04-25,1
2009-04-26 - 2009-05-02,1
2009-05-03 - 2009-05-09,1
2009-05-10 - 2009-05-16,1
2009-05-17 - 2009-05-23,1
2009-05-24 - 2009-05-30,1
2009-05-31 - 2009-06-06,1
2009-06-07 - 2009-06-13,1
2009-06-14 - 2009-06-20,1
2009-06-21 - 2009-06-27,1
2009-06-28 - 2009-07-04,1
2009-07-05 - 2009-07-11,1
2009-07-12 - 2009-07-18,1
2009-07-19 - 2009-07-25,1
2009-07-26 - 2009-08-01,1
2009-08-02 - 2009-08-08,1
2009-08-09 - 2009-08-15,1
2009-08-16 - 2009-08-22,1
2009-08-23 - 2009-08-29,1
2009-08-30 - 2009-09-05,1
2009-09-06 - 2009-09-12,1
2009-09-13 - 2009-09-19,1
2009-09-20 - 2009-09-26,1
2009-09-27 - 2009-10-03,1
2009-10-04 - 2009-10-10,1
2009-10-11 - 2009-10-17,2
2009-10-18 - 2009-10-24,2
2009-10-25 - 2009-10-31,2
2009-11-01 - 2009-11-07,2
2009-11-08 - 2009-11-14,2
2009-11-15 - 2009-11-21,2
2009-11-22 - 2009-11-28,3
2009-11-29 - 2009-12-05,4
2009-12-06 - 2009-12-12,3
2009-12-13 - 2009-12-19,3
2009-12-20 - 2009-12-26,3
2009-12-27 - 2010-01-02,3
2010-01-03 - 2010-01-09,3
2010-01-10 - 2010-01-16,3
2010-01-17 - 2010-01-23,3
2010-01-24 - 2010-01-30,3
2010-01-31 - 2010-02-06,4
2010-02-07 - 2010-02-13,4
2010-02-14 - 2010-02-20,5
2010-02-21 - 2010-02-27,5
2010-02-28 - 2010-03-06,5
2010-03-07 - 2010-03-13,5
2010-03-14 - 2010-03-20,5
2010-03-21 - 2010-03-27,5
2010-03-28 - 2010-04-03,6
2010-04-04 - 2010-04-10,6
2010-04-11 - 2010-04-17,9
2010-04-18 - 2010-04-24,8
2010-04-25 - 2010-05-01,8
2010-05-02 - 2010-05-08,7
2010-05-09 - 2010-05-15,7
2010-05-16 - 2010-05-22,8
2010-05-23 - 2010-05-29,9
2010-05-30 - 2010-06-05,8
2010-06-06 - 2010-06-12,9
2010-06-13 - 2010-06-19,9
2010-06-20 - 2010-06-26,9
2010-06-27 - 2010-07-03,9
2010-07-04 - 2010-07-10,10
2010-07-11 - 2010-07-17,10
2010-07-18 - 2010-07-24,10
2010-07-25 - 2010-07-31,11
2010-08-01 - 2010-08-07,12
2010-08-08 - 2010-08-14,13
2010-08-15 - 2010-08-21,13
2010-08-22 - 2010-08-28,14
2010-08-29 - 2010-09-04,16
2010-09-05 - 2010-09-11,19
2010-09-12 - 2010-09-18,18
2010-09-19 - 2010-09-25,19
2010-09-26 - 2010-10-02,18
2010-10-03 - 2010-10-09,19
2010-10-10 - 2010-10-16,25
2010-10-17 - 2010-10-23,28
2010-10-24 - 2010-10-30,30
2010-10-31 - 2010-11-06,34
2010-11-07 - 2010-11-13,36
2010-11-14 - 2010-11-20,39
2010-11-21 - 2010-11-27,39
2010-11-28 - 2010-12-04,40
2010-12-05 - 2010-12-11,41
2010-12-12 - 2010-12-18,41
2010-12-19 - 2010-12-25,42
2010-12-26 - 2011-01-01,40
2011-01-02 - 2011-01-08,47
2011-01-09 - 2011-01-15,53
2011-01-16 - 2011-01-22,54
2011-01-23 - 2011-01-29,64
2011-01-30 - 2011-02-05,67
2011-02-06 - 2011-02-12,71
2011-02-13 - 2011-02-19,59
2011-02-20 - 2011-02-26,60
2011-02-27 - 2011-03-05,63
2011-03-06 - 2011-03-12,71
2011-03-13 - 2011-03-19,73
2011-03-20 - 2011-03-26,81
2011-03-27 - 2011-04-02,100
2011-04-03 - 2011-04-09,89
2011-04-10 - 2011-04-16,84
2011-04-17 - 2011-04-23,83
2011-04-24 - 2011-04-30,76
2011-05-01 - 2011-05-07,73
2011-05-08 - 2011-05-14,73
2011-05-15 - 2011-05-21,75
2011-05-22 - 2011-05-28,74
2011-05-29 - 2011-06-04,75
2011-06-05 - 2011-06-11,71
2011-06-12 - 2011-06-18,69
2011-06-19 - 2011-06-25,68
2011-06-26 - 2011-07-02,74
2011-07-03 - 2011-07-09,72
2011-07-10 - 2011-07-16,69
2011-07-17 - 2011-07-23,66
2011-07-24 - 2011-07-30,67
2011-07-31 - 2011-08-06,63
2011-08-07 - 2011-08-13,61
2011-08-14 - 2011-08-20,57
2011-08-21 - 2011-08-27,54
2011-08-28 - 2011-09-03,53
2011-09-04 - 2011-09-10,51
2011-09-11 - 2011-09-17,48
2011-09-18 - 2011-09-24,47
2011-09-25 - 2011-10-01,46
2011-10-02 - 2011-10-08,49
2011-10-09 - 2011-10-15,49
2011-10-16 - 2011-10-22,47
2011-10-23 - 2011-10-29,48
2011-10-30 - 2011-11-05,46
2011-11-06 - 2011-11-12,43
2011-11-13 - 2011-11-19,43
2011-11-20 - 2011-11-26,46
2011-11-27 - 2011-12-03,45
2011-12-04 - 2011-12-10,48
2011-12-11 - 2011-12-17,52
2011-12-18 - 2011-12-24,53
2011-12-25 - 2011-12-31,49
2012-01-01 - 2012-01-07,48
2012-01-08 - 2012-01-14,47
2012-01-15 - 2012-01-21,46
2012-01-22 - 2012-01-28,47
2012-01-29 - 2012-02-04,48
2012-02-05 - 2012-02-11,45
2012-02-12 - 2012-02-18,50
2012-02-19 - 2012-02-25,50
2012-02-26 - 2012-03-03,51
2012-03-04 - 2012-03-10,48
2012-03-11 - 2012-03-17,53
2012-03-18 - 2012-03-24,49
2012-03-25 - 2012-03-31,46
2012-04-01 - 2012-04-07,42
2012-04-08 - 2012-04-14,40
2012-04-15 - 2012-04-21,44
2012-04-22 - 2012-04-28,46
2012-04-29 - 2012-05-05,43
2012-05-06 - 2012-05-12,43
2012-05-13 - 2012-05-19,41
2012-05-20 - 2012-05-26,41
2012-05-27 - 2012-06-02,43
2012-06-03 - 2012-06-09,45
2012-06-10 - 2012-06-16,44
2012-06-17 - 2012-06-23,41
2012-06-24 - 2012-06-30,40
2012-07-01 - 2012-07-07,39
2012-07-08 - 2012-07-14,39
2012-07-15 - 2012-07-21,40
2012-07-22 - 2012-07-28,36
2012-07-29 - 2012-08-04,37
2012-08-05 - 2012-08-11,36
2012-08-12 - 2012-08-18,38
2012-08-19 - 2012-08-25,35
2012-08-26 - 2012-09-01,34
2012-09-02 - 2012-09-08,35
2012-09-09 - 2012-09-15,31
2012-09-16 - 2012-09-22,28
2012-09-23 - 2012-09-29,30
2012-09-30 - 2012-10-06,29
2012-10-07 - 2012-10-13,30
2012-10-14 - 2012-10-20,34
2012-10-21 - 2012-10-27,30
2012-10-28 - 2012-11-03,29
2012-11-04 - 2012-11-10,29
2012-11-11 - 2012-11-17,30
2012-11-18 - 2012-11-24,28
2012-11-25 - 2012-12-01,30
2012-12-02 - 2012-12-08,36
2012-12-09 - 2012-12-15,34
2012-12-16 - 2012-12-22,32
2012-12-23 - 2012-12-29,30
2012-12-30 - 2013-01-05,28
2013-01-06 - 2013-01-12,27
2013-01-13 - 2013-01-19,28
2013-01-20 - 2013-01-26,26
2013-01-27 - 2013-02-02,26
2013-02-03 - 2013-02-09,28
2013-02-10 - 2013-02-16,30
2013-02-17 - 2013-02-23,26
2013-02-24 - 2013-03-02,25
2013-03-03 - 2013-03-09,25
2013-03-10 - 2013-03-16,25
2013-03-17 - 2013-03-23,24
2013-03-24 - 2013-03-30,24
2013-03-31 - 2013-04-06,22
2013-04-07 - 2013-04-13,22
2013-04-14 - 2013-04-20,23
2013-04-21 - 2013-04-27,23
2013-04-28 - 2013-05-04,24
2013-05-05 - 2013-05-11,23
2013-05-12 - 2013-05-18,23
2013-05-19 - 2013-05-25,22
2013-05-26 - 2013-06-01,23
2013-06-02 - 2013-06-08,22
2013-06-09 - 2013-06-15,20
2013-06-16 - 2013-06-22,19
2013-06-23 - 2013-06-29,18
2013-06-30 - 2013-07-06,17
2013-07-07 - 2013-07-13,17
2013-07-14 - 2013-07-20,17
2013-07-21 - 2013-07-27,16
2013-07-28 - 2013-08-03,16
2013-08-04 - 2013-08-10,15
2013-08-11 - 2013-08-17,14
2013-08-18 - 2013-08-24,15
2013-08-25 - 2013-08-31,14
2013-09-01 - 2013-09-07,14
2013-09-08 - 2013-09-14,15
2013-09-15 - 2013-09-21,14
2013-09-22 - 2013-09-28,18
2013-09-29 - 2013-10-05,17
2013-10-06 - 2013-10-12,23
2013-10-13 - 2013-10-19,21
2013-10-20 - 2013-10-26,17
2013-10-27 - 2013-11-02,17
2013-11-03 - 2013-11-09,17
2013-11-10 - 2013-11-16,17
2013-11-17 - 2013-11-23,16
2013-11-24 - 2013-11-30,17
2013-12-01 - 2013-12-07,15
2013-12-08 - 2013-12-14,14
2013-12-15 - 2013-12-21,13
2013-12-22 - 2013-12-28,13
2013-12-29 - 2014-01-04,12
2014-01-05 - 2014-01-11,13
2014-01-12 - 2014-01-18,13
2014-01-19 - 2014-01-25,12
2014-01-26 - 2014-02-01,13
2014-02-02 - 2014-02-08,12
2014-02-09 - 2014-02-15,14
2014-02-16 - 2014-02-22,14
2014-02-23 - 2014-03-01,13
2014-03-02 - 2014-03-08,13
2014-03-09 - 2014-03-15,13
2014-03-16 - 2014-03-22,13
2014-03-23 - 2014-03-29,13
2014-03-30 - 2014-04-05,14
2014-04-06 - 2014-04-12,15
2014-04-13 - 2014-04-19,16
2014-04-20 - 2014-04-26,16
2014-04-27 - 2014-05-03,17
2014-05-04 - 2014-05-10,16
2014-05-11 - 2014-05-17,16
2014-05-18 - 2014-05-24,17
2014-05-25 - 2014-05-31,20
2014-06-01 - 2014-06-07,19
2014-06-08 - 2014-06-14,16
2014-06-15 - 2014-06-21,15
2014-06-22 - 2014-06-28,15
2014-06-29 - 2014-07-05,15
2014-07-06 - 2014-07-12,13
2014-07-13 - 2014-07-19,14
2014-07-20 - 2014-07-26,15
2014-07-27 - 2014-08-02,14
2014-08-03 - 2014-08-09,16
2014-08-10 - 2014-08-16,16
2014-08-17 - 2014-08-23,20
2014-08-24 - 2014-08-30,20
2014-08-31 - 2014-09-06,19
2014-09-07 - 2014-09-13,19
2014-09-14 - 2014-09-20,18
2014-09-21 - 2014-09-27,19
2014-09-28 - 2014-10-04,17
2014-10-05 - 2014-10-11,17
2014-10-12 - 2014-10-18,17
2014-10-19 - 2014-10-25,18
2014-10-26 - 2014-11-01,16
2014-11-02 - 2014-11-08,16
2014-11-09 - 2014-11-15,15
2014-11-16 - 2014-11-22,15
2014-11-23 - 2014-11-29,13
2014-11-30 - 2014-12-06,13
2014-12-07 - 2014-12-13,13
2014-12-14 - 2014-12-20,13
2014-12-21 - 2014-12-27,12
2014-12-28 - 2015-01-03,11
2015-01-04 - 2015-01-10,12
2015-01-11 - 2015-01-17,13
2015-01-18 - 2015-01-24,12
2015-01-25 - 2015-01-31,12
2015-02-01 - 2015-02-07,12
2015-02-08 - 2015-02-14,11
2015-02-15 - 2015-02-21,11
2015-02-22 - 2015-02-28,11
2015-03-01 - 2015-03-07,12
2015-03-08 - 2015-03-14,12
2015-03-15 - 2015-03-21,12
2015-03-22 - 2015-03-28,12
2015-03-29 - 2015-04-04,14
2015-04-05 - 2015-04-11,36
2015-04-12 - 2015-04-18,42
2015-04-19 - 2015-04-25,40
2015-04-26 - 2015-05-02,39
2015-05-03 - 2015-05-09,37
2015-05-10 - 2015-05-16,36
2015-05-17 - 2015-05-23,36
2015-05-24 - 2015-05-30,31
2015-05-31 - 2015-06-06,27
2015-06-07 - 2015-06-13,25
2015-06-14 - 2015-06-20,22
2015-06-21 - 2015-06-27,19
2015-06-28 - 2015-07-04,17
2015-07-05 - 2015-07-11,16
2015-07-12 - 2015-07-18,14
2015-07-19 - 2015-07-25,14
2015-07-26 - 2015-08-01,13


Top sub-regions for wiz khalifa
Sub-region,wiz khalifa
Michigan,100
Iowa,98
Pennsylvania,97
Indiana,97
Ohio,96
Arizona,94
North Carolina,91
Wisconsin,91
South Carolina,91
South Dakota,90
West Virginia,90
Florida,87
North Dakota,87
New Mexico,85
Kentucky,85
Nebraska,85
Rhode Island,83
Illinois,82
Mississippi,82
Minnesota,82
Georgia,81
Maryland,80
Kansas,80
Delaware,80
Missouri,78
Texas,77
Alabama,77
Louisiana,76
Tennessee,74
New Hampshire,72
Nevada,72
Arkansas,72
Maine,71
Oklahoma,70
Massachusetts,69
Colorado,69
California,69
Connecticut,67
Montana,66
New York,65
Idaho,63
Washington,63
Wyoming,62
New Jersey,61
Hawaii,58
Oregon,57
Vermont,56
Utah,49
Virginia,46
Alaska,46
District of Columbia,44


Top metros for wiz khalifa
Metro,wiz khalifa
Yuma AZ-El Centro CA,100
Pittsburgh PA,98
Wheeling WV-Steubenville OH,89
Ft. Wayne IN,86
Erie PA,84
Sioux City IA,83
Rockford IL,82
Parkersburg WV,81
Greenwood-Greenville MS,81
Duluth MN-Superior WI,80
Florence-Myrtle Beach SC,80
Columbus-Tupelo-West Point MS,79
Davenport IA-Rock Island-Moline IL,79
Milwaukee WI,78
Rapid City SD,77
Youngstown OH,77
Terre Haute IN,76
Mankato MN,76
Fresno-Visalia CA,76
Grand Rapids-Kalamazoo-Battle Creek MI,76
Minot-Bismarck-Dickinson(Williston) ND,75
Odessa-Midland TX,75
Yakima-Pasco-Richland-Kennewick WA,74
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,73
Tallahassee FL-Thomasville GA,73
Quincy IL-Hannibal MO-Keokuk IA,73
Wilmington NC,72
Greenville-New Bern-Washington NC,72
Laredo TX,72
Albany GA,72
Evansville IN,71
Watertown NY,71
Grand Junction-Montrose CO,70
Detroit MI,70
Lansing MI,70
Lima OH,70
Columbus GA,70
Flint-Saginaw-Bay City MI,70
Amarillo TX,69
Palm Springs CA,69
Utica NY,69
Wichita-Hutchinson KS,69
St. Joseph MO,69
Augusta GA,69
Johnstown-Altoona PA,69
Rochester MN-Mason City IA-Austin MN,68
Peoria-Bloomington IL,68
Bakersfield CA,68
Traverse City-Cadillac MI,68
Corpus Christi TX,68
Eureka CA,67
Cleveland-Akron (Canton) OH,67
Sioux Falls(Mitchell) SD,67
Ft. Myers-Naples FL,66
Columbia SC,66
Biloxi-Gulfport MS,66
Raleigh-Durham (Fayetteville) NC,66
Phoenix AZ,66
Toledo OH,66
Fargo-Valley City ND,66
Marquette MI,66
Champaign & Springfield-Decatur IL,65
Tucson (Sierra Vista) AZ,65
Columbia-Jefferson City MO,65
Cincinnati OH,65
Harrisonburg VA,65
Lincoln & Hastings-Kearney NE,65
Bluefield-Beckley-Oak Hill WV,65
Albuquerque-Santa Fe NM,64
South Bend-Elkhart IN,64
Tampa-St. Petersburg (Sarasota) FL,64
Providence RI-New Bedford MA,64
Greensboro-High Point-Winston Salem NC,63
Des Moines-Ames IA,63
Charleston SC,63
West Palm Beach-Ft. Pierce FL,63
Topeka KS,62
Miami-Ft. Lauderdale FL,62
Charlotte NC,62
Charleston-Huntington WV,62
Los Angeles CA,62
New Orleans LA,62
Harlingen-Weslaco-Brownsville-McAllen TX,62
Louisville KY,62
Monroe LA-El Dorado AR,62
Dayton OH,61
Lafayette IN,61
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,61
Wilkes Barre-Scranton PA,61
Memphis TN,61
Beaumont-Port Arthur TX,61
Wausau-Rhinelander WI,61
Norfolk-Portsmouth-Newport News VA,60
Joplin MO-Pittsburg KS,60
Salisbury MD,60
Omaha NE,60
Indianapolis IN,60
Chicago IL,60
Columbus OH,60
Abilene-Sweetwater TX,60
Buffalo NY,60
Savannah GA,60
Santa Barbara-Santa Maria-San Luis Obispo CA,59
Macon GA,59
Minneapolis-St. Paul MN,59
Elmira NY,59
Green Bay-Appleton WI,59
Billings MT,59
Lexington KY,59
San Antonio TX,58
Wichita Falls TX & Lawton OK,58
Mobile AL-Pensacola (Ft. Walton Beach) FL,58
Montgomery (Selma) AL,58
Greenville-Spartanburg SC-Asheville NC-Anderson SC,58
Jonesboro AR,58
Shreveport LA,57
Baltimore MD,57
Springfield-Holyoke MA,57
Sacramento-Stockton-Modesto CA,57
Dothan AL,57
Philadelphia PA,57
Hattiesburg-Laurel MS,57
Monterey-Salinas CA,57
Richmond-Petersburg VA,57
Baton Rouge LA,56
Reno NV,56
Orlando-Daytona Beach-Melbourne FL,56
Eugene OR,56
Harrisburg-Lancaster-Lebanon-York PA,56
Roanoke-Lynchburg VA,56
Portland-Auburn ME,56
Lake Charles LA,56
Jacksonville FL,56
Chico-Redding CA,55
La Crosse-Eau Claire WI,55
Kansas City MO,55
Sherman TX-Ada OK,55
Syracuse NY,55
Lubbock TX,55
Panama City FL,54
Atlanta GA,54
Houston TX,54
El Paso TX,54
Chattanooga TN,54
Birmingham AL,54
Knoxville TN,54
Tri-Cities TN-VA,54
Nashville TN,54
Little Rock-Pine Bluff AR,53
Rochester NY,53
Missoula MT,53
Huntsville-Decatur (Florence) AL,52
Boston MA-Manchester NH,52
Oklahoma City OK,52
Las Vegas NV,51
Colorado Springs-Pueblo CO,51
Bowling Green KY,51
Madison WI,51
Medford-Klamath Falls OR,51
Clarksburg-Weston WV,51
Cheyenne WY-Scottsbluff NE,51
Jackson MS,51
Bangor ME,51
St. Louis MO,51
Waco-Temple-Bryan TX,51
Hartford & New Haven CT,50
Gainesville FL,50
Ft. Smith-Fayetteville-Springdale-Rogers AR,50
Burlington VT-Plattsburgh NY,50
Jackson TN,50
Albany-Schenectady-Troy NY,50
Springfield MO,50
San Diego CA,50
Lafayette LA,49
Denver CO,49
Spokane WA,48
Dallas-Ft. Worth TX,48
Binghamton NY,48
Tulsa OK,46
Charlottesville VA,46
Boise ID,45
New York NY,44
Tyler-Longview(Lufkin & Nacogdoches) TX,43
Honolulu HI,43
Seattle-Tacoma WA,42
Idaho Falls-Pocatello ID,42
Portland OR,42
Austin TX,41
Salt Lake City UT,37
Anchorage AK,34
Washington DC (Hagerstown MD),32
San Francisco-Oakland-San Jose CA,27
Presque Isle ME,0
Alpena MI,0
Zanesville OH,0
Victoria TX,0
Ottumwa IA-Kirksville MO,0
Alexandria LA,0
San Angelo TX,0
Meridian MS,0
North Platte NE,0
Fairbanks AK,0
Juneau AK,0
Butte-Bozeman MT,0
Great Falls MT,0
Twin Falls ID,0
Helena MT,0
Casper-Riverton WY,0
Glendive MT,0
Bend OR,0


Top cities for wiz khalifa
Town/City,wiz khalifa
Pittsburgh,100
Tucson,80
San Antonio,73
Phoenix,72
Las Vegas,69
Houston,67
Columbus,67
Philadelphia,65
Charlotte,65
Denver,58
Chicago,57
Los Angeles,56
San Diego,55
Portland,55
Minneapolis,53



Top searches for wiz khalifa
wiz khalifa up,100
black and yellow,85
lil wayne,80
drake,60
roll up,50
on my level,40
no sleep,40
chris brown,35
new wiz khalifa,30
tyga,25
mac miller,25
big sean,25
eminem,25
nicki minaj,25
wiz khalifa instrumental,25
wiz khalifa plane,20
wiz khalifa 2011,20
wiz khalifa freestyle,20
snoop dogg,20
this plane,20
kid cudi,20
rick ross,20
juicy j,20
taylor gang,15
wiz khalifa 2012,10
gucci mane,10
when im gone,10
wale,10
the weeknd,10
the thrill,10
2 chainz,10
bruno mars,10
reefer party,10
in the cut,10
j cole,10
young jeezy,10
kendrick lamar,10
soulja boy,10
racks wiz khalifa,10
wiz khalifa medicated,10
wiz khalifa 2013,5
how to love,5
wiz khalifa smoking,5
wiz khalifa california,5
wake up,5
chief keef,5
no hands,5
asap rocky,5
dubstep,5
french montana,5



Rising searches for wiz khalifa
big sean,Breakout
black and yellow,Breakout
chris brown,Breakout
drake,Breakout
eminem,Breakout
lil wayne,Breakout
mac miller,Breakout
new wiz khalifa,Breakout
nicki minaj,Breakout
no sleep,Breakout



