YouTube Search interest: steel magnolia
United States; Jan 2008 - Jul 2015

Interest over time
Week,steel magnolia
2009-03-22 - 2009-03-28,0
2009-03-29 - 2009-04-04,0
2009-04-05 - 2009-04-11,0
2009-04-12 - 2009-04-18,0
2009-04-19 - 2009-04-25,0
2009-04-26 - 2009-05-02,0
2009-05-03 - 2009-05-09,0
2009-05-10 - 2009-05-16,0
2009-05-17 - 2009-05-23,0
2009-05-24 - 2009-05-30,0
2009-05-31 - 2009-06-06,0
2009-06-07 - 2009-06-13,0
2009-06-14 - 2009-06-20,0
2009-06-21 - 2009-06-27,0
2009-06-28 - 2009-07-04,0
2009-07-05 - 2009-07-11,0
2009-07-12 - 2009-07-18,0
2009-07-19 - 2009-07-25,0
2009-07-26 - 2009-08-01,0
2009-08-02 - 2009-08-08,12
2009-08-09 - 2009-08-15,20
2009-08-16 - 2009-08-22,17
2009-08-23 - 2009-08-29,17
2009-08-30 - 2009-09-05,17
2009-09-06 - 2009-09-12,12
2009-09-13 - 2009-09-19,14
2009-09-20 - 2009-09-26,13
2009-09-27 - 2009-10-03,18
2009-10-04 - 2009-10-10,12
2009-10-11 - 2009-10-17,12
2009-10-18 - 2009-10-24,12
2009-10-25 - 2009-10-31,16
2009-11-01 - 2009-11-07,17
2009-11-08 - 2009-11-14,15
2009-11-15 - 2009-11-21,18
2009-11-22 - 2009-11-28,14
2009-11-29 - 2009-12-05,25
2009-12-06 - 2009-12-12,24
2009-12-13 - 2009-12-19,31
2009-12-20 - 2009-12-26,22
2009-12-27 - 2010-01-02,16
2010-01-03 - 2010-01-09,27
2010-01-10 - 2010-01-16,20
2010-01-17 - 2010-01-23,35
2010-01-24 - 2010-01-30,29
2010-01-31 - 2010-02-06,37
2010-02-07 - 2010-02-13,38
2010-02-14 - 2010-02-20,49
2010-02-21 - 2010-02-27,54
2010-02-28 - 2010-03-06,45
2010-03-07 - 2010-03-13,54
2010-03-14 - 2010-03-20,43
2010-03-21 - 2010-03-27,47
2010-03-28 - 2010-04-03,44
2010-04-04 - 2010-04-10,55
2010-04-11 - 2010-04-17,36
2010-04-18 - 2010-04-24,53
2010-04-25 - 2010-05-01,49
2010-05-02 - 2010-05-08,54
2010-05-09 - 2010-05-15,59
2010-05-16 - 2010-05-22,41
2010-05-23 - 2010-05-29,47
2010-05-30 - 2010-06-05,37
2010-06-06 - 2010-06-12,53
2010-06-13 - 2010-06-19,36
2010-06-20 - 2010-06-26,31
2010-06-27 - 2010-07-03,38
2010-07-04 - 2010-07-10,59
2010-07-11 - 2010-07-17,51
2010-07-18 - 2010-07-24,59
2010-07-25 - 2010-07-31,68
2010-08-01 - 2010-08-07,57
2010-08-08 - 2010-08-14,78
2010-08-15 - 2010-08-21,55
2010-08-22 - 2010-08-28,80
2010-08-29 - 2010-09-04,81
2010-09-05 - 2010-09-11,85
2010-09-12 - 2010-09-18,68
2010-09-19 - 2010-09-25,74
2010-09-26 - 2010-10-02,74
2010-10-03 - 2010-10-09,91
2010-10-10 - 2010-10-16,74
2010-10-17 - 2010-10-23,100
2010-10-24 - 2010-10-30,75
2010-10-31 - 2010-11-06,87
2010-11-07 - 2010-11-13,85
2010-11-14 - 2010-11-20,81
2010-11-21 - 2010-11-27,56
2010-11-28 - 2010-12-04,60
2010-12-05 - 2010-12-11,51
2010-12-12 - 2010-12-18,42
2010-12-19 - 2010-12-25,39
2010-12-26 - 2011-01-01,49
2011-01-02 - 2011-01-08,49
2011-01-09 - 2011-01-15,84
2011-01-16 - 2011-01-22,84
2011-01-23 - 2011-01-29,83
2011-01-30 - 2011-02-05,76
2011-02-06 - 2011-02-12,79
2011-02-13 - 2011-02-19,67
2011-02-20 - 2011-02-26,69
2011-02-27 - 2011-03-05,64
2011-03-06 - 2011-03-12,70
2011-03-13 - 2011-03-19,64
2011-03-20 - 2011-03-26,64
2011-03-27 - 2011-04-02,71
2011-04-03 - 2011-04-09,83
2011-04-10 - 2011-04-16,74
2011-04-17 - 2011-04-23,87
2011-04-24 - 2011-04-30,69
2011-05-01 - 2011-05-07,92
2011-05-08 - 2011-05-14,79
2011-05-15 - 2011-05-21,84
2011-05-22 - 2011-05-28,96
2011-05-29 - 2011-06-04,73
2011-06-05 - 2011-06-11,77
2011-06-12 - 2011-06-18,70
2011-06-19 - 2011-06-25,68
2011-06-26 - 2011-07-02,58
2011-07-03 - 2011-07-09,43
2011-07-10 - 2011-07-16,35
2011-07-17 - 2011-07-23,38
2011-07-24 - 2011-07-30,35
2011-07-31 - 2011-08-06,52
2011-08-07 - 2011-08-13,45
2011-08-14 - 2011-08-20,39
2011-08-21 - 2011-08-27,36
2011-08-28 - 2011-09-03,43
2011-09-04 - 2011-09-10,36
2011-09-11 - 2011-09-17,34
2011-09-18 - 2011-09-24,40
2011-09-25 - 2011-10-01,37
2011-10-02 - 2011-10-08,35
2011-10-09 - 2011-10-15,38
2011-10-16 - 2011-10-22,35
2011-10-23 - 2011-10-29,34
2011-10-30 - 2011-11-05,27
2011-11-06 - 2011-11-12,37
2011-11-13 - 2011-11-19,34
2011-11-20 - 2011-11-26,21
2011-11-27 - 2011-12-03,29
2011-12-04 - 2011-12-10,28
2011-12-11 - 2011-12-17,16
2011-12-18 - 2011-12-24,20
2011-12-25 - 2011-12-31,18
2012-01-01 - 2012-01-07,19
2012-01-08 - 2012-01-14,17
2012-01-15 - 2012-01-21,19
2012-01-22 - 2012-01-28,19
2012-01-29 - 2012-02-04,17
2012-02-05 - 2012-02-11,21
2012-02-12 - 2012-02-18,24
2012-02-19 - 2012-02-25,13
2012-02-26 - 2012-03-03,20
2012-03-04 - 2012-03-10,14
2012-03-11 - 2012-03-17,16
2012-03-18 - 2012-03-24,20
2012-03-25 - 2012-03-31,17
2012-04-01 - 2012-04-07,13
2012-04-08 - 2012-04-14,11
2012-04-15 - 2012-04-21,13
2012-04-22 - 2012-04-28,15
2012-04-29 - 2012-05-05,14
2012-05-06 - 2012-05-12,10
2012-05-13 - 2012-05-19,10
2012-05-20 - 2012-05-26,11
2012-05-27 - 2012-06-02,14
2012-06-03 - 2012-06-09,10
2012-06-10 - 2012-06-16,15
2012-06-17 - 2012-06-23,10
2012-06-24 - 2012-06-30,10
2012-07-01 - 2012-07-07,18
2012-07-08 - 2012-07-14,11
2012-07-15 - 2012-07-21,10
2012-07-22 - 2012-07-28,12
2012-07-29 - 2012-08-04,12
2012-08-05 - 2012-08-11,12
2012-08-12 - 2012-08-18,16
2012-08-19 - 2012-08-25,11
2012-08-26 - 2012-09-01,11
2012-09-02 - 2012-09-08,16
2012-09-09 - 2012-09-15,14
2012-09-16 - 2012-09-22,14
2012-09-23 - 2012-09-29,19
2012-09-30 - 2012-10-06,9
2012-10-07 - 2012-10-13,41
2012-10-14 - 2012-10-20,13
2012-10-21 - 2012-10-27,14
2012-10-28 - 2012-11-03,10
2012-11-04 - 2012-11-10,12
2012-11-11 - 2012-11-17,16
2012-11-18 - 2012-11-24,9
2012-11-25 - 2012-12-01,9
2012-12-02 - 2012-12-08,11
2012-12-09 - 2012-12-15,11
2012-12-16 - 2012-12-22,9
2012-12-23 - 2012-12-29,8
2012-12-30 - 2013-01-05,8
2013-01-06 - 2013-01-12,8
2013-01-13 - 2013-01-19,8
2013-01-20 - 2013-01-26,7
2013-01-27 - 2013-02-02,7
2013-02-03 - 2013-02-09,10
2013-02-10 - 2013-02-16,9
2013-02-17 - 2013-02-23,12
2013-02-24 - 2013-03-02,9
2013-03-03 - 2013-03-09,9
2013-03-10 - 2013-03-16,8
2013-03-17 - 2013-03-23,10
2013-03-24 - 2013-03-30,11
2013-03-31 - 2013-04-06,9
2013-04-07 - 2013-04-13,8
2013-04-14 - 2013-04-20,9
2013-04-21 - 2013-04-27,8
2013-04-28 - 2013-05-04,9
2013-05-05 - 2013-05-11,10
2013-05-12 - 2013-05-18,11
2013-05-19 - 2013-05-25,9
2013-05-26 - 2013-06-01,9
2013-06-02 - 2013-06-08,9
2013-06-09 - 2013-06-15,9
2013-06-16 - 2013-06-22,10
2013-06-23 - 2013-06-29,8
2013-06-30 - 2013-07-06,8
2013-07-07 - 2013-07-13,8
2013-07-14 - 2013-07-20,8
2013-07-21 - 2013-07-27,8
2013-07-28 - 2013-08-03,8
2013-08-04 - 2013-08-10,8
2013-08-11 - 2013-08-17,9
2013-08-18 - 2013-08-24,10
2013-08-25 - 2013-08-31,10
2013-09-01 - 2013-09-07,11
2013-09-08 - 2013-09-14,11
2013-09-15 - 2013-09-21,11
2013-09-22 - 2013-09-28,12
2013-09-29 - 2013-10-05,0
2013-10-06 - 2013-10-12,0
2013-10-13 - 2013-10-19,0
2013-10-20 - 2013-10-26,0
2013-10-27 - 2013-11-02,0
2013-11-03 - 2013-11-09,0
2013-11-10 - 2013-11-16,0
2013-11-17 - 2013-11-23,0
2013-11-24 - 2013-11-30,0
2013-12-01 - 2013-12-07,0
2013-12-08 - 2013-12-14,0
2013-12-15 - 2013-12-21,0
2013-12-22 - 2013-12-28,0
2013-12-29 - 2014-01-04,0
2014-01-05 - 2014-01-11,0
2014-01-12 - 2014-01-18,0
2014-01-19 - 2014-01-25,8
2014-01-26 - 2014-02-01,0
2014-02-02 - 2014-02-08,0
2014-02-09 - 2014-02-15,0
2014-02-16 - 2014-02-22,0
2014-02-23 - 2014-03-01,0
2014-03-02 - 2014-03-08,0
2014-03-09 - 2014-03-15,0
2014-03-16 - 2014-03-22,0
2014-03-23 - 2014-03-29,0
2014-03-30 - 2014-04-05,0
2014-04-06 - 2014-04-12,0
2014-04-13 - 2014-04-19,0
2014-04-20 - 2014-04-26,0
2014-04-27 - 2014-05-03,0
2014-05-04 - 2014-05-10,0
2014-05-11 - 2014-05-17,0
2014-05-18 - 2014-05-24,0
2014-05-25 - 2014-05-31,0
2014-06-01 - 2014-06-07,0
2014-06-08 - 2014-06-14,0
2014-06-15 - 2014-06-21,0
2014-06-22 - 2014-06-28,0
2014-06-29 - 2014-07-05,0
2014-07-06 - 2014-07-12,11
2014-07-13 - 2014-07-19,0
2014-07-20 - 2014-07-26,0
2014-07-27 - 2014-08-02,0
2014-08-03 - 2014-08-09,0
2014-08-10 - 2014-08-16,0
2014-08-17 - 2014-08-23,0
2014-08-24 - 2014-08-30,0
2014-08-31 - 2014-09-06,0
2014-09-07 - 2014-09-13,0
2014-09-14 - 2014-09-20,0
2014-09-21 - 2014-09-27,0
2014-09-28 - 2014-10-04,0
2014-10-05 - 2014-10-11,0
2014-10-12 - 2014-10-18,0
2014-10-19 - 2014-10-25,0
2014-10-26 - 2014-11-01,0
2014-11-02 - 2014-11-08,0
2014-11-09 - 2014-11-15,0
2014-11-16 - 2014-11-22,0
2014-11-23 - 2014-11-29,0
2014-11-30 - 2014-12-06,0
2014-12-07 - 2014-12-13,0
2014-12-14 - 2014-12-20,0
2014-12-21 - 2014-12-27,0
2014-12-28 - 2015-01-03,0
2015-01-04 - 2015-01-10,0
2015-01-11 - 2015-01-17,0
2015-01-18 - 2015-01-24,0
2015-01-25 - 2015-01-31,0
2015-02-01 - 2015-02-07,0
2015-02-08 - 2015-02-14,0
2015-02-15 - 2015-02-21,0
2015-02-22 - 2015-02-28,24
2015-03-01 - 2015-03-07,15
2015-03-08 - 2015-03-14,22
2015-03-15 - 2015-03-21,0
2015-03-22 - 2015-03-28,0
2015-03-29 - 2015-04-04,0
2015-04-05 - 2015-04-11,0
2015-04-12 - 2015-04-18,0
2015-04-19 - 2015-04-25,0
2015-04-26 - 2015-05-02,0
2015-05-03 - 2015-05-09,0
2015-05-10 - 2015-05-16,0
2015-05-17 - 2015-05-23,18
2015-05-24 - 2015-05-30,0
2015-05-31 - 2015-06-06,0
2015-06-07 - 2015-06-13,0
2015-06-14 - 2015-06-20,0
2015-06-21 - 2015-06-27,0
2015-06-28 - 2015-07-04,0
2015-07-05 - 2015-07-11,0
2015-07-12 - 2015-07-18,0
2015-07-19 - 2015-07-25,0
2015-07-26 - 2015-08-01,0


Top sub-regions for steel magnolia
Sub-region,steel magnolia
Kentucky,100
Tennessee,79
Iowa,77
Mississippi,75
Oklahoma,74
Alabama,66
Kansas,66
Wisconsin,64
Missouri,62
South Carolina,58
North Carolina,56
Louisiana,52
Indiana,51
Ohio,51
Georgia,50
Michigan,50
Minnesota,45
Texas,35
Pennsylvania,35
Colorado,31
Illinois,30
Virginia,29
Maryland,26
Florida,25
Arizona,23
Massachusetts,22
Washington,21
New York,17
New Jersey,17
California,13
Alaska,0
Arkansas,0
Connecticut,0
District of Columbia,0
Delaware,0
Hawaii,0
Idaho,0
Maine,0
Montana,0
North Dakota,0
Nebraska,0
New Hampshire,0
New Mexico,0
Nevada,0
Oregon,0
Rhode Island,0
South Dakota,0
Utah,0
Vermont,0
West Virginia,0
Wyoming,0




Top cities for steel magnolia
Town/City,steel magnolia
St. Louis,100
Atlanta,72
Houston,34
Chicago,32
Los Angeles,17



Top searches for steel magnolia
last night again,100
steel magnolia lyrics,85
steel magnolia band,35
steel magnolias,30
bulletproof steel magnolia,25
steel magnolia movie,15
steel magnolia halo,15
steel magnolia trailer,10
steel magnolia live,10
can you duet,10



Rising searches for steel magnolia
bulletproof steel magnolia,Breakout
last night again,Breakout
steel magnolia band,Breakout
steel magnolia lyrics,Breakout
steel magnolias,Breakout



