YouTube Search interest: future
United States; Jan 2008 - Jul 2015

Interest over time
Week,future
2010-03-14 - 2010-03-20,11
2010-03-21 - 2010-03-27,19
2010-03-28 - 2010-04-03,13
2010-04-04 - 2010-04-10,12
2010-04-11 - 2010-04-17,12
2010-04-18 - 2010-04-24,11
2010-04-25 - 2010-05-01,11
2010-05-02 - 2010-05-08,10
2010-05-09 - 2010-05-15,11
2010-05-16 - 2010-05-22,15
2010-05-23 - 2010-05-29,17
2010-05-30 - 2010-06-05,15
2010-06-06 - 2010-06-12,17
2010-06-13 - 2010-06-19,17
2010-06-20 - 2010-06-26,14
2010-06-27 - 2010-07-03,13
2010-07-04 - 2010-07-10,14
2010-07-11 - 2010-07-17,14
2010-07-18 - 2010-07-24,14
2010-07-25 - 2010-07-31,12
2010-08-01 - 2010-08-07,11
2010-08-08 - 2010-08-14,11
2010-08-15 - 2010-08-21,12
2010-08-22 - 2010-08-28,14
2010-08-29 - 2010-09-04,14
2010-09-05 - 2010-09-11,12
2010-09-12 - 2010-09-18,11
2010-09-19 - 2010-09-25,12
2010-09-26 - 2010-10-02,12
2010-10-03 - 2010-10-09,11
2010-10-10 - 2010-10-16,15
2010-10-17 - 2010-10-23,14
2010-10-24 - 2010-10-30,15
2010-10-31 - 2010-11-06,13
2010-11-07 - 2010-11-13,13
2010-11-14 - 2010-11-20,13
2010-11-21 - 2010-11-27,12
2010-11-28 - 2010-12-04,12
2010-12-05 - 2010-12-11,12
2010-12-12 - 2010-12-18,12
2010-12-19 - 2010-12-25,13
2010-12-26 - 2011-01-01,16
2011-01-02 - 2011-01-08,16
2011-01-09 - 2011-01-15,15
2011-01-16 - 2011-01-22,15
2011-01-23 - 2011-01-29,14
2011-01-30 - 2011-02-05,15
2011-02-06 - 2011-02-12,15
2011-02-13 - 2011-02-19,17
2011-02-20 - 2011-02-26,19
2011-02-27 - 2011-03-05,20
2011-03-06 - 2011-03-12,18
2011-03-13 - 2011-03-19,20
2011-03-20 - 2011-03-26,23
2011-03-27 - 2011-04-02,23
2011-04-03 - 2011-04-09,24
2011-04-10 - 2011-04-16,24
2011-04-17 - 2011-04-23,23
2011-04-24 - 2011-04-30,23
2011-05-01 - 2011-05-07,22
2011-05-08 - 2011-05-14,25
2011-05-15 - 2011-05-21,26
2011-05-22 - 2011-05-28,24
2011-05-29 - 2011-06-04,24
2011-06-05 - 2011-06-11,27
2011-06-12 - 2011-06-18,26
2011-06-19 - 2011-06-25,25
2011-06-26 - 2011-07-02,24
2011-07-03 - 2011-07-09,25
2011-07-10 - 2011-07-16,26
2011-07-17 - 2011-07-23,29
2011-07-24 - 2011-07-30,28
2011-07-31 - 2011-08-06,29
2011-08-07 - 2011-08-13,29
2011-08-14 - 2011-08-20,27
2011-08-21 - 2011-08-27,28
2011-08-28 - 2011-09-03,32
2011-09-04 - 2011-09-10,34
2011-09-11 - 2011-09-17,31
2011-09-18 - 2011-09-24,30
2011-09-25 - 2011-10-01,31
2011-10-02 - 2011-10-08,32
2011-10-09 - 2011-10-15,34
2011-10-16 - 2011-10-22,32
2011-10-23 - 2011-10-29,35
2011-10-30 - 2011-11-05,37
2011-11-06 - 2011-11-12,33
2011-11-13 - 2011-11-19,33
2011-11-20 - 2011-11-26,34
2011-11-27 - 2011-12-03,35
2011-12-04 - 2011-12-10,33
2011-12-11 - 2011-12-17,36
2011-12-18 - 2011-12-24,38
2011-12-25 - 2011-12-31,38
2012-01-01 - 2012-01-07,39
2012-01-08 - 2012-01-14,41
2012-01-15 - 2012-01-21,47
2012-01-22 - 2012-01-28,46
2012-01-29 - 2012-02-04,49
2012-02-05 - 2012-02-11,47
2012-02-12 - 2012-02-18,48
2012-02-19 - 2012-02-25,55
2012-02-26 - 2012-03-03,55
2012-03-04 - 2012-03-10,60
2012-03-11 - 2012-03-17,61
2012-03-18 - 2012-03-24,81
2012-03-25 - 2012-03-31,76
2012-04-01 - 2012-04-07,72
2012-04-08 - 2012-04-14,79
2012-04-15 - 2012-04-21,92
2012-04-22 - 2012-04-28,92
2012-04-29 - 2012-05-05,90
2012-05-06 - 2012-05-12,88
2012-05-13 - 2012-05-19,90
2012-05-20 - 2012-05-26,96
2012-05-27 - 2012-06-02,87
2012-06-03 - 2012-06-09,79
2012-06-10 - 2012-06-16,74
2012-06-17 - 2012-06-23,72
2012-06-24 - 2012-06-30,75
2012-07-01 - 2012-07-07,74
2012-07-08 - 2012-07-14,74
2012-07-15 - 2012-07-21,72
2012-07-22 - 2012-07-28,75
2012-07-29 - 2012-08-04,81
2012-08-05 - 2012-08-11,81
2012-08-12 - 2012-08-18,83
2012-08-19 - 2012-08-25,81
2012-08-26 - 2012-09-01,85
2012-09-02 - 2012-09-08,86
2012-09-09 - 2012-09-15,81
2012-09-16 - 2012-09-22,79
2012-09-23 - 2012-09-29,82
2012-09-30 - 2012-10-06,79
2012-10-07 - 2012-10-13,77
2012-10-14 - 2012-10-20,77
2012-10-21 - 2012-10-27,72
2012-10-28 - 2012-11-03,68
2012-11-04 - 2012-11-10,66
2012-11-11 - 2012-11-17,66
2012-11-18 - 2012-11-24,70
2012-11-25 - 2012-12-01,76
2012-12-02 - 2012-12-08,73
2012-12-09 - 2012-12-15,73
2012-12-16 - 2012-12-22,72
2012-12-23 - 2012-12-29,70
2012-12-30 - 2013-01-05,67
2013-01-06 - 2013-01-12,77
2013-01-13 - 2013-01-19,85
2013-01-20 - 2013-01-26,78
2013-01-27 - 2013-02-02,78
2013-02-03 - 2013-02-09,86
2013-02-10 - 2013-02-16,97
2013-02-17 - 2013-02-23,100
2013-02-24 - 2013-03-02,97
2013-03-03 - 2013-03-09,95
2013-03-10 - 2013-03-16,93
2013-03-17 - 2013-03-23,93
2013-03-24 - 2013-03-30,90
2013-03-31 - 2013-04-06,86
2013-04-07 - 2013-04-13,83
2013-04-14 - 2013-04-20,78
2013-04-21 - 2013-04-27,83
2013-04-28 - 2013-05-04,81
2013-05-05 - 2013-05-11,79
2013-05-12 - 2013-05-18,76
2013-05-19 - 2013-05-25,71
2013-05-26 - 2013-06-01,69
2013-06-02 - 2013-06-08,65
2013-06-09 - 2013-06-15,63
2013-06-16 - 2013-06-22,59
2013-06-23 - 2013-06-29,55
2013-06-30 - 2013-07-06,59
2013-07-07 - 2013-07-13,52
2013-07-14 - 2013-07-20,52
2013-07-21 - 2013-07-27,53
2013-07-28 - 2013-08-03,56
2013-08-04 - 2013-08-10,56
2013-08-11 - 2013-08-17,53
2013-08-18 - 2013-08-24,54
2013-08-25 - 2013-08-31,51
2013-09-01 - 2013-09-07,53
2013-09-08 - 2013-09-14,57
2013-09-15 - 2013-09-21,59
2013-09-22 - 2013-09-28,61
2013-09-29 - 2013-10-05,58
2013-10-06 - 2013-10-12,60
2013-10-13 - 2013-10-19,64
2013-10-20 - 2013-10-26,65
2013-10-27 - 2013-11-02,84
2013-11-03 - 2013-11-09,66
2013-11-10 - 2013-11-16,70
2013-11-17 - 2013-11-23,68
2013-11-24 - 2013-11-30,63
2013-12-01 - 2013-12-07,61
2013-12-08 - 2013-12-14,58
2013-12-15 - 2013-12-21,57
2013-12-22 - 2013-12-28,55
2013-12-29 - 2014-01-04,52
2014-01-05 - 2014-01-11,50
2014-01-12 - 2014-01-18,49
2014-01-19 - 2014-01-25,45
2014-01-26 - 2014-02-01,45
2014-02-02 - 2014-02-08,44
2014-02-09 - 2014-02-15,43
2014-02-16 - 2014-02-22,42
2014-02-23 - 2014-03-01,41
2014-03-02 - 2014-03-08,42
2014-03-09 - 2014-03-15,42
2014-03-16 - 2014-03-22,45
2014-03-23 - 2014-03-29,58
2014-03-30 - 2014-04-05,51
2014-04-06 - 2014-04-12,51
2014-04-13 - 2014-04-19,64
2014-04-20 - 2014-04-26,66
2014-04-27 - 2014-05-03,65
2014-05-04 - 2014-05-10,60
2014-05-11 - 2014-05-17,59
2014-05-18 - 2014-05-24,67
2014-05-25 - 2014-05-31,70
2014-06-01 - 2014-06-07,58
2014-06-08 - 2014-06-14,46
2014-06-15 - 2014-06-21,43
2014-06-22 - 2014-06-28,41
2014-06-29 - 2014-07-05,41
2014-07-06 - 2014-07-12,37
2014-07-13 - 2014-07-19,35
2014-07-20 - 2014-07-26,33
2014-07-27 - 2014-08-02,32
2014-08-03 - 2014-08-09,32
2014-08-10 - 2014-08-16,30
2014-08-17 - 2014-08-23,30
2014-08-24 - 2014-08-30,31
2014-08-31 - 2014-09-06,30
2014-09-07 - 2014-09-13,31
2014-09-14 - 2014-09-20,32
2014-09-21 - 2014-09-27,34
2014-09-28 - 2014-10-04,32
2014-10-05 - 2014-10-11,34
2014-10-12 - 2014-10-18,34
2014-10-19 - 2014-10-25,35
2014-10-26 - 2014-11-01,35
2014-11-02 - 2014-11-08,37
2014-11-09 - 2014-11-15,36
2014-11-16 - 2014-11-22,33
2014-11-23 - 2014-11-29,33
2014-11-30 - 2014-12-06,34
2014-12-07 - 2014-12-13,33
2014-12-14 - 2014-12-20,32
2014-12-21 - 2014-12-27,32
2014-12-28 - 2015-01-03,34
2015-01-04 - 2015-01-10,34
2015-01-11 - 2015-01-17,37
2015-01-18 - 2015-01-24,36
2015-01-25 - 2015-01-31,35
2015-02-01 - 2015-02-07,34
2015-02-08 - 2015-02-14,33
2015-02-15 - 2015-02-21,33
2015-02-22 - 2015-02-28,31
2015-03-01 - 2015-03-07,33
2015-03-08 - 2015-03-14,33
2015-03-15 - 2015-03-21,45
2015-03-22 - 2015-03-28,49
2015-03-29 - 2015-04-04,48
2015-04-05 - 2015-04-11,53
2015-04-12 - 2015-04-18,59
2015-04-19 - 2015-04-25,62
2015-04-26 - 2015-05-02,63
2015-05-03 - 2015-05-09,64
2015-05-10 - 2015-05-16,66
2015-05-17 - 2015-05-23,66
2015-05-24 - 2015-05-30,65
2015-05-31 - 2015-06-06,61
2015-06-07 - 2015-06-13,56
2015-06-14 - 2015-06-20,54
2015-06-21 - 2015-06-27,58
2015-06-28 - 2015-07-04,54
2015-07-05 - 2015-07-11,55
2015-07-12 - 2015-07-18,69
2015-07-19 - 2015-07-25,77
2015-07-26 - 2015-08-01,69


Top sub-regions for future
Sub-region,future
Mississippi,100
Georgia,100
Alabama,92
South Carolina,76
North Carolina,60
Tennessee,53
Florida,50
Louisiana,50
Ohio,50
Illinois,47
Maryland,45
Arkansas,44
Indiana,39
Missouri,38
Kentucky,37
Michigan,36
Wisconsin,36
Delaware,36
Texas,36
New York,34
Pennsylvania,33
Rhode Island,30
Iowa,30
West Virginia,29
Oklahoma,29
Arizona,29
District of Columbia,28
New Mexico,28
Minnesota,28
New Jersey,28
Connecticut,27
South Dakota,26
Kansas,26
Nevada,26
Massachusetts,26
Virginia,25
Nebraska,25
California,25
North Dakota,24
Colorado,24
Washington,22
Montana,21
New Hampshire,21
Maine,20
Hawaii,20
Oregon,19
Alaska,19
Vermont,19
Utah,19
Idaho,18
Wyoming,17


Top metros for future
Metro,future
Greenwood-Greenville MS,100
Meridian MS,83
Albany GA,75
Columbus GA,61
Montgomery (Selma) AL,60
Augusta GA,53
Macon GA,52
Columbus-Tupelo-West Point MS,48
Florence-Myrtle Beach SC,46
Biloxi-Gulfport MS,43
Tallahassee FL-Thomasville GA,42
Atlanta GA,42
Dothan AL,41
Savannah GA,40
Columbia SC,40
Memphis TN,39
Jackson MS,38
Hattiesburg-Laurel MS,36
Birmingham AL,36
Monroe LA-El Dorado AR,35
Charleston SC,32
Mobile AL-Pensacola (Ft. Walton Beach) FL,29
Huntsville-Decatur (Florence) AL,29
Greenville-New Bern-Washington NC,28
Shreveport LA,28
Panama City FL,28
Raleigh-Durham (Fayetteville) NC,28
Chattanooga TN,27
Charlotte NC,25
Greensboro-High Point-Winston Salem NC,25
Little Rock-Pine Bluff AR,24
Wilmington NC,24
Jacksonville FL,23
Cincinnati OH,23
Jackson TN,23
Cleveland-Akron (Canton) OH,23
Norfolk-Portsmouth-Newport News VA,23
Greenville-Spartanburg SC-Asheville NC-Anderson SC,22
Milwaukee WI,22
Rockford IL,22
Dayton OH,21
Richmond-Petersburg VA,21
Baton Rouge LA,21
Chicago IL,21
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,21
Tampa-St. Petersburg (Sarasota) FL,21
Lafayette LA,20
Bowling Green KY,20
St. Louis MO,20
Baltimore MD,20
Toledo OH,19
New Orleans LA,19
West Palm Beach-Ft. Pierce FL,19
Miami-Ft. Lauderdale FL,19
Nashville TN,18
Salisbury MD,18
Orlando-Daytona Beach-Melbourne FL,18
Tyler-Longview(Lufkin & Nacogdoches) TX,17
Louisville KY,17
Gainesville FL,17
Davenport IA-Rock Island-Moline IL,17
Flint-Saginaw-Bay City MI,17
Ft. Wayne IN,17
Peoria-Bloomington IL,17
Roanoke-Lynchburg VA,17
Rochester NY,17
Champaign & Springfield-Decatur IL,17
Buffalo NY,16
Beaumont-Port Arthur TX,16
Houston TX,16
Columbus OH,16
Waco-Temple-Bryan TX,16
Odessa-Midland TX,16
Detroit MI,16
Ft. Myers-Naples FL,16
Wichita Falls TX & Lawton OK,15
Terre Haute IN,15
Indianapolis IN,15
Abilene-Sweetwater TX,15
Philadelphia PA,15
Pittsburgh PA,15
Evansville IN,15
New York NY,15
Lexington KY,15
Lubbock TX,15
Dallas-Ft. Worth TX,15
Providence RI-New Bedford MA,14
Youngstown OH,14
Columbia-Jefferson City MO,14
Erie PA,14
Charlottesville VA,14
South Bend-Elkhart IN,14
Corpus Christi TX,14
Tucson (Sierra Vista) AZ,13
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,13
Lansing MI,13
Knoxville TN,13
Grand Rapids-Kalamazoo-Battle Creek MI,13
San Antonio TX,13
Charleston-Huntington WV,13
Springfield-Holyoke MA,13
Amarillo TX,13
Minneapolis-St. Paul MN,13
Wichita-Hutchinson KS,13
Tulsa OK,13
Hartford & New Haven CT,12
El Paso TX,12
Los Angeles CA,12
Oklahoma City OK,12
Sioux Falls(Mitchell) SD,12
Tri-Cities TN-VA,12
Austin TX,12
Albany-Schenectady-Troy NY,12
Kansas City MO,12
Albuquerque-Santa Fe NM,12
Sioux City IA,12
Harrisburg-Lancaster-Lebanon-York PA,12
Madison WI,12
Phoenix AZ,12
Yakima-Pasco-Richland-Kennewick WA,12
Colorado Springs-Pueblo CO,11
Green Bay-Appleton WI,11
Las Vegas NV,11
Duluth MN-Superior WI,11
Topeka KS,11
Omaha NE,11
Johnstown-Altoona PA,11
Boston MA-Manchester NH,11
Bakersfield CA,11
Binghamton NY,11
Springfield MO,11
Denver CO,11
Fresno-Visalia CA,11
Des Moines-Ames IA,11
Wausau-Rhinelander WI,10
Washington DC (Hagerstown MD),10
Sacramento-Stockton-Modesto CA,10
San Diego CA,10
Wilkes Barre-Scranton PA,10
Palm Springs CA,10
La Crosse-Eau Claire WI,10
Ft. Smith-Fayetteville-Springdale-Rogers AR,10
Seattle-Tacoma WA,10
Syracuse NY,10
Fargo-Valley City ND,9
Santa Barbara-Santa Maria-San Luis Obispo CA,9
Burlington VT-Plattsburgh NY,9
Chico-Redding CA,9
Portland OR,9
Reno NV,9
Anchorage AK,9
Monterey-Salinas CA,9
Spokane WA,9
Harlingen-Weslaco-Brownsville-McAllen TX,9
Portland-Auburn ME,9
Salt Lake City UT,9
Lincoln & Hastings-Kearney NE,9
Honolulu HI,8
Boise ID,8
Eugene OR,8
San Francisco-Oakland-San Jose CA,7
Utica NY,0
Bangor ME,0
Traverse City-Cadillac MI,0
Watertown NY,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Elmira NY,0
Harrisonburg VA,0
Lafayette IN,0
Alpena MI,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Joplin MO-Pittsburg KS,0
Rochester MN-Mason City IA-Austin MN,0
Victoria TX,0
Ottumwa IA-Kirksville MO,0
St. Joseph MO,0
Lake Charles LA,0
Alexandria LA,0
Sherman TX-Ada OK,0
San Angelo TX,0
Minot-Bismarck-Dickinson(Williston) ND,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jonesboro AR,0
Mankato MN,0
North Platte NE,0
Fairbanks AK,0
Juneau AK,0
Laredo TX,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Eureka CA,0
Medford-Klamath Falls OR,0
Bend OR,0


Top cities for future
Town/City,future
Memphis,100
Milwaukee,82
Cleveland,79
Baltimore,71
Cincinnati,70
Atlanta,69
Charlotte,66
Chicago,58
Columbus,48
Houston,45
New York,44
St. Louis,44
Philadelphia,43
Dallas,40
Orlando,38



Top searches for future
the future,100
future love,30
lil wayne,25
drake,20
odd future,20
love me,15
new future,10
rihanna,10
2 chainz,10
no matter what,10
nicki minaj,10
future music,10
magic future,5
rick ross,5
chief keef,5
future neva end,5
wiz khalifa,5
future instrumental,5
honest future,5
dear future husband,5
gucci mane,5
tyga,5
future karate chop,5
future love song,5
future 2013,5
future never end,5
meghan trainor,5
future ft rihanna,5
future itchin,5
yo gotti,5
future shit,5
meek mill,5
future tony montana,5
tony montana,5
mindless behavior,5
mindless behavior future,5
future weapons,5
kendrick lamar,5
tyler the creator,5
young jeezy,5
rich homie quan,5
love song rihanna,5
french montana,5
big sean,5
oldie odd future,5
tapout,5
asap rocky,5
rider future,0
future i won,0
chosen one future,0



Rising searches for future
2 chainz,Breakout
drake,Breakout
magic future,Breakout
nicki minaj,Breakout
no matter what,Breakout
odd future,Breakout
rick ross,Breakout
rihanna,Breakout
love me,+550%
lil wayne,+250%



