YouTube Search interest: sean paul
United States; Jan 2008 - Jul 2015

Interest over time
Week,sean paul
2014-03-16 - 2014-03-22,24
2014-03-23 - 2014-03-29,23
2014-03-30 - 2014-04-05,23
2014-04-06 - 2014-04-12,22
2014-04-13 - 2014-04-19,26
2014-04-20 - 2014-04-26,28
2014-04-27 - 2014-05-03,28
2014-05-04 - 2014-05-10,28
2014-05-11 - 2014-05-17,25
2014-05-18 - 2014-05-24,27
2014-05-25 - 2014-05-31,28
2014-06-01 - 2014-06-07,29
2014-06-08 - 2014-06-14,29
2014-06-15 - 2014-06-21,28
2014-06-22 - 2014-06-28,27
2014-06-29 - 2014-07-05,31
2014-07-06 - 2014-07-12,31
2014-07-13 - 2014-07-19,31
2014-07-20 - 2014-07-26,30
2014-07-27 - 2014-08-02,35
2014-08-03 - 2014-08-09,30
2014-08-10 - 2014-08-16,34
2014-08-17 - 2014-08-23,33
2014-08-24 - 2014-08-30,34
2014-08-31 - 2014-09-06,31
2014-09-07 - 2014-09-13,29
2014-09-14 - 2014-09-20,30
2014-09-21 - 2014-09-27,26
2014-09-28 - 2014-10-04,25
2014-10-05 - 2014-10-11,26
2014-10-12 - 2014-10-18,24
2014-10-19 - 2014-10-25,26
2014-10-26 - 2014-11-01,22
2014-11-02 - 2014-11-08,23
2014-11-09 - 2014-11-15,22
2014-11-16 - 2014-11-22,21
2014-11-23 - 2014-11-29,19
2014-11-30 - 2014-12-06,18
2014-12-07 - 2014-12-13,20
2014-12-14 - 2014-12-20,21
2014-12-21 - 2014-12-27,19
2014-12-28 - 2015-01-03,24
2015-01-04 - 2015-01-10,20
2015-01-11 - 2015-01-17,20
2015-01-18 - 2015-01-24,20
2015-01-25 - 2015-01-31,21
2015-02-01 - 2015-02-07,21
2015-02-08 - 2015-02-14,20
2015-02-15 - 2015-02-21,20
2015-02-22 - 2015-02-28,24
2015-03-01 - 2015-03-07,23
2015-03-08 - 2015-03-14,22
2015-03-15 - 2015-03-21,21
2015-03-22 - 2015-03-28,21
2015-03-29 - 2015-04-04,20
2015-04-05 - 2015-04-11,21
2015-04-12 - 2015-04-18,21
2015-04-19 - 2015-04-25,22
2015-04-26 - 2015-05-02,22
2015-05-03 - 2015-05-09,22
2015-05-10 - 2015-05-16,20
2015-05-17 - 2015-05-23,20
2015-05-24 - 2015-05-30,18
2015-05-31 - 2015-06-06,19
2015-06-07 - 2015-06-13,17
2015-06-14 - 2015-06-20,18
2015-06-21 - 2015-06-27,18
2015-06-28 - 2015-07-04,15
2015-07-05 - 2015-07-11,17
2015-07-12 - 2015-07-18,15
2015-07-19 - 2015-07-25,15
2015-07-26 - 2015-08-01,17


Top sub-regions for sean paul
Sub-region,sean paul
New York,100
Florida,90
Virginia,86
Massachusetts,83
Rhode Island,78
District of Columbia,75
New Jersey,73
Connecticut,73
California,65
Maryland,63
Hawaii,62
Illinois,60
Pennsylvania,60
Delaware,60
New Hampshire,56
Georgia,55
North Carolina,52
South Dakota,51
New Mexico,50
Vermont,49
Maine,47
Texas,47
South Carolina,45
Arizona,45
Nevada,45
Minnesota,44
Alaska,42
Colorado,40
Michigan,40
Louisiana,39
Washington,39
North Dakota,39
Ohio,39
Wisconsin,39
Utah,38
Missouri,38
Kansas,38
Nebraska,38
Wyoming,38
Mississippi,37
West Virginia,36
Indiana,35
Oregon,35
Alabama,35
Montana,35
Oklahoma,34
Idaho,34
Tennessee,33
Arkansas,32
Iowa,32
Kentucky,31


Top metros for sean paul
Metro,sean paul
Miami-Ft. Lauderdale FL,100
New York NY,84
Washington DC (Hagerstown MD),79
Orlando-Daytona Beach-Melbourne FL,70
San Francisco-Oakland-San Jose CA,68
West Palm Beach-Ft. Pierce FL,67
Springfield-Holyoke MA,67
Providence RI-New Bedford MA,63
Boston MA-Manchester NH,63
Albany-Schenectady-Troy NY,62
Philadelphia PA,62
Chicago IL,58
Hartford & New Haven CT,56
Tampa-St. Petersburg (Sarasota) FL,53
Honolulu HI,53
Rochester NY,53
Los Angeles CA,51
Wilkes Barre-Scranton PA,49
Harrisburg-Lancaster-Lebanon-York PA,49
Raleigh-Durham (Fayetteville) NC,48
Atlanta GA,46
Harlingen-Weslaco-Brownsville-McAllen TX,46
Syracuse NY,45
Norfolk-Portsmouth-Newport News VA,45
Las Vegas NV,44
Baltimore MD,42
Charlotte NC,41
San Diego CA,41
Greensboro-High Point-Winston Salem NC,41
Fresno-Visalia CA,40
Dallas-Ft. Worth TX,39
Phoenix AZ,38
Minneapolis-St. Paul MN,37
San Antonio TX,36
Houston TX,35
Sacramento-Stockton-Modesto CA,35
Detroit MI,35
Seattle-Tacoma WA,34
Columbus OH,33
Denver CO,33
St. Louis MO,33
Milwaukee WI,32
Indianapolis IN,32
Salt Lake City UT,32
Cleveland-Akron (Canton) OH,32
Portland OR,31
Kansas City MO,30
Pittsburgh PA,28
Austin TX,27
Portland-Auburn ME,0
Binghamton NY,0
Macon GA,0
Savannah GA,0
Ft. Wayne IN,0
Flint-Saginaw-Bay City MI,0
Buffalo NY,0
Cincinnati OH,0
Erie PA,0
Charleston SC,0
Augusta GA,0
Columbus GA,0
Burlington VT-Plattsburgh NY,0
Albany GA,0
Utica NY,0
Louisville KY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Youngstown OH,0
Bangor ME,0
Traverse City-Cadillac MI,0
Lexington KY,0
Dayton OH,0
Greenville-New Bern-Washington NC,0
Columbia SC,0
Toledo OH,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Richmond-Petersburg VA,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Jacksonville FL,0
Grand Rapids-Kalamazoo-Battle Creek MI,0
Charleston-Huntington WV,0
Elmira NY,0
Greenville-Spartanburg SC-Asheville NC-Anderson SC,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Roanoke-Lynchburg VA,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Springfield MO,0
New Orleans LA,0
Sioux City IA,0
Waco-Temple-Bryan TX,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Birmingham AL,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Memphis TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Oklahoma City OK,0
Lubbock TX,0
Omaha NE,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
Nashville TN,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Madison WI,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Tulsa OK,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Wichita-Hutchinson KS,0
Des Moines-Ames IA,0
Davenport IA-Rock Island-Moline IL,0
Mobile AL-Pensacola (Ft. Walton Beach) FL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Little Rock-Pine Bluff AR,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Colorado Springs-Pueblo CO,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Tucson (Sierra Vista) AZ,0
Albuquerque-Santa Fe NM,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for sean paul
Town/City,sean paul
Milpitas,100
Sterling,99
Hialeah,92
Miami,85
New York,82
Orlando,65
Boston,59
Newark,58
Chicago,57
Reston,57
Philadelphia,52
Washington,52
Tampa,48
Herndon,48
Atlanta,47



Top searches for sean paul
temperature,100
temperature sean paul,100
get busy,45
sean paul remix,35
so fine,30
new sean paul,25
sean paul songs,25
jay sean,20
sean kingston,20
like glue,20
hold my hand,20
baby boy,15
sean paul estelle,10
estelle,10
sean paul 2011,10
shaggy,10
baby boy beyonce,10
sean paul burning,10
sean paul body,10
sean paul 2010,10
sean paul mix,10
sean paul 2009,10
come over,10
break it off,10
shake senora,10
shake senora pitbull,10
beenie man,10
do you remember,5
estelle come over,5
sean paul 2012,5
shake that thing,5



Rising searches for sean paul
hold my hand,Breakout
so fine,Breakout
jay sean,+400%
get busy,+250%
sean paul songs,+250%
like glue,+200%
temperature,+190%
temperature sean paul,+170%
new sean paul,+130%
sean paul remix,+120%



