YouTube Search interest: idina menzel
United States; Jan 2008 - Jul 2015

Interest over time
Week,idina menzel
2010-05-09 - 2010-05-15,1
2010-05-16 - 2010-05-22,5
2010-05-23 - 2010-05-29,5
2010-05-30 - 2010-06-05,4
2010-06-06 - 2010-06-12,2
2010-06-13 - 2010-06-19,3
2010-06-20 - 2010-06-26,2
2010-06-27 - 2010-07-03,2
2010-07-04 - 2010-07-10,2
2010-07-11 - 2010-07-17,2
2010-07-18 - 2010-07-24,2
2010-07-25 - 2010-07-31,1
2010-08-01 - 2010-08-07,2
2010-08-08 - 2010-08-14,1
2010-08-15 - 2010-08-21,1
2010-08-22 - 2010-08-28,1
2010-08-29 - 2010-09-04,1
2010-09-05 - 2010-09-11,1
2010-09-12 - 2010-09-18,2
2010-09-19 - 2010-09-25,2
2010-09-26 - 2010-10-02,2
2010-10-03 - 2010-10-09,2
2010-10-10 - 2010-10-16,1
2010-10-17 - 2010-10-23,1
2010-10-24 - 2010-10-30,2
2010-10-31 - 2010-11-06,2
2010-11-07 - 2010-11-13,1
2010-11-14 - 2010-11-20,2
2010-11-21 - 2010-11-27,1
2010-11-28 - 2010-12-04,1
2010-12-05 - 2010-12-11,1
2010-12-12 - 2010-12-18,1
2010-12-19 - 2010-12-25,1
2010-12-26 - 2011-01-01,1
2011-01-02 - 2011-01-08,1
2011-01-09 - 2011-01-15,1
2011-01-16 - 2011-01-22,1
2011-01-23 - 2011-01-29,1
2011-01-30 - 2011-02-05,2
2011-02-06 - 2011-02-12,2
2011-02-13 - 2011-02-19,2
2011-02-20 - 2011-02-26,1
2011-02-27 - 2011-03-05,1
2011-03-06 - 2011-03-12,1
2011-03-13 - 2011-03-19,1
2011-03-20 - 2011-03-26,1
2011-03-27 - 2011-04-02,1
2011-04-03 - 2011-04-09,1
2011-04-10 - 2011-04-16,1
2011-04-17 - 2011-04-23,1
2011-04-24 - 2011-04-30,1
2011-05-01 - 2011-05-07,1
2011-05-08 - 2011-05-14,1
2011-05-15 - 2011-05-21,1
2011-05-22 - 2011-05-28,2
2011-05-29 - 2011-06-04,1
2011-06-05 - 2011-06-11,1
2011-06-12 - 2011-06-18,1
2011-06-19 - 2011-06-25,1
2011-06-26 - 2011-07-02,1
2011-07-03 - 2011-07-09,1
2011-07-10 - 2011-07-16,1
2011-07-17 - 2011-07-23,1
2011-07-24 - 2011-07-30,1
2011-07-31 - 2011-08-06,1
2011-08-07 - 2011-08-13,1
2011-08-14 - 2011-08-20,1
2011-08-21 - 2011-08-27,1
2011-08-28 - 2011-09-03,1
2011-09-04 - 2011-09-10,1
2011-09-11 - 2011-09-17,1
2011-09-18 - 2011-09-24,1
2011-09-25 - 2011-10-01,2
2011-10-02 - 2011-10-08,2
2011-10-09 - 2011-10-15,1
2011-10-16 - 2011-10-22,1
2011-10-23 - 2011-10-29,1
2011-10-30 - 2011-11-05,2
2011-11-06 - 2011-11-12,2
2011-11-13 - 2011-11-19,1
2011-11-20 - 2011-11-26,1
2011-11-27 - 2011-12-03,1
2011-12-04 - 2011-12-10,1
2011-12-11 - 2011-12-17,1
2011-12-18 - 2011-12-24,1
2011-12-25 - 2011-12-31,1
2012-01-01 - 2012-01-07,1
2012-01-08 - 2012-01-14,1
2012-01-15 - 2012-01-21,1
2012-01-22 - 2012-01-28,1
2012-01-29 - 2012-02-04,1
2012-02-05 - 2012-02-11,1
2012-02-12 - 2012-02-18,1
2012-02-19 - 2012-02-25,1
2012-02-26 - 2012-03-03,1
2012-03-04 - 2012-03-10,2
2012-03-11 - 2012-03-17,1
2012-03-18 - 2012-03-24,1
2012-03-25 - 2012-03-31,1
2012-04-01 - 2012-04-07,1
2012-04-08 - 2012-04-14,1
2012-04-15 - 2012-04-21,1
2012-04-22 - 2012-04-28,1
2012-04-29 - 2012-05-05,1
2012-05-06 - 2012-05-12,1
2012-05-13 - 2012-05-19,1
2012-05-20 - 2012-05-26,1
2012-05-27 - 2012-06-02,1
2012-06-03 - 2012-06-09,1
2012-06-10 - 2012-06-16,1
2012-06-17 - 2012-06-23,1
2012-06-24 - 2012-06-30,1
2012-07-01 - 2012-07-07,1
2012-07-08 - 2012-07-14,1
2012-07-15 - 2012-07-21,1
2012-07-22 - 2012-07-28,1
2012-07-29 - 2012-08-04,1
2012-08-05 - 2012-08-11,1
2012-08-12 - 2012-08-18,1
2012-08-19 - 2012-08-25,1
2012-08-26 - 2012-09-01,1
2012-09-02 - 2012-09-08,1
2012-09-09 - 2012-09-15,1
2012-09-16 - 2012-09-22,1
2012-09-23 - 2012-09-29,1
2012-09-30 - 2012-10-06,1
2012-10-07 - 2012-10-13,1
2012-10-14 - 2012-10-20,1
2012-10-21 - 2012-10-27,1
2012-10-28 - 2012-11-03,1
2012-11-04 - 2012-11-10,1
2012-11-11 - 2012-11-17,1
2012-11-18 - 2012-11-24,1
2012-11-25 - 2012-12-01,1
2012-12-02 - 2012-12-08,1
2012-12-09 - 2012-12-15,1
2012-12-16 - 2012-12-22,1
2012-12-23 - 2012-12-29,1
2012-12-30 - 2013-01-05,1
2013-01-06 - 2013-01-12,1
2013-01-13 - 2013-01-19,1
2013-01-20 - 2013-01-26,1
2013-01-27 - 2013-02-02,1
2013-02-03 - 2013-02-09,1
2013-02-10 - 2013-02-16,1
2013-02-17 - 2013-02-23,1
2013-02-24 - 2013-03-02,1
2013-03-03 - 2013-03-09,1
2013-03-10 - 2013-03-16,1
2013-03-17 - 2013-03-23,1
2013-03-24 - 2013-03-30,1
2013-03-31 - 2013-04-06,1
2013-04-07 - 2013-04-13,1
2013-04-14 - 2013-04-20,1
2013-04-21 - 2013-04-27,1
2013-04-28 - 2013-05-04,1
2013-05-05 - 2013-05-11,1
2013-05-12 - 2013-05-18,1
2013-05-19 - 2013-05-25,1
2013-05-26 - 2013-06-01,1
2013-06-02 - 2013-06-08,1
2013-06-09 - 2013-06-15,1
2013-06-16 - 2013-06-22,1
2013-06-23 - 2013-06-29,1
2013-06-30 - 2013-07-06,1
2013-07-07 - 2013-07-13,2
2013-07-14 - 2013-07-20,1
2013-07-21 - 2013-07-27,1
2013-07-28 - 2013-08-03,1
2013-08-04 - 2013-08-10,1
2013-08-11 - 2013-08-17,1
2013-08-18 - 2013-08-24,1
2013-08-25 - 2013-08-31,2
2013-09-01 - 2013-09-07,1
2013-09-08 - 2013-09-14,1
2013-09-15 - 2013-09-21,1
2013-09-22 - 2013-09-28,1
2013-09-29 - 2013-10-05,1
2013-10-06 - 2013-10-12,1
2013-10-13 - 2013-10-19,1
2013-10-20 - 2013-10-26,1
2013-10-27 - 2013-11-02,1
2013-11-03 - 2013-11-09,2
2013-11-10 - 2013-11-16,1
2013-11-17 - 2013-11-23,1
2013-11-24 - 2013-11-30,4
2013-12-01 - 2013-12-07,11
2013-12-08 - 2013-12-14,10
2013-12-15 - 2013-12-21,8
2013-12-22 - 2013-12-28,14
2013-12-29 - 2014-01-04,23
2014-01-05 - 2014-01-11,16
2014-01-12 - 2014-01-18,13
2014-01-19 - 2014-01-25,14
2014-01-26 - 2014-02-01,13
2014-02-02 - 2014-02-08,10
2014-02-09 - 2014-02-15,12
2014-02-16 - 2014-02-22,12
2014-02-23 - 2014-03-01,11
2014-03-02 - 2014-03-08,100
2014-03-09 - 2014-03-15,23
2014-03-16 - 2014-03-22,20
2014-03-23 - 2014-03-29,16
2014-03-30 - 2014-04-05,20
2014-04-06 - 2014-04-12,15
2014-04-13 - 2014-04-19,15
2014-04-20 - 2014-04-26,12
2014-04-27 - 2014-05-03,10
2014-05-04 - 2014-05-10,9
2014-05-11 - 2014-05-17,8
2014-05-18 - 2014-05-24,8
2014-05-25 - 2014-05-31,7
2014-06-01 - 2014-06-07,8
2014-06-08 - 2014-06-14,11
2014-06-15 - 2014-06-21,9
2014-06-22 - 2014-06-28,7
2014-06-29 - 2014-07-05,6
2014-07-06 - 2014-07-12,6
2014-07-13 - 2014-07-19,6
2014-07-20 - 2014-07-26,6
2014-07-27 - 2014-08-02,4
2014-08-03 - 2014-08-09,5
2014-08-10 - 2014-08-16,3
2014-08-17 - 2014-08-23,4
2014-08-24 - 2014-08-30,3
2014-08-31 - 2014-09-06,4
2014-09-07 - 2014-09-13,4
2014-09-14 - 2014-09-20,4
2014-09-21 - 2014-09-27,3
2014-09-28 - 2014-10-04,4
2014-10-05 - 2014-10-11,3
2014-10-12 - 2014-10-18,3
2014-10-19 - 2014-10-25,3
2014-10-26 - 2014-11-01,4
2014-11-02 - 2014-11-08,3
2014-11-09 - 2014-11-15,3
2014-11-16 - 2014-11-22,6
2014-11-23 - 2014-11-29,6
2014-11-30 - 2014-12-06,9
2014-12-07 - 2014-12-13,7
2014-12-14 - 2014-12-20,6
2014-12-21 - 2014-12-27,5
2014-12-28 - 2015-01-03,12
2015-01-04 - 2015-01-10,9
2015-01-11 - 2015-01-17,6
2015-01-18 - 2015-01-24,3
2015-01-25 - 2015-01-31,4
2015-02-01 - 2015-02-07,15
2015-02-08 - 2015-02-14,4
2015-02-15 - 2015-02-21,3
2015-02-22 - 2015-02-28,9
2015-03-01 - 2015-03-07,3
2015-03-08 - 2015-03-14,3
2015-03-15 - 2015-03-21,2
2015-03-22 - 2015-03-28,3
2015-03-29 - 2015-04-04,3
2015-04-05 - 2015-04-11,2
2015-04-12 - 2015-04-18,2
2015-04-19 - 2015-04-25,2
2015-04-26 - 2015-05-02,2
2015-05-03 - 2015-05-09,3
2015-05-10 - 2015-05-16,2
2015-05-17 - 2015-05-23,2
2015-05-24 - 2015-05-30,2
2015-05-31 - 2015-06-06,2
2015-06-07 - 2015-06-13,2
2015-06-14 - 2015-06-20,2
2015-06-21 - 2015-06-27,1
2015-06-28 - 2015-07-04,2
2015-07-05 - 2015-07-11,2
2015-07-12 - 2015-07-18,2
2015-07-19 - 2015-07-25,2
2015-07-26 - 2015-08-01,2


Top sub-regions for idina menzel
Sub-region,idina menzel
Utah,100
New York,72
Connecticut,69
Pennsylvania,69
Iowa,68
New Jersey,68
Idaho,68
Massachusetts,66
Maine,64
Wisconsin,63
Nebraska,62
Ohio,60
Rhode Island,60
Indiana,59
Missouri,57
Hawaii,57
Minnesota,56
New Hampshire,56
Michigan,53
Maryland,53
Colorado,51
Kansas,50
California,50
Kentucky,49
District of Columbia,49
North Carolina,49
Illinois,49
Washington,48
Arizona,48
Florida,48
South Carolina,47
Tennessee,47
Oregon,45
Arkansas,43
Nevada,43
Oklahoma,43
Alabama,42
Texas,42
Louisiana,41
Georgia,40
Virginia,36
New Mexico,36
Mississippi,28
Alaska,0
Delaware,0
Montana,0
North Dakota,0
South Dakota,0
Vermont,0
West Virginia,0
Wyoming,0


Top metros for idina menzel
Metro,idina menzel
New York NY,100
Boston MA-Manchester NH,89
Philadelphia PA,85
Los Angeles CA,73
Seattle-Tacoma WA,69
Chicago IL,63
Dallas-Ft. Worth TX,60
Washington DC (Hagerstown MD),56
San Francisco-Oakland-San Jose CA,50
Portland-Auburn ME,0
Binghamton NY,0
Macon GA,0
Detroit MI,0
Savannah GA,0
Pittsburgh PA,0
Ft. Wayne IN,0
Cleveland-Akron (Canton) OH,0
Baltimore MD,0
Flint-Saginaw-Bay City MI,0
Buffalo NY,0
Cincinnati OH,0
Erie PA,0
Charlotte NC,0
Greensboro-High Point-Winston Salem NC,0
Charleston SC,0
Augusta GA,0
Providence RI-New Bedford MA,0
Columbus GA,0
Burlington VT-Plattsburgh NY,0
Atlanta GA,0
Albany GA,0
Utica NY,0
Indianapolis IN,0
Miami-Ft. Lauderdale FL,0
Louisville KY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Albany-Schenectady-Troy NY,0
Hartford & New Haven CT,0
Orlando-Daytona Beach-Melbourne FL,0
Columbus OH,0
Youngstown OH,0
Bangor ME,0
Rochester NY,0
Tampa-St. Petersburg (Sarasota) FL,0
Traverse City-Cadillac MI,0
Lexington KY,0
Dayton OH,0
Springfield-Holyoke MA,0
Norfolk-Portsmouth-Newport News VA,0
Greenville-New Bern-Washington NC,0
Columbia SC,0
Toledo OH,0
West Palm Beach-Ft. Pierce FL,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Syracuse NY,0
Richmond-Petersburg VA,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Raleigh-Durham (Fayetteville) NC,0
Jacksonville FL,0
Grand Rapids-Kalamazoo-Battle Creek MI,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisburg-Lancaster-Lebanon-York PA,0
Greenville-Spartanburg SC-Asheville NC-Anderson SC,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Roanoke-Lynchburg VA,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Wilkes Barre-Scranton PA,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
St. Louis MO,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Minneapolis-St. Paul MN,0
Kansas City MO,0
Milwaukee WI,0
Houston TX,0
Springfield MO,0
New Orleans LA,0
Sioux City IA,0
Waco-Temple-Bryan TX,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Birmingham AL,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Austin TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Memphis TN,0
San Antonio TX,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Oklahoma City OK,0
Lubbock TX,0
Omaha NE,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
Nashville TN,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Madison WI,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Tulsa OK,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Wichita-Hutchinson KS,0
Des Moines-Ames IA,0
Davenport IA-Rock Island-Moline IL,0
Mobile AL-Pensacola (Ft. Walton Beach) FL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Little Rock-Pine Bluff AR,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Honolulu HI,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Denver CO,0
Colorado Springs-Pueblo CO,0
Phoenix AZ,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Salt Lake City UT,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Tucson (Sierra Vista) AZ,0
Albuquerque-Santa Fe NM,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Portland OR,0
Bend OR,0
San Diego CA,0
Monterey-Salinas CA,0
Las Vegas NV,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Sacramento-Stockton-Modesto CA,0
Fresno-Visalia CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for idina menzel
Town/City,idina menzel
New York,100
Salt Lake City,90
Pittsburgh,87
Boston,74
Philadelphia,71
San Jose,70
Washington,67
Los Angeles,67
San Diego,65
Portland,65
Minneapolis,65
Austin,63
Columbus,60
San Francisco,60
St. Louis,58



Top searches for idina menzel
idina menzel gravity,100
defying gravity,100
frozen idina menzel,90
wicked,85
idina menzel wicked,80
kristin chenoweth,50
oscars idina menzel,45
oscars,45
idina menzel glee,40
defying gravity wicked,30
kristin chenoweth wicked,30
idina menzel live,30
travolta idina menzel,25
idina menzel rent,25
john travolta,25
for good wicked,20
idina menzel popular,15
defying gravity glee,15
popular wicked,15
idina menzel singing,15
lea michele,15
brave idina menzel,15
kristen bell,10
idina menzel tony,10
defying gravity lyrics,10
idina menzel interview,10
wicked musical,10
no good deed,10
kristin chenoweth popular,10
idina menzel ellen,10
wicked the musical,10
kristen chenoweth,10
oscars 2014,5
frozen live,5
taye diggs,5
wicked broadway,5
kristen bell frozen,5
poker face glee,5
idina menzel christmas,5
idina menzel oscar,5
kristen chenoweth wicked,5



Rising searches for idina menzel
frozen idina menzel,Breakout
idina menzel glee,Breakout
idina menzel live,Breakout
kristin chenoweth,Breakout
kristin chenoweth wicked,Breakout
oscars,Breakout
oscars idina menzel,Breakout
travolta idina menzel,Breakout
defying gravity,+150%
idina menzel gravity,+130%



