YouTube Search interest: auburn
United States; Jan 2008 - Jul 2015

Interest over time
Week,auburn
2011-10-09 - 2011-10-15,18
2011-10-16 - 2011-10-22,17
2011-10-23 - 2011-10-29,17
2011-10-30 - 2011-11-05,18
2011-11-06 - 2011-11-12,19
2011-11-13 - 2011-11-19,20
2011-11-20 - 2011-11-26,21
2011-11-27 - 2011-12-03,19
2011-12-04 - 2011-12-10,16
2011-12-11 - 2011-12-17,17
2011-12-18 - 2011-12-24,16
2011-12-25 - 2011-12-31,14
2012-01-01 - 2012-01-07,14
2012-01-08 - 2012-01-14,13
2012-01-15 - 2012-01-21,12
2012-01-22 - 2012-01-28,12
2012-01-29 - 2012-02-04,12
2012-02-05 - 2012-02-11,11
2012-02-12 - 2012-02-18,12
2012-02-19 - 2012-02-25,12
2012-02-26 - 2012-03-03,12
2012-03-04 - 2012-03-10,12
2012-03-11 - 2012-03-17,12
2012-03-18 - 2012-03-24,12
2012-03-25 - 2012-03-31,13
2012-04-01 - 2012-04-07,15
2012-04-08 - 2012-04-14,13
2012-04-15 - 2012-04-21,13
2012-04-22 - 2012-04-28,13
2012-04-29 - 2012-05-05,13
2012-05-06 - 2012-05-12,12
2012-05-13 - 2012-05-19,11
2012-05-20 - 2012-05-26,14
2012-05-27 - 2012-06-02,13
2012-06-03 - 2012-06-09,13
2012-06-10 - 2012-06-16,15
2012-06-17 - 2012-06-23,14
2012-06-24 - 2012-06-30,14
2012-07-01 - 2012-07-07,15
2012-07-08 - 2012-07-14,15
2012-07-15 - 2012-07-21,15
2012-07-22 - 2012-07-28,14
2012-07-29 - 2012-08-04,15
2012-08-05 - 2012-08-11,14
2012-08-12 - 2012-08-18,14
2012-08-19 - 2012-08-25,13
2012-08-26 - 2012-09-01,14
2012-09-02 - 2012-09-08,13
2012-09-09 - 2012-09-15,12
2012-09-16 - 2012-09-22,13
2012-09-23 - 2012-09-29,14
2012-09-30 - 2012-10-06,12
2012-10-07 - 2012-10-13,14
2012-10-14 - 2012-10-20,12
2012-10-21 - 2012-10-27,11
2012-10-28 - 2012-11-03,12
2012-11-04 - 2012-11-10,13
2012-11-11 - 2012-11-17,13
2012-11-18 - 2012-11-24,13
2012-11-25 - 2012-12-01,11
2012-12-02 - 2012-12-08,10
2012-12-09 - 2012-12-15,9
2012-12-16 - 2012-12-22,9
2012-12-23 - 2012-12-29,8
2012-12-30 - 2013-01-05,8
2013-01-06 - 2013-01-12,8
2013-01-13 - 2013-01-19,7
2013-01-20 - 2013-01-26,7
2013-01-27 - 2013-02-02,8
2013-02-03 - 2013-02-09,7
2013-02-10 - 2013-02-16,8
2013-02-17 - 2013-02-23,8
2013-02-24 - 2013-03-02,8
2013-03-03 - 2013-03-09,8
2013-03-10 - 2013-03-16,8
2013-03-17 - 2013-03-23,9
2013-03-24 - 2013-03-30,9
2013-03-31 - 2013-04-06,7
2013-04-07 - 2013-04-13,8
2013-04-14 - 2013-04-20,8
2013-04-21 - 2013-04-27,8
2013-04-28 - 2013-05-04,7
2013-05-05 - 2013-05-11,7
2013-05-12 - 2013-05-18,7
2013-05-19 - 2013-05-25,6
2013-05-26 - 2013-06-01,7
2013-06-02 - 2013-06-08,7
2013-06-09 - 2013-06-15,7
2013-06-16 - 2013-06-22,7
2013-06-23 - 2013-06-29,7
2013-06-30 - 2013-07-06,7
2013-07-07 - 2013-07-13,7
2013-07-14 - 2013-07-20,7
2013-07-21 - 2013-07-27,7
2013-07-28 - 2013-08-03,6
2013-08-04 - 2013-08-10,6
2013-08-11 - 2013-08-17,6
2013-08-18 - 2013-08-24,5
2013-08-25 - 2013-08-31,6
2013-09-01 - 2013-09-07,6
2013-09-08 - 2013-09-14,6
2013-09-15 - 2013-09-21,7
2013-09-22 - 2013-09-28,6
2013-09-29 - 2013-10-05,5
2013-10-06 - 2013-10-12,6
2013-10-13 - 2013-10-19,6
2013-10-20 - 2013-10-26,9
2013-10-27 - 2013-11-02,6
2013-11-03 - 2013-11-09,7
2013-11-10 - 2013-11-16,7
2013-11-17 - 2013-11-23,27
2013-11-24 - 2013-11-30,10
2013-12-01 - 2013-12-07,100
2013-12-08 - 2013-12-14,18
2013-12-15 - 2013-12-21,10
2013-12-22 - 2013-12-28,10
2013-12-29 - 2014-01-04,13
2014-01-05 - 2014-01-11,21
2014-01-12 - 2014-01-18,7
2014-01-19 - 2014-01-25,8
2014-01-26 - 2014-02-01,6
2014-02-02 - 2014-02-08,7
2014-02-09 - 2014-02-15,7
2014-02-16 - 2014-02-22,7
2014-02-23 - 2014-03-01,6
2014-03-02 - 2014-03-08,6
2014-03-09 - 2014-03-15,7
2014-03-16 - 2014-03-22,6
2014-03-23 - 2014-03-29,6
2014-03-30 - 2014-04-05,6
2014-04-06 - 2014-04-12,7
2014-04-13 - 2014-04-19,6
2014-04-20 - 2014-04-26,7
2014-04-27 - 2014-05-03,6
2014-05-04 - 2014-05-10,6
2014-05-11 - 2014-05-17,6
2014-05-18 - 2014-05-24,6
2014-05-25 - 2014-05-31,6
2014-06-01 - 2014-06-07,6
2014-06-08 - 2014-06-14,6
2014-06-15 - 2014-06-21,5
2014-06-22 - 2014-06-28,5
2014-06-29 - 2014-07-05,5
2014-07-06 - 2014-07-12,6
2014-07-13 - 2014-07-19,7
2014-07-20 - 2014-07-26,6
2014-07-27 - 2014-08-02,6
2014-08-03 - 2014-08-09,7
2014-08-10 - 2014-08-16,6
2014-08-17 - 2014-08-23,7
2014-08-24 - 2014-08-30,7
2014-08-31 - 2014-09-06,9
2014-09-07 - 2014-09-13,7
2014-09-14 - 2014-09-20,7
2014-09-21 - 2014-09-27,7
2014-09-28 - 2014-10-04,6
2014-10-05 - 2014-10-11,8
2014-10-12 - 2014-10-18,7
2014-10-19 - 2014-10-25,6
2014-10-26 - 2014-11-01,7
2014-11-02 - 2014-11-08,9
2014-11-09 - 2014-11-15,9
2014-11-16 - 2014-11-22,7
2014-11-23 - 2014-11-29,7
2014-11-30 - 2014-12-06,10
2014-12-07 - 2014-12-13,6
2014-12-14 - 2014-12-20,5
2014-12-21 - 2014-12-27,4
2014-12-28 - 2015-01-03,5
2015-01-04 - 2015-01-10,4
2015-01-11 - 2015-01-17,4
2015-01-18 - 2015-01-24,5
2015-01-25 - 2015-01-31,5
2015-02-01 - 2015-02-07,5
2015-02-08 - 2015-02-14,5
2015-02-15 - 2015-02-21,4
2015-02-22 - 2015-02-28,4
2015-03-01 - 2015-03-07,3
2015-03-08 - 2015-03-14,4
2015-03-15 - 2015-03-21,4
2015-03-22 - 2015-03-28,4
2015-03-29 - 2015-04-04,3
2015-04-05 - 2015-04-11,4
2015-04-12 - 2015-04-18,5
2015-04-19 - 2015-04-25,5
2015-04-26 - 2015-05-02,4
2015-05-03 - 2015-05-09,4
2015-05-10 - 2015-05-16,4
2015-05-17 - 2015-05-23,4
2015-05-24 - 2015-05-30,3
2015-05-31 - 2015-06-06,3
2015-06-07 - 2015-06-13,3
2015-06-14 - 2015-06-20,3
2015-06-21 - 2015-06-27,3
2015-06-28 - 2015-07-04,4
2015-07-05 - 2015-07-11,3
2015-07-12 - 2015-07-18,3
2015-07-19 - 2015-07-25,4
2015-07-26 - 2015-08-01,3


Top sub-regions for auburn
Sub-region,auburn
Alabama,100
Hawaii,21
Georgia,19
Mississippi,16
Idaho,15
South Carolina,15
Michigan,15
Minnesota,15
Tennessee,15
South Dakota,14
Arkansas,14
Louisiana,14
Ohio,13
Utah,13
Kentucky,13
Washington,13
Iowa,13
West Virginia,13
Wyoming,13
Indiana,13
Wisconsin,13
Missouri,13
Arizona,12
Nevada,12
Maine,12
Nebraska,12
North Dakota,12
Florida,11
Colorado,11
Alaska,11
Illinois,11
Vermont,11
New Mexico,11
North Carolina,11
Oregon,11
Kansas,11
New Hampshire,11
Montana,11
Oklahoma,10
Rhode Island,10
Texas,10
California,10
Connecticut,10
Pennsylvania,10
Massachusetts,9
New York,9
New Jersey,9
Maryland,8
Delaware,7
Virginia,7
District of Columbia,7


Top metros for auburn
Metro,auburn
Columbus GA,100
Montgomery (Selma) AL,73
Birmingham AL,62
Huntsville-Decatur (Florence) AL,43
Mobile AL-Pensacola (Ft. Walton Beach) FL,25
Honolulu HI,16
Atlanta GA,12
Greenville-Spartanburg SC-Asheville NC-Anderson SC,10
Fresno-Visalia CA,10
Minneapolis-St. Paul MN,9
Jacksonville FL,9
Nashville TN,9
Grand Rapids-Kalamazoo-Battle Creek MI,9
St. Louis MO,9
Sacramento-Stockton-Modesto CA,9
Cincinnati OH,8
Seattle-Tacoma WA,8
Tampa-St. Petersburg (Sarasota) FL,8
Louisville KY,8
Charlotte NC,8
Albuquerque-Santa Fe NM,8
Salt Lake City UT,8
Detroit MI,8
New Orleans LA,8
Cleveland-Akron (Canton) OH,7
Indianapolis IN,7
Columbus OH,7
Phoenix AZ,7
San Antonio TX,7
Greensboro-High Point-Winston Salem NC,7
Denver CO,7
Las Vegas NV,7
Hartford & New Haven CT,7
Providence RI-New Bedford MA,7
Orlando-Daytona Beach-Melbourne FL,7
Milwaukee WI,7
Chicago IL,6
Kansas City MO,6
Portland OR,6
Pittsburgh PA,6
Norfolk-Portsmouth-Newport News VA,6
Boston MA-Manchester NH,6
Los Angeles CA,6
Dallas-Ft. Worth TX,6
Raleigh-Durham (Fayetteville) NC,6
Philadelphia PA,6
Austin TX,5
Houston TX,5
New York NY,5
San Diego CA,5
Baltimore MD,5
Miami-Ft. Lauderdale FL,4
Washington DC (Hagerstown MD),4
San Francisco-Oakland-San Jose CA,4
Portland-Auburn ME,0
Binghamton NY,0
Macon GA,0
Savannah GA,0
Ft. Wayne IN,0
Flint-Saginaw-Bay City MI,0
Buffalo NY,0
Erie PA,0
Charleston SC,0
Augusta GA,0
Burlington VT-Plattsburgh NY,0
Albany GA,0
Utica NY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Albany-Schenectady-Troy NY,0
Youngstown OH,0
Bangor ME,0
Rochester NY,0
Traverse City-Cadillac MI,0
Lexington KY,0
Dayton OH,0
Springfield-Holyoke MA,0
Greenville-New Bern-Washington NC,0
Columbia SC,0
Toledo OH,0
West Palm Beach-Ft. Pierce FL,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Syracuse NY,0
Richmond-Petersburg VA,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisburg-Lancaster-Lebanon-York PA,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Roanoke-Lynchburg VA,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Wilkes Barre-Scranton PA,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Springfield MO,0
Sioux City IA,0
Waco-Temple-Bryan TX,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Memphis TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Oklahoma City OK,0
Lubbock TX,0
Omaha NE,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Madison WI,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Tulsa OK,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Wichita-Hutchinson KS,0
Des Moines-Ames IA,0
Davenport IA-Rock Island-Moline IL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Beaumont-Port Arthur TX,0
Little Rock-Pine Bluff AR,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Colorado Springs-Pueblo CO,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Tucson (Sierra Vista) AZ,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for auburn
Town/City,auburn
Auburn,100
Leeds,32
Montgomery,27
Birmingham,21
Huntsville,15
Honolulu,5
Fresno,4
St. Louis,4
Atlanta,4
Minneapolis,4
Las Vegas,3
Phoenix,3
Portland,3
Sacramento,3
Columbus,3



Top searches for auburn
auburn lyrics,100
perfect,95
perfect two,90
auburn perfect two,90
perfect two lyrics,45
all about him,20
alabama auburn,20
the perfect two,20
auburn lalala,20
lalala,20
auburn football,20
so over you,15
auburn highlights,10
perfect to,10
alabama vs auburn,10
alabama auburn 2013,5
lalala auburn lyrics,5
best friend auburn,5
best friend,5
auburn georgia,5
bestfriend auburn,5
bestfriend,5
auburn hair,5
growing up auburn,5
growing up,5
lsu auburn,5
move auburn,5
auburn band,5
auburn echo,5
auburn bestfriend lyrics,5
my baby auburn,5
cam newton,5
auburn university,5
superman auburn,5
cam newton auburn,5
perfect 2 auburn,5
alabama football,5
auburn football 2010,5



Rising searches for auburn
all about him,Breakout
auburn lalala,Breakout
auburn lyrics,Breakout
auburn perfect two,Breakout
lalala,Breakout
perfect,Breakout
perfect two,Breakout
perfect two lyrics,Breakout
so over you,Breakout
the perfect two,Breakout



