YouTube Search interest: michael buble
United States; Jan 2008 - Jul 2015

Interest over time
Week,michael buble
2010-08-29 - 2010-09-04,29
2010-09-05 - 2010-09-11,33
2010-09-12 - 2010-09-18,31
2010-09-19 - 2010-09-25,30
2010-09-26 - 2010-10-02,39
2010-10-03 - 2010-10-09,33
2010-10-10 - 2010-10-16,34
2010-10-17 - 2010-10-23,33
2010-10-24 - 2010-10-30,37
2010-10-31 - 2010-11-06,37
2010-11-07 - 2010-11-13,41
2010-11-14 - 2010-11-20,39
2010-11-21 - 2010-11-27,42
2010-11-28 - 2010-12-04,49
2010-12-05 - 2010-12-11,51
2010-12-12 - 2010-12-18,45
2010-12-19 - 2010-12-25,38
2010-12-26 - 2011-01-01,33
2011-01-02 - 2011-01-08,37
2011-01-09 - 2011-01-15,36
2011-01-16 - 2011-01-22,34
2011-01-23 - 2011-01-29,32
2011-01-30 - 2011-02-05,33
2011-02-06 - 2011-02-12,33
2011-02-13 - 2011-02-19,37
2011-02-20 - 2011-02-26,34
2011-02-27 - 2011-03-05,35
2011-03-06 - 2011-03-12,30
2011-03-13 - 2011-03-19,30
2011-03-20 - 2011-03-26,28
2011-03-27 - 2011-04-02,30
2011-04-03 - 2011-04-09,29
2011-04-10 - 2011-04-16,31
2011-04-17 - 2011-04-23,30
2011-04-24 - 2011-04-30,31
2011-05-01 - 2011-05-07,29
2011-05-08 - 2011-05-14,31
2011-05-15 - 2011-05-21,29
2011-05-22 - 2011-05-28,32
2011-05-29 - 2011-06-04,27
2011-06-05 - 2011-06-11,32
2011-06-12 - 2011-06-18,31
2011-06-19 - 2011-06-25,29
2011-06-26 - 2011-07-02,28
2011-07-03 - 2011-07-09,27
2011-07-10 - 2011-07-16,30
2011-07-17 - 2011-07-23,28
2011-07-24 - 2011-07-30,28
2011-07-31 - 2011-08-06,26
2011-08-07 - 2011-08-13,31
2011-08-14 - 2011-08-20,32
2011-08-21 - 2011-08-27,28
2011-08-28 - 2011-09-03,30
2011-09-04 - 2011-09-10,31
2011-09-11 - 2011-09-17,30
2011-09-18 - 2011-09-24,33
2011-09-25 - 2011-10-01,33
2011-10-02 - 2011-10-08,34
2011-10-09 - 2011-10-15,35
2011-10-16 - 2011-10-22,34
2011-10-23 - 2011-10-29,40
2011-10-30 - 2011-11-05,37
2011-11-06 - 2011-11-12,44
2011-11-13 - 2011-11-19,52
2011-11-20 - 2011-11-26,48
2011-11-27 - 2011-12-03,69
2011-12-04 - 2011-12-10,100
2011-12-11 - 2011-12-17,88
2011-12-18 - 2011-12-24,100
2011-12-25 - 2011-12-31,54
2012-01-01 - 2012-01-07,32
2012-01-08 - 2012-01-14,29
2012-01-15 - 2012-01-21,28
2012-01-22 - 2012-01-28,31
2012-01-29 - 2012-02-04,31
2012-02-05 - 2012-02-11,27
2012-02-12 - 2012-02-18,31
2012-02-19 - 2012-02-25,26
2012-02-26 - 2012-03-03,25
2012-03-04 - 2012-03-10,24
2012-03-11 - 2012-03-17,24
2012-03-18 - 2012-03-24,24
2012-03-25 - 2012-03-31,25
2012-04-01 - 2012-04-07,20
2012-04-08 - 2012-04-14,23
2012-04-15 - 2012-04-21,23
2012-04-22 - 2012-04-28,23
2012-04-29 - 2012-05-05,24
2012-05-06 - 2012-05-12,22
2012-05-13 - 2012-05-19,22
2012-05-20 - 2012-05-26,21
2012-05-27 - 2012-06-02,21
2012-06-03 - 2012-06-09,21
2012-06-10 - 2012-06-16,20
2012-06-17 - 2012-06-23,20
2012-06-24 - 2012-06-30,19
2012-07-01 - 2012-07-07,18
2012-07-08 - 2012-07-14,20
2012-07-15 - 2012-07-21,19
2012-07-22 - 2012-07-28,20
2012-07-29 - 2012-08-04,20
2012-08-05 - 2012-08-11,20
2012-08-12 - 2012-08-18,20
2012-08-19 - 2012-08-25,21
2012-08-26 - 2012-09-01,21
2012-09-02 - 2012-09-08,21
2012-09-09 - 2012-09-15,26
2012-09-16 - 2012-09-22,29
2012-09-23 - 2012-09-29,30
2012-09-30 - 2012-10-06,28
2012-10-07 - 2012-10-13,31
2012-10-14 - 2012-10-20,26
2012-10-21 - 2012-10-27,27
2012-10-28 - 2012-11-03,29
2012-11-04 - 2012-11-10,33
2012-11-11 - 2012-11-17,35
2012-11-18 - 2012-11-24,41
2012-11-25 - 2012-12-01,52
2012-12-02 - 2012-12-08,58
2012-12-09 - 2012-12-15,70
2012-12-16 - 2012-12-22,63
2012-12-23 - 2012-12-29,51
2012-12-30 - 2013-01-05,22
2013-01-06 - 2013-01-12,21
2013-01-13 - 2013-01-19,23
2013-01-20 - 2013-01-26,20
2013-01-27 - 2013-02-02,23
2013-02-03 - 2013-02-09,22
2013-02-10 - 2013-02-16,23
2013-02-17 - 2013-02-23,19
2013-02-24 - 2013-03-02,22
2013-03-03 - 2013-03-09,20
2013-03-10 - 2013-03-16,21
2013-03-17 - 2013-03-23,18
2013-03-24 - 2013-03-30,26
2013-03-31 - 2013-04-06,27
2013-04-07 - 2013-04-13,32
2013-04-14 - 2013-04-20,27
2013-04-21 - 2013-04-27,44
2013-04-28 - 2013-05-04,40
2013-05-05 - 2013-05-11,32
2013-05-12 - 2013-05-18,32
2013-05-19 - 2013-05-25,26
2013-05-26 - 2013-06-01,26
2013-06-02 - 2013-06-08,23
2013-06-09 - 2013-06-15,24
2013-06-16 - 2013-06-22,21
2013-06-23 - 2013-06-29,21
2013-06-30 - 2013-07-06,21
2013-07-07 - 2013-07-13,25
2013-07-14 - 2013-07-20,22
2013-07-21 - 2013-07-27,19
2013-07-28 - 2013-08-03,22
2013-08-04 - 2013-08-10,21
2013-08-11 - 2013-08-17,22
2013-08-18 - 2013-08-24,23
2013-08-25 - 2013-08-31,24
2013-09-01 - 2013-09-07,20
2013-09-08 - 2013-09-14,27
2013-09-15 - 2013-09-21,27
2013-09-22 - 2013-09-28,26
2013-09-29 - 2013-10-05,26
2013-10-06 - 2013-10-12,24
2013-10-13 - 2013-10-19,24
2013-10-20 - 2013-10-26,28
2013-10-27 - 2013-11-02,27
2013-11-03 - 2013-11-09,35
2013-11-10 - 2013-11-16,36
2013-11-17 - 2013-11-23,42
2013-11-24 - 2013-11-30,43
2013-12-01 - 2013-12-07,61
2013-12-08 - 2013-12-14,64
2013-12-15 - 2013-12-21,63
2013-12-22 - 2013-12-28,50
2013-12-29 - 2014-01-04,20
2014-01-05 - 2014-01-11,19
2014-01-12 - 2014-01-18,17
2014-01-19 - 2014-01-25,18
2014-01-26 - 2014-02-01,20
2014-02-02 - 2014-02-08,20
2014-02-09 - 2014-02-15,20
2014-02-16 - 2014-02-22,18
2014-02-23 - 2014-03-01,18
2014-03-02 - 2014-03-08,19
2014-03-09 - 2014-03-15,18
2014-03-16 - 2014-03-22,20
2014-03-23 - 2014-03-29,17
2014-03-30 - 2014-04-05,17
2014-04-06 - 2014-04-12,18
2014-04-13 - 2014-04-19,17
2014-04-20 - 2014-04-26,18
2014-04-27 - 2014-05-03,17
2014-05-04 - 2014-05-10,17
2014-05-11 - 2014-05-17,16
2014-05-18 - 2014-05-24,15
2014-05-25 - 2014-05-31,13
2014-06-01 - 2014-06-07,16
2014-06-08 - 2014-06-14,16
2014-06-15 - 2014-06-21,16
2014-06-22 - 2014-06-28,17
2014-06-29 - 2014-07-05,17
2014-07-06 - 2014-07-12,19
2014-07-13 - 2014-07-19,18
2014-07-20 - 2014-07-26,19
2014-07-27 - 2014-08-02,21
2014-08-03 - 2014-08-09,18
2014-08-10 - 2014-08-16,18
2014-08-17 - 2014-08-23,16
2014-08-24 - 2014-08-30,19
2014-08-31 - 2014-09-06,18
2014-09-07 - 2014-09-13,17
2014-09-14 - 2014-09-20,19
2014-09-21 - 2014-09-27,21
2014-09-28 - 2014-10-04,21
2014-10-05 - 2014-10-11,22
2014-10-12 - 2014-10-18,19
2014-10-19 - 2014-10-25,22
2014-10-26 - 2014-11-01,21
2014-11-02 - 2014-11-08,28
2014-11-09 - 2014-11-15,31
2014-11-16 - 2014-11-22,45
2014-11-23 - 2014-11-29,39
2014-11-30 - 2014-12-06,54
2014-12-07 - 2014-12-13,64
2014-12-14 - 2014-12-20,57
2014-12-21 - 2014-12-27,57
2014-12-28 - 2015-01-03,19
2015-01-04 - 2015-01-10,15
2015-01-11 - 2015-01-17,18
2015-01-18 - 2015-01-24,16
2015-01-25 - 2015-01-31,15
2015-02-01 - 2015-02-07,17
2015-02-08 - 2015-02-14,18
2015-02-15 - 2015-02-21,16
2015-02-22 - 2015-02-28,14
2015-03-01 - 2015-03-07,15
2015-03-08 - 2015-03-14,14
2015-03-15 - 2015-03-21,15
2015-03-22 - 2015-03-28,15
2015-03-29 - 2015-04-04,15
2015-04-05 - 2015-04-11,14
2015-04-12 - 2015-04-18,15
2015-04-19 - 2015-04-25,14
2015-04-26 - 2015-05-02,16
2015-05-03 - 2015-05-09,15
2015-05-10 - 2015-05-16,15
2015-05-17 - 2015-05-23,14
2015-05-24 - 2015-05-30,14
2015-05-31 - 2015-06-06,12
2015-06-07 - 2015-06-13,13
2015-06-14 - 2015-06-20,13
2015-06-21 - 2015-06-27,17
2015-06-28 - 2015-07-04,15
2015-07-05 - 2015-07-11,15
2015-07-12 - 2015-07-18,14
2015-07-19 - 2015-07-25,16
2015-07-26 - 2015-08-01,16


Top sub-regions for michael buble
Sub-region,michael buble
Utah,100
Idaho,82
Hawaii,72
Nebraska,67
Missouri,67
Minnesota,65
Rhode Island,65
Washington,65
Indiana,64
New Hampshire,63
Connecticut,63
North Dakota,63
Wisconsin,63
Massachusetts,63
California,62
Michigan,62
Iowa,61
Florida,61
Ohio,60
Oklahoma,60
Kansas,58
Pennsylvania,58
Arizona,58
Montana,57
Texas,56
Colorado,56
Wyoming,55
New York,55
New Jersey,55
Tennessee,54
South Dakota,53
Illinois,53
Maine,53
District of Columbia,52
Nevada,52
Vermont,52
South Carolina,50
New Mexico,50
North Carolina,49
Virginia,49
Oregon,49
Kentucky,49
Delaware,48
Arkansas,47
Alabama,46
Georgia,45
West Virginia,44
Louisiana,44
Maryland,43
Alaska,43
Mississippi,38


Top metros for michael buble
Metro,michael buble
Salt Lake City UT,100
Boise ID,80
Indianapolis IN,76
Des Moines-Ames IA,73
Buffalo NY,73
Grand Rapids-Kalamazoo-Battle Creek MI,73
Spokane WA,71
Rochester NY,69
Boston MA-Manchester NH,68
Albany-Schenectady-Troy NY,67
Providence RI-New Bedford MA,67
Honolulu HI,66
Seattle-Tacoma WA,65
Portland-Auburn ME,64
Pittsburgh PA,63
Orlando-Daytona Beach-Melbourne FL,63
Madison WI,63
Los Angeles CA,62
Minneapolis-St. Paul MN,62
Austin TX,61
Dayton OH,61
Tucson (Sierra Vista) AZ,61
Oklahoma City OK,60
Miami-Ft. Lauderdale FL,59
Hartford & New Haven CT,59
Cincinnati OH,59
St. Louis MO,59
San Antonio TX,59
Chicago IL,59
Wilkes Barre-Scranton PA,58
Harrisburg-Lancaster-Lebanon-York PA,58
Sacramento-Stockton-Modesto CA,58
Kansas City MO,58
Milwaukee WI,58
Fresno-Visalia CA,58
Denver CO,57
Dallas-Ft. Worth TX,56
Greenville-Spartanburg SC-Asheville NC-Anderson SC,56
Omaha NE,56
Lexington KY,55
San Diego CA,55
New York NY,55
Las Vegas NV,55
Philadelphia PA,55
Jacksonville FL,55
Columbus OH,54
Birmingham AL,54
Nashville TN,54
Detroit MI,54
Cleveland-Akron (Canton) OH,54
Syracuse NY,53
Portland OR,53
Norfolk-Portsmouth-Newport News VA,52
San Francisco-Oakland-San Jose CA,52
Houston TX,51
Charlotte NC,51
Washington DC (Hagerstown MD),50
Tampa-St. Petersburg (Sarasota) FL,50
Phoenix AZ,50
Greensboro-High Point-Winston Salem NC,49
West Palm Beach-Ft. Pierce FL,49
Louisville KY,49
Atlanta GA,46
New Orleans LA,46
Albuquerque-Santa Fe NM,44
Raleigh-Durham (Fayetteville) NC,43
Baltimore MD,43
Binghamton NY,0
Macon GA,0
Savannah GA,0
Ft. Wayne IN,0
Flint-Saginaw-Bay City MI,0
Erie PA,0
Charleston SC,0
Augusta GA,0
Columbus GA,0
Burlington VT-Plattsburgh NY,0
Albany GA,0
Utica NY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Youngstown OH,0
Bangor ME,0
Traverse City-Cadillac MI,0
Springfield-Holyoke MA,0
Greenville-New Bern-Washington NC,0
Columbia SC,0
Toledo OH,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Richmond-Petersburg VA,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Roanoke-Lynchburg VA,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Springfield MO,0
Sioux City IA,0
Waco-Temple-Bryan TX,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Memphis TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Lubbock TX,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Tulsa OK,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Wichita-Hutchinson KS,0
Davenport IA-Rock Island-Moline IL,0
Mobile AL-Pensacola (Ft. Walton Beach) FL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Little Rock-Pine Bluff AR,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Colorado Springs-Pueblo CO,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Chico-Redding CA,0


Top cities for michael buble
Town/City,michael buble
Salt Lake City,100
Honolulu,73
Miami,69
Seattle,67
Minneapolis,67
St. Louis,67
San Diego,67
Los Angeles,66
Irvine,65
Boston,64
Richardson,62
San Francisco,60
Orlando,60
Phoenix,60
Indianapolis,60



Top searches for michael buble
michael buble home,100
home,100
everything michael buble,90
everything,90
michael buble lyrics,90
love michael buble,85
michael buble christmas,75
christmas,75
feeling good,55
michael buble songs,30
michael buble sway,25
sway,25
michael buble live,20
lost michael buble,20
crazy love,20
michael buble album,20
hollywood michael buble,20
frank sinatra,20
michael buble karaoke,15
michael buble cover,15
josh groban,10
micheal buble,10
michael buble playlist,5
home blake shelton,5
michael buble snl,5
michael buble fever,5
moondance michael buble,5
quando quando quando,5
moondance,5
michael buble quando,5
white christmas,5
close your eyes,5
michael buble sam,5
michael buble interview,5
let it snow,5



Rising searches for michael buble
crazy love,Breakout
michael buble lyrics,Breakout
feeling good,+400%
michael buble songs,+350%
christmas,+250%
michael buble christmas,+250%
love michael buble,+190%
michael buble home,+190%
home,+180%
sway,+150%



