YouTube Search interest: jake owen
United States; Jan 2008 - Jul 2015

Interest over time
Week,jake owen
2011-03-06 - 2011-03-12,11
2011-03-13 - 2011-03-19,10
2011-03-20 - 2011-03-26,10
2011-03-27 - 2011-04-02,11
2011-04-03 - 2011-04-09,15
2011-04-10 - 2011-04-16,17
2011-04-17 - 2011-04-23,18
2011-04-24 - 2011-04-30,19
2011-05-01 - 2011-05-07,21
2011-05-08 - 2011-05-14,28
2011-05-15 - 2011-05-21,35
2011-05-22 - 2011-05-28,37
2011-05-29 - 2011-06-04,40
2011-06-05 - 2011-06-11,45
2011-06-12 - 2011-06-18,51
2011-06-19 - 2011-06-25,53
2011-06-26 - 2011-07-02,65
2011-07-03 - 2011-07-09,86
2011-07-10 - 2011-07-16,90
2011-07-17 - 2011-07-23,93
2011-07-24 - 2011-07-30,93
2011-07-31 - 2011-08-06,93
2011-08-07 - 2011-08-13,95
2011-08-14 - 2011-08-20,94
2011-08-21 - 2011-08-27,90
2011-08-28 - 2011-09-03,100
2011-09-04 - 2011-09-10,92
2011-09-11 - 2011-09-17,94
2011-09-18 - 2011-09-24,91
2011-09-25 - 2011-10-01,69
2011-10-02 - 2011-10-08,61
2011-10-09 - 2011-10-15,59
2011-10-16 - 2011-10-22,55
2011-10-23 - 2011-10-29,53
2011-10-30 - 2011-11-05,51
2011-11-06 - 2011-11-12,64
2011-11-13 - 2011-11-19,64
2011-11-20 - 2011-11-26,51
2011-11-27 - 2011-12-03,59
2011-12-04 - 2011-12-10,70
2011-12-11 - 2011-12-17,72
2011-12-18 - 2011-12-24,63
2011-12-25 - 2011-12-31,58
2012-01-01 - 2012-01-07,65
2012-01-08 - 2012-01-14,73
2012-01-15 - 2012-01-21,69
2012-01-22 - 2012-01-28,69
2012-01-29 - 2012-02-04,72
2012-02-05 - 2012-02-11,67
2012-02-12 - 2012-02-18,59
2012-02-19 - 2012-02-25,62
2012-02-26 - 2012-03-03,61
2012-03-04 - 2012-03-10,64
2012-03-11 - 2012-03-17,69
2012-03-18 - 2012-03-24,68
2012-03-25 - 2012-03-31,75
2012-04-01 - 2012-04-07,73
2012-04-08 - 2012-04-14,85
2012-04-15 - 2012-04-21,62
2012-04-22 - 2012-04-28,56
2012-04-29 - 2012-05-05,50
2012-05-06 - 2012-05-12,48
2012-05-13 - 2012-05-19,46
2012-05-20 - 2012-05-26,46
2012-05-27 - 2012-06-02,47
2012-06-03 - 2012-06-09,46
2012-06-10 - 2012-06-16,46
2012-06-17 - 2012-06-23,47
2012-06-24 - 2012-06-30,52
2012-07-01 - 2012-07-07,53
2012-07-08 - 2012-07-14,56
2012-07-15 - 2012-07-21,60
2012-07-22 - 2012-07-28,61
2012-07-29 - 2012-08-04,61
2012-08-05 - 2012-08-11,58
2012-08-12 - 2012-08-18,69
2012-08-19 - 2012-08-25,66
2012-08-26 - 2012-09-01,69
2012-09-02 - 2012-09-08,71
2012-09-09 - 2012-09-15,69
2012-09-16 - 2012-09-22,69
2012-09-23 - 2012-09-29,75
2012-09-30 - 2012-10-06,73
2012-10-07 - 2012-10-13,71
2012-10-14 - 2012-10-20,65
2012-10-21 - 2012-10-27,57
2012-10-28 - 2012-11-03,53
2012-11-04 - 2012-11-10,53
2012-11-11 - 2012-11-17,53
2012-11-18 - 2012-11-24,46
2012-11-25 - 2012-12-01,45
2012-12-02 - 2012-12-08,41
2012-12-09 - 2012-12-15,45
2012-12-16 - 2012-12-22,37
2012-12-23 - 2012-12-29,30
2012-12-30 - 2013-01-05,35
2013-01-06 - 2013-01-12,35
2013-01-13 - 2013-01-19,31
2013-01-20 - 2013-01-26,38
2013-01-27 - 2013-02-02,38
2013-02-03 - 2013-02-09,38
2013-02-10 - 2013-02-16,31
2013-02-17 - 2013-02-23,32
2013-02-24 - 2013-03-02,38
2013-03-03 - 2013-03-09,35
2013-03-10 - 2013-03-16,40
2013-03-17 - 2013-03-23,40
2013-03-24 - 2013-03-30,40
2013-03-31 - 2013-04-06,43
2013-04-07 - 2013-04-13,46
2013-04-14 - 2013-04-20,51
2013-04-21 - 2013-04-27,46
2013-04-28 - 2013-05-04,50
2013-05-05 - 2013-05-11,46
2013-05-12 - 2013-05-18,50
2013-05-19 - 2013-05-25,49
2013-05-26 - 2013-06-01,47
2013-06-02 - 2013-06-08,49
2013-06-09 - 2013-06-15,47
2013-06-16 - 2013-06-22,41
2013-06-23 - 2013-06-29,43
2013-06-30 - 2013-07-06,45
2013-07-07 - 2013-07-13,43
2013-07-14 - 2013-07-20,35
2013-07-21 - 2013-07-27,32
2013-07-28 - 2013-08-03,37
2013-08-04 - 2013-08-10,41
2013-08-11 - 2013-08-17,41
2013-08-18 - 2013-08-24,29
2013-08-25 - 2013-08-31,32
2013-09-01 - 2013-09-07,32
2013-09-08 - 2013-09-14,33
2013-09-15 - 2013-09-21,37
2013-09-22 - 2013-09-28,39
2013-09-29 - 2013-10-05,35
2013-10-06 - 2013-10-12,34
2013-10-13 - 2013-10-19,38
2013-10-20 - 2013-10-26,32
2013-10-27 - 2013-11-02,35
2013-11-03 - 2013-11-09,35
2013-11-10 - 2013-11-16,38
2013-11-17 - 2013-11-23,33
2013-11-24 - 2013-11-30,30
2013-12-01 - 2013-12-07,52
2013-12-08 - 2013-12-14,47
2013-12-15 - 2013-12-21,41
2013-12-22 - 2013-12-28,29
2013-12-29 - 2014-01-04,26
2014-01-05 - 2014-01-11,24
2014-01-12 - 2014-01-18,27
2014-01-19 - 2014-01-25,25
2014-01-26 - 2014-02-01,28
2014-02-02 - 2014-02-08,29
2014-02-09 - 2014-02-15,29
2014-02-16 - 2014-02-22,26
2014-02-23 - 2014-03-01,31
2014-03-02 - 2014-03-08,33
2014-03-09 - 2014-03-15,36
2014-03-16 - 2014-03-22,36
2014-03-23 - 2014-03-29,36
2014-03-30 - 2014-04-05,40
2014-04-06 - 2014-04-12,42
2014-04-13 - 2014-04-19,49
2014-04-20 - 2014-04-26,46
2014-04-27 - 2014-05-03,48
2014-05-04 - 2014-05-10,46
2014-05-11 - 2014-05-17,49
2014-05-18 - 2014-05-24,53
2014-05-25 - 2014-05-31,51
2014-06-01 - 2014-06-07,56
2014-06-08 - 2014-06-14,53
2014-06-15 - 2014-06-21,51
2014-06-22 - 2014-06-28,52
2014-06-29 - 2014-07-05,44
2014-07-06 - 2014-07-12,52
2014-07-13 - 2014-07-19,45
2014-07-20 - 2014-07-26,42
2014-07-27 - 2014-08-02,37
2014-08-03 - 2014-08-09,36
2014-08-10 - 2014-08-16,30
2014-08-17 - 2014-08-23,28
2014-08-24 - 2014-08-30,26
2014-08-31 - 2014-09-06,27
2014-09-07 - 2014-09-13,25
2014-09-14 - 2014-09-20,26
2014-09-21 - 2014-09-27,22
2014-09-28 - 2014-10-04,20
2014-10-05 - 2014-10-11,21
2014-10-12 - 2014-10-18,20
2014-10-19 - 2014-10-25,20
2014-10-26 - 2014-11-01,18
2014-11-02 - 2014-11-08,22
2014-11-09 - 2014-11-15,13
2014-11-16 - 2014-11-22,16
2014-11-23 - 2014-11-29,15
2014-11-30 - 2014-12-06,17
2014-12-07 - 2014-12-13,16
2014-12-14 - 2014-12-20,15
2014-12-21 - 2014-12-27,10
2014-12-28 - 2015-01-03,11
2015-01-04 - 2015-01-10,15
2015-01-11 - 2015-01-17,14
2015-01-18 - 2015-01-24,13
2015-01-25 - 2015-01-31,16
2015-02-01 - 2015-02-07,13
2015-02-08 - 2015-02-14,19
2015-02-15 - 2015-02-21,16
2015-02-22 - 2015-02-28,17
2015-03-01 - 2015-03-07,14
2015-03-08 - 2015-03-14,14
2015-03-15 - 2015-03-21,19
2015-03-22 - 2015-03-28,16
2015-03-29 - 2015-04-04,15
2015-04-05 - 2015-04-11,18
2015-04-12 - 2015-04-18,18
2015-04-19 - 2015-04-25,21
2015-04-26 - 2015-05-02,15
2015-05-03 - 2015-05-09,17
2015-05-10 - 2015-05-16,19
2015-05-17 - 2015-05-23,18
2015-05-24 - 2015-05-30,25
2015-05-31 - 2015-06-06,22
2015-06-07 - 2015-06-13,24
2015-06-14 - 2015-06-20,26
2015-06-21 - 2015-06-27,24
2015-06-28 - 2015-07-04,35
2015-07-05 - 2015-07-11,32
2015-07-12 - 2015-07-18,33
2015-07-19 - 2015-07-25,29
2015-07-26 - 2015-08-01,30


Top sub-regions for jake owen
Sub-region,jake owen
North Dakota,100
West Virginia,95
South Dakota,88
Iowa,82
Nebraska,78
Kentucky,72
Wisconsin,66
Montana,66
Wyoming,62
Minnesota,58
South Carolina,58
Ohio,57
Indiana,57
Tennessee,56
Alabama,54
Kansas,54
Maine,54
Vermont,51
Idaho,50
North Carolina,50
Michigan,47
Missouri,47
Arkansas,45
Mississippi,44
New Hampshire,43
Oklahoma,42
Pennsylvania,42
Georgia,38
Illinois,36
Louisiana,35
Colorado,34
Delaware,33
New Mexico,32
Florida,31
Massachusetts,28
Utah,28
Connecticut,27
Maryland,26
Rhode Island,26
Texas,26
Oregon,25
Washington,23
Arizona,23
Virginia,22
New York,19
Alaska,18
New Jersey,16
Nevada,15
District of Columbia,13
California,11
Hawaii,7


Top metros for jake owen
Metro,jake owen
La Crosse-Eau Claire WI,100
Charleston-Huntington WV,97
Lexington KY,70
Toledo OH,69
Dayton OH,69
Green Bay-Appleton WI,68
Greenville-Spartanburg SC-Asheville NC-Anderson SC,62
Madison WI,62
Grand Rapids-Kalamazoo-Battle Creek MI,59
Cincinnati OH,55
Pittsburgh PA,54
Nashville TN,54
Minneapolis-St. Paul MN,54
Charlotte NC,53
Greensboro-High Point-Winston Salem NC,51
Birmingham AL,51
Milwaukee WI,51
Louisville KY,50
Harrisburg-Lancaster-Lebanon-York PA,49
Cleveland-Akron (Canton) OH,48
Indianapolis IN,47
Kansas City MO,43
St. Louis MO,42
Columbus OH,41
Raleigh-Durham (Fayetteville) NC,41
Norfolk-Portsmouth-Newport News VA,39
Denver CO,36
Atlanta GA,35
Tampa-St. Petersburg (Sarasota) FL,35
Orlando-Daytona Beach-Melbourne FL,31
Detroit MI,31
Baltimore MD,30
Boston MA-Manchester NH,30
Hartford & New Haven CT,30
Salt Lake City UT,29
San Antonio TX,28
Chicago IL,25
Phoenix AZ,22
Portland OR,21
Philadelphia PA,21
Houston TX,20
Sacramento-Stockton-Modesto CA,20
Seattle-Tacoma WA,20
Dallas-Ft. Worth TX,19
Washington DC (Hagerstown MD),16
New York NY,11
Los Angeles CA,9
San Francisco-Oakland-San Jose CA,6
Portland-Auburn ME,0
Binghamton NY,0
Macon GA,0
Savannah GA,0
Ft. Wayne IN,0
Flint-Saginaw-Bay City MI,0
Buffalo NY,0
Erie PA,0
Charleston SC,0
Augusta GA,0
Providence RI-New Bedford MA,0
Columbus GA,0
Burlington VT-Plattsburgh NY,0
Albany GA,0
Utica NY,0
Miami-Ft. Lauderdale FL,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Albany-Schenectady-Troy NY,0
Youngstown OH,0
Bangor ME,0
Rochester NY,0
Traverse City-Cadillac MI,0
Springfield-Holyoke MA,0
Greenville-New Bern-Washington NC,0
Columbia SC,0
West Palm Beach-Ft. Pierce FL,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Syracuse NY,0
Richmond-Petersburg VA,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Jacksonville FL,0
Elmira NY,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Roanoke-Lynchburg VA,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Wilkes Barre-Scranton PA,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Springfield MO,0
New Orleans LA,0
Sioux City IA,0
Waco-Temple-Bryan TX,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Austin TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Memphis TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Oklahoma City OK,0
Lubbock TX,0
Omaha NE,0
Panama City FL,0
Sherman TX-Ada OK,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Tulsa OK,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Wichita-Hutchinson KS,0
Des Moines-Ames IA,0
Davenport IA-Rock Island-Moline IL,0
Mobile AL-Pensacola (Ft. Walton Beach) FL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Little Rock-Pine Bluff AR,0
Montgomery (Selma) AL,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Honolulu HI,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Colorado Springs-Pueblo CO,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Tucson (Sierra Vista) AZ,0
Albuquerque-Santa Fe NM,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
San Diego CA,0
Monterey-Salinas CA,0
Las Vegas NV,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Fresno-Visalia CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for jake owen
Town/City,jake owen
Columbus,100
Jacksonville,94
Indianapolis,94
Charlotte,87
San Antonio,74
Houston,51
Dallas,44
Chicago,42
Atlanta,42
New York,17
Los Angeles,16



Top searches for jake owen
barefoot blue jean,100
jake owen lyrics,60
alone with you,45
jason aldean,25
8 second ride,25
luke bryan,25
anywhere with you,20
jake owen back,20
jake owen beachin,20
eric church,15
florida georgia line,15
colt ford,10
brantley gilbert,10
colt ford back,10
dierks bentley,10
justin moore,5
eight second ride,5
heaven jake owen,5
lee brice,5
jake owen live,5
summer jam,5
rodney atkins,5
chris young you,5
drunk on you,5
randy houser,5
thomas rhett,5
easton corbin,5



Rising searches for jake owen
8 second ride,Breakout
alone with you,Breakout
anywhere with you,Breakout
barefoot blue jean,Breakout
eric church,Breakout
florida georgia line,Breakout
jake owen back,Breakout
jake owen beachin,Breakout
jake owen lyrics,Breakout
jason aldean,Breakout



