YouTube Search interest: kelly rowland
United States; Jan 2008 - Jul 2015

Interest over time
Week,kelly rowland
2011-02-27 - 2011-03-05,8
2011-03-06 - 2011-03-12,11
2011-03-13 - 2011-03-19,16
2011-03-20 - 2011-03-26,15
2011-03-27 - 2011-04-02,18
2011-04-03 - 2011-04-09,34
2011-04-10 - 2011-04-16,40
2011-04-17 - 2011-04-23,42
2011-04-24 - 2011-04-30,54
2011-05-01 - 2011-05-07,60
2011-05-08 - 2011-05-14,81
2011-05-15 - 2011-05-21,86
2011-05-22 - 2011-05-28,100
2011-05-29 - 2011-06-04,79
2011-06-05 - 2011-06-11,77
2011-06-12 - 2011-06-18,74
2011-06-19 - 2011-06-25,65
2011-06-26 - 2011-07-02,90
2011-07-03 - 2011-07-09,68
2011-07-10 - 2011-07-16,63
2011-07-17 - 2011-07-23,59
2011-07-24 - 2011-07-30,65
2011-07-31 - 2011-08-06,63
2011-08-07 - 2011-08-13,55
2011-08-14 - 2011-08-20,49
2011-08-21 - 2011-08-27,48
2011-08-28 - 2011-09-03,43
2011-09-04 - 2011-09-10,40
2011-09-11 - 2011-09-17,39
2011-09-18 - 2011-09-24,37
2011-09-25 - 2011-10-01,36
2011-10-02 - 2011-10-08,35
2011-10-09 - 2011-10-15,43
2011-10-16 - 2011-10-22,44
2011-10-23 - 2011-10-29,33
2011-10-30 - 2011-11-05,28
2011-11-06 - 2011-11-12,26
2011-11-13 - 2011-11-19,25
2011-11-20 - 2011-11-26,22
2011-11-27 - 2011-12-03,19
2011-12-04 - 2011-12-10,18
2011-12-11 - 2011-12-17,17
2011-12-18 - 2011-12-24,17
2011-12-25 - 2011-12-31,16
2012-01-01 - 2012-01-07,15
2012-01-08 - 2012-01-14,15
2012-01-15 - 2012-01-21,13
2012-01-22 - 2012-01-28,13
2012-01-29 - 2012-02-04,12
2012-02-05 - 2012-02-11,15
2012-02-12 - 2012-02-18,12
2012-02-19 - 2012-02-25,12
2012-02-26 - 2012-03-03,12
2012-03-04 - 2012-03-10,10
2012-03-11 - 2012-03-17,10
2012-03-18 - 2012-03-24,10
2012-03-25 - 2012-03-31,9
2012-04-01 - 2012-04-07,9
2012-04-08 - 2012-04-14,10
2012-04-15 - 2012-04-21,9
2012-04-22 - 2012-04-28,9
2012-04-29 - 2012-05-05,9
2012-05-06 - 2012-05-12,9
2012-05-13 - 2012-05-19,8
2012-05-20 - 2012-05-26,8
2012-05-27 - 2012-06-02,8
2012-06-03 - 2012-06-09,8
2012-06-10 - 2012-06-16,8
2012-06-17 - 2012-06-23,8
2012-06-24 - 2012-06-30,7
2012-07-01 - 2012-07-07,9
2012-07-08 - 2012-07-14,8
2012-07-15 - 2012-07-21,8
2012-07-22 - 2012-07-28,8
2012-07-29 - 2012-08-04,8
2012-08-05 - 2012-08-11,10
2012-08-12 - 2012-08-18,10
2012-08-19 - 2012-08-25,10
2012-08-26 - 2012-09-01,12
2012-09-02 - 2012-09-08,11
2012-09-09 - 2012-09-15,11
2012-09-16 - 2012-09-22,12
2012-09-23 - 2012-09-29,14
2012-09-30 - 2012-10-06,15
2012-10-07 - 2012-10-13,17
2012-10-14 - 2012-10-20,17
2012-10-21 - 2012-10-27,17
2012-10-28 - 2012-11-03,19
2012-11-04 - 2012-11-10,21
2012-11-11 - 2012-11-17,28
2012-11-18 - 2012-11-24,35
2012-11-25 - 2012-12-01,39
2012-12-02 - 2012-12-08,30
2012-12-09 - 2012-12-15,26
2012-12-16 - 2012-12-22,25
2012-12-23 - 2012-12-29,25
2012-12-30 - 2013-01-05,21
2013-01-06 - 2013-01-12,23
2013-01-13 - 2013-01-19,23
2013-01-20 - 2013-01-26,22
2013-01-27 - 2013-02-02,20
2013-02-03 - 2013-02-09,22
2013-02-10 - 2013-02-16,21
2013-02-17 - 2013-02-23,19
2013-02-24 - 2013-03-02,18
2013-03-03 - 2013-03-09,21
2013-03-10 - 2013-03-16,28
2013-03-17 - 2013-03-23,29
2013-03-24 - 2013-03-30,25
2013-03-31 - 2013-04-06,22
2013-04-07 - 2013-04-13,20
2013-04-14 - 2013-04-20,20
2013-04-21 - 2013-04-27,21
2013-04-28 - 2013-05-04,20
2013-05-05 - 2013-05-11,18
2013-05-12 - 2013-05-18,30
2013-05-19 - 2013-05-25,27
2013-05-26 - 2013-06-01,27
2013-06-02 - 2013-06-08,25
2013-06-09 - 2013-06-15,24
2013-06-16 - 2013-06-22,29
2013-06-23 - 2013-06-29,27
2013-06-30 - 2013-07-06,23
2013-07-07 - 2013-07-13,24
2013-07-14 - 2013-07-20,19
2013-07-21 - 2013-07-27,22
2013-07-28 - 2013-08-03,20
2013-08-04 - 2013-08-10,17
2013-08-11 - 2013-08-17,16
2013-08-18 - 2013-08-24,15
2013-08-25 - 2013-08-31,12
2013-09-01 - 2013-09-07,13
2013-09-08 - 2013-09-14,13
2013-09-15 - 2013-09-21,14
2013-09-22 - 2013-09-28,13
2013-09-29 - 2013-10-05,13
2013-10-06 - 2013-10-12,11
2013-10-13 - 2013-10-19,10
2013-10-20 - 2013-10-26,10
2013-10-27 - 2013-11-02,11
2013-11-03 - 2013-11-09,12
2013-11-10 - 2013-11-16,11
2013-11-17 - 2013-11-23,10
2013-11-24 - 2013-11-30,10
2013-12-01 - 2013-12-07,10
2013-12-08 - 2013-12-14,10
2013-12-15 - 2013-12-21,8
2013-12-22 - 2013-12-28,8
2013-12-29 - 2014-01-04,8
2014-01-05 - 2014-01-11,8
2014-01-12 - 2014-01-18,8
2014-01-19 - 2014-01-25,8
2014-01-26 - 2014-02-01,7
2014-02-02 - 2014-02-08,7
2014-02-09 - 2014-02-15,7
2014-02-16 - 2014-02-22,6
2014-02-23 - 2014-03-01,6
2014-03-02 - 2014-03-08,6
2014-03-09 - 2014-03-15,6
2014-03-16 - 2014-03-22,6
2014-03-23 - 2014-03-29,6
2014-03-30 - 2014-04-05,5
2014-04-06 - 2014-04-12,6
2014-04-13 - 2014-04-19,6
2014-04-20 - 2014-04-26,5
2014-04-27 - 2014-05-03,5
2014-05-04 - 2014-05-10,5
2014-05-11 - 2014-05-17,6
2014-05-18 - 2014-05-24,6
2014-05-25 - 2014-05-31,5
2014-06-01 - 2014-06-07,5
2014-06-08 - 2014-06-14,5
2014-06-15 - 2014-06-21,6
2014-06-22 - 2014-06-28,5
2014-06-29 - 2014-07-05,5
2014-07-06 - 2014-07-12,4
2014-07-13 - 2014-07-19,5
2014-07-20 - 2014-07-26,4
2014-07-27 - 2014-08-02,4
2014-08-03 - 2014-08-09,4
2014-08-10 - 2014-08-16,4
2014-08-17 - 2014-08-23,3
2014-08-24 - 2014-08-30,4
2014-08-31 - 2014-09-06,4
2014-09-07 - 2014-09-13,3
2014-09-14 - 2014-09-20,4
2014-09-21 - 2014-09-27,4
2014-09-28 - 2014-10-04,4
2014-10-05 - 2014-10-11,3
2014-10-12 - 2014-10-18,3
2014-10-19 - 2014-10-25,4
2014-10-26 - 2014-11-01,3
2014-11-02 - 2014-11-08,4
2014-11-09 - 2014-11-15,3
2014-11-16 - 2014-11-22,4
2014-11-23 - 2014-11-29,3
2014-11-30 - 2014-12-06,3
2014-12-07 - 2014-12-13,3
2014-12-14 - 2014-12-20,3
2014-12-21 - 2014-12-27,3
2014-12-28 - 2015-01-03,3
2015-01-04 - 2015-01-10,2
2015-01-11 - 2015-01-17,3
2015-01-18 - 2015-01-24,3
2015-01-25 - 2015-01-31,3
2015-02-01 - 2015-02-07,3
2015-02-08 - 2015-02-14,3
2015-02-15 - 2015-02-21,3
2015-02-22 - 2015-02-28,3
2015-03-01 - 2015-03-07,3
2015-03-08 - 2015-03-14,2
2015-03-15 - 2015-03-21,3
2015-03-22 - 2015-03-28,2
2015-03-29 - 2015-04-04,3
2015-04-05 - 2015-04-11,3
2015-04-12 - 2015-04-18,2
2015-04-19 - 2015-04-25,3
2015-04-26 - 2015-05-02,3
2015-05-03 - 2015-05-09,3
2015-05-10 - 2015-05-16,3
2015-05-17 - 2015-05-23,3
2015-05-24 - 2015-05-30,2
2015-05-31 - 2015-06-06,3
2015-06-07 - 2015-06-13,3
2015-06-14 - 2015-06-20,2
2015-06-21 - 2015-06-27,3
2015-06-28 - 2015-07-04,3
2015-07-05 - 2015-07-11,2
2015-07-12 - 2015-07-18,3
2015-07-19 - 2015-07-25,2
2015-07-26 - 2015-08-01,2


Top sub-regions for kelly rowland
Sub-region,kelly rowland
Mississippi,100
Louisiana,78
Alabama,71
South Carolina,63
Georgia,61
North Carolina,51
Arkansas,51
Tennessee,49
Maryland,49
Kentucky,46
Florida,44
Indiana,44
Ohio,43
Delaware,41
Michigan,40
Texas,37
Oklahoma,36
Illinois,35
New York,34
Pennsylvania,34
Missouri,34
West Virginia,33
District of Columbia,32
Rhode Island,31
New Mexico,30
New Jersey,29
Connecticut,28
Wisconsin,28
Kansas,27
Nebraska,26
Virginia,26
Iowa,25
Massachusetts,24
Nevada,24
Minnesota,23
Colorado,23
California,23
Arizona,22
South Dakota,22
Hawaii,21
North Dakota,20
Washington,18
Montana,17
New Hampshire,16
Wyoming,16
Vermont,16
Alaska,15
Maine,14
Oregon,14
Utah,13
Idaho,13


Top metros for kelly rowland
Metro,kelly rowland
Albany GA,100
Monroe LA-El Dorado AR,95
Montgomery (Selma) AL,82
Macon GA,76
Lafayette LA,72
Jackson MS,70
Columbus GA,68
Baton Rouge LA,65
Augusta GA,63
Savannah GA,62
Memphis TN,62
Florence-Myrtle Beach SC,62
Shreveport LA,59
Columbia SC,59
Charleston SC,56
Tallahassee FL-Thomasville GA,55
Little Rock-Pine Bluff AR,54
Birmingham AL,54
New Orleans LA,52
Norfolk-Portsmouth-Newport News VA,51
Mobile AL-Pensacola (Ft. Walton Beach) FL,48
Huntsville-Decatur (Florence) AL,47
Raleigh-Durham (Fayetteville) NC,46
Greenville-New Bern-Washington NC,43
Atlanta GA,43
Louisville KY,41
Richmond-Petersburg VA,41
Jacksonville FL,41
Nashville TN,39
Greensboro-High Point-Winston Salem NC,38
Houston TX,38
Baltimore MD,37
Indianapolis IN,37
Cincinnati OH,36
Chattanooga TN,36
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,36
Toledo OH,36
Milwaukee WI,36
Detroit MI,35
Waco-Temple-Bryan TX,35
Miami-Ft. Lauderdale FL,34
Cleveland-Akron (Canton) OH,34
West Palm Beach-Ft. Pierce FL,34
Champaign & Springfield-Decatur IL,34
Dayton OH,34
Charlotte NC,33
Oklahoma City OK,32
Ft. Myers-Naples FL,31
Columbus OH,31
New York NY,31
Roanoke-Lynchburg VA,30
South Bend-Elkhart IN,30
St. Louis MO,30
Fresno-Visalia CA,30
Chicago IL,30
Philadelphia PA,29
Tampa-St. Petersburg (Sarasota) FL,29
Buffalo NY,29
Lexington KY,29
Greenville-Spartanburg SC-Asheville NC-Anderson SC,29
Grand Rapids-Kalamazoo-Battle Creek MI,28
Flint-Saginaw-Bay City MI,28
Orlando-Daytona Beach-Melbourne FL,27
Wichita-Hutchinson KS,27
Kansas City MO,27
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,27
Pittsburgh PA,27
Dallas-Ft. Worth TX,26
Harrisburg-Lancaster-Lebanon-York PA,25
Albuquerque-Santa Fe NM,25
Providence RI-New Bedford MA,25
Charleston-Huntington WV,25
Colorado Springs-Pueblo CO,25
Hartford & New Haven CT,25
Syracuse NY,25
Knoxville TN,25
Sacramento-Stockton-Modesto CA,24
Albany-Schenectady-Troy NY,24
San Antonio TX,23
Tulsa OK,23
Omaha NE,23
Rochester NY,23
Las Vegas NV,22
Washington DC (Hagerstown MD),21
Tucson (Sierra Vista) AZ,21
Boston MA-Manchester NH,20
Austin TX,20
Phoenix AZ,19
Minneapolis-St. Paul MN,19
Los Angeles CA,18
Honolulu HI,18
Wilkes Barre-Scranton PA,17
Denver CO,17
Seattle-Tacoma WA,15
San Diego CA,14
San Francisco-Oakland-San Jose CA,14
Portland OR,11
Salt Lake City UT,10
Portland-Auburn ME,0
Binghamton NY,0
Ft. Wayne IN,0
Erie PA,0
Burlington VT-Plattsburgh NY,0
Utica NY,0
Tri-Cities TN-VA,0
Youngstown OH,0
Bangor ME,0
Traverse City-Cadillac MI,0
Springfield-Holyoke MA,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Elmira NY,0
Harrisonburg VA,0
Johnstown-Altoona PA,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Springfield MO,0
Sioux City IA,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Ottumwa IA-Kirksville MO,0
Odessa-Midland TX,0
Amarillo TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
St. Joseph MO,0
Jackson TN,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Evansville IN,0
Lubbock TX,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Madison WI,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Des Moines-Ames IA,0
Davenport IA-Rock Island-Moline IL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Beaumont-Port Arthur TX,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Quincy IL-Hannibal MO-Keokuk IA,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for kelly rowland
Town/City,kelly rowland
Memphis,100
Detroit,91
Jackson,88
Baltimore,80
New Orleans,74
Milwaukee,71
Indianapolis,69
Philadelphia,65
Jacksonville,64
Houston,62
Louisville,61
Cincinnati,58
Charlotte,55
Columbus,54
New York,48



Top searches for kelly rowland
motivation,100
kelly rowland motivation,100
lil wayne,35
motivation lyrics,20
ice,20
kelly rowland ice,20
nelly,15
future,15
kelly rowland gone,10
gone,10
kisses down low,10
nelly gone,10
neva end future,5
ciara,5
motivation remix,5
kelly rowland commander,5
kelly rowland live,5
like this,5
keri hilson,5
kelly rowland dilemma,5
keyshia cole,5
nelly dilemma,5
boo thang,5
trina,5
kelly rowland work,5
sure thing,5
future never end,5
stole kelly rowland,0
miguel sure thing,0



Rising searches for kelly rowland
future,Breakout
gone,Breakout
ice,Breakout
kelly rowland gone,Breakout
kelly rowland ice,Breakout
kelly rowland motivation,Breakout
lil wayne,Breakout
motivation,Breakout
motivation lyrics,Breakout
nelly,+70%



