YouTube Search interest: alicia keys
United States; Jan 2008 - Jul 2015

Interest over time
Week,alicia keys
2009-08-16 - 2009-08-22,17
2009-08-23 - 2009-08-29,14
2009-08-30 - 2009-09-05,16
2009-09-06 - 2009-09-12,19
2009-09-13 - 2009-09-19,58
2009-09-20 - 2009-09-26,48
2009-09-27 - 2009-10-03,45
2009-10-04 - 2009-10-10,44
2009-10-11 - 2009-10-17,41
2009-10-18 - 2009-10-24,42
2009-10-25 - 2009-10-31,62
2009-11-01 - 2009-11-07,65
2009-11-08 - 2009-11-14,60
2009-11-15 - 2009-11-21,62
2009-11-22 - 2009-11-28,88
2009-11-29 - 2009-12-05,86
2009-12-06 - 2009-12-12,78
2009-12-13 - 2009-12-19,98
2009-12-20 - 2009-12-26,83
2009-12-27 - 2010-01-02,76
2010-01-03 - 2010-01-09,72
2010-01-10 - 2010-01-16,81
2010-01-17 - 2010-01-23,72
2010-01-24 - 2010-01-30,71
2010-01-31 - 2010-02-06,66
2010-02-07 - 2010-02-13,69
2010-02-14 - 2010-02-20,67
2010-02-21 - 2010-02-27,67
2010-02-28 - 2010-03-06,64
2010-03-07 - 2010-03-13,60
2010-03-14 - 2010-03-20,60
2010-03-21 - 2010-03-27,58
2010-03-28 - 2010-04-03,57
2010-04-04 - 2010-04-10,56
2010-04-11 - 2010-04-17,58
2010-04-18 - 2010-04-24,64
2010-04-25 - 2010-05-01,60
2010-05-02 - 2010-05-08,62
2010-05-09 - 2010-05-15,81
2010-05-16 - 2010-05-22,87
2010-05-23 - 2010-05-29,100
2010-05-30 - 2010-06-05,93
2010-06-06 - 2010-06-12,84
2010-06-13 - 2010-06-19,84
2010-06-20 - 2010-06-26,77
2010-06-27 - 2010-07-03,98
2010-07-04 - 2010-07-10,88
2010-07-11 - 2010-07-17,74
2010-07-18 - 2010-07-24,66
2010-07-25 - 2010-07-31,59
2010-08-01 - 2010-08-07,55
2010-08-08 - 2010-08-14,54
2010-08-15 - 2010-08-21,48
2010-08-22 - 2010-08-28,46
2010-08-29 - 2010-09-04,45
2010-09-05 - 2010-09-11,45
2010-09-12 - 2010-09-18,43
2010-09-19 - 2010-09-25,45
2010-09-26 - 2010-10-02,40
2010-10-03 - 2010-10-09,41
2010-10-10 - 2010-10-16,40
2010-10-17 - 2010-10-23,40
2010-10-24 - 2010-10-30,38
2010-10-31 - 2010-11-06,36
2010-11-07 - 2010-11-13,39
2010-11-14 - 2010-11-20,39
2010-11-21 - 2010-11-27,35
2010-11-28 - 2010-12-04,36
2010-12-05 - 2010-12-11,35
2010-12-12 - 2010-12-18,34
2010-12-19 - 2010-12-25,32
2010-12-26 - 2011-01-01,37
2011-01-02 - 2011-01-08,35
2011-01-09 - 2011-01-15,34
2011-01-16 - 2011-01-22,36
2011-01-23 - 2011-01-29,37
2011-01-30 - 2011-02-05,35
2011-02-06 - 2011-02-12,40
2011-02-13 - 2011-02-19,42
2011-02-20 - 2011-02-26,36
2011-02-27 - 2011-03-05,37
2011-03-06 - 2011-03-12,35
2011-03-13 - 2011-03-19,33
2011-03-20 - 2011-03-26,32
2011-03-27 - 2011-04-02,32
2011-04-03 - 2011-04-09,32
2011-04-10 - 2011-04-16,31
2011-04-17 - 2011-04-23,30
2011-04-24 - 2011-04-30,29
2011-05-01 - 2011-05-07,31
2011-05-08 - 2011-05-14,29
2011-05-15 - 2011-05-21,32
2011-05-22 - 2011-05-28,29
2011-05-29 - 2011-06-04,31
2011-06-05 - 2011-06-11,30
2011-06-12 - 2011-06-18,29
2011-06-19 - 2011-06-25,34
2011-06-26 - 2011-07-02,43
2011-07-03 - 2011-07-09,38
2011-07-10 - 2011-07-16,34
2011-07-17 - 2011-07-23,29
2011-07-24 - 2011-07-30,29
2011-07-31 - 2011-08-06,29
2011-08-07 - 2011-08-13,27
2011-08-14 - 2011-08-20,29
2011-08-21 - 2011-08-27,27
2011-08-28 - 2011-09-03,28
2011-09-04 - 2011-09-10,29
2011-09-11 - 2011-09-17,34
2011-09-18 - 2011-09-24,29
2011-09-25 - 2011-10-01,29
2011-10-02 - 2011-10-08,30
2011-10-09 - 2011-10-15,29
2011-10-16 - 2011-10-22,27
2011-10-23 - 2011-10-29,27
2011-10-30 - 2011-11-05,27
2011-11-06 - 2011-11-12,26
2011-11-13 - 2011-11-19,26
2011-11-20 - 2011-11-26,25
2011-11-27 - 2011-12-03,23
2011-12-04 - 2011-12-10,22
2011-12-11 - 2011-12-17,23
2011-12-18 - 2011-12-24,21
2011-12-25 - 2011-12-31,22
2012-01-01 - 2012-01-07,21
2012-01-08 - 2012-01-14,23
2012-01-15 - 2012-01-21,22
2012-01-22 - 2012-01-28,23
2012-01-29 - 2012-02-04,21
2012-02-05 - 2012-02-11,23
2012-02-12 - 2012-02-18,28
2012-02-19 - 2012-02-25,28
2012-02-26 - 2012-03-03,21
2012-03-04 - 2012-03-10,23
2012-03-11 - 2012-03-17,22
2012-03-18 - 2012-03-24,23
2012-03-25 - 2012-03-31,21
2012-04-01 - 2012-04-07,19
2012-04-08 - 2012-04-14,19
2012-04-15 - 2012-04-21,20
2012-04-22 - 2012-04-28,21
2012-04-29 - 2012-05-05,19
2012-05-06 - 2012-05-12,20
2012-05-13 - 2012-05-19,19
2012-05-20 - 2012-05-26,20
2012-05-27 - 2012-06-02,19
2012-06-03 - 2012-06-09,20
2012-06-10 - 2012-06-16,19
2012-06-17 - 2012-06-23,19
2012-06-24 - 2012-06-30,20
2012-07-01 - 2012-07-07,18
2012-07-08 - 2012-07-14,20
2012-07-15 - 2012-07-21,19
2012-07-22 - 2012-07-28,20
2012-07-29 - 2012-08-04,20
2012-08-05 - 2012-08-11,19
2012-08-12 - 2012-08-18,20
2012-08-19 - 2012-08-25,19
2012-08-26 - 2012-09-01,19
2012-09-02 - 2012-09-08,35
2012-09-09 - 2012-09-15,41
2012-09-16 - 2012-09-22,30
2012-09-23 - 2012-09-29,34
2012-09-30 - 2012-10-06,34
2012-10-07 - 2012-10-13,31
2012-10-14 - 2012-10-20,33
2012-10-21 - 2012-10-27,38
2012-10-28 - 2012-11-03,37
2012-11-04 - 2012-11-10,43
2012-11-11 - 2012-11-17,38
2012-11-18 - 2012-11-24,39
2012-11-25 - 2012-12-01,47
2012-12-02 - 2012-12-08,44
2012-12-09 - 2012-12-15,50
2012-12-16 - 2012-12-22,38
2012-12-23 - 2012-12-29,34
2012-12-30 - 2013-01-05,35
2013-01-06 - 2013-01-12,33
2013-01-13 - 2013-01-19,31
2013-01-20 - 2013-01-26,35
2013-01-27 - 2013-02-02,29
2013-02-03 - 2013-02-09,57
2013-02-10 - 2013-02-16,41
2013-02-17 - 2013-02-23,36
2013-02-24 - 2013-03-02,31
2013-03-03 - 2013-03-09,33
2013-03-10 - 2013-03-16,31
2013-03-17 - 2013-03-23,28
2013-03-24 - 2013-03-30,29
2013-03-31 - 2013-04-06,25
2013-04-07 - 2013-04-13,22
2013-04-14 - 2013-04-20,22
2013-04-21 - 2013-04-27,28
2013-04-28 - 2013-05-04,27
2013-05-05 - 2013-05-11,25
2013-05-12 - 2013-05-18,24
2013-05-19 - 2013-05-25,23
2013-05-26 - 2013-06-01,20
2013-06-02 - 2013-06-08,21
2013-06-09 - 2013-06-15,21
2013-06-16 - 2013-06-22,22
2013-06-23 - 2013-06-29,19
2013-06-30 - 2013-07-06,20
2013-07-07 - 2013-07-13,19
2013-07-14 - 2013-07-20,16
2013-07-21 - 2013-07-27,15
2013-07-28 - 2013-08-03,16
2013-08-04 - 2013-08-10,14
2013-08-11 - 2013-08-17,15
2013-08-18 - 2013-08-24,15
2013-08-25 - 2013-08-31,15
2013-09-01 - 2013-09-07,15
2013-09-08 - 2013-09-14,15
2013-09-15 - 2013-09-21,15
2013-09-22 - 2013-09-28,14
2013-09-29 - 2013-10-05,15
2013-10-06 - 2013-10-12,15
2013-10-13 - 2013-10-19,13
2013-10-20 - 2013-10-26,12
2013-10-27 - 2013-11-02,14
2013-11-03 - 2013-11-09,14
2013-11-10 - 2013-11-16,14
2013-11-17 - 2013-11-23,13
2013-11-24 - 2013-11-30,13
2013-12-01 - 2013-12-07,13
2013-12-08 - 2013-12-14,13
2013-12-15 - 2013-12-21,12
2013-12-22 - 2013-12-28,11
2013-12-29 - 2014-01-04,11
2014-01-05 - 2014-01-11,11
2014-01-12 - 2014-01-18,12
2014-01-19 - 2014-01-25,11
2014-01-26 - 2014-02-01,13
2014-02-02 - 2014-02-08,11
2014-02-09 - 2014-02-15,14
2014-02-16 - 2014-02-22,12
2014-02-23 - 2014-03-01,11
2014-03-02 - 2014-03-08,11
2014-03-09 - 2014-03-15,11
2014-03-16 - 2014-03-22,13
2014-03-23 - 2014-03-29,12
2014-03-30 - 2014-04-05,11
2014-04-06 - 2014-04-12,11
2014-04-13 - 2014-04-19,13
2014-04-20 - 2014-04-26,13
2014-04-27 - 2014-05-03,12
2014-05-04 - 2014-05-10,12
2014-05-11 - 2014-05-17,11
2014-05-18 - 2014-05-24,12
2014-05-25 - 2014-05-31,10
2014-06-01 - 2014-06-07,11
2014-06-08 - 2014-06-14,10
2014-06-15 - 2014-06-21,10
2014-06-22 - 2014-06-28,10
2014-06-29 - 2014-07-05,10
2014-07-06 - 2014-07-12,9
2014-07-13 - 2014-07-19,9
2014-07-20 - 2014-07-26,9
2014-07-27 - 2014-08-02,9
2014-08-03 - 2014-08-09,9
2014-08-10 - 2014-08-16,8
2014-08-17 - 2014-08-23,9
2014-08-24 - 2014-08-30,9
2014-08-31 - 2014-09-06,9
2014-09-07 - 2014-09-13,11
2014-09-14 - 2014-09-20,11
2014-09-21 - 2014-09-27,10
2014-09-28 - 2014-10-04,10
2014-10-05 - 2014-10-11,11
2014-10-12 - 2014-10-18,10
2014-10-19 - 2014-10-25,10
2014-10-26 - 2014-11-01,9
2014-11-02 - 2014-11-08,10
2014-11-09 - 2014-11-15,9
2014-11-16 - 2014-11-22,9
2014-11-23 - 2014-11-29,8
2014-11-30 - 2014-12-06,8
2014-12-07 - 2014-12-13,9
2014-12-14 - 2014-12-20,9
2014-12-21 - 2014-12-27,7
2014-12-28 - 2015-01-03,8
2015-01-04 - 2015-01-10,8
2015-01-11 - 2015-01-17,8
2015-01-18 - 2015-01-24,9
2015-01-25 - 2015-01-31,9
2015-02-01 - 2015-02-07,9
2015-02-08 - 2015-02-14,9
2015-02-15 - 2015-02-21,8
2015-02-22 - 2015-02-28,8
2015-03-01 - 2015-03-07,8
2015-03-08 - 2015-03-14,8
2015-03-15 - 2015-03-21,9
2015-03-22 - 2015-03-28,9
2015-03-29 - 2015-04-04,9
2015-04-05 - 2015-04-11,8
2015-04-12 - 2015-04-18,7
2015-04-19 - 2015-04-25,8
2015-04-26 - 2015-05-02,9
2015-05-03 - 2015-05-09,9
2015-05-10 - 2015-05-16,7
2015-05-17 - 2015-05-23,8
2015-05-24 - 2015-05-30,9
2015-05-31 - 2015-06-06,7
2015-06-07 - 2015-06-13,8
2015-06-14 - 2015-06-20,7
2015-06-21 - 2015-06-27,8
2015-06-28 - 2015-07-04,8
2015-07-05 - 2015-07-11,7
2015-07-12 - 2015-07-18,7
2015-07-19 - 2015-07-25,8
2015-07-26 - 2015-08-01,8


Top sub-regions for alicia keys
Sub-region,alicia keys
District of Columbia,100
New York,100
Mississippi,93
Georgia,91
Louisiana,91
Florida,86
New Jersey,84
Virginia,83
Maryland,83
North Carolina,81
South Carolina,78
California,77
Rhode Island,77
Delaware,75
Texas,74
Connecticut,74
Alabama,73
Massachusetts,70
Pennsylvania,69
Hawaii,67
Arizona,62
Nevada,62
Michigan,62
Ohio,61
Illinois,61
Tennessee,61
Missouri,61
Arkansas,60
New Mexico,59
Vermont,56
Kentucky,55
Indiana,55
Oklahoma,54
Colorado,52
Alaska,52
Wisconsin,50
Washington,49
Kansas,48
Nebraska,48
Minnesota,47
South Dakota,47
Utah,44
New Hampshire,42
Iowa,42
West Virginia,40
North Dakota,40
Wyoming,39
Montana,37
Oregon,37
Maine,37
Idaho,37


Top metros for alicia keys
Metro,alicia keys
Jackson MS,100
New York NY,87
Montgomery (Selma) AL,74
Miami-Ft. Lauderdale FL,74
Memphis TN,74
Baton Rouge LA,73
Savannah GA,72
Atlanta GA,72
Augusta GA,71
West Palm Beach-Ft. Pierce FL,71
Raleigh-Durham (Fayetteville) NC,71
Columbus GA,70
New Orleans LA,70
Columbia SC,70
Washington DC (Hagerstown MD),70
Philadelphia PA,69
Norfolk-Portsmouth-Newport News VA,67
Fresno-Visalia CA,67
Macon GA,66
Hartford & New Haven CT,65
Tallahassee FL-Thomasville GA,64
Lafayette LA,64
Orlando-Daytona Beach-Melbourne FL,64
Florence-Myrtle Beach SC,64
Shreveport LA,64
Baltimore MD,64
Bakersfield CA,63
Little Rock-Pine Bluff AR,63
El Paso TX,62
Richmond-Petersburg VA,62
Birmingham AL,62
Los Angeles CA,61
Tampa-St. Petersburg (Sarasota) FL,61
Dallas-Ft. Worth TX,60
Waco-Temple-Bryan TX,59
Charlotte NC,58
San Francisco-Oakland-San Jose CA,58
San Antonio TX,58
Detroit MI,57
Honolulu HI,57
Boston MA-Manchester NH,56
Springfield-Holyoke MA,56
Sacramento-Stockton-Modesto CA,56
Houston TX,56
Greensboro-High Point-Winston Salem NC,54
Providence RI-New Bedford MA,54
Phoenix AZ,54
Chicago IL,54
Louisville KY,54
Charleston SC,53
Oklahoma City OK,53
St. Louis MO,52
Jacksonville FL,52
San Diego CA,52
Greenville-New Bern-Washington NC,52
Tyler-Longview(Lufkin & Nacogdoches) TX,52
Las Vegas NV,52
Albany-Schenectady-Troy NY,51
Mobile AL-Pensacola (Ft. Walton Beach) FL,51
Rochester NY,51
Tucson (Sierra Vista) AZ,51
Wilkes Barre-Scranton PA,51
Huntsville-Decatur (Florence) AL,50
Cleveland-Akron (Canton) OH,49
Toledo OH,49
Columbus OH,49
Greenville-Spartanburg SC-Asheville NC-Anderson SC,49
Albuquerque-Santa Fe NM,48
Milwaukee WI,48
Kansas City MO,47
Dayton OH,47
Harrisburg-Lancaster-Lebanon-York PA,46
Indianapolis IN,46
Monterey-Salinas CA,45
Cincinnati OH,45
Syracuse NY,44
Buffalo NY,44
South Bend-Elkhart IN,44
Grand Rapids-Kalamazoo-Battle Creek MI,44
Austin TX,43
Burlington VT-Plattsburgh NY,43
Ft. Myers-Naples FL,43
Champaign & Springfield-Decatur IL,42
Nashville TN,42
Pittsburgh PA,42
Flint-Saginaw-Bay City MI,41
Harlingen-Weslaco-Brownsville-McAllen TX,41
Roanoke-Lynchburg VA,41
Minneapolis-St. Paul MN,41
Johnstown-Altoona PA,40
Denver CO,40
Santa Barbara-Santa Maria-San Luis Obispo CA,40
Seattle-Tacoma WA,39
Tulsa OK,39
Wichita-Hutchinson KS,39
Colorado Springs-Pueblo CO,39
Spokane WA,38
Omaha NE,37
Salt Lake City UT,37
Boise ID,35
Green Bay-Appleton WI,34
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,34
Portland-Auburn ME,32
Des Moines-Ames IA,32
Madison WI,31
Portland OR,31
Lexington KY,31
Binghamton NY,0
Ft. Wayne IN,0
Erie PA,0
Albany GA,0
Utica NY,0
Tri-Cities TN-VA,0
Youngstown OH,0
Bangor ME,0
Traverse City-Cadillac MI,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisonburg VA,0
Chattanooga TN,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Springfield MO,0
Sioux City IA,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
St. Joseph MO,0
Jackson TN,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Evansville IN,0
Lubbock TX,0
Panama City FL,0
Sherman TX-Ada OK,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Davenport IA-Rock Island-Moline IL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Beaumont-Port Arthur TX,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Quincy IL-Hannibal MO-Keokuk IA,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Chico-Redding CA,0


Top cities for alicia keys
Town/City,alicia keys
New York,100
Atlanta,96
Miami,96
Reston,86
Washington,86
Ashburn,85
Philadelphia,85
Newark,80
Tampa,79
Orlando,78
Richardson,76
Herndon,75
Irvine,74
Los Angeles,72
Milpitas,71



Top searches for alicia keys
alicia keys lyrics,100
alicia keys unthinkable,60
unthinkable,60
no one,55
alicia keys video,40
fire alicia keys,35
beyonce,35
new york,30
usher,30
jay z,25
girl on fire,25
my boo,20
alicia keys songs,15
fallin alicia keys,15
alicia keys live,15
mariah carey,10
alicia keys instrumental,10
alicia keys karaoke,10
alicia keys diary,10
superwoman,10
alicia keys superwoman,10
falling alicia keys,10
keyshia cole,10
alicia keys cover,5
mary j blige,5
alejandro sanz,5
karma alicia keys,5
leona lewis,5
fireworks,5
ashanti,5
jay-z alicia keys,5
alica keys,5
alicia keys butterflies,5



Rising searches for alicia keys
alicia keys unthinkable,Breakout
girl on fire,Breakout
unthinkable,Breakout
new york,+4,200%
fire alicia keys,+3,100%
jay z,+1,050%
alicia keys lyrics,+950%
my boo,+350%
usher,+250%
alicia keys songs,+160%



