YouTube Search interest: the weeknd
United States; Jan 2008 - Jul 2015

Interest over time
Week,the weeknd
2009-03-22 - 2009-03-28,0
2009-03-29 - 2009-04-04,0
2009-04-05 - 2009-04-11,0
2009-04-12 - 2009-04-18,0
2009-04-19 - 2009-04-25,0
2009-04-26 - 2009-05-02,0
2009-05-03 - 2009-05-09,0
2009-05-10 - 2009-05-16,0
2009-05-17 - 2009-05-23,0
2009-05-24 - 2009-05-30,0
2009-05-31 - 2009-06-06,0
2009-06-07 - 2009-06-13,0
2009-06-14 - 2009-06-20,0
2009-06-21 - 2009-06-27,0
2009-06-28 - 2009-07-04,0
2009-07-05 - 2009-07-11,0
2009-07-12 - 2009-07-18,0
2009-07-19 - 2009-07-25,0
2009-07-26 - 2009-08-01,0
2009-08-02 - 2009-08-08,0
2009-08-09 - 2009-08-15,0
2009-08-16 - 2009-08-22,0
2009-08-23 - 2009-08-29,0
2009-08-30 - 2009-09-05,0
2009-09-06 - 2009-09-12,0
2009-09-13 - 2009-09-19,0
2009-09-20 - 2009-09-26,0
2009-09-27 - 2009-10-03,0
2009-10-04 - 2009-10-10,0
2009-10-11 - 2009-10-17,0
2009-10-18 - 2009-10-24,0
2009-10-25 - 2009-10-31,0
2009-11-01 - 2009-11-07,0
2009-11-08 - 2009-11-14,0
2009-11-15 - 2009-11-21,0
2009-11-22 - 2009-11-28,0
2009-11-29 - 2009-12-05,0
2009-12-06 - 2009-12-12,0
2009-12-13 - 2009-12-19,0
2009-12-20 - 2009-12-26,0
2009-12-27 - 2010-01-02,0
2010-01-03 - 2010-01-09,0
2010-01-10 - 2010-01-16,0
2010-01-17 - 2010-01-23,0
2010-01-24 - 2010-01-30,0
2010-01-31 - 2010-02-06,0
2010-02-07 - 2010-02-13,0
2010-02-14 - 2010-02-20,0
2010-02-21 - 2010-02-27,0
2010-02-28 - 2010-03-06,0
2010-03-07 - 2010-03-13,0
2010-03-14 - 2010-03-20,0
2010-03-21 - 2010-03-27,0
2010-03-28 - 2010-04-03,0
2010-04-04 - 2010-04-10,0
2010-04-11 - 2010-04-17,0
2010-04-18 - 2010-04-24,0
2010-04-25 - 2010-05-01,0
2010-05-02 - 2010-05-08,0
2010-05-09 - 2010-05-15,0
2010-05-16 - 2010-05-22,0
2010-05-23 - 2010-05-29,0
2010-05-30 - 2010-06-05,0
2010-06-06 - 2010-06-12,0
2010-06-13 - 2010-06-19,0
2010-06-20 - 2010-06-26,0
2010-06-27 - 2010-07-03,0
2010-07-04 - 2010-07-10,0
2010-07-11 - 2010-07-17,0
2010-07-18 - 2010-07-24,0
2010-07-25 - 2010-07-31,0
2010-08-01 - 2010-08-07,0
2010-08-08 - 2010-08-14,0
2010-08-15 - 2010-08-21,0
2010-08-22 - 2010-08-28,0
2010-08-29 - 2010-09-04,0
2010-09-05 - 2010-09-11,0
2010-09-12 - 2010-09-18,0
2010-09-19 - 2010-09-25,0
2010-09-26 - 2010-10-02,0
2010-10-03 - 2010-10-09,0
2010-10-10 - 2010-10-16,0
2010-10-17 - 2010-10-23,0
2010-10-24 - 2010-10-30,0
2010-10-31 - 2010-11-06,0
2010-11-07 - 2010-11-13,0
2010-11-14 - 2010-11-20,0
2010-11-21 - 2010-11-27,0
2010-11-28 - 2010-12-04,0
2010-12-05 - 2010-12-11,0
2010-12-12 - 2010-12-18,0
2010-12-19 - 2010-12-25,0
2010-12-26 - 2011-01-01,0
2011-01-02 - 2011-01-08,0
2011-01-09 - 2011-01-15,0
2011-01-16 - 2011-01-22,0
2011-01-23 - 2011-01-29,0
2011-01-30 - 2011-02-05,0
2011-02-06 - 2011-02-12,0
2011-02-13 - 2011-02-19,0
2011-02-20 - 2011-02-26,0
2011-02-27 - 2011-03-05,0
2011-03-06 - 2011-03-12,0
2011-03-13 - 2011-03-19,0
2011-03-20 - 2011-03-26,1
2011-03-27 - 2011-04-02,1
2011-04-03 - 2011-04-09,2
2011-04-10 - 2011-04-16,2
2011-04-17 - 2011-04-23,1
2011-04-24 - 2011-04-30,1
2011-05-01 - 2011-05-07,1
2011-05-08 - 2011-05-14,2
2011-05-15 - 2011-05-21,2
2011-05-22 - 2011-05-28,3
2011-05-29 - 2011-06-04,3
2011-06-05 - 2011-06-11,3
2011-06-12 - 2011-06-18,4
2011-06-19 - 2011-06-25,4
2011-06-26 - 2011-07-02,6
2011-07-03 - 2011-07-09,5
2011-07-10 - 2011-07-16,4
2011-07-17 - 2011-07-23,5
2011-07-24 - 2011-07-30,7
2011-07-31 - 2011-08-06,8
2011-08-07 - 2011-08-13,8
2011-08-14 - 2011-08-20,13
2011-08-21 - 2011-08-27,18
2011-08-28 - 2011-09-03,13
2011-09-04 - 2011-09-10,12
2011-09-11 - 2011-09-17,13
2011-09-18 - 2011-09-24,14
2011-09-25 - 2011-10-01,14
2011-10-02 - 2011-10-08,15
2011-10-09 - 2011-10-15,17
2011-10-16 - 2011-10-22,14
2011-10-23 - 2011-10-29,14
2011-10-30 - 2011-11-05,13
2011-11-06 - 2011-11-12,19
2011-11-13 - 2011-11-19,16
2011-11-20 - 2011-11-26,19
2011-11-27 - 2011-12-03,19
2011-12-04 - 2011-12-10,18
2011-12-11 - 2011-12-17,17
2011-12-18 - 2011-12-24,27
2011-12-25 - 2011-12-31,30
2012-01-01 - 2012-01-07,27
2012-01-08 - 2012-01-14,26
2012-01-15 - 2012-01-21,25
2012-01-22 - 2012-01-28,27
2012-01-29 - 2012-02-04,24
2012-02-05 - 2012-02-11,24
2012-02-12 - 2012-02-18,24
2012-02-19 - 2012-02-25,24
2012-02-26 - 2012-03-03,25
2012-03-04 - 2012-03-10,25
2012-03-11 - 2012-03-17,24
2012-03-18 - 2012-03-24,25
2012-03-25 - 2012-03-31,24
2012-04-01 - 2012-04-07,24
2012-04-08 - 2012-04-14,27
2012-04-15 - 2012-04-21,28
2012-04-22 - 2012-04-28,26
2012-04-29 - 2012-05-05,27
2012-05-06 - 2012-05-12,28
2012-05-13 - 2012-05-19,26
2012-05-20 - 2012-05-26,25
2012-05-27 - 2012-06-02,23
2012-06-03 - 2012-06-09,24
2012-06-10 - 2012-06-16,27
2012-06-17 - 2012-06-23,24
2012-06-24 - 2012-06-30,23
2012-07-01 - 2012-07-07,22
2012-07-08 - 2012-07-14,22
2012-07-15 - 2012-07-21,23
2012-07-22 - 2012-07-28,21
2012-07-29 - 2012-08-04,22
2012-08-05 - 2012-08-11,23
2012-08-12 - 2012-08-18,22
2012-08-19 - 2012-08-25,22
2012-08-26 - 2012-09-01,20
2012-09-02 - 2012-09-08,21
2012-09-09 - 2012-09-15,22
2012-09-16 - 2012-09-22,22
2012-09-23 - 2012-09-29,30
2012-09-30 - 2012-10-06,35
2012-10-07 - 2012-10-13,34
2012-10-14 - 2012-10-20,32
2012-10-21 - 2012-10-27,40
2012-10-28 - 2012-11-03,47
2012-11-04 - 2012-11-10,57
2012-11-11 - 2012-11-17,69
2012-11-18 - 2012-11-24,63
2012-11-25 - 2012-12-01,61
2012-12-02 - 2012-12-08,59
2012-12-09 - 2012-12-15,54
2012-12-16 - 2012-12-22,65
2012-12-23 - 2012-12-29,66
2012-12-30 - 2013-01-05,58
2013-01-06 - 2013-01-12,59
2013-01-13 - 2013-01-19,59
2013-01-20 - 2013-01-26,54
2013-01-27 - 2013-02-02,56
2013-02-03 - 2013-02-09,54
2013-02-10 - 2013-02-16,59
2013-02-17 - 2013-02-23,55
2013-02-24 - 2013-03-02,58
2013-03-03 - 2013-03-09,53
2013-03-10 - 2013-03-16,49
2013-03-17 - 2013-03-23,44
2013-03-24 - 2013-03-30,44
2013-03-31 - 2013-04-06,36
2013-04-07 - 2013-04-13,34
2013-04-14 - 2013-04-20,35
2013-04-21 - 2013-04-27,34
2013-04-28 - 2013-05-04,32
2013-05-05 - 2013-05-11,31
2013-05-12 - 2013-05-18,35
2013-05-19 - 2013-05-25,36
2013-05-26 - 2013-06-01,30
2013-06-02 - 2013-06-08,29
2013-06-09 - 2013-06-15,27
2013-06-16 - 2013-06-22,28
2013-06-23 - 2013-06-29,30
2013-06-30 - 2013-07-06,27
2013-07-07 - 2013-07-13,26
2013-07-14 - 2013-07-20,28
2013-07-21 - 2013-07-27,29
2013-07-28 - 2013-08-03,30
2013-08-04 - 2013-08-10,25
2013-08-11 - 2013-08-17,23
2013-08-18 - 2013-08-24,31
2013-08-25 - 2013-08-31,30
2013-09-01 - 2013-09-07,36
2013-09-08 - 2013-09-14,46
2013-09-15 - 2013-09-21,43
2013-09-22 - 2013-09-28,40
2013-09-29 - 2013-10-05,35
2013-10-06 - 2013-10-12,29
2013-10-13 - 2013-10-19,26
2013-10-20 - 2013-10-26,24
2013-10-27 - 2013-11-02,24
2013-11-03 - 2013-11-09,23
2013-11-10 - 2013-11-16,23
2013-11-17 - 2013-11-23,26
2013-11-24 - 2013-11-30,20
2013-12-01 - 2013-12-07,21
2013-12-08 - 2013-12-14,20
2013-12-15 - 2013-12-21,17
2013-12-22 - 2013-12-28,17
2013-12-29 - 2014-01-04,16
2014-01-05 - 2014-01-11,17
2014-01-12 - 2014-01-18,17
2014-01-19 - 2014-01-25,15
2014-01-26 - 2014-02-01,16
2014-02-02 - 2014-02-08,15
2014-02-09 - 2014-02-15,16
2014-02-16 - 2014-02-22,50
2014-02-23 - 2014-03-01,48
2014-03-02 - 2014-03-08,44
2014-03-09 - 2014-03-15,44
2014-03-16 - 2014-03-22,44
2014-03-23 - 2014-03-29,39
2014-03-30 - 2014-04-05,41
2014-04-06 - 2014-04-12,41
2014-04-13 - 2014-04-19,38
2014-04-20 - 2014-04-26,41
2014-04-27 - 2014-05-03,42
2014-05-04 - 2014-05-10,38
2014-05-11 - 2014-05-17,36
2014-05-18 - 2014-05-24,33
2014-05-25 - 2014-05-31,34
2014-06-01 - 2014-06-07,31
2014-06-08 - 2014-06-14,27
2014-06-15 - 2014-06-21,29
2014-06-22 - 2014-06-28,36
2014-06-29 - 2014-07-05,35
2014-07-06 - 2014-07-12,30
2014-07-13 - 2014-07-19,29
2014-07-20 - 2014-07-26,35
2014-07-27 - 2014-08-02,33
2014-08-03 - 2014-08-09,34
2014-08-10 - 2014-08-16,31
2014-08-17 - 2014-08-23,36
2014-08-24 - 2014-08-30,40
2014-08-31 - 2014-09-06,38
2014-09-07 - 2014-09-13,39
2014-09-14 - 2014-09-20,40
2014-09-21 - 2014-09-27,39
2014-09-28 - 2014-10-04,42
2014-10-05 - 2014-10-11,42
2014-10-12 - 2014-10-18,41
2014-10-19 - 2014-10-25,44
2014-10-26 - 2014-11-01,40
2014-11-02 - 2014-11-08,41
2014-11-09 - 2014-11-15,42
2014-11-16 - 2014-11-22,41
2014-11-23 - 2014-11-29,44
2014-11-30 - 2014-12-06,42
2014-12-07 - 2014-12-13,44
2014-12-14 - 2014-12-20,40
2014-12-21 - 2014-12-27,46
2014-12-28 - 2015-01-03,42
2015-01-04 - 2015-01-10,43
2015-01-11 - 2015-01-17,43
2015-01-18 - 2015-01-24,52
2015-01-25 - 2015-01-31,53
2015-02-01 - 2015-02-07,55
2015-02-08 - 2015-02-14,68
2015-02-15 - 2015-02-21,85
2015-02-22 - 2015-02-28,86
2015-03-01 - 2015-03-07,78
2015-03-08 - 2015-03-14,75
2015-03-15 - 2015-03-21,74
2015-03-22 - 2015-03-28,77
2015-03-29 - 2015-04-04,74
2015-04-05 - 2015-04-11,78
2015-04-12 - 2015-04-18,78
2015-04-19 - 2015-04-25,77
2015-04-26 - 2015-05-02,67
2015-05-03 - 2015-05-09,70
2015-05-10 - 2015-05-16,66
2015-05-17 - 2015-05-23,60
2015-05-24 - 2015-05-30,85
2015-05-31 - 2015-06-06,87
2015-06-07 - 2015-06-13,89
2015-06-14 - 2015-06-20,82
2015-06-21 - 2015-06-27,93
2015-06-28 - 2015-07-04,100
2015-07-05 - 2015-07-11,91
2015-07-12 - 2015-07-18,83
2015-07-19 - 2015-07-25,80
2015-07-26 - 2015-08-01,74


Top sub-regions for the weeknd
Sub-region,the weeknd
Rhode Island,100
Arizona,86
New York,85
Florida,80
North Carolina,79
Maryland,78
Texas,77
Georgia,76
New Jersey,74
Louisiana,73
California,73
Illinois,72
Nevada,72
Delaware,70
South Carolina,69
Massachusetts,68
New Mexico,68
Pennsylvania,66
Connecticut,66
Mississippi,63
Michigan,63
Ohio,60
Indiana,60
Alabama,60
South Dakota,58
Tennessee,55
Iowa,55
Kansas,55
Arkansas,54
Colorado,53
Washington,53
Minnesota,53
Wisconsin,51
Oklahoma,51
Nebraska,50
North Dakota,49
Kentucky,48
Missouri,48
West Virginia,46
Oregon,45
Hawaii,43
District of Columbia,43
Virginia,42
Idaho,39
New Hampshire,37
Montana,35
Vermont,34
Utah,33
Maine,33
Wyoming,32
Alaska,27


Top metros for the weeknd
Metro,the weeknd
Yakima-Pasco-Richland-Kennewick WA,100
Tallahassee FL-Thomasville GA,98
Providence RI-New Bedford MA,95
Greenville-New Bern-Washington NC,88
New York NY,86
Los Angeles CA,82
Fresno-Visalia CA,82
Tucson (Sierra Vista) AZ,80
Miami-Ft. Lauderdale FL,80
Monterey-Salinas CA,79
Phoenix AZ,78
Bakersfield CA,77
Norfolk-Portsmouth-Newport News VA,76
El Paso TX,76
Waco-Temple-Bryan TX,76
Raleigh-Durham (Fayetteville) NC,75
Santa Barbara-Santa Maria-San Luis Obispo CA,74
Orlando-Daytona Beach-Melbourne FL,74
Chicago IL,74
Houston TX,74
Savannah GA,74
Greensboro-High Point-Winston Salem NC,72
Richmond-Petersburg VA,72
Columbia SC,72
Memphis TN,72
Ft. Myers-Naples FL,71
Las Vegas NV,71
San Antonio TX,70
Sacramento-Stockton-Modesto CA,69
Philadelphia PA,68
Tampa-St. Petersburg (Sarasota) FL,67
Milwaukee WI,67
San Diego CA,67
New Orleans LA,66
Charlotte NC,66
Springfield-Holyoke MA,66
Cleveland-Akron (Canton) OH,64
Atlanta GA,63
Rochester NY,62
Jacksonville FL,62
Dallas-Ft. Worth TX,62
Albuquerque-Santa Fe NM,61
Harlingen-Weslaco-Brownsville-McAllen TX,61
Buffalo NY,61
Toledo OH,61
West Palm Beach-Ft. Pierce FL,59
Hartford & New Haven CT,58
Nashville TN,58
Wichita-Hutchinson KS,58
Boston MA-Manchester NH,58
Baltimore MD,57
Grand Rapids-Kalamazoo-Battle Creek MI,57
Omaha NE,57
Detroit MI,56
Birmingham AL,56
Columbus OH,56
Little Rock-Pine Bluff AR,55
Mobile AL-Pensacola (Ft. Walton Beach) FL,54
Indianapolis IN,54
Flint-Saginaw-Bay City MI,54
Austin TX,54
Harrisburg-Lancaster-Lebanon-York PA,54
Syracuse NY,53
Roanoke-Lynchburg VA,53
Pittsburgh PA,53
Denver CO,52
Albany-Schenectady-Troy NY,52
Colorado Springs-Pueblo CO,51
Des Moines-Ames IA,51
Lexington KY,51
Oklahoma City OK,51
Seattle-Tacoma WA,49
Greenville-Spartanburg SC-Asheville NC-Anderson SC,49
Wilkes Barre-Scranton PA,48
St. Louis MO,47
Dayton OH,47
Kansas City MO,47
Minneapolis-St. Paul MN,46
Cincinnati OH,45
Tulsa OK,44
Portland OR,43
Honolulu HI,42
Louisville KY,40
Washington DC (Hagerstown MD),40
San Francisco-Oakland-San Jose CA,39
Salt Lake City UT,30
Portland-Auburn ME,0
Binghamton NY,0
Macon GA,0
Ft. Wayne IN,0
Erie PA,0
Charleston SC,0
Augusta GA,0
Columbus GA,0
Burlington VT-Plattsburgh NY,0
Albany GA,0
Utica NY,0
Tri-Cities TN-VA,0
Youngstown OH,0
Bangor ME,0
Traverse City-Cadillac MI,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Springfield MO,0
Sioux City IA,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Lubbock TX,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Madison WI,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Davenport IA-Rock Island-Moline IL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Chico-Redding CA,0
Spokane WA,0


Top cities for the weeknd
Town/City,the weeknd
New York,100
Tucson,93
Houston,83
Philadelphia,81
San Antonio,77
Charlotte,71
Los Angeles,66
Chicago,65
San Diego,65
Phoenix,65
San Jose,63
Boston,60
Las Vegas,59
Columbus,58
Austin,52



Top searches for the weeknd
the weeknd lyrics,100
drake,60
the weeknd drake,60
the weeknd wicked,50
wicked games,50
or nah,50
weeknd earned it,40
earned it,40
wiz khalifa,40
the weekend,35
weekend,35
the weeknd remix,30
weeknd often,25
the weeknd often,25
often,25
weeknd the zone,20
the zone,20
the weeknd morning,20
frank ocean,15
the weeknd live,15
the hills weeknd,10
the hills,10
what you need,10
next the weeknd,10
or nah remix,10
the weeknd cover,10
juicy j,10
drake crew love,10
the weeknd material,10
remember me,10
the weeknd instrumental,5
the weeknd gone,5
the weeknd enemy,5
trust issues drake,5
pretty the weeknd,5
thursday the weeknd,5
outside the weeknd,5



Rising searches for the weeknd
drake,Breakout
earned it,Breakout
or nah,Breakout
the weekend,Breakout
the weeknd drake,Breakout
the weeknd lyrics,Breakout
the weeknd often,Breakout
the weeknd remix,Breakout
the weeknd wicked,Breakout
weekend,Breakout



