YouTube Search interest: avenged sevenfold
United States; Jan 2008 - Jul 2015

Interest over time
Week,avenged sevenfold
2013-12-01 - 2013-12-07,38
2013-12-08 - 2013-12-14,36
2013-12-15 - 2013-12-21,38
2013-12-22 - 2013-12-28,35
2013-12-29 - 2014-01-04,32
2014-01-05 - 2014-01-11,35
2014-01-12 - 2014-01-18,34
2014-01-19 - 2014-01-25,34
2014-01-26 - 2014-02-01,34
2014-02-02 - 2014-02-08,32
2014-02-09 - 2014-02-15,32
2014-02-16 - 2014-02-22,32
2014-02-23 - 2014-03-01,34
2014-03-02 - 2014-03-08,32
2014-03-09 - 2014-03-15,35
2014-03-16 - 2014-03-22,30
2014-03-23 - 2014-03-29,32
2014-03-30 - 2014-04-05,32
2014-04-06 - 2014-04-12,32
2014-04-13 - 2014-04-19,33
2014-04-20 - 2014-04-26,32
2014-04-27 - 2014-05-03,32
2014-05-04 - 2014-05-10,33
2014-05-11 - 2014-05-17,31
2014-05-18 - 2014-05-24,30
2014-05-25 - 2014-05-31,29
2014-06-01 - 2014-06-07,28
2014-06-08 - 2014-06-14,31
2014-06-15 - 2014-06-21,31
2014-06-22 - 2014-06-28,29
2014-06-29 - 2014-07-05,29
2014-07-06 - 2014-07-12,30
2014-07-13 - 2014-07-19,30
2014-07-20 - 2014-07-26,28
2014-07-27 - 2014-08-02,30
2014-08-03 - 2014-08-09,29
2014-08-10 - 2014-08-16,29
2014-08-17 - 2014-08-23,29
2014-08-24 - 2014-08-30,33
2014-08-31 - 2014-09-06,31
2014-09-07 - 2014-09-13,29
2014-09-14 - 2014-09-20,29
2014-09-21 - 2014-09-27,29
2014-09-28 - 2014-10-04,28
2014-10-05 - 2014-10-11,29
2014-10-12 - 2014-10-18,29
2014-10-19 - 2014-10-25,29
2014-10-26 - 2014-11-01,27
2014-11-02 - 2014-11-08,28
2014-11-09 - 2014-11-15,24
2014-11-16 - 2014-11-22,25
2014-11-23 - 2014-11-29,24
2014-11-30 - 2014-12-06,24
2014-12-07 - 2014-12-13,24
2014-12-14 - 2014-12-20,24
2014-12-21 - 2014-12-27,20
2014-12-28 - 2015-01-03,22
2015-01-04 - 2015-01-10,22
2015-01-11 - 2015-01-17,24
2015-01-18 - 2015-01-24,23
2015-01-25 - 2015-01-31,23
2015-02-01 - 2015-02-07,22
2015-02-08 - 2015-02-14,24
2015-02-15 - 2015-02-21,22
2015-02-22 - 2015-02-28,22
2015-03-01 - 2015-03-07,22
2015-03-08 - 2015-03-14,23
2015-03-15 - 2015-03-21,25
2015-03-22 - 2015-03-28,24
2015-03-29 - 2015-04-04,24
2015-04-05 - 2015-04-11,22
2015-04-12 - 2015-04-18,25
2015-04-19 - 2015-04-25,22
2015-04-26 - 2015-05-02,23
2015-05-03 - 2015-05-09,23
2015-05-10 - 2015-05-16,21
2015-05-17 - 2015-05-23,23
2015-05-24 - 2015-05-30,21
2015-05-31 - 2015-06-06,23
2015-06-07 - 2015-06-13,22
2015-06-14 - 2015-06-20,19
2015-06-21 - 2015-06-27,21
2015-06-28 - 2015-07-04,21
2015-07-05 - 2015-07-11,17
2015-07-12 - 2015-07-18,19
2015-07-19 - 2015-07-25,19
2015-07-26 - 2015-08-01,19


Top sub-regions for avenged sevenfold
Sub-region,avenged sevenfold
North Dakota,100
West Virginia,99
South Dakota,93
Wyoming,91
Kentucky,88
Maine,82
Ohio,80
Montana,79
New Mexico,79
Iowa,78
Oklahoma,77
Indiana,74
Wisconsin,74
Nebraska,73
Michigan,72
Missouri,72
Idaho,72
Tennessee,69
Arkansas,67
Colorado,64
Kansas,64
Minnesota,63
Alabama,62
Arizona,60
Alaska,59
Pennsylvania,59
South Carolina,58
North Carolina,57
New Hampshire,55
Nevada,53
Texas,53
Illinois,53
Mississippi,52
Louisiana,52
Utah,52
Washington,51
Georgia,50
Vermont,48
Florida,48
Connecticut,43
Virginia,40
Rhode Island,40
Oregon,40
California,39
Maryland,38
Delaware,37
New York,37
Massachusetts,37
New Jersey,37
District of Columbia,26
Hawaii,20


Top metros for avenged sevenfold
Metro,avenged sevenfold
Charleston-Huntington WV,100
Tri-Cities TN-VA,96
Minot-Bismarck-Dickinson(Williston) ND,95
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,88
Fargo-Valley City ND,87
La Crosse-Eau Claire WI,84
Evansville IN,83
Flint-Saginaw-Bay City MI,83
Dayton OH,83
Ft. Wayne IN,82
Corpus Christi TX,82
Wilkes Barre-Scranton PA,82
Peoria-Bloomington IL,81
Wausau-Rhinelander WI,80
Lexington KY,75
Davenport IA-Rock Island-Moline IL,74
Albuquerque-Santa Fe NM,73
Colorado Springs-Pueblo CO,72
Knoxville TN,72
Green Bay-Appleton WI,71
Oklahoma City OK,69
St. Louis MO,68
Harrisburg-Lancaster-Lebanon-York PA,67
Grand Rapids-Kalamazoo-Battle Creek MI,67
Little Rock-Pine Bluff AR,67
El Paso TX,66
Sioux Falls(Mitchell) SD,66
Cincinnati OH,64
Pittsburgh PA,64
Toledo OH,63
Greenville-Spartanburg SC-Asheville NC-Anderson SC,62
Portland-Auburn ME,62
Lincoln & Hastings-Kearney NE,62
Boise ID,62
Indianapolis IN,62
Springfield MO,61
Johnstown-Altoona PA,60
Huntsville-Decatur (Florence) AL,60
Wichita-Hutchinson KS,60
Champaign & Springfield-Decatur IL,60
Des Moines-Ames IA,59
Spokane WA,59
Columbus OH,59
Anchorage AK,59
Madison WI,58
Louisville KY,58
Chattanooga TN,58
Burlington VT-Plattsburgh NY,57
Albany-Schenectady-Troy NY,57
Omaha NE,56
South Bend-Elkhart IN,56
Lansing MI,55
Ft. Myers-Naples FL,55
Birmingham AL,54
Mobile AL-Pensacola (Ft. Walton Beach) FL,54
Syracuse NY,54
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,54
Cleveland-Akron (Canton) OH,54
Nashville TN,53
Greenville-New Bern-Washington NC,53
Bakersfield CA,53
Buffalo NY,52
Kansas City MO,52
Reno NV,52
Eugene OR,52
Tulsa OK,50
Greensboro-High Point-Winston Salem NC,50
Minneapolis-St. Paul MN,50
Tyler-Longview(Lufkin & Nacogdoches) TX,50
Denver CO,50
Detroit MI,49
Charlotte NC,49
Roanoke-Lynchburg VA,49
Phoenix AZ,49
Harlingen-Weslaco-Brownsville-McAllen TX,48
Shreveport LA,48
Waco-Temple-Bryan TX,46
San Antonio TX,45
Fresno-Visalia CA,45
Tampa-St. Petersburg (Sarasota) FL,44
Milwaukee WI,44
Las Vegas NV,43
Salt Lake City UT,43
Hartford & New Haven CT,43
Savannah GA,43
Orlando-Daytona Beach-Melbourne FL,42
Chicago IL,42
Tucson (Sierra Vista) AZ,42
Seattle-Tacoma WA,40
Atlanta GA,40
Rochester NY,40
Raleigh-Durham (Fayetteville) NC,38
Springfield-Holyoke MA,38
Baltimore MD,37
Columbia SC,37
Norfolk-Portsmouth-Newport News VA,37
Dallas-Ft. Worth TX,37
New Orleans LA,37
Sacramento-Stockton-Modesto CA,36
Memphis TN,36
Houston TX,35
Los Angeles CA,35
Providence RI-New Bedford MA,35
Jacksonville FL,35
Philadelphia PA,34
Jackson MS,34
Boston MA-Manchester NH,34
Portland OR,32
Washington DC (Hagerstown MD),31
San Diego CA,31
Richmond-Petersburg VA,30
West Palm Beach-Ft. Pierce FL,30
Austin TX,28
New York NY,25
Miami-Ft. Lauderdale FL,23
Honolulu HI,21
San Francisco-Oakland-San Jose CA,20
Binghamton NY,0
Macon GA,0
Erie PA,0
Charleston SC,0
Augusta GA,0
Columbus GA,0
Albany GA,0
Utica NY,0
Tallahassee FL-Thomasville GA,0
Youngstown OH,0
Bangor ME,0
Traverse City-Cadillac MI,0
Watertown NY,0
Wilmington NC,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Elmira NY,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Sioux City IA,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Odessa-Midland TX,0
Amarillo TX,0
St. Joseph MO,0
Jackson TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Lubbock TX,0
Panama City FL,0
Sherman TX-Ada OK,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Columbus-Tupelo-West Point MS,0
Duluth MN-Superior WI,0
Beaumont-Port Arthur TX,0
Montgomery (Selma) AL,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Chico-Redding CA,0


Top cities for avenged sevenfold
Town/City,avenged sevenfold
St. Louis,100
Oklahoma City,99
Phoenix,87
Columbus,87
Herndon,80
Denver,79
San Antonio,77
Las Vegas,72
Richardson,70
Orlando,70
Los Angeles,65
Tampa,64
Dallas,59
Atlanta,57
Houston,57



Top searches for avenged sevenfold
avenged sevenfold nightmare,100
nightmare,100
avenged sevenfold lyrics,95
avenged sevenfold afterlife,60
afterlife,60
avenged sevenfold live,55
avenged sevenfold heaven,50
so far away,50
bat country,35
dear god,30
seize the day,30
avenged sevenfold cover,30
scream avenged sevenfold,25
scream,25
almost easy,25
buried alive,20
unholy confessions,20
new avenged sevenfold,15
disturbed,15
slipknot,15
avenged sevenfold album,15
critical acclaim,15
avenged sevenfold gunslinger,10
gunslinger,10
three days grace,10
a7x,10
lost avenged sevenfold,10
avenged sevenfold walk,10
avenged sevenfold lbc,10
fiction avenged sevenfold,10
fiction,10
breaking benjamin,10
save me,5
papa roach,5
avenged sevenfold mia,5
the rev,5
seether,5
avenged sevenfold acoustic,5
atreyu,5
avenged sevenfold interview,5
escape the fate,5
second heartbeat,5
pantera,5
all that remains,5
synyster gates,5
black veil brides,5
killswitch engage,5



Rising searches for avenged sevenfold
avenged sevenfold nightmare,Breakout
buried alive,Breakout
nightmare,Breakout
so far away,Breakout
avenged sevenfold lyrics,+2,850%
avenged sevenfold afterlife,+400%
afterlife,+350%
avenged sevenfold heaven,+250%
dear god,+200%
seize the day,+200%



