YouTube Search interest: george strait
United States; Jan 2008 - Jul 2015

Interest over time
Week,george strait
2011-03-20 - 2011-03-26,52
2011-03-27 - 2011-04-02,53
2011-04-03 - 2011-04-09,53
2011-04-10 - 2011-04-16,65
2011-04-17 - 2011-04-23,54
2011-04-24 - 2011-04-30,53
2011-05-01 - 2011-05-07,50
2011-05-08 - 2011-05-14,51
2011-05-15 - 2011-05-21,52
2011-05-22 - 2011-05-28,60
2011-05-29 - 2011-06-04,50
2011-06-05 - 2011-06-11,53
2011-06-12 - 2011-06-18,55
2011-06-19 - 2011-06-25,56
2011-06-26 - 2011-07-02,60
2011-07-03 - 2011-07-09,59
2011-07-10 - 2011-07-16,60
2011-07-17 - 2011-07-23,62
2011-07-24 - 2011-07-30,61
2011-07-31 - 2011-08-06,68
2011-08-07 - 2011-08-13,58
2011-08-14 - 2011-08-20,63
2011-08-21 - 2011-08-27,62
2011-08-28 - 2011-09-03,63
2011-09-04 - 2011-09-10,67
2011-09-11 - 2011-09-17,70
2011-09-18 - 2011-09-24,61
2011-09-25 - 2011-10-01,63
2011-10-02 - 2011-10-08,62
2011-10-09 - 2011-10-15,58
2011-10-16 - 2011-10-22,64
2011-10-23 - 2011-10-29,60
2011-10-30 - 2011-11-05,61
2011-11-06 - 2011-11-12,57
2011-11-13 - 2011-11-19,57
2011-11-20 - 2011-11-26,52
2011-11-27 - 2011-12-03,53
2011-12-04 - 2011-12-10,52
2011-12-11 - 2011-12-17,56
2011-12-18 - 2011-12-24,55
2011-12-25 - 2011-12-31,54
2012-01-01 - 2012-01-07,50
2012-01-08 - 2012-01-14,50
2012-01-15 - 2012-01-21,54
2012-01-22 - 2012-01-28,56
2012-01-29 - 2012-02-04,56
2012-02-05 - 2012-02-11,52
2012-02-12 - 2012-02-18,53
2012-02-19 - 2012-02-25,51
2012-02-26 - 2012-03-03,51
2012-03-04 - 2012-03-10,52
2012-03-11 - 2012-03-17,48
2012-03-18 - 2012-03-24,49
2012-03-25 - 2012-03-31,48
2012-04-01 - 2012-04-07,46
2012-04-08 - 2012-04-14,45
2012-04-15 - 2012-04-21,46
2012-04-22 - 2012-04-28,45
2012-04-29 - 2012-05-05,46
2012-05-06 - 2012-05-12,45
2012-05-13 - 2012-05-19,51
2012-05-20 - 2012-05-26,49
2012-05-27 - 2012-06-02,48
2012-06-03 - 2012-06-09,45
2012-06-10 - 2012-06-16,47
2012-06-17 - 2012-06-23,45
2012-06-24 - 2012-06-30,40
2012-07-01 - 2012-07-07,43
2012-07-08 - 2012-07-14,41
2012-07-15 - 2012-07-21,46
2012-07-22 - 2012-07-28,40
2012-07-29 - 2012-08-04,42
2012-08-05 - 2012-08-11,40
2012-08-12 - 2012-08-18,45
2012-08-19 - 2012-08-25,42
2012-08-26 - 2012-09-01,45
2012-09-02 - 2012-09-08,39
2012-09-09 - 2012-09-15,43
2012-09-16 - 2012-09-22,39
2012-09-23 - 2012-09-29,47
2012-09-30 - 2012-10-06,40
2012-10-07 - 2012-10-13,43
2012-10-14 - 2012-10-20,47
2012-10-21 - 2012-10-27,42
2012-10-28 - 2012-11-03,42
2012-11-04 - 2012-11-10,47
2012-11-11 - 2012-11-17,44
2012-11-18 - 2012-11-24,46
2012-11-25 - 2012-12-01,48
2012-12-02 - 2012-12-08,49
2012-12-09 - 2012-12-15,46
2012-12-16 - 2012-12-22,53
2012-12-23 - 2012-12-29,47
2012-12-30 - 2013-01-05,50
2013-01-06 - 2013-01-12,56
2013-01-13 - 2013-01-19,56
2013-01-20 - 2013-01-26,58
2013-01-27 - 2013-02-02,62
2013-02-03 - 2013-02-09,61
2013-02-10 - 2013-02-16,61
2013-02-17 - 2013-02-23,61
2013-02-24 - 2013-03-02,69
2013-03-03 - 2013-03-09,65
2013-03-10 - 2013-03-16,64
2013-03-17 - 2013-03-23,72
2013-03-24 - 2013-03-30,62
2013-03-31 - 2013-04-06,64
2013-04-07 - 2013-04-13,100
2013-04-14 - 2013-04-20,76
2013-04-21 - 2013-04-27,74
2013-04-28 - 2013-05-04,75
2013-05-05 - 2013-05-11,73
2013-05-12 - 2013-05-18,88
2013-05-19 - 2013-05-25,76
2013-05-26 - 2013-06-01,64
2013-06-02 - 2013-06-08,68
2013-06-09 - 2013-06-15,54
2013-06-16 - 2013-06-22,47
2013-06-23 - 2013-06-29,45
2013-06-30 - 2013-07-06,49
2013-07-07 - 2013-07-13,51
2013-07-14 - 2013-07-20,46
2013-07-21 - 2013-07-27,44
2013-07-28 - 2013-08-03,47
2013-08-04 - 2013-08-10,41
2013-08-11 - 2013-08-17,46
2013-08-18 - 2013-08-24,46
2013-08-25 - 2013-08-31,41
2013-09-01 - 2013-09-07,44
2013-09-08 - 2013-09-14,49
2013-09-15 - 2013-09-21,44
2013-09-22 - 2013-09-28,47
2013-09-29 - 2013-10-05,42
2013-10-06 - 2013-10-12,42
2013-10-13 - 2013-10-19,42
2013-10-20 - 2013-10-26,43
2013-10-27 - 2013-11-02,44
2013-11-03 - 2013-11-09,78
2013-11-10 - 2013-11-16,57
2013-11-17 - 2013-11-23,55
2013-11-24 - 2013-11-30,41
2013-12-01 - 2013-12-07,48
2013-12-08 - 2013-12-14,44
2013-12-15 - 2013-12-21,46
2013-12-22 - 2013-12-28,44
2013-12-29 - 2014-01-04,41
2014-01-05 - 2014-01-11,43
2014-01-12 - 2014-01-18,45
2014-01-19 - 2014-01-25,48
2014-01-26 - 2014-02-01,44
2014-02-02 - 2014-02-08,47
2014-02-09 - 2014-02-15,54
2014-02-16 - 2014-02-22,43
2014-02-23 - 2014-03-01,49
2014-03-02 - 2014-03-08,49
2014-03-09 - 2014-03-15,48
2014-03-16 - 2014-03-22,47
2014-03-23 - 2014-03-29,50
2014-03-30 - 2014-04-05,49
2014-04-06 - 2014-04-12,78
2014-04-13 - 2014-04-19,53
2014-04-20 - 2014-04-26,53
2014-04-27 - 2014-05-03,56
2014-05-04 - 2014-05-10,54
2014-05-11 - 2014-05-17,52
2014-05-18 - 2014-05-24,55
2014-05-25 - 2014-05-31,53
2014-06-01 - 2014-06-07,56
2014-06-08 - 2014-06-14,73
2014-06-15 - 2014-06-21,55
2014-06-22 - 2014-06-28,51
2014-06-29 - 2014-07-05,48
2014-07-06 - 2014-07-12,44
2014-07-13 - 2014-07-19,49
2014-07-20 - 2014-07-26,48
2014-07-27 - 2014-08-02,46
2014-08-03 - 2014-08-09,45
2014-08-10 - 2014-08-16,39
2014-08-17 - 2014-08-23,45
2014-08-24 - 2014-08-30,49
2014-08-31 - 2014-09-06,53
2014-09-07 - 2014-09-13,46
2014-09-14 - 2014-09-20,47
2014-09-21 - 2014-09-27,45
2014-09-28 - 2014-10-04,44
2014-10-05 - 2014-10-11,41
2014-10-12 - 2014-10-18,48
2014-10-19 - 2014-10-25,38
2014-10-26 - 2014-11-01,42
2014-11-02 - 2014-11-08,54
2014-11-09 - 2014-11-15,43
2014-11-16 - 2014-11-22,43
2014-11-23 - 2014-11-29,38
2014-11-30 - 2014-12-06,35
2014-12-07 - 2014-12-13,44
2014-12-14 - 2014-12-20,41
2014-12-21 - 2014-12-27,40
2014-12-28 - 2015-01-03,33
2015-01-04 - 2015-01-10,34
2015-01-11 - 2015-01-17,35
2015-01-18 - 2015-01-24,36
2015-01-25 - 2015-01-31,36
2015-02-01 - 2015-02-07,38
2015-02-08 - 2015-02-14,37
2015-02-15 - 2015-02-21,34
2015-02-22 - 2015-02-28,40
2015-03-01 - 2015-03-07,42
2015-03-08 - 2015-03-14,38
2015-03-15 - 2015-03-21,33
2015-03-22 - 2015-03-28,37
2015-03-29 - 2015-04-04,36
2015-04-05 - 2015-04-11,36
2015-04-12 - 2015-04-18,36
2015-04-19 - 2015-04-25,49
2015-04-26 - 2015-05-02,42
2015-05-03 - 2015-05-09,41
2015-05-10 - 2015-05-16,41
2015-05-17 - 2015-05-23,39
2015-05-24 - 2015-05-30,35
2015-05-31 - 2015-06-06,35
2015-06-07 - 2015-06-13,34
2015-06-14 - 2015-06-20,38
2015-06-21 - 2015-06-27,38
2015-06-28 - 2015-07-04,37
2015-07-05 - 2015-07-11,29
2015-07-12 - 2015-07-18,35
2015-07-19 - 2015-07-25,36
2015-07-26 - 2015-08-01,37


Top sub-regions for george strait
Sub-region,george strait
North Dakota,100
New Mexico,96
South Dakota,95
Montana,83
Wyoming,82
West Virginia,81
Texas,76
Oklahoma,75
Kentucky,73
Arkansas,66
Tennessee,59
Kansas,58
Iowa,58
Nebraska,57
Alabama,55
Missouri,53
Louisiana,53
Mississippi,53
Idaho,50
South Carolina,47
Arizona,46
North Carolina,45
Indiana,44
Colorado,42
Ohio,42
Maine,40
Utah,39
Vermont,36
Georgia,35
Wisconsin,35
Minnesota,33
Michigan,29
Pennsylvania,27
Alaska,27
Florida,27
Oregon,24
Washington,24
New Hampshire,24
Illinois,22
Delaware,21
Virginia,21
Nevada,20
District of Columbia,18
Hawaii,18
Maryland,18
California,13
Massachusetts,13
Rhode Island,13
New York,13
Connecticut,13
New Jersey,11


Top metros for george strait
Metro,george strait
Corpus Christi TX,100
Minot-Bismarck-Dickinson(Williston) ND,82
Tyler-Longview(Lufkin & Nacogdoches) TX,76
San Antonio TX,64
Fargo-Valley City ND,63
Lexington KY,62
Waco-Temple-Bryan TX,62
Albuquerque-Santa Fe NM,60
Shreveport LA,57
Charleston-Huntington WV,56
Wichita-Hutchinson KS,54
Tri-Cities TN-VA,54
Sioux Falls(Mitchell) SD,52
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,50
Springfield MO,50
Chattanooga TN,49
Harlingen-Weslaco-Brownsville-McAllen TX,49
Austin TX,47
Oklahoma City OK,45
Lincoln & Hastings-Kearney NE,45
Little Rock-Pine Bluff AR,45
Knoxville TN,45
El Paso TX,42
Tulsa OK,42
Houston TX,41
Greenville-New Bern-Washington NC,41
Des Moines-Ames IA,40
Roanoke-Lynchburg VA,40
Louisville KY,39
Huntsville-Decatur (Florence) AL,37
Kansas City MO,36
Nashville TN,36
Dayton OH,36
Jackson MS,36
Colorado Springs-Pueblo CO,35
Greenville-Spartanburg SC-Asheville NC-Anderson SC,35
Birmingham AL,35
Champaign & Springfield-Decatur IL,35
Boise ID,34
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,34
Mobile AL-Pensacola (Ft. Walton Beach) FL,33
Tucson (Sierra Vista) AZ,33
Dallas-Ft. Worth TX,33
Omaha NE,29
Phoenix AZ,29
Cincinnati OH,29
Flint-Saginaw-Bay City MI,29
Indianapolis IN,29
Charlotte NC,28
Greensboro-High Point-Winston Salem NC,28
Spokane WA,27
New Orleans LA,27
Pittsburgh PA,27
Columbus OH,27
Salt Lake City UT,27
Jacksonville FL,27
Memphis TN,26
Denver CO,25
Albany-Schenectady-Troy NY,24
Portland-Auburn ME,24
Wilkes Barre-Scranton PA,24
Madison WI,24
Harrisburg-Lancaster-Lebanon-York PA,24
Grand Rapids-Kalamazoo-Battle Creek MI,24
Raleigh-Durham (Fayetteville) NC,23
St. Louis MO,23
Cleveland-Akron (Canton) OH,23
Minneapolis-St. Paul MN,22
Buffalo NY,21
Atlanta GA,21
Fresno-Visalia CA,20
Tampa-St. Petersburg (Sarasota) FL,19
Norfolk-Portsmouth-Newport News VA,18
Orlando-Daytona Beach-Melbourne FL,18
Sacramento-Stockton-Modesto CA,17
West Palm Beach-Ft. Pierce FL,16
Milwaukee WI,15
Seattle-Tacoma WA,15
Baltimore MD,14
Portland OR,14
Detroit MI,13
Las Vegas NV,12
Philadelphia PA,10
San Diego CA,10
Washington DC (Hagerstown MD),10
Chicago IL,10
Boston MA-Manchester NH,10
Hartford & New Haven CT,10
Los Angeles CA,7
Miami-Ft. Lauderdale FL,5
New York NY,5
San Francisco-Oakland-San Jose CA,5
Binghamton NY,0
Macon GA,0
Savannah GA,0
Ft. Wayne IN,0
Erie PA,0
Charleston SC,0
Augusta GA,0
Providence RI-New Bedford MA,0
Columbus GA,0
Burlington VT-Plattsburgh NY,0
Albany GA,0
Utica NY,0
Tallahassee FL-Thomasville GA,0
Youngstown OH,0
Bangor ME,0
Rochester NY,0
Traverse City-Cadillac MI,0
Springfield-Holyoke MA,0
Columbia SC,0
Toledo OH,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Syracuse NY,0
Richmond-Petersburg VA,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Elmira NY,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Johnstown-Altoona PA,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Sioux City IA,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Odessa-Midland TX,0
Amarillo TX,0
St. Joseph MO,0
Jackson TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Evansville IN,0
Lubbock TX,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Davenport IA-Rock Island-Moline IL,0
Beaumont-Port Arthur TX,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Honolulu HI,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Chico-Redding CA,0


Top cities for george strait
Town/City,george strait
Corpus Christi,100
San Antonio,73
Albuquerque,62
Fort Worth,51
Austin,46
Houston,45
Oklahoma City,44
McAllen,44
El Paso,44
Tucson,39
Louisville,35
Dallas,35
Phoenix,28
Denver,25
St. Louis,24



Top searches for george strait
george strait lyrics,100
cross my heart,55
country,50
alan jackson,35
troubadour george strait,35
garth brooks,35
amarillo by morning,35
tim mcgraw,30
george strait songs,30
run george strait,30
kenny chesney,30
give it away,25
george strait live,20
brad paisley,20
george jones,15
george michael,15
toby keith,15
george straight,15
brooks and dunn,15
george strait texas,15
country songs,10
randy travis,10
cheyenne,10
cheyenne george strait,10
billy currington,10
josh turner,10
heartland george strait,10
baby blue,10
heartland,10
fireman george strait,10
hank williams jr,10
gary allan,5
clint black,5
john michael montgomery,5
travis tritt,5
reba mcentire,5



Rising searches for george strait
george strait lyrics,Breakout
troubadour george strait,Breakout
cross my heart,+500%
amarillo by morning,+350%
george strait live,+180%
george strait songs,+180%
run george strait,+160%
give it away,+130%
country,+100%
alan jackson,+60%



