YouTube Search interest: shakira
United States; Jan 2008 - Jul 2015

Interest over time
Week,shakira
2011-07-10 - 2011-07-16,28
2011-07-17 - 2011-07-23,28
2011-07-24 - 2011-07-30,28
2011-07-31 - 2011-08-06,26
2011-08-07 - 2011-08-13,25
2011-08-14 - 2011-08-20,26
2011-08-21 - 2011-08-27,23
2011-08-28 - 2011-09-03,24
2011-09-04 - 2011-09-10,23
2011-09-11 - 2011-09-17,22
2011-09-18 - 2011-09-24,22
2011-09-25 - 2011-10-01,23
2011-10-02 - 2011-10-08,23
2011-10-09 - 2011-10-15,21
2011-10-16 - 2011-10-22,20
2011-10-23 - 2011-10-29,19
2011-10-30 - 2011-11-05,20
2011-11-06 - 2011-11-12,23
2011-11-13 - 2011-11-19,22
2011-11-20 - 2011-11-26,21
2011-11-27 - 2011-12-03,18
2011-12-04 - 2011-12-10,19
2011-12-11 - 2011-12-17,19
2011-12-18 - 2011-12-24,18
2011-12-25 - 2011-12-31,18
2012-01-01 - 2012-01-07,18
2012-01-08 - 2012-01-14,18
2012-01-15 - 2012-01-21,18
2012-01-22 - 2012-01-28,18
2012-01-29 - 2012-02-04,17
2012-02-05 - 2012-02-11,17
2012-02-12 - 2012-02-18,16
2012-02-19 - 2012-02-25,17
2012-02-26 - 2012-03-03,15
2012-03-04 - 2012-03-10,15
2012-03-11 - 2012-03-17,15
2012-03-18 - 2012-03-24,15
2012-03-25 - 2012-03-31,14
2012-04-01 - 2012-04-07,13
2012-04-08 - 2012-04-14,14
2012-04-15 - 2012-04-21,15
2012-04-22 - 2012-04-28,13
2012-04-29 - 2012-05-05,17
2012-05-06 - 2012-05-12,17
2012-05-13 - 2012-05-19,16
2012-05-20 - 2012-05-26,15
2012-05-27 - 2012-06-02,14
2012-06-03 - 2012-06-09,14
2012-06-10 - 2012-06-16,14
2012-06-17 - 2012-06-23,14
2012-06-24 - 2012-06-30,14
2012-07-01 - 2012-07-07,14
2012-07-08 - 2012-07-14,14
2012-07-15 - 2012-07-21,14
2012-07-22 - 2012-07-28,14
2012-07-29 - 2012-08-04,15
2012-08-05 - 2012-08-11,14
2012-08-12 - 2012-08-18,13
2012-08-19 - 2012-08-25,13
2012-08-26 - 2012-09-01,14
2012-09-02 - 2012-09-08,13
2012-09-09 - 2012-09-15,12
2012-09-16 - 2012-09-22,13
2012-09-23 - 2012-09-29,13
2012-09-30 - 2012-10-06,14
2012-10-07 - 2012-10-13,13
2012-10-14 - 2012-10-20,12
2012-10-21 - 2012-10-27,12
2012-10-28 - 2012-11-03,11
2012-11-04 - 2012-11-10,11
2012-11-11 - 2012-11-17,11
2012-11-18 - 2012-11-24,11
2012-11-25 - 2012-12-01,10
2012-12-02 - 2012-12-08,9
2012-12-09 - 2012-12-15,9
2012-12-16 - 2012-12-22,9
2012-12-23 - 2012-12-29,10
2012-12-30 - 2013-01-05,9
2013-01-06 - 2013-01-12,9
2013-01-13 - 2013-01-19,10
2013-01-20 - 2013-01-26,10
2013-01-27 - 2013-02-02,10
2013-02-03 - 2013-02-09,11
2013-02-10 - 2013-02-16,9
2013-02-17 - 2013-02-23,9
2013-02-24 - 2013-03-02,9
2013-03-03 - 2013-03-09,9
2013-03-10 - 2013-03-16,9
2013-03-17 - 2013-03-23,10
2013-03-24 - 2013-03-30,16
2013-03-31 - 2013-04-06,18
2013-04-07 - 2013-04-13,18
2013-04-14 - 2013-04-20,15
2013-04-21 - 2013-04-27,16
2013-04-28 - 2013-05-04,16
2013-05-05 - 2013-05-11,16
2013-05-12 - 2013-05-18,14
2013-05-19 - 2013-05-25,13
2013-05-26 - 2013-06-01,12
2013-06-02 - 2013-06-08,11
2013-06-09 - 2013-06-15,11
2013-06-16 - 2013-06-22,11
2013-06-23 - 2013-06-29,11
2013-06-30 - 2013-07-06,10
2013-07-07 - 2013-07-13,10
2013-07-14 - 2013-07-20,9
2013-07-21 - 2013-07-27,9
2013-07-28 - 2013-08-03,9
2013-08-04 - 2013-08-10,9
2013-08-11 - 2013-08-17,9
2013-08-18 - 2013-08-24,8
2013-08-25 - 2013-08-31,8
2013-09-01 - 2013-09-07,8
2013-09-08 - 2013-09-14,8
2013-09-15 - 2013-09-21,8
2013-09-22 - 2013-09-28,8
2013-09-29 - 2013-10-05,8
2013-10-06 - 2013-10-12,8
2013-10-13 - 2013-10-19,8
2013-10-20 - 2013-10-26,8
2013-10-27 - 2013-11-02,8
2013-11-03 - 2013-11-09,8
2013-11-10 - 2013-11-16,8
2013-11-17 - 2013-11-23,8
2013-11-24 - 2013-11-30,8
2013-12-01 - 2013-12-07,7
2013-12-08 - 2013-12-14,7
2013-12-15 - 2013-12-21,7
2013-12-22 - 2013-12-28,7
2013-12-29 - 2014-01-04,7
2014-01-05 - 2014-01-11,8
2014-01-12 - 2014-01-18,17
2014-01-19 - 2014-01-25,12
2014-01-26 - 2014-02-01,20
2014-02-02 - 2014-02-08,25
2014-02-09 - 2014-02-15,16
2014-02-16 - 2014-02-22,14
2014-02-23 - 2014-03-01,17
2014-03-02 - 2014-03-08,15
2014-03-09 - 2014-03-15,16
2014-03-16 - 2014-03-22,15
2014-03-23 - 2014-03-29,27
2014-03-30 - 2014-04-05,23
2014-04-06 - 2014-04-12,22
2014-04-13 - 2014-04-19,17
2014-04-20 - 2014-04-26,18
2014-04-27 - 2014-05-03,20
2014-05-04 - 2014-05-10,19
2014-05-11 - 2014-05-17,19
2014-05-18 - 2014-05-24,25
2014-05-25 - 2014-05-31,25
2014-06-01 - 2014-06-07,22
2014-06-08 - 2014-06-14,25
2014-06-15 - 2014-06-21,26
2014-06-22 - 2014-06-28,21
2014-06-29 - 2014-07-05,18
2014-07-06 - 2014-07-12,18
2014-07-13 - 2014-07-19,27
2014-07-20 - 2014-07-26,15
2014-07-27 - 2014-08-02,13
2014-08-03 - 2014-08-09,12
2014-08-10 - 2014-08-16,11
2014-08-17 - 2014-08-23,11
2014-08-24 - 2014-08-30,11
2014-08-31 - 2014-09-06,10
2014-09-07 - 2014-09-13,9
2014-09-14 - 2014-09-20,9
2014-09-21 - 2014-09-27,9
2014-09-28 - 2014-10-04,9
2014-10-05 - 2014-10-11,8
2014-10-12 - 2014-10-18,8
2014-10-19 - 2014-10-25,8
2014-10-26 - 2014-11-01,8
2014-11-02 - 2014-11-08,7
2014-11-09 - 2014-11-15,8
2014-11-16 - 2014-11-22,8
2014-11-23 - 2014-11-29,7
2014-11-30 - 2014-12-06,7
2014-12-07 - 2014-12-13,7
2014-12-14 - 2014-12-20,7
2014-12-21 - 2014-12-27,6
2014-12-28 - 2015-01-03,6
2015-01-04 - 2015-01-10,7
2015-01-11 - 2015-01-17,7
2015-01-18 - 2015-01-24,6
2015-01-25 - 2015-01-31,6
2015-02-01 - 2015-02-07,7
2015-02-08 - 2015-02-14,8
2015-02-15 - 2015-02-21,7
2015-02-22 - 2015-02-28,8
2015-03-01 - 2015-03-07,8
2015-03-08 - 2015-03-14,8
2015-03-15 - 2015-03-21,7
2015-03-22 - 2015-03-28,8
2015-03-29 - 2015-04-04,7
2015-04-05 - 2015-04-11,7
2015-04-12 - 2015-04-18,7
2015-04-19 - 2015-04-25,7
2015-04-26 - 2015-05-02,7
2015-05-03 - 2015-05-09,7
2015-05-10 - 2015-05-16,7
2015-05-17 - 2015-05-23,7
2015-05-24 - 2015-05-30,7
2015-05-31 - 2015-06-06,7
2015-06-07 - 2015-06-13,7
2015-06-14 - 2015-06-20,6
2015-06-21 - 2015-06-27,6
2015-06-28 - 2015-07-04,5
2015-07-05 - 2015-07-11,6
2015-07-12 - 2015-07-18,5
2015-07-19 - 2015-07-25,6
2015-07-26 - 2015-08-01,5


Top sub-regions for shakira
Sub-region,shakira
Virginia,100
California,82
Florida,69
Texas,65
New York,59
Arizona,58
District of Columbia,57
New Jersey,55
New Mexico,54
Nevada,52
Utah,51
Rhode Island,50
Illinois,49
Connecticut,48
Massachusetts,48
Colorado,48
Idaho,44
Wyoming,43
Vermont,42
Oregon,42
Georgia,41
Maryland,40
Minnesota,40
South Dakota,39
Pennsylvania,39
Wisconsin,39
Washington,38
North Carolina,38
Nebraska,38
Kansas,37
Montana,37
Oklahoma,37
New Hampshire,36
Arkansas,36
Missouri,36
North Dakota,35
Michigan,35
Alaska,35
Ohio,35
Indiana,34
Iowa,34
South Carolina,34
Mississippi,33
Delaware,33
Hawaii,32
Louisiana,32
Kentucky,32
Tennessee,32
Maine,31
West Virginia,29
Alabama,29


Top metros for shakira
Metro,shakira
San Francisco-Oakland-San Jose CA,100
El Paso TX,89
Washington DC (Hagerstown MD),88
Laredo TX,86
Harlingen-Weslaco-Brownsville-McAllen TX,82
Miami-Ft. Lauderdale FL,81
Palm Springs CA,73
Yuma AZ-El Centro CA,71
Odessa-Midland TX,64
Los Angeles CA,61
Tucson (Sierra Vista) AZ,58
New York NY,58
San Antonio TX,57
West Palm Beach-Ft. Pierce FL,54
San Diego CA,54
Corpus Christi TX,53
Fresno-Visalia CA,52
Dallas-Ft. Worth TX,52
Phoenix AZ,51
Chicago IL,49
Bakersfield CA,49
Orlando-Daytona Beach-Melbourne FL,49
Monterey-Salinas CA,49
Houston TX,48
Medford-Klamath Falls OR,46
Las Vegas NV,46
Albuquerque-Santa Fe NM,46
Santa Barbara-Santa Maria-San Luis Obispo CA,45
Denver CO,45
Austin TX,44
Providence RI-New Bedford MA,44
Reno NV,44
Salt Lake City UT,44
Ft. Myers-Naples FL,44
Tampa-St. Petersburg (Sarasota) FL,43
Springfield-Holyoke MA,43
Yakima-Pasco-Richland-Kennewick WA,43
Philadelphia PA,41
Charlottesville VA,41
Boston MA-Manchester NH,41
Hartford & New Haven CT,41
Sacramento-Stockton-Modesto CA,41
Lubbock TX,41
Burlington VT-Plattsburgh NY,41
Ft. Smith-Fayetteville-Springdale-Rogers AR,41
Boise ID,39
Waco-Temple-Bryan TX,39
Portland OR,38
Jackson MS,38
Minneapolis-St. Paul MN,38
Sioux Falls(Mitchell) SD,38
Atlanta GA,38
Madison WI,37
Tyler-Longview(Lufkin & Nacogdoches) TX,37
Raleigh-Durham (Fayetteville) NC,36
Oklahoma City OK,36
Gainesville FL,35
Wichita-Hutchinson KS,35
La Crosse-Eau Claire WI,35
Milwaukee WI,35
Colorado Springs-Pueblo CO,35
Greensboro-High Point-Winston Salem NC,35
Charlotte NC,34
South Bend-Elkhart IN,34
Albany-Schenectady-Troy NY,34
Seattle-Tacoma WA,34
St. Louis MO,33
Syracuse NY,33
Savannah GA,33
Chico-Redding CA,32
Rochester NY,32
Spokane WA,32
Detroit MI,32
Jacksonville FL,32
Tallahassee FL-Thomasville GA,32
Lincoln & Hastings-Kearney NE,32
Omaha NE,32
Kansas City MO,32
Anchorage AK,32
Johnstown-Altoona PA,32
Tri-Cities TN-VA,32
Fargo-Valley City ND,31
Eugene OR,31
Baltimore MD,30
Des Moines-Ames IA,30
Indianapolis IN,30
Tulsa OK,30
Little Rock-Pine Bluff AR,30
Grand Rapids-Kalamazoo-Battle Creek MI,30
Columbia SC,30
Columbus OH,30
New Orleans LA,30
Wilkes Barre-Scranton PA,30
Harrisburg-Lancaster-Lebanon-York PA,30
Green Bay-Appleton WI,30
Louisville KY,30
Youngstown OH,29
Cleveland-Akron (Canton) OH,29
Honolulu HI,29
Charleston-Huntington WV,29
Shreveport LA,29
Richmond-Petersburg VA,29
Flint-Saginaw-Bay City MI,29
Florence-Myrtle Beach SC,29
Cincinnati OH,29
Mobile AL-Pensacola (Ft. Walton Beach) FL,29
Springfield MO,28
Greenville-Spartanburg SC-Asheville NC-Anderson SC,28
Lansing MI,28
Buffalo NY,28
Roanoke-Lynchburg VA,28
Champaign & Springfield-Decatur IL,28
Portland-Auburn ME,28
Toledo OH,27
Nashville TN,27
Dayton OH,27
Chattanooga TN,27
Norfolk-Portsmouth-Newport News VA,27
Ft. Wayne IN,27
Davenport IA-Rock Island-Moline IL,27
Peoria-Bloomington IL,27
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,27
Baton Rouge LA,25
Lexington KY,25
Charleston SC,25
Pittsburgh PA,25
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,25
Birmingham AL,25
Huntsville-Decatur (Florence) AL,24
Memphis TN,24
Knoxville TN,23
Greenville-New Bern-Washington NC,21
Binghamton NY,0
Macon GA,0
Erie PA,0
Augusta GA,0
Columbus GA,0
Albany GA,0
Utica NY,0
Bangor ME,0
Traverse City-Cadillac MI,0
Watertown NY,0
Wilmington NC,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Elmira NY,0
Harrisonburg VA,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Sioux City IA,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Amarillo TX,0
St. Joseph MO,0
Jackson TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Evansville IN,0
Panama City FL,0
Sherman TX-Ada OK,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Columbus-Tupelo-West Point MS,0
Duluth MN-Superior WI,0
Minot-Bismarck-Dickinson(Williston) ND,0
Beaumont-Port Arthur TX,0
Montgomery (Selma) AL,0
Wausau-Rhinelander WI,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
Helena MT,0
Casper-Riverton WY,0
Grand Junction-Montrose CO,0
Glendive MT,0
Eureka CA,0
Bend OR,0


Top cities for shakira
Town/City,shakira
Milpitas,100
Sterling,94
Miami,50
Hialeah,47
El Paso,47
McAllen,41
Los Angeles,33
Irvine,33
New York,31
Richardson,31
Orlando,30
San Antonio,30
Phoenix,29
Houston,29
San Diego,29



Top searches for shakira
waka waka shakira,100
waka waka,100
shakira lyrics,65
shakira la,50
la la la,50
shakira wolf,40
loca loca shakira,35
loca,35
she wolf shakira,35
hips dont lie,35
she wolf,35
beyonce,35
shakira rabiosa,20
shakira no,20
rihanna,20
pitbull,20
shakira rihanna,20
gypsy,20
shakira gypsy,15
shakira songs,15
shakira tortura,15
shakira whenever wherever,15
waka waka lyrics,15
lady gaga,15
loba shakira,15
la tortura shakira,15
beautiful liar,15
shakira and beyonce,15
shakira live,10
shakira dancing,10
selena gomez,10
britney spears,10
gitana shakira,10
jennifer lopez,10
enrique iglesias,5
la loba shakira,5
africa shakira,5
empire shakira,5
ojos asi shakira,5
black eyed peas,5
shakira la loca,5
karaoke shakira,5



Rising searches for shakira
loca,Breakout
loca loca shakira,Breakout
shakira rabiosa,Breakout
shakira wolf,Breakout
she wolf,Breakout
she wolf shakira,Breakout
waka waka,Breakout
waka waka shakira,Breakout
shakira lyrics,+1,850%
rihanna,+150%



