YouTube Search interest: mgk
United States; Jan 2008 - Jul 2015

Interest over time
Week,mgk
2009-03-22 - 2009-03-28,0
2009-03-29 - 2009-04-04,0
2009-04-05 - 2009-04-11,0
2009-04-12 - 2009-04-18,0
2009-04-19 - 2009-04-25,0
2009-04-26 - 2009-05-02,0
2009-05-03 - 2009-05-09,0
2009-05-10 - 2009-05-16,0
2009-05-17 - 2009-05-23,0
2009-05-24 - 2009-05-30,0
2009-05-31 - 2009-06-06,0
2009-06-07 - 2009-06-13,0
2009-06-14 - 2009-06-20,0
2009-06-21 - 2009-06-27,0
2009-06-28 - 2009-07-04,0
2009-07-05 - 2009-07-11,0
2009-07-12 - 2009-07-18,0
2009-07-19 - 2009-07-25,0
2009-07-26 - 2009-08-01,0
2009-08-02 - 2009-08-08,0
2009-08-09 - 2009-08-15,0
2009-08-16 - 2009-08-22,0
2009-08-23 - 2009-08-29,0
2009-08-30 - 2009-09-05,0
2009-09-06 - 2009-09-12,0
2009-09-13 - 2009-09-19,0
2009-09-20 - 2009-09-26,0
2009-09-27 - 2009-10-03,0
2009-10-04 - 2009-10-10,0
2009-10-11 - 2009-10-17,0
2009-10-18 - 2009-10-24,0
2009-10-25 - 2009-10-31,0
2009-11-01 - 2009-11-07,0
2009-11-08 - 2009-11-14,0
2009-11-15 - 2009-11-21,0
2009-11-22 - 2009-11-28,0
2009-11-29 - 2009-12-05,0
2009-12-06 - 2009-12-12,0
2009-12-13 - 2009-12-19,0
2009-12-20 - 2009-12-26,0
2009-12-27 - 2010-01-02,0
2010-01-03 - 2010-01-09,0
2010-01-10 - 2010-01-16,0
2010-01-17 - 2010-01-23,0
2010-01-24 - 2010-01-30,0
2010-01-31 - 2010-02-06,0
2010-02-07 - 2010-02-13,0
2010-02-14 - 2010-02-20,0
2010-02-21 - 2010-02-27,0
2010-02-28 - 2010-03-06,0
2010-03-07 - 2010-03-13,0
2010-03-14 - 2010-03-20,0
2010-03-21 - 2010-03-27,0
2010-03-28 - 2010-04-03,0
2010-04-04 - 2010-04-10,0
2010-04-11 - 2010-04-17,0
2010-04-18 - 2010-04-24,0
2010-04-25 - 2010-05-01,0
2010-05-02 - 2010-05-08,0
2010-05-09 - 2010-05-15,1
2010-05-16 - 2010-05-22,0
2010-05-23 - 2010-05-29,0
2010-05-30 - 2010-06-05,0
2010-06-06 - 2010-06-12,0
2010-06-13 - 2010-06-19,0
2010-06-20 - 2010-06-26,1
2010-06-27 - 2010-07-03,1
2010-07-04 - 2010-07-10,1
2010-07-11 - 2010-07-17,1
2010-07-18 - 2010-07-24,1
2010-07-25 - 2010-07-31,1
2010-08-01 - 2010-08-07,1
2010-08-08 - 2010-08-14,1
2010-08-15 - 2010-08-21,1
2010-08-22 - 2010-08-28,1
2010-08-29 - 2010-09-04,1
2010-09-05 - 2010-09-11,1
2010-09-12 - 2010-09-18,1
2010-09-19 - 2010-09-25,1
2010-09-26 - 2010-10-02,1
2010-10-03 - 2010-10-09,1
2010-10-10 - 2010-10-16,2
2010-10-17 - 2010-10-23,1
2010-10-24 - 2010-10-30,1
2010-10-31 - 2010-11-06,1
2010-11-07 - 2010-11-13,1
2010-11-14 - 2010-11-20,2
2010-11-21 - 2010-11-27,2
2010-11-28 - 2010-12-04,2
2010-12-05 - 2010-12-11,2
2010-12-12 - 2010-12-18,2
2010-12-19 - 2010-12-25,2
2010-12-26 - 2011-01-01,2
2011-01-02 - 2011-01-08,3
2011-01-09 - 2011-01-15,4
2011-01-16 - 2011-01-22,4
2011-01-23 - 2011-01-29,5
2011-01-30 - 2011-02-05,5
2011-02-06 - 2011-02-12,4
2011-02-13 - 2011-02-19,4
2011-02-20 - 2011-02-26,4
2011-02-27 - 2011-03-05,5
2011-03-06 - 2011-03-12,4
2011-03-13 - 2011-03-19,4
2011-03-20 - 2011-03-26,4
2011-03-27 - 2011-04-02,5
2011-04-03 - 2011-04-09,7
2011-04-10 - 2011-04-16,7
2011-04-17 - 2011-04-23,4
2011-04-24 - 2011-04-30,6
2011-05-01 - 2011-05-07,6
2011-05-08 - 2011-05-14,6
2011-05-15 - 2011-05-21,5
2011-05-22 - 2011-05-28,6
2011-05-29 - 2011-06-04,6
2011-06-05 - 2011-06-11,5
2011-06-12 - 2011-06-18,5
2011-06-19 - 2011-06-25,6
2011-06-26 - 2011-07-02,6
2011-07-03 - 2011-07-09,5
2011-07-10 - 2011-07-16,6
2011-07-17 - 2011-07-23,5
2011-07-24 - 2011-07-30,6
2011-07-31 - 2011-08-06,8
2011-08-07 - 2011-08-13,10
2011-08-14 - 2011-08-20,10
2011-08-21 - 2011-08-27,16
2011-08-28 - 2011-09-03,12
2011-09-04 - 2011-09-10,14
2011-09-11 - 2011-09-17,10
2011-09-18 - 2011-09-24,12
2011-09-25 - 2011-10-01,11
2011-10-02 - 2011-10-08,13
2011-10-09 - 2011-10-15,14
2011-10-16 - 2011-10-22,16
2011-10-23 - 2011-10-29,15
2011-10-30 - 2011-11-05,15
2011-11-06 - 2011-11-12,14
2011-11-13 - 2011-11-19,43
2011-11-20 - 2011-11-26,54
2011-11-27 - 2011-12-03,52
2011-12-04 - 2011-12-10,86
2011-12-11 - 2011-12-17,100
2011-12-18 - 2011-12-24,100
2011-12-25 - 2011-12-31,94
2012-01-01 - 2012-01-07,95
2012-01-08 - 2012-01-14,99
2012-01-15 - 2012-01-21,90
2012-01-22 - 2012-01-28,85
2012-01-29 - 2012-02-04,81
2012-02-05 - 2012-02-11,80
2012-02-12 - 2012-02-18,77
2012-02-19 - 2012-02-25,73
2012-02-26 - 2012-03-03,68
2012-03-04 - 2012-03-10,66
2012-03-11 - 2012-03-17,69
2012-03-18 - 2012-03-24,92
2012-03-25 - 2012-03-31,78
2012-04-01 - 2012-04-07,86
2012-04-08 - 2012-04-14,75
2012-04-15 - 2012-04-21,71
2012-04-22 - 2012-04-28,75
2012-04-29 - 2012-05-05,71
2012-05-06 - 2012-05-12,63
2012-05-13 - 2012-05-19,58
2012-05-20 - 2012-05-26,59
2012-05-27 - 2012-06-02,61
2012-06-03 - 2012-06-09,71
2012-06-10 - 2012-06-16,67
2012-06-17 - 2012-06-23,63
2012-06-24 - 2012-06-30,62
2012-07-01 - 2012-07-07,65
2012-07-08 - 2012-07-14,60
2012-07-15 - 2012-07-21,60
2012-07-22 - 2012-07-28,55
2012-07-29 - 2012-08-04,53
2012-08-05 - 2012-08-11,61
2012-08-12 - 2012-08-18,65
2012-08-19 - 2012-08-25,66
2012-08-26 - 2012-09-01,63
2012-09-02 - 2012-09-08,60
2012-09-09 - 2012-09-15,54
2012-09-16 - 2012-09-22,51
2012-09-23 - 2012-09-29,55
2012-09-30 - 2012-10-06,59
2012-10-07 - 2012-10-13,88
2012-10-14 - 2012-10-20,85
2012-10-21 - 2012-10-27,88
2012-10-28 - 2012-11-03,75
2012-11-04 - 2012-11-10,73
2012-11-11 - 2012-11-17,65
2012-11-18 - 2012-11-24,70
2012-11-25 - 2012-12-01,74
2012-12-02 - 2012-12-08,72
2012-12-09 - 2012-12-15,67
2012-12-16 - 2012-12-22,65
2012-12-23 - 2012-12-29,64
2012-12-30 - 2013-01-05,59
2013-01-06 - 2013-01-12,72
2013-01-13 - 2013-01-19,66
2013-01-20 - 2013-01-26,62
2013-01-27 - 2013-02-02,64
2013-02-03 - 2013-02-09,67
2013-02-10 - 2013-02-16,64
2013-02-17 - 2013-02-23,66
2013-02-24 - 2013-03-02,63
2013-03-03 - 2013-03-09,64
2013-03-10 - 2013-03-16,59
2013-03-17 - 2013-03-23,60
2013-03-24 - 2013-03-30,57
2013-03-31 - 2013-04-06,54
2013-04-07 - 2013-04-13,52
2013-04-14 - 2013-04-20,49
2013-04-21 - 2013-04-27,52
2013-04-28 - 2013-05-04,48
2013-05-05 - 2013-05-11,47
2013-05-12 - 2013-05-18,47
2013-05-19 - 2013-05-25,52
2013-05-26 - 2013-06-01,45
2013-06-02 - 2013-06-08,47
2013-06-09 - 2013-06-15,43
2013-06-16 - 2013-06-22,45
2013-06-23 - 2013-06-29,58
2013-06-30 - 2013-07-06,60
2013-07-07 - 2013-07-13,55
2013-07-14 - 2013-07-20,50
2013-07-21 - 2013-07-27,46
2013-07-28 - 2013-08-03,47
2013-08-04 - 2013-08-10,43
2013-08-11 - 2013-08-17,40
2013-08-18 - 2013-08-24,42
2013-08-25 - 2013-08-31,40
2013-09-01 - 2013-09-07,40
2013-09-08 - 2013-09-14,39
2013-09-15 - 2013-09-21,44
2013-09-22 - 2013-09-28,43
2013-09-29 - 2013-10-05,39
2013-10-06 - 2013-10-12,37
2013-10-13 - 2013-10-19,39
2013-10-20 - 2013-10-26,35
2013-10-27 - 2013-11-02,39
2013-11-03 - 2013-11-09,36
2013-11-10 - 2013-11-16,44
2013-11-17 - 2013-11-23,38
2013-11-24 - 2013-11-30,36
2013-12-01 - 2013-12-07,36
2013-12-08 - 2013-12-14,35
2013-12-15 - 2013-12-21,38
2013-12-22 - 2013-12-28,30
2013-12-29 - 2014-01-04,32
2014-01-05 - 2014-01-11,32
2014-01-12 - 2014-01-18,35
2014-01-19 - 2014-01-25,32
2014-01-26 - 2014-02-01,32
2014-02-02 - 2014-02-08,30
2014-02-09 - 2014-02-15,41
2014-02-16 - 2014-02-22,44
2014-02-23 - 2014-03-01,43
2014-03-02 - 2014-03-08,44
2014-03-09 - 2014-03-15,41
2014-03-16 - 2014-03-22,40
2014-03-23 - 2014-03-29,44
2014-03-30 - 2014-04-05,40
2014-04-06 - 2014-04-12,44
2014-04-13 - 2014-04-19,42
2014-04-20 - 2014-04-26,59
2014-04-27 - 2014-05-03,61
2014-05-04 - 2014-05-10,55
2014-05-11 - 2014-05-17,50
2014-05-18 - 2014-05-24,49
2014-05-25 - 2014-05-31,44
2014-06-01 - 2014-06-07,44
2014-06-08 - 2014-06-14,40
2014-06-15 - 2014-06-21,39
2014-06-22 - 2014-06-28,41
2014-06-29 - 2014-07-05,37
2014-07-06 - 2014-07-12,37
2014-07-13 - 2014-07-19,35
2014-07-20 - 2014-07-26,32
2014-07-27 - 2014-08-02,37
2014-08-03 - 2014-08-09,35
2014-08-10 - 2014-08-16,34
2014-08-17 - 2014-08-23,34
2014-08-24 - 2014-08-30,35
2014-08-31 - 2014-09-06,39
2014-09-07 - 2014-09-13,37
2014-09-14 - 2014-09-20,38
2014-09-21 - 2014-09-27,38
2014-09-28 - 2014-10-04,39
2014-10-05 - 2014-10-11,38
2014-10-12 - 2014-10-18,41
2014-10-19 - 2014-10-25,37
2014-10-26 - 2014-11-01,35
2014-11-02 - 2014-11-08,32
2014-11-09 - 2014-11-15,33
2014-11-16 - 2014-11-22,33
2014-11-23 - 2014-11-29,29
2014-11-30 - 2014-12-06,28
2014-12-07 - 2014-12-13,31
2014-12-14 - 2014-12-20,31
2014-12-21 - 2014-12-27,27
2014-12-28 - 2015-01-03,26
2015-01-04 - 2015-01-10,42
2015-01-11 - 2015-01-17,39
2015-01-18 - 2015-01-24,33
2015-01-25 - 2015-01-31,33
2015-02-01 - 2015-02-07,36
2015-02-08 - 2015-02-14,36
2015-02-15 - 2015-02-21,30
2015-02-22 - 2015-02-28,31
2015-03-01 - 2015-03-07,32
2015-03-08 - 2015-03-14,32
2015-03-15 - 2015-03-21,32
2015-03-22 - 2015-03-28,32
2015-03-29 - 2015-04-04,36
2015-04-05 - 2015-04-11,34
2015-04-12 - 2015-04-18,31
2015-04-19 - 2015-04-25,33
2015-04-26 - 2015-05-02,32
2015-05-03 - 2015-05-09,28
2015-05-10 - 2015-05-16,33
2015-05-17 - 2015-05-23,35
2015-05-24 - 2015-05-30,33
2015-05-31 - 2015-06-06,31
2015-06-07 - 2015-06-13,32
2015-06-14 - 2015-06-20,33
2015-06-21 - 2015-06-27,28
2015-06-28 - 2015-07-04,27
2015-07-05 - 2015-07-11,26
2015-07-12 - 2015-07-18,27
2015-07-19 - 2015-07-25,26
2015-07-26 - 2015-08-01,24


Top sub-regions for mgk
Sub-region,mgk
Ohio,100
Iowa,55
South Dakota,52
West Virginia,50
Indiana,49
Kentucky,46
North Dakota,44
Michigan,41
Wisconsin,39
Montana,38
Minnesota,38
Nebraska,34
Wyoming,33
Missouri,32
Maine,32
South Carolina,32
Pennsylvania,32
Tennessee,32
North Carolina,32
Illinois,30
Kansas,30
New Hampshire,29
New Mexico,29
Arkansas,28
Idaho,27
Mississippi,27
Maryland,26
Alabama,26
Vermont,26
Oklahoma,26
Florida,25
Georgia,25
Delaware,25
Rhode Island,25
Arizona,24
Colorado,23
Massachusetts,22
Connecticut,21
Alaska,21
New York,21
Louisiana,20
Nevada,19
Washington,19
New Jersey,18
Oregon,17
Texas,17
Utah,15
Virginia,14
California,12
Hawaii,11
District of Columbia,9


Top metros for mgk
Metro,mgk
Cleveland-Akron (Canton) OH,100
Youngstown OH,72
Toledo OH,58
Cincinnati OH,51
Dayton OH,50
Charleston-Huntington WV,48
Columbus OH,46
Des Moines-Ames IA,42
Davenport IA-Rock Island-Moline IL,41
Ft. Wayne IN,41
Peoria-Bloomington IL,41
Sioux Falls(Mitchell) SD,39
Flint-Saginaw-Bay City MI,38
Indianapolis IN,37
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,37
Lansing MI,37
Champaign & Springfield-Decatur IL,36
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,35
La Crosse-Eau Claire WI,35
Pittsburgh PA,34
Grand Rapids-Kalamazoo-Battle Creek MI,33
Wichita-Hutchinson KS,32
Lexington KY,32
Buffalo NY,30
Green Bay-Appleton WI,29
South Bend-Elkhart IN,29
Wilkes Barre-Scranton PA,29
Detroit MI,28
Omaha NE,27
Minneapolis-St. Paul MN,26
Colorado Springs-Pueblo CO,26
Knoxville TN,25
Albuquerque-Santa Fe NM,25
Memphis TN,24
Charlotte NC,24
Harrisburg-Lancaster-Lebanon-York PA,24
Milwaukee WI,24
Louisville KY,24
Nashville TN,24
St. Louis MO,23
Raleigh-Durham (Fayetteville) NC,23
Roanoke-Lynchburg VA,23
Mobile AL-Pensacola (Ft. Walton Beach) FL,23
Kansas City MO,23
Spokane WA,23
Tulsa OK,23
Syracuse NY,23
Madison WI,23
Portland-Auburn ME,22
Greenville-Spartanburg SC-Asheville NC-Anderson SC,22
Jacksonville FL,21
Tampa-St. Petersburg (Sarasota) FL,21
Richmond-Petersburg VA,21
Albany-Schenectady-Troy NY,21
Phoenix AZ,20
Chicago IL,20
Greensboro-High Point-Winston Salem NC,19
Providence RI-New Bedford MA,19
Baltimore MD,18
Norfolk-Portsmouth-Newport News VA,18
West Palm Beach-Ft. Pierce FL,18
Hartford & New Haven CT,18
Denver CO,18
Rochester NY,18
Orlando-Daytona Beach-Melbourne FL,18
Philadelphia PA,17
Atlanta GA,17
Birmingham AL,16
Boston MA-Manchester NH,16
Oklahoma City OK,15
New York NY,14
Las Vegas NV,14
Seattle-Tacoma WA,14
Sacramento-Stockton-Modesto CA,14
Salt Lake City UT,13
San Antonio TX,13
Houston TX,12
Portland OR,12
Austin TX,12
Miami-Ft. Lauderdale FL,11
Dallas-Ft. Worth TX,11
San Diego CA,11
Los Angeles CA,10
Washington DC (Hagerstown MD),9
San Francisco-Oakland-San Jose CA,4
Binghamton NY,0
Macon GA,0
Savannah GA,0
Erie PA,0
Charleston SC,0
Augusta GA,0
Columbus GA,0
Burlington VT-Plattsburgh NY,0
Albany GA,0
Utica NY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Bangor ME,0
Traverse City-Cadillac MI,0
Springfield-Holyoke MA,0
Greenville-New Bern-Washington NC,0
Columbia SC,0
Watertown NY,0
Wilmington NC,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Elmira NY,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Springfield MO,0
New Orleans LA,0
Sioux City IA,0
Waco-Temple-Bryan TX,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Odessa-Midland TX,0
Amarillo TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
St. Joseph MO,0
Jackson TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Evansville IN,0
Lubbock TX,0
Panama City FL,0
Sherman TX-Ada OK,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Columbus-Tupelo-West Point MS,0
Duluth MN-Superior WI,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Little Rock-Pine Bluff AR,0
Montgomery (Selma) AL,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Honolulu HI,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Tucson (Sierra Vista) AZ,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Fresno-Visalia CA,0
Chico-Redding CA,0


Top cities for mgk
Town/City,mgk
Akron,100
Cleveland,99
Columbus,41
Cincinnati,37
Indianapolis,37
Minneapolis,19
Denver,18
Phoenix,17
Philadelphia,16
Chicago,15
Houston,14
New York,13
Los Angeles,8



Top searches for mgk
wild boy mgk,100
wild boy,100
mgk lyrics,55
invincible,35
invincible mgk,30
cleveland mgk,15
cleveland,15
wild boy remix,15
mgk tears,15
machine gun kelly,15
sail mgk,10
mgk freestyle,10
sail,10
see my tears,10
mgk her song,10
lace up mgk,10
yelawolf,10
lace up,10
hold on mgk,10
mgk instrumental,10
mgk breaking news,10
kid ink,5
i know mgk,5
mgk live,5
invincible mgk lyrics,5
mgk 2013,5
till i die,5
black flag,5
black flag mgk,5
mgk the return,5
wildboy mgk,5
mgk cypher,5



Rising searches for mgk
cleveland,Breakout
cleveland mgk,Breakout
invincible,Breakout
invincible mgk,Breakout
mgk lyrics,Breakout
wild boy,Breakout
wild boy mgk,Breakout
wild boy remix,Breakout



