YouTube Search interest: rob thomas
United States; Jan 2008 - Jul 2015

Interest over time
Week,rob thomas
2011-03-13 - 2011-03-19,33
2011-03-20 - 2011-03-26,27
2011-03-27 - 2011-04-02,29
2011-04-03 - 2011-04-09,28
2011-04-10 - 2011-04-16,33
2011-04-17 - 2011-04-23,32
2011-04-24 - 2011-04-30,32
2011-05-01 - 2011-05-07,32
2011-05-08 - 2011-05-14,33
2011-05-15 - 2011-05-21,33
2011-05-22 - 2011-05-28,33
2011-05-29 - 2011-06-04,31
2011-06-05 - 2011-06-11,27
2011-06-12 - 2011-06-18,31
2011-06-19 - 2011-06-25,29
2011-06-26 - 2011-07-02,31
2011-07-03 - 2011-07-09,26
2011-07-10 - 2011-07-16,27
2011-07-17 - 2011-07-23,26
2011-07-24 - 2011-07-30,26
2011-07-31 - 2011-08-06,25
2011-08-07 - 2011-08-13,22
2011-08-14 - 2011-08-20,25
2011-08-21 - 2011-08-27,29
2011-08-28 - 2011-09-03,22
2011-09-04 - 2011-09-10,28
2011-09-11 - 2011-09-17,25
2011-09-18 - 2011-09-24,26
2011-09-25 - 2011-10-01,22
2011-10-02 - 2011-10-08,27
2011-10-09 - 2011-10-15,26
2011-10-16 - 2011-10-22,26
2011-10-23 - 2011-10-29,25
2011-10-30 - 2011-11-05,24
2011-11-06 - 2011-11-12,25
2011-11-13 - 2011-11-19,27
2011-11-20 - 2011-11-26,23
2011-11-27 - 2011-12-03,22
2011-12-04 - 2011-12-10,20
2011-12-11 - 2011-12-17,27
2011-12-18 - 2011-12-24,26
2011-12-25 - 2011-12-31,23
2012-01-01 - 2012-01-07,22
2012-01-08 - 2012-01-14,24
2012-01-15 - 2012-01-21,24
2012-01-22 - 2012-01-28,28
2012-01-29 - 2012-02-04,28
2012-02-05 - 2012-02-11,23
2012-02-12 - 2012-02-18,25
2012-02-19 - 2012-02-25,25
2012-02-26 - 2012-03-03,22
2012-03-04 - 2012-03-10,24
2012-03-11 - 2012-03-17,22
2012-03-18 - 2012-03-24,26
2012-03-25 - 2012-03-31,20
2012-04-01 - 2012-04-07,20
2012-04-08 - 2012-04-14,21
2012-04-15 - 2012-04-21,22
2012-04-22 - 2012-04-28,21
2012-04-29 - 2012-05-05,21
2012-05-06 - 2012-05-12,23
2012-05-13 - 2012-05-19,24
2012-05-20 - 2012-05-26,27
2012-05-27 - 2012-06-02,23
2012-06-03 - 2012-06-09,20
2012-06-10 - 2012-06-16,22
2012-06-17 - 2012-06-23,24
2012-06-24 - 2012-06-30,20
2012-07-01 - 2012-07-07,20
2012-07-08 - 2012-07-14,20
2012-07-15 - 2012-07-21,17
2012-07-22 - 2012-07-28,22
2012-07-29 - 2012-08-04,20
2012-08-05 - 2012-08-11,22
2012-08-12 - 2012-08-18,22
2012-08-19 - 2012-08-25,25
2012-08-26 - 2012-09-01,24
2012-09-02 - 2012-09-08,25
2012-09-09 - 2012-09-15,22
2012-09-16 - 2012-09-22,20
2012-09-23 - 2012-09-29,20
2012-09-30 - 2012-10-06,23
2012-10-07 - 2012-10-13,25
2012-10-14 - 2012-10-20,24
2012-10-21 - 2012-10-27,23
2012-10-28 - 2012-11-03,19
2012-11-04 - 2012-11-10,20
2012-11-11 - 2012-11-17,23
2012-11-18 - 2012-11-24,20
2012-11-25 - 2012-12-01,20
2012-12-02 - 2012-12-08,18
2012-12-09 - 2012-12-15,20
2012-12-16 - 2012-12-22,20
2012-12-23 - 2012-12-29,19
2012-12-30 - 2013-01-05,17
2013-01-06 - 2013-01-12,19
2013-01-13 - 2013-01-19,18
2013-01-20 - 2013-01-26,21
2013-01-27 - 2013-02-02,21
2013-02-03 - 2013-02-09,19
2013-02-10 - 2013-02-16,17
2013-02-17 - 2013-02-23,16
2013-02-24 - 2013-03-02,18
2013-03-03 - 2013-03-09,19
2013-03-10 - 2013-03-16,15
2013-03-17 - 2013-03-23,14
2013-03-24 - 2013-03-30,16
2013-03-31 - 2013-04-06,17
2013-04-07 - 2013-04-13,15
2013-04-14 - 2013-04-20,17
2013-04-21 - 2013-04-27,20
2013-04-28 - 2013-05-04,16
2013-05-05 - 2013-05-11,17
2013-05-12 - 2013-05-18,22
2013-05-19 - 2013-05-25,16
2013-05-26 - 2013-06-01,17
2013-06-02 - 2013-06-08,15
2013-06-09 - 2013-06-15,13
2013-06-16 - 2013-06-22,16
2013-06-23 - 2013-06-29,13
2013-06-30 - 2013-07-06,18
2013-07-07 - 2013-07-13,17
2013-07-14 - 2013-07-20,18
2013-07-21 - 2013-07-27,13
2013-07-28 - 2013-08-03,19
2013-08-04 - 2013-08-10,15
2013-08-11 - 2013-08-17,16
2013-08-18 - 2013-08-24,15
2013-08-25 - 2013-08-31,15
2013-09-01 - 2013-09-07,15
2013-09-08 - 2013-09-14,16
2013-09-15 - 2013-09-21,16
2013-09-22 - 2013-09-28,16
2013-09-29 - 2013-10-05,14
2013-10-06 - 2013-10-12,15
2013-10-13 - 2013-10-19,15
2013-10-20 - 2013-10-26,19
2013-10-27 - 2013-11-02,16
2013-11-03 - 2013-11-09,14
2013-11-10 - 2013-11-16,16
2013-11-17 - 2013-11-23,15
2013-11-24 - 2013-11-30,15
2013-12-01 - 2013-12-07,14
2013-12-08 - 2013-12-14,14
2013-12-15 - 2013-12-21,15
2013-12-22 - 2013-12-28,15
2013-12-29 - 2014-01-04,12
2014-01-05 - 2014-01-11,10
2014-01-12 - 2014-01-18,12
2014-01-19 - 2014-01-25,14
2014-01-26 - 2014-02-01,13
2014-02-02 - 2014-02-08,13
2014-02-09 - 2014-02-15,15
2014-02-16 - 2014-02-22,13
2014-02-23 - 2014-03-01,16
2014-03-02 - 2014-03-08,17
2014-03-09 - 2014-03-15,17
2014-03-16 - 2014-03-22,12
2014-03-23 - 2014-03-29,14
2014-03-30 - 2014-04-05,18
2014-04-06 - 2014-04-12,18
2014-04-13 - 2014-04-19,18
2014-04-20 - 2014-04-26,20
2014-04-27 - 2014-05-03,18
2014-05-04 - 2014-05-10,17
2014-05-11 - 2014-05-17,16
2014-05-18 - 2014-05-24,15
2014-05-25 - 2014-05-31,13
2014-06-01 - 2014-06-07,17
2014-06-08 - 2014-06-14,14
2014-06-15 - 2014-06-21,16
2014-06-22 - 2014-06-28,13
2014-06-29 - 2014-07-05,15
2014-07-06 - 2014-07-12,14
2014-07-13 - 2014-07-19,13
2014-07-20 - 2014-07-26,14
2014-07-27 - 2014-08-02,14
2014-08-03 - 2014-08-09,13
2014-08-10 - 2014-08-16,12
2014-08-17 - 2014-08-23,16
2014-08-24 - 2014-08-30,11
2014-08-31 - 2014-09-06,11
2014-09-07 - 2014-09-13,15
2014-09-14 - 2014-09-20,12
2014-09-21 - 2014-09-27,12
2014-09-28 - 2014-10-04,13
2014-10-05 - 2014-10-11,11
2014-10-12 - 2014-10-18,10
2014-10-19 - 2014-10-25,11
2014-10-26 - 2014-11-01,13
2014-11-02 - 2014-11-08,12
2014-11-09 - 2014-11-15,13
2014-11-16 - 2014-11-22,11
2014-11-23 - 2014-11-29,13
2014-11-30 - 2014-12-06,11
2014-12-07 - 2014-12-13,11
2014-12-14 - 2014-12-20,15
2014-12-21 - 2014-12-27,12
2014-12-28 - 2015-01-03,11
2015-01-04 - 2015-01-10,12
2015-01-11 - 2015-01-17,12
2015-01-18 - 2015-01-24,8
2015-01-25 - 2015-01-31,13
2015-02-01 - 2015-02-07,11
2015-02-08 - 2015-02-14,11
2015-02-15 - 2015-02-21,12
2015-02-22 - 2015-02-28,10
2015-03-01 - 2015-03-07,10
2015-03-08 - 2015-03-14,10
2015-03-15 - 2015-03-21,10
2015-03-22 - 2015-03-28,10
2015-03-29 - 2015-04-04,15
2015-04-05 - 2015-04-11,11
2015-04-12 - 2015-04-18,10
2015-04-19 - 2015-04-25,11
2015-04-26 - 2015-05-02,10
2015-05-03 - 2015-05-09,10
2015-05-10 - 2015-05-16,13
2015-05-17 - 2015-05-23,11
2015-05-24 - 2015-05-30,20
2015-05-31 - 2015-06-06,13
2015-06-07 - 2015-06-13,15
2015-06-14 - 2015-06-20,13
2015-06-21 - 2015-06-27,18
2015-06-28 - 2015-07-04,15
2015-07-05 - 2015-07-11,19
2015-07-12 - 2015-07-18,14
2015-07-19 - 2015-07-25,15
2015-07-26 - 2015-08-01,11


Top sub-regions for rob thomas
Sub-region,rob thomas
Maine,100
South Dakota,93
North Dakota,89
New Hampshire,85
Missouri,80
Utah,76
Nebraska,76
Kentucky,75
Ohio,75
Michigan,73
Connecticut,72
Iowa,71
Montana,71
Idaho,71
Wisconsin,71
Minnesota,71
New Mexico,70
Pennsylvania,70
Massachusetts,70
Indiana,70
Arkansas,67
West Virginia,66
Rhode Island,66
Arizona,65
Colorado,64
Tennessee,64
New York,63
New Jersey,63
Vermont,63
Alabama,62
Kansas,62
South Carolina,61
Illinois,60
North Carolina,60
Texas,58
Louisiana,57
Mississippi,57
Oklahoma,56
Washington,55
District of Columbia,55
Florida,55
Nevada,54
Georgia,54
Maryland,50
Delaware,50
Virginia,50
Oregon,49
Hawaii,46
California,44
Alaska,0
Wyoming,0


Top metros for rob thomas
Metro,rob thomas
Cleveland-Akron (Canton) OH,100
Boston MA-Manchester NH,88
St. Louis MO,86
Phoenix AZ,81
Minneapolis-St. Paul MN,78
Dallas-Ft. Worth TX,78
Detroit MI,78
Philadelphia PA,76
Chicago IL,74
Sacramento-Stockton-Modesto CA,72
Orlando-Daytona Beach-Melbourne FL,71
Denver CO,71
New York NY,70
Tampa-St. Petersburg (Sarasota) FL,69
Seattle-Tacoma WA,66
Washington DC (Hagerstown MD),62
Houston TX,62
Atlanta GA,60
Miami-Ft. Lauderdale FL,54
Los Angeles CA,45
San Francisco-Oakland-San Jose CA,41
Portland-Auburn ME,0
Binghamton NY,0
Macon GA,0
Savannah GA,0
Pittsburgh PA,0
Ft. Wayne IN,0
Baltimore MD,0
Flint-Saginaw-Bay City MI,0
Buffalo NY,0
Cincinnati OH,0
Erie PA,0
Charlotte NC,0
Greensboro-High Point-Winston Salem NC,0
Charleston SC,0
Augusta GA,0
Providence RI-New Bedford MA,0
Columbus GA,0
Burlington VT-Plattsburgh NY,0
Albany GA,0
Utica NY,0
Indianapolis IN,0
Louisville KY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Albany-Schenectady-Troy NY,0
Hartford & New Haven CT,0
Columbus OH,0
Youngstown OH,0
Bangor ME,0
Rochester NY,0
Traverse City-Cadillac MI,0
Lexington KY,0
Dayton OH,0
Springfield-Holyoke MA,0
Norfolk-Portsmouth-Newport News VA,0
Greenville-New Bern-Washington NC,0
Columbia SC,0
Toledo OH,0
West Palm Beach-Ft. Pierce FL,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Syracuse NY,0
Richmond-Petersburg VA,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Raleigh-Durham (Fayetteville) NC,0
Jacksonville FL,0
Grand Rapids-Kalamazoo-Battle Creek MI,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisburg-Lancaster-Lebanon-York PA,0
Greenville-Spartanburg SC-Asheville NC-Anderson SC,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Roanoke-Lynchburg VA,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Wilkes Barre-Scranton PA,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Kansas City MO,0
Milwaukee WI,0
Springfield MO,0
New Orleans LA,0
Sioux City IA,0
Waco-Temple-Bryan TX,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Birmingham AL,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Austin TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Memphis TN,0
San Antonio TX,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Oklahoma City OK,0
Lubbock TX,0
Omaha NE,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
Nashville TN,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Madison WI,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Tulsa OK,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Wichita-Hutchinson KS,0
Des Moines-Ames IA,0
Davenport IA-Rock Island-Moline IL,0
Mobile AL-Pensacola (Ft. Walton Beach) FL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Little Rock-Pine Bluff AR,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Honolulu HI,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Colorado Springs-Pueblo CO,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Salt Lake City UT,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Tucson (Sierra Vista) AZ,0
Albuquerque-Santa Fe NM,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Portland OR,0
Bend OR,0
San Diego CA,0
Monterey-Salinas CA,0
Las Vegas NV,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Fresno-Visalia CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for rob thomas
Town/City,rob thomas
Richardson,100
St. Louis,93
Salt Lake City,93
Herndon,88
Reston,80
Louisville,80
Phoenix,79
Orlando,78
Minneapolis,78
Tampa,74
Denver,74
Atlanta,69
Boston,68
Columbus,67
Washington,63



Top searches for rob thomas
someday rob thomas,100
someday,100
rob thomas lyrics,95
diamonds,90
diamonds rob thomas,85
little wonders,80
her diamonds,75
smooth rob thomas,60
smooth,55
lonely no more,50
rob thomas santana,50
matchbox 20,40
smooth santana,40
ever the same,35
mockingbird rob thomas,35
mockingbird,35
rob thomas live,20
someday lyrics,15
little wonders lyrics,15
rob thomas acoustic,15
matchbox twenty,10
streetcorner symphony,10
carlos santana,10
rob thomas unwell,10
unwell,5
mockingbird lyrics,5
carlos santana smooth,5
push rob thomas,5
matchbox 20 unwell,5
rob thomas bent,5
someday nickelback,5
these small hours,5
rob thomas 3am,5
push matchbox 20,5



Rising searches for rob thomas
diamonds,Breakout
diamonds rob thomas,Breakout
her diamonds,Breakout
rob thomas lyrics,Breakout
smooth santana,Breakout
someday,Breakout
someday rob thomas,Breakout
smooth,+500%
smooth rob thomas,+450%
lonely no more,+350%



