YouTube Search interest: deadmau5
United States; Jan 2008 - Jul 2015

Interest over time
Week,deadmau5
2009-03-22 - 2009-03-28,5
2009-03-29 - 2009-04-04,9
2009-04-05 - 2009-04-11,6
2009-04-12 - 2009-04-18,7
2009-04-19 - 2009-04-25,6
2009-04-26 - 2009-05-02,5
2009-05-03 - 2009-05-09,6
2009-05-10 - 2009-05-16,6
2009-05-17 - 2009-05-23,8
2009-05-24 - 2009-05-30,8
2009-05-31 - 2009-06-06,7
2009-06-07 - 2009-06-13,6
2009-06-14 - 2009-06-20,7
2009-06-21 - 2009-06-27,6
2009-06-28 - 2009-07-04,6
2009-07-05 - 2009-07-11,6
2009-07-12 - 2009-07-18,7
2009-07-19 - 2009-07-25,8
2009-07-26 - 2009-08-01,8
2009-08-02 - 2009-08-08,7
2009-08-09 - 2009-08-15,9
2009-08-16 - 2009-08-22,7
2009-08-23 - 2009-08-29,9
2009-08-30 - 2009-09-05,10
2009-09-06 - 2009-09-12,12
2009-09-13 - 2009-09-19,9
2009-09-20 - 2009-09-26,11
2009-09-27 - 2009-10-03,11
2009-10-04 - 2009-10-10,14
2009-10-11 - 2009-10-17,12
2009-10-18 - 2009-10-24,13
2009-10-25 - 2009-10-31,14
2009-11-01 - 2009-11-07,17
2009-11-08 - 2009-11-14,16
2009-11-15 - 2009-11-21,16
2009-11-22 - 2009-11-28,16
2009-11-29 - 2009-12-05,13
2009-12-06 - 2009-12-12,13
2009-12-13 - 2009-12-19,14
2009-12-20 - 2009-12-26,11
2009-12-27 - 2010-01-02,12
2010-01-03 - 2010-01-09,14
2010-01-10 - 2010-01-16,16
2010-01-17 - 2010-01-23,18
2010-01-24 - 2010-01-30,19
2010-01-31 - 2010-02-06,17
2010-02-07 - 2010-02-13,16
2010-02-14 - 2010-02-20,18
2010-02-21 - 2010-02-27,16
2010-02-28 - 2010-03-06,18
2010-03-07 - 2010-03-13,16
2010-03-14 - 2010-03-20,16
2010-03-21 - 2010-03-27,18
2010-03-28 - 2010-04-03,21
2010-04-04 - 2010-04-10,21
2010-04-11 - 2010-04-17,19
2010-04-18 - 2010-04-24,26
2010-04-25 - 2010-05-01,24
2010-05-02 - 2010-05-08,22
2010-05-09 - 2010-05-15,23
2010-05-16 - 2010-05-22,22
2010-05-23 - 2010-05-29,22
2010-05-30 - 2010-06-05,19
2010-06-06 - 2010-06-12,20
2010-06-13 - 2010-06-19,22
2010-06-20 - 2010-06-26,20
2010-06-27 - 2010-07-03,27
2010-07-04 - 2010-07-10,26
2010-07-11 - 2010-07-17,24
2010-07-18 - 2010-07-24,26
2010-07-25 - 2010-07-31,25
2010-08-01 - 2010-08-07,23
2010-08-08 - 2010-08-14,21
2010-08-15 - 2010-08-21,29
2010-08-22 - 2010-08-28,32
2010-08-29 - 2010-09-04,31
2010-09-05 - 2010-09-11,30
2010-09-12 - 2010-09-18,63
2010-09-19 - 2010-09-25,46
2010-09-26 - 2010-10-02,42
2010-10-03 - 2010-10-09,44
2010-10-10 - 2010-10-16,45
2010-10-17 - 2010-10-23,48
2010-10-24 - 2010-10-30,46
2010-10-31 - 2010-11-06,48
2010-11-07 - 2010-11-13,43
2010-11-14 - 2010-11-20,43
2010-11-21 - 2010-11-27,40
2010-11-28 - 2010-12-04,40
2010-12-05 - 2010-12-11,49
2010-12-12 - 2010-12-18,47
2010-12-19 - 2010-12-25,45
2010-12-26 - 2011-01-01,43
2011-01-02 - 2011-01-08,47
2011-01-09 - 2011-01-15,46
2011-01-16 - 2011-01-22,45
2011-01-23 - 2011-01-29,48
2011-01-30 - 2011-02-05,46
2011-02-06 - 2011-02-12,46
2011-02-13 - 2011-02-19,45
2011-02-20 - 2011-02-26,45
2011-02-27 - 2011-03-05,43
2011-03-06 - 2011-03-12,40
2011-03-13 - 2011-03-19,42
2011-03-20 - 2011-03-26,41
2011-03-27 - 2011-04-02,48
2011-04-03 - 2011-04-09,43
2011-04-10 - 2011-04-16,41
2011-04-17 - 2011-04-23,40
2011-04-24 - 2011-04-30,43
2011-05-01 - 2011-05-07,47
2011-05-08 - 2011-05-14,45
2011-05-15 - 2011-05-21,48
2011-05-22 - 2011-05-28,45
2011-05-29 - 2011-06-04,47
2011-06-05 - 2011-06-11,42
2011-06-12 - 2011-06-18,44
2011-06-19 - 2011-06-25,39
2011-06-26 - 2011-07-02,40
2011-07-03 - 2011-07-09,38
2011-07-10 - 2011-07-16,41
2011-07-17 - 2011-07-23,39
2011-07-24 - 2011-07-30,42
2011-07-31 - 2011-08-06,42
2011-08-07 - 2011-08-13,56
2011-08-14 - 2011-08-20,52
2011-08-21 - 2011-08-27,51
2011-08-28 - 2011-09-03,55
2011-09-04 - 2011-09-10,57
2011-09-11 - 2011-09-17,55
2011-09-18 - 2011-09-24,52
2011-09-25 - 2011-10-01,53
2011-10-02 - 2011-10-08,53
2011-10-09 - 2011-10-15,57
2011-10-16 - 2011-10-22,55
2011-10-23 - 2011-10-29,56
2011-10-30 - 2011-11-05,57
2011-11-06 - 2011-11-12,57
2011-11-13 - 2011-11-19,51
2011-11-20 - 2011-11-26,49
2011-11-27 - 2011-12-03,55
2011-12-04 - 2011-12-10,52
2011-12-11 - 2011-12-17,62
2011-12-18 - 2011-12-24,51
2011-12-25 - 2011-12-31,52
2012-01-01 - 2012-01-07,49
2012-01-08 - 2012-01-14,44
2012-01-15 - 2012-01-21,46
2012-01-22 - 2012-01-28,44
2012-01-29 - 2012-02-04,42
2012-02-05 - 2012-02-11,40
2012-02-12 - 2012-02-18,100
2012-02-19 - 2012-02-25,66
2012-02-26 - 2012-03-03,55
2012-03-04 - 2012-03-10,49
2012-03-11 - 2012-03-17,48
2012-03-18 - 2012-03-24,51
2012-03-25 - 2012-03-31,45
2012-04-01 - 2012-04-07,43
2012-04-08 - 2012-04-14,42
2012-04-15 - 2012-04-21,40
2012-04-22 - 2012-04-28,43
2012-04-29 - 2012-05-05,40
2012-05-06 - 2012-05-12,40
2012-05-13 - 2012-05-19,42
2012-05-20 - 2012-05-26,40
2012-05-27 - 2012-06-02,40
2012-06-03 - 2012-06-09,41
2012-06-10 - 2012-06-16,36
2012-06-17 - 2012-06-23,37
2012-06-24 - 2012-06-30,41
2012-07-01 - 2012-07-07,39
2012-07-08 - 2012-07-14,41
2012-07-15 - 2012-07-21,38
2012-07-22 - 2012-07-28,36
2012-07-29 - 2012-08-04,36
2012-08-05 - 2012-08-11,37
2012-08-12 - 2012-08-18,39
2012-08-19 - 2012-08-25,39
2012-08-26 - 2012-09-01,43
2012-09-02 - 2012-09-08,40
2012-09-09 - 2012-09-15,39
2012-09-16 - 2012-09-22,36
2012-09-23 - 2012-09-29,50
2012-09-30 - 2012-10-06,45
2012-10-07 - 2012-10-13,38
2012-10-14 - 2012-10-20,35
2012-10-21 - 2012-10-27,34
2012-10-28 - 2012-11-03,33
2012-11-04 - 2012-11-10,32
2012-11-11 - 2012-11-17,32
2012-11-18 - 2012-11-24,30
2012-11-25 - 2012-12-01,35
2012-12-02 - 2012-12-08,34
2012-12-09 - 2012-12-15,33
2012-12-16 - 2012-12-22,36
2012-12-23 - 2012-12-29,37
2012-12-30 - 2013-01-05,34
2013-01-06 - 2013-01-12,32
2013-01-13 - 2013-01-19,32
2013-01-20 - 2013-01-26,30
2013-01-27 - 2013-02-02,28
2013-02-03 - 2013-02-09,29
2013-02-10 - 2013-02-16,26
2013-02-17 - 2013-02-23,26
2013-02-24 - 2013-03-02,25
2013-03-03 - 2013-03-09,27
2013-03-10 - 2013-03-16,27
2013-03-17 - 2013-03-23,32
2013-03-24 - 2013-03-30,29
2013-03-31 - 2013-04-06,24
2013-04-07 - 2013-04-13,26
2013-04-14 - 2013-04-20,23
2013-04-21 - 2013-04-27,22
2013-04-28 - 2013-05-04,23
2013-05-05 - 2013-05-11,25
2013-05-12 - 2013-05-18,22
2013-05-19 - 2013-05-25,23
2013-05-26 - 2013-06-01,25
2013-06-02 - 2013-06-08,21
2013-06-09 - 2013-06-15,21
2013-06-16 - 2013-06-22,20
2013-06-23 - 2013-06-29,21
2013-06-30 - 2013-07-06,21
2013-07-07 - 2013-07-13,20
2013-07-14 - 2013-07-20,19
2013-07-21 - 2013-07-27,20
2013-07-28 - 2013-08-03,20
2013-08-04 - 2013-08-10,19
2013-08-11 - 2013-08-17,20
2013-08-18 - 2013-08-24,19
2013-08-25 - 2013-08-31,18
2013-09-01 - 2013-09-07,22
2013-09-08 - 2013-09-14,21
2013-09-15 - 2013-09-21,18
2013-09-22 - 2013-09-28,20
2013-09-29 - 2013-10-05,20
2013-10-06 - 2013-10-12,18
2013-10-13 - 2013-10-19,20
2013-10-20 - 2013-10-26,18
2013-10-27 - 2013-11-02,20
2013-11-03 - 2013-11-09,19
2013-11-10 - 2013-11-16,21
2013-11-17 - 2013-11-23,17
2013-11-24 - 2013-11-30,18
2013-12-01 - 2013-12-07,18
2013-12-08 - 2013-12-14,17
2013-12-15 - 2013-12-21,16
2013-12-22 - 2013-12-28,17
2013-12-29 - 2014-01-04,18
2014-01-05 - 2014-01-11,16
2014-01-12 - 2014-01-18,16
2014-01-19 - 2014-01-25,15
2014-01-26 - 2014-02-01,17
2014-02-02 - 2014-02-08,15
2014-02-09 - 2014-02-15,16
2014-02-16 - 2014-02-22,16
2014-02-23 - 2014-03-01,15
2014-03-02 - 2014-03-08,14
2014-03-09 - 2014-03-15,13
2014-03-16 - 2014-03-22,13
2014-03-23 - 2014-03-29,14
2014-03-30 - 2014-04-05,32
2014-04-06 - 2014-04-12,20
2014-04-13 - 2014-04-19,17
2014-04-20 - 2014-04-26,14
2014-04-27 - 2014-05-03,14
2014-05-04 - 2014-05-10,13
2014-05-11 - 2014-05-17,14
2014-05-18 - 2014-05-24,16
2014-05-25 - 2014-05-31,16
2014-06-01 - 2014-06-07,18
2014-06-08 - 2014-06-14,17
2014-06-15 - 2014-06-21,20
2014-06-22 - 2014-06-28,17
2014-06-29 - 2014-07-05,17
2014-07-06 - 2014-07-12,15
2014-07-13 - 2014-07-19,14
2014-07-20 - 2014-07-26,14
2014-07-27 - 2014-08-02,14
2014-08-03 - 2014-08-09,12
2014-08-10 - 2014-08-16,13
2014-08-17 - 2014-08-23,13
2014-08-24 - 2014-08-30,13
2014-08-31 - 2014-09-06,17
2014-09-07 - 2014-09-13,14
2014-09-14 - 2014-09-20,14
2014-09-21 - 2014-09-27,13
2014-09-28 - 2014-10-04,13
2014-10-05 - 2014-10-11,13
2014-10-12 - 2014-10-18,14
2014-10-19 - 2014-10-25,14
2014-10-26 - 2014-11-01,14
2014-11-02 - 2014-11-08,12
2014-11-09 - 2014-11-15,13
2014-11-16 - 2014-11-22,13
2014-11-23 - 2014-11-29,12
2014-11-30 - 2014-12-06,13
2014-12-07 - 2014-12-13,14
2014-12-14 - 2014-12-20,12
2014-12-21 - 2014-12-27,11
2014-12-28 - 2015-01-03,11
2015-01-04 - 2015-01-10,13
2015-01-11 - 2015-01-17,13
2015-01-18 - 2015-01-24,13
2015-01-25 - 2015-01-31,13
2015-02-01 - 2015-02-07,11
2015-02-08 - 2015-02-14,11
2015-02-15 - 2015-02-21,11
2015-02-22 - 2015-02-28,10
2015-03-01 - 2015-03-07,10
2015-03-08 - 2015-03-14,12
2015-03-15 - 2015-03-21,10
2015-03-22 - 2015-03-28,11
2015-03-29 - 2015-04-04,12
2015-04-05 - 2015-04-11,11
2015-04-12 - 2015-04-18,12
2015-04-19 - 2015-04-25,9
2015-04-26 - 2015-05-02,9
2015-05-03 - 2015-05-09,10
2015-05-10 - 2015-05-16,9
2015-05-17 - 2015-05-23,11
2015-05-24 - 2015-05-30,9
2015-05-31 - 2015-06-06,11
2015-06-07 - 2015-06-13,11
2015-06-14 - 2015-06-20,9
2015-06-21 - 2015-06-27,10
2015-06-28 - 2015-07-04,9
2015-07-05 - 2015-07-11,11
2015-07-12 - 2015-07-18,10
2015-07-19 - 2015-07-25,10
2015-07-26 - 2015-08-01,11


Top sub-regions for deadmau5
Sub-region,deadmau5
Colorado,100
New Mexico,90
Utah,85
California,83
Nevada,77
Wyoming,71
Illinois,70
Arizona,70
Florida,69
Texas,66
Montana,63
Connecticut,61
Idaho,60
New Hampshire,59
Michigan,58
Washington,58
Massachusetts,57
Wisconsin,56
Vermont,56
New Jersey,55
New York,53
Rhode Island,52
North Dakota,52
Indiana,51
Pennsylvania,51
Minnesota,50
Oregon,49
Maryland,48
Hawaii,48
Maine,47
Delaware,46
Iowa,45
Oklahoma,45
Ohio,45
Alaska,44
West Virginia,44
Missouri,43
Kansas,42
Tennessee,41
South Dakota,41
Nebraska,40
North Carolina,39
Arkansas,38
Georgia,38
South Carolina,37
District of Columbia,36
Virginia,36
Louisiana,35
Kentucky,34
Alabama,32
Mississippi,27


Top metros for deadmau5
Metro,deadmau5
El Paso TX,100
Santa Barbara-Santa Maria-San Luis Obispo CA,71
Los Angeles CA,64
Denver CO,60
San Diego CA,59
Salt Lake City UT,59
Albuquerque-Santa Fe NM,55
Colorado Springs-Pueblo CO,52
Las Vegas NV,50
Miami-Ft. Lauderdale FL,50
Reno NV,49
Harlingen-Weslaco-Brownsville-McAllen TX,46
Phoenix AZ,46
Monterey-Salinas CA,46
Chicago IL,44
Austin TX,43
West Palm Beach-Ft. Pierce FL,39
Springfield-Holyoke MA,39
Burlington VT-Plattsburgh NY,39
Champaign & Springfield-Decatur IL,38
Spokane WA,38
Detroit MI,37
San Antonio TX,37
Tucson (Sierra Vista) AZ,37
Waco-Temple-Bryan TX,36
Hartford & New Haven CT,36
Sacramento-Stockton-Modesto CA,35
Tampa-St. Petersburg (Sarasota) FL,35
New York NY,35
Fresno-Visalia CA,35
Boston MA-Manchester NH,35
Orlando-Daytona Beach-Melbourne FL,34
Houston TX,34
Seattle-Tacoma WA,34
Albany-Schenectady-Troy NY,33
Syracuse NY,33
Providence RI-New Bedford MA,33
Dallas-Ft. Worth TX,32
Philadelphia PA,32
Madison WI,32
Buffalo NY,31
Portland-Auburn ME,31
Milwaukee WI,31
Grand Rapids-Kalamazoo-Battle Creek MI,31
Honolulu HI,29
Wilkes Barre-Scranton PA,28
Harrisburg-Lancaster-Lebanon-York PA,28
Minneapolis-St. Paul MN,28
Pittsburgh PA,28
Rochester NY,27
Columbus OH,27
Nashville TN,27
St. Louis MO,27
San Francisco-Oakland-San Jose CA,27
Indianapolis IN,27
Cleveland-Akron (Canton) OH,26
Portland OR,26
Baltimore MD,25
Richmond-Petersburg VA,25
Kansas City MO,24
Raleigh-Durham (Fayetteville) NC,24
Atlanta GA,24
Charlotte NC,24
Jacksonville FL,23
Oklahoma City OK,23
Cincinnati OH,22
Washington DC (Hagerstown MD),22
New Orleans LA,21
Louisville KY,21
Greenville-Spartanburg SC-Asheville NC-Anderson SC,20
Norfolk-Portsmouth-Newport News VA,20
Greensboro-High Point-Winston Salem NC,20
Binghamton NY,0
Macon GA,0
Savannah GA,0
Ft. Wayne IN,0
Flint-Saginaw-Bay City MI,0
Erie PA,0
Charleston SC,0
Augusta GA,0
Columbus GA,0
Albany GA,0
Utica NY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Youngstown OH,0
Bangor ME,0
Traverse City-Cadillac MI,0
Lexington KY,0
Dayton OH,0
Greenville-New Bern-Washington NC,0
Columbia SC,0
Toledo OH,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Roanoke-Lynchburg VA,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Springfield MO,0
Sioux City IA,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Birmingham AL,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Memphis TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Evansville IN,0
Lubbock TX,0
Omaha NE,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Tulsa OK,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Wichita-Hutchinson KS,0
Des Moines-Ames IA,0
Davenport IA-Rock Island-Moline IL,0
Mobile AL-Pensacola (Ft. Walton Beach) FL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Little Rock-Pine Bluff AR,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Medford-Klamath Falls OR,0
Bend OR,0
Chico-Redding CA,0


Top cities for deadmau5
Town/City,deadmau5
El Paso,100
Los Angeles,56
Denver,55
San Diego,50
Albuquerque,46
Miami,46
Irvine,45
Las Vegas,45
Salt Lake City,45
Austin,38
San Antonio,35
Tucson,35
San Francisco,34
Phoenix,32
San Jose,32



Top searches for deadmau5
deadmau5 ghosts,100
ghosts and stuff,75
deadmau5 remix,70
raise your weapon,65
skrillex,65
strobe,60
deadmau5 strobe,60
dubstep,45
dubstep deadmau5,45
deadmau5 live,40
deadmau5 remember,40
i remember,40
i remember deadmau5,40
ghosts n stuff,35
dj deadmau5,30
kaskade,25
deadmau5 mix,20
daft punk,20
tiesto,15
new deadmau5,15
some chords deadmau5,15
deadmau5 veldt,15
the veldt deadmau5,15
deadmau5 professional griefers,10
professional griefers,10
dubstep remix,10
deadmau5 head,10
animal rights deadmau5,10
bassnectar,10
nero,10
benny benassi,10
ghost n stuff,10
afrojack,10
deadmau5 longest road,5
swedish house mafia,5
deadmau5 hey baby,5
deadmau5 interview,5
not exactly deadmau5,5
cinema skrillex,5
aural psynapse deadmau5,5
fml deadmau5,5
skrillex live,5
deadmau5 faxing berlin,5
deadmau5 minecraft,5
brazil deadmau5,5



Rising searches for deadmau5
deadmau5 ghosts,Breakout
deadmau5 live,Breakout
deadmau5 remember,Breakout
deadmau5 remix,Breakout
deadmau5 strobe,Breakout
dubstep,Breakout
dubstep deadmau5,Breakout
ghosts and stuff,Breakout
ghosts n stuff,Breakout
i remember,Breakout



