YouTube Search interest: mindless behavior
United States; Jan 2008 - Jul 2015

Interest over time
Week,mindless behavior
2009-03-22 - 2009-03-28,0
2009-03-29 - 2009-04-04,0
2009-04-05 - 2009-04-11,0
2009-04-12 - 2009-04-18,0
2009-04-19 - 2009-04-25,0
2009-04-26 - 2009-05-02,0
2009-05-03 - 2009-05-09,0
2009-05-10 - 2009-05-16,0
2009-05-17 - 2009-05-23,0
2009-05-24 - 2009-05-30,0
2009-05-31 - 2009-06-06,0
2009-06-07 - 2009-06-13,0
2009-06-14 - 2009-06-20,0
2009-06-21 - 2009-06-27,0
2009-06-28 - 2009-07-04,0
2009-07-05 - 2009-07-11,0
2009-07-12 - 2009-07-18,0
2009-07-19 - 2009-07-25,0
2009-07-26 - 2009-08-01,0
2009-08-02 - 2009-08-08,0
2009-08-09 - 2009-08-15,0
2009-08-16 - 2009-08-22,0
2009-08-23 - 2009-08-29,0
2009-08-30 - 2009-09-05,0
2009-09-06 - 2009-09-12,0
2009-09-13 - 2009-09-19,0
2009-09-20 - 2009-09-26,0
2009-09-27 - 2009-10-03,0
2009-10-04 - 2009-10-10,0
2009-10-11 - 2009-10-17,0
2009-10-18 - 2009-10-24,0
2009-10-25 - 2009-10-31,0
2009-11-01 - 2009-11-07,0
2009-11-08 - 2009-11-14,0
2009-11-15 - 2009-11-21,0
2009-11-22 - 2009-11-28,0
2009-11-29 - 2009-12-05,0
2009-12-06 - 2009-12-12,0
2009-12-13 - 2009-12-19,0
2009-12-20 - 2009-12-26,0
2009-12-27 - 2010-01-02,0
2010-01-03 - 2010-01-09,0
2010-01-10 - 2010-01-16,0
2010-01-17 - 2010-01-23,0
2010-01-24 - 2010-01-30,0
2010-01-31 - 2010-02-06,0
2010-02-07 - 2010-02-13,0
2010-02-14 - 2010-02-20,0
2010-02-21 - 2010-02-27,0
2010-02-28 - 2010-03-06,0
2010-03-07 - 2010-03-13,0
2010-03-14 - 2010-03-20,0
2010-03-21 - 2010-03-27,0
2010-03-28 - 2010-04-03,0
2010-04-04 - 2010-04-10,0
2010-04-11 - 2010-04-17,0
2010-04-18 - 2010-04-24,0
2010-04-25 - 2010-05-01,0
2010-05-02 - 2010-05-08,0
2010-05-09 - 2010-05-15,0
2010-05-16 - 2010-05-22,0
2010-05-23 - 2010-05-29,0
2010-05-30 - 2010-06-05,0
2010-06-06 - 2010-06-12,0
2010-06-13 - 2010-06-19,0
2010-06-20 - 2010-06-26,0
2010-06-27 - 2010-07-03,0
2010-07-04 - 2010-07-10,0
2010-07-11 - 2010-07-17,0
2010-07-18 - 2010-07-24,0
2010-07-25 - 2010-07-31,0
2010-08-01 - 2010-08-07,0
2010-08-08 - 2010-08-14,0
2010-08-15 - 2010-08-21,0
2010-08-22 - 2010-08-28,0
2010-08-29 - 2010-09-04,0
2010-09-05 - 2010-09-11,1
2010-09-12 - 2010-09-18,2
2010-09-19 - 2010-09-25,2
2010-09-26 - 2010-10-02,3
2010-10-03 - 2010-10-09,4
2010-10-10 - 2010-10-16,6
2010-10-17 - 2010-10-23,12
2010-10-24 - 2010-10-30,15
2010-10-31 - 2010-11-06,14
2010-11-07 - 2010-11-13,12
2010-11-14 - 2010-11-20,11
2010-11-21 - 2010-11-27,11
2010-11-28 - 2010-12-04,9
2010-12-05 - 2010-12-11,8
2010-12-12 - 2010-12-18,9
2010-12-19 - 2010-12-25,11
2010-12-26 - 2011-01-01,10
2011-01-02 - 2011-01-08,10
2011-01-09 - 2011-01-15,10
2011-01-16 - 2011-01-22,11
2011-01-23 - 2011-01-29,12
2011-01-30 - 2011-02-05,15
2011-02-06 - 2011-02-12,15
2011-02-13 - 2011-02-19,15
2011-02-20 - 2011-02-26,17
2011-02-27 - 2011-03-05,18
2011-03-06 - 2011-03-12,16
2011-03-13 - 2011-03-19,19
2011-03-20 - 2011-03-26,17
2011-03-27 - 2011-04-02,26
2011-04-03 - 2011-04-09,25
2011-04-10 - 2011-04-16,26
2011-04-17 - 2011-04-23,26
2011-04-24 - 2011-04-30,23
2011-05-01 - 2011-05-07,19
2011-05-08 - 2011-05-14,17
2011-05-15 - 2011-05-21,16
2011-05-22 - 2011-05-28,20
2011-05-29 - 2011-06-04,28
2011-06-05 - 2011-06-11,24
2011-06-12 - 2011-06-18,21
2011-06-19 - 2011-06-25,19
2011-06-26 - 2011-07-02,28
2011-07-03 - 2011-07-09,33
2011-07-10 - 2011-07-16,44
2011-07-17 - 2011-07-23,46
2011-07-24 - 2011-07-30,54
2011-07-31 - 2011-08-06,78
2011-08-07 - 2011-08-13,100
2011-08-14 - 2011-08-20,92
2011-08-21 - 2011-08-27,83
2011-08-28 - 2011-09-03,70
2011-09-04 - 2011-09-10,70
2011-09-11 - 2011-09-17,65
2011-09-18 - 2011-09-24,80
2011-09-25 - 2011-10-01,77
2011-10-02 - 2011-10-08,76
2011-10-09 - 2011-10-15,80
2011-10-16 - 2011-10-22,88
2011-10-23 - 2011-10-29,79
2011-10-30 - 2011-11-05,85
2011-11-06 - 2011-11-12,89
2011-11-13 - 2011-11-19,71
2011-11-20 - 2011-11-26,82
2011-11-27 - 2011-12-03,59
2011-12-04 - 2011-12-10,54
2011-12-11 - 2011-12-17,62
2011-12-18 - 2011-12-24,65
2011-12-25 - 2011-12-31,64
2012-01-01 - 2012-01-07,51
2012-01-08 - 2012-01-14,44
2012-01-15 - 2012-01-21,45
2012-01-22 - 2012-01-28,40
2012-01-29 - 2012-02-04,39
2012-02-05 - 2012-02-11,41
2012-02-12 - 2012-02-18,40
2012-02-19 - 2012-02-25,39
2012-02-26 - 2012-03-03,33
2012-03-04 - 2012-03-10,42
2012-03-11 - 2012-03-17,48
2012-03-18 - 2012-03-24,41
2012-03-25 - 2012-03-31,39
2012-04-01 - 2012-04-07,43
2012-04-08 - 2012-04-14,38
2012-04-15 - 2012-04-21,34
2012-04-22 - 2012-04-28,32
2012-04-29 - 2012-05-05,31
2012-05-06 - 2012-05-12,29
2012-05-13 - 2012-05-19,28
2012-05-20 - 2012-05-26,28
2012-05-27 - 2012-06-02,29
2012-06-03 - 2012-06-09,27
2012-06-10 - 2012-06-16,28
2012-06-17 - 2012-06-23,28
2012-06-24 - 2012-06-30,27
2012-07-01 - 2012-07-07,32
2012-07-08 - 2012-07-14,32
2012-07-15 - 2012-07-21,30
2012-07-22 - 2012-07-28,32
2012-07-29 - 2012-08-04,32
2012-08-05 - 2012-08-11,30
2012-08-12 - 2012-08-18,27
2012-08-19 - 2012-08-25,25
2012-08-26 - 2012-09-01,22
2012-09-02 - 2012-09-08,20
2012-09-09 - 2012-09-15,17
2012-09-16 - 2012-09-22,17
2012-09-23 - 2012-09-29,17
2012-09-30 - 2012-10-06,17
2012-10-07 - 2012-10-13,16
2012-10-14 - 2012-10-20,13
2012-10-21 - 2012-10-27,14
2012-10-28 - 2012-11-03,14
2012-11-04 - 2012-11-10,14
2012-11-11 - 2012-11-17,15
2012-11-18 - 2012-11-24,16
2012-11-25 - 2012-12-01,12
2012-12-02 - 2012-12-08,12
2012-12-09 - 2012-12-15,12
2012-12-16 - 2012-12-22,15
2012-12-23 - 2012-12-29,18
2012-12-30 - 2013-01-05,18
2013-01-06 - 2013-01-12,13
2013-01-13 - 2013-01-19,14
2013-01-20 - 2013-01-26,16
2013-01-27 - 2013-02-02,16
2013-02-03 - 2013-02-09,13
2013-02-10 - 2013-02-16,19
2013-02-17 - 2013-02-23,21
2013-02-24 - 2013-03-02,18
2013-03-03 - 2013-03-09,23
2013-03-10 - 2013-03-16,29
2013-03-17 - 2013-03-23,27
2013-03-24 - 2013-03-30,26
2013-03-31 - 2013-04-06,21
2013-04-07 - 2013-04-13,18
2013-04-14 - 2013-04-20,17
2013-04-21 - 2013-04-27,16
2013-04-28 - 2013-05-04,16
2013-05-05 - 2013-05-11,15
2013-05-12 - 2013-05-18,16
2013-05-19 - 2013-05-25,17
2013-05-26 - 2013-06-01,17
2013-06-02 - 2013-06-08,17
2013-06-09 - 2013-06-15,22
2013-06-16 - 2013-06-22,18
2013-06-23 - 2013-06-29,19
2013-06-30 - 2013-07-06,17
2013-07-07 - 2013-07-13,17
2013-07-14 - 2013-07-20,16
2013-07-21 - 2013-07-27,16
2013-07-28 - 2013-08-03,16
2013-08-04 - 2013-08-10,13
2013-08-11 - 2013-08-17,14
2013-08-18 - 2013-08-24,11
2013-08-25 - 2013-08-31,10
2013-09-01 - 2013-09-07,10
2013-09-08 - 2013-09-14,10
2013-09-15 - 2013-09-21,9
2013-09-22 - 2013-09-28,8
2013-09-29 - 2013-10-05,8
2013-10-06 - 2013-10-12,8
2013-10-13 - 2013-10-19,8
2013-10-20 - 2013-10-26,8
2013-10-27 - 2013-11-02,8
2013-11-03 - 2013-11-09,9
2013-11-10 - 2013-11-16,9
2013-11-17 - 2013-11-23,8
2013-11-24 - 2013-11-30,9
2013-12-01 - 2013-12-07,7
2013-12-08 - 2013-12-14,8
2013-12-15 - 2013-12-21,8
2013-12-22 - 2013-12-28,10
2013-12-29 - 2014-01-04,7
2014-01-05 - 2014-01-11,6
2014-01-12 - 2014-01-18,6
2014-01-19 - 2014-01-25,7
2014-01-26 - 2014-02-01,7
2014-02-02 - 2014-02-08,6
2014-02-09 - 2014-02-15,6
2014-02-16 - 2014-02-22,6
2014-02-23 - 2014-03-01,6
2014-03-02 - 2014-03-08,5
2014-03-09 - 2014-03-15,5
2014-03-16 - 2014-03-22,6
2014-03-23 - 2014-03-29,6
2014-03-30 - 2014-04-05,6
2014-04-06 - 2014-04-12,6
2014-04-13 - 2014-04-19,6
2014-04-20 - 2014-04-26,5
2014-04-27 - 2014-05-03,5
2014-05-04 - 2014-05-10,6
2014-05-11 - 2014-05-17,5
2014-05-18 - 2014-05-24,5
2014-05-25 - 2014-05-31,5
2014-06-01 - 2014-06-07,5
2014-06-08 - 2014-06-14,6
2014-06-15 - 2014-06-21,6
2014-06-22 - 2014-06-28,6
2014-06-29 - 2014-07-05,5
2014-07-06 - 2014-07-12,5
2014-07-13 - 2014-07-19,4
2014-07-20 - 2014-07-26,4
2014-07-27 - 2014-08-02,5
2014-08-03 - 2014-08-09,4
2014-08-10 - 2014-08-16,4
2014-08-17 - 2014-08-23,4
2014-08-24 - 2014-08-30,3
2014-08-31 - 2014-09-06,3
2014-09-07 - 2014-09-13,3
2014-09-14 - 2014-09-20,4
2014-09-21 - 2014-09-27,3
2014-09-28 - 2014-10-04,3
2014-10-05 - 2014-10-11,3
2014-10-12 - 2014-10-18,3
2014-10-19 - 2014-10-25,3
2014-10-26 - 2014-11-01,3
2014-11-02 - 2014-11-08,3
2014-11-09 - 2014-11-15,3
2014-11-16 - 2014-11-22,4
2014-11-23 - 2014-11-29,4
2014-11-30 - 2014-12-06,3
2014-12-07 - 2014-12-13,3
2014-12-14 - 2014-12-20,3
2014-12-21 - 2014-12-27,4
2014-12-28 - 2015-01-03,4
2015-01-04 - 2015-01-10,3
2015-01-11 - 2015-01-17,3
2015-01-18 - 2015-01-24,3
2015-01-25 - 2015-01-31,3
2015-02-01 - 2015-02-07,2
2015-02-08 - 2015-02-14,3
2015-02-15 - 2015-02-21,4
2015-02-22 - 2015-02-28,3
2015-03-01 - 2015-03-07,2
2015-03-08 - 2015-03-14,3
2015-03-15 - 2015-03-21,3
2015-03-22 - 2015-03-28,3
2015-03-29 - 2015-04-04,2
2015-04-05 - 2015-04-11,2
2015-04-12 - 2015-04-18,2
2015-04-19 - 2015-04-25,2
2015-04-26 - 2015-05-02,2
2015-05-03 - 2015-05-09,2
2015-05-10 - 2015-05-16,3
2015-05-17 - 2015-05-23,2
2015-05-24 - 2015-05-30,2
2015-05-31 - 2015-06-06,2
2015-06-07 - 2015-06-13,3
2015-06-14 - 2015-06-20,3
2015-06-21 - 2015-06-27,2
2015-06-28 - 2015-07-04,3
2015-07-05 - 2015-07-11,2
2015-07-12 - 2015-07-18,2
2015-07-19 - 2015-07-25,2
2015-07-26 - 2015-08-01,2


Top sub-regions for mindless behavior
Sub-region,mindless behavior
Mississippi,100
Louisiana,91
Alabama,77
Georgia,73
South Carolina,69
Maryland,69
Tennessee,52
North Carolina,52
Delaware,50
Arkansas,47
Florida,43
Ohio,43
Michigan,41
Illinois,39
Texas,37
Indiana,37
Missouri,36
Kentucky,35
New York,32
District of Columbia,31
Pennsylvania,31
New Jersey,27
Connecticut,27
Oklahoma,26
Wisconsin,24
Kansas,24
Rhode Island,23
Nevada,23
Hawaii,22
Virginia,22
New Mexico,22
Minnesota,20
Massachusetts,20
Iowa,19
Arizona,18
Nebraska,18
West Virginia,17
Colorado,17
South Dakota,16
California,15
North Dakota,12
Washington,12
Wyoming,12
Alaska,10
Utah,10
Montana,10
New Hampshire,8
Idaho,8
Maine,8
Oregon,8
Vermont,0


Top metros for mindless behavior
Metro,mindless behavior
Augusta GA,100
Montgomery (Selma) AL,100
Memphis TN,96
Albany GA,92
Shreveport LA,87
Baton Rouge LA,86
Columbus GA,84
Florence-Myrtle Beach SC,83
Jackson MS,80
Macon GA,79
Lafayette LA,78
Columbia SC,78
Birmingham AL,71
New Orleans LA,69
Charleston SC,67
Atlanta GA,61
Baltimore MD,58
Norfolk-Portsmouth-Newport News VA,58
Raleigh-Durham (Fayetteville) NC,57
Savannah GA,56
Tallahassee FL-Thomasville GA,56
Mobile AL-Pensacola (Ft. Walton Beach) FL,56
Little Rock-Pine Bluff AR,54
Huntsville-Decatur (Florence) AL,51
Jacksonville FL,51
Richmond-Petersburg VA,51
Louisville KY,46
Detroit MI,46
Charlotte NC,45
Cleveland-Akron (Canton) OH,44
Greensboro-High Point-Winston Salem NC,43
West Palm Beach-Ft. Pierce FL,43
Miami-Ft. Lauderdale FL,42
Milwaukee WI,41
Houston TX,40
Cincinnati OH,40
Chicago IL,40
St. Louis MO,40
Nashville TN,40
Toledo OH,38
Waco-Temple-Bryan TX,37
Indianapolis IN,35
Columbus OH,34
Philadelphia PA,34
Orlando-Daytona Beach-Melbourne FL,34
Dayton OH,34
Dallas-Ft. Worth TX,33
Greenville-Spartanburg SC-Asheville NC-Anderson SC,32
Tampa-St. Petersburg (Sarasota) FL,31
Kansas City MO,31
Rochester NY,30
New York NY,30
Buffalo NY,29
Grand Rapids-Kalamazoo-Battle Creek MI,29
Tulsa OK,27
San Antonio TX,26
Hartford & New Haven CT,25
Oklahoma City OK,25
Las Vegas NV,24
Harrisburg-Lancaster-Lebanon-York PA,23
Washington DC (Hagerstown MD),23
Fresno-Visalia CA,21
Sacramento-Stockton-Modesto CA,20
Minneapolis-St. Paul MN,20
Phoenix AZ,19
Pittsburgh PA,19
Honolulu HI,18
Providence RI-New Bedford MA,17
Austin TX,17
Los Angeles CA,16
Boston MA-Manchester NH,16
Denver CO,15
San Diego CA,14
Seattle-Tacoma WA,12
San Francisco-Oakland-San Jose CA,8
Portland-Auburn ME,0
Binghamton NY,0
Ft. Wayne IN,0
Flint-Saginaw-Bay City MI,0
Erie PA,0
Burlington VT-Plattsburgh NY,0
Utica NY,0
Tri-Cities TN-VA,0
Albany-Schenectady-Troy NY,0
Youngstown OH,0
Bangor ME,0
Traverse City-Cadillac MI,0
Lexington KY,0
Springfield-Holyoke MA,0
Greenville-New Bern-Washington NC,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Syracuse NY,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisonburg VA,0
Ft. Myers-Naples FL,0
Roanoke-Lynchburg VA,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Wilkes Barre-Scranton PA,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Springfield MO,0
Sioux City IA,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Lubbock TX,0
Omaha NE,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Madison WI,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Wichita-Hutchinson KS,0
Des Moines-Ames IA,0
Davenport IA-Rock Island-Moline IL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Beaumont-Port Arthur TX,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Quincy IL-Hannibal MO-Keokuk IA,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Colorado Springs-Pueblo CO,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Salt Lake City UT,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Tucson (Sierra Vista) AZ,0
Albuquerque-Santa Fe NM,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Portland OR,0
Bend OR,0
Monterey-Salinas CA,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for mindless behavior
Town/City,mindless behavior
Memphis,100
Detroit,84
Baton Rouge,75
Baltimore,74
Birmingham,70
Columbia,61
New Orleans,60
Cleveland,58
Milwaukee,56
Jackson,51
Jacksonville,50
Philadelphia,49
Charlotte,47
Indianapolis,46
Columbus,42



Top searches for mindless behavior
mrs right,100
mindless behavior lyrics,95
my girl,65
hello,25
mindless behavior future,20
mindless behavior hello,20
future,20
mindless behavior remix,20
diggy,20
my girl lyrics,20
diggy simmons,15
omg girlz,15
girls talkin bout,10
mindless behavior songs,10
mrs.right,10
cat daddy,10
mrs.right mindless behavior,10
mindless behavior christmas,10
it girl,10
princeton mindless behavior,10
princeton,10
jacob latimore,10
mindless behavior 2012,10
mindless behavior dancing,10
willow smith,5
mindless behavior gone,5
my girl remix,5
mb,5
mindless behavior live,5
mindless behavior interview,5
so random,5
roc royal,5
prodigy,5
lil twist,5
mindless behavior performing,5



Rising searches for mindless behavior
diggy,Breakout
future,Breakout
hello,Breakout
mindless behavior future,Breakout
mindless behavior hello,Breakout
mindless behavior lyrics,Breakout
mindless behavior remix,Breakout
mrs right,Breakout
my girl,Breakout



