YouTube Search interest: kid rock
United States; Jan 2008 - Jul 2015

Interest over time
Week,kid rock
2011-01-09 - 2011-01-15,37
2011-01-16 - 2011-01-22,39
2011-01-23 - 2011-01-29,40
2011-01-30 - 2011-02-05,39
2011-02-06 - 2011-02-12,38
2011-02-13 - 2011-02-19,39
2011-02-20 - 2011-02-26,38
2011-02-27 - 2011-03-05,38
2011-03-06 - 2011-03-12,40
2011-03-13 - 2011-03-19,39
2011-03-20 - 2011-03-26,32
2011-03-27 - 2011-04-02,39
2011-04-03 - 2011-04-09,40
2011-04-10 - 2011-04-16,38
2011-04-17 - 2011-04-23,40
2011-04-24 - 2011-04-30,37
2011-05-01 - 2011-05-07,37
2011-05-08 - 2011-05-14,37
2011-05-15 - 2011-05-21,36
2011-05-22 - 2011-05-28,36
2011-05-29 - 2011-06-04,38
2011-06-05 - 2011-06-11,46
2011-06-12 - 2011-06-18,39
2011-06-19 - 2011-06-25,38
2011-06-26 - 2011-07-02,40
2011-07-03 - 2011-07-09,39
2011-07-10 - 2011-07-16,40
2011-07-17 - 2011-07-23,37
2011-07-24 - 2011-07-30,38
2011-07-31 - 2011-08-06,36
2011-08-07 - 2011-08-13,33
2011-08-14 - 2011-08-20,38
2011-08-21 - 2011-08-27,34
2011-08-28 - 2011-09-03,35
2011-09-04 - 2011-09-10,40
2011-09-11 - 2011-09-17,36
2011-09-18 - 2011-09-24,33
2011-09-25 - 2011-10-01,32
2011-10-02 - 2011-10-08,32
2011-10-09 - 2011-10-15,32
2011-10-16 - 2011-10-22,30
2011-10-23 - 2011-10-29,31
2011-10-30 - 2011-11-05,33
2011-11-06 - 2011-11-12,31
2011-11-13 - 2011-11-19,31
2011-11-20 - 2011-11-26,32
2011-11-27 - 2011-12-03,35
2011-12-04 - 2011-12-10,33
2011-12-11 - 2011-12-17,32
2011-12-18 - 2011-12-24,30
2011-12-25 - 2011-12-31,31
2012-01-01 - 2012-01-07,29
2012-01-08 - 2012-01-14,34
2012-01-15 - 2012-01-21,34
2012-01-22 - 2012-01-28,32
2012-01-29 - 2012-02-04,32
2012-02-05 - 2012-02-11,28
2012-02-12 - 2012-02-18,28
2012-02-19 - 2012-02-25,30
2012-02-26 - 2012-03-03,31
2012-03-04 - 2012-03-10,31
2012-03-11 - 2012-03-17,29
2012-03-18 - 2012-03-24,29
2012-03-25 - 2012-03-31,30
2012-04-01 - 2012-04-07,27
2012-04-08 - 2012-04-14,28
2012-04-15 - 2012-04-21,27
2012-04-22 - 2012-04-28,26
2012-04-29 - 2012-05-05,27
2012-05-06 - 2012-05-12,27
2012-05-13 - 2012-05-19,29
2012-05-20 - 2012-05-26,27
2012-05-27 - 2012-06-02,29
2012-06-03 - 2012-06-09,29
2012-06-10 - 2012-06-16,27
2012-06-17 - 2012-06-23,27
2012-06-24 - 2012-06-30,27
2012-07-01 - 2012-07-07,28
2012-07-08 - 2012-07-14,26
2012-07-15 - 2012-07-21,27
2012-07-22 - 2012-07-28,26
2012-07-29 - 2012-08-04,24
2012-08-05 - 2012-08-11,25
2012-08-12 - 2012-08-18,23
2012-08-19 - 2012-08-25,27
2012-08-26 - 2012-09-01,26
2012-09-02 - 2012-09-08,26
2012-09-09 - 2012-09-15,23
2012-09-16 - 2012-09-22,22
2012-09-23 - 2012-09-29,23
2012-09-30 - 2012-10-06,25
2012-10-07 - 2012-10-13,27
2012-10-14 - 2012-10-20,25
2012-10-21 - 2012-10-27,23
2012-10-28 - 2012-11-03,24
2012-11-04 - 2012-11-10,26
2012-11-11 - 2012-11-17,26
2012-11-18 - 2012-11-24,31
2012-11-25 - 2012-12-01,25
2012-12-02 - 2012-12-08,25
2012-12-09 - 2012-12-15,24
2012-12-16 - 2012-12-22,26
2012-12-23 - 2012-12-29,26
2012-12-30 - 2013-01-05,26
2013-01-06 - 2013-01-12,23
2013-01-13 - 2013-01-19,23
2013-01-20 - 2013-01-26,22
2013-01-27 - 2013-02-02,23
2013-02-03 - 2013-02-09,23
2013-02-10 - 2013-02-16,25
2013-02-17 - 2013-02-23,22
2013-02-24 - 2013-03-02,22
2013-03-03 - 2013-03-09,24
2013-03-10 - 2013-03-16,21
2013-03-17 - 2013-03-23,22
2013-03-24 - 2013-03-30,21
2013-03-31 - 2013-04-06,21
2013-04-07 - 2013-04-13,24
2013-04-14 - 2013-04-20,24
2013-04-21 - 2013-04-27,25
2013-04-28 - 2013-05-04,24
2013-05-05 - 2013-05-11,24
2013-05-12 - 2013-05-18,24
2013-05-19 - 2013-05-25,27
2013-05-26 - 2013-06-01,23
2013-06-02 - 2013-06-08,23
2013-06-09 - 2013-06-15,21
2013-06-16 - 2013-06-22,20
2013-06-23 - 2013-06-29,22
2013-06-30 - 2013-07-06,26
2013-07-07 - 2013-07-13,24
2013-07-14 - 2013-07-20,22
2013-07-21 - 2013-07-27,23
2013-07-28 - 2013-08-03,23
2013-08-04 - 2013-08-10,22
2013-08-11 - 2013-08-17,22
2013-08-18 - 2013-08-24,22
2013-08-25 - 2013-08-31,22
2013-09-01 - 2013-09-07,19
2013-09-08 - 2013-09-14,22
2013-09-15 - 2013-09-21,20
2013-09-22 - 2013-09-28,21
2013-09-29 - 2013-10-05,18
2013-10-06 - 2013-10-12,19
2013-10-13 - 2013-10-19,18
2013-10-20 - 2013-10-26,17
2013-10-27 - 2013-11-02,18
2013-11-03 - 2013-11-09,19
2013-11-10 - 2013-11-16,17
2013-11-17 - 2013-11-23,17
2013-11-24 - 2013-11-30,18
2013-12-01 - 2013-12-07,19
2013-12-08 - 2013-12-14,17
2013-12-15 - 2013-12-21,18
2013-12-22 - 2013-12-28,18
2013-12-29 - 2014-01-04,18
2014-01-05 - 2014-01-11,18
2014-01-12 - 2014-01-18,19
2014-01-19 - 2014-01-25,18
2014-01-26 - 2014-02-01,17
2014-02-02 - 2014-02-08,18
2014-02-09 - 2014-02-15,17
2014-02-16 - 2014-02-22,17
2014-02-23 - 2014-03-01,19
2014-03-02 - 2014-03-08,18
2014-03-09 - 2014-03-15,19
2014-03-16 - 2014-03-22,18
2014-03-23 - 2014-03-29,18
2014-03-30 - 2014-04-05,17
2014-04-06 - 2014-04-12,19
2014-04-13 - 2014-04-19,17
2014-04-20 - 2014-04-26,18
2014-04-27 - 2014-05-03,18
2014-05-04 - 2014-05-10,18
2014-05-11 - 2014-05-17,19
2014-05-18 - 2014-05-24,17
2014-05-25 - 2014-05-31,18
2014-06-01 - 2014-06-07,16
2014-06-08 - 2014-06-14,16
2014-06-15 - 2014-06-21,17
2014-06-22 - 2014-06-28,17
2014-06-29 - 2014-07-05,17
2014-07-06 - 2014-07-12,18
2014-07-13 - 2014-07-19,19
2014-07-20 - 2014-07-26,19
2014-07-27 - 2014-08-02,20
2014-08-03 - 2014-08-09,18
2014-08-10 - 2014-08-16,18
2014-08-17 - 2014-08-23,18
2014-08-24 - 2014-08-30,16
2014-08-31 - 2014-09-06,16
2014-09-07 - 2014-09-13,16
2014-09-14 - 2014-09-20,16
2014-09-21 - 2014-09-27,17
2014-09-28 - 2014-10-04,17
2014-10-05 - 2014-10-11,14
2014-10-12 - 2014-10-18,15
2014-10-19 - 2014-10-25,15
2014-10-26 - 2014-11-01,20
2014-11-02 - 2014-11-08,16
2014-11-09 - 2014-11-15,15
2014-11-16 - 2014-11-22,15
2014-11-23 - 2014-11-29,15
2014-11-30 - 2014-12-06,14
2014-12-07 - 2014-12-13,13
2014-12-14 - 2014-12-20,12
2014-12-21 - 2014-12-27,15
2014-12-28 - 2015-01-03,16
2015-01-04 - 2015-01-10,21
2015-01-11 - 2015-01-17,17
2015-01-18 - 2015-01-24,19
2015-01-25 - 2015-01-31,17
2015-02-01 - 2015-02-07,15
2015-02-08 - 2015-02-14,16
2015-02-15 - 2015-02-21,17
2015-02-22 - 2015-02-28,27
2015-03-01 - 2015-03-07,23
2015-03-08 - 2015-03-14,19
2015-03-15 - 2015-03-21,19
2015-03-22 - 2015-03-28,16
2015-03-29 - 2015-04-04,17
2015-04-05 - 2015-04-11,17
2015-04-12 - 2015-04-18,17
2015-04-19 - 2015-04-25,18
2015-04-26 - 2015-05-02,17
2015-05-03 - 2015-05-09,16
2015-05-10 - 2015-05-16,16
2015-05-17 - 2015-05-23,16
2015-05-24 - 2015-05-30,16
2015-05-31 - 2015-06-06,16
2015-06-07 - 2015-06-13,17
2015-06-14 - 2015-06-20,16
2015-06-21 - 2015-06-27,16
2015-06-28 - 2015-07-04,18
2015-07-05 - 2015-07-11,24
2015-07-12 - 2015-07-18,21
2015-07-19 - 2015-07-25,19
2015-07-26 - 2015-08-01,17


Top sub-regions for kid rock
Sub-region,kid rock
West Virginia,100
Kentucky,96
South Dakota,81
Michigan,80
North Dakota,78
Maine,67
Indiana,65
Wyoming,65
Ohio,65
Tennessee,64
Iowa,63
Arkansas,62
Montana,61
Missouri,61
Alabama,57
Nebraska,55
Oklahoma,54
South Carolina,54
Kansas,53
North Carolina,50
Wisconsin,50
Vermont,49
Mississippi,49
Minnesota,49
New Hampshire,46
Pennsylvania,46
Georgia,42
Louisiana,42
Idaho,42
New Mexico,41
Colorado,39
Texas,38
Illinois,37
Alaska,36
Arizona,36
Florida,34
Utah,33
Massachusetts,33
Rhode Island,33
Washington,33
Connecticut,32
Oregon,31
Delaware,31
Virginia,30
Nevada,29
New York,29
District of Columbia,28
New Jersey,27
Maryland,27
California,22
Hawaii,19


Top metros for kid rock
Metro,kid rock
Charleston-Huntington WV,100
Traverse City-Cadillac MI,96
Lexington KY,91
Minot-Bismarck-Dickinson(Williston) ND,86
Flint-Saginaw-Bay City MI,82
Evansville IN,80
Tri-Cities TN-VA,79
Toledo OH,74
Davenport IA-Rock Island-Moline IL,68
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,67
Grand Rapids-Kalamazoo-Battle Creek MI,66
Knoxville TN,65
Detroit MI,65
Youngstown OH,64
Sioux Falls(Mitchell) SD,63
Louisville KY,63
Lansing MI,62
Fargo-Valley City ND,61
Little Rock-Pine Bluff AR,59
Johnstown-Altoona PA,58
Dayton OH,57
Indianapolis IN,56
Chattanooga TN,56
Ft. Wayne IN,55
Des Moines-Ames IA,54
South Bend-Elkhart IN,54
Huntsville-Decatur (Florence) AL,54
Kansas City MO,54
La Crosse-Eau Claire WI,53
Roanoke-Lynchburg VA,52
Wilkes Barre-Scranton PA,52
Birmingham AL,51
Green Bay-Appleton WI,51
Montgomery (Selma) AL,51
Cincinnati OH,51
Cleveland-Akron (Canton) OH,50
Florence-Myrtle Beach SC,50
Pittsburgh PA,50
Greenville-Spartanburg SC-Asheville NC-Anderson SC,50
Nashville TN,49
Lincoln & Hastings-Kearney NE,49
Columbus OH,49
Portland-Auburn ME,48
Albany-Schenectady-Troy NY,48
Greensboro-High Point-Winston Salem NC,47
Burlington VT-Plattsburgh NY,47
Shreveport LA,46
Springfield MO,46
Wichita-Hutchinson KS,44
Omaha NE,43
Syracuse NY,43
Ft. Smith-Fayetteville-Springdale-Rogers AR,43
Harrisburg-Lancaster-Lebanon-York PA,42
Charlotte NC,42
St. Louis MO,42
Champaign & Springfield-Decatur IL,42
Oklahoma City OK,41
Mobile AL-Pensacola (Ft. Walton Beach) FL,41
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,41
Rochester NY,40
Memphis TN,40
Jackson MS,39
Madison WI,38
Minneapolis-St. Paul MN,38
Spokane WA,37
Tulsa OK,37
Buffalo NY,37
Boise ID,36
Columbia SC,36
Ft. Myers-Naples FL,36
Colorado Springs-Pueblo CO,36
Tampa-St. Petersburg (Sarasota) FL,35
Raleigh-Durham (Fayetteville) NC,34
Jacksonville FL,33
Atlanta GA,33
Albuquerque-Santa Fe NM,33
Dallas-Ft. Worth TX,33
Waco-Temple-Bryan TX,32
Denver CO,31
Phoenix AZ,31
Milwaukee WI,30
New Orleans LA,29
Salt Lake City UT,29
Boston MA-Manchester NH,29
Providence RI-New Bedford MA,28
Fresno-Visalia CA,28
Chicago IL,28
Hartford & New Haven CT,28
Norfolk-Portsmouth-Newport News VA,28
Philadelphia PA,28
Sacramento-Stockton-Modesto CA,28
Seattle-Tacoma WA,28
Las Vegas NV,27
Orlando-Daytona Beach-Melbourne FL,26
Houston TX,26
Portland OR,26
Richmond-Petersburg VA,26
West Palm Beach-Ft. Pierce FL,26
Baltimore MD,25
San Antonio TX,25
Austin TX,23
Tucson (Sierra Vista) AZ,23
Washington DC (Hagerstown MD),22
San Diego CA,20
New York NY,19
Los Angeles CA,19
Honolulu HI,16
Miami-Ft. Lauderdale FL,16
San Francisco-Oakland-San Jose CA,13
Binghamton NY,0
Macon GA,0
Savannah GA,0
Erie PA,0
Charleston SC,0
Augusta GA,0
Columbus GA,0
Albany GA,0
Utica NY,0
Tallahassee FL-Thomasville GA,0
Bangor ME,0
Springfield-Holyoke MA,0
Greenville-New Bern-Washington NC,0
Watertown NY,0
Wilmington NC,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Elmira NY,0
Harrisonburg VA,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Sioux City IA,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Odessa-Midland TX,0
Amarillo TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
St. Joseph MO,0
Jackson TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Lubbock TX,0
Panama City FL,0
Sherman TX-Ada OK,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Beaumont-Port Arthur TX,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Chico-Redding CA,0


Top cities for kid rock
Town/City,kid rock
Louisville,100
Indianapolis,95
St. Louis,90
Columbus,84
Oklahoma City,78
Richardson,67
Atlanta,67
Phoenix,64
Denver,63
Tampa,62
Minneapolis,62
Charlotte,59
Orlando,58
Dallas,57
San Antonio,52



Top searches for kid rock
kid rock summer,100
all summer long,95
picture,85
picture kid rock,85
sheryl crow,70
cowboy,35
cowboy kid rock,35
bawitdaba,25
bawitdaba kid rock,25
born free,25
kid rock live,20
sweet home alabama,20
kid cudi,20
nickelback,15
roll on,15
uncle kracker,10
chris rock,10
kid rock collide,10
hank williams jr,10
kid rock cocky,10
cocky,5
kid rock forever,5
amen kid rock,5
amen,5
lynyrd skynyrd,5
rock star,5
limp bizkit,5
let it rock,5
kid rock warrior,5
kid rock videos,5



Rising searches for kid rock
born free,Breakout
sweet home alabama,Breakout
all summer long,+2,900%
kid rock summer,+1,950%
sheryl crow,+850%
bawitdaba,+600%
bawitdaba kid rock,+550%
picture,+400%
picture kid rock,+400%
cowboy kid rock,+200%



