YouTube Search interest: pink
United States; Jan 2008 - Jul 2015

Interest over time
Week,pink
2013-06-09 - 2013-06-15,63
2013-06-16 - 2013-06-22,61
2013-06-23 - 2013-06-29,58
2013-06-30 - 2013-07-06,62
2013-07-07 - 2013-07-13,59
2013-07-14 - 2013-07-20,54
2013-07-21 - 2013-07-27,50
2013-07-28 - 2013-08-03,52
2013-08-04 - 2013-08-10,50
2013-08-11 - 2013-08-17,49
2013-08-18 - 2013-08-24,49
2013-08-25 - 2013-08-31,48
2013-09-01 - 2013-09-07,46
2013-09-08 - 2013-09-14,47
2013-09-15 - 2013-09-21,46
2013-09-22 - 2013-09-28,44
2013-09-29 - 2013-10-05,43
2013-10-06 - 2013-10-12,43
2013-10-13 - 2013-10-19,44
2013-10-20 - 2013-10-26,43
2013-10-27 - 2013-11-02,41
2013-11-03 - 2013-11-09,40
2013-11-10 - 2013-11-16,41
2013-11-17 - 2013-11-23,39
2013-11-24 - 2013-11-30,38
2013-12-01 - 2013-12-07,37
2013-12-08 - 2013-12-14,38
2013-12-15 - 2013-12-21,35
2013-12-22 - 2013-12-28,35
2013-12-29 - 2014-01-04,36
2014-01-05 - 2014-01-11,35
2014-01-12 - 2014-01-18,34
2014-01-19 - 2014-01-25,36
2014-01-26 - 2014-02-01,59
2014-02-02 - 2014-02-08,37
2014-02-09 - 2014-02-15,38
2014-02-16 - 2014-02-22,37
2014-02-23 - 2014-03-01,37
2014-03-02 - 2014-03-08,49
2014-03-09 - 2014-03-15,36
2014-03-16 - 2014-03-22,34
2014-03-23 - 2014-03-29,34
2014-03-30 - 2014-04-05,34
2014-04-06 - 2014-04-12,35
2014-04-13 - 2014-04-19,34
2014-04-20 - 2014-04-26,32
2014-04-27 - 2014-05-03,32
2014-05-04 - 2014-05-10,30
2014-05-11 - 2014-05-17,30
2014-05-18 - 2014-05-24,32
2014-05-25 - 2014-05-31,30
2014-06-01 - 2014-06-07,31
2014-06-08 - 2014-06-14,31
2014-06-15 - 2014-06-21,31
2014-06-22 - 2014-06-28,30
2014-06-29 - 2014-07-05,30
2014-07-06 - 2014-07-12,32
2014-07-13 - 2014-07-19,32
2014-07-20 - 2014-07-26,31
2014-07-27 - 2014-08-02,31
2014-08-03 - 2014-08-09,31
2014-08-10 - 2014-08-16,29
2014-08-17 - 2014-08-23,29
2014-08-24 - 2014-08-30,30
2014-08-31 - 2014-09-06,30
2014-09-07 - 2014-09-13,31
2014-09-14 - 2014-09-20,30
2014-09-21 - 2014-09-27,32
2014-09-28 - 2014-10-04,31
2014-10-05 - 2014-10-11,32
2014-10-12 - 2014-10-18,33
2014-10-19 - 2014-10-25,32
2014-10-26 - 2014-11-01,30
2014-11-02 - 2014-11-08,32
2014-11-09 - 2014-11-15,33
2014-11-16 - 2014-11-22,32
2014-11-23 - 2014-11-29,29
2014-11-30 - 2014-12-06,28
2014-12-07 - 2014-12-13,28
2014-12-14 - 2014-12-20,33
2014-12-21 - 2014-12-27,33
2014-12-28 - 2015-01-03,30
2015-01-04 - 2015-01-10,31
2015-01-11 - 2015-01-17,31
2015-01-18 - 2015-01-24,31
2015-01-25 - 2015-01-31,32
2015-02-01 - 2015-02-07,31
2015-02-08 - 2015-02-14,31
2015-02-15 - 2015-02-21,29
2015-02-22 - 2015-02-28,29
2015-03-01 - 2015-03-07,31
2015-03-08 - 2015-03-14,31
2015-03-15 - 2015-03-21,29
2015-03-22 - 2015-03-28,30
2015-03-29 - 2015-04-04,30
2015-04-05 - 2015-04-11,30
2015-04-12 - 2015-04-18,28
2015-04-19 - 2015-04-25,30
2015-04-26 - 2015-05-02,30
2015-05-03 - 2015-05-09,28
2015-05-10 - 2015-05-16,28
2015-05-17 - 2015-05-23,28
2015-05-24 - 2015-05-30,27
2015-05-31 - 2015-06-06,28
2015-06-07 - 2015-06-13,26
2015-06-14 - 2015-06-20,26
2015-06-21 - 2015-06-27,26
2015-06-28 - 2015-07-04,26
2015-07-05 - 2015-07-11,26
2015-07-12 - 2015-07-18,27
2015-07-19 - 2015-07-25,27
2015-07-26 - 2015-08-01,26


Top sub-regions for pink
Sub-region,pink
Wyoming,100
Montana,98
Maine,98
Ohio,97
Utah,97
South Dakota,97
Kentucky,94
West Virginia,93
North Dakota,93
Colorado,93
Missouri,92
Wisconsin,92
Pennsylvania,92
Idaho,91
Indiana,90
Iowa,89
Nebraska,88
New Hampshire,88
New Mexico,87
Michigan,87
Minnesota,86
Arizona,86
Oklahoma,85
Texas,84
Washington,83
Vermont,83
Illinois,83
Massachusetts,83
Kansas,82
Florida,81
Arkansas,81
California,81
New York,80
Oregon,80
Nevada,79
North Carolina,78
Tennessee,78
Rhode Island,77
Connecticut,77
New Jersey,77
South Carolina,76
Alabama,74
Georgia,74
Alaska,73
Delaware,72
Maryland,71
Virginia,71
Louisiana,70
Mississippi,69
Hawaii,66
District of Columbia,65


Top metros for pink
Metro,pink
Eureka CA,100
Duluth MN-Superior WI,98
Billings MT,92
Portland-Auburn ME,91
Grand Junction-Montrose CO,90
Clarksburg-Weston WV,90
Bangor ME,90
Binghamton NY,88
Rapid City SD,87
Salt Lake City UT,86
Bluefield-Beckley-Oak Hill WV,86
Sherman TX-Ada OK,85
Wilkes Barre-Scranton PA,85
Cheyenne WY-Scottsbluff NE,85
Marquette MI,85
Elmira NY,85
Joplin MO-Pittsburg KS,84
Watertown NY,84
Springfield MO,84
Missoula MT,83
Evansville IN,83
Traverse City-Cadillac MI,83
Tri-Cities TN-VA,83
Dayton OH,83
Utica NY,82
Charleston-Huntington WV,82
Denver CO,81
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,81
Sioux Falls(Mitchell) SD,81
Sioux City IA,81
Wausau-Rhinelander WI,80
Cleveland-Akron (Canton) OH,80
Albuquerque-Santa Fe NM,80
Burlington VT-Plattsburgh NY,80
Johnstown-Altoona PA,80
Youngstown OH,80
Boise ID,80
Rochester MN-Mason City IA-Austin MN,80
Toledo OH,80
Springfield-Holyoke MA,80
Erie PA,79
La Crosse-Eau Claire WI,79
Albany-Schenectady-Troy NY,79
Buffalo NY,79
Lexington KY,78
Chattanooga TN,78
Louisville KY,78
Kansas City MO,77
Chico-Redding CA,77
Pittsburgh PA,77
Fargo-Valley City ND,76
Columbus OH,76
Wichita Falls TX & Lawton OK,76
Panama City FL,76
Terre Haute IN,75
Grand Rapids-Kalamazoo-Battle Creek MI,75
Flint-Saginaw-Bay City MI,75
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,75
Rockford IL,75
Colorado Springs-Pueblo CO,75
Quincy IL-Hannibal MO-Keokuk IA,75
Des Moines-Ames IA,74
Wichita-Hutchinson KS,74
Syracuse NY,74
Minot-Bismarck-Dickinson(Williston) ND,74
Green Bay-Appleton WI,74
Reno NV,74
Davenport IA-Rock Island-Moline IL,74
Madison WI,74
Yakima-Pasco-Richland-Kennewick WA,74
Spokane WA,74
Eugene OR,74
Harrisburg-Lancaster-Lebanon-York PA,73
Albany GA,73
Chicago IL,73
Odessa-Midland TX,73
Tulsa OK,73
Champaign & Springfield-Decatur IL,73
Lincoln & Hastings-Kearney NE,73
Indianapolis IN,73
Omaha NE,73
Medford-Klamath Falls OR,73
Mankato MN,72
Amarillo TX,72
South Bend-Elkhart IN,72
Phoenix AZ,72
Philadelphia PA,72
Lansing MI,72
St. Louis MO,72
Cincinnati OH,71
Idaho Falls-Pocatello ID,71
Las Vegas NV,71
Providence RI-New Bedford MA,71
Milwaukee WI,71
Boston MA-Manchester NH,71
Bakersfield CA,71
Los Angeles CA,70
Hartford & New Haven CT,70
Ft. Wayne IN,70
El Paso TX,70
Peoria-Bloomington IL,70
Ft. Smith-Fayetteville-Springdale-Rogers AR,70
Oklahoma City OK,69
Laredo TX,69
Charlottesville VA,69
Seattle-Tacoma WA,69
Minneapolis-St. Paul MN,69
Salisbury MD,68
Gainesville FL,68
Corpus Christi TX,68
Detroit MI,68
Bowling Green KY,68
Huntsville-Decatur (Florence) AL,68
Lubbock TX,68
Topeka KS,68
Greenville-Spartanburg SC-Asheville NC-Anderson SC,68
San Diego CA,68
Dallas-Ft. Worth TX,68
Knoxville TN,68
Columbia-Jefferson City MO,67
Tucson (Sierra Vista) AZ,67
New York NY,67
Harrisonburg VA,67
Roanoke-Lynchburg VA,67
Shreveport LA,66
Little Rock-Pine Bluff AR,66
Baltimore MD,66
San Antonio TX,66
Palm Springs CA,66
Orlando-Daytona Beach-Melbourne FL,65
Ft. Myers-Naples FL,65
Beaumont-Port Arthur TX,65
Wilmington NC,65
Houston TX,65
Biloxi-Gulfport MS,65
Yuma AZ-El Centro CA,65
Rochester NY,65
Charleston SC,64
Tampa-St. Petersburg (Sarasota) FL,64
New Orleans LA,64
Santa Barbara-Santa Maria-San Luis Obispo CA,64
Portland OR,64
Sacramento-Stockton-Modesto CA,63
Fresno-Visalia CA,63
Jackson TN,63
Mobile AL-Pensacola (Ft. Walton Beach) FL,63
Tyler-Longview(Lufkin & Nacogdoches) TX,63
Austin TX,63
Washington DC (Hagerstown MD),63
West Palm Beach-Ft. Pierce FL,62
Abilene-Sweetwater TX,62
Atlanta GA,62
Greenville-New Bern-Washington NC,61
Nashville TN,61
Anchorage AK,61
Birmingham AL,61
Columbia SC,60
Harlingen-Weslaco-Brownsville-McAllen TX,60
Charlotte NC,60
Savannah GA,59
Greensboro-High Point-Winston Salem NC,59
Miami-Ft. Lauderdale FL,59
Florence-Myrtle Beach SC,59
Montgomery (Selma) AL,59
Richmond-Petersburg VA,59
Lafayette IN,59
Monterey-Salinas CA,59
Raleigh-Durham (Fayetteville) NC,58
Jacksonville FL,58
Lafayette LA,58
Augusta GA,57
Memphis TN,57
Honolulu HI,57
Waco-Temple-Bryan TX,57
Norfolk-Portsmouth-Newport News VA,57
Columbus GA,56
Baton Rouge LA,56
San Francisco-Oakland-San Jose CA,56
Columbus-Tupelo-West Point MS,56
Tallahassee FL-Thomasville GA,55
Monroe LA-El Dorado AR,54
Macon GA,53
Jackson MS,52
Presque Isle ME,0
Wheeling WV-Steubenville OH,0
Lima OH,0
Alpena MI,0
Zanesville OH,0
Parkersburg WV,0
Dothan AL,0
Victoria TX,0
Ottumwa IA-Kirksville MO,0
St. Joseph MO,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
San Angelo TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Jonesboro AR,0
North Platte NE,0
Fairbanks AK,0
Juneau AK,0
Butte-Bozeman MT,0
Great Falls MT,0
Twin Falls ID,0
Helena MT,0
Casper-Riverton WY,0
Glendive MT,0
Bend OR,0


Top cities for pink
Town/City,pink
Salt Lake City,100
Denver,96
St. Louis,90
Phoenix,90
Los Angeles,88
Portland,87
Columbus,84
Las Vegas,83
San Antonio,82
Seattle,81
New York,81
Minneapolis,81
Chicago,80
Austin,79
San Diego,79



Top searches for pink
pink floyd,100
pink lyrics,60
a pink,60
pink perfect,25
perfect,25
pink panther,20
so what pink,20
so what,20
raise your glass,15
pink live,15
the wall,10
perfect pink lyrics,10
try pink,10
pink songs,10
comfortably numb,10
sober pink,10
rihanna,10
nicki minaj,10
katy perry,10
taylor swift,5
pink floyd live,5
pink funhouse,5
beyonce,5
lady gaga,5
pink floyd time,5
eminem pink,5
pink friday,5
who knew pink,5
pink floyd money,5
britney spears,5
avril lavigne,5
the pink panther,5
christina aguilera,5
kelly clarkson,5
family portrait pink,5
pink panther cartoon,5
blow me pink,5
led zeppelin,5
kesha,5
pink pill,5
perfect pink clean,5
pretty in pink,5
pink matter,5
mother pink floyd,5
aerosmith pink,5
true love pink,5
aerosmith,5



Rising searches for pink
perfect pink lyrics,Breakout
raise your glass,Breakout
so what,Breakout
so what pink,Breakout
perfect,+2,300%
pink perfect,+2,200%
try pink,+1,900%
sober pink,+1,350%
pink lyrics,+1,200%
rihanna,+250%



