YouTube Search interest: charice
United States; Jan 2008 - Jul 2015

Interest over time
Week,charice
2014-02-23 - 2014-03-01,3
2014-03-02 - 2014-03-08,4
2014-03-09 - 2014-03-15,4
2014-03-16 - 2014-03-22,4
2014-03-23 - 2014-03-29,3
2014-03-30 - 2014-04-05,3
2014-04-06 - 2014-04-12,4
2014-04-13 - 2014-04-19,4
2014-04-20 - 2014-04-26,3
2014-04-27 - 2014-05-03,4
2014-05-04 - 2014-05-10,3
2014-05-11 - 2014-05-17,3
2014-05-18 - 2014-05-24,3
2014-05-25 - 2014-05-31,3
2014-06-01 - 2014-06-07,4
2014-06-08 - 2014-06-14,4
2014-06-15 - 2014-06-21,3
2014-06-22 - 2014-06-28,3
2014-06-29 - 2014-07-05,3
2014-07-06 - 2014-07-12,3
2014-07-13 - 2014-07-19,4
2014-07-20 - 2014-07-26,4
2014-07-27 - 2014-08-02,3
2014-08-03 - 2014-08-09,2
2014-08-10 - 2014-08-16,4
2014-08-17 - 2014-08-23,3
2014-08-24 - 2014-08-30,4
2014-08-31 - 2014-09-06,4
2014-09-07 - 2014-09-13,3
2014-09-14 - 2014-09-20,3
2014-09-21 - 2014-09-27,3
2014-09-28 - 2014-10-04,3
2014-10-05 - 2014-10-11,3
2014-10-12 - 2014-10-18,5
2014-10-19 - 2014-10-25,5
2014-10-26 - 2014-11-01,3
2014-11-02 - 2014-11-08,3
2014-11-09 - 2014-11-15,3
2014-11-16 - 2014-11-22,3
2014-11-23 - 2014-11-29,3
2014-11-30 - 2014-12-06,3
2014-12-07 - 2014-12-13,3
2014-12-14 - 2014-12-20,3
2014-12-21 - 2014-12-27,4
2014-12-28 - 2015-01-03,2
2015-01-04 - 2015-01-10,2
2015-01-11 - 2015-01-17,2
2015-01-18 - 2015-01-24,2
2015-01-25 - 2015-01-31,3
2015-02-01 - 2015-02-07,3
2015-02-08 - 2015-02-14,3
2015-02-15 - 2015-02-21,4
2015-02-22 - 2015-02-28,3
2015-03-01 - 2015-03-07,3
2015-03-08 - 2015-03-14,3
2015-03-15 - 2015-03-21,3
2015-03-22 - 2015-03-28,3
2015-03-29 - 2015-04-04,2
2015-04-05 - 2015-04-11,2
2015-04-12 - 2015-04-18,3
2015-04-19 - 2015-04-25,2
2015-04-26 - 2015-05-02,2
2015-05-03 - 2015-05-09,2
2015-05-10 - 2015-05-16,3
2015-05-17 - 2015-05-23,3
2015-05-24 - 2015-05-30,3
2015-05-31 - 2015-06-06,3
2015-06-07 - 2015-06-13,2
2015-06-14 - 2015-06-20,2
2015-06-21 - 2015-06-27,3
2015-06-28 - 2015-07-04,3
2015-07-05 - 2015-07-11,2
2015-07-12 - 2015-07-18,3
2015-07-19 - 2015-07-25,3
2015-07-26 - 2015-08-01,2


Top sub-regions for charice
Sub-region,charice
Hawaii,100
Nevada,45
California,38
Alaska,27
Washington,26
New Jersey,24
District of Columbia,22
New York,21
Virginia,20
Illinois,19
Minnesota,18
Texas,18
Maryland,16
Florida,16
Massachusetts,16
Georgia,16
Connecticut,16
Pennsylvania,16
Arkansas,15
Wisconsin,15
Arizona,15
Missouri,15
Oregon,14
Michigan,14
Colorado,14
South Dakota,13
Rhode Island,13
Delaware,13
Louisiana,13
Mississippi,13
New Hampshire,12
Nebraska,12
North Carolina,12
Oklahoma,12
Indiana,12
Ohio,12
Kansas,12
Vermont,11
Utah,11
Maine,11
South Carolina,11
Kentucky,10
Alabama,10
Tennessee,10
Iowa,10
New Mexico,9
Idaho,9
West Virginia,7
Montana,0
North Dakota,0
Wyoming,0


Top metros for charice
Metro,charice
Honolulu HI,100
Las Vegas NV,55
Los Angeles CA,36
San Francisco-Oakland-San Jose CA,35
Sacramento-Stockton-Modesto CA,35
San Diego CA,35
Fresno-Visalia CA,30
Seattle-Tacoma WA,28
Norfolk-Portsmouth-Newport News VA,26
New York NY,23
Washington DC (Hagerstown MD),22
Dallas-Ft. Worth TX,21
Philadelphia PA,21
Houston TX,20
Chicago IL,20
Baltimore MD,19
Atlanta GA,18
Orlando-Daytona Beach-Melbourne FL,17
Detroit MI,17
Minneapolis-St. Paul MN,16
Hartford & New Haven CT,16
Tampa-St. Petersburg (Sarasota) FL,16
Boston MA-Manchester NH,16
Phoenix AZ,15
St. Louis MO,15
Miami-Ft. Lauderdale FL,14
Raleigh-Durham (Fayetteville) NC,14
Portland OR,13
Denver CO,13
Portland-Auburn ME,0
Binghamton NY,0
Macon GA,0
Savannah GA,0
Pittsburgh PA,0
Ft. Wayne IN,0
Cleveland-Akron (Canton) OH,0
Flint-Saginaw-Bay City MI,0
Buffalo NY,0
Cincinnati OH,0
Erie PA,0
Charlotte NC,0
Greensboro-High Point-Winston Salem NC,0
Charleston SC,0
Augusta GA,0
Providence RI-New Bedford MA,0
Columbus GA,0
Burlington VT-Plattsburgh NY,0
Albany GA,0
Utica NY,0
Indianapolis IN,0
Louisville KY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Albany-Schenectady-Troy NY,0
Columbus OH,0
Youngstown OH,0
Bangor ME,0
Rochester NY,0
Traverse City-Cadillac MI,0
Lexington KY,0
Dayton OH,0
Springfield-Holyoke MA,0
Greenville-New Bern-Washington NC,0
Columbia SC,0
Toledo OH,0
West Palm Beach-Ft. Pierce FL,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Syracuse NY,0
Richmond-Petersburg VA,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Jacksonville FL,0
Grand Rapids-Kalamazoo-Battle Creek MI,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisburg-Lancaster-Lebanon-York PA,0
Greenville-Spartanburg SC-Asheville NC-Anderson SC,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Roanoke-Lynchburg VA,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Wilkes Barre-Scranton PA,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Kansas City MO,0
Milwaukee WI,0
Springfield MO,0
New Orleans LA,0
Sioux City IA,0
Waco-Temple-Bryan TX,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Birmingham AL,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Austin TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Memphis TN,0
San Antonio TX,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Oklahoma City OK,0
Lubbock TX,0
Omaha NE,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
Nashville TN,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Madison WI,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Tulsa OK,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Wichita-Hutchinson KS,0
Des Moines-Ames IA,0
Davenport IA-Rock Island-Moline IL,0
Mobile AL-Pensacola (Ft. Walton Beach) FL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Little Rock-Pine Bluff AR,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Colorado Springs-Pueblo CO,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Salt Lake City UT,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Tucson (Sierra Vista) AZ,0
Albuquerque-Santa Fe NM,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for charice
Town/City,charice
Honolulu,100
Pleasanton,85
Las Vegas,57
San Francisco,55
Irvine,51
San Diego,43
Los Angeles,43
Stockton,43
Sacramento,40
Richardson,37
Seattle,35
Fresno,32
San Jose,31
Reston,31
Ashburn,31



Top searches for charice
pempengco charice,100
pyramid,85
charice pyramid,85
charice lyrics,50
charice pyramid lyrics,30
glee charice,25
charice oprah,25
oprah,25
listen charice,20
listen,20
charice on oprah,15
iyaz,15
charice celine dion,15
celine dion,15
charice pempengco oprah,15
charice pyramid iyaz,15
note to god,10
charice live,10
charice songs,10
louder charice,10
charice 2011,10
louder,10
charice baby,10
charice 2010,10
charice on glee,10
all by myself,5
pyramid by charice,5
charice one day,5
charice ellen,5
listen charice pempengco,5
glee charice pempengco,5
charice star king,5
star king,5
listen glee,5
charice listen glee,5
david foster charice,5
david foster,5
i have nothing,5
charice and celine,5
charice pempengco pyramid,5
charice 2012,5



Rising searches for charice
celine dion,Breakout
charice celine dion,Breakout
charice lyrics,Breakout
charice on oprah,Breakout
charice oprah,Breakout
charice pyramid,Breakout
charice pyramid lyrics,Breakout
glee charice,Breakout
iyaz,Breakout
oprah,Breakout



