YouTube Search interest: zac brown band
United States; Jan 2008 - Jul 2015

Interest over time
Week,zac brown band
2009-03-22 - 2009-03-28,22
2009-03-29 - 2009-04-04,20
2009-04-05 - 2009-04-11,21
2009-04-12 - 2009-04-18,19
2009-04-19 - 2009-04-25,23
2009-04-26 - 2009-05-02,27
2009-05-03 - 2009-05-09,31
2009-05-10 - 2009-05-16,31
2009-05-17 - 2009-05-23,30
2009-05-24 - 2009-05-30,31
2009-05-31 - 2009-06-06,33
2009-06-07 - 2009-06-13,29
2009-06-14 - 2009-06-20,30
2009-06-21 - 2009-06-27,26
2009-06-28 - 2009-07-04,29
2009-07-05 - 2009-07-11,29
2009-07-12 - 2009-07-18,28
2009-07-19 - 2009-07-25,33
2009-07-26 - 2009-08-01,35
2009-08-02 - 2009-08-08,33
2009-08-09 - 2009-08-15,36
2009-08-16 - 2009-08-22,35
2009-08-23 - 2009-08-29,40
2009-08-30 - 2009-09-05,47
2009-09-06 - 2009-09-12,41
2009-09-13 - 2009-09-19,36
2009-09-20 - 2009-09-26,37
2009-09-27 - 2009-10-03,38
2009-10-04 - 2009-10-10,35
2009-10-11 - 2009-10-17,39
2009-10-18 - 2009-10-24,32
2009-10-25 - 2009-10-31,31
2009-11-01 - 2009-11-07,31
2009-11-08 - 2009-11-14,52
2009-11-15 - 2009-11-21,41
2009-11-22 - 2009-11-28,35
2009-11-29 - 2009-12-05,32
2009-12-06 - 2009-12-12,30
2009-12-13 - 2009-12-19,28
2009-12-20 - 2009-12-26,28
2009-12-27 - 2010-01-02,26
2010-01-03 - 2010-01-09,29
2010-01-10 - 2010-01-16,28
2010-01-17 - 2010-01-23,26
2010-01-24 - 2010-01-30,29
2010-01-31 - 2010-02-06,55
2010-02-07 - 2010-02-13,33
2010-02-14 - 2010-02-20,30
2010-02-21 - 2010-02-27,28
2010-02-28 - 2010-03-06,30
2010-03-07 - 2010-03-13,30
2010-03-14 - 2010-03-20,34
2010-03-21 - 2010-03-27,33
2010-03-28 - 2010-04-03,26
2010-04-04 - 2010-04-10,28
2010-04-11 - 2010-04-17,25
2010-04-18 - 2010-04-24,31
2010-04-25 - 2010-05-01,28
2010-05-02 - 2010-05-08,29
2010-05-09 - 2010-05-15,27
2010-05-16 - 2010-05-22,31
2010-05-23 - 2010-05-29,26
2010-05-30 - 2010-06-05,32
2010-06-06 - 2010-06-12,39
2010-06-13 - 2010-06-19,44
2010-06-20 - 2010-06-26,47
2010-06-27 - 2010-07-03,53
2010-07-04 - 2010-07-10,44
2010-07-11 - 2010-07-17,47
2010-07-18 - 2010-07-24,43
2010-07-25 - 2010-07-31,41
2010-08-01 - 2010-08-07,41
2010-08-08 - 2010-08-14,45
2010-08-15 - 2010-08-21,39
2010-08-22 - 2010-08-28,39
2010-08-29 - 2010-09-04,35
2010-09-05 - 2010-09-11,37
2010-09-12 - 2010-09-18,35
2010-09-19 - 2010-09-25,45
2010-09-26 - 2010-10-02,45
2010-10-03 - 2010-10-09,37
2010-10-10 - 2010-10-16,33
2010-10-17 - 2010-10-23,38
2010-10-24 - 2010-10-30,33
2010-10-31 - 2010-11-06,34
2010-11-07 - 2010-11-13,50
2010-11-14 - 2010-11-20,39
2010-11-21 - 2010-11-27,37
2010-11-28 - 2010-12-04,35
2010-12-05 - 2010-12-11,36
2010-12-12 - 2010-12-18,34
2010-12-19 - 2010-12-25,34
2010-12-26 - 2011-01-01,33
2011-01-02 - 2011-01-08,37
2011-01-09 - 2011-01-15,38
2011-01-16 - 2011-01-22,48
2011-01-23 - 2011-01-29,51
2011-01-30 - 2011-02-05,57
2011-02-06 - 2011-02-12,61
2011-02-13 - 2011-02-19,67
2011-02-20 - 2011-02-26,67
2011-02-27 - 2011-03-05,69
2011-03-06 - 2011-03-12,76
2011-03-13 - 2011-03-19,73
2011-03-20 - 2011-03-26,74
2011-03-27 - 2011-04-02,72
2011-04-03 - 2011-04-09,100
2011-04-10 - 2011-04-16,87
2011-04-17 - 2011-04-23,77
2011-04-24 - 2011-04-30,78
2011-05-01 - 2011-05-07,72
2011-05-08 - 2011-05-14,75
2011-05-15 - 2011-05-21,75
2011-05-22 - 2011-05-28,77
2011-05-29 - 2011-06-04,81
2011-06-05 - 2011-06-11,90
2011-06-12 - 2011-06-18,80
2011-06-19 - 2011-06-25,82
2011-06-26 - 2011-07-02,84
2011-07-03 - 2011-07-09,85
2011-07-10 - 2011-07-16,82
2011-07-17 - 2011-07-23,86
2011-07-24 - 2011-07-30,92
2011-07-31 - 2011-08-06,89
2011-08-07 - 2011-08-13,92
2011-08-14 - 2011-08-20,88
2011-08-21 - 2011-08-27,85
2011-08-28 - 2011-09-03,74
2011-09-04 - 2011-09-10,71
2011-09-11 - 2011-09-17,69
2011-09-18 - 2011-09-24,68
2011-09-25 - 2011-10-01,66
2011-10-02 - 2011-10-08,65
2011-10-09 - 2011-10-15,66
2011-10-16 - 2011-10-22,64
2011-10-23 - 2011-10-29,63
2011-10-30 - 2011-11-05,64
2011-11-06 - 2011-11-12,77
2011-11-13 - 2011-11-19,67
2011-11-20 - 2011-11-26,65
2011-11-27 - 2011-12-03,60
2011-12-04 - 2011-12-10,59
2011-12-11 - 2011-12-17,58
2011-12-18 - 2011-12-24,58
2011-12-25 - 2011-12-31,55
2012-01-01 - 2012-01-07,54
2012-01-08 - 2012-01-14,58
2012-01-15 - 2012-01-21,55
2012-01-22 - 2012-01-28,57
2012-01-29 - 2012-02-04,57
2012-02-05 - 2012-02-11,52
2012-02-12 - 2012-02-18,48
2012-02-19 - 2012-02-25,51
2012-02-26 - 2012-03-03,53
2012-03-04 - 2012-03-10,50
2012-03-11 - 2012-03-17,52
2012-03-18 - 2012-03-24,55
2012-03-25 - 2012-03-31,51
2012-04-01 - 2012-04-07,58
2012-04-08 - 2012-04-14,52
2012-04-15 - 2012-04-21,55
2012-04-22 - 2012-04-28,52
2012-04-29 - 2012-05-05,50
2012-05-06 - 2012-05-12,51
2012-05-13 - 2012-05-19,49
2012-05-20 - 2012-05-26,47
2012-05-27 - 2012-06-02,53
2012-06-03 - 2012-06-09,55
2012-06-10 - 2012-06-16,53
2012-06-17 - 2012-06-23,49
2012-06-24 - 2012-06-30,45
2012-07-01 - 2012-07-07,54
2012-07-08 - 2012-07-14,75
2012-07-15 - 2012-07-21,64
2012-07-22 - 2012-07-28,56
2012-07-29 - 2012-08-04,54
2012-08-05 - 2012-08-11,53
2012-08-12 - 2012-08-18,52
2012-08-19 - 2012-08-25,53
2012-08-26 - 2012-09-01,52
2012-09-02 - 2012-09-08,48
2012-09-09 - 2012-09-15,44
2012-09-16 - 2012-09-22,46
2012-09-23 - 2012-09-29,42
2012-09-30 - 2012-10-06,43
2012-10-07 - 2012-10-13,44
2012-10-14 - 2012-10-20,44
2012-10-21 - 2012-10-27,41
2012-10-28 - 2012-11-03,47
2012-11-04 - 2012-11-10,55
2012-11-11 - 2012-11-17,52
2012-11-18 - 2012-11-24,49
2012-11-25 - 2012-12-01,43
2012-12-02 - 2012-12-08,41
2012-12-09 - 2012-12-15,44
2012-12-16 - 2012-12-22,42
2012-12-23 - 2012-12-29,39
2012-12-30 - 2013-01-05,40
2013-01-06 - 2013-01-12,45
2013-01-13 - 2013-01-19,42
2013-01-20 - 2013-01-26,41
2013-01-27 - 2013-02-02,45
2013-02-03 - 2013-02-09,40
2013-02-10 - 2013-02-16,46
2013-02-17 - 2013-02-23,40
2013-02-24 - 2013-03-02,38
2013-03-03 - 2013-03-09,39
2013-03-10 - 2013-03-16,37
2013-03-17 - 2013-03-23,37
2013-03-24 - 2013-03-30,37
2013-03-31 - 2013-04-06,39
2013-04-07 - 2013-04-13,41
2013-04-14 - 2013-04-20,36
2013-04-21 - 2013-04-27,43
2013-04-28 - 2013-05-04,43
2013-05-05 - 2013-05-11,39
2013-05-12 - 2013-05-18,43
2013-05-19 - 2013-05-25,38
2013-05-26 - 2013-06-01,40
2013-06-02 - 2013-06-08,40
2013-06-09 - 2013-06-15,38
2013-06-16 - 2013-06-22,35
2013-06-23 - 2013-06-29,37
2013-06-30 - 2013-07-06,41
2013-07-07 - 2013-07-13,37
2013-07-14 - 2013-07-20,35
2013-07-21 - 2013-07-27,34
2013-07-28 - 2013-08-03,33
2013-08-04 - 2013-08-10,32
2013-08-11 - 2013-08-17,36
2013-08-18 - 2013-08-24,32
2013-08-25 - 2013-08-31,32
2013-09-01 - 2013-09-07,32
2013-09-08 - 2013-09-14,28
2013-09-15 - 2013-09-21,33
2013-09-22 - 2013-09-28,33
2013-09-29 - 2013-10-05,30
2013-10-06 - 2013-10-12,34
2013-10-13 - 2013-10-19,34
2013-10-20 - 2013-10-26,38
2013-10-27 - 2013-11-02,38
2013-11-03 - 2013-11-09,43
2013-11-10 - 2013-11-16,38
2013-11-17 - 2013-11-23,37
2013-11-24 - 2013-11-30,36
2013-12-01 - 2013-12-07,35
2013-12-08 - 2013-12-14,36
2013-12-15 - 2013-12-21,37
2013-12-22 - 2013-12-28,29
2013-12-29 - 2014-01-04,33
2014-01-05 - 2014-01-11,34
2014-01-12 - 2014-01-18,37
2014-01-19 - 2014-01-25,34
2014-01-26 - 2014-02-01,36
2014-02-02 - 2014-02-08,31
2014-02-09 - 2014-02-15,29
2014-02-16 - 2014-02-22,29
2014-02-23 - 2014-03-01,31
2014-03-02 - 2014-03-08,27
2014-03-09 - 2014-03-15,29
2014-03-16 - 2014-03-22,29
2014-03-23 - 2014-03-29,29
2014-03-30 - 2014-04-05,24
2014-04-06 - 2014-04-12,26
2014-04-13 - 2014-04-19,27
2014-04-20 - 2014-04-26,24
2014-04-27 - 2014-05-03,23
2014-05-04 - 2014-05-10,24
2014-05-11 - 2014-05-17,24
2014-05-18 - 2014-05-24,27
2014-05-25 - 2014-05-31,27
2014-06-01 - 2014-06-07,27
2014-06-08 - 2014-06-14,26
2014-06-15 - 2014-06-21,31
2014-06-22 - 2014-06-28,31
2014-06-29 - 2014-07-05,30
2014-07-06 - 2014-07-12,30
2014-07-13 - 2014-07-19,26
2014-07-20 - 2014-07-26,26
2014-07-27 - 2014-08-02,23
2014-08-03 - 2014-08-09,27
2014-08-10 - 2014-08-16,26
2014-08-17 - 2014-08-23,29
2014-08-24 - 2014-08-30,28
2014-08-31 - 2014-09-06,29
2014-09-07 - 2014-09-13,26
2014-09-14 - 2014-09-20,26
2014-09-21 - 2014-09-27,23
2014-09-28 - 2014-10-04,28
2014-10-05 - 2014-10-11,24
2014-10-12 - 2014-10-18,24
2014-10-19 - 2014-10-25,23
2014-10-26 - 2014-11-01,20
2014-11-02 - 2014-11-08,23
2014-11-09 - 2014-11-15,25
2014-11-16 - 2014-11-22,23
2014-11-23 - 2014-11-29,15
2014-11-30 - 2014-12-06,15
2014-12-07 - 2014-12-13,19
2014-12-14 - 2014-12-20,16
2014-12-21 - 2014-12-27,15
2014-12-28 - 2015-01-03,14
2015-01-04 - 2015-01-10,16
2015-01-11 - 2015-01-17,28
2015-01-18 - 2015-01-24,24
2015-01-25 - 2015-01-31,24
2015-02-01 - 2015-02-07,23
2015-02-08 - 2015-02-14,27
2015-02-15 - 2015-02-21,26
2015-02-22 - 2015-02-28,25
2015-03-01 - 2015-03-07,30
2015-03-08 - 2015-03-14,41
2015-03-15 - 2015-03-21,39
2015-03-22 - 2015-03-28,38
2015-03-29 - 2015-04-04,36
2015-04-05 - 2015-04-11,39
2015-04-12 - 2015-04-18,42
2015-04-19 - 2015-04-25,44
2015-04-26 - 2015-05-02,48
2015-05-03 - 2015-05-09,47
2015-05-10 - 2015-05-16,43
2015-05-17 - 2015-05-23,39
2015-05-24 - 2015-05-30,35
2015-05-31 - 2015-06-06,44
2015-06-07 - 2015-06-13,39
2015-06-14 - 2015-06-20,35
2015-06-21 - 2015-06-27,35
2015-06-28 - 2015-07-04,36
2015-07-05 - 2015-07-11,35
2015-07-12 - 2015-07-18,34
2015-07-19 - 2015-07-25,25
2015-07-26 - 2015-08-01,30


Top sub-regions for zac brown band
Sub-region,zac brown band
West Virginia,100
North Dakota,99
South Dakota,99
Kentucky,93
Maine,88
Iowa,88
Montana,82
Nebraska,82
South Carolina,80
Wisconsin,78
Alabama,77
Tennessee,77
Wyoming,77
North Carolina,75
Ohio,75
New Hampshire,74
Indiana,74
Missouri,70
Kansas,70
Vermont,69
Minnesota,68
Arkansas,66
Pennsylvania,66
Michigan,66
Oklahoma,63
Idaho,62
Colorado,61
Georgia,60
Mississippi,55
Massachusetts,55
Delaware,53
Louisiana,50
Illinois,49
New Mexico,47
Texas,46
Rhode Island,46
Connecticut,46
Florida,45
Utah,44
Maryland,41
Arizona,39
Virginia,39
Alaska,35
Washington,35
Oregon,35
New York,34
New Jersey,34
District of Columbia,31
Nevada,26
Hawaii,21
California,20


Top metros for zac brown band
Metro,zac brown band
Sioux Falls(Mitchell) SD,100
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,91
Johnstown-Altoona PA,90
Charleston-Huntington WV,89
La Crosse-Eau Claire WI,88
Tri-Cities TN-VA,85
Chattanooga TN,84
Lexington KY,83
Knoxville TN,81
Des Moines-Ames IA,79
Springfield MO,76
Green Bay-Appleton WI,76
Lincoln & Hastings-Kearney NE,75
Flint-Saginaw-Bay City MI,73
Dayton OH,73
Greenville-Spartanburg SC-Asheville NC-Anderson SC,73
Roanoke-Lynchburg VA,73
Birmingham AL,71
Colorado Springs-Pueblo CO,71
Wilkes Barre-Scranton PA,68
Charlotte NC,68
Syracuse NY,68
Albany-Schenectady-Troy NY,67
Huntsville-Decatur (Florence) AL,67
Savannah GA,67
Mobile AL-Pensacola (Ft. Walton Beach) FL,66
Greensboro-High Point-Winston Salem NC,65
Champaign & Springfield-Decatur IL,65
Wichita-Hutchinson KS,65
Portland-Auburn ME,64
Louisville KY,63
Omaha NE,63
Pittsburgh PA,63
St. Louis MO,61
Madison WI,61
Nashville TN,60
Milwaukee WI,59
Burlington VT-Plattsburgh NY,58
Cincinnati OH,58
Cleveland-Akron (Canton) OH,57
Grand Rapids-Kalamazoo-Battle Creek MI,56
Columbia SC,56
Indianapolis IN,56
Toledo OH,56
Little Rock-Pine Bluff AR,55
Harrisburg-Lancaster-Lebanon-York PA,53
Richmond-Petersburg VA,53
Rochester NY,52
Minneapolis-St. Paul MN,52
Buffalo NY,51
Raleigh-Durham (Fayetteville) NC,51
Spokane WA,51
Denver CO,50
Kansas City MO,49
Atlanta GA,49
Columbus OH,48
Waco-Temple-Bryan TX,47
Tampa-St. Petersburg (Sarasota) FL,47
Providence RI-New Bedford MA,47
Boston MA-Manchester NH,46
Norfolk-Portsmouth-Newport News VA,45
Jacksonville FL,44
Oklahoma City OK,43
Detroit MI,41
Hartford & New Haven CT,41
Memphis TN,40
Baltimore MD,38
Albuquerque-Santa Fe NM,38
San Antonio TX,38
Philadelphia PA,37
New Orleans LA,37
Phoenix AZ,37
Orlando-Daytona Beach-Melbourne FL,37
Chicago IL,35
Austin TX,35
Salt Lake City UT,34
Houston TX,33
West Palm Beach-Ft. Pierce FL,32
Dallas-Ft. Worth TX,32
Portland OR,27
Washington DC (Hagerstown MD),25
Seattle-Tacoma WA,24
New York NY,23
Sacramento-Stockton-Modesto CA,23
San Diego CA,22
Miami-Ft. Lauderdale FL,21
Los Angeles CA,16
San Francisco-Oakland-San Jose CA,10
Binghamton NY,0
Macon GA,0
Ft. Wayne IN,0
Erie PA,0
Charleston SC,0
Augusta GA,0
Columbus GA,0
Albany GA,0
Utica NY,0
Tallahassee FL-Thomasville GA,0
Youngstown OH,0
Bangor ME,0
Traverse City-Cadillac MI,0
Springfield-Holyoke MA,0
Greenville-New Bern-Washington NC,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Elmira NY,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Sioux City IA,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
St. Joseph MO,0
Jackson TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Evansville IN,0
Lubbock TX,0
Panama City FL,0
Sherman TX-Ada OK,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Tulsa OK,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Davenport IA-Rock Island-Moline IL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Beaumont-Port Arthur TX,0
Montgomery (Selma) AL,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Fargo-Valley City ND,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Honolulu HI,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Tucson (Sierra Vista) AZ,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Las Vegas NV,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Fresno-Visalia CA,0
Chico-Redding CA,0


Top cities for zac brown band
Town/City,zac brown band
Louisville,100
Columbus,91
Cincinnati,89
Indianapolis,89
Oklahoma City,87
Charlotte,84
Denver,83
St. Louis,82
Minneapolis,72
San Antonio,66
Atlanta,64
Boston,60
Austin,57
Houston,56
Washington,52



Top searches for zac brown band
colder weather,100
knee,75
toes,70
zac brown toes,65
chicken fried,60
zac brown free,45
whatever it is,40
jason aldean,25
kenny chesney,20
highway 20 ride,15
brad paisley,15
colder weather lyrics,15
sweet annie,15
blake shelton,15
eric church,15
toby keith,10
the band perry,10
jimmy buffett,10
darius rucker,10
dirt road anthem,10
billy currington,10
alan jackson,10
homegrown,10
jake owen,10
jolene,10
eli young band,5
dierks bentley,5
cold weather,5
rodney atkins,5
zack brown band,5
zach brown,5
zach brown band,5
chris young you,5



Rising searches for zac brown band
brad paisley,Breakout
chicken fried,Breakout
colder weather,Breakout
highway 20 ride,Breakout
jason aldean,Breakout
kenny chesney,Breakout
knee,Breakout
toes,Breakout
whatever it is,Breakout
zac brown free,Breakout



