YouTube Search interest: dan+shay
United States; Jan 2008 - Jul 2015

Interest over time
Week,dan+shay
2009-02-15 - 2009-02-21,20
2009-02-22 - 2009-02-28,19
2009-03-01 - 2009-03-07,20
2009-03-08 - 2009-03-14,20
2009-03-15 - 2009-03-21,20
2009-03-22 - 2009-03-28,22
2009-03-29 - 2009-04-04,20
2009-04-05 - 2009-04-11,20
2009-04-12 - 2009-04-18,19
2009-04-19 - 2009-04-25,19
2009-04-26 - 2009-05-02,19
2009-05-03 - 2009-05-09,19
2009-05-10 - 2009-05-16,20
2009-05-17 - 2009-05-23,19
2009-05-24 - 2009-05-30,20
2009-05-31 - 2009-06-06,18
2009-06-07 - 2009-06-13,20
2009-06-14 - 2009-06-20,18
2009-06-21 - 2009-06-27,18
2009-06-28 - 2009-07-04,19
2009-07-05 - 2009-07-11,19
2009-07-12 - 2009-07-18,46
2009-07-19 - 2009-07-25,24
2009-07-26 - 2009-08-01,22
2009-08-02 - 2009-08-08,22
2009-08-09 - 2009-08-15,24
2009-08-16 - 2009-08-22,22
2009-08-23 - 2009-08-29,21
2009-08-30 - 2009-09-05,19
2009-09-06 - 2009-09-12,19
2009-09-13 - 2009-09-19,19
2009-09-20 - 2009-09-26,20
2009-09-27 - 2009-10-03,21
2009-10-04 - 2009-10-10,21
2009-10-11 - 2009-10-17,19
2009-10-18 - 2009-10-24,20
2009-10-25 - 2009-10-31,21
2009-11-01 - 2009-11-07,20
2009-11-08 - 2009-11-14,22
2009-11-15 - 2009-11-21,21
2009-11-22 - 2009-11-28,23
2009-11-29 - 2009-12-05,25
2009-12-06 - 2009-12-12,24
2009-12-13 - 2009-12-19,21
2009-12-20 - 2009-12-26,22
2009-12-27 - 2010-01-02,24
2010-01-03 - 2010-01-09,24
2010-01-10 - 2010-01-16,21
2010-01-17 - 2010-01-23,22
2010-01-24 - 2010-01-30,21
2010-01-31 - 2010-02-06,22
2010-02-07 - 2010-02-13,23
2010-02-14 - 2010-02-20,22
2010-02-21 - 2010-02-27,23
2010-02-28 - 2010-03-06,23
2010-03-07 - 2010-03-13,24
2010-03-14 - 2010-03-20,22
2010-03-21 - 2010-03-27,25
2010-03-28 - 2010-04-03,29
2010-04-04 - 2010-04-10,23
2010-04-11 - 2010-04-17,22
2010-04-18 - 2010-04-24,27
2010-04-25 - 2010-05-01,22
2010-05-02 - 2010-05-08,22
2010-05-09 - 2010-05-15,22
2010-05-16 - 2010-05-22,23
2010-05-23 - 2010-05-29,22
2010-05-30 - 2010-06-05,23
2010-06-06 - 2010-06-12,26
2010-06-13 - 2010-06-19,21
2010-06-20 - 2010-06-26,20
2010-06-27 - 2010-07-03,20
2010-07-04 - 2010-07-10,22
2010-07-11 - 2010-07-17,23
2010-07-18 - 2010-07-24,21
2010-07-25 - 2010-07-31,20
2010-08-01 - 2010-08-07,20
2010-08-08 - 2010-08-14,26
2010-08-15 - 2010-08-21,23
2010-08-22 - 2010-08-28,21
2010-08-29 - 2010-09-04,20
2010-09-05 - 2010-09-11,22
2010-09-12 - 2010-09-18,19
2010-09-19 - 2010-09-25,20
2010-09-26 - 2010-10-02,21
2010-10-03 - 2010-10-09,20
2010-10-10 - 2010-10-16,22
2010-10-17 - 2010-10-23,25
2010-10-24 - 2010-10-30,22
2010-10-31 - 2010-11-06,22
2010-11-07 - 2010-11-13,22
2010-11-14 - 2010-11-20,22
2010-11-21 - 2010-11-27,23
2010-11-28 - 2010-12-04,22
2010-12-05 - 2010-12-11,24
2010-12-12 - 2010-12-18,20
2010-12-19 - 2010-12-25,24
2010-12-26 - 2011-01-01,22
2011-01-02 - 2011-01-08,21
2011-01-09 - 2011-01-15,22
2011-01-16 - 2011-01-22,22
2011-01-23 - 2011-01-29,21
2011-01-30 - 2011-02-05,22
2011-02-06 - 2011-02-12,20
2011-02-13 - 2011-02-19,21
2011-02-20 - 2011-02-26,20
2011-02-27 - 2011-03-05,22
2011-03-06 - 2011-03-12,24
2011-03-13 - 2011-03-19,20
2011-03-20 - 2011-03-26,20
2011-03-27 - 2011-04-02,20
2011-04-03 - 2011-04-09,21
2011-04-10 - 2011-04-16,21
2011-04-17 - 2011-04-23,20
2011-04-24 - 2011-04-30,20
2011-05-01 - 2011-05-07,20
2011-05-08 - 2011-05-14,20
2011-05-15 - 2011-05-21,19
2011-05-22 - 2011-05-28,19
2011-05-29 - 2011-06-04,19
2011-06-05 - 2011-06-11,28
2011-06-12 - 2011-06-18,29
2011-06-19 - 2011-06-25,23
2011-06-26 - 2011-07-02,24
2011-07-03 - 2011-07-09,26
2011-07-10 - 2011-07-16,24
2011-07-17 - 2011-07-23,25
2011-07-24 - 2011-07-30,24
2011-07-31 - 2011-08-06,24
2011-08-07 - 2011-08-13,21
2011-08-14 - 2011-08-20,21
2011-08-21 - 2011-08-27,21
2011-08-28 - 2011-09-03,20
2011-09-04 - 2011-09-10,19
2011-09-11 - 2011-09-17,20
2011-09-18 - 2011-09-24,19
2011-09-25 - 2011-10-01,19
2011-10-02 - 2011-10-08,19
2011-10-09 - 2011-10-15,19
2011-10-16 - 2011-10-22,100
2011-10-23 - 2011-10-29,23
2011-10-30 - 2011-11-05,21
2011-11-06 - 2011-11-12,19
2011-11-13 - 2011-11-19,19
2011-11-20 - 2011-11-26,21
2011-11-27 - 2011-12-03,21
2011-12-04 - 2011-12-10,20
2011-12-11 - 2011-12-17,21
2011-12-18 - 2011-12-24,20
2011-12-25 - 2011-12-31,21
2012-01-01 - 2012-01-07,22
2012-01-08 - 2012-01-14,19
2012-01-15 - 2012-01-21,20
2012-01-22 - 2012-01-28,20
2012-01-29 - 2012-02-04,20
2012-02-05 - 2012-02-11,20
2012-02-12 - 2012-02-18,20
2012-02-19 - 2012-02-25,19
2012-02-26 - 2012-03-03,19
2012-03-04 - 2012-03-10,19
2012-03-11 - 2012-03-17,19
2012-03-18 - 2012-03-24,19
2012-03-25 - 2012-03-31,19
2012-04-01 - 2012-04-07,19
2012-04-08 - 2012-04-14,19
2012-04-15 - 2012-04-21,19
2012-04-22 - 2012-04-28,20
2012-04-29 - 2012-05-05,21
2012-05-06 - 2012-05-12,19
2012-05-13 - 2012-05-19,19
2012-05-20 - 2012-05-26,18
2012-05-27 - 2012-06-02,20
2012-06-03 - 2012-06-09,18
2012-06-10 - 2012-06-16,19
2012-06-17 - 2012-06-23,19
2012-06-24 - 2012-06-30,19
2012-07-01 - 2012-07-07,19
2012-07-08 - 2012-07-14,19
2012-07-15 - 2012-07-21,19
2012-07-22 - 2012-07-28,19
2012-07-29 - 2012-08-04,21
2012-08-05 - 2012-08-11,20
2012-08-12 - 2012-08-18,21
2012-08-19 - 2012-08-25,20
2012-08-26 - 2012-09-01,20
2012-09-02 - 2012-09-08,20
2012-09-09 - 2012-09-15,20
2012-09-16 - 2012-09-22,21
2012-09-23 - 2012-09-29,19
2012-09-30 - 2012-10-06,18
2012-10-07 - 2012-10-13,19
2012-10-14 - 2012-10-20,19
2012-10-21 - 2012-10-27,19
2012-10-28 - 2012-11-03,18
2012-11-04 - 2012-11-10,18
2012-11-11 - 2012-11-17,19
2012-11-18 - 2012-11-24,20
2012-11-25 - 2012-12-01,20
2012-12-02 - 2012-12-08,20
2012-12-09 - 2012-12-15,20
2012-12-16 - 2012-12-22,21
2012-12-23 - 2012-12-29,21
2012-12-30 - 2013-01-05,22
2013-01-06 - 2013-01-12,20
2013-01-13 - 2013-01-19,21
2013-01-20 - 2013-01-26,20
2013-01-27 - 2013-02-02,21
2013-02-03 - 2013-02-09,20
2013-02-10 - 2013-02-16,20
2013-02-17 - 2013-02-23,20
2013-02-24 - 2013-03-02,20
2013-03-03 - 2013-03-09,21
2013-03-10 - 2013-03-16,20
2013-03-17 - 2013-03-23,20
2013-03-24 - 2013-03-30,20
2013-03-31 - 2013-04-06,22
2013-04-07 - 2013-04-13,20
2013-04-14 - 2013-04-20,20
2013-04-21 - 2013-04-27,20
2013-04-28 - 2013-05-04,21
2013-05-05 - 2013-05-11,20
2013-05-12 - 2013-05-18,19
2013-05-19 - 2013-05-25,20
2013-05-26 - 2013-06-01,21
2013-06-02 - 2013-06-08,21
2013-06-09 - 2013-06-15,21
2013-06-16 - 2013-06-22,21
2013-06-23 - 2013-06-29,22
2013-06-30 - 2013-07-06,22
2013-07-07 - 2013-07-13,22
2013-07-14 - 2013-07-20,22
2013-07-21 - 2013-07-27,22
2013-07-28 - 2013-08-03,22
2013-08-04 - 2013-08-10,21
2013-08-11 - 2013-08-17,23
2013-08-18 - 2013-08-24,23
2013-08-25 - 2013-08-31,21
2013-09-01 - 2013-09-07,21
2013-09-08 - 2013-09-14,21
2013-09-15 - 2013-09-21,23
2013-09-22 - 2013-09-28,21
2013-09-29 - 2013-10-05,21
2013-10-06 - 2013-10-12,20
2013-10-13 - 2013-10-19,23
2013-10-20 - 2013-10-26,21
2013-10-27 - 2013-11-02,21
2013-11-03 - 2013-11-09,21
2013-11-10 - 2013-11-16,24
2013-11-17 - 2013-11-23,21
2013-11-24 - 2013-11-30,22
2013-12-01 - 2013-12-07,24
2013-12-08 - 2013-12-14,24
2013-12-15 - 2013-12-21,23
2013-12-22 - 2013-12-28,23
2013-12-29 - 2014-01-04,24
2014-01-05 - 2014-01-11,23
2014-01-12 - 2014-01-18,23
2014-01-19 - 2014-01-25,23
2014-01-26 - 2014-02-01,22
2014-02-02 - 2014-02-08,22
2014-02-09 - 2014-02-15,23
2014-02-16 - 2014-02-22,24
2014-02-23 - 2014-03-01,23
2014-03-02 - 2014-03-08,25
2014-03-09 - 2014-03-15,25
2014-03-16 - 2014-03-22,25
2014-03-23 - 2014-03-29,27
2014-03-30 - 2014-04-05,27
2014-04-06 - 2014-04-12,27
2014-04-13 - 2014-04-19,28
2014-04-20 - 2014-04-26,25
2014-04-27 - 2014-05-03,26
2014-05-04 - 2014-05-10,25
2014-05-11 - 2014-05-17,24
2014-05-18 - 2014-05-24,25
2014-05-25 - 2014-05-31,25
2014-06-01 - 2014-06-07,26
2014-06-08 - 2014-06-14,26
2014-06-15 - 2014-06-21,26
2014-06-22 - 2014-06-28,25
2014-06-29 - 2014-07-05,26
2014-07-06 - 2014-07-12,26
2014-07-13 - 2014-07-19,25
2014-07-20 - 2014-07-26,27
2014-07-27 - 2014-08-02,29
2014-08-03 - 2014-08-09,29
2014-08-10 - 2014-08-16,27
2014-08-17 - 2014-08-23,26
2014-08-24 - 2014-08-30,26
2014-08-31 - 2014-09-06,26
2014-09-07 - 2014-09-13,26
2014-09-14 - 2014-09-20,28
2014-09-21 - 2014-09-27,26
2014-09-28 - 2014-10-04,28
2014-10-05 - 2014-10-11,27
2014-10-12 - 2014-10-18,28
2014-10-19 - 2014-10-25,27
2014-10-26 - 2014-11-01,30
2014-11-02 - 2014-11-08,28
2014-11-09 - 2014-11-15,28
2014-11-16 - 2014-11-22,27
2014-11-23 - 2014-11-29,27
2014-11-30 - 2014-12-06,28
2014-12-07 - 2014-12-13,29
2014-12-14 - 2014-12-20,28
2014-12-21 - 2014-12-27,32
2014-12-28 - 2015-01-03,33
2015-01-04 - 2015-01-10,31
2015-01-11 - 2015-01-17,28
2015-01-18 - 2015-01-24,30
2015-01-25 - 2015-01-31,28
2015-02-01 - 2015-02-07,27
2015-02-08 - 2015-02-14,28
2015-02-15 - 2015-02-21,29
2015-02-22 - 2015-02-28,28
2015-03-01 - 2015-03-07,28
2015-03-08 - 2015-03-14,27
2015-03-15 - 2015-03-21,27
2015-03-22 - 2015-03-28,30
2015-03-29 - 2015-04-04,30
2015-04-05 - 2015-04-11,31
2015-04-12 - 2015-04-18,28
2015-04-19 - 2015-04-25,30
2015-04-26 - 2015-05-02,30
2015-05-03 - 2015-05-09,29
2015-05-10 - 2015-05-16,29
2015-05-17 - 2015-05-23,31
2015-05-24 - 2015-05-30,30
2015-05-31 - 2015-06-06,31
2015-06-07 - 2015-06-13,30
2015-06-14 - 2015-06-20,31
2015-06-21 - 2015-06-27,30
2015-06-28 - 2015-07-04,29
2015-07-05 - 2015-07-11,32
2015-07-12 - 2015-07-18,31
2015-07-19 - 2015-07-25,29
2015-07-26 - 2015-08-01,33


Top sub-regions for dan+shay
Sub-region,dan+shay
Oregon,100
Massachusetts,98
California,98
Pennsylvania,94
Kansas,92
New Hampshire,91
New York,91
Maine,90
Connecticut,90
Washington,90
Minnesota,89
Rhode Island,89
Wisconsin,89
Vermont,89
Montana,88
Indiana,88
Ohio,88
Illinois,86
Colorado,86
Iowa,86
Nebraska,85
Missouri,85
New Jersey,85
Michigan,84
Tennessee,83
West Virginia,82
North Dakota,82
Texas,82
Arizona,81
Virginia,81
South Dakota,81
Nevada,81
Alaska,80
Wyoming,80
Kentucky,80
North Carolina,79
Idaho,79
Maryland,79
District of Columbia,79
Utah,78
Oklahoma,78
Hawaii,77
Florida,77
Arkansas,76
Georgia,76
Delaware,73
New Mexico,73
South Carolina,71
Alabama,70
Louisiana,70
Mississippi,69


Top metros for dan+shay
Metro,dan+shay
Eugene OR,100
Boston MA-Manchester NH,96
Portland OR,96
La Crosse-Eau Claire WI,95
San Francisco-Oakland-San Jose CA,94
Portland-Auburn ME,94
Pittsburgh PA,92
Indianapolis IN,92
Lansing MI,91
Champaign & Springfield-Decatur IL,90
Milwaukee WI,90
Minneapolis-St. Paul MN,89
Syracuse NY,89
Detroit MI,89
Tulsa OK,88
Buffalo NY,88
Seattle-Tacoma WA,88
Wilkes Barre-Scranton PA,88
Providence RI-New Bedford MA,87
Albany-Schenectady-Troy NY,87
Denver CO,87
Peoria-Bloomington IL,87
Lincoln & Hastings-Kearney NE,86
St. Louis MO,85
Philadelphia PA,85
Los Angeles CA,84
Ft. Smith-Fayetteville-Springdale-Rogers AR,84
Harrisburg-Lancaster-Lebanon-York PA,84
Hartford & New Haven CT,84
Madison WI,84
New York NY,84
Sacramento-Stockton-Modesto CA,83
Rochester NY,83
Phoenix AZ,83
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,83
Cleveland-Akron (Canton) OH,83
Wichita-Hutchinson KS,82
Springfield-Holyoke MA,82
Greenville-Spartanburg SC-Asheville NC-Anderson SC,82
Tri-Cities TN-VA,82
Chicago IL,82
Sioux Falls(Mitchell) SD,82
Green Bay-Appleton WI,82
Roanoke-Lynchburg VA,82
Austin TX,82
San Diego CA,81
Reno NV,81
Fargo-Valley City ND,81
Columbus OH,81
Anchorage AK,81
Omaha NE,80
Grand Rapids-Kalamazoo-Battle Creek MI,80
Salt Lake City UT,80
Spokane WA,80
Burlington VT-Plattsburgh NY,80
Nashville TN,80
Johnstown-Altoona PA,79
Washington DC (Hagerstown MD),79
Toledo OH,79
Monterey-Salinas CA,79
Cincinnati OH,78
Honolulu HI,78
Houston TX,78
Santa Barbara-Santa Maria-San Luis Obispo CA,78
Dallas-Ft. Worth TX,77
Dayton OH,77
Albuquerque-Santa Fe NM,77
Des Moines-Ames IA,77
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,77
Colorado Springs-Pueblo CO,77
Charleston-Huntington WV,77
Tampa-St. Petersburg (Sarasota) FL,76
Baltimore MD,76
Kansas City MO,76
Charlotte NC,75
South Bend-Elkhart IN,75
Chattanooga TN,75
West Palm Beach-Ft. Pierce FL,75
Little Rock-Pine Bluff AR,74
Mobile AL-Pensacola (Ft. Walton Beach) FL,74
Tallahassee FL-Thomasville GA,74
Louisville KY,74
Huntsville-Decatur (Florence) AL,73
Jacksonville FL,73
Springfield MO,73
Atlanta GA,73
Raleigh-Durham (Fayetteville) NC,72
New Orleans LA,72
Richmond-Petersburg VA,72
Knoxville TN,72
Orlando-Daytona Beach-Melbourne FL,72
Flint-Saginaw-Bay City MI,72
Tucson (Sierra Vista) AZ,71
Davenport IA-Rock Island-Moline IL,71
Ft. Wayne IN,71
Oklahoma City OK,71
Memphis TN,71
Greensboro-High Point-Winston Salem NC,70
Norfolk-Portsmouth-Newport News VA,69
Las Vegas NV,69
Lexington KY,68
Harlingen-Weslaco-Brownsville-McAllen TX,68
Fresno-Visalia CA,67
Columbia SC,66
Ft. Myers-Naples FL,66
Miami-Ft. Lauderdale FL,65
Jackson MS,64
Birmingham AL,64
Savannah GA,64
Baton Rouge LA,64
El Paso TX,64
Bakersfield CA,64
San Antonio TX,62
Boise ID,62
Greenville-New Bern-Washington NC,62
Waco-Temple-Bryan TX,61
Shreveport LA,61
Binghamton NY,0
Macon GA,0
Erie PA,0
Charleston SC,0
Augusta GA,0
Columbus GA,0
Albany GA,0
Utica NY,0
Youngstown OH,0
Bangor ME,0
Traverse City-Cadillac MI,0
Watertown NY,0
Wilmington NC,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Elmira NY,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Sioux City IA,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Odessa-Midland TX,0
Amarillo TX,0
St. Joseph MO,0
Jackson TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Evansville IN,0
Lubbock TX,0
Panama City FL,0
Sherman TX-Ada OK,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Columbus-Tupelo-West Point MS,0
Duluth MN-Superior WI,0
Minot-Bismarck-Dickinson(Williston) ND,0
Beaumont-Port Arthur TX,0
Montgomery (Selma) AL,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Medford-Klamath Falls OR,0
Bend OR,0
Chico-Redding CA,0


Top cities for dan+shay
Town/City,dan+shay
Santa Clara,100
San Jose,74
Los Angeles,66
Seattle,65
New York,64
Portland,64
San Francisco,64
Minneapolis,61
Boston,61
San Diego,60
Denver,59
Philadelphia,59
Chicago,58
Austin,58
Washington,57



Top searches for dan+shay
steely dan,100
leo dan,55
dan vs,50
dan fogelberg,30
dan band,30
dan black,25
dan henderson,25
the dan band,20
phil and dan,20
dan bull,20
dan deacon,15
dan wheldon,15
dani shay,15
dan balan,15
dan seals,15
dan hill,10
dan and shay,10
dan brown,10
dan wheldon crash,10
england dan,10
dan nguyen,10
dan the man,10
dan patrick,10
dan hartman,10
dan cook,10
dan auerbach,10
de dana dan,10
dan green,10
dan marino,10
dan hardy,10
shay carl,10
shay mitchell,10
symphonies dan black,10
steely dan live,5
peg steely dan,5
dan aykroyd,5
dan truong,5
dirtbag dan,5
dan savage,5
dan bilzerian,5
dj dan,5
dan rather,5
dan tdm,5
dan osman,5
steely dan aja,5
gossip girl,5
dino dan,5
dan lags,5
dan and serena,5
dan and blair,5



Rising searches for dan+shay
dan and shay,Breakout
dan bull,Breakout
dan wheldon,Breakout
dan wheldon crash,Breakout
dani shay,Breakout
phil and dan,Breakout
dan balan,+400%
dan black,+190%
dan nguyen,+160%
dan vs,+120%



