YouTube Search interest: usher
United States; Jan 2008 - Jul 2015

Interest over time
Week,usher
2010-04-04 - 2010-04-10,83
2010-04-11 - 2010-04-17,86
2010-04-18 - 2010-04-24,92
2010-04-25 - 2010-05-01,94
2010-05-02 - 2010-05-08,95
2010-05-09 - 2010-05-15,98
2010-05-16 - 2010-05-22,100
2010-05-23 - 2010-05-29,98
2010-05-30 - 2010-06-05,92
2010-06-06 - 2010-06-12,86
2010-06-13 - 2010-06-19,85
2010-06-20 - 2010-06-26,80
2010-06-27 - 2010-07-03,76
2010-07-04 - 2010-07-10,69
2010-07-11 - 2010-07-17,78
2010-07-18 - 2010-07-24,83
2010-07-25 - 2010-07-31,75
2010-08-01 - 2010-08-07,70
2010-08-08 - 2010-08-14,69
2010-08-15 - 2010-08-21,64
2010-08-22 - 2010-08-28,69
2010-08-29 - 2010-09-04,69
2010-09-05 - 2010-09-11,62
2010-09-12 - 2010-09-18,72
2010-09-19 - 2010-09-25,67
2010-09-26 - 2010-10-02,64
2010-10-03 - 2010-10-09,59
2010-10-10 - 2010-10-16,60
2010-10-17 - 2010-10-23,58
2010-10-24 - 2010-10-30,52
2010-10-31 - 2010-11-06,52
2010-11-07 - 2010-11-13,53
2010-11-14 - 2010-11-20,48
2010-11-21 - 2010-11-27,51
2010-11-28 - 2010-12-04,44
2010-12-05 - 2010-12-11,42
2010-12-12 - 2010-12-18,47
2010-12-19 - 2010-12-25,45
2010-12-26 - 2011-01-01,45
2011-01-02 - 2011-01-08,45
2011-01-09 - 2011-01-15,47
2011-01-16 - 2011-01-22,47
2011-01-23 - 2011-01-29,45
2011-01-30 - 2011-02-05,46
2011-02-06 - 2011-02-12,56
2011-02-13 - 2011-02-19,59
2011-02-20 - 2011-02-26,52
2011-02-27 - 2011-03-05,46
2011-03-06 - 2011-03-12,47
2011-03-13 - 2011-03-19,45
2011-03-20 - 2011-03-26,43
2011-03-27 - 2011-04-02,45
2011-04-03 - 2011-04-09,42
2011-04-10 - 2011-04-16,39
2011-04-17 - 2011-04-23,38
2011-04-24 - 2011-04-30,36
2011-05-01 - 2011-05-07,34
2011-05-08 - 2011-05-14,35
2011-05-15 - 2011-05-21,36
2011-05-22 - 2011-05-28,36
2011-05-29 - 2011-06-04,35
2011-06-05 - 2011-06-11,37
2011-06-12 - 2011-06-18,33
2011-06-19 - 2011-06-25,35
2011-06-26 - 2011-07-02,33
2011-07-03 - 2011-07-09,31
2011-07-10 - 2011-07-16,32
2011-07-17 - 2011-07-23,30
2011-07-24 - 2011-07-30,30
2011-07-31 - 2011-08-06,27
2011-08-07 - 2011-08-13,26
2011-08-14 - 2011-08-20,27
2011-08-21 - 2011-08-27,27
2011-08-28 - 2011-09-03,31
2011-09-04 - 2011-09-10,34
2011-09-11 - 2011-09-17,38
2011-09-18 - 2011-09-24,39
2011-09-25 - 2011-10-01,40
2011-10-02 - 2011-10-08,44
2011-10-09 - 2011-10-15,48
2011-10-16 - 2011-10-22,44
2011-10-23 - 2011-10-29,44
2011-10-30 - 2011-11-05,44
2011-11-06 - 2011-11-12,47
2011-11-13 - 2011-11-19,45
2011-11-20 - 2011-11-26,44
2011-11-27 - 2011-12-03,41
2011-12-04 - 2011-12-10,37
2011-12-11 - 2011-12-17,36
2011-12-18 - 2011-12-24,34
2011-12-25 - 2011-12-31,32
2012-01-01 - 2012-01-07,31
2012-01-08 - 2012-01-14,31
2012-01-15 - 2012-01-21,31
2012-01-22 - 2012-01-28,31
2012-01-29 - 2012-02-04,28
2012-02-05 - 2012-02-11,27
2012-02-12 - 2012-02-18,28
2012-02-19 - 2012-02-25,29
2012-02-26 - 2012-03-03,32
2012-03-04 - 2012-03-10,37
2012-03-11 - 2012-03-17,47
2012-03-18 - 2012-03-24,52
2012-03-25 - 2012-03-31,49
2012-04-01 - 2012-04-07,49
2012-04-08 - 2012-04-14,47
2012-04-15 - 2012-04-21,50
2012-04-22 - 2012-04-28,49
2012-04-29 - 2012-05-05,51
2012-05-06 - 2012-05-12,51
2012-05-13 - 2012-05-19,56
2012-05-20 - 2012-05-26,57
2012-05-27 - 2012-06-02,51
2012-06-03 - 2012-06-09,54
2012-06-10 - 2012-06-16,59
2012-06-17 - 2012-06-23,59
2012-06-24 - 2012-06-30,58
2012-07-01 - 2012-07-07,55
2012-07-08 - 2012-07-14,52
2012-07-15 - 2012-07-21,51
2012-07-22 - 2012-07-28,46
2012-07-29 - 2012-08-04,42
2012-08-05 - 2012-08-11,41
2012-08-12 - 2012-08-18,40
2012-08-19 - 2012-08-25,36
2012-08-26 - 2012-09-01,37
2012-09-02 - 2012-09-08,35
2012-09-09 - 2012-09-15,34
2012-09-16 - 2012-09-22,34
2012-09-23 - 2012-09-29,34
2012-09-30 - 2012-10-06,33
2012-10-07 - 2012-10-13,33
2012-10-14 - 2012-10-20,32
2012-10-21 - 2012-10-27,29
2012-10-28 - 2012-11-03,29
2012-11-04 - 2012-11-10,30
2012-11-11 - 2012-11-17,29
2012-11-18 - 2012-11-24,29
2012-11-25 - 2012-12-01,25
2012-12-02 - 2012-12-08,23
2012-12-09 - 2012-12-15,23
2012-12-16 - 2012-12-22,23
2012-12-23 - 2012-12-29,23
2012-12-30 - 2013-01-05,21
2013-01-06 - 2013-01-12,21
2013-01-13 - 2013-01-19,22
2013-01-20 - 2013-01-26,20
2013-01-27 - 2013-02-02,20
2013-02-03 - 2013-02-09,19
2013-02-10 - 2013-02-16,19
2013-02-17 - 2013-02-23,18
2013-02-24 - 2013-03-02,20
2013-03-03 - 2013-03-09,19
2013-03-10 - 2013-03-16,18
2013-03-17 - 2013-03-23,18
2013-03-24 - 2013-03-30,20
2013-03-31 - 2013-04-06,19
2013-04-07 - 2013-04-13,19
2013-04-14 - 2013-04-20,18
2013-04-21 - 2013-04-27,17
2013-04-28 - 2013-05-04,19
2013-05-05 - 2013-05-11,18
2013-05-12 - 2013-05-18,17
2013-05-19 - 2013-05-25,16
2013-05-26 - 2013-06-01,18
2013-06-02 - 2013-06-08,17
2013-06-09 - 2013-06-15,16
2013-06-16 - 2013-06-22,17
2013-06-23 - 2013-06-29,15
2013-06-30 - 2013-07-06,16
2013-07-07 - 2013-07-13,14
2013-07-14 - 2013-07-20,14
2013-07-21 - 2013-07-27,13
2013-07-28 - 2013-08-03,13
2013-08-04 - 2013-08-10,14
2013-08-11 - 2013-08-17,13
2013-08-18 - 2013-08-24,13
2013-08-25 - 2013-08-31,12
2013-09-01 - 2013-09-07,12
2013-09-08 - 2013-09-14,12
2013-09-15 - 2013-09-21,13
2013-09-22 - 2013-09-28,12
2013-09-29 - 2013-10-05,12
2013-10-06 - 2013-10-12,13
2013-10-13 - 2013-10-19,13
2013-10-20 - 2013-10-26,13
2013-10-27 - 2013-11-02,13
2013-11-03 - 2013-11-09,12
2013-11-10 - 2013-11-16,12
2013-11-17 - 2013-11-23,12
2013-11-24 - 2013-11-30,14
2013-12-01 - 2013-12-07,12
2013-12-08 - 2013-12-14,11
2013-12-15 - 2013-12-21,11
2013-12-22 - 2013-12-28,10
2013-12-29 - 2014-01-04,10
2014-01-05 - 2014-01-11,10
2014-01-12 - 2014-01-18,11
2014-01-19 - 2014-01-25,11
2014-01-26 - 2014-02-01,11
2014-02-02 - 2014-02-08,11
2014-02-09 - 2014-02-15,11
2014-02-16 - 2014-02-22,11
2014-02-23 - 2014-03-01,12
2014-03-02 - 2014-03-08,13
2014-03-09 - 2014-03-15,12
2014-03-16 - 2014-03-22,12
2014-03-23 - 2014-03-29,12
2014-03-30 - 2014-04-05,11
2014-04-06 - 2014-04-12,13
2014-04-13 - 2014-04-19,12
2014-04-20 - 2014-04-26,12
2014-04-27 - 2014-05-03,13
2014-05-04 - 2014-05-10,16
2014-05-11 - 2014-05-17,16
2014-05-18 - 2014-05-24,16
2014-05-25 - 2014-05-31,14
2014-06-01 - 2014-06-07,14
2014-06-08 - 2014-06-14,14
2014-06-15 - 2014-06-21,13
2014-06-22 - 2014-06-28,14
2014-06-29 - 2014-07-05,16
2014-07-06 - 2014-07-12,15
2014-07-13 - 2014-07-19,13
2014-07-20 - 2014-07-26,13
2014-07-27 - 2014-08-02,13
2014-08-03 - 2014-08-09,12
2014-08-10 - 2014-08-16,11
2014-08-17 - 2014-08-23,13
2014-08-24 - 2014-08-30,15
2014-08-31 - 2014-09-06,15
2014-09-07 - 2014-09-13,14
2014-09-14 - 2014-09-20,14
2014-09-21 - 2014-09-27,13
2014-09-28 - 2014-10-04,13
2014-10-05 - 2014-10-11,14
2014-10-12 - 2014-10-18,13
2014-10-19 - 2014-10-25,13
2014-10-26 - 2014-11-01,13
2014-11-02 - 2014-11-08,13
2014-11-09 - 2014-11-15,14
2014-11-16 - 2014-11-22,15
2014-11-23 - 2014-11-29,15
2014-11-30 - 2014-12-06,15
2014-12-07 - 2014-12-13,15
2014-12-14 - 2014-12-20,15
2014-12-21 - 2014-12-27,15
2014-12-28 - 2015-01-03,14
2015-01-04 - 2015-01-10,14
2015-01-11 - 2015-01-17,16
2015-01-18 - 2015-01-24,16
2015-01-25 - 2015-01-31,16
2015-02-01 - 2015-02-07,16
2015-02-08 - 2015-02-14,18
2015-02-15 - 2015-02-21,14
2015-02-22 - 2015-02-28,13
2015-03-01 - 2015-03-07,16
2015-03-08 - 2015-03-14,15
2015-03-15 - 2015-03-21,14
2015-03-22 - 2015-03-28,15
2015-03-29 - 2015-04-04,12
2015-04-05 - 2015-04-11,12
2015-04-12 - 2015-04-18,12
2015-04-19 - 2015-04-25,12
2015-04-26 - 2015-05-02,13
2015-05-03 - 2015-05-09,11
2015-05-10 - 2015-05-16,12
2015-05-17 - 2015-05-23,12
2015-05-24 - 2015-05-30,10
2015-05-31 - 2015-06-06,10
2015-06-07 - 2015-06-13,11
2015-06-14 - 2015-06-20,10
2015-06-21 - 2015-06-27,10
2015-06-28 - 2015-07-04,10
2015-07-05 - 2015-07-11,9
2015-07-12 - 2015-07-18,9
2015-07-19 - 2015-07-25,9
2015-07-26 - 2015-08-01,9


Top sub-regions for usher
Sub-region,usher
Mississippi,100
Georgia,93
Louisiana,90
District of Columbia,86
North Carolina,84
Florida,83
New York,83
Alabama,83
South Carolina,82
Maryland,80
New Jersey,79
Ohio,78
Michigan,76
Texas,76
Missouri,75
Pennsylvania,75
Rhode Island,75
Kentucky,73
Illinois,73
Tennessee,72
Arkansas,71
Indiana,70
Delaware,70
Connecticut,69
Virginia,67
Massachusetts,67
California,67
Wisconsin,65
Kansas,63
Oklahoma,63
Arizona,61
Nevada,59
Nebraska,59
South Dakota,58
Iowa,58
Vermont,58
New Mexico,57
Hawaii,57
Minnesota,57
Colorado,56
Washington,54
West Virginia,53
North Dakota,48
Maine,47
New Hampshire,47
Wyoming,45
Idaho,45
Alaska,45
Utah,44
Oregon,40
Montana,37


Top metros for usher
Metro,usher
Greenwood-Greenville MS,100
Albany GA,90
Montgomery (Selma) AL,81
Jackson MS,76
Tallahassee FL-Thomasville GA,70
Memphis TN,69
Augusta GA,67
Florence-Myrtle Beach SC,66
Macon GA,65
New Orleans LA,62
West Palm Beach-Ft. Pierce FL,62
Columbia SC,62
Raleigh-Durham (Fayetteville) NC,62
Lafayette LA,61
Beaumont-Port Arthur TX,61
Shreveport LA,59
Miami-Ft. Lauderdale FL,59
Salisbury MD,59
Atlanta GA,59
Monroe LA-El Dorado AR,59
New York NY,58
Columbus GA,57
Providence RI-New Bedford MA,56
Greensboro-High Point-Winston Salem NC,56
Philadelphia PA,55
Detroit MI,55
Cleveland-Akron (Canton) OH,55
Mobile AL-Pensacola (Ft. Walton Beach) FL,55
Toledo OH,55
Birmingham AL,54
Baton Rouge LA,54
Savannah GA,54
Charlotte NC,53
Dallas-Ft. Worth TX,53
Tampa-St. Petersburg (Sarasota) FL,53
Orlando-Daytona Beach-Melbourne FL,53
Columbus-Tupelo-West Point MS,53
Baltimore MD,52
Jackson TN,52
Washington DC (Hagerstown MD),52
Corpus Christi TX,52
Springfield-Holyoke MA,52
Little Rock-Pine Bluff AR,52
St. Louis MO,51
Panama City FL,51
Wichita-Hutchinson KS,51
Milwaukee WI,51
Houston TX,50
Huntsville-Decatur (Florence) AL,50
Abilene-Sweetwater TX,50
Charleston SC,50
Biloxi-Gulfport MS,50
Chicago IL,50
Louisville KY,50
Norfolk-Portsmouth-Newport News VA,49
Los Angeles CA,49
Hartford & New Haven CT,49
Tyler-Longview(Lufkin & Nacogdoches) TX,49
Columbus OH,49
Richmond-Petersburg VA,49
Ft. Wayne IN,48
Flint-Saginaw-Bay City MI,48
Jacksonville FL,48
Kansas City MO,48
Rockford IL,48
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,48
Columbia-Jefferson City MO,47
Indianapolis IN,47
Rochester NY,47
Wilmington NC,46
Waco-Temple-Bryan TX,46
Grand Rapids-Kalamazoo-Battle Creek MI,46
Syracuse NY,46
Youngstown OH,46
Wilkes Barre-Scranton PA,46
Bakersfield CA,45
Lubbock TX,45
Nashville TN,45
Fresno-Visalia CA,45
San Antonio TX,45
Greenville-Spartanburg SC-Asheville NC-Anderson SC,45
Gainesville FL,45
Amarillo TX,45
South Bend-Elkhart IN,45
Odessa-Midland TX,45
Wichita Falls TX & Lawton OK,45
Albany-Schenectady-Troy NY,45
Sacramento-Stockton-Modesto CA,45
Greenville-New Bern-Washington NC,44
Palm Springs CA,44
Oklahoma City OK,44
Dayton OH,44
Chattanooga TN,44
Sioux City IA,44
Des Moines-Ames IA,43
Buffalo NY,43
El Paso TX,43
Boston MA-Manchester NH,43
Terre Haute IN,43
Cincinnati OH,43
Las Vegas NV,42
Pittsburgh PA,42
Madison WI,42
Roanoke-Lynchburg VA,42
Rochester MN-Mason City IA-Austin MN,42
Ft. Myers-Naples FL,42
Harrisburg-Lancaster-Lebanon-York PA,41
Lexington KY,41
Topeka KS,41
Honolulu HI,41
Minneapolis-St. Paul MN,41
San Diego CA,41
Charleston-Huntington WV,41
Erie PA,41
Burlington VT-Plattsburgh NY,41
Phoenix AZ,40
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,40
Tucson (Sierra Vista) AZ,40
Sioux Falls(Mitchell) SD,40
Reno NV,40
Yakima-Pasco-Richland-Kennewick WA,40
Colorado Springs-Pueblo CO,40
Evansville IN,40
Bowling Green KY,39
Charlottesville VA,39
Lansing MI,39
Omaha NE,39
Davenport IA-Rock Island-Moline IL,39
Green Bay-Appleton WI,39
San Francisco-Oakland-San Jose CA,39
Ft. Smith-Fayetteville-Springdale-Rogers AR,38
Tri-Cities TN-VA,38
Binghamton NY,38
Denver CO,37
Chico-Redding CA,37
Champaign & Springfield-Decatur IL,37
Albuquerque-Santa Fe NM,37
Wausau-Rhinelander WI,36
Peoria-Bloomington IL,36
Seattle-Tacoma WA,36
Tulsa OK,36
Fargo-Valley City ND,35
Lincoln & Hastings-Kearney NE,35
Harlingen-Weslaco-Brownsville-McAllen TX,35
La Crosse-Eau Claire WI,34
Knoxville TN,34
Portland-Auburn ME,34
Springfield MO,34
Santa Barbara-Santa Maria-San Luis Obispo CA,34
Austin TX,34
Minot-Bismarck-Dickinson(Williston) ND,34
Boise ID,33
Anchorage AK,33
Traverse City-Cadillac MI,33
Eugene OR,32
Spokane WA,32
Johnstown-Altoona PA,32
Monterey-Salinas CA,31
Salt Lake City UT,31
Portland OR,28
Utica NY,0
Bangor ME,0
Watertown NY,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Elmira NY,0
Harrisonburg VA,0
Lafayette IN,0
Alpena MI,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Joplin MO-Pittsburg KS,0
Dothan AL,0
Victoria TX,0
Ottumwa IA-Kirksville MO,0
St. Joseph MO,0
Lake Charles LA,0
Alexandria LA,0
Sherman TX-Ada OK,0
San Angelo TX,0
Duluth MN-Superior WI,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jonesboro AR,0
Mankato MN,0
North Platte NE,0
Fairbanks AK,0
Juneau AK,0
Laredo TX,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Eureka CA,0
Medford-Klamath Falls OR,0
Bend OR,0


Top cities for usher
Town/City,usher
Atlanta,100
Ashburn,98
Philadelphia,90
New York,88
St. Louis,86
Herndon,84
Richardson,83
Washington,83
Miami,83
Tampa,82
Reston,81
Orlando,79
Louisville,78
Houston,77
Chicago,76



Top searches for usher
omg,100
omg usher,100
chris brown,60
climax usher,60
yeah,55
usher yeah,55
justin bieber,50
lil wayne,45
nicki minaj,45
more usher,40
drake,40
usher songs,35
promise,35
burn,35
rihanna,35
usher burn,35
usher beyonce,35
trey songz,30
beyonce,30
without you usher,30
usher scream,30
without you,30
confessions usher,25
alicia keys,25
eminem,25
usher my boo,20
ludacris,20
my boo,20
trading places usher,20
pitbull,20
trading places,20
usher live,20
david guetta,20
omg usher lyrics,20
usher papers,20
usher lil freak,20
usher lemme see,15
michael jackson,15
usher moving mountains,15
climax usher lyrics,15
r kelly,15
hey daddy usher,15
nelly,15
akon,15
kanye west,15
baby justin bieber,15
jay z,10
usher dancing,10
ciara,10
yeah usher lyrics,10



Rising searches for usher
climax usher,Breakout
drake,Breakout
justin bieber,Breakout
nicki minaj,Breakout
omg,Breakout
omg usher,Breakout
usher scream,Breakout
without you usher,+1,400%
promise,+600%
more usher,+400%



