YouTube Search interest: no doubt
United States; Jan 2008 - Jul 2015

Interest over time
Week,no doubt
2012-09-16 - 2012-09-22,35
2012-09-23 - 2012-09-29,74
2012-09-30 - 2012-10-06,54
2012-10-07 - 2012-10-13,36
2012-10-14 - 2012-10-20,29
2012-10-21 - 2012-10-27,27
2012-10-28 - 2012-11-03,29
2012-11-04 - 2012-11-10,50
2012-11-11 - 2012-11-17,26
2012-11-18 - 2012-11-24,27
2012-11-25 - 2012-12-01,25
2012-12-02 - 2012-12-08,22
2012-12-09 - 2012-12-15,20
2012-12-16 - 2012-12-22,19
2012-12-23 - 2012-12-29,17
2012-12-30 - 2013-01-05,19
2013-01-06 - 2013-01-12,21
2013-01-13 - 2013-01-19,15
2013-01-20 - 2013-01-26,16
2013-01-27 - 2013-02-02,17
2013-02-03 - 2013-02-09,17
2013-02-10 - 2013-02-16,14
2013-02-17 - 2013-02-23,13
2013-02-24 - 2013-03-02,14
2013-03-03 - 2013-03-09,13
2013-03-10 - 2013-03-16,15
2013-03-17 - 2013-03-23,14
2013-03-24 - 2013-03-30,13
2013-03-31 - 2013-04-06,13
2013-04-07 - 2013-04-13,14
2013-04-14 - 2013-04-20,12
2013-04-21 - 2013-04-27,12
2013-04-28 - 2013-05-04,13
2013-05-05 - 2013-05-11,14
2013-05-12 - 2013-05-18,13
2013-05-19 - 2013-05-25,15
2013-05-26 - 2013-06-01,12
2013-06-02 - 2013-06-08,12
2013-06-09 - 2013-06-15,12
2013-06-16 - 2013-06-22,13
2013-06-23 - 2013-06-29,12
2013-06-30 - 2013-07-06,13
2013-07-07 - 2013-07-13,12
2013-07-14 - 2013-07-20,12
2013-07-21 - 2013-07-27,10
2013-07-28 - 2013-08-03,10
2013-08-04 - 2013-08-10,13
2013-08-11 - 2013-08-17,11
2013-08-18 - 2013-08-24,12
2013-08-25 - 2013-08-31,10
2013-09-01 - 2013-09-07,13
2013-09-08 - 2013-09-14,9
2013-09-15 - 2013-09-21,10
2013-09-22 - 2013-09-28,11
2013-09-29 - 2013-10-05,11
2013-10-06 - 2013-10-12,11
2013-10-13 - 2013-10-19,11
2013-10-20 - 2013-10-26,11
2013-10-27 - 2013-11-02,11
2013-11-03 - 2013-11-09,10
2013-11-10 - 2013-11-16,10
2013-11-17 - 2013-11-23,11
2013-11-24 - 2013-11-30,12
2013-12-01 - 2013-12-07,11
2013-12-08 - 2013-12-14,10
2013-12-15 - 2013-12-21,10
2013-12-22 - 2013-12-28,9
2013-12-29 - 2014-01-04,9
2014-01-05 - 2014-01-11,10
2014-01-12 - 2014-01-18,12
2014-01-19 - 2014-01-25,10
2014-01-26 - 2014-02-01,14
2014-02-02 - 2014-02-08,12
2014-02-09 - 2014-02-15,14
2014-02-16 - 2014-02-22,10
2014-02-23 - 2014-03-01,10
2014-03-02 - 2014-03-08,12
2014-03-09 - 2014-03-15,10
2014-03-16 - 2014-03-22,11
2014-03-23 - 2014-03-29,11
2014-03-30 - 2014-04-05,11
2014-04-06 - 2014-04-12,12
2014-04-13 - 2014-04-19,15
2014-04-20 - 2014-04-26,13
2014-04-27 - 2014-05-03,10
2014-05-04 - 2014-05-10,12
2014-05-11 - 2014-05-17,10
2014-05-18 - 2014-05-24,12
2014-05-25 - 2014-05-31,10
2014-06-01 - 2014-06-07,11
2014-06-08 - 2014-06-14,10
2014-06-15 - 2014-06-21,10
2014-06-22 - 2014-06-28,12
2014-06-29 - 2014-07-05,12
2014-07-06 - 2014-07-12,12
2014-07-13 - 2014-07-19,11
2014-07-20 - 2014-07-26,12
2014-07-27 - 2014-08-02,12
2014-08-03 - 2014-08-09,10
2014-08-10 - 2014-08-16,11
2014-08-17 - 2014-08-23,11
2014-08-24 - 2014-08-30,10
2014-08-31 - 2014-09-06,12
2014-09-07 - 2014-09-13,11
2014-09-14 - 2014-09-20,14
2014-09-21 - 2014-09-27,19
2014-09-28 - 2014-10-04,19
2014-10-05 - 2014-10-11,17
2014-10-12 - 2014-10-18,11
2014-10-19 - 2014-10-25,14
2014-10-26 - 2014-11-01,12
2014-11-02 - 2014-11-08,11
2014-11-09 - 2014-11-15,11
2014-11-16 - 2014-11-22,11
2014-11-23 - 2014-11-29,11
2014-11-30 - 2014-12-06,13
2014-12-07 - 2014-12-13,11
2014-12-14 - 2014-12-20,11
2014-12-21 - 2014-12-27,9
2014-12-28 - 2015-01-03,10
2015-01-04 - 2015-01-10,9
2015-01-11 - 2015-01-17,10
2015-01-18 - 2015-01-24,11
2015-01-25 - 2015-01-31,10
2015-02-01 - 2015-02-07,11
2015-02-08 - 2015-02-14,11
2015-02-15 - 2015-02-21,9
2015-02-22 - 2015-02-28,10
2015-03-01 - 2015-03-07,10
2015-03-08 - 2015-03-14,9
2015-03-15 - 2015-03-21,9
2015-03-22 - 2015-03-28,10
2015-03-29 - 2015-04-04,9
2015-04-05 - 2015-04-11,9
2015-04-12 - 2015-04-18,11
2015-04-19 - 2015-04-25,11
2015-04-26 - 2015-05-02,10
2015-05-03 - 2015-05-09,11
2015-05-10 - 2015-05-16,10
2015-05-17 - 2015-05-23,9
2015-05-24 - 2015-05-30,10
2015-05-31 - 2015-06-06,10
2015-06-07 - 2015-06-13,9
2015-06-14 - 2015-06-20,10
2015-06-21 - 2015-06-27,10
2015-06-28 - 2015-07-04,9
2015-07-05 - 2015-07-11,8
2015-07-12 - 2015-07-18,7
2015-07-19 - 2015-07-25,7
2015-07-26 - 2015-08-01,8


Top sub-regions for no doubt
Sub-region,no doubt
California,100
New Mexico,85
Hawaii,77
Nevada,74
Arizona,74
Colorado,64
North Dakota,62
Texas,62
Rhode Island,61
Ohio,61
Montana,61
New York,60
Pennsylvania,60
Washington,59
Utah,59
Missouri,58
Virginia,58
South Dakota,57
Florida,56
West Virginia,56
Wisconsin,56
Massachusetts,56
Nebraska,55
Indiana,55
District of Columbia,55
Idaho,55
Illinois,55
Oklahoma,55
Connecticut,54
New Hampshire,54
Minnesota,53
New Jersey,52
North Carolina,52
Kentucky,52
Delaware,52
Michigan,51
Oregon,51
Vermont,51
Maryland,50
Maine,50
Iowa,49
Alaska,48
South Carolina,48
Kansas,48
Georgia,47
Tennessee,47
Arkansas,46
Alabama,45
Louisiana,45
Mississippi,44
Wyoming,0


Top metros for no doubt
Metro,no doubt
Los Angeles CA,100
San Diego CA,69
Phoenix AZ,58
San Francisco-Oakland-San Jose CA,52
Sacramento-Stockton-Modesto CA,50
Denver CO,50
Baltimore MD,50
Cleveland-Akron (Canton) OH,48
Seattle-Tacoma WA,47
Boston MA-Manchester NH,47
Washington DC (Hagerstown MD),47
Tampa-St. Petersburg (Sarasota) FL,46
St. Louis MO,45
New York NY,45
Houston TX,43
Orlando-Daytona Beach-Melbourne FL,43
Dallas-Ft. Worth TX,42
Chicago IL,42
Miami-Ft. Lauderdale FL,41
Raleigh-Durham (Fayetteville) NC,41
Minneapolis-St. Paul MN,41
Portland OR,39
Philadelphia PA,39
Atlanta GA,36
Detroit MI,35
Portland-Auburn ME,0
Binghamton NY,0
Macon GA,0
Savannah GA,0
Pittsburgh PA,0
Ft. Wayne IN,0
Flint-Saginaw-Bay City MI,0
Buffalo NY,0
Cincinnati OH,0
Erie PA,0
Charlotte NC,0
Greensboro-High Point-Winston Salem NC,0
Charleston SC,0
Augusta GA,0
Providence RI-New Bedford MA,0
Columbus GA,0
Burlington VT-Plattsburgh NY,0
Albany GA,0
Utica NY,0
Indianapolis IN,0
Louisville KY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Albany-Schenectady-Troy NY,0
Hartford & New Haven CT,0
Columbus OH,0
Youngstown OH,0
Bangor ME,0
Rochester NY,0
Traverse City-Cadillac MI,0
Lexington KY,0
Dayton OH,0
Springfield-Holyoke MA,0
Norfolk-Portsmouth-Newport News VA,0
Greenville-New Bern-Washington NC,0
Columbia SC,0
Toledo OH,0
West Palm Beach-Ft. Pierce FL,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Syracuse NY,0
Richmond-Petersburg VA,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Jacksonville FL,0
Grand Rapids-Kalamazoo-Battle Creek MI,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisburg-Lancaster-Lebanon-York PA,0
Greenville-Spartanburg SC-Asheville NC-Anderson SC,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Roanoke-Lynchburg VA,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Wilkes Barre-Scranton PA,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Kansas City MO,0
Milwaukee WI,0
Springfield MO,0
New Orleans LA,0
Sioux City IA,0
Waco-Temple-Bryan TX,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Birmingham AL,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Austin TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Memphis TN,0
San Antonio TX,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Oklahoma City OK,0
Lubbock TX,0
Omaha NE,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
Nashville TN,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Madison WI,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Tulsa OK,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Wichita-Hutchinson KS,0
Des Moines-Ames IA,0
Davenport IA-Rock Island-Moline IL,0
Mobile AL-Pensacola (Ft. Walton Beach) FL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Little Rock-Pine Bluff AR,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Honolulu HI,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Colorado Springs-Pueblo CO,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Salt Lake City UT,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Tucson (Sierra Vista) AZ,0
Albuquerque-Santa Fe NM,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Las Vegas NV,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Fresno-Visalia CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for no doubt
Town/City,no doubt
Los Angeles,100
Irvine,88
Long Beach,77
Albuquerque,63
Tucson,63
San Diego,63
Las Vegas,57
San Antonio,54
Phoenix,53
San Francisco,51
Denver,48
Richardson,47
Seattle,46
Austin,46
New York,45



Top searches for no doubt
no doubt lyrics,100
gwen,80
gwen stefani,75
spiderwebs no doubt,65
spiderwebs,65
settle down,65
underneath it all,55
hella good,45
its my life,45
no doubt live,45
sunday morning,40
new no doubt,35
no doubt girlfriend,30
hey baby,30
no doubt running,25
ex girlfriend,25
dont speak,25
just a girl,25
bathwater no doubt,20
push and shove,20
cool no doubt,15
no doubt album,15
sublime no doubt,10
no doubt 2012,10
neal mccoy,10
cool gwen stefani,10
no doubt acoustic,10
rock steady,5
no doubt karaoke,5
gwen stefani hollaback,5
leave no doubt,5
no doubt interview,5



Rising searches for no doubt
no doubt girlfriend,Breakout
no doubt lyrics,Breakout
settle down,Breakout
spiderwebs,Breakout
underneath it all,Breakout
spiderwebs no doubt,+700%
its my life,+350%
hella good,+300%
sunday morning,+200%
new no doubt,+160%



