YouTube Search interest: foster the people
United States; Jan 2008 - Jul 2015

Interest over time
Week,foster the people
2009-03-22 - 2009-03-28,0
2009-03-29 - 2009-04-04,0
2009-04-05 - 2009-04-11,0
2009-04-12 - 2009-04-18,0
2009-04-19 - 2009-04-25,0
2009-04-26 - 2009-05-02,0
2009-05-03 - 2009-05-09,0
2009-05-10 - 2009-05-16,0
2009-05-17 - 2009-05-23,0
2009-05-24 - 2009-05-30,0
2009-05-31 - 2009-06-06,0
2009-06-07 - 2009-06-13,0
2009-06-14 - 2009-06-20,0
2009-06-21 - 2009-06-27,0
2009-06-28 - 2009-07-04,0
2009-07-05 - 2009-07-11,0
2009-07-12 - 2009-07-18,0
2009-07-19 - 2009-07-25,0
2009-07-26 - 2009-08-01,0
2009-08-02 - 2009-08-08,0
2009-08-09 - 2009-08-15,0
2009-08-16 - 2009-08-22,0
2009-08-23 - 2009-08-29,0
2009-08-30 - 2009-09-05,0
2009-09-06 - 2009-09-12,0
2009-09-13 - 2009-09-19,0
2009-09-20 - 2009-09-26,0
2009-09-27 - 2009-10-03,0
2009-10-04 - 2009-10-10,0
2009-10-11 - 2009-10-17,0
2009-10-18 - 2009-10-24,0
2009-10-25 - 2009-10-31,0
2009-11-01 - 2009-11-07,0
2009-11-08 - 2009-11-14,0
2009-11-15 - 2009-11-21,0
2009-11-22 - 2009-11-28,0
2009-11-29 - 2009-12-05,0
2009-12-06 - 2009-12-12,0
2009-12-13 - 2009-12-19,0
2009-12-20 - 2009-12-26,0
2009-12-27 - 2010-01-02,0
2010-01-03 - 2010-01-09,0
2010-01-10 - 2010-01-16,0
2010-01-17 - 2010-01-23,0
2010-01-24 - 2010-01-30,0
2010-01-31 - 2010-02-06,0
2010-02-07 - 2010-02-13,0
2010-02-14 - 2010-02-20,0
2010-02-21 - 2010-02-27,0
2010-02-28 - 2010-03-06,0
2010-03-07 - 2010-03-13,0
2010-03-14 - 2010-03-20,0
2010-03-21 - 2010-03-27,0
2010-03-28 - 2010-04-03,0
2010-04-04 - 2010-04-10,0
2010-04-11 - 2010-04-17,0
2010-04-18 - 2010-04-24,0
2010-04-25 - 2010-05-01,0
2010-05-02 - 2010-05-08,0
2010-05-09 - 2010-05-15,0
2010-05-16 - 2010-05-22,0
2010-05-23 - 2010-05-29,0
2010-05-30 - 2010-06-05,0
2010-06-06 - 2010-06-12,0
2010-06-13 - 2010-06-19,0
2010-06-20 - 2010-06-26,0
2010-06-27 - 2010-07-03,0
2010-07-04 - 2010-07-10,0
2010-07-11 - 2010-07-17,0
2010-07-18 - 2010-07-24,0
2010-07-25 - 2010-07-31,0
2010-08-01 - 2010-08-07,0
2010-08-08 - 2010-08-14,0
2010-08-15 - 2010-08-21,0
2010-08-22 - 2010-08-28,0
2010-08-29 - 2010-09-04,0
2010-09-05 - 2010-09-11,0
2010-09-12 - 2010-09-18,0
2010-09-19 - 2010-09-25,0
2010-09-26 - 2010-10-02,0
2010-10-03 - 2010-10-09,0
2010-10-10 - 2010-10-16,0
2010-10-17 - 2010-10-23,0
2010-10-24 - 2010-10-30,0
2010-10-31 - 2010-11-06,0
2010-11-07 - 2010-11-13,0
2010-11-14 - 2010-11-20,0
2010-11-21 - 2010-11-27,1
2010-11-28 - 2010-12-04,0
2010-12-05 - 2010-12-11,0
2010-12-12 - 2010-12-18,1
2010-12-19 - 2010-12-25,0
2010-12-26 - 2011-01-01,0
2011-01-02 - 2011-01-08,1
2011-01-09 - 2011-01-15,1
2011-01-16 - 2011-01-22,2
2011-01-23 - 2011-01-29,2
2011-01-30 - 2011-02-05,2
2011-02-06 - 2011-02-12,3
2011-02-13 - 2011-02-19,4
2011-02-20 - 2011-02-26,4
2011-02-27 - 2011-03-05,4
2011-03-06 - 2011-03-12,5
2011-03-13 - 2011-03-19,6
2011-03-20 - 2011-03-26,5
2011-03-27 - 2011-04-02,6
2011-04-03 - 2011-04-09,6
2011-04-10 - 2011-04-16,6
2011-04-17 - 2011-04-23,8
2011-04-24 - 2011-04-30,10
2011-05-01 - 2011-05-07,9
2011-05-08 - 2011-05-14,11
2011-05-15 - 2011-05-21,13
2011-05-22 - 2011-05-28,16
2011-05-29 - 2011-06-04,16
2011-06-05 - 2011-06-11,17
2011-06-12 - 2011-06-18,17
2011-06-19 - 2011-06-25,17
2011-06-26 - 2011-07-02,21
2011-07-03 - 2011-07-09,22
2011-07-10 - 2011-07-16,24
2011-07-17 - 2011-07-23,31
2011-07-24 - 2011-07-30,35
2011-07-31 - 2011-08-06,46
2011-08-07 - 2011-08-13,54
2011-08-14 - 2011-08-20,62
2011-08-21 - 2011-08-27,72
2011-08-28 - 2011-09-03,100
2011-09-04 - 2011-09-10,93
2011-09-11 - 2011-09-17,90
2011-09-18 - 2011-09-24,90
2011-09-25 - 2011-10-01,95
2011-10-02 - 2011-10-08,90
2011-10-09 - 2011-10-15,95
2011-10-16 - 2011-10-22,88
2011-10-23 - 2011-10-29,79
2011-10-30 - 2011-11-05,80
2011-11-06 - 2011-11-12,75
2011-11-13 - 2011-11-19,65
2011-11-20 - 2011-11-26,59
2011-11-27 - 2011-12-03,53
2011-12-04 - 2011-12-10,52
2011-12-11 - 2011-12-17,54
2011-12-18 - 2011-12-24,52
2011-12-25 - 2011-12-31,53
2012-01-01 - 2012-01-07,48
2012-01-08 - 2012-01-14,40
2012-01-15 - 2012-01-21,36
2012-01-22 - 2012-01-28,33
2012-01-29 - 2012-02-04,33
2012-02-05 - 2012-02-11,31
2012-02-12 - 2012-02-18,35
2012-02-19 - 2012-02-25,30
2012-02-26 - 2012-03-03,28
2012-03-04 - 2012-03-10,26
2012-03-11 - 2012-03-17,26
2012-03-18 - 2012-03-24,25
2012-03-25 - 2012-03-31,23
2012-04-01 - 2012-04-07,21
2012-04-08 - 2012-04-14,20
2012-04-15 - 2012-04-21,19
2012-04-22 - 2012-04-28,21
2012-04-29 - 2012-05-05,26
2012-05-06 - 2012-05-12,22
2012-05-13 - 2012-05-19,19
2012-05-20 - 2012-05-26,19
2012-05-27 - 2012-06-02,18
2012-06-03 - 2012-06-09,20
2012-06-10 - 2012-06-16,22
2012-06-17 - 2012-06-23,19
2012-06-24 - 2012-06-30,18
2012-07-01 - 2012-07-07,19
2012-07-08 - 2012-07-14,17
2012-07-15 - 2012-07-21,14
2012-07-22 - 2012-07-28,13
2012-07-29 - 2012-08-04,13
2012-08-05 - 2012-08-11,12
2012-08-12 - 2012-08-18,12
2012-08-19 - 2012-08-25,12
2012-08-26 - 2012-09-01,12
2012-09-02 - 2012-09-08,11
2012-09-09 - 2012-09-15,11
2012-09-16 - 2012-09-22,12
2012-09-23 - 2012-09-29,11
2012-09-30 - 2012-10-06,11
2012-10-07 - 2012-10-13,11
2012-10-14 - 2012-10-20,10
2012-10-21 - 2012-10-27,9
2012-10-28 - 2012-11-03,9
2012-11-04 - 2012-11-10,9
2012-11-11 - 2012-11-17,8
2012-11-18 - 2012-11-24,8
2012-11-25 - 2012-12-01,8
2012-12-02 - 2012-12-08,7
2012-12-09 - 2012-12-15,7
2012-12-16 - 2012-12-22,8
2012-12-23 - 2012-12-29,7
2012-12-30 - 2013-01-05,7
2013-01-06 - 2013-01-12,7
2013-01-13 - 2013-01-19,7
2013-01-20 - 2013-01-26,7
2013-01-27 - 2013-02-02,7
2013-02-03 - 2013-02-09,6
2013-02-10 - 2013-02-16,7
2013-02-17 - 2013-02-23,6
2013-02-24 - 2013-03-02,6
2013-03-03 - 2013-03-09,6
2013-03-10 - 2013-03-16,6
2013-03-17 - 2013-03-23,6
2013-03-24 - 2013-03-30,5
2013-03-31 - 2013-04-06,6
2013-04-07 - 2013-04-13,6
2013-04-14 - 2013-04-20,6
2013-04-21 - 2013-04-27,6
2013-04-28 - 2013-05-04,6
2013-05-05 - 2013-05-11,6
2013-05-12 - 2013-05-18,6
2013-05-19 - 2013-05-25,5
2013-05-26 - 2013-06-01,5
2013-06-02 - 2013-06-08,7
2013-06-09 - 2013-06-15,5
2013-06-16 - 2013-06-22,5
2013-06-23 - 2013-06-29,6
2013-06-30 - 2013-07-06,5
2013-07-07 - 2013-07-13,5
2013-07-14 - 2013-07-20,5
2013-07-21 - 2013-07-27,5
2013-07-28 - 2013-08-03,5
2013-08-04 - 2013-08-10,5
2013-08-11 - 2013-08-17,5
2013-08-18 - 2013-08-24,5
2013-08-25 - 2013-08-31,5
2013-09-01 - 2013-09-07,5
2013-09-08 - 2013-09-14,4
2013-09-15 - 2013-09-21,5
2013-09-22 - 2013-09-28,4
2013-09-29 - 2013-10-05,4
2013-10-06 - 2013-10-12,4
2013-10-13 - 2013-10-19,5
2013-10-20 - 2013-10-26,5
2013-10-27 - 2013-11-02,4
2013-11-03 - 2013-11-09,4
2013-11-10 - 2013-11-16,4
2013-11-17 - 2013-11-23,4
2013-11-24 - 2013-11-30,5
2013-12-01 - 2013-12-07,4
2013-12-08 - 2013-12-14,4
2013-12-15 - 2013-12-21,4
2013-12-22 - 2013-12-28,3
2013-12-29 - 2014-01-04,4
2014-01-05 - 2014-01-11,4
2014-01-12 - 2014-01-18,10
2014-01-19 - 2014-01-25,7
2014-01-26 - 2014-02-01,7
2014-02-02 - 2014-02-08,7
2014-02-09 - 2014-02-15,8
2014-02-16 - 2014-02-22,9
2014-02-23 - 2014-03-01,8
2014-03-02 - 2014-03-08,8
2014-03-09 - 2014-03-15,11
2014-03-16 - 2014-03-22,15
2014-03-23 - 2014-03-29,13
2014-03-30 - 2014-04-05,10
2014-04-06 - 2014-04-12,8
2014-04-13 - 2014-04-19,11
2014-04-20 - 2014-04-26,8
2014-04-27 - 2014-05-03,7
2014-05-04 - 2014-05-10,9
2014-05-11 - 2014-05-17,8
2014-05-18 - 2014-05-24,7
2014-05-25 - 2014-05-31,9
2014-06-01 - 2014-06-07,11
2014-06-08 - 2014-06-14,9
2014-06-15 - 2014-06-21,6
2014-06-22 - 2014-06-28,7
2014-06-29 - 2014-07-05,7
2014-07-06 - 2014-07-12,7
2014-07-13 - 2014-07-19,7
2014-07-20 - 2014-07-26,6
2014-07-27 - 2014-08-02,7
2014-08-03 - 2014-08-09,8
2014-08-10 - 2014-08-16,6
2014-08-17 - 2014-08-23,6
2014-08-24 - 2014-08-30,5
2014-08-31 - 2014-09-06,6
2014-09-07 - 2014-09-13,6
2014-09-14 - 2014-09-20,5
2014-09-21 - 2014-09-27,5
2014-09-28 - 2014-10-04,6
2014-10-05 - 2014-10-11,5
2014-10-12 - 2014-10-18,5
2014-10-19 - 2014-10-25,5
2014-10-26 - 2014-11-01,5
2014-11-02 - 2014-11-08,5
2014-11-09 - 2014-11-15,5
2014-11-16 - 2014-11-22,4
2014-11-23 - 2014-11-29,4
2014-11-30 - 2014-12-06,5
2014-12-07 - 2014-12-13,4
2014-12-14 - 2014-12-20,4
2014-12-21 - 2014-12-27,4
2014-12-28 - 2015-01-03,3
2015-01-04 - 2015-01-10,4
2015-01-11 - 2015-01-17,4
2015-01-18 - 2015-01-24,4
2015-01-25 - 2015-01-31,3
2015-02-01 - 2015-02-07,5
2015-02-08 - 2015-02-14,5
2015-02-15 - 2015-02-21,4
2015-02-22 - 2015-02-28,4
2015-03-01 - 2015-03-07,4
2015-03-08 - 2015-03-14,5
2015-03-15 - 2015-03-21,4
2015-03-22 - 2015-03-28,4
2015-03-29 - 2015-04-04,4
2015-04-05 - 2015-04-11,4
2015-04-12 - 2015-04-18,5
2015-04-19 - 2015-04-25,4
2015-04-26 - 2015-05-02,4
2015-05-03 - 2015-05-09,4
2015-05-10 - 2015-05-16,4
2015-05-17 - 2015-05-23,4
2015-05-24 - 2015-05-30,3
2015-05-31 - 2015-06-06,4
2015-06-07 - 2015-06-13,3
2015-06-14 - 2015-06-20,4
2015-06-21 - 2015-06-27,3
2015-06-28 - 2015-07-04,3
2015-07-05 - 2015-07-11,3
2015-07-12 - 2015-07-18,3
2015-07-19 - 2015-07-25,4
2015-07-26 - 2015-08-01,4


Top sub-regions for foster the people
Sub-region,foster the people
North Dakota,100
New Mexico,100
Montana,94
South Dakota,92
Utah,91
Idaho,89
Pennsylvania,88
Iowa,88
New Hampshire,87
California,87
Arizona,86
Wisconsin,85
Colorado,84
Indiana,84
Minnesota,82
Ohio,82
Nebraska,82
Vermont,80
Michigan,78
West Virginia,77
Washington,75
Texas,75
Illinois,75
Oregon,75
Kansas,74
Kentucky,73
Maine,73
Massachusetts,71
Wyoming,71
Nevada,70
Connecticut,68
South Carolina,68
North Carolina,67
Oklahoma,67
Delaware,66
Tennessee,65
Maryland,63
Rhode Island,63
Alaska,63
Florida,62
Missouri,60
New Jersey,59
New York,58
Alabama,57
Arkansas,55
Georgia,55
Hawaii,54
Louisiana,47
Mississippi,44
Virginia,39
District of Columbia,35


Top metros for foster the people
Metro,foster the people
Albuquerque-Santa Fe NM,100
Los Angeles CA,99
Santa Barbara-Santa Maria-San Luis Obispo CA,98
San Diego CA,85
Pittsburgh PA,83
Austin TX,83
Salt Lake City UT,83
Tucson (Sierra Vista) AZ,83
Syracuse NY,83
Denver CO,77
Grand Rapids-Kalamazoo-Battle Creek MI,76
Indianapolis IN,76
Buffalo NY,75
San Antonio TX,74
Omaha NE,74
Phoenix AZ,72
Fresno-Visalia CA,71
Milwaukee WI,71
Minneapolis-St. Paul MN,71
Columbus OH,70
Cleveland-Akron (Canton) OH,70
Wilkes Barre-Scranton PA,69
Madison WI,68
Nashville TN,68
Philadelphia PA,66
Sacramento-Stockton-Modesto CA,66
Portland OR,65
Boston MA-Manchester NH,65
Charlotte NC,65
Cincinnati OH,65
Detroit MI,64
Jacksonville FL,64
Harrisburg-Lancaster-Lebanon-York PA,64
Rochester NY,63
Norfolk-Portsmouth-Newport News VA,63
Louisville KY,62
Richmond-Petersburg VA,62
Las Vegas NV,62
Hartford & New Haven CT,61
Tampa-St. Petersburg (Sarasota) FL,61
Greensboro-High Point-Winston Salem NC,61
Baltimore MD,60
Chicago IL,60
Houston TX,60
Seattle-Tacoma WA,59
Dallas-Ft. Worth TX,56
Kansas City MO,55
Albany-Schenectady-Troy NY,55
Greenville-Spartanburg SC-Asheville NC-Anderson SC,54
Providence RI-New Bedford MA,54
Raleigh-Durham (Fayetteville) NC,54
Oklahoma City OK,52
New York NY,52
Honolulu HI,51
West Palm Beach-Ft. Pierce FL,50
Atlanta GA,49
St. Louis MO,47
Orlando-Daytona Beach-Melbourne FL,45
Miami-Ft. Lauderdale FL,42
San Francisco-Oakland-San Jose CA,39
Washington DC (Hagerstown MD),30
Portland-Auburn ME,0
Binghamton NY,0
Macon GA,0
Savannah GA,0
Ft. Wayne IN,0
Flint-Saginaw-Bay City MI,0
Erie PA,0
Charleston SC,0
Augusta GA,0
Columbus GA,0
Burlington VT-Plattsburgh NY,0
Albany GA,0
Utica NY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Youngstown OH,0
Bangor ME,0
Traverse City-Cadillac MI,0
Lexington KY,0
Dayton OH,0
Springfield-Holyoke MA,0
Greenville-New Bern-Washington NC,0
Columbia SC,0
Toledo OH,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Roanoke-Lynchburg VA,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Springfield MO,0
New Orleans LA,0
Sioux City IA,0
Waco-Temple-Bryan TX,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Birmingham AL,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Memphis TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Lubbock TX,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Tulsa OK,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Wichita-Hutchinson KS,0
Des Moines-Ames IA,0
Davenport IA-Rock Island-Moline IL,0
Mobile AL-Pensacola (Ft. Walton Beach) FL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Little Rock-Pine Bluff AR,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Colorado Springs-Pueblo CO,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for foster the people
Town/City,foster the people
El Paso,100
Albuquerque,89
Austin,83
Tucson,78
Los Angeles,76
Las Vegas,71
Portland,70
San Antonio,70
San Diego,70
Denver,69
Indianapolis,64
Columbus,63
Minneapolis,61
Phoenix,60
Houston,57



Top searches for foster the people
pumped up kicks,100
helena beat,15
houdini,15
waste,5
pump up kicks,0
young the giant,0



Rising searches for foster the people
helena beat,Breakout
houdini,Breakout
pumped up kicks,Breakout
waste,Breakout



