YouTube Search interest: eric church
United States; Jan 2008 - Jul 2015

Interest over time
Week,eric church
2011-10-09 - 2011-10-15,39
2011-10-16 - 2011-10-22,36
2011-10-23 - 2011-10-29,39
2011-10-30 - 2011-11-05,37
2011-11-06 - 2011-11-12,44
2011-11-13 - 2011-11-19,42
2011-11-20 - 2011-11-26,44
2011-11-27 - 2011-12-03,41
2011-12-04 - 2011-12-10,40
2011-12-11 - 2011-12-17,41
2011-12-18 - 2011-12-24,37
2011-12-25 - 2011-12-31,35
2012-01-01 - 2012-01-07,36
2012-01-08 - 2012-01-14,41
2012-01-15 - 2012-01-21,39
2012-01-22 - 2012-01-28,40
2012-01-29 - 2012-02-04,42
2012-02-05 - 2012-02-11,37
2012-02-12 - 2012-02-18,42
2012-02-19 - 2012-02-25,46
2012-02-26 - 2012-03-03,48
2012-03-04 - 2012-03-10,54
2012-03-11 - 2012-03-17,62
2012-03-18 - 2012-03-24,73
2012-03-25 - 2012-03-31,80
2012-04-01 - 2012-04-07,94
2012-04-08 - 2012-04-14,88
2012-04-15 - 2012-04-21,97
2012-04-22 - 2012-04-28,98
2012-04-29 - 2012-05-05,100
2012-05-06 - 2012-05-12,97
2012-05-13 - 2012-05-19,92
2012-05-20 - 2012-05-26,80
2012-05-27 - 2012-06-02,80
2012-06-03 - 2012-06-09,79
2012-06-10 - 2012-06-16,83
2012-06-17 - 2012-06-23,76
2012-06-24 - 2012-06-30,71
2012-07-01 - 2012-07-07,65
2012-07-08 - 2012-07-14,65
2012-07-15 - 2012-07-21,64
2012-07-22 - 2012-07-28,56
2012-07-29 - 2012-08-04,51
2012-08-05 - 2012-08-11,56
2012-08-12 - 2012-08-18,54
2012-08-19 - 2012-08-25,53
2012-08-26 - 2012-09-01,54
2012-09-02 - 2012-09-08,51
2012-09-09 - 2012-09-15,52
2012-09-16 - 2012-09-22,63
2012-09-23 - 2012-09-29,60
2012-09-30 - 2012-10-06,51
2012-10-07 - 2012-10-13,55
2012-10-14 - 2012-10-20,55
2012-10-21 - 2012-10-27,51
2012-10-28 - 2012-11-03,58
2012-11-04 - 2012-11-10,63
2012-11-11 - 2012-11-17,54
2012-11-18 - 2012-11-24,46
2012-11-25 - 2012-12-01,49
2012-12-02 - 2012-12-08,47
2012-12-09 - 2012-12-15,45
2012-12-16 - 2012-12-22,44
2012-12-23 - 2012-12-29,38
2012-12-30 - 2013-01-05,39
2013-01-06 - 2013-01-12,40
2013-01-13 - 2013-01-19,40
2013-01-20 - 2013-01-26,37
2013-01-27 - 2013-02-02,40
2013-02-03 - 2013-02-09,38
2013-02-10 - 2013-02-16,43
2013-02-17 - 2013-02-23,47
2013-02-24 - 2013-03-02,42
2013-03-03 - 2013-03-09,45
2013-03-10 - 2013-03-16,44
2013-03-17 - 2013-03-23,41
2013-03-24 - 2013-03-30,44
2013-03-31 - 2013-04-06,40
2013-04-07 - 2013-04-13,62
2013-04-14 - 2013-04-20,43
2013-04-21 - 2013-04-27,48
2013-04-28 - 2013-05-04,46
2013-05-05 - 2013-05-11,47
2013-05-12 - 2013-05-18,42
2013-05-19 - 2013-05-25,40
2013-05-26 - 2013-06-01,38
2013-06-02 - 2013-06-08,40
2013-06-09 - 2013-06-15,37
2013-06-16 - 2013-06-22,34
2013-06-23 - 2013-06-29,30
2013-06-30 - 2013-07-06,30
2013-07-07 - 2013-07-13,30
2013-07-14 - 2013-07-20,25
2013-07-21 - 2013-07-27,25
2013-07-28 - 2013-08-03,24
2013-08-04 - 2013-08-10,24
2013-08-11 - 2013-08-17,25
2013-08-18 - 2013-08-24,27
2013-08-25 - 2013-08-31,24
2013-09-01 - 2013-09-07,22
2013-09-08 - 2013-09-14,24
2013-09-15 - 2013-09-21,24
2013-09-22 - 2013-09-28,21
2013-09-29 - 2013-10-05,21
2013-10-06 - 2013-10-12,22
2013-10-13 - 2013-10-19,22
2013-10-20 - 2013-10-26,37
2013-10-27 - 2013-11-02,34
2013-11-03 - 2013-11-09,51
2013-11-10 - 2013-11-16,43
2013-11-17 - 2013-11-23,35
2013-11-24 - 2013-11-30,30
2013-12-01 - 2013-12-07,31
2013-12-08 - 2013-12-14,29
2013-12-15 - 2013-12-21,25
2013-12-22 - 2013-12-28,22
2013-12-29 - 2014-01-04,22
2014-01-05 - 2014-01-11,27
2014-01-12 - 2014-01-18,35
2014-01-19 - 2014-01-25,34
2014-01-26 - 2014-02-01,39
2014-02-02 - 2014-02-08,38
2014-02-09 - 2014-02-15,57
2014-02-16 - 2014-02-22,56
2014-02-23 - 2014-03-01,48
2014-03-02 - 2014-03-08,46
2014-03-09 - 2014-03-15,39
2014-03-16 - 2014-03-22,36
2014-03-23 - 2014-03-29,36
2014-03-30 - 2014-04-05,36
2014-04-06 - 2014-04-12,43
2014-04-13 - 2014-04-19,41
2014-04-20 - 2014-04-26,36
2014-04-27 - 2014-05-03,37
2014-05-04 - 2014-05-10,34
2014-05-11 - 2014-05-17,30
2014-05-18 - 2014-05-24,29
2014-05-25 - 2014-05-31,26
2014-06-01 - 2014-06-07,33
2014-06-08 - 2014-06-14,32
2014-06-15 - 2014-06-21,26
2014-06-22 - 2014-06-28,27
2014-06-29 - 2014-07-05,27
2014-07-06 - 2014-07-12,27
2014-07-13 - 2014-07-19,26
2014-07-20 - 2014-07-26,24
2014-07-27 - 2014-08-02,25
2014-08-03 - 2014-08-09,30
2014-08-10 - 2014-08-16,29
2014-08-17 - 2014-08-23,26
2014-08-24 - 2014-08-30,26
2014-08-31 - 2014-09-06,23
2014-09-07 - 2014-09-13,22
2014-09-14 - 2014-09-20,28
2014-09-21 - 2014-09-27,24
2014-09-28 - 2014-10-04,25
2014-10-05 - 2014-10-11,26
2014-10-12 - 2014-10-18,28
2014-10-19 - 2014-10-25,28
2014-10-26 - 2014-11-01,30
2014-11-02 - 2014-11-08,32
2014-11-09 - 2014-11-15,30
2014-11-16 - 2014-11-22,28
2014-11-23 - 2014-11-29,25
2014-11-30 - 2014-12-06,26
2014-12-07 - 2014-12-13,28
2014-12-14 - 2014-12-20,29
2014-12-21 - 2014-12-27,21
2014-12-28 - 2015-01-03,23
2015-01-04 - 2015-01-10,26
2015-01-11 - 2015-01-17,29
2015-01-18 - 2015-01-24,29
2015-01-25 - 2015-01-31,30
2015-02-01 - 2015-02-07,29
2015-02-08 - 2015-02-14,35
2015-02-15 - 2015-02-21,28
2015-02-22 - 2015-02-28,29
2015-03-01 - 2015-03-07,31
2015-03-08 - 2015-03-14,27
2015-03-15 - 2015-03-21,30
2015-03-22 - 2015-03-28,33
2015-03-29 - 2015-04-04,32
2015-04-05 - 2015-04-11,33
2015-04-12 - 2015-04-18,32
2015-04-19 - 2015-04-25,40
2015-04-26 - 2015-05-02,38
2015-05-03 - 2015-05-09,37
2015-05-10 - 2015-05-16,35
2015-05-17 - 2015-05-23,36
2015-05-24 - 2015-05-30,31
2015-05-31 - 2015-06-06,32
2015-06-07 - 2015-06-13,38
2015-06-14 - 2015-06-20,36
2015-06-21 - 2015-06-27,36
2015-06-28 - 2015-07-04,37
2015-07-05 - 2015-07-11,33
2015-07-12 - 2015-07-18,38
2015-07-19 - 2015-07-25,36
2015-07-26 - 2015-08-01,33


Top sub-regions for eric church
Sub-region,eric church
West Virginia,100
North Dakota,99
South Dakota,87
Nebraska,86
Iowa,85
Kentucky,85
Wisconsin,72
Montana,69
Tennessee,61
Alabama,60
Arkansas,60
Minnesota,58
Wyoming,57
Kansas,57
Ohio,56
North Carolina,56
Maine,55
South Carolina,54
Indiana,53
Missouri,53
Mississippi,49
Oklahoma,45
Vermont,44
Idaho,43
Michigan,42
New Hampshire,38
Pennsylvania,37
Georgia,36
Louisiana,31
Illinois,30
Colorado,30
Delaware,26
New Mexico,26
Utah,24
Virginia,23
Massachusetts,23
Florida,22
Texas,21
Maryland,21
Washington,20
Oregon,20
Rhode Island,19
Connecticut,19
Arizona,19
Alaska,18
New York,16
District of Columbia,14
New Jersey,12
Nevada,12
California,8
Hawaii,6


Top metros for eric church
Metro,eric church
Lincoln & Hastings-Kearney NE,100
Wausau-Rhinelander WI,90
Fargo-Valley City ND,89
La Crosse-Eau Claire WI,83
Sioux Falls(Mitchell) SD,79
Charleston-Huntington WV,78
Lexington KY,78
Columbia-Jefferson City MO,76
Tri-Cities TN-VA,74
Sioux City IA,74
Knoxville TN,71
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,69
Topeka KS,69
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,68
Springfield MO,62
Chattanooga TN,61
Des Moines-Ames IA,61
Peoria-Bloomington IL,58
Johnstown-Altoona PA,57
Champaign & Springfield-Decatur IL,57
Greenville-Spartanburg SC-Asheville NC-Anderson SC,56
Davenport IA-Rock Island-Moline IL,54
Wichita-Hutchinson KS,54
Madison WI,54
Roanoke-Lynchburg VA,53
Ft. Wayne IN,51
Greenville-New Bern-Washington NC,50
Dayton OH,49
Green Bay-Appleton WI,48
Omaha NE,47
Louisville KY,47
Minneapolis-St. Paul MN,45
Greensboro-High Point-Winston Salem NC,45
Charlotte NC,45
Nashville TN,44
Savannah GA,43
Flint-Saginaw-Bay City MI,43
Birmingham AL,43
Toledo OH,43
Grand Rapids-Kalamazoo-Battle Creek MI,43
Portland-Auburn ME,42
Lansing MI,42
Ft. Smith-Fayetteville-Springdale-Rogers AR,41
Huntsville-Decatur (Florence) AL,40
Columbus OH,40
Burlington VT-Plattsburgh NY,40
Cincinnati OH,39
Little Rock-Pine Bluff AR,39
Wilkes Barre-Scranton PA,38
Harrisburg-Lancaster-Lebanon-York PA,37
Pittsburgh PA,36
Cleveland-Akron (Canton) OH,36
Mobile AL-Pensacola (Ft. Walton Beach) FL,36
Milwaukee WI,35
Tulsa OK,35
Indianapolis IN,34
St. Louis MO,34
Raleigh-Durham (Fayetteville) NC,34
Boise ID,33
Kansas City MO,32
Buffalo NY,31
Memphis TN,31
Syracuse NY,31
Spokane WA,30
Waco-Temple-Bryan TX,30
Columbia SC,30
Richmond-Petersburg VA,30
Oklahoma City OK,29
Albany-Schenectady-Troy NY,27
Jacksonville FL,23
Atlanta GA,22
Denver CO,21
Tampa-St. Petersburg (Sarasota) FL,21
Albuquerque-Santa Fe NM,21
Boston MA-Manchester NH,20
Detroit MI,19
Baltimore MD,19
Salt Lake City UT,18
Norfolk-Portsmouth-Newport News VA,18
Hartford & New Haven CT,17
Phoenix AZ,16
Orlando-Daytona Beach-Melbourne FL,15
Chicago IL,15
Austin TX,14
Providence RI-New Bedford MA,14
San Antonio TX,14
Seattle-Tacoma WA,13
Philadelphia PA,13
Dallas-Ft. Worth TX,13
Portland OR,13
Houston TX,13
Washington DC (Hagerstown MD),12
Sacramento-Stockton-Modesto CA,10
San Diego CA,7
New York NY,6
Los Angeles CA,5
Miami-Ft. Lauderdale FL,5
San Francisco-Oakland-San Jose CA,4
Binghamton NY,0
Macon GA,0
Erie PA,0
Charleston SC,0
Augusta GA,0
Columbus GA,0
Albany GA,0
Utica NY,0
Tallahassee FL-Thomasville GA,0
Youngstown OH,0
Bangor ME,0
Rochester NY,0
Traverse City-Cadillac MI,0
Springfield-Holyoke MA,0
West Palm Beach-Ft. Pierce FL,0
Watertown NY,0
Wilmington NC,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Elmira NY,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
New Orleans LA,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Odessa-Midland TX,0
Amarillo TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
St. Joseph MO,0
Jackson TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Evansville IN,0
Lubbock TX,0
Panama City FL,0
Sherman TX-Ada OK,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Columbus-Tupelo-West Point MS,0
Duluth MN-Superior WI,0
Minot-Bismarck-Dickinson(Williston) ND,0
Beaumont-Port Arthur TX,0
Montgomery (Selma) AL,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Honolulu HI,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Colorado Springs-Pueblo CO,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Tucson (Sierra Vista) AZ,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Las Vegas NV,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Fresno-Visalia CA,0
Chico-Redding CA,0


Top cities for eric church
Town/City,eric church
Lincoln,100
Omaha,49
Columbus,44
Charlotte,35
Minneapolis,32
St. Louis,28
Denver,23
Atlanta,17
Houston,16
Washington,16
Chicago,14
New York,6



Top searches for eric church
springsteen,100
eric church springsteen,100
eric church lyrics,75
homeboy eric church,60
homeboy,60
jason aldean,45
luke bryan,40
country,35
creepin eric church,25
creepin,25
like jesus does,20
brantley gilbert,15
guys like me,15
eric church hometown,15
blake shelton,15
carolina eric church,15
carolina,15
outsiders eric church,15
kenny chesney,15
eric church songs,10
the outsiders,10
jake owen,10
eric church live,10
wrecking ball,10
justin moore,10
zac brown band,10
brad paisley,10
talladega eric church,10
toby keith,10
florida georgia line,10
dirt road anthem,10
dierks bentley,10
keith urban,10
country music,5
drunk on you,5
lee brice,5
eli young band,5
jack daniels,5
kip moore,5
billy currington,5
little big town,5
eric church acoustic,5
colt ford,5
darius rucker,5
rodney atkins,5
eric church album,5
lightning eric church,5



Rising searches for eric church
brantley gilbert,Breakout
country,Breakout
creepin,Breakout
creepin eric church,Breakout
eric church hometown,Breakout
eric church lyrics,Breakout
eric church springsteen,Breakout
guys like me,Breakout
homeboy,Breakout
homeboy eric church,Breakout



