YouTube Search interest: disturbed
United States; Jan 2008 - Jul 2015

Interest over time
Week,disturbed
2012-02-05 - 2012-02-11,31
2012-02-12 - 2012-02-18,29
2012-02-19 - 2012-02-25,28
2012-02-26 - 2012-03-03,29
2012-03-04 - 2012-03-10,29
2012-03-11 - 2012-03-17,29
2012-03-18 - 2012-03-24,28
2012-03-25 - 2012-03-31,29
2012-04-01 - 2012-04-07,27
2012-04-08 - 2012-04-14,28
2012-04-15 - 2012-04-21,27
2012-04-22 - 2012-04-28,28
2012-04-29 - 2012-05-05,27
2012-05-06 - 2012-05-12,28
2012-05-13 - 2012-05-19,28
2012-05-20 - 2012-05-26,27
2012-05-27 - 2012-06-02,27
2012-06-03 - 2012-06-09,26
2012-06-10 - 2012-06-16,29
2012-06-17 - 2012-06-23,26
2012-06-24 - 2012-06-30,26
2012-07-01 - 2012-07-07,26
2012-07-08 - 2012-07-14,27
2012-07-15 - 2012-07-21,26
2012-07-22 - 2012-07-28,27
2012-07-29 - 2012-08-04,26
2012-08-05 - 2012-08-11,26
2012-08-12 - 2012-08-18,27
2012-08-19 - 2012-08-25,27
2012-08-26 - 2012-09-01,27
2012-09-02 - 2012-09-08,26
2012-09-09 - 2012-09-15,27
2012-09-16 - 2012-09-22,24
2012-09-23 - 2012-09-29,25
2012-09-30 - 2012-10-06,25
2012-10-07 - 2012-10-13,25
2012-10-14 - 2012-10-20,23
2012-10-21 - 2012-10-27,24
2012-10-28 - 2012-11-03,23
2012-11-04 - 2012-11-10,25
2012-11-11 - 2012-11-17,23
2012-11-18 - 2012-11-24,23
2012-11-25 - 2012-12-01,22
2012-12-02 - 2012-12-08,22
2012-12-09 - 2012-12-15,22
2012-12-16 - 2012-12-22,23
2012-12-23 - 2012-12-29,22
2012-12-30 - 2013-01-05,21
2013-01-06 - 2013-01-12,21
2013-01-13 - 2013-01-19,23
2013-01-20 - 2013-01-26,22
2013-01-27 - 2013-02-02,22
2013-02-03 - 2013-02-09,22
2013-02-10 - 2013-02-16,22
2013-02-17 - 2013-02-23,20
2013-02-24 - 2013-03-02,23
2013-03-03 - 2013-03-09,22
2013-03-10 - 2013-03-16,22
2013-03-17 - 2013-03-23,23
2013-03-24 - 2013-03-30,22
2013-03-31 - 2013-04-06,23
2013-04-07 - 2013-04-13,22
2013-04-14 - 2013-04-20,22
2013-04-21 - 2013-04-27,22
2013-04-28 - 2013-05-04,23
2013-05-05 - 2013-05-11,22
2013-05-12 - 2013-05-18,23
2013-05-19 - 2013-05-25,22
2013-05-26 - 2013-06-01,22
2013-06-02 - 2013-06-08,23
2013-06-09 - 2013-06-15,21
2013-06-16 - 2013-06-22,19
2013-06-23 - 2013-06-29,20
2013-06-30 - 2013-07-06,21
2013-07-07 - 2013-07-13,20
2013-07-14 - 2013-07-20,21
2013-07-21 - 2013-07-27,19
2013-07-28 - 2013-08-03,20
2013-08-04 - 2013-08-10,19
2013-08-11 - 2013-08-17,21
2013-08-18 - 2013-08-24,21
2013-08-25 - 2013-08-31,19
2013-09-01 - 2013-09-07,19
2013-09-08 - 2013-09-14,21
2013-09-15 - 2013-09-21,22
2013-09-22 - 2013-09-28,20
2013-09-29 - 2013-10-05,20
2013-10-06 - 2013-10-12,21
2013-10-13 - 2013-10-19,19
2013-10-20 - 2013-10-26,20
2013-10-27 - 2013-11-02,21
2013-11-03 - 2013-11-09,18
2013-11-10 - 2013-11-16,18
2013-11-17 - 2013-11-23,19
2013-11-24 - 2013-11-30,18
2013-12-01 - 2013-12-07,18
2013-12-08 - 2013-12-14,18
2013-12-15 - 2013-12-21,18
2013-12-22 - 2013-12-28,18
2013-12-29 - 2014-01-04,18
2014-01-05 - 2014-01-11,18
2014-01-12 - 2014-01-18,19
2014-01-19 - 2014-01-25,18
2014-01-26 - 2014-02-01,18
2014-02-02 - 2014-02-08,17
2014-02-09 - 2014-02-15,18
2014-02-16 - 2014-02-22,18
2014-02-23 - 2014-03-01,18
2014-03-02 - 2014-03-08,20
2014-03-09 - 2014-03-15,18
2014-03-16 - 2014-03-22,16
2014-03-23 - 2014-03-29,17
2014-03-30 - 2014-04-05,16
2014-04-06 - 2014-04-12,18
2014-04-13 - 2014-04-19,17
2014-04-20 - 2014-04-26,19
2014-04-27 - 2014-05-03,17
2014-05-04 - 2014-05-10,17
2014-05-11 - 2014-05-17,19
2014-05-18 - 2014-05-24,17
2014-05-25 - 2014-05-31,17
2014-06-01 - 2014-06-07,16
2014-06-08 - 2014-06-14,16
2014-06-15 - 2014-06-21,16
2014-06-22 - 2014-06-28,17
2014-06-29 - 2014-07-05,17
2014-07-06 - 2014-07-12,16
2014-07-13 - 2014-07-19,15
2014-07-20 - 2014-07-26,16
2014-07-27 - 2014-08-02,17
2014-08-03 - 2014-08-09,15
2014-08-10 - 2014-08-16,15
2014-08-17 - 2014-08-23,14
2014-08-24 - 2014-08-30,17
2014-08-31 - 2014-09-06,17
2014-09-07 - 2014-09-13,15
2014-09-14 - 2014-09-20,16
2014-09-21 - 2014-09-27,16
2014-09-28 - 2014-10-04,16
2014-10-05 - 2014-10-11,16
2014-10-12 - 2014-10-18,15
2014-10-19 - 2014-10-25,16
2014-10-26 - 2014-11-01,16
2014-11-02 - 2014-11-08,15
2014-11-09 - 2014-11-15,16
2014-11-16 - 2014-11-22,15
2014-11-23 - 2014-11-29,13
2014-11-30 - 2014-12-06,13
2014-12-07 - 2014-12-13,15
2014-12-14 - 2014-12-20,15
2014-12-21 - 2014-12-27,16
2014-12-28 - 2015-01-03,14
2015-01-04 - 2015-01-10,15
2015-01-11 - 2015-01-17,14
2015-01-18 - 2015-01-24,15
2015-01-25 - 2015-01-31,14
2015-02-01 - 2015-02-07,15
2015-02-08 - 2015-02-14,16
2015-02-15 - 2015-02-21,13
2015-02-22 - 2015-02-28,15
2015-03-01 - 2015-03-07,14
2015-03-08 - 2015-03-14,14
2015-03-15 - 2015-03-21,14
2015-03-22 - 2015-03-28,16
2015-03-29 - 2015-04-04,15
2015-04-05 - 2015-04-11,15
2015-04-12 - 2015-04-18,15
2015-04-19 - 2015-04-25,15
2015-04-26 - 2015-05-02,15
2015-05-03 - 2015-05-09,15
2015-05-10 - 2015-05-16,16
2015-05-17 - 2015-05-23,16
2015-05-24 - 2015-05-30,16
2015-05-31 - 2015-06-06,15
2015-06-07 - 2015-06-13,13
2015-06-14 - 2015-06-20,13
2015-06-21 - 2015-06-27,25
2015-06-28 - 2015-07-04,23
2015-07-05 - 2015-07-11,19
2015-07-12 - 2015-07-18,18
2015-07-19 - 2015-07-25,22
2015-07-26 - 2015-08-01,23


Top sub-regions for disturbed
Sub-region,disturbed
Maine,100
West Virginia,93
Wyoming,86
South Dakota,86
Missouri,83
Kentucky,81
Montana,78
Kansas,76
North Dakota,76
Ohio,76
Iowa,74
Indiana,73
Oklahoma,72
New Hampshire,69
Wisconsin,68
Arkansas,68
Tennessee,67
Nebraska,67
Pennsylvania,66
Michigan,65
Colorado,65
Idaho,64
Vermont,64
New Mexico,63
Louisiana,60
Alaska,60
North Carolina,59
Alabama,57
Arizona,57
Minnesota,55
Texas,55
South Carolina,55
Washington,54
Florida,53
Mississippi,53
Oregon,51
Illinois,51
Georgia,50
Utah,49
Rhode Island,49
Connecticut,48
Nevada,48
Virginia,48
Massachusetts,46
New York,43
Delaware,42
New Jersey,41
District of Columbia,41
Maryland,38
California,35
Hawaii,23


Top metros for disturbed
Metro,disturbed
Charleston-Huntington WV,100
Wilkes Barre-Scranton PA,98
Tri-Cities TN-VA,92
Evansville IN,89
Portland-Auburn ME,88
Johnstown-Altoona PA,87
La Crosse-Eau Claire WI,83
Kansas City MO,81
Ft. Wayne IN,81
Sioux Falls(Mitchell) SD,81
Dayton OH,79
Grand Rapids-Kalamazoo-Battle Creek MI,79
Lexington KY,79
Louisville KY,79
Boise ID,78
Pittsburgh PA,78
Springfield MO,77
Fargo-Valley City ND,76
Flint-Saginaw-Bay City MI,76
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,75
Colorado Springs-Pueblo CO,75
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,74
Spokane WA,74
Green Bay-Appleton WI,74
South Bend-Elkhart IN,73
Cleveland-Akron (Canton) OH,73
Tulsa OK,73
Albany-Schenectady-Troy NY,72
St. Louis MO,70
Toledo OH,70
Greenville-New Bern-Washington NC,70
Wichita-Hutchinson KS,69
Burlington VT-Plattsburgh NY,68
Columbus OH,68
Knoxville TN,68
Reno NV,68
Omaha NE,67
Cincinnati OH,66
Indianapolis IN,66
Syracuse NY,66
Albuquerque-Santa Fe NM,66
Lansing MI,66
Des Moines-Ames IA,65
Chattanooga TN,65
Lincoln & Hastings-Kearney NE,64
Little Rock-Pine Bluff AR,64
Eugene OR,64
Mobile AL-Pensacola (Ft. Walton Beach) FL,64
Roanoke-Lynchburg VA,63
Harrisburg-Lancaster-Lebanon-York PA,63
Shreveport LA,63
Buffalo NY,62
Oklahoma City OK,61
Denver CO,61
Nashville TN,61
Greensboro-High Point-Winston Salem NC,60
Madison WI,59
Huntsville-Decatur (Florence) AL,59
Dallas-Ft. Worth TX,58
Tampa-St. Petersburg (Sarasota) FL,58
Charlotte NC,58
San Antonio TX,58
Greenville-Spartanburg SC-Asheville NC-Anderson SC,58
Birmingham AL,57
Rochester NY,56
El Paso TX,54
Orlando-Daytona Beach-Melbourne FL,54
Norfolk-Portsmouth-Newport News VA,53
Hartford & New Haven CT,53
Raleigh-Durham (Fayetteville) NC,53
Seattle-Tacoma WA,52
Phoenix AZ,52
Champaign & Springfield-Decatur IL,51
Detroit MI,51
Salt Lake City UT,51
New Orleans LA,51
Providence RI-New Bedford MA,50
Boston MA-Manchester NH,49
Fresno-Visalia CA,49
Sacramento-Stockton-Modesto CA,49
Columbia SC,48
Minneapolis-St. Paul MN,48
Philadelphia PA,48
Milwaukee WI,48
Atlanta GA,46
Waco-Temple-Bryan TX,45
Richmond-Petersburg VA,45
Chicago IL,45
Portland OR,45
Las Vegas NV,44
Memphis TN,44
Tucson (Sierra Vista) AZ,43
Jacksonville FL,42
Washington DC (Hagerstown MD),42
Austin TX,40
Houston TX,40
Baltimore MD,39
West Palm Beach-Ft. Pierce FL,38
San Diego CA,36
Miami-Ft. Lauderdale FL,36
Harlingen-Weslaco-Brownsville-McAllen TX,33
New York NY,33
Los Angeles CA,32
San Francisco-Oakland-San Jose CA,24
Honolulu HI,22
Binghamton NY,0
Macon GA,0
Savannah GA,0
Erie PA,0
Charleston SC,0
Augusta GA,0
Columbus GA,0
Albany GA,0
Utica NY,0
Tallahassee FL-Thomasville GA,0
Youngstown OH,0
Bangor ME,0
Traverse City-Cadillac MI,0
Springfield-Holyoke MA,0
Watertown NY,0
Wilmington NC,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Elmira NY,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Sioux City IA,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Odessa-Midland TX,0
Amarillo TX,0
St. Joseph MO,0
Jackson TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Lubbock TX,0
Panama City FL,0
Sherman TX-Ada OK,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Davenport IA-Rock Island-Moline IL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Beaumont-Port Arthur TX,0
Montgomery (Selma) AL,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Bakersfield CA,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Chico-Redding CA,0


Top cities for disturbed
Town/City,disturbed
St. Louis,100
Herndon,89
Louisville,86
Richardson,83
Tampa,82
Orlando,78
Columbus,77
Phoenix,77
Reston,74
San Antonio,72
Denver,72
Atlanta,67
Portland,65
Sacramento,62
Seattle,60



Top searches for disturbed
disturbed sickness,100
disturbed lyrics,90
indestructible,70
indestructible disturbed,70
stricken disturbed,45
inside the fire,45
stricken,45
disturbed night,35
disturbed the night,30
disturbed live,30
slipknot,25
stupify disturbed,25
disturbed animal,25
prayer,25
disturbed prayer,25
asylum disturbed,25
hell disturbed,20
korn,20
land of confusion,20
metallica,20
disturbed the game,20
disturbed 3,20
avenged sevenfold,20
godsmack,20
disturbed the animal,15
disturbed warrior,15
three days grace,15
disturbed album,15
breaking benjamin,10
disturbed remember,10
disturbed indestructible lyrics,10
disturbed amv,10
voices disturbed,10
papa roach,10
disturbed rise,10
seether,10
drowning pool,10
disturbed liberate,10
disturbed monster,10
shout disturbed,10
stricken disturbed lyrics,5
disturbed want,5



Rising searches for disturbed
indestructible,Breakout
indestructible disturbed,Breakout
inside the fire,Breakout
disturbed lyrics,+1,700%
disturbed the night,+1,150%
disturbed animal,+850%
disturbed night,+750%
disturbed sickness,+170%
stupify disturbed,+170%
stricken,+70%



