YouTube Search interest: red hot chili peppers
United States; Jan 2008 - Jul 2015

Interest over time
Week,red hot chili peppers
2010-01-03 - 2010-01-09,36
2010-01-10 - 2010-01-16,38
2010-01-17 - 2010-01-23,40
2010-01-24 - 2010-01-30,42
2010-01-31 - 2010-02-06,43
2010-02-07 - 2010-02-13,42
2010-02-14 - 2010-02-20,38
2010-02-21 - 2010-02-27,39
2010-02-28 - 2010-03-06,40
2010-03-07 - 2010-03-13,42
2010-03-14 - 2010-03-20,41
2010-03-21 - 2010-03-27,41
2010-03-28 - 2010-04-03,39
2010-04-04 - 2010-04-10,41
2010-04-11 - 2010-04-17,42
2010-04-18 - 2010-04-24,43
2010-04-25 - 2010-05-01,44
2010-05-02 - 2010-05-08,44
2010-05-09 - 2010-05-15,43
2010-05-16 - 2010-05-22,42
2010-05-23 - 2010-05-29,43
2010-05-30 - 2010-06-05,40
2010-06-06 - 2010-06-12,38
2010-06-13 - 2010-06-19,41
2010-06-20 - 2010-06-26,38
2010-06-27 - 2010-07-03,35
2010-07-04 - 2010-07-10,39
2010-07-11 - 2010-07-17,37
2010-07-18 - 2010-07-24,38
2010-07-25 - 2010-07-31,41
2010-08-01 - 2010-08-07,36
2010-08-08 - 2010-08-14,37
2010-08-15 - 2010-08-21,38
2010-08-22 - 2010-08-28,39
2010-08-29 - 2010-09-04,38
2010-09-05 - 2010-09-11,43
2010-09-12 - 2010-09-18,40
2010-09-19 - 2010-09-25,41
2010-09-26 - 2010-10-02,41
2010-10-03 - 2010-10-09,42
2010-10-10 - 2010-10-16,43
2010-10-17 - 2010-10-23,40
2010-10-24 - 2010-10-30,41
2010-10-31 - 2010-11-06,42
2010-11-07 - 2010-11-13,41
2010-11-14 - 2010-11-20,40
2010-11-21 - 2010-11-27,40
2010-11-28 - 2010-12-04,40
2010-12-05 - 2010-12-11,42
2010-12-12 - 2010-12-18,44
2010-12-19 - 2010-12-25,39
2010-12-26 - 2011-01-01,39
2011-01-02 - 2011-01-08,39
2011-01-09 - 2011-01-15,41
2011-01-16 - 2011-01-22,41
2011-01-23 - 2011-01-29,44
2011-01-30 - 2011-02-05,46
2011-02-06 - 2011-02-12,41
2011-02-13 - 2011-02-19,42
2011-02-20 - 2011-02-26,41
2011-02-27 - 2011-03-05,42
2011-03-06 - 2011-03-12,44
2011-03-13 - 2011-03-19,42
2011-03-20 - 2011-03-26,41
2011-03-27 - 2011-04-02,38
2011-04-03 - 2011-04-09,48
2011-04-10 - 2011-04-16,42
2011-04-17 - 2011-04-23,40
2011-04-24 - 2011-04-30,45
2011-05-01 - 2011-05-07,41
2011-05-08 - 2011-05-14,40
2011-05-15 - 2011-05-21,39
2011-05-22 - 2011-05-28,39
2011-05-29 - 2011-06-04,40
2011-06-05 - 2011-06-11,40
2011-06-12 - 2011-06-18,46
2011-06-19 - 2011-06-25,44
2011-06-26 - 2011-07-02,45
2011-07-03 - 2011-07-09,46
2011-07-10 - 2011-07-16,46
2011-07-17 - 2011-07-23,60
2011-07-24 - 2011-07-30,57
2011-07-31 - 2011-08-06,53
2011-08-07 - 2011-08-13,58
2011-08-14 - 2011-08-20,67
2011-08-21 - 2011-08-27,74
2011-08-28 - 2011-09-03,100
2011-09-04 - 2011-09-10,83
2011-09-11 - 2011-09-17,70
2011-09-18 - 2011-09-24,64
2011-09-25 - 2011-10-01,65
2011-10-02 - 2011-10-08,59
2011-10-09 - 2011-10-15,56
2011-10-16 - 2011-10-22,50
2011-10-23 - 2011-10-29,54
2011-10-30 - 2011-11-05,49
2011-11-06 - 2011-11-12,48
2011-11-13 - 2011-11-19,52
2011-11-20 - 2011-11-26,43
2011-11-27 - 2011-12-03,47
2011-12-04 - 2011-12-10,52
2011-12-11 - 2011-12-17,49
2011-12-18 - 2011-12-24,41
2011-12-25 - 2011-12-31,40
2012-01-01 - 2012-01-07,43
2012-01-08 - 2012-01-14,44
2012-01-15 - 2012-01-21,43
2012-01-22 - 2012-01-28,47
2012-01-29 - 2012-02-04,48
2012-02-05 - 2012-02-11,44
2012-02-12 - 2012-02-18,45
2012-02-19 - 2012-02-25,42
2012-02-26 - 2012-03-03,42
2012-03-04 - 2012-03-10,43
2012-03-11 - 2012-03-17,43
2012-03-18 - 2012-03-24,41
2012-03-25 - 2012-03-31,49
2012-04-01 - 2012-04-07,44
2012-04-08 - 2012-04-14,47
2012-04-15 - 2012-04-21,48
2012-04-22 - 2012-04-28,41
2012-04-29 - 2012-05-05,45
2012-05-06 - 2012-05-12,50
2012-05-13 - 2012-05-19,46
2012-05-20 - 2012-05-26,46
2012-05-27 - 2012-06-02,45
2012-06-03 - 2012-06-09,46
2012-06-10 - 2012-06-16,47
2012-06-17 - 2012-06-23,40
2012-06-24 - 2012-06-30,39
2012-07-01 - 2012-07-07,39
2012-07-08 - 2012-07-14,40
2012-07-15 - 2012-07-21,37
2012-07-22 - 2012-07-28,37
2012-07-29 - 2012-08-04,36
2012-08-05 - 2012-08-11,43
2012-08-12 - 2012-08-18,46
2012-08-19 - 2012-08-25,41
2012-08-26 - 2012-09-01,45
2012-09-02 - 2012-09-08,44
2012-09-09 - 2012-09-15,43
2012-09-16 - 2012-09-22,40
2012-09-23 - 2012-09-29,42
2012-09-30 - 2012-10-06,44
2012-10-07 - 2012-10-13,39
2012-10-14 - 2012-10-20,40
2012-10-21 - 2012-10-27,41
2012-10-28 - 2012-11-03,37
2012-11-04 - 2012-11-10,37
2012-11-11 - 2012-11-17,36
2012-11-18 - 2012-11-24,34
2012-11-25 - 2012-12-01,32
2012-12-02 - 2012-12-08,31
2012-12-09 - 2012-12-15,32
2012-12-16 - 2012-12-22,32
2012-12-23 - 2012-12-29,30
2012-12-30 - 2013-01-05,29
2013-01-06 - 2013-01-12,32
2013-01-13 - 2013-01-19,31
2013-01-20 - 2013-01-26,34
2013-01-27 - 2013-02-02,34
2013-02-03 - 2013-02-09,33
2013-02-10 - 2013-02-16,35
2013-02-17 - 2013-02-23,33
2013-02-24 - 2013-03-02,34
2013-03-03 - 2013-03-09,37
2013-03-10 - 2013-03-16,35
2013-03-17 - 2013-03-23,31
2013-03-24 - 2013-03-30,33
2013-03-31 - 2013-04-06,34
2013-04-07 - 2013-04-13,35
2013-04-14 - 2013-04-20,40
2013-04-21 - 2013-04-27,37
2013-04-28 - 2013-05-04,38
2013-05-05 - 2013-05-11,38
2013-05-12 - 2013-05-18,36
2013-05-19 - 2013-05-25,35
2013-05-26 - 2013-06-01,35
2013-06-02 - 2013-06-08,35
2013-06-09 - 2013-06-15,34
2013-06-16 - 2013-06-22,32
2013-06-23 - 2013-06-29,33
2013-06-30 - 2013-07-06,33
2013-07-07 - 2013-07-13,31
2013-07-14 - 2013-07-20,32
2013-07-21 - 2013-07-27,30
2013-07-28 - 2013-08-03,33
2013-08-04 - 2013-08-10,31
2013-08-11 - 2013-08-17,31
2013-08-18 - 2013-08-24,33
2013-08-25 - 2013-08-31,31
2013-09-01 - 2013-09-07,31
2013-09-08 - 2013-09-14,34
2013-09-15 - 2013-09-21,32
2013-09-22 - 2013-09-28,33
2013-09-29 - 2013-10-05,31
2013-10-06 - 2013-10-12,30
2013-10-13 - 2013-10-19,31
2013-10-20 - 2013-10-26,32
2013-10-27 - 2013-11-02,29
2013-11-03 - 2013-11-09,30
2013-11-10 - 2013-11-16,30
2013-11-17 - 2013-11-23,29
2013-11-24 - 2013-11-30,26
2013-12-01 - 2013-12-07,30
2013-12-08 - 2013-12-14,29
2013-12-15 - 2013-12-21,27
2013-12-22 - 2013-12-28,27
2013-12-29 - 2014-01-04,25
2014-01-05 - 2014-01-11,30
2014-01-12 - 2014-01-18,33
2014-01-19 - 2014-01-25,32
2014-01-26 - 2014-02-01,34
2014-02-02 - 2014-02-08,83
2014-02-09 - 2014-02-15,37
2014-02-16 - 2014-02-22,33
2014-02-23 - 2014-03-01,33
2014-03-02 - 2014-03-08,31
2014-03-09 - 2014-03-15,31
2014-03-16 - 2014-03-22,32
2014-03-23 - 2014-03-29,30
2014-03-30 - 2014-04-05,31
2014-04-06 - 2014-04-12,33
2014-04-13 - 2014-04-19,29
2014-04-20 - 2014-04-26,31
2014-04-27 - 2014-05-03,28
2014-05-04 - 2014-05-10,27
2014-05-11 - 2014-05-17,27
2014-05-18 - 2014-05-24,37
2014-05-25 - 2014-05-31,32
2014-06-01 - 2014-06-07,31
2014-06-08 - 2014-06-14,29
2014-06-15 - 2014-06-21,28
2014-06-22 - 2014-06-28,30
2014-06-29 - 2014-07-05,29
2014-07-06 - 2014-07-12,28
2014-07-13 - 2014-07-19,28
2014-07-20 - 2014-07-26,25
2014-07-27 - 2014-08-02,28
2014-08-03 - 2014-08-09,26
2014-08-10 - 2014-08-16,27
2014-08-17 - 2014-08-23,27
2014-08-24 - 2014-08-30,28
2014-08-31 - 2014-09-06,28
2014-09-07 - 2014-09-13,31
2014-09-14 - 2014-09-20,30
2014-09-21 - 2014-09-27,27
2014-09-28 - 2014-10-04,30
2014-10-05 - 2014-10-11,28
2014-10-12 - 2014-10-18,27
2014-10-19 - 2014-10-25,28
2014-10-26 - 2014-11-01,29
2014-11-02 - 2014-11-08,28
2014-11-09 - 2014-11-15,27
2014-11-16 - 2014-11-22,26
2014-11-23 - 2014-11-29,20
2014-11-30 - 2014-12-06,26
2014-12-07 - 2014-12-13,24
2014-12-14 - 2014-12-20,26
2014-12-21 - 2014-12-27,22
2014-12-28 - 2015-01-03,22
2015-01-04 - 2015-01-10,26
2015-01-11 - 2015-01-17,26
2015-01-18 - 2015-01-24,27
2015-01-25 - 2015-01-31,27
2015-02-01 - 2015-02-07,29
2015-02-08 - 2015-02-14,26
2015-02-15 - 2015-02-21,24
2015-02-22 - 2015-02-28,26
2015-03-01 - 2015-03-07,28
2015-03-08 - 2015-03-14,28
2015-03-15 - 2015-03-21,27
2015-03-22 - 2015-03-28,26
2015-03-29 - 2015-04-04,26
2015-04-05 - 2015-04-11,28
2015-04-12 - 2015-04-18,26
2015-04-19 - 2015-04-25,28
2015-04-26 - 2015-05-02,27
2015-05-03 - 2015-05-09,28
2015-05-10 - 2015-05-16,30
2015-05-17 - 2015-05-23,29
2015-05-24 - 2015-05-30,28
2015-05-31 - 2015-06-06,26
2015-06-07 - 2015-06-13,25
2015-06-14 - 2015-06-20,22
2015-06-21 - 2015-06-27,23
2015-06-28 - 2015-07-04,25
2015-07-05 - 2015-07-11,23
2015-07-12 - 2015-07-18,22
2015-07-19 - 2015-07-25,25
2015-07-26 - 2015-08-01,25


Top sub-regions for red hot chili peppers
Sub-region,red hot chili peppers
Montana,100
South Dakota,99
New Mexico,95
North Dakota,94
West Virginia,94
California,90
Pennsylvania,90
New Hampshire,87
Kentucky,86
Maine,86
Iowa,83
Colorado,82
Arizona,82
Ohio,81
Indiana,80
Wyoming,80
Massachusetts,79
Virginia,79
Idaho,79
Wisconsin,79
Connecticut,78
Michigan,78
New Jersey,78
Vermont,78
Kansas,78
Missouri,77
Illinois,77
Oklahoma,77
North Carolina,76
Arkansas,76
Nebraska,75
Tennessee,74
Texas,74
Rhode Island,74
New York,73
Florida,72
Minnesota,71
South Carolina,71
Washington,69
Alabama,68
Utah,68
Nevada,68
Oregon,67
Alaska,66
Delaware,66
Maryland,65
Louisiana,65
Georgia,64
Mississippi,62
District of Columbia,60
Hawaii,52


Top metros for red hot chili peppers
Metro,red hot chili peppers
El Paso TX,100
Santa Barbara-Santa Maria-San Luis Obispo CA,92
La Crosse-Eau Claire WI,91
Eugene OR,88
Albuquerque-Santa Fe NM,86
Johnstown-Altoona PA,85
Flint-Saginaw-Bay City MI,84
Albany-Schenectady-Troy NY,81
Charleston-Huntington WV,78
Roanoke-Lynchburg VA,78
Knoxville TN,78
Champaign & Springfield-Decatur IL,77
Pittsburgh PA,77
Tucson (Sierra Vista) AZ,76
Los Angeles CA,75
Grand Rapids-Kalamazoo-Battle Creek MI,74
Louisville KY,74
Toledo OH,73
Lexington KY,73
San Antonio TX,72
Cincinnati OH,72
Denver CO,71
Washington DC (Hagerstown MD),71
Cleveland-Akron (Canton) OH,71
San Diego CA,71
Burlington VT-Plattsburgh NY,70
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,70
Green Bay-Appleton WI,70
Phoenix AZ,70
Boise ID,70
Fresno-Visalia CA,70
Syracuse NY,69
Philadelphia PA,69
Portland-Auburn ME,69
Birmingham AL,69
Hartford & New Haven CT,69
Dayton OH,68
Wichita-Hutchinson KS,68
St. Louis MO,68
Wilkes Barre-Scranton PA,67
Spokane WA,67
Buffalo NY,67
Kansas City MO,66
Indianapolis IN,65
Milwaukee WI,65
San Francisco-Oakland-San Jose CA,65
Colorado Springs-Pueblo CO,65
Springfield-Holyoke MA,65
Nashville TN,64
Des Moines-Ames IA,64
Boston MA-Manchester NH,64
Waco-Temple-Bryan TX,64
Mobile AL-Pensacola (Ft. Walton Beach) FL,64
Harlingen-Weslaco-Brownsville-McAllen TX,63
Columbus OH,63
Columbia SC,62
Omaha NE,62
Seattle-Tacoma WA,62
Little Rock-Pine Bluff AR,62
Harrisburg-Lancaster-Lebanon-York PA,62
Providence RI-New Bedford MA,61
Oklahoma City OK,61
Madison WI,61
Miami-Ft. Lauderdale FL,61
Charlotte NC,61
Chicago IL,61
Minneapolis-St. Paul MN,61
Raleigh-Durham (Fayetteville) NC,61
Las Vegas NV,60
New York NY,59
Austin TX,59
Greensboro-High Point-Winston Salem NC,59
Baltimore MD,59
Salt Lake City UT,59
Sacramento-Stockton-Modesto CA,58
Tulsa OK,58
Jacksonville FL,58
Rochester NY,58
Detroit MI,57
Orlando-Daytona Beach-Melbourne FL,57
Tampa-St. Petersburg (Sarasota) FL,56
Houston TX,56
Portland OR,55
Dallas-Ft. Worth TX,55
Atlanta GA,54
Norfolk-Portsmouth-Newport News VA,54
Greenville-Spartanburg SC-Asheville NC-Anderson SC,54
Richmond-Petersburg VA,53
New Orleans LA,51
West Palm Beach-Ft. Pierce FL,51
Memphis TN,51
Honolulu HI,42
Binghamton NY,0
Macon GA,0
Savannah GA,0
Ft. Wayne IN,0
Erie PA,0
Charleston SC,0
Augusta GA,0
Columbus GA,0
Albany GA,0
Utica NY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Youngstown OH,0
Bangor ME,0
Traverse City-Cadillac MI,0
Greenville-New Bern-Washington NC,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Elmira NY,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Chattanooga TN,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Springfield MO,0
Sioux City IA,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
St. Joseph MO,0
Jackson TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Evansville IN,0
Lubbock TX,0
Panama City FL,0
Sherman TX-Ada OK,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Davenport IA-Rock Island-Moline IL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Montgomery (Selma) AL,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Bakersfield CA,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Chico-Redding CA,0


Top cities for red hot chili peppers
Town/City,red hot chili peppers
Milpitas,100
Sterling,97
Los Angeles,91
San Antonio,84
San Diego,82
Phoenix,80
Denver,77
St. Louis,76
Irvine,76
Miami,72
Columbus,69
Austin,69
Portland,68
Boston,67
Seattle,66



Top searches for red hot chili peppers
under the bridge,100
snow,70
california,55
otherside,50
californication,45
scar tissue,45
dani california,40
by the way,25
soul to squeeze,20
give it away,20
cant stop,15
tell me baby,15
nirvana,15
around the world,15
sublime,10
rhcp,10
higher ground,10
zephyr song,10
foo fighters,10
aeroplane,10
snow hey oh,5
john frusciante,5
other side,5
stadium arcadium,5
the zephyr song,5
flea,5



Rising searches for red hot chili peppers
otherside,+800%
under the bridge,+450%
by the way,+350%
californication,+250%
give it away,+250%
scar tissue,+250%
soul to squeeze,+200%
dani california,+170%
california,+160%
snow,+120%



