YouTube Search interest: john legend
United States; Jan 2008 - Jul 2015

Interest over time
Week,john legend
2009-08-30 - 2009-09-05,9
2009-09-06 - 2009-09-12,11
2009-09-13 - 2009-09-19,9
2009-09-20 - 2009-09-26,10
2009-09-27 - 2009-10-03,11
2009-10-04 - 2009-10-10,9
2009-10-11 - 2009-10-17,9
2009-10-18 - 2009-10-24,9
2009-10-25 - 2009-10-31,10
2009-11-01 - 2009-11-07,9
2009-11-08 - 2009-11-14,10
2009-11-15 - 2009-11-21,9
2009-11-22 - 2009-11-28,9
2009-11-29 - 2009-12-05,11
2009-12-06 - 2009-12-12,10
2009-12-13 - 2009-12-19,8
2009-12-20 - 2009-12-26,9
2009-12-27 - 2010-01-02,7
2010-01-03 - 2010-01-09,8
2010-01-10 - 2010-01-16,8
2010-01-17 - 2010-01-23,8
2010-01-24 - 2010-01-30,10
2010-01-31 - 2010-02-06,10
2010-02-07 - 2010-02-13,11
2010-02-14 - 2010-02-20,11
2010-02-21 - 2010-02-27,10
2010-02-28 - 2010-03-06,13
2010-03-07 - 2010-03-13,10
2010-03-14 - 2010-03-20,8
2010-03-21 - 2010-03-27,10
2010-03-28 - 2010-04-03,9
2010-04-04 - 2010-04-10,8
2010-04-11 - 2010-04-17,8
2010-04-18 - 2010-04-24,9
2010-04-25 - 2010-05-01,9
2010-05-02 - 2010-05-08,9
2010-05-09 - 2010-05-15,8
2010-05-16 - 2010-05-22,8
2010-05-23 - 2010-05-29,8
2010-05-30 - 2010-06-05,9
2010-06-06 - 2010-06-12,9
2010-06-13 - 2010-06-19,10
2010-06-20 - 2010-06-26,10
2010-06-27 - 2010-07-03,13
2010-07-04 - 2010-07-10,10
2010-07-11 - 2010-07-17,11
2010-07-18 - 2010-07-24,10
2010-07-25 - 2010-07-31,9
2010-08-01 - 2010-08-07,8
2010-08-08 - 2010-08-14,9
2010-08-15 - 2010-08-21,8
2010-08-22 - 2010-08-28,11
2010-08-29 - 2010-09-04,9
2010-09-05 - 2010-09-11,11
2010-09-12 - 2010-09-18,11
2010-09-19 - 2010-09-25,23
2010-09-26 - 2010-10-02,19
2010-10-03 - 2010-10-09,17
2010-10-10 - 2010-10-16,12
2010-10-17 - 2010-10-23,13
2010-10-24 - 2010-10-30,12
2010-10-31 - 2010-11-06,11
2010-11-07 - 2010-11-13,12
2010-11-14 - 2010-11-20,12
2010-11-21 - 2010-11-27,11
2010-11-28 - 2010-12-04,11
2010-12-05 - 2010-12-11,11
2010-12-12 - 2010-12-18,10
2010-12-19 - 2010-12-25,9
2010-12-26 - 2011-01-01,8
2011-01-02 - 2011-01-08,11
2011-01-09 - 2011-01-15,12
2011-01-16 - 2011-01-22,12
2011-01-23 - 2011-01-29,13
2011-01-30 - 2011-02-05,10
2011-02-06 - 2011-02-12,12
2011-02-13 - 2011-02-19,14
2011-02-20 - 2011-02-26,12
2011-02-27 - 2011-03-05,12
2011-03-06 - 2011-03-12,11
2011-03-13 - 2011-03-19,10
2011-03-20 - 2011-03-26,12
2011-03-27 - 2011-04-02,13
2011-04-03 - 2011-04-09,12
2011-04-10 - 2011-04-16,12
2011-04-17 - 2011-04-23,12
2011-04-24 - 2011-04-30,11
2011-05-01 - 2011-05-07,11
2011-05-08 - 2011-05-14,12
2011-05-15 - 2011-05-21,11
2011-05-22 - 2011-05-28,12
2011-05-29 - 2011-06-04,10
2011-06-05 - 2011-06-11,12
2011-06-12 - 2011-06-18,10
2011-06-19 - 2011-06-25,10
2011-06-26 - 2011-07-02,10
2011-07-03 - 2011-07-09,10
2011-07-10 - 2011-07-16,11
2011-07-17 - 2011-07-23,11
2011-07-24 - 2011-07-30,9
2011-07-31 - 2011-08-06,10
2011-08-07 - 2011-08-13,9
2011-08-14 - 2011-08-20,9
2011-08-21 - 2011-08-27,11
2011-08-28 - 2011-09-03,15
2011-09-04 - 2011-09-10,15
2011-09-11 - 2011-09-17,15
2011-09-18 - 2011-09-24,14
2011-09-25 - 2011-10-01,13
2011-10-02 - 2011-10-08,13
2011-10-09 - 2011-10-15,12
2011-10-16 - 2011-10-22,11
2011-10-23 - 2011-10-29,12
2011-10-30 - 2011-11-05,10
2011-11-06 - 2011-11-12,11
2011-11-13 - 2011-11-19,11
2011-11-20 - 2011-11-26,10
2011-11-27 - 2011-12-03,9
2011-12-04 - 2011-12-10,10
2011-12-11 - 2011-12-17,12
2011-12-18 - 2011-12-24,12
2011-12-25 - 2011-12-31,10
2012-01-01 - 2012-01-07,9
2012-01-08 - 2012-01-14,10
2012-01-15 - 2012-01-21,9
2012-01-22 - 2012-01-28,10
2012-01-29 - 2012-02-04,13
2012-02-05 - 2012-02-11,10
2012-02-12 - 2012-02-18,10
2012-02-19 - 2012-02-25,10
2012-02-26 - 2012-03-03,10
2012-03-04 - 2012-03-10,10
2012-03-11 - 2012-03-17,13
2012-03-18 - 2012-03-24,13
2012-03-25 - 2012-03-31,12
2012-04-01 - 2012-04-07,11
2012-04-08 - 2012-04-14,14
2012-04-15 - 2012-04-21,15
2012-04-22 - 2012-04-28,29
2012-04-29 - 2012-05-05,28
2012-05-06 - 2012-05-12,27
2012-05-13 - 2012-05-19,23
2012-05-20 - 2012-05-26,27
2012-05-27 - 2012-06-02,25
2012-06-03 - 2012-06-09,21
2012-06-10 - 2012-06-16,18
2012-06-17 - 2012-06-23,18
2012-06-24 - 2012-06-30,15
2012-07-01 - 2012-07-07,15
2012-07-08 - 2012-07-14,15
2012-07-15 - 2012-07-21,14
2012-07-22 - 2012-07-28,15
2012-07-29 - 2012-08-04,14
2012-08-05 - 2012-08-11,13
2012-08-12 - 2012-08-18,15
2012-08-19 - 2012-08-25,15
2012-08-26 - 2012-09-01,16
2012-09-02 - 2012-09-08,20
2012-09-09 - 2012-09-15,19
2012-09-16 - 2012-09-22,20
2012-09-23 - 2012-09-29,19
2012-09-30 - 2012-10-06,17
2012-10-07 - 2012-10-13,16
2012-10-14 - 2012-10-20,16
2012-10-21 - 2012-10-27,15
2012-10-28 - 2012-11-03,13
2012-11-04 - 2012-11-10,13
2012-11-11 - 2012-11-17,13
2012-11-18 - 2012-11-24,12
2012-11-25 - 2012-12-01,14
2012-12-02 - 2012-12-08,14
2012-12-09 - 2012-12-15,12
2012-12-16 - 2012-12-22,11
2012-12-23 - 2012-12-29,12
2012-12-30 - 2013-01-05,13
2013-01-06 - 2013-01-12,15
2013-01-13 - 2013-01-19,16
2013-01-20 - 2013-01-26,16
2013-01-27 - 2013-02-02,14
2013-02-03 - 2013-02-09,13
2013-02-10 - 2013-02-16,15
2013-02-17 - 2013-02-23,13
2013-02-24 - 2013-03-02,13
2013-03-03 - 2013-03-09,13
2013-03-10 - 2013-03-16,11
2013-03-17 - 2013-03-23,12
2013-03-24 - 2013-03-30,13
2013-03-31 - 2013-04-06,13
2013-04-07 - 2013-04-13,14
2013-04-14 - 2013-04-20,13
2013-04-21 - 2013-04-27,13
2013-04-28 - 2013-05-04,13
2013-05-05 - 2013-05-11,17
2013-05-12 - 2013-05-18,14
2013-05-19 - 2013-05-25,12
2013-05-26 - 2013-06-01,12
2013-06-02 - 2013-06-08,12
2013-06-09 - 2013-06-15,13
2013-06-16 - 2013-06-22,14
2013-06-23 - 2013-06-29,14
2013-06-30 - 2013-07-06,12
2013-07-07 - 2013-07-13,12
2013-07-14 - 2013-07-20,11
2013-07-21 - 2013-07-27,11
2013-07-28 - 2013-08-03,12
2013-08-04 - 2013-08-10,13
2013-08-11 - 2013-08-17,15
2013-08-18 - 2013-08-24,16
2013-08-25 - 2013-08-31,15
2013-09-01 - 2013-09-07,17
2013-09-08 - 2013-09-14,18
2013-09-15 - 2013-09-21,19
2013-09-22 - 2013-09-28,17
2013-09-29 - 2013-10-05,20
2013-10-06 - 2013-10-12,26
2013-10-13 - 2013-10-19,22
2013-10-20 - 2013-10-26,21
2013-10-27 - 2013-11-02,26
2013-11-03 - 2013-11-09,26
2013-11-10 - 2013-11-16,30
2013-11-17 - 2013-11-23,30
2013-11-24 - 2013-11-30,26
2013-12-01 - 2013-12-07,28
2013-12-08 - 2013-12-14,28
2013-12-15 - 2013-12-21,25
2013-12-22 - 2013-12-28,25
2013-12-29 - 2014-01-04,23
2014-01-05 - 2014-01-11,27
2014-01-12 - 2014-01-18,29
2014-01-19 - 2014-01-25,33
2014-01-26 - 2014-02-01,57
2014-02-02 - 2014-02-08,50
2014-02-09 - 2014-02-15,64
2014-02-16 - 2014-02-22,72
2014-02-23 - 2014-03-01,82
2014-03-02 - 2014-03-08,88
2014-03-09 - 2014-03-15,98
2014-03-16 - 2014-03-22,100
2014-03-23 - 2014-03-29,100
2014-03-30 - 2014-04-05,95
2014-04-06 - 2014-04-12,94
2014-04-13 - 2014-04-19,90
2014-04-20 - 2014-04-26,83
2014-04-27 - 2014-05-03,80
2014-05-04 - 2014-05-10,79
2014-05-11 - 2014-05-17,76
2014-05-18 - 2014-05-24,80
2014-05-25 - 2014-05-31,69
2014-06-01 - 2014-06-07,62
2014-06-08 - 2014-06-14,56
2014-06-15 - 2014-06-21,50
2014-06-22 - 2014-06-28,46
2014-06-29 - 2014-07-05,45
2014-07-06 - 2014-07-12,54
2014-07-13 - 2014-07-19,63
2014-07-20 - 2014-07-26,45
2014-07-27 - 2014-08-02,42
2014-08-03 - 2014-08-09,40
2014-08-10 - 2014-08-16,37
2014-08-17 - 2014-08-23,36
2014-08-24 - 2014-08-30,32
2014-08-31 - 2014-09-06,33
2014-09-07 - 2014-09-13,32
2014-09-14 - 2014-09-20,33
2014-09-21 - 2014-09-27,30
2014-09-28 - 2014-10-04,29
2014-10-05 - 2014-10-11,32
2014-10-12 - 2014-10-18,32
2014-10-19 - 2014-10-25,28
2014-10-26 - 2014-11-01,24
2014-11-02 - 2014-11-08,28
2014-11-09 - 2014-11-15,25
2014-11-16 - 2014-11-22,24
2014-11-23 - 2014-11-29,22
2014-11-30 - 2014-12-06,23
2014-12-07 - 2014-12-13,24
2014-12-14 - 2014-12-20,20
2014-12-21 - 2014-12-27,18
2014-12-28 - 2015-01-03,19
2015-01-04 - 2015-01-10,22
2015-01-11 - 2015-01-17,27
2015-01-18 - 2015-01-24,24
2015-01-25 - 2015-01-31,21
2015-02-01 - 2015-02-07,28
2015-02-08 - 2015-02-14,34
2015-02-15 - 2015-02-21,23
2015-02-22 - 2015-02-28,58
2015-03-01 - 2015-03-07,30
2015-03-08 - 2015-03-14,38
2015-03-15 - 2015-03-21,24
2015-03-22 - 2015-03-28,23
2015-03-29 - 2015-04-04,25
2015-04-05 - 2015-04-11,25
2015-04-12 - 2015-04-18,25
2015-04-19 - 2015-04-25,23
2015-04-26 - 2015-05-02,24
2015-05-03 - 2015-05-09,21
2015-05-10 - 2015-05-16,22
2015-05-17 - 2015-05-23,25
2015-05-24 - 2015-05-30,21
2015-05-31 - 2015-06-06,18
2015-06-07 - 2015-06-13,17
2015-06-14 - 2015-06-20,15
2015-06-21 - 2015-06-27,16
2015-06-28 - 2015-07-04,15
2015-07-05 - 2015-07-11,14
2015-07-12 - 2015-07-18,15
2015-07-19 - 2015-07-25,15
2015-07-26 - 2015-08-01,15


Top sub-regions for john legend
Sub-region,john legend
Hawaii,100
Maryland,99
North Carolina,98
Georgia,97
South Carolina,96
Mississippi,93
New York,91
Louisiana,90
District of Columbia,90
Delaware,88
Alabama,87
Florida,85
New Jersey,78
Pennsylvania,78
California,77
Massachusetts,76
Michigan,76
Rhode Island,76
Illinois,75
Tennessee,72
Arkansas,71
Texas,71
Connecticut,70
Ohio,69
Indiana,69
Arizona,67
Nevada,67
Wisconsin,65
Minnesota,62
New Mexico,60
Missouri,60
Iowa,59
Kansas,59
Kentucky,58
Washington,58
Virginia,58
Oklahoma,57
Utah,55
Colorado,53
Oregon,52
West Virginia,52
Nebraska,52
South Dakota,49
North Dakota,49
Vermont,49
New Hampshire,47
Alaska,46
Maine,46
Montana,45
Idaho,42
Wyoming,40


Top metros for john legend
Metro,john legend
Tallahassee FL-Thomasville GA,100
Augusta GA,99
Montgomery (Selma) AL,96
Florence-Myrtle Beach SC,93
Greenville-New Bern-Washington NC,90
Baton Rouge LA,88
Columbia SC,86
Memphis TN,85
Norfolk-Portsmouth-Newport News VA,82
Honolulu HI,81
New York NY,81
New Orleans LA,81
Atlanta GA,77
Baltimore MD,77
Raleigh-Durham (Fayetteville) NC,77
Jackson MS,76
Richmond-Petersburg VA,76
Lansing MI,74
Charlotte NC,74
Savannah GA,72
Miami-Ft. Lauderdale FL,71
Greensboro-High Point-Winston Salem NC,71
Philadelphia PA,71
Springfield-Holyoke MA,70
Los Angeles CA,69
Little Rock-Pine Bluff AR,69
West Palm Beach-Ft. Pierce FL,68
Boston MA-Manchester NH,66
Birmingham AL,65
Providence RI-New Bedford MA,65
Orlando-Daytona Beach-Melbourne FL,64
Champaign & Springfield-Decatur IL,61
Detroit MI,61
Santa Barbara-Santa Maria-San Luis Obispo CA,61
Chicago IL,60
Sacramento-Stockton-Modesto CA,60
Roanoke-Lynchburg VA,60
Syracuse NY,59
Waco-Temple-Bryan TX,59
Jacksonville FL,59
Las Vegas NV,59
Indianapolis IN,58
Houston TX,58
Toledo OH,58
Rochester NY,58
Fresno-Visalia CA,57
San Diego CA,57
Nashville TN,57
Dallas-Ft. Worth TX,56
Mobile AL-Pensacola (Ft. Walton Beach) FL,56
Tampa-St. Petersburg (Sarasota) FL,56
Columbus OH,56
Harrisburg-Lancaster-Lebanon-York PA,56
Tucson (Sierra Vista) AZ,55
Grand Rapids-Kalamazoo-Battle Creek MI,55
Milwaukee WI,55
Buffalo NY,54
Greenville-Spartanburg SC-Asheville NC-Anderson SC,54
Cincinnati OH,54
Minneapolis-St. Paul MN,53
Phoenix AZ,53
St. Louis MO,52
Tulsa OK,51
Seattle-Tacoma WA,51
Albuquerque-Santa Fe NM,50
Hartford & New Haven CT,50
Wilkes Barre-Scranton PA,49
Washington DC (Hagerstown MD),49
Austin TX,49
Flint-Saginaw-Bay City MI,49
San Antonio TX,49
Dayton OH,48
Madison WI,48
Des Moines-Ames IA,47
Pittsburgh PA,47
Cleveland-Akron (Canton) OH,45
Oklahoma City OK,45
Albany-Schenectady-Troy NY,45
Louisville KY,44
Omaha NE,44
San Francisco-Oakland-San Jose CA,44
Lexington KY,43
Kansas City MO,43
Harlingen-Weslaco-Brownsville-McAllen TX,43
Denver CO,42
Salt Lake City UT,41
Portland OR,39
Portland-Auburn ME,0
Binghamton NY,0
Macon GA,0
Ft. Wayne IN,0
Erie PA,0
Charleston SC,0
Columbus GA,0
Burlington VT-Plattsburgh NY,0
Albany GA,0
Utica NY,0
Tri-Cities TN-VA,0
Youngstown OH,0
Bangor ME,0
Traverse City-Cadillac MI,0
Watertown NY,0
Wilmington NC,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisonburg VA,0
Ft. Myers-Naples FL,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Springfield MO,0
Sioux City IA,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Evansville IN,0
Lubbock TX,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Wichita-Hutchinson KS,0
Davenport IA-Rock Island-Moline IL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Quincy IL-Hannibal MO-Keokuk IA,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Colorado Springs-Pueblo CO,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for john legend
Town/City,john legend
New York,100
Philadelphia,99
Baltimore,96
Charlotte,88
Washington,87
Atlanta,79
Raleigh,79
Los Angeles,78
Boston,77
San Diego,72
Chicago,72
San Jose,71
Houston,71
San Francisco,65
Columbus,64



Top searches for john legend
all of me,100
tonight,30
tonight john legend,30
ordinary people,20
green light,20
john legend songs,10
everybody knows,10
john legend high,10
john legend live,10
john legend cover,5
this time,5
john legend again,5
new john legend,5
sam smith,5
common,5
john legend glory,5
andre 3000,5
john legend album,5
heaven john legend,5
john legend roots,5
john legend pda,0
all me drake,0
john legend playlist,0
anthony hamilton,0
heartbreaker john legend,0
musiq soulchild,0



Rising searches for john legend
all of me,Breakout
everybody knows,Breakout
green light,Breakout
john legend songs,Breakout
this time,Breakout
tonight,Breakout
tonight john legend,Breakout
ordinary people,+130%
john legend cover,+120%



