YouTube Search interest: tegan and sara
United States; Jan 2008 - Jul 2015

Interest over time
Week,tegan and sara
2010-11-21 - 2010-11-27,42
2010-11-28 - 2010-12-04,47
2010-12-05 - 2010-12-11,42
2010-12-12 - 2010-12-18,47
2010-12-19 - 2010-12-25,40
2010-12-26 - 2011-01-01,43
2011-01-02 - 2011-01-08,52
2011-01-09 - 2011-01-15,42
2011-01-16 - 2011-01-22,48
2011-01-23 - 2011-01-29,45
2011-01-30 - 2011-02-05,42
2011-02-06 - 2011-02-12,39
2011-02-13 - 2011-02-19,43
2011-02-20 - 2011-02-26,44
2011-02-27 - 2011-03-05,42
2011-03-06 - 2011-03-12,48
2011-03-13 - 2011-03-19,39
2011-03-20 - 2011-03-26,40
2011-03-27 - 2011-04-02,45
2011-04-03 - 2011-04-09,44
2011-04-10 - 2011-04-16,45
2011-04-17 - 2011-04-23,42
2011-04-24 - 2011-04-30,39
2011-05-01 - 2011-05-07,43
2011-05-08 - 2011-05-14,42
2011-05-15 - 2011-05-21,40
2011-05-22 - 2011-05-28,34
2011-05-29 - 2011-06-04,38
2011-06-05 - 2011-06-11,38
2011-06-12 - 2011-06-18,31
2011-06-19 - 2011-06-25,36
2011-06-26 - 2011-07-02,35
2011-07-03 - 2011-07-09,35
2011-07-10 - 2011-07-16,34
2011-07-17 - 2011-07-23,36
2011-07-24 - 2011-07-30,35
2011-07-31 - 2011-08-06,37
2011-08-07 - 2011-08-13,36
2011-08-14 - 2011-08-20,37
2011-08-21 - 2011-08-27,37
2011-08-28 - 2011-09-03,33
2011-09-04 - 2011-09-10,33
2011-09-11 - 2011-09-17,36
2011-09-18 - 2011-09-24,35
2011-09-25 - 2011-10-01,33
2011-10-02 - 2011-10-08,32
2011-10-09 - 2011-10-15,34
2011-10-16 - 2011-10-22,35
2011-10-23 - 2011-10-29,31
2011-10-30 - 2011-11-05,31
2011-11-06 - 2011-11-12,31
2011-11-13 - 2011-11-19,36
2011-11-20 - 2011-11-26,31
2011-11-27 - 2011-12-03,34
2011-12-04 - 2011-12-10,31
2011-12-11 - 2011-12-17,30
2011-12-18 - 2011-12-24,34
2011-12-25 - 2011-12-31,27
2012-01-01 - 2012-01-07,30
2012-01-08 - 2012-01-14,29
2012-01-15 - 2012-01-21,32
2012-01-22 - 2012-01-28,24
2012-01-29 - 2012-02-04,27
2012-02-05 - 2012-02-11,30
2012-02-12 - 2012-02-18,29
2012-02-19 - 2012-02-25,29
2012-02-26 - 2012-03-03,39
2012-03-04 - 2012-03-10,29
2012-03-11 - 2012-03-17,32
2012-03-18 - 2012-03-24,29
2012-03-25 - 2012-03-31,31
2012-04-01 - 2012-04-07,28
2012-04-08 - 2012-04-14,24
2012-04-15 - 2012-04-21,27
2012-04-22 - 2012-04-28,32
2012-04-29 - 2012-05-05,25
2012-05-06 - 2012-05-12,28
2012-05-13 - 2012-05-19,30
2012-05-20 - 2012-05-26,28
2012-05-27 - 2012-06-02,24
2012-06-03 - 2012-06-09,21
2012-06-10 - 2012-06-16,26
2012-06-17 - 2012-06-23,23
2012-06-24 - 2012-06-30,21
2012-07-01 - 2012-07-07,22
2012-07-08 - 2012-07-14,23
2012-07-15 - 2012-07-21,24
2012-07-22 - 2012-07-28,21
2012-07-29 - 2012-08-04,24
2012-08-05 - 2012-08-11,25
2012-08-12 - 2012-08-18,23
2012-08-19 - 2012-08-25,27
2012-08-26 - 2012-09-01,28
2012-09-02 - 2012-09-08,24
2012-09-09 - 2012-09-15,26
2012-09-16 - 2012-09-22,30
2012-09-23 - 2012-09-29,58
2012-09-30 - 2012-10-06,43
2012-10-07 - 2012-10-13,39
2012-10-14 - 2012-10-20,31
2012-10-21 - 2012-10-27,35
2012-10-28 - 2012-11-03,32
2012-11-04 - 2012-11-10,31
2012-11-11 - 2012-11-17,35
2012-11-18 - 2012-11-24,30
2012-11-25 - 2012-12-01,43
2012-12-02 - 2012-12-08,40
2012-12-09 - 2012-12-15,41
2012-12-16 - 2012-12-22,42
2012-12-23 - 2012-12-29,34
2012-12-30 - 2013-01-05,42
2013-01-06 - 2013-01-12,50
2013-01-13 - 2013-01-19,55
2013-01-20 - 2013-01-26,58
2013-01-27 - 2013-02-02,100
2013-02-03 - 2013-02-09,93
2013-02-10 - 2013-02-16,81
2013-02-17 - 2013-02-23,63
2013-02-24 - 2013-03-02,59
2013-03-03 - 2013-03-09,58
2013-03-10 - 2013-03-16,81
2013-03-17 - 2013-03-23,79
2013-03-24 - 2013-03-30,67
2013-03-31 - 2013-04-06,61
2013-04-07 - 2013-04-13,66
2013-04-14 - 2013-04-20,71
2013-04-21 - 2013-04-27,65
2013-04-28 - 2013-05-04,56
2013-05-05 - 2013-05-11,49
2013-05-12 - 2013-05-18,50
2013-05-19 - 2013-05-25,42
2013-05-26 - 2013-06-01,47
2013-06-02 - 2013-06-08,36
2013-06-09 - 2013-06-15,40
2013-06-16 - 2013-06-22,43
2013-06-23 - 2013-06-29,41
2013-06-30 - 2013-07-06,30
2013-07-07 - 2013-07-13,39
2013-07-14 - 2013-07-20,40
2013-07-21 - 2013-07-27,38
2013-07-28 - 2013-08-03,35
2013-08-04 - 2013-08-10,44
2013-08-11 - 2013-08-17,39
2013-08-18 - 2013-08-24,54
2013-08-25 - 2013-08-31,47
2013-09-01 - 2013-09-07,56
2013-09-08 - 2013-09-14,51
2013-09-15 - 2013-09-21,69
2013-09-22 - 2013-09-28,55
2013-09-29 - 2013-10-05,65
2013-10-06 - 2013-10-12,58
2013-10-13 - 2013-10-19,63
2013-10-20 - 2013-10-26,73
2013-10-27 - 2013-11-02,64
2013-11-03 - 2013-11-09,60
2013-11-10 - 2013-11-16,51
2013-11-17 - 2013-11-23,49
2013-11-24 - 2013-11-30,46
2013-12-01 - 2013-12-07,38
2013-12-08 - 2013-12-14,34
2013-12-15 - 2013-12-21,33
2013-12-22 - 2013-12-28,34
2013-12-29 - 2014-01-04,28
2014-01-05 - 2014-01-11,32
2014-01-12 - 2014-01-18,34
2014-01-19 - 2014-01-25,37
2014-01-26 - 2014-02-01,45
2014-02-02 - 2014-02-08,31
2014-02-09 - 2014-02-15,39
2014-02-16 - 2014-02-22,40
2014-02-23 - 2014-03-01,37
2014-03-02 - 2014-03-08,32
2014-03-09 - 2014-03-15,29
2014-03-16 - 2014-03-22,28
2014-03-23 - 2014-03-29,29
2014-03-30 - 2014-04-05,31
2014-04-06 - 2014-04-12,34
2014-04-13 - 2014-04-19,29
2014-04-20 - 2014-04-26,22
2014-04-27 - 2014-05-03,21
2014-05-04 - 2014-05-10,25
2014-05-11 - 2014-05-17,25
2014-05-18 - 2014-05-24,35
2014-05-25 - 2014-05-31,28
2014-06-01 - 2014-06-07,27
2014-06-08 - 2014-06-14,27
2014-06-15 - 2014-06-21,25
2014-06-22 - 2014-06-28,28
2014-06-29 - 2014-07-05,31
2014-07-06 - 2014-07-12,28
2014-07-13 - 2014-07-19,28
2014-07-20 - 2014-07-26,21
2014-07-27 - 2014-08-02,25
2014-08-03 - 2014-08-09,26
2014-08-10 - 2014-08-16,25
2014-08-17 - 2014-08-23,23
2014-08-24 - 2014-08-30,21
2014-08-31 - 2014-09-06,24
2014-09-07 - 2014-09-13,24
2014-09-14 - 2014-09-20,26
2014-09-21 - 2014-09-27,20
2014-09-28 - 2014-10-04,24
2014-10-05 - 2014-10-11,30
2014-10-12 - 2014-10-18,19
2014-10-19 - 2014-10-25,17
2014-10-26 - 2014-11-01,19
2014-11-02 - 2014-11-08,21
2014-11-09 - 2014-11-15,22
2014-11-16 - 2014-11-22,20
2014-11-23 - 2014-11-29,18
2014-11-30 - 2014-12-06,17
2014-12-07 - 2014-12-13,24
2014-12-14 - 2014-12-20,16
2014-12-21 - 2014-12-27,16
2014-12-28 - 2015-01-03,17
2015-01-04 - 2015-01-10,21
2015-01-11 - 2015-01-17,17
2015-01-18 - 2015-01-24,18
2015-01-25 - 2015-01-31,21
2015-02-01 - 2015-02-07,15
2015-02-08 - 2015-02-14,18
2015-02-15 - 2015-02-21,17
2015-02-22 - 2015-02-28,27
2015-03-01 - 2015-03-07,16
2015-03-08 - 2015-03-14,18
2015-03-15 - 2015-03-21,14
2015-03-22 - 2015-03-28,16
2015-03-29 - 2015-04-04,16
2015-04-05 - 2015-04-11,15
2015-04-12 - 2015-04-18,18
2015-04-19 - 2015-04-25,14
2015-04-26 - 2015-05-02,14
2015-05-03 - 2015-05-09,14
2015-05-10 - 2015-05-16,15
2015-05-17 - 2015-05-23,14
2015-05-24 - 2015-05-30,10
2015-05-31 - 2015-06-06,13
2015-06-07 - 2015-06-13,15
2015-06-14 - 2015-06-20,14
2015-06-21 - 2015-06-27,14
2015-06-28 - 2015-07-04,17
2015-07-05 - 2015-07-11,17
2015-07-12 - 2015-07-18,12
2015-07-19 - 2015-07-25,16
2015-07-26 - 2015-08-01,19


Top sub-regions for tegan and sara
Sub-region,tegan and sara
Utah,100
Arizona,94
Washington,94
California,93
New Mexico,88
Maine,86
Montana,86
Michigan,85
Colorado,84
Nevada,84
Idaho,82
South Dakota,82
Ohio,82
Oregon,81
Pennsylvania,81
Wisconsin,80
Vermont,80
Massachusetts,78
Minnesota,78
Texas,76
Missouri,73
New Hampshire,72
Illinois,71
Oklahoma,71
New York,70
North Dakota,70
Iowa,69
District of Columbia,69
Alaska,67
Indiana,66
Rhode Island,66
New Jersey,65
Maryland,65
Connecticut,65
Kentucky,62
Kansas,61
Nebraska,61
North Carolina,60
Florida,60
Arkansas,59
Hawaii,59
Delaware,57
Tennessee,56
Louisiana,56
West Virginia,56
Virginia,56
South Carolina,54
Georgia,53
Alabama,49
Mississippi,42
Wyoming,0


Top metros for tegan and sara
Metro,tegan and sara
Salt Lake City UT,100
Los Angeles CA,100
Phoenix AZ,95
San Diego CA,88
Seattle-Tacoma WA,87
Denver CO,77
Detroit MI,77
Minneapolis-St. Paul MN,77
Boston MA-Manchester NH,73
Cleveland-Akron (Canton) OH,69
Sacramento-Stockton-Modesto CA,69
Portland OR,67
Raleigh-Durham (Fayetteville) NC,66
Philadelphia PA,65
Chicago IL,62
New York NY,59
Orlando-Daytona Beach-Melbourne FL,59
Dallas-Ft. Worth TX,58
Miami-Ft. Lauderdale FL,56
Tampa-St. Petersburg (Sarasota) FL,55
Houston TX,53
Washington DC (Hagerstown MD),51
San Francisco-Oakland-San Jose CA,49
Atlanta GA,45
Portland-Auburn ME,0
Binghamton NY,0
Macon GA,0
Savannah GA,0
Pittsburgh PA,0
Ft. Wayne IN,0
Baltimore MD,0
Flint-Saginaw-Bay City MI,0
Buffalo NY,0
Cincinnati OH,0
Erie PA,0
Charlotte NC,0
Greensboro-High Point-Winston Salem NC,0
Charleston SC,0
Augusta GA,0
Providence RI-New Bedford MA,0
Columbus GA,0
Burlington VT-Plattsburgh NY,0
Albany GA,0
Utica NY,0
Indianapolis IN,0
Louisville KY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Albany-Schenectady-Troy NY,0
Hartford & New Haven CT,0
Columbus OH,0
Youngstown OH,0
Bangor ME,0
Rochester NY,0
Traverse City-Cadillac MI,0
Lexington KY,0
Dayton OH,0
Springfield-Holyoke MA,0
Norfolk-Portsmouth-Newport News VA,0
Greenville-New Bern-Washington NC,0
Columbia SC,0
Toledo OH,0
West Palm Beach-Ft. Pierce FL,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Syracuse NY,0
Richmond-Petersburg VA,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Jacksonville FL,0
Grand Rapids-Kalamazoo-Battle Creek MI,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisburg-Lancaster-Lebanon-York PA,0
Greenville-Spartanburg SC-Asheville NC-Anderson SC,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Roanoke-Lynchburg VA,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Wilkes Barre-Scranton PA,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
St. Louis MO,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Kansas City MO,0
Milwaukee WI,0
Springfield MO,0
New Orleans LA,0
Sioux City IA,0
Waco-Temple-Bryan TX,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Birmingham AL,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Austin TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Memphis TN,0
San Antonio TX,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Oklahoma City OK,0
Lubbock TX,0
Omaha NE,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
Nashville TN,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Madison WI,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Tulsa OK,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Wichita-Hutchinson KS,0
Des Moines-Ames IA,0
Davenport IA-Rock Island-Moline IL,0
Mobile AL-Pensacola (Ft. Walton Beach) FL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Little Rock-Pine Bluff AR,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Honolulu HI,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Colorado Springs-Pueblo CO,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Tucson (Sierra Vista) AZ,0
Albuquerque-Santa Fe NM,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Las Vegas NV,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Fresno-Visalia CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for tegan and sara
Town/City,tegan and sara
Los Angeles,100
Irvine,92
Salt Lake City,92
Portland,88
Seattle,86
San Diego,77
Austin,77
Phoenix,76
San Francisco,72
San Antonio,72
Denver,72
Minneapolis,69
Boston,67
Las Vegas,67
Tucson,67



Top searches for tegan and sara
closer,100
call it off,45
nineteen,40
alligator,25
living room,10
tegan and sarah,10
tegan & sara,10
dark come soon,5
body work,5
northshore,5
tegan quin,5
teagan and sara,5
sara quin,5
morgan page,5



Rising searches for tegan and sara
alligator,Breakout
body work,Breakout
closer,Breakout
dark come soon,Breakout
tegan & sara,Breakout
call it off,+500%
nineteen,+130%
tegan and sarah,+60%



