YouTube Search interest: jojo
United States; Jan 2008 - Jul 2015

Interest over time
Week,jojo
2011-01-30 - 2011-02-05,30
2011-02-06 - 2011-02-12,31
2011-02-13 - 2011-02-19,28
2011-02-20 - 2011-02-26,28
2011-02-27 - 2011-03-05,28
2011-03-06 - 2011-03-12,26
2011-03-13 - 2011-03-19,27
2011-03-20 - 2011-03-26,27
2011-03-27 - 2011-04-02,26
2011-04-03 - 2011-04-09,26
2011-04-10 - 2011-04-16,28
2011-04-17 - 2011-04-23,27
2011-04-24 - 2011-04-30,27
2011-05-01 - 2011-05-07,27
2011-05-08 - 2011-05-14,26
2011-05-15 - 2011-05-21,25
2011-05-22 - 2011-05-28,25
2011-05-29 - 2011-06-04,26
2011-06-05 - 2011-06-11,27
2011-06-12 - 2011-06-18,79
2011-06-19 - 2011-06-25,100
2011-06-26 - 2011-07-02,56
2011-07-03 - 2011-07-09,42
2011-07-10 - 2011-07-16,41
2011-07-17 - 2011-07-23,45
2011-07-24 - 2011-07-30,55
2011-07-31 - 2011-08-06,46
2011-08-07 - 2011-08-13,37
2011-08-14 - 2011-08-20,40
2011-08-21 - 2011-08-27,41
2011-08-28 - 2011-09-03,43
2011-09-04 - 2011-09-10,45
2011-09-11 - 2011-09-17,47
2011-09-18 - 2011-09-24,46
2011-09-25 - 2011-10-01,44
2011-10-02 - 2011-10-08,43
2011-10-09 - 2011-10-15,41
2011-10-16 - 2011-10-22,41
2011-10-23 - 2011-10-29,41
2011-10-30 - 2011-11-05,57
2011-11-06 - 2011-11-12,61
2011-11-13 - 2011-11-19,46
2011-11-20 - 2011-11-26,42
2011-11-27 - 2011-12-03,43
2011-12-04 - 2011-12-10,41
2011-12-11 - 2011-12-17,42
2011-12-18 - 2011-12-24,41
2011-12-25 - 2011-12-31,40
2012-01-01 - 2012-01-07,38
2012-01-08 - 2012-01-14,38
2012-01-15 - 2012-01-21,37
2012-01-22 - 2012-01-28,35
2012-01-29 - 2012-02-04,36
2012-02-05 - 2012-02-11,35
2012-02-12 - 2012-02-18,34
2012-02-19 - 2012-02-25,33
2012-02-26 - 2012-03-03,36
2012-03-04 - 2012-03-10,34
2012-03-11 - 2012-03-17,33
2012-03-18 - 2012-03-24,30
2012-03-25 - 2012-03-31,30
2012-04-01 - 2012-04-07,30
2012-04-08 - 2012-04-14,26
2012-04-15 - 2012-04-21,24
2012-04-22 - 2012-04-28,25
2012-04-29 - 2012-05-05,25
2012-05-06 - 2012-05-12,23
2012-05-13 - 2012-05-19,25
2012-05-20 - 2012-05-26,23
2012-05-27 - 2012-06-02,24
2012-06-03 - 2012-06-09,22
2012-06-10 - 2012-06-16,25
2012-06-17 - 2012-06-23,22
2012-06-24 - 2012-06-30,26
2012-07-01 - 2012-07-07,24
2012-07-08 - 2012-07-14,24
2012-07-15 - 2012-07-21,28
2012-07-22 - 2012-07-28,27
2012-07-29 - 2012-08-04,24
2012-08-05 - 2012-08-11,24
2012-08-12 - 2012-08-18,25
2012-08-19 - 2012-08-25,26
2012-08-26 - 2012-09-01,23
2012-09-02 - 2012-09-08,41
2012-09-09 - 2012-09-15,42
2012-09-16 - 2012-09-22,39
2012-09-23 - 2012-09-29,35
2012-09-30 - 2012-10-06,34
2012-10-07 - 2012-10-13,34
2012-10-14 - 2012-10-20,34
2012-10-21 - 2012-10-27,32
2012-10-28 - 2012-11-03,33
2012-11-04 - 2012-11-10,31
2012-11-11 - 2012-11-17,33
2012-11-18 - 2012-11-24,31
2012-11-25 - 2012-12-01,33
2012-12-02 - 2012-12-08,35
2012-12-09 - 2012-12-15,33
2012-12-16 - 2012-12-22,32
2012-12-23 - 2012-12-29,34
2012-12-30 - 2013-01-05,33
2013-01-06 - 2013-01-12,34
2013-01-13 - 2013-01-19,33
2013-01-20 - 2013-01-26,32
2013-01-27 - 2013-02-02,33
2013-02-03 - 2013-02-09,33
2013-02-10 - 2013-02-16,30
2013-02-17 - 2013-02-23,28
2013-02-24 - 2013-03-02,29
2013-03-03 - 2013-03-09,29
2013-03-10 - 2013-03-16,32
2013-03-17 - 2013-03-23,32
2013-03-24 - 2013-03-30,32
2013-03-31 - 2013-04-06,29
2013-04-07 - 2013-04-13,32
2013-04-14 - 2013-04-20,33
2013-04-21 - 2013-04-27,30
2013-04-28 - 2013-05-04,32
2013-05-05 - 2013-05-11,28
2013-05-12 - 2013-05-18,28
2013-05-19 - 2013-05-25,26
2013-05-26 - 2013-06-01,27
2013-06-02 - 2013-06-08,25
2013-06-09 - 2013-06-15,26
2013-06-16 - 2013-06-22,26
2013-06-23 - 2013-06-29,25
2013-06-30 - 2013-07-06,24
2013-07-07 - 2013-07-13,26
2013-07-14 - 2013-07-20,22
2013-07-21 - 2013-07-27,22
2013-07-28 - 2013-08-03,24
2013-08-04 - 2013-08-10,23
2013-08-11 - 2013-08-17,22
2013-08-18 - 2013-08-24,23
2013-08-25 - 2013-08-31,20
2013-09-01 - 2013-09-07,24
2013-09-08 - 2013-09-14,24
2013-09-15 - 2013-09-21,24
2013-09-22 - 2013-09-28,22
2013-09-29 - 2013-10-05,23
2013-10-06 - 2013-10-12,22
2013-10-13 - 2013-10-19,22
2013-10-20 - 2013-10-26,20
2013-10-27 - 2013-11-02,20
2013-11-03 - 2013-11-09,20
2013-11-10 - 2013-11-16,20
2013-11-17 - 2013-11-23,20
2013-11-24 - 2013-11-30,17
2013-12-01 - 2013-12-07,19
2013-12-08 - 2013-12-14,19
2013-12-15 - 2013-12-21,18
2013-12-22 - 2013-12-28,18
2013-12-29 - 2014-01-04,17
2014-01-05 - 2014-01-11,18
2014-01-12 - 2014-01-18,19
2014-01-19 - 2014-01-25,18
2014-01-26 - 2014-02-01,19
2014-02-02 - 2014-02-08,17
2014-02-09 - 2014-02-15,19
2014-02-16 - 2014-02-22,19
2014-02-23 - 2014-03-01,18
2014-03-02 - 2014-03-08,17
2014-03-09 - 2014-03-15,18
2014-03-16 - 2014-03-22,18
2014-03-23 - 2014-03-29,17
2014-03-30 - 2014-04-05,19
2014-04-06 - 2014-04-12,17
2014-04-13 - 2014-04-19,20
2014-04-20 - 2014-04-26,18
2014-04-27 - 2014-05-03,21
2014-05-04 - 2014-05-10,17
2014-05-11 - 2014-05-17,17
2014-05-18 - 2014-05-24,17
2014-05-25 - 2014-05-31,18
2014-06-01 - 2014-06-07,19
2014-06-08 - 2014-06-14,17
2014-06-15 - 2014-06-21,15
2014-06-22 - 2014-06-28,16
2014-06-29 - 2014-07-05,16
2014-07-06 - 2014-07-12,15
2014-07-13 - 2014-07-19,15
2014-07-20 - 2014-07-26,14
2014-07-27 - 2014-08-02,16
2014-08-03 - 2014-08-09,14
2014-08-10 - 2014-08-16,15
2014-08-17 - 2014-08-23,13
2014-08-24 - 2014-08-30,13
2014-08-31 - 2014-09-06,13
2014-09-07 - 2014-09-13,15
2014-09-14 - 2014-09-20,15
2014-09-21 - 2014-09-27,16
2014-09-28 - 2014-10-04,15
2014-10-05 - 2014-10-11,15
2014-10-12 - 2014-10-18,14
2014-10-19 - 2014-10-25,13
2014-10-26 - 2014-11-01,14
2014-11-02 - 2014-11-08,14
2014-11-09 - 2014-11-15,14
2014-11-16 - 2014-11-22,12
2014-11-23 - 2014-11-29,12
2014-11-30 - 2014-12-06,14
2014-12-07 - 2014-12-13,13
2014-12-14 - 2014-12-20,12
2014-12-21 - 2014-12-27,13
2014-12-28 - 2015-01-03,11
2015-01-04 - 2015-01-10,13
2015-01-11 - 2015-01-17,15
2015-01-18 - 2015-01-24,14
2015-01-25 - 2015-01-31,16
2015-02-01 - 2015-02-07,16
2015-02-08 - 2015-02-14,16
2015-02-15 - 2015-02-21,17
2015-02-22 - 2015-02-28,15
2015-03-01 - 2015-03-07,16
2015-03-08 - 2015-03-14,17
2015-03-15 - 2015-03-21,14
2015-03-22 - 2015-03-28,16
2015-03-29 - 2015-04-04,15
2015-04-05 - 2015-04-11,16
2015-04-12 - 2015-04-18,15
2015-04-19 - 2015-04-25,15
2015-04-26 - 2015-05-02,15
2015-05-03 - 2015-05-09,17
2015-05-10 - 2015-05-16,16
2015-05-17 - 2015-05-23,16
2015-05-24 - 2015-05-30,16
2015-05-31 - 2015-06-06,16
2015-06-07 - 2015-06-13,14
2015-06-14 - 2015-06-20,15
2015-06-21 - 2015-06-27,16
2015-06-28 - 2015-07-04,16
2015-07-05 - 2015-07-11,16
2015-07-12 - 2015-07-18,15
2015-07-19 - 2015-07-25,15
2015-07-26 - 2015-08-01,15


Top sub-regions for jojo
Sub-region,jojo
Mississippi,100
Illinois,82
Georgia,81
South Carolina,79
North Carolina,77
Indiana,76
Louisiana,74
Alabama,74
Hawaii,74
Rhode Island,73
Maryland,73
New York,72
Ohio,72
Missouri,70
Florida,69
District of Columbia,69
Delaware,68
Tennessee,67
Michigan,66
Massachusetts,65
Arkansas,65
New Jersey,65
Kentucky,64
Connecticut,64
Pennsylvania,64
Texas,63
Minnesota,61
Wisconsin,59
Arizona,59
Nevada,59
California,57
Iowa,55
Virginia,54
Kansas,54
Nebraska,53
Oklahoma,52
New Mexico,52
Washington,51
South Dakota,50
Colorado,49
Alaska,49
West Virginia,48
New Hampshire,44
North Dakota,43
Maine,42
Vermont,40
Wyoming,40
Utah,38
Montana,36
Oregon,35
Idaho,34


Top metros for jojo
Metro,jojo
Montgomery (Selma) AL,100
Jackson MS,87
Memphis TN,82
Florence-Myrtle Beach SC,82
Macon GA,80
Raleigh-Durham (Fayetteville) NC,78
Chicago IL,76
Savannah GA,75
Ft. Wayne IN,73
Rochester NY,71
Norfolk-Portsmouth-Newport News VA,71
Charleston SC,70
Columbus OH,68
Indianapolis IN,68
Dayton OH,68
New Orleans LA,68
Shreveport LA,68
Charlotte NC,68
Columbia SC,67
Baton Rouge LA,67
Providence RI-New Bedford MA,66
Birmingham AL,66
Honolulu HI,65
St. Louis MO,65
Colorado Springs-Pueblo CO,65
Wilkes Barre-Scranton PA,65
Champaign & Springfield-Decatur IL,65
Little Rock-Pine Bluff AR,64
New York NY,64
Jacksonville FL,63
Greensboro-High Point-Winston Salem NC,63
Milwaukee WI,63
Louisville KY,63
Atlanta GA,62
Flint-Saginaw-Bay City MI,62
West Palm Beach-Ft. Pierce FL,62
Cleveland-Akron (Canton) OH,61
Detroit MI,61
Greenville-Spartanburg SC-Asheville NC-Anderson SC,61
Buffalo NY,61
Philadelphia PA,60
Hartford & New Haven CT,60
Cincinnati OH,60
Waco-Temple-Bryan TX,60
Orlando-Daytona Beach-Melbourne FL,59
Fresno-Visalia CA,58
Baltimore MD,57
Los Angeles CA,57
Tampa-St. Petersburg (Sarasota) FL,57
Sacramento-Stockton-Modesto CA,57
Mobile AL-Pensacola (Ft. Walton Beach) FL,57
Houston TX,57
Grand Rapids-Kalamazoo-Battle Creek MI,56
Dallas-Ft. Worth TX,56
Nashville TN,56
Richmond-Petersburg VA,56
Madison WI,55
Kansas City MO,55
Miami-Ft. Lauderdale FL,54
Springfield-Holyoke MA,54
Boston MA-Manchester NH,54
Minneapolis-St. Paul MN,54
Toledo OH,54
Harrisburg-Lancaster-Lebanon-York PA,54
Wichita-Hutchinson KS,53
Washington DC (Hagerstown MD),53
Omaha NE,52
Roanoke-Lynchburg VA,51
Phoenix AZ,51
San Antonio TX,50
Des Moines-Ames IA,49
Las Vegas NV,49
Tucson (Sierra Vista) AZ,47
Oklahoma City OK,47
Pittsburgh PA,47
Albuquerque-Santa Fe NM,47
Albany-Schenectady-Troy NY,47
Syracuse NY,47
Seattle-Tacoma WA,46
Lexington KY,46
Tulsa OK,44
San Diego CA,43
Denver CO,43
Austin TX,42
Portland-Auburn ME,40
San Francisco-Oakland-San Jose CA,39
Salt Lake City UT,34
Portland OR,29
Binghamton NY,0
Erie PA,0
Augusta GA,0
Columbus GA,0
Burlington VT-Plattsburgh NY,0
Albany GA,0
Utica NY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Youngstown OH,0
Bangor ME,0
Traverse City-Cadillac MI,0
Greenville-New Bern-Washington NC,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisonburg VA,0
Ft. Myers-Naples FL,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Springfield MO,0
Sioux City IA,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Evansville IN,0
Lubbock TX,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Davenport IA-Rock Island-Moline IL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Quincy IL-Hannibal MO-Keokuk IA,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for jojo
Town/City,jojo
Chicago,100
Indianapolis,97
Philadelphia,85
Atlanta,84
New York,83
St. Louis,82
Columbus,81
Charlotte,78
Orlando,77
Tampa,76
Washington,75
Sacramento,73
Richardson,72
Las Vegas,72
Minneapolis,72



Top searches for jojo
jojo lyrics,100
kc jojo,85
kc and jojo,75
lil jojo,65
all my life,60
marvins room jojo,45
marvins room,45
jojo get out,25
leave jojo,20
jojo disaster,20
jojo songs,20
chief keef,15
kci and jojo,15
baby its you,10
drake marvins room,10
jojo live,10
weak jojo,10
weak,10
jojo bdk,10
jo jo,10
jojo mayer,5
lil jojo bdk,5
leave jojo lyrics,5
goodbye jojo,5
jojo 2011,5
jojo like that,5
disaster jojo lyrics,5
lil reese,5
k-ci and jojo,5
lil durk,5
demonstrate jojo,5
jojo keep forgetting,5
jodeci,5
jojo episode,5
jojo simmons,5



Rising searches for jojo
jojo disaster,Breakout
marvins room,Breakout
marvins room jojo,Breakout
lil jojo,+700%
jojo lyrics,+450%
all my life,+350%
jojo get out,+250%
kc and jojo,+150%
jojo songs,+110%
kc jojo,+90%



