YouTube Search interest: ciara
United States; Jan 2008 - Jul 2015

Interest over time
Week,ciara
2013-03-24 - 2013-03-30,23
2013-03-31 - 2013-04-06,23
2013-04-07 - 2013-04-13,25
2013-04-14 - 2013-04-20,29
2013-04-21 - 2013-04-27,83
2013-04-28 - 2013-05-04,79
2013-05-05 - 2013-05-11,70
2013-05-12 - 2013-05-18,66
2013-05-19 - 2013-05-25,62
2013-05-26 - 2013-06-01,61
2013-06-02 - 2013-06-08,57
2013-06-09 - 2013-06-15,55
2013-06-16 - 2013-06-22,54
2013-06-23 - 2013-06-29,51
2013-06-30 - 2013-07-06,87
2013-07-07 - 2013-07-13,72
2013-07-14 - 2013-07-20,62
2013-07-21 - 2013-07-27,52
2013-07-28 - 2013-08-03,47
2013-08-04 - 2013-08-10,43
2013-08-11 - 2013-08-17,41
2013-08-18 - 2013-08-24,38
2013-08-25 - 2013-08-31,37
2013-09-01 - 2013-09-07,34
2013-09-08 - 2013-09-14,32
2013-09-15 - 2013-09-21,32
2013-09-22 - 2013-09-28,31
2013-09-29 - 2013-10-05,29
2013-10-06 - 2013-10-12,28
2013-10-13 - 2013-10-19,27
2013-10-20 - 2013-10-26,25
2013-10-27 - 2013-11-02,28
2013-11-03 - 2013-11-09,25
2013-11-10 - 2013-11-16,26
2013-11-17 - 2013-11-23,23
2013-11-24 - 2013-11-30,25
2013-12-01 - 2013-12-07,23
2013-12-08 - 2013-12-14,23
2013-12-15 - 2013-12-21,24
2013-12-22 - 2013-12-28,22
2013-12-29 - 2014-01-04,22
2014-01-05 - 2014-01-11,20
2014-01-12 - 2014-01-18,22
2014-01-19 - 2014-01-25,21
2014-01-26 - 2014-02-01,21
2014-02-02 - 2014-02-08,20
2014-02-09 - 2014-02-15,19
2014-02-16 - 2014-02-22,19
2014-02-23 - 2014-03-01,18
2014-03-02 - 2014-03-08,17
2014-03-09 - 2014-03-15,16
2014-03-16 - 2014-03-22,16
2014-03-23 - 2014-03-29,15
2014-03-30 - 2014-04-05,15
2014-04-06 - 2014-04-12,15
2014-04-13 - 2014-04-19,14
2014-04-20 - 2014-04-26,14
2014-04-27 - 2014-05-03,16
2014-05-04 - 2014-05-10,15
2014-05-11 - 2014-05-17,14
2014-05-18 - 2014-05-24,16
2014-05-25 - 2014-05-31,13
2014-06-01 - 2014-06-07,13
2014-06-08 - 2014-06-14,13
2014-06-15 - 2014-06-21,13
2014-06-22 - 2014-06-28,13
2014-06-29 - 2014-07-05,12
2014-07-06 - 2014-07-12,11
2014-07-13 - 2014-07-19,11
2014-07-20 - 2014-07-26,11
2014-07-27 - 2014-08-02,11
2014-08-03 - 2014-08-09,10
2014-08-10 - 2014-08-16,10
2014-08-17 - 2014-08-23,10
2014-08-24 - 2014-08-30,11
2014-08-31 - 2014-09-06,11
2014-09-07 - 2014-09-13,10
2014-09-14 - 2014-09-20,11
2014-09-21 - 2014-09-27,10
2014-09-28 - 2014-10-04,11
2014-10-05 - 2014-10-11,10
2014-10-12 - 2014-10-18,10
2014-10-19 - 2014-10-25,10
2014-10-26 - 2014-11-01,9
2014-11-02 - 2014-11-08,10
2014-11-09 - 2014-11-15,10
2014-11-16 - 2014-11-22,10
2014-11-23 - 2014-11-29,9
2014-11-30 - 2014-12-06,9
2014-12-07 - 2014-12-13,8
2014-12-14 - 2014-12-20,9
2014-12-21 - 2014-12-27,8
2014-12-28 - 2015-01-03,9
2015-01-04 - 2015-01-10,7
2015-01-11 - 2015-01-17,12
2015-01-18 - 2015-01-24,13
2015-01-25 - 2015-01-31,15
2015-02-01 - 2015-02-07,18
2015-02-08 - 2015-02-14,18
2015-02-15 - 2015-02-21,17
2015-02-22 - 2015-02-28,17
2015-03-01 - 2015-03-07,19
2015-03-08 - 2015-03-14,38
2015-03-15 - 2015-03-21,29
2015-03-22 - 2015-03-28,27
2015-03-29 - 2015-04-04,25
2015-04-05 - 2015-04-11,25
2015-04-12 - 2015-04-18,29
2015-04-19 - 2015-04-25,28
2015-04-26 - 2015-05-02,29
2015-05-03 - 2015-05-09,29
2015-05-10 - 2015-05-16,27
2015-05-17 - 2015-05-23,23
2015-05-24 - 2015-05-30,20
2015-05-31 - 2015-06-06,19
2015-06-07 - 2015-06-13,17
2015-06-14 - 2015-06-20,18
2015-06-21 - 2015-06-27,15
2015-06-28 - 2015-07-04,17
2015-07-05 - 2015-07-11,16
2015-07-12 - 2015-07-18,19
2015-07-19 - 2015-07-25,18
2015-07-26 - 2015-08-01,16


Top sub-regions for ciara
Sub-region,ciara
Mississippi,100
Louisiana,81
Georgia,77
Alabama,74
South Carolina,67
District of Columbia,60
North Carolina,57
Florida,55
Maryland,54
Arkansas,52
Tennessee,50
Texas,48
Delaware,46
Michigan,46
Ohio,46
New York,45
Missouri,44
Pennsylvania,43
Illinois,43
Virginia,42
New Jersey,41
Indiana,39
Kentucky,38
Rhode Island,37
Oklahoma,36
California,36
Connecticut,35
New Mexico,35
Arizona,35
Nevada,34
Massachusetts,32
Hawaii,32
Wisconsin,32
Kansas,31
Colorado,30
Washington,29
Minnesota,28
Nebraska,28
Vermont,27
South Dakota,26
West Virginia,26
Iowa,24
Alaska,23
North Dakota,22
Wyoming,22
Utah,20
Oregon,20
Idaho,19
Maine,17
New Hampshire,17
Montana,16


Top metros for ciara
Metro,ciara
Greenwood-Greenville MS,100
Jackson MS,54
Albany GA,51
Montgomery (Selma) AL,49
Monroe LA-El Dorado AR,49
Macon GA,44
Memphis TN,41
Shreveport LA,41
Augusta GA,39
Columbia SC,39
Tallahassee FL-Thomasville GA,39
Baton Rouge LA,38
Columbus GA,38
Savannah GA,37
Lafayette LA,36
Florence-Myrtle Beach SC,35
New Orleans LA,34
Charleston SC,34
Birmingham AL,33
Atlanta GA,32
Norfolk-Portsmouth-Newport News VA,29
Little Rock-Pine Bluff AR,29
West Palm Beach-Ft. Pierce FL,28
Richmond-Petersburg VA,28
Raleigh-Durham (Fayetteville) NC,27
Tyler-Longview(Lufkin & Nacogdoches) TX,27
Detroit MI,26
Greenville-New Bern-Washington NC,26
Baltimore MD,26
Dallas-Ft. Worth TX,26
Jacksonville FL,25
Miami-Ft. Lauderdale FL,25
Charlotte NC,25
Philadelphia PA,25
Mobile AL-Pensacola (Ft. Walton Beach) FL,24
Greensboro-High Point-Winston Salem NC,23
Houston TX,23
Waco-Temple-Bryan TX,23
St. Louis MO,22
Tampa-St. Petersburg (Sarasota) FL,22
Orlando-Daytona Beach-Melbourne FL,22
Louisville KY,21
Chicago IL,21
San Antonio TX,21
Washington DC (Hagerstown MD),21
Gainesville FL,21
Bakersfield CA,21
Rochester NY,21
New York NY,21
Cleveland-Akron (Canton) OH,21
Indianapolis IN,21
Greenville-Spartanburg SC-Asheville NC-Anderson SC,20
Milwaukee WI,20
Nashville TN,19
Toledo OH,19
Huntsville-Decatur (Florence) AL,19
Los Angeles CA,19
Columbus OH,19
Flint-Saginaw-Bay City MI,19
Oklahoma City OK,18
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,18
Cincinnati OH,18
Albuquerque-Santa Fe NM,18
Ft. Wayne IN,18
Kansas City MO,17
Peoria-Bloomington IL,17
Providence RI-New Bedford MA,17
Ft. Myers-Naples FL,17
Las Vegas NV,17
Hartford & New Haven CT,17
Tucson (Sierra Vista) AZ,17
Roanoke-Lynchburg VA,17
Grand Rapids-Kalamazoo-Battle Creek MI,17
Springfield-Holyoke MA,16
Fresno-Visalia CA,16
South Bend-Elkhart IN,16
Lansing MI,16
Phoenix AZ,16
Chattanooga TN,16
Dayton OH,16
Champaign & Springfield-Decatur IL,16
Buffalo NY,16
Honolulu HI,15
Colorado Springs-Pueblo CO,15
Wichita-Hutchinson KS,15
Sacramento-Stockton-Modesto CA,15
Boston MA-Manchester NH,15
Albany-Schenectady-Troy NY,15
Tulsa OK,15
Syracuse NY,15
El Paso TX,14
Pittsburgh PA,14
Seattle-Tacoma WA,14
Omaha NE,14
Austin TX,14
San Diego CA,14
Harrisburg-Lancaster-Lebanon-York PA,14
Santa Barbara-Santa Maria-San Luis Obispo CA,13
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,13
Wilkes Barre-Scranton PA,13
Madison WI,13
Lexington KY,13
Denver CO,13
Burlington VT-Plattsburgh NY,13
Knoxville TN,12
Minneapolis-St. Paul MN,12
San Francisco-Oakland-San Jose CA,12
Des Moines-Ames IA,11
Harlingen-Weslaco-Brownsville-McAllen TX,10
Portland OR,9
Spokane WA,9
Portland-Auburn ME,9
Salt Lake City UT,9
Binghamton NY,0
Erie PA,0
Utica NY,0
Tri-Cities TN-VA,0
Youngstown OH,0
Bangor ME,0
Traverse City-Cadillac MI,0
Watertown NY,0
Wilmington NC,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisonburg VA,0
Johnstown-Altoona PA,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Springfield MO,0
Sioux City IA,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Ottumwa IA-Kirksville MO,0
Odessa-Midland TX,0
Amarillo TX,0
St. Joseph MO,0
Jackson TN,0
Lake Charles LA,0
Alexandria LA,0
Evansville IN,0
Lubbock TX,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Columbus-Tupelo-West Point MS,0
Duluth MN-Superior WI,0
Davenport IA-Rock Island-Moline IL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Beaumont-Port Arthur TX,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Quincy IL-Hannibal MO-Keokuk IA,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Chico-Redding CA,0


Top cities for ciara
Town/City,ciara
Jackson,100
Memphis,86
Atlanta,77
New Orleans,74
Detroit,74
Baltimore,74
Philadelphia,63
Ashburn,62
Charlotte,53
Washington,52
Jacksonville,52
Miami,51
Reston,51
Tampa,51
New York,50



Top searches for ciara
ride,100
ciara ride,100
ciara lyrics,100
ciara body party,55
body party,55
beyonce,50
ride it ciara,45
ride it,45
ludacris,45
chris brown,40
ciara promise,40
promise,35
like a boy,30
rihanna,30
nicki minaj,30
and i ciara,30
and i,30
ciara like you,25
never ever ciara,20
sorry ciara,20
bow wow,20
my love ciara,20
goodies ciara,15
oh ciara,15
ride ciara lyrics,15
usher,15
1 2 step,15
trey songz,15
ciara ride video,15
keri hilson,15
speechless ciara,15
ciara live,15
ciara justin timberlake,15
justin timberlake,15
work ciara,15
get up ciara,10
ciara dancing,10
ciara i bet,10
keyshia cole,10
so what ciara,10
so what,10
gimme dat ciara,10
ciara promise lyrics,10
missy elliot,5



Rising searches for ciara
body party,Breakout
ciara body party,Breakout
nicki minaj,Breakout
ride,Breakout
ride it,Breakout
ride it ciara,Breakout
ciara ride,+4,600%
ciara lyrics,+1,100%
ludacris,+600%
ciara like you,+170%



