YouTube Search interest: gym class heroes
United States; Jan 2008 - Jul 2015

Interest over time
Week,gym class heroes
2009-08-16 - 2009-08-22,7
2009-08-23 - 2009-08-29,6
2009-08-30 - 2009-09-05,6
2009-09-06 - 2009-09-12,7
2009-09-13 - 2009-09-19,6
2009-09-20 - 2009-09-26,6
2009-09-27 - 2009-10-03,8
2009-10-04 - 2009-10-10,6
2009-10-11 - 2009-10-17,8
2009-10-18 - 2009-10-24,5
2009-10-25 - 2009-10-31,5
2009-11-01 - 2009-11-07,6
2009-11-08 - 2009-11-14,6
2009-11-15 - 2009-11-21,6
2009-11-22 - 2009-11-28,6
2009-11-29 - 2009-12-05,6
2009-12-06 - 2009-12-12,6
2009-12-13 - 2009-12-19,6
2009-12-20 - 2009-12-26,6
2009-12-27 - 2010-01-02,6
2010-01-03 - 2010-01-09,5
2010-01-10 - 2010-01-16,7
2010-01-17 - 2010-01-23,6
2010-01-24 - 2010-01-30,6
2010-01-31 - 2010-02-06,6
2010-02-07 - 2010-02-13,6
2010-02-14 - 2010-02-20,5
2010-02-21 - 2010-02-27,5
2010-02-28 - 2010-03-06,6
2010-03-07 - 2010-03-13,7
2010-03-14 - 2010-03-20,6
2010-03-21 - 2010-03-27,7
2010-03-28 - 2010-04-03,6
2010-04-04 - 2010-04-10,6
2010-04-11 - 2010-04-17,7
2010-04-18 - 2010-04-24,5
2010-04-25 - 2010-05-01,7
2010-05-02 - 2010-05-08,6
2010-05-09 - 2010-05-15,7
2010-05-16 - 2010-05-22,6
2010-05-23 - 2010-05-29,7
2010-05-30 - 2010-06-05,9
2010-06-06 - 2010-06-12,8
2010-06-13 - 2010-06-19,7
2010-06-20 - 2010-06-26,7
2010-06-27 - 2010-07-03,7
2010-07-04 - 2010-07-10,7
2010-07-11 - 2010-07-17,7
2010-07-18 - 2010-07-24,6
2010-07-25 - 2010-07-31,6
2010-08-01 - 2010-08-07,5
2010-08-08 - 2010-08-14,6
2010-08-15 - 2010-08-21,5
2010-08-22 - 2010-08-28,4
2010-08-29 - 2010-09-04,5
2010-09-05 - 2010-09-11,5
2010-09-12 - 2010-09-18,5
2010-09-19 - 2010-09-25,5
2010-09-26 - 2010-10-02,5
2010-10-03 - 2010-10-09,6
2010-10-10 - 2010-10-16,5
2010-10-17 - 2010-10-23,5
2010-10-24 - 2010-10-30,5
2010-10-31 - 2010-11-06,4
2010-11-07 - 2010-11-13,5
2010-11-14 - 2010-11-20,5
2010-11-21 - 2010-11-27,3
2010-11-28 - 2010-12-04,5
2010-12-05 - 2010-12-11,4
2010-12-12 - 2010-12-18,4
2010-12-19 - 2010-12-25,5
2010-12-26 - 2011-01-01,6
2011-01-02 - 2011-01-08,6
2011-01-09 - 2011-01-15,5
2011-01-16 - 2011-01-22,5
2011-01-23 - 2011-01-29,6
2011-01-30 - 2011-02-05,4
2011-02-06 - 2011-02-12,4
2011-02-13 - 2011-02-19,5
2011-02-20 - 2011-02-26,4
2011-02-27 - 2011-03-05,5
2011-03-06 - 2011-03-12,5
2011-03-13 - 2011-03-19,5
2011-03-20 - 2011-03-26,5
2011-03-27 - 2011-04-02,5
2011-04-03 - 2011-04-09,6
2011-04-10 - 2011-04-16,5
2011-04-17 - 2011-04-23,4
2011-04-24 - 2011-04-30,5
2011-05-01 - 2011-05-07,5
2011-05-08 - 2011-05-14,4
2011-05-15 - 2011-05-21,3
2011-05-22 - 2011-05-28,4
2011-05-29 - 2011-06-04,4
2011-06-05 - 2011-06-11,7
2011-06-12 - 2011-06-18,11
2011-06-19 - 2011-06-25,14
2011-06-26 - 2011-07-02,15
2011-07-03 - 2011-07-09,16
2011-07-10 - 2011-07-16,17
2011-07-17 - 2011-07-23,20
2011-07-24 - 2011-07-30,26
2011-07-31 - 2011-08-06,34
2011-08-07 - 2011-08-13,43
2011-08-14 - 2011-08-20,59
2011-08-21 - 2011-08-27,72
2011-08-28 - 2011-09-03,77
2011-09-04 - 2011-09-10,86
2011-09-11 - 2011-09-17,92
2011-09-18 - 2011-09-24,96
2011-09-25 - 2011-10-01,99
2011-10-02 - 2011-10-08,100
2011-10-09 - 2011-10-15,94
2011-10-16 - 2011-10-22,87
2011-10-23 - 2011-10-29,86
2011-10-30 - 2011-11-05,83
2011-11-06 - 2011-11-12,86
2011-11-13 - 2011-11-19,77
2011-11-20 - 2011-11-26,85
2011-11-27 - 2011-12-03,70
2011-12-04 - 2011-12-10,61
2011-12-11 - 2011-12-17,59
2011-12-18 - 2011-12-24,63
2011-12-25 - 2011-12-31,52
2012-01-01 - 2012-01-07,53
2012-01-08 - 2012-01-14,53
2012-01-15 - 2012-01-21,52
2012-01-22 - 2012-01-28,50
2012-01-29 - 2012-02-04,56
2012-02-05 - 2012-02-11,51
2012-02-12 - 2012-02-18,46
2012-02-19 - 2012-02-25,43
2012-02-26 - 2012-03-03,40
2012-03-04 - 2012-03-10,35
2012-03-11 - 2012-03-17,35
2012-03-18 - 2012-03-24,30
2012-03-25 - 2012-03-31,29
2012-04-01 - 2012-04-07,30
2012-04-08 - 2012-04-14,26
2012-04-15 - 2012-04-21,22
2012-04-22 - 2012-04-28,23
2012-04-29 - 2012-05-05,22
2012-05-06 - 2012-05-12,23
2012-05-13 - 2012-05-19,26
2012-05-20 - 2012-05-26,31
2012-05-27 - 2012-06-02,33
2012-06-03 - 2012-06-09,40
2012-06-10 - 2012-06-16,42
2012-06-17 - 2012-06-23,39
2012-06-24 - 2012-06-30,40
2012-07-01 - 2012-07-07,39
2012-07-08 - 2012-07-14,35
2012-07-15 - 2012-07-21,34
2012-07-22 - 2012-07-28,31
2012-07-29 - 2012-08-04,35
2012-08-05 - 2012-08-11,25
2012-08-12 - 2012-08-18,23
2012-08-19 - 2012-08-25,21
2012-08-26 - 2012-09-01,20
2012-09-02 - 2012-09-08,18
2012-09-09 - 2012-09-15,15
2012-09-16 - 2012-09-22,14
2012-09-23 - 2012-09-29,16
2012-09-30 - 2012-10-06,14
2012-10-07 - 2012-10-13,14
2012-10-14 - 2012-10-20,16
2012-10-21 - 2012-10-27,13
2012-10-28 - 2012-11-03,12
2012-11-04 - 2012-11-10,11
2012-11-11 - 2012-11-17,12
2012-11-18 - 2012-11-24,12
2012-11-25 - 2012-12-01,12
2012-12-02 - 2012-12-08,10
2012-12-09 - 2012-12-15,10
2012-12-16 - 2012-12-22,9
2012-12-23 - 2012-12-29,9
2012-12-30 - 2013-01-05,8
2013-01-06 - 2013-01-12,8
2013-01-13 - 2013-01-19,10
2013-01-20 - 2013-01-26,9
2013-01-27 - 2013-02-02,8
2013-02-03 - 2013-02-09,8
2013-02-10 - 2013-02-16,8
2013-02-17 - 2013-02-23,8
2013-02-24 - 2013-03-02,7
2013-03-03 - 2013-03-09,7
2013-03-10 - 2013-03-16,7
2013-03-17 - 2013-03-23,9
2013-03-24 - 2013-03-30,8
2013-03-31 - 2013-04-06,8
2013-04-07 - 2013-04-13,8
2013-04-14 - 2013-04-20,7
2013-04-21 - 2013-04-27,7
2013-04-28 - 2013-05-04,7
2013-05-05 - 2013-05-11,7
2013-05-12 - 2013-05-18,7
2013-05-19 - 2013-05-25,8
2013-05-26 - 2013-06-01,8
2013-06-02 - 2013-06-08,7
2013-06-09 - 2013-06-15,6
2013-06-16 - 2013-06-22,6
2013-06-23 - 2013-06-29,6
2013-06-30 - 2013-07-06,7
2013-07-07 - 2013-07-13,6
2013-07-14 - 2013-07-20,6
2013-07-21 - 2013-07-27,5
2013-07-28 - 2013-08-03,6
2013-08-04 - 2013-08-10,5
2013-08-11 - 2013-08-17,5
2013-08-18 - 2013-08-24,6
2013-08-25 - 2013-08-31,5
2013-09-01 - 2013-09-07,5
2013-09-08 - 2013-09-14,6
2013-09-15 - 2013-09-21,6
2013-09-22 - 2013-09-28,5
2013-09-29 - 2013-10-05,6
2013-10-06 - 2013-10-12,8
2013-10-13 - 2013-10-19,6
2013-10-20 - 2013-10-26,6
2013-10-27 - 2013-11-02,6
2013-11-03 - 2013-11-09,6
2013-11-10 - 2013-11-16,6
2013-11-17 - 2013-11-23,5
2013-11-24 - 2013-11-30,5
2013-12-01 - 2013-12-07,5
2013-12-08 - 2013-12-14,5
2013-12-15 - 2013-12-21,4
2013-12-22 - 2013-12-28,4
2013-12-29 - 2014-01-04,5
2014-01-05 - 2014-01-11,5
2014-01-12 - 2014-01-18,4
2014-01-19 - 2014-01-25,4
2014-01-26 - 2014-02-01,4
2014-02-02 - 2014-02-08,4
2014-02-09 - 2014-02-15,5
2014-02-16 - 2014-02-22,4
2014-02-23 - 2014-03-01,5
2014-03-02 - 2014-03-08,4
2014-03-09 - 2014-03-15,4
2014-03-16 - 2014-03-22,4
2014-03-23 - 2014-03-29,4
2014-03-30 - 2014-04-05,4
2014-04-06 - 2014-04-12,4
2014-04-13 - 2014-04-19,4
2014-04-20 - 2014-04-26,4
2014-04-27 - 2014-05-03,4
2014-05-04 - 2014-05-10,4
2014-05-11 - 2014-05-17,4
2014-05-18 - 2014-05-24,4
2014-05-25 - 2014-05-31,4
2014-06-01 - 2014-06-07,4
2014-06-08 - 2014-06-14,4
2014-06-15 - 2014-06-21,3
2014-06-22 - 2014-06-28,3
2014-06-29 - 2014-07-05,4
2014-07-06 - 2014-07-12,3
2014-07-13 - 2014-07-19,4
2014-07-20 - 2014-07-26,3
2014-07-27 - 2014-08-02,3
2014-08-03 - 2014-08-09,3
2014-08-10 - 2014-08-16,4
2014-08-17 - 2014-08-23,3
2014-08-24 - 2014-08-30,3
2014-08-31 - 2014-09-06,3
2014-09-07 - 2014-09-13,3
2014-09-14 - 2014-09-20,4
2014-09-21 - 2014-09-27,3
2014-09-28 - 2014-10-04,3
2014-10-05 - 2014-10-11,3
2014-10-12 - 2014-10-18,3
2014-10-19 - 2014-10-25,3
2014-10-26 - 2014-11-01,3
2014-11-02 - 2014-11-08,3
2014-11-09 - 2014-11-15,3
2014-11-16 - 2014-11-22,3
2014-11-23 - 2014-11-29,3
2014-11-30 - 2014-12-06,3
2014-12-07 - 2014-12-13,3
2014-12-14 - 2014-12-20,2
2014-12-21 - 2014-12-27,2
2014-12-28 - 2015-01-03,3
2015-01-04 - 2015-01-10,2
2015-01-11 - 2015-01-17,2
2015-01-18 - 2015-01-24,3
2015-01-25 - 2015-01-31,2
2015-02-01 - 2015-02-07,3
2015-02-08 - 2015-02-14,3
2015-02-15 - 2015-02-21,3
2015-02-22 - 2015-02-28,3
2015-03-01 - 2015-03-07,3
2015-03-08 - 2015-03-14,3
2015-03-15 - 2015-03-21,3
2015-03-22 - 2015-03-28,3
2015-03-29 - 2015-04-04,3
2015-04-05 - 2015-04-11,3
2015-04-12 - 2015-04-18,3
2015-04-19 - 2015-04-25,3
2015-04-26 - 2015-05-02,3
2015-05-03 - 2015-05-09,3
2015-05-10 - 2015-05-16,2
2015-05-17 - 2015-05-23,3
2015-05-24 - 2015-05-30,2
2015-05-31 - 2015-06-06,3
2015-06-07 - 2015-06-13,3
2015-06-14 - 2015-06-20,3
2015-06-21 - 2015-06-27,3
2015-06-28 - 2015-07-04,1
2015-07-05 - 2015-07-11,2
2015-07-12 - 2015-07-18,2
2015-07-19 - 2015-07-25,2
2015-07-26 - 2015-08-01,2


Top sub-regions for gym class heroes
Sub-region,gym class heroes
North Dakota,100
Hawaii,99
South Dakota,98
Montana,98
Idaho,97
Iowa,97
Utah,93
Wisconsin,91
Pennsylvania,88
Michigan,88
Maine,87
New Hampshire,86
Minnesota,86
New York,85
Arizona,85
New Mexico,85
New Jersey,84
Indiana,83
Ohio,82
Massachusetts,82
Illinois,81
Colorado,81
Nebraska,80
Wyoming,80
Connecticut,78
Rhode Island,76
Florida,76
West Virginia,74
Nevada,74
California,73
Vermont,71
Missouri,71
Kansas,71
Maryland,70
Washington,70
Delaware,70
Alaska,70
Kentucky,68
North Carolina,68
Texas,68
Oregon,66
Georgia,62
South Carolina,59
Tennessee,59
Oklahoma,57
Arkansas,56
Alabama,53
Virginia,50
Louisiana,49
Mississippi,47
District of Columbia,42


Top metros for gym class heroes
Metro,gym class heroes
Wilkes Barre-Scranton PA,100
Dayton OH,100
Providence RI-New Bedford MA,95
Salt Lake City UT,94
Rochester NY,93
Syracuse NY,92
Fresno-Visalia CA,91
Honolulu HI,90
Grand Rapids-Kalamazoo-Battle Creek MI,90
Harrisburg-Lancaster-Lebanon-York PA,87
Sacramento-Stockton-Modesto CA,85
Cleveland-Akron (Canton) OH,85
Albany-Schenectady-Troy NY,84
Detroit MI,84
Cincinnati OH,83
Albuquerque-Santa Fe NM,81
Minneapolis-St. Paul MN,81
Buffalo NY,80
Milwaukee WI,80
Pittsburgh PA,79
Chicago IL,78
Phoenix AZ,78
Tampa-St. Petersburg (Sarasota) FL,77
New York NY,77
Boston MA-Manchester NH,76
Las Vegas NV,75
San Diego CA,74
Baltimore MD,74
Denver CO,71
St. Louis MO,70
Jacksonville FL,69
Columbus OH,69
Orlando-Daytona Beach-Melbourne FL,69
Philadelphia PA,68
Los Angeles CA,67
San Antonio TX,67
Charlotte NC,66
Hartford & New Haven CT,66
Seattle-Tacoma WA,66
Indianapolis IN,64
Norfolk-Portsmouth-Newport News VA,63
Houston TX,63
Miami-Ft. Lauderdale FL,62
Louisville KY,60
Atlanta GA,59
Raleigh-Durham (Fayetteville) NC,59
West Palm Beach-Ft. Pierce FL,58
Oklahoma City OK,58
Portland OR,58
Kansas City MO,57
Dallas-Ft. Worth TX,53
Greensboro-High Point-Winston Salem NC,53
Nashville TN,53
Austin TX,49
Washington DC (Hagerstown MD),45
San Francisco-Oakland-San Jose CA,43
Portland-Auburn ME,0
Binghamton NY,0
Macon GA,0
Savannah GA,0
Ft. Wayne IN,0
Flint-Saginaw-Bay City MI,0
Erie PA,0
Charleston SC,0
Augusta GA,0
Columbus GA,0
Burlington VT-Plattsburgh NY,0
Albany GA,0
Utica NY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Youngstown OH,0
Bangor ME,0
Traverse City-Cadillac MI,0
Lexington KY,0
Springfield-Holyoke MA,0
Greenville-New Bern-Washington NC,0
Columbia SC,0
Toledo OH,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Richmond-Petersburg VA,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Charleston-Huntington WV,0
Elmira NY,0
Greenville-Spartanburg SC-Asheville NC-Anderson SC,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Roanoke-Lynchburg VA,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Springfield MO,0
New Orleans LA,0
Sioux City IA,0
Waco-Temple-Bryan TX,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Birmingham AL,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Memphis TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Lubbock TX,0
Omaha NE,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Madison WI,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Tulsa OK,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Wichita-Hutchinson KS,0
Des Moines-Ames IA,0
Davenport IA-Rock Island-Moline IL,0
Mobile AL-Pensacola (Ft. Walton Beach) FL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Little Rock-Pine Bluff AR,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Colorado Springs-Pueblo CO,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Tucson (Sierra Vista) AZ,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for gym class heroes
Town/City,gym class heroes
Fresno,100
Las Vegas,94
Phoenix,94
San Diego,90
San Jose,89
Denver,85
Sacramento,85
Portland,81
New York,80
San Antonio,80
Minneapolis,79
Los Angeles,77
Houston,76
Philadelphia,75
San Francisco,73



Top searches for gym class heroes
stereo,100
stereo hearts,100
stereo hearts lyrics,30
fighter,20
cookie jar,15
the fighter,15
stereo love,15
cupids chokehold,5
moves like jagger,5
stereo love lyrics,5
clothes off,5
the fighter lyrics,5
cobra starship,5
adam levine,5
stereo heart,5
gym class heros,0
stereo hearts cover,0
travie mccoy,0
neon hitch,0



Rising searches for gym class heroes
cookie jar,Breakout
fighter,Breakout
moves like jagger,Breakout
stereo,Breakout
stereo hearts,Breakout
stereo hearts lyrics,Breakout
stereo love,Breakout
stereo love lyrics,Breakout
the fighter,Breakout
cupids chokehold,+160%



