YouTube Search interest: christina perri
United States; Jan 2008 - Jul 2015

Interest over time
Week,christina perri
2009-03-22 - 2009-03-28,0
2009-03-29 - 2009-04-04,0
2009-04-05 - 2009-04-11,0
2009-04-12 - 2009-04-18,0
2009-04-19 - 2009-04-25,0
2009-04-26 - 2009-05-02,0
2009-05-03 - 2009-05-09,0
2009-05-10 - 2009-05-16,0
2009-05-17 - 2009-05-23,0
2009-05-24 - 2009-05-30,0
2009-05-31 - 2009-06-06,0
2009-06-07 - 2009-06-13,0
2009-06-14 - 2009-06-20,0
2009-06-21 - 2009-06-27,0
2009-06-28 - 2009-07-04,0
2009-07-05 - 2009-07-11,0
2009-07-12 - 2009-07-18,0
2009-07-19 - 2009-07-25,0
2009-07-26 - 2009-08-01,0
2009-08-02 - 2009-08-08,0
2009-08-09 - 2009-08-15,0
2009-08-16 - 2009-08-22,0
2009-08-23 - 2009-08-29,0
2009-08-30 - 2009-09-05,0
2009-09-06 - 2009-09-12,0
2009-09-13 - 2009-09-19,0
2009-09-20 - 2009-09-26,0
2009-09-27 - 2009-10-03,0
2009-10-04 - 2009-10-10,0
2009-10-11 - 2009-10-17,0
2009-10-18 - 2009-10-24,0
2009-10-25 - 2009-10-31,0
2009-11-01 - 2009-11-07,0
2009-11-08 - 2009-11-14,0
2009-11-15 - 2009-11-21,0
2009-11-22 - 2009-11-28,0
2009-11-29 - 2009-12-05,0
2009-12-06 - 2009-12-12,0
2009-12-13 - 2009-12-19,0
2009-12-20 - 2009-12-26,0
2009-12-27 - 2010-01-02,0
2010-01-03 - 2010-01-09,0
2010-01-10 - 2010-01-16,0
2010-01-17 - 2010-01-23,0
2010-01-24 - 2010-01-30,0
2010-01-31 - 2010-02-06,0
2010-02-07 - 2010-02-13,0
2010-02-14 - 2010-02-20,0
2010-02-21 - 2010-02-27,0
2010-02-28 - 2010-03-06,0
2010-03-07 - 2010-03-13,0
2010-03-14 - 2010-03-20,0
2010-03-21 - 2010-03-27,0
2010-03-28 - 2010-04-03,0
2010-04-04 - 2010-04-10,0
2010-04-11 - 2010-04-17,0
2010-04-18 - 2010-04-24,0
2010-04-25 - 2010-05-01,0
2010-05-02 - 2010-05-08,0
2010-05-09 - 2010-05-15,0
2010-05-16 - 2010-05-22,0
2010-05-23 - 2010-05-29,0
2010-05-30 - 2010-06-05,0
2010-06-06 - 2010-06-12,0
2010-06-13 - 2010-06-19,0
2010-06-20 - 2010-06-26,0
2010-06-27 - 2010-07-03,3
2010-07-04 - 2010-07-10,4
2010-07-11 - 2010-07-17,10
2010-07-18 - 2010-07-24,20
2010-07-25 - 2010-07-31,8
2010-08-01 - 2010-08-07,7
2010-08-08 - 2010-08-14,7
2010-08-15 - 2010-08-21,6
2010-08-22 - 2010-08-28,6
2010-08-29 - 2010-09-04,6
2010-09-05 - 2010-09-11,6
2010-09-12 - 2010-09-18,6
2010-09-19 - 2010-09-25,7
2010-09-26 - 2010-10-02,6
2010-10-03 - 2010-10-09,8
2010-10-10 - 2010-10-16,12
2010-10-17 - 2010-10-23,17
2010-10-24 - 2010-10-30,20
2010-10-31 - 2010-11-06,26
2010-11-07 - 2010-11-13,27
2010-11-14 - 2010-11-20,32
2010-11-21 - 2010-11-27,31
2010-11-28 - 2010-12-04,30
2010-12-05 - 2010-12-11,34
2010-12-12 - 2010-12-18,35
2010-12-19 - 2010-12-25,39
2010-12-26 - 2011-01-01,34
2011-01-02 - 2011-01-08,50
2011-01-09 - 2011-01-15,54
2011-01-16 - 2011-01-22,55
2011-01-23 - 2011-01-29,58
2011-01-30 - 2011-02-05,66
2011-02-06 - 2011-02-12,64
2011-02-13 - 2011-02-19,66
2011-02-20 - 2011-02-26,70
2011-02-27 - 2011-03-05,67
2011-03-06 - 2011-03-12,71
2011-03-13 - 2011-03-19,76
2011-03-20 - 2011-03-26,67
2011-03-27 - 2011-04-02,64
2011-04-03 - 2011-04-09,57
2011-04-10 - 2011-04-16,52
2011-04-17 - 2011-04-23,52
2011-04-24 - 2011-04-30,49
2011-05-01 - 2011-05-07,52
2011-05-08 - 2011-05-14,67
2011-05-15 - 2011-05-21,71
2011-05-22 - 2011-05-28,56
2011-05-29 - 2011-06-04,53
2011-06-05 - 2011-06-11,49
2011-06-12 - 2011-06-18,49
2011-06-19 - 2011-06-25,47
2011-06-26 - 2011-07-02,45
2011-07-03 - 2011-07-09,40
2011-07-10 - 2011-07-16,41
2011-07-17 - 2011-07-23,43
2011-07-24 - 2011-07-30,49
2011-07-31 - 2011-08-06,49
2011-08-07 - 2011-08-13,55
2011-08-14 - 2011-08-20,47
2011-08-21 - 2011-08-27,45
2011-08-28 - 2011-09-03,46
2011-09-04 - 2011-09-10,45
2011-09-11 - 2011-09-17,43
2011-09-18 - 2011-09-24,43
2011-09-25 - 2011-10-01,44
2011-10-02 - 2011-10-08,41
2011-10-09 - 2011-10-15,39
2011-10-16 - 2011-10-22,46
2011-10-23 - 2011-10-29,60
2011-10-30 - 2011-11-05,83
2011-11-06 - 2011-11-12,88
2011-11-13 - 2011-11-19,87
2011-11-20 - 2011-11-26,90
2011-11-27 - 2011-12-03,83
2011-12-04 - 2011-12-10,78
2011-12-11 - 2011-12-17,81
2011-12-18 - 2011-12-24,78
2011-12-25 - 2011-12-31,71
2012-01-01 - 2012-01-07,68
2012-01-08 - 2012-01-14,73
2012-01-15 - 2012-01-21,71
2012-01-22 - 2012-01-28,68
2012-01-29 - 2012-02-04,76
2012-02-05 - 2012-02-11,81
2012-02-12 - 2012-02-18,85
2012-02-19 - 2012-02-25,78
2012-02-26 - 2012-03-03,73
2012-03-04 - 2012-03-10,70
2012-03-11 - 2012-03-17,74
2012-03-18 - 2012-03-24,75
2012-03-25 - 2012-03-31,75
2012-04-01 - 2012-04-07,73
2012-04-08 - 2012-04-14,68
2012-04-15 - 2012-04-21,65
2012-04-22 - 2012-04-28,60
2012-04-29 - 2012-05-05,55
2012-05-06 - 2012-05-12,57
2012-05-13 - 2012-05-19,54
2012-05-20 - 2012-05-26,50
2012-05-27 - 2012-06-02,53
2012-06-03 - 2012-06-09,56
2012-06-10 - 2012-06-16,49
2012-06-17 - 2012-06-23,45
2012-06-24 - 2012-06-30,43
2012-07-01 - 2012-07-07,42
2012-07-08 - 2012-07-14,41
2012-07-15 - 2012-07-21,43
2012-07-22 - 2012-07-28,35
2012-07-29 - 2012-08-04,36
2012-08-05 - 2012-08-11,38
2012-08-12 - 2012-08-18,37
2012-08-19 - 2012-08-25,36
2012-08-26 - 2012-09-01,38
2012-09-02 - 2012-09-08,40
2012-09-09 - 2012-09-15,35
2012-09-16 - 2012-09-22,38
2012-09-23 - 2012-09-29,33
2012-09-30 - 2012-10-06,39
2012-10-07 - 2012-10-13,34
2012-10-14 - 2012-10-20,32
2012-10-21 - 2012-10-27,31
2012-10-28 - 2012-11-03,30
2012-11-04 - 2012-11-10,32
2012-11-11 - 2012-11-17,49
2012-11-18 - 2012-11-24,100
2012-11-25 - 2012-12-01,77
2012-12-02 - 2012-12-08,65
2012-12-09 - 2012-12-15,55
2012-12-16 - 2012-12-22,53
2012-12-23 - 2012-12-29,47
2012-12-30 - 2013-01-05,44
2013-01-06 - 2013-01-12,39
2013-01-13 - 2013-01-19,41
2013-01-20 - 2013-01-26,54
2013-01-27 - 2013-02-02,58
2013-02-03 - 2013-02-09,57
2013-02-10 - 2013-02-16,48
2013-02-17 - 2013-02-23,48
2013-02-24 - 2013-03-02,48
2013-03-03 - 2013-03-09,61
2013-03-10 - 2013-03-16,58
2013-03-17 - 2013-03-23,51
2013-03-24 - 2013-03-30,52
2013-03-31 - 2013-04-06,42
2013-04-07 - 2013-04-13,46
2013-04-14 - 2013-04-20,44
2013-04-21 - 2013-04-27,43
2013-04-28 - 2013-05-04,41
2013-05-05 - 2013-05-11,40
2013-05-12 - 2013-05-18,44
2013-05-19 - 2013-05-25,40
2013-05-26 - 2013-06-01,41
2013-06-02 - 2013-06-08,42
2013-06-09 - 2013-06-15,37
2013-06-16 - 2013-06-22,33
2013-06-23 - 2013-06-29,35
2013-06-30 - 2013-07-06,33
2013-07-07 - 2013-07-13,34
2013-07-14 - 2013-07-20,29
2013-07-21 - 2013-07-27,28
2013-07-28 - 2013-08-03,31
2013-08-04 - 2013-08-10,32
2013-08-11 - 2013-08-17,33
2013-08-18 - 2013-08-24,29
2013-08-25 - 2013-08-31,30
2013-09-01 - 2013-09-07,29
2013-09-08 - 2013-09-14,32
2013-09-15 - 2013-09-21,33
2013-09-22 - 2013-09-28,33
2013-09-29 - 2013-10-05,35
2013-10-06 - 2013-10-12,31
2013-10-13 - 2013-10-19,29
2013-10-20 - 2013-10-26,28
2013-10-27 - 2013-11-02,30
2013-11-03 - 2013-11-09,31
2013-11-10 - 2013-11-16,31
2013-11-17 - 2013-11-23,38
2013-11-24 - 2013-11-30,34
2013-12-01 - 2013-12-07,32
2013-12-08 - 2013-12-14,33
2013-12-15 - 2013-12-21,34
2013-12-22 - 2013-12-28,30
2013-12-29 - 2014-01-04,32
2014-01-05 - 2014-01-11,38
2014-01-12 - 2014-01-18,39
2014-01-19 - 2014-01-25,37
2014-01-26 - 2014-02-01,41
2014-02-02 - 2014-02-08,41
2014-02-09 - 2014-02-15,46
2014-02-16 - 2014-02-22,47
2014-02-23 - 2014-03-01,51
2014-03-02 - 2014-03-08,58
2014-03-09 - 2014-03-15,55
2014-03-16 - 2014-03-22,57
2014-03-23 - 2014-03-29,55
2014-03-30 - 2014-04-05,69
2014-04-06 - 2014-04-12,70
2014-04-13 - 2014-04-19,68
2014-04-20 - 2014-04-26,63
2014-04-27 - 2014-05-03,69
2014-05-04 - 2014-05-10,65
2014-05-11 - 2014-05-17,62
2014-05-18 - 2014-05-24,67
2014-05-25 - 2014-05-31,62
2014-06-01 - 2014-06-07,55
2014-06-08 - 2014-06-14,51
2014-06-15 - 2014-06-21,45
2014-06-22 - 2014-06-28,41
2014-06-29 - 2014-07-05,40
2014-07-06 - 2014-07-12,36
2014-07-13 - 2014-07-19,37
2014-07-20 - 2014-07-26,35
2014-07-27 - 2014-08-02,35
2014-08-03 - 2014-08-09,37
2014-08-10 - 2014-08-16,34
2014-08-17 - 2014-08-23,33
2014-08-24 - 2014-08-30,32
2014-08-31 - 2014-09-06,34
2014-09-07 - 2014-09-13,37
2014-09-14 - 2014-09-20,35
2014-09-21 - 2014-09-27,35
2014-09-28 - 2014-10-04,37
2014-10-05 - 2014-10-11,41
2014-10-12 - 2014-10-18,36
2014-10-19 - 2014-10-25,33
2014-10-26 - 2014-11-01,36
2014-11-02 - 2014-11-08,34
2014-11-09 - 2014-11-15,30
2014-11-16 - 2014-11-22,31
2014-11-23 - 2014-11-29,27
2014-11-30 - 2014-12-06,28
2014-12-07 - 2014-12-13,27
2014-12-14 - 2014-12-20,25
2014-12-21 - 2014-12-27,24
2014-12-28 - 2015-01-03,24
2015-01-04 - 2015-01-10,25
2015-01-11 - 2015-01-17,28
2015-01-18 - 2015-01-24,25
2015-01-25 - 2015-01-31,30
2015-02-01 - 2015-02-07,24
2015-02-08 - 2015-02-14,27
2015-02-15 - 2015-02-21,22
2015-02-22 - 2015-02-28,25
2015-03-01 - 2015-03-07,25
2015-03-08 - 2015-03-14,24
2015-03-15 - 2015-03-21,25
2015-03-22 - 2015-03-28,23
2015-03-29 - 2015-04-04,21
2015-04-05 - 2015-04-11,23
2015-04-12 - 2015-04-18,23
2015-04-19 - 2015-04-25,25
2015-04-26 - 2015-05-02,24
2015-05-03 - 2015-05-09,25
2015-05-10 - 2015-05-16,24
2015-05-17 - 2015-05-23,24
2015-05-24 - 2015-05-30,23
2015-05-31 - 2015-06-06,22
2015-06-07 - 2015-06-13,20
2015-06-14 - 2015-06-20,20
2015-06-21 - 2015-06-27,21
2015-06-28 - 2015-07-04,17
2015-07-05 - 2015-07-11,19
2015-07-12 - 2015-07-18,23
2015-07-19 - 2015-07-25,21
2015-07-26 - 2015-08-01,19


Top sub-regions for christina perri
Sub-region,christina perri
Utah,100
Idaho,93
Iowa,84
North Dakota,83
South Dakota,81
Wisconsin,80
Indiana,80
Ohio,78
Montana,77
Minnesota,75
Nebraska,74
West Virginia,73
Arizona,73
Maine,73
Michigan,72
Kentucky,72
Kansas,71
Pennsylvania,69
Wyoming,67
Texas,66
New Hampshire,66
Oklahoma,64
Colorado,64
New Mexico,63
Illinois,62
Vermont,62
Tennessee,62
Arkansas,61
North Carolina,61
Delaware,61
Missouri,60
Nevada,60
Rhode Island,59
South Carolina,59
Washington,58
Oregon,57
Connecticut,57
California,57
Massachusetts,57
Florida,57
New Jersey,57
Hawaii,56
Alabama,53
New York,53
Alaska,52
Maryland,50
Georgia,49
Louisiana,49
Mississippi,43
Virginia,32
District of Columbia,21


Top metros for christina perri
Metro,christina perri
Salt Lake City UT,100
Fargo-Valley City ND,96
Peoria-Bloomington IL,95
Des Moines-Ames IA,95
Wichita-Hutchinson KS,94
Lincoln & Hastings-Kearney NE,93
La Crosse-Eau Claire WI,93
Davenport IA-Rock Island-Moline IL,92
Springfield MO,91
Sioux Falls(Mitchell) SD,90
Green Bay-Appleton WI,89
Grand Rapids-Kalamazoo-Battle Creek MI,86
Toledo OH,85
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,84
Colorado Springs-Pueblo CO,84
Fresno-Visalia CA,82
Omaha NE,82
Milwaukee WI,81
Charleston-Huntington WV,81
Minneapolis-St. Paul MN,80
Dayton OH,79
Phoenix AZ,78
Portland-Auburn ME,77
Spokane WA,77
Harrisburg-Lancaster-Lebanon-York PA,77
Boise ID,75
Tucson (Sierra Vista) AZ,75
Harlingen-Weslaco-Brownsville-McAllen TX,75
El Paso TX,74
Indianapolis IN,74
Columbus OH,72
Tulsa OK,71
Albany-Schenectady-Troy NY,70
Wilkes Barre-Scranton PA,70
Cincinnati OH,69
Waco-Temple-Bryan TX,69
Louisville KY,68
Flint-Saginaw-Bay City MI,68
Las Vegas NV,68
Cleveland-Akron (Canton) OH,68
Providence RI-New Bedford MA,67
Nashville TN,67
Knoxville TN,66
Sacramento-Stockton-Modesto CA,66
San Antonio TX,65
Los Angeles CA,65
Lexington KY,65
Albuquerque-Santa Fe NM,64
Champaign & Springfield-Decatur IL,64
Pittsburgh PA,63
Madison WI,63
Greenville-Spartanburg SC-Asheville NC-Anderson SC,63
Houston TX,63
Detroit MI,62
Syracuse NY,62
Denver CO,62
Oklahoma City OK,62
Jacksonville FL,61
Burlington VT-Plattsburgh NY,61
Hartford & New Haven CT,61
Mobile AL-Pensacola (Ft. Walton Beach) FL,60
Dallas-Ft. Worth TX,60
Tampa-St. Petersburg (Sarasota) FL,60
Charlotte NC,59
Honolulu HI,59
Seattle-Tacoma WA,59
Orlando-Daytona Beach-Melbourne FL,58
Kansas City MO,58
Buffalo NY,58
Raleigh-Durham (Fayetteville) NC,58
Chicago IL,58
Portland OR,57
Boston MA-Manchester NH,56
Austin TX,56
Little Rock-Pine Bluff AR,55
Philadelphia PA,55
Norfolk-Portsmouth-Newport News VA,54
Birmingham AL,53
New Orleans LA,53
Rochester NY,53
Greensboro-High Point-Winston Salem NC,53
West Palm Beach-Ft. Pierce FL,52
St. Louis MO,52
New York NY,51
Baltimore MD,51
San Diego CA,50
Atlanta GA,49
Miami-Ft. Lauderdale FL,46
Memphis TN,43
San Francisco-Oakland-San Jose CA,31
Washington DC (Hagerstown MD),28
Binghamton NY,0
Macon GA,0
Savannah GA,0
Ft. Wayne IN,0
Erie PA,0
Charleston SC,0
Augusta GA,0
Columbus GA,0
Albany GA,0
Utica NY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Youngstown OH,0
Bangor ME,0
Traverse City-Cadillac MI,0
Springfield-Holyoke MA,0
Greenville-New Bern-Washington NC,0
Columbia SC,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Richmond-Petersburg VA,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Elmira NY,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Roanoke-Lynchburg VA,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Sioux City IA,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
St. Joseph MO,0
Jackson TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Evansville IN,0
Lubbock TX,0
Panama City FL,0
Sherman TX-Ada OK,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Columbus-Tupelo-West Point MS,0
Duluth MN-Superior WI,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Montgomery (Selma) AL,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Chico-Redding CA,0


Top cities for christina perri
Town/City,christina perri
Indianapolis,100
San Antonio,99
Houston,91
Portland,88
Las Vegas,88
Denver,88
Phoenix,86
San Jose,79
Minneapolis,74
Austin,72
San Diego,72
Los Angeles,67
Dallas,66
New York,65
Philadelphia,62



Top searches for christina perri
thousand years,100
christina perri lyrics,80
a thousand years,80
jar of hearts,70
arms,30
christina perri arms,30
human,25
christina perri human,25
christina perry,10
1000 years,10
lonely christina perri,5
christina perri distance,5
christina perri live,5
christina perri miles,5
bluebird christina perri,0
tragedy christina perri,0
thousand miles,0
jars of hearts,0
penguin christina perri,0
a thousand miles,0
mine christina perri,0



Rising searches for christina perri
1000 years,Breakout
a thousand years,Breakout
arms,Breakout
christina perri arms,Breakout
christina perri human,Breakout
christina perri lyrics,Breakout
christina perry,Breakout
human,Breakout
jar of hearts,Breakout
thousand years,Breakout



