YouTube Search interest: eminem
United States; Jan 2008 - Jul 2015

Interest over time
Week,eminem
2015-01-11 - 2015-01-17,15
2015-01-18 - 2015-01-24,14
2015-01-25 - 2015-01-31,14
2015-02-01 - 2015-02-07,13
2015-02-08 - 2015-02-14,15
2015-02-15 - 2015-02-21,14
2015-02-22 - 2015-02-28,14
2015-03-01 - 2015-03-07,14
2015-03-08 - 2015-03-14,14
2015-03-15 - 2015-03-21,14
2015-03-22 - 2015-03-28,14
2015-03-29 - 2015-04-04,13
2015-04-05 - 2015-04-11,13
2015-04-12 - 2015-04-18,14
2015-04-19 - 2015-04-25,14
2015-04-26 - 2015-05-02,14
2015-05-03 - 2015-05-09,14
2015-05-10 - 2015-05-16,13
2015-05-17 - 2015-05-23,13
2015-05-24 - 2015-05-30,13
2015-05-31 - 2015-06-06,14
2015-06-07 - 2015-06-13,13
2015-06-14 - 2015-06-20,12
2015-06-21 - 2015-06-27,12
2015-06-28 - 2015-07-04,13
2015-07-05 - 2015-07-11,13
2015-07-12 - 2015-07-18,12
2015-07-19 - 2015-07-25,13
2015-07-26 - 2015-08-01,13


Top sub-regions for eminem
Sub-region,eminem
Michigan,100
South Dakota,93
Maine,91
Ohio,90
North Dakota,86
Pennsylvania,86
West Virginia,85
Kentucky,85
Missouri,81
New Hampshire,80
Iowa,80
Indiana,79
Montana,79
Wyoming,79
New York,78
Wisconsin,78
Rhode Island,77
Connecticut,76
Massachusetts,76
Vermont,74
New Jersey,73
Nebraska,71
Illinois,70
Minnesota,69
Kansas,69
Arizona,68
Colorado,67
New Mexico,67
Idaho,66
Texas,65
Alaska,65
North Carolina,64
Oklahoma,64
Florida,64
Virginia,64
Arkansas,64
Tennessee,62
Washington,62
Georgia,61
South Carolina,61
California,60
Utah,60
Nevada,59
Delaware,58
Louisiana,57
Mississippi,57
Maryland,56
Alabama,56
District of Columbia,55
Oregon,53
Hawaii,46


Top metros for eminem
Metro,eminem
Great Falls MT,100
Marquette MI,98
Zanesville OH,96
Traverse City-Cadillac MI,96
Wheeling WV-Steubenville OH,95
Elmira NY,94
Minot-Bismarck-Dickinson(Williston) ND,91
Detroit MI,91
Flint-Saginaw-Bay City MI,91
Clarksburg-Weston WV,90
Lima OH,87
Bangor ME,87
Duluth MN-Superior WI,87
Sioux Falls(Mitchell) SD,87
Wilkes Barre-Scranton PA,86
Binghamton NY,86
Watertown NY,85
Sioux City IA,84
Charleston-Huntington WV,84
Bluefield-Beckley-Oak Hill WV,83
Toledo OH,83
Rapid City SD,82
Youngstown OH,82
Parkersburg WV,82
Mankato MN,82
Portland-Auburn ME,81
Louisville KY,81
Fargo-Valley City ND,80
Terre Haute IN,80
Twin Falls ID,79
Grand Rapids-Kalamazoo-Battle Creek MI,79
Billings MT,78
St. Joseph MO,78
Ft. Wayne IN,77
Casper-Riverton WY,77
Sherman TX-Ada OK,76
Cheyenne WY-Scottsbluff NE,76
Providence RI-New Bedford MA,76
Johnstown-Altoona PA,76
Green Bay-Appleton WI,76
Missoula MT,76
Quincy IL-Hannibal MO-Keokuk IA,75
Davenport IA-Rock Island-Moline IL,74
Lexington KY,74
Dayton OH,74
Hartford & New Haven CT,74
Grand Junction-Montrose CO,74
Albany-Schenectady-Troy NY,74
Buffalo NY,73
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,73
St. Louis MO,73
Joplin MO-Pittsburg KS,73
Lansing MI,73
Cincinnati OH,73
Pittsburgh PA,73
Utica NY,72
Champaign & Springfield-Decatur IL,72
La Crosse-Eau Claire WI,71
Erie PA,71
Rockford IL,71
Laredo TX,71
Tri-Cities TN-VA,71
Rochester MN-Mason City IA-Austin MN,71
Wausau-Rhinelander WI,70
Boston MA-Manchester NH,70
South Bend-Elkhart IN,70
Evansville IN,70
Cleveland-Akron (Canton) OH,70
Yakima-Pasco-Richland-Kennewick WA,70
Yuma AZ-El Centro CA,69
Philadelphia PA,69
Springfield MO,69
Burlington VT-Plattsburgh NY,69
Syracuse NY,69
Columbus OH,69
Indianapolis IN,68
Minneapolis-St. Paul MN,68
Spokane WA,68
Rochester NY,68
Abilene-Sweetwater TX,68
Jonesboro AR,68
Kansas City MO,68
Wichita-Hutchinson KS,68
Springfield-Holyoke MA,67
Bend OR,67
Odessa-Midland TX,67
Reno NV,67
New York NY,67
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,67
Des Moines-Ames IA,67
Medford-Klamath Falls OR,65
Chicago IL,65
Salisbury MD,65
Peoria-Bloomington IL,65
Omaha NE,64
Palm Springs CA,64
Colorado Springs-Pueblo CO,64
Lincoln & Hastings-Kearney NE,64
Bowling Green KY,64
West Palm Beach-Ft. Pierce FL,64
Madison WI,64
El Paso TX,64
Harrisburg-Lancaster-Lebanon-York PA,63
Bakersfield CA,63
Phoenix AZ,63
Albuquerque-Santa Fe NM,62
Milwaukee WI,62
Ft. Myers-Naples FL,62
Ottumwa IA-Kirksville MO,62
Chico-Redding CA,62
Topeka KS,62
Butte-Bozeman MT,62
Lafayette IN,61
Anchorage AK,61
Amarillo TX,61
Denver CO,61
Greenville-New Bern-Washington NC,61
Wilmington NC,61
Charlottesville VA,60
Salt Lake City UT,60
Corpus Christi TX,60
Eureka CA,59
Florence-Myrtle Beach SC,59
Panama City FL,59
Tampa-St. Petersburg (Sarasota) FL,59
Orlando-Daytona Beach-Melbourne FL,59
Eugene OR,59
Biloxi-Gulfport MS,58
Oklahoma City OK,58
Washington DC (Hagerstown MD),58
Knoxville TN,58
Boise ID,58
Alexandria LA,58
San Angelo TX,58
Wichita Falls TX & Lawton OK,58
Atlanta GA,58
Tyler-Longview(Lufkin & Nacogdoches) TX,57
Raleigh-Durham (Fayetteville) NC,56
Little Rock-Pine Bluff AR,56
Greenville-Spartanburg SC-Asheville NC-Anderson SC,56
Roanoke-Lynchburg VA,56
Idaho Falls-Pocatello ID,56
Ft. Smith-Fayetteville-Springdale-Rogers AR,56
Fresno-Visalia CA,56
Birmingham AL,56
Jackson TN,56
Seattle-Tacoma WA,56
Harrisonburg VA,55
Dallas-Ft. Worth TX,55
Los Angeles CA,55
Shreveport LA,55
Charlotte NC,55
Tucson (Sierra Vista) AZ,55
Hattiesburg-Laurel MS,55
Lafayette LA,55
Beaumont-Port Arthur TX,55
Columbia-Jefferson City MO,55
Columbus GA,54
Miami-Ft. Lauderdale FL,54
Chattanooga TN,54
Harlingen-Weslaco-Brownsville-McAllen TX,54
Sacramento-Stockton-Modesto CA,53
Lubbock TX,53
San Antonio TX,53
Macon GA,53
Richmond-Petersburg VA,53
New Orleans LA,53
Lake Charles LA,53
Fairbanks AK,52
Greensboro-High Point-Winston Salem NC,52
Columbia SC,52
Nashville TN,52
Savannah GA,52
Jacksonville FL,52
Baltimore MD,51
Memphis TN,51
Norfolk-Portsmouth-Newport News VA,51
Charleston SC,51
Jackson MS,51
Baton Rouge LA,51
Las Vegas NV,51
Mobile AL-Pensacola (Ft. Walton Beach) FL,50
Huntsville-Decatur (Florence) AL,50
Santa Barbara-Santa Maria-San Luis Obispo CA,50
Waco-Temple-Bryan TX,50
Portland OR,50
Albany GA,50
Dothan AL,49
Tulsa OK,49
Columbus-Tupelo-West Point MS,49
Houston TX,48
San Diego CA,48
Montgomery (Selma) AL,47
Monroe LA-El Dorado AR,47
Augusta GA,46
Tallahassee FL-Thomasville GA,44
Honolulu HI,44
Monterey-Salinas CA,43
San Francisco-Oakland-San Jose CA,43
Gainesville FL,42
Austin TX,41
Presque Isle ME,0
Alpena MI,0
Victoria TX,0
Greenwood-Greenville MS,0
Meridian MS,0
North Platte NE,0
Juneau AK,0
Helena MT,0
Glendive MT,0


Top cities for eminem
Town/City,eminem
Herndon,100
St. Louis,92
Columbus,86
Phoenix,85
New York,84
Philadelphia,82
Los Angeles,80
Richardson,80
Chicago,77
Tampa,76
Denver,75
Minneapolis,74
Dallas,74
Miami,74
Orlando,74



Top searches for eminem
eminem lyrics,100
lil wayne,65
not afraid,50
eminem not afraid,50
lose yourself eminem,35
lose yourself,35
rihanna,30
eminem rihanna,30
drake,30
eminem no love,25
beautiful,25
no love,25
eminem beautiful,25
new eminem,20
eminem space bound,20
till i collapse,20
50 cent,15
when im gone,15
eminem mockingbird,15
eminem freestyle,15
drop the world,15
doctor eminem,15
lighters,15
lighters eminem,15
eminem monster,15
superman eminem,15
nicki minaj,15
rap god,15
superman,15
eminem rap god,15
kanye west,15
eminem live,15
stan eminem,10
eminem ft rihanna,10
chris brown,10
justin bieber,10
eminem slim shady,10
wiz khalifa,10
bruno mars,10
eminem forever,10
slim shady,10
forever,10
eminem 2011,10
eminem 8 mile,10
8 mile,10
airplanes eminem,10
airplanes,10
eminem instrumental,10
berzerk eminem,10
rihanna and eminem,10



Rising searches for eminem
drake,Breakout
eminem no love,Breakout
eminem not afraid,Breakout
no love,Breakout
not afraid,Breakout
eminem lyrics,+1,500%
eminem rihanna,+1,300%
rihanna,+1,200%
beautiful,+1,050%
eminem beautiful,+1,050%



