YouTube Search interest: onerepublic
United States; Jan 2008 - Jul 2015

Interest over time
Week,onerepublic
2014-01-26 - 2014-02-01,66
2014-02-02 - 2014-02-08,73
2014-02-09 - 2014-02-15,65
2014-02-16 - 2014-02-22,60
2014-02-23 - 2014-03-01,55
2014-03-02 - 2014-03-08,52
2014-03-09 - 2014-03-15,49
2014-03-16 - 2014-03-22,46
2014-03-23 - 2014-03-29,42
2014-03-30 - 2014-04-05,40
2014-04-06 - 2014-04-12,40
2014-04-13 - 2014-04-19,39
2014-04-20 - 2014-04-26,36
2014-04-27 - 2014-05-03,37
2014-05-04 - 2014-05-10,33
2014-05-11 - 2014-05-17,35
2014-05-18 - 2014-05-24,39
2014-05-25 - 2014-05-31,38
2014-06-01 - 2014-06-07,42
2014-06-08 - 2014-06-14,44
2014-06-15 - 2014-06-21,41
2014-06-22 - 2014-06-28,43
2014-06-29 - 2014-07-05,43
2014-07-06 - 2014-07-12,41
2014-07-13 - 2014-07-19,39
2014-07-20 - 2014-07-26,35
2014-07-27 - 2014-08-02,38
2014-08-03 - 2014-08-09,44
2014-08-10 - 2014-08-16,45
2014-08-17 - 2014-08-23,45
2014-08-24 - 2014-08-30,37
2014-08-31 - 2014-09-06,38
2014-09-07 - 2014-09-13,34
2014-09-14 - 2014-09-20,34
2014-09-21 - 2014-09-27,36
2014-09-28 - 2014-10-04,33
2014-10-05 - 2014-10-11,33
2014-10-12 - 2014-10-18,27
2014-10-19 - 2014-10-25,27
2014-10-26 - 2014-11-01,25
2014-11-02 - 2014-11-08,26
2014-11-09 - 2014-11-15,21
2014-11-16 - 2014-11-22,21
2014-11-23 - 2014-11-29,22
2014-11-30 - 2014-12-06,21
2014-12-07 - 2014-12-13,22
2014-12-14 - 2014-12-20,24
2014-12-21 - 2014-12-27,22
2014-12-28 - 2015-01-03,22
2015-01-04 - 2015-01-10,22
2015-01-11 - 2015-01-17,23
2015-01-18 - 2015-01-24,22
2015-01-25 - 2015-01-31,21
2015-02-01 - 2015-02-07,20
2015-02-08 - 2015-02-14,21
2015-02-15 - 2015-02-21,18
2015-02-22 - 2015-02-28,19
2015-03-01 - 2015-03-07,18
2015-03-08 - 2015-03-14,16
2015-03-15 - 2015-03-21,15
2015-03-22 - 2015-03-28,16
2015-03-29 - 2015-04-04,16
2015-04-05 - 2015-04-11,15
2015-04-12 - 2015-04-18,17
2015-04-19 - 2015-04-25,15
2015-04-26 - 2015-05-02,15
2015-05-03 - 2015-05-09,17
2015-05-10 - 2015-05-16,15
2015-05-17 - 2015-05-23,16
2015-05-24 - 2015-05-30,17
2015-05-31 - 2015-06-06,16
2015-06-07 - 2015-06-13,15
2015-06-14 - 2015-06-20,11
2015-06-21 - 2015-06-27,12
2015-06-28 - 2015-07-04,12
2015-07-05 - 2015-07-11,12
2015-07-12 - 2015-07-18,13
2015-07-19 - 2015-07-25,12
2015-07-26 - 2015-08-01,12


Top sub-regions for onerepublic
Sub-region,onerepublic
Utah,100
Idaho,95
Montana,93
Iowa,85
Wisconsin,81
Minnesota,80
Wyoming,80
South Dakota,80
Colorado,79
North Dakota,78
Nebraska,74
Arizona,73
Michigan,73
Indiana,72
New Hampshire,70
Vermont,70
Pennsylvania,69
New Jersey,67
Illinois,67
Ohio,66
New Mexico,66
Massachusetts,65
Washington,64
Oklahoma,63
New York,63
Maine,63
Connecticut,62
California,62
Hawaii,62
Oregon,62
Missouri,61
Rhode Island,61
Nevada,60
Kansas,60
Florida,59
North Carolina,58
Kentucky,58
Maryland,58
West Virginia,58
Texas,56
Alaska,55
Tennessee,54
South Carolina,53
Arkansas,52
Delaware,52
Georgia,47
Alabama,46
Louisiana,41
Virginia,41
Mississippi,38
District of Columbia,29


Top metros for onerepublic
Metro,onerepublic
Salt Lake City UT,100
Minneapolis-St. Paul MN,71
Denver CO,65
Grand Rapids-Kalamazoo-Battle Creek MI,63
Indianapolis IN,63
Portland OR,62
Phoenix AZ,62
Fresno-Visalia CA,62
Milwaukee WI,62
Detroit MI,60
Cincinnati OH,59
Boston MA-Manchester NH,59
Albuquerque-Santa Fe NM,58
Hartford & New Haven CT,58
Chicago IL,58
New York NY,58
Harrisburg-Lancaster-Lebanon-York PA,57
Seattle-Tacoma WA,55
St. Louis MO,55
Oklahoma City OK,53
Greenville-Spartanburg SC-Asheville NC-Anderson SC,53
Orlando-Daytona Beach-Melbourne FL,53
San Diego CA,53
Sacramento-Stockton-Modesto CA,52
Tampa-St. Petersburg (Sarasota) FL,52
Pittsburgh PA,51
Philadelphia PA,51
Columbus OH,51
Honolulu HI,50
Los Angeles CA,49
Nashville TN,49
Houston TX,47
Austin TX,46
Charlotte NC,45
Cleveland-Akron (Canton) OH,45
Las Vegas NV,45
Kansas City MO,44
Raleigh-Durham (Fayetteville) NC,44
San Antonio TX,43
Baltimore MD,43
Dallas-Ft. Worth TX,42
Miami-Ft. Lauderdale FL,42
San Francisco-Oakland-San Jose CA,41
Atlanta GA,40
Washington DC (Hagerstown MD),34
Portland-Auburn ME,0
Binghamton NY,0
Macon GA,0
Savannah GA,0
Ft. Wayne IN,0
Flint-Saginaw-Bay City MI,0
Buffalo NY,0
Erie PA,0
Greensboro-High Point-Winston Salem NC,0
Charleston SC,0
Augusta GA,0
Providence RI-New Bedford MA,0
Columbus GA,0
Burlington VT-Plattsburgh NY,0
Albany GA,0
Utica NY,0
Louisville KY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Albany-Schenectady-Troy NY,0
Youngstown OH,0
Bangor ME,0
Rochester NY,0
Traverse City-Cadillac MI,0
Lexington KY,0
Dayton OH,0
Springfield-Holyoke MA,0
Norfolk-Portsmouth-Newport News VA,0
Greenville-New Bern-Washington NC,0
Columbia SC,0
Toledo OH,0
West Palm Beach-Ft. Pierce FL,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Syracuse NY,0
Richmond-Petersburg VA,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Jacksonville FL,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Roanoke-Lynchburg VA,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Wilkes Barre-Scranton PA,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Springfield MO,0
New Orleans LA,0
Sioux City IA,0
Waco-Temple-Bryan TX,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Birmingham AL,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Memphis TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Lubbock TX,0
Omaha NE,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Madison WI,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Tulsa OK,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Wichita-Hutchinson KS,0
Des Moines-Ames IA,0
Davenport IA-Rock Island-Moline IL,0
Mobile AL-Pensacola (Ft. Walton Beach) FL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Little Rock-Pine Bluff AR,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Colorado Springs-Pueblo CO,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Tucson (Sierra Vista) AZ,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for onerepublic
Town/City,onerepublic
San Jose,100
Denver,79
New York,77
San Diego,73
Phoenix,67
San Antonio,64
Portland,64
Houston,63
Minneapolis,62
Boston,59
Los Angeles,59
Austin,57
Philadelphia,55
Chicago,53
Seattle,53



Top searches for onerepublic
onerepublic stars,100
onerepublic counting stars,100
counting stars,95
counting stars lyrics,30
good life,30
onerepublic good life,25
one republic,20
onerepublic feel again,20
feel again,20
lose myself onerepublic,15
love runs out,10
i lived onerepublic,10
onerepublic secrets,10
the good life,5
imagine dragons,5
secrets,5
onerepublic say,5
apologize,5
apologize onerepublic,5
come home onerepublic,5
come home,5
stop and stare,5
onerepublic live,5
one republic secrets,5
imagine dragons demons,5
timber,5
one republic apologize,5
onerepublic native,0
marching on onerepublic,0
preacher onerepublic,0
all this time,0
marchin on onerepublic,0
counting stars cover,0
timber pitbull kesha,0
monster eminem,0



Rising searches for onerepublic
counting stars,Breakout
counting stars lyrics,Breakout
feel again,Breakout
good life,Breakout
i lived onerepublic,Breakout
imagine dragons,Breakout
lose myself onerepublic,Breakout
love runs out,Breakout
onerepublic counting stars,Breakout
onerepublic feel again,Breakout



