YouTube Search interest: calvin harris
United States; Jan 2008 - Jul 2015

Interest over time
Week,calvin harris
2009-03-22 - 2009-03-28,1
2009-03-29 - 2009-04-04,2
2009-04-05 - 2009-04-11,1
2009-04-12 - 2009-04-18,1
2009-04-19 - 2009-04-25,2
2009-04-26 - 2009-05-02,1
2009-05-03 - 2009-05-09,1
2009-05-10 - 2009-05-16,2
2009-05-17 - 2009-05-23,2
2009-05-24 - 2009-05-30,2
2009-05-31 - 2009-06-06,1
2009-06-07 - 2009-06-13,1
2009-06-14 - 2009-06-20,1
2009-06-21 - 2009-06-27,1
2009-06-28 - 2009-07-04,1
2009-07-05 - 2009-07-11,1
2009-07-12 - 2009-07-18,1
2009-07-19 - 2009-07-25,1
2009-07-26 - 2009-08-01,2
2009-08-02 - 2009-08-08,1
2009-08-09 - 2009-08-15,3
2009-08-16 - 2009-08-22,3
2009-08-23 - 2009-08-29,2
2009-08-30 - 2009-09-05,2
2009-09-06 - 2009-09-12,2
2009-09-13 - 2009-09-19,2
2009-09-20 - 2009-09-26,2
2009-09-27 - 2009-10-03,2
2009-10-04 - 2009-10-10,2
2009-10-11 - 2009-10-17,3
2009-10-18 - 2009-10-24,3
2009-10-25 - 2009-10-31,2
2009-11-01 - 2009-11-07,3
2009-11-08 - 2009-11-14,3
2009-11-15 - 2009-11-21,3
2009-11-22 - 2009-11-28,3
2009-11-29 - 2009-12-05,3
2009-12-06 - 2009-12-12,3
2009-12-13 - 2009-12-19,2
2009-12-20 - 2009-12-26,2
2009-12-27 - 2010-01-02,2
2010-01-03 - 2010-01-09,2
2010-01-10 - 2010-01-16,3
2010-01-17 - 2010-01-23,3
2010-01-24 - 2010-01-30,3
2010-01-31 - 2010-02-06,4
2010-02-07 - 2010-02-13,3
2010-02-14 - 2010-02-20,3
2010-02-21 - 2010-02-27,4
2010-02-28 - 2010-03-06,4
2010-03-07 - 2010-03-13,3
2010-03-14 - 2010-03-20,3
2010-03-21 - 2010-03-27,3
2010-03-28 - 2010-04-03,3
2010-04-04 - 2010-04-10,3
2010-04-11 - 2010-04-17,4
2010-04-18 - 2010-04-24,3
2010-04-25 - 2010-05-01,2
2010-05-02 - 2010-05-08,4
2010-05-09 - 2010-05-15,3
2010-05-16 - 2010-05-22,3
2010-05-23 - 2010-05-29,2
2010-05-30 - 2010-06-05,3
2010-06-06 - 2010-06-12,3
2010-06-13 - 2010-06-19,2
2010-06-20 - 2010-06-26,3
2010-06-27 - 2010-07-03,3
2010-07-04 - 2010-07-10,3
2010-07-11 - 2010-07-17,2
2010-07-18 - 2010-07-24,3
2010-07-25 - 2010-07-31,2
2010-08-01 - 2010-08-07,2
2010-08-08 - 2010-08-14,2
2010-08-15 - 2010-08-21,2
2010-08-22 - 2010-08-28,3
2010-08-29 - 2010-09-04,3
2010-09-05 - 2010-09-11,3
2010-09-12 - 2010-09-18,2
2010-09-19 - 2010-09-25,3
2010-09-26 - 2010-10-02,3
2010-10-03 - 2010-10-09,4
2010-10-10 - 2010-10-16,4
2010-10-17 - 2010-10-23,4
2010-10-24 - 2010-10-30,4
2010-10-31 - 2010-11-06,5
2010-11-07 - 2010-11-13,4
2010-11-14 - 2010-11-20,3
2010-11-21 - 2010-11-27,3
2010-11-28 - 2010-12-04,3
2010-12-05 - 2010-12-11,3
2010-12-12 - 2010-12-18,3
2010-12-19 - 2010-12-25,3
2010-12-26 - 2011-01-01,3
2011-01-02 - 2011-01-08,3
2011-01-09 - 2011-01-15,3
2011-01-16 - 2011-01-22,3
2011-01-23 - 2011-01-29,3
2011-01-30 - 2011-02-05,3
2011-02-06 - 2011-02-12,3
2011-02-13 - 2011-02-19,3
2011-02-20 - 2011-02-26,3
2011-02-27 - 2011-03-05,4
2011-03-06 - 2011-03-12,4
2011-03-13 - 2011-03-19,3
2011-03-20 - 2011-03-26,5
2011-03-27 - 2011-04-02,4
2011-04-03 - 2011-04-09,4
2011-04-10 - 2011-04-16,3
2011-04-17 - 2011-04-23,3
2011-04-24 - 2011-04-30,4
2011-05-01 - 2011-05-07,5
2011-05-08 - 2011-05-14,4
2011-05-15 - 2011-05-21,6
2011-05-22 - 2011-05-28,8
2011-05-29 - 2011-06-04,6
2011-06-05 - 2011-06-11,5
2011-06-12 - 2011-06-18,6
2011-06-19 - 2011-06-25,7
2011-06-26 - 2011-07-02,7
2011-07-03 - 2011-07-09,7
2011-07-10 - 2011-07-16,8
2011-07-17 - 2011-07-23,11
2011-07-24 - 2011-07-30,9
2011-07-31 - 2011-08-06,9
2011-08-07 - 2011-08-13,11
2011-08-14 - 2011-08-20,10
2011-08-21 - 2011-08-27,10
2011-08-28 - 2011-09-03,11
2011-09-04 - 2011-09-10,13
2011-09-11 - 2011-09-17,13
2011-09-18 - 2011-09-24,23
2011-09-25 - 2011-10-01,39
2011-10-02 - 2011-10-08,37
2011-10-09 - 2011-10-15,56
2011-10-16 - 2011-10-22,100
2011-10-23 - 2011-10-29,78
2011-10-30 - 2011-11-05,49
2011-11-06 - 2011-11-12,64
2011-11-13 - 2011-11-19,67
2011-11-20 - 2011-11-26,74
2011-11-27 - 2011-12-03,69
2011-12-04 - 2011-12-10,57
2011-12-11 - 2011-12-17,54
2011-12-18 - 2011-12-24,46
2011-12-25 - 2011-12-31,44
2012-01-01 - 2012-01-07,39
2012-01-08 - 2012-01-14,37
2012-01-15 - 2012-01-21,38
2012-01-22 - 2012-01-28,34
2012-01-29 - 2012-02-04,34
2012-02-05 - 2012-02-11,31
2012-02-12 - 2012-02-18,36
2012-02-19 - 2012-02-25,41
2012-02-26 - 2012-03-03,50
2012-03-04 - 2012-03-10,59
2012-03-11 - 2012-03-17,72
2012-03-18 - 2012-03-24,76
2012-03-25 - 2012-03-31,75
2012-04-01 - 2012-04-07,71
2012-04-08 - 2012-04-14,67
2012-04-15 - 2012-04-21,70
2012-04-22 - 2012-04-28,82
2012-04-29 - 2012-05-05,74
2012-05-06 - 2012-05-12,71
2012-05-13 - 2012-05-19,59
2012-05-20 - 2012-05-26,61
2012-05-27 - 2012-06-02,54
2012-06-03 - 2012-06-09,52
2012-06-10 - 2012-06-16,59
2012-06-17 - 2012-06-23,54
2012-06-24 - 2012-06-30,49
2012-07-01 - 2012-07-07,47
2012-07-08 - 2012-07-14,46
2012-07-15 - 2012-07-21,42
2012-07-22 - 2012-07-28,41
2012-07-29 - 2012-08-04,42
2012-08-05 - 2012-08-11,31
2012-08-12 - 2012-08-18,25
2012-08-19 - 2012-08-25,25
2012-08-26 - 2012-09-01,28
2012-09-02 - 2012-09-08,31
2012-09-09 - 2012-09-15,31
2012-09-16 - 2012-09-22,31
2012-09-23 - 2012-09-29,36
2012-09-30 - 2012-10-06,29
2012-10-07 - 2012-10-13,29
2012-10-14 - 2012-10-20,30
2012-10-21 - 2012-10-27,28
2012-10-28 - 2012-11-03,32
2012-11-04 - 2012-11-10,32
2012-11-11 - 2012-11-17,32
2012-11-18 - 2012-11-24,33
2012-11-25 - 2012-12-01,38
2012-12-02 - 2012-12-08,44
2012-12-09 - 2012-12-15,47
2012-12-16 - 2012-12-22,51
2012-12-23 - 2012-12-29,54
2012-12-30 - 2013-01-05,52
2013-01-06 - 2013-01-12,55
2013-01-13 - 2013-01-19,56
2013-01-20 - 2013-01-26,55
2013-01-27 - 2013-02-02,57
2013-02-03 - 2013-02-09,59
2013-02-10 - 2013-02-16,54
2013-02-17 - 2013-02-23,49
2013-02-24 - 2013-03-02,47
2013-03-03 - 2013-03-09,49
2013-03-10 - 2013-03-16,45
2013-03-17 - 2013-03-23,44
2013-03-24 - 2013-03-30,45
2013-03-31 - 2013-04-06,43
2013-04-07 - 2013-04-13,41
2013-04-14 - 2013-04-20,48
2013-04-21 - 2013-04-27,50
2013-04-28 - 2013-05-04,44
2013-05-05 - 2013-05-11,45
2013-05-12 - 2013-05-18,46
2013-05-19 - 2013-05-25,45
2013-05-26 - 2013-06-01,46
2013-06-02 - 2013-06-08,47
2013-06-09 - 2013-06-15,44
2013-06-16 - 2013-06-22,47
2013-06-23 - 2013-06-29,47
2013-06-30 - 2013-07-06,45
2013-07-07 - 2013-07-13,48
2013-07-14 - 2013-07-20,50
2013-07-21 - 2013-07-27,39
2013-07-28 - 2013-08-03,42
2013-08-04 - 2013-08-10,43
2013-08-11 - 2013-08-17,43
2013-08-18 - 2013-08-24,43
2013-08-25 - 2013-08-31,39
2013-09-01 - 2013-09-07,39
2013-09-08 - 2013-09-14,35
2013-09-15 - 2013-09-21,36
2013-09-22 - 2013-09-28,30
2013-09-29 - 2013-10-05,32
2013-10-06 - 2013-10-12,28
2013-10-13 - 2013-10-19,25
2013-10-20 - 2013-10-26,30
2013-10-27 - 2013-11-02,29
2013-11-03 - 2013-11-09,24
2013-11-10 - 2013-11-16,25
2013-11-17 - 2013-11-23,24
2013-11-24 - 2013-11-30,25
2013-12-01 - 2013-12-07,26
2013-12-08 - 2013-12-14,25
2013-12-15 - 2013-12-21,25
2013-12-22 - 2013-12-28,26
2013-12-29 - 2014-01-04,28
2014-01-05 - 2014-01-11,27
2014-01-12 - 2014-01-18,26
2014-01-19 - 2014-01-25,25
2014-01-26 - 2014-02-01,27
2014-02-02 - 2014-02-08,26
2014-02-09 - 2014-02-15,24
2014-02-16 - 2014-02-22,24
2014-02-23 - 2014-03-01,24
2014-03-02 - 2014-03-08,20
2014-03-09 - 2014-03-15,23
2014-03-16 - 2014-03-22,30
2014-03-23 - 2014-03-29,32
2014-03-30 - 2014-04-05,34
2014-04-06 - 2014-04-12,43
2014-04-13 - 2014-04-19,49
2014-04-20 - 2014-04-26,53
2014-04-27 - 2014-05-03,54
2014-05-04 - 2014-05-10,57
2014-05-11 - 2014-05-17,62
2014-05-18 - 2014-05-24,66
2014-05-25 - 2014-05-31,71
2014-06-01 - 2014-06-07,72
2014-06-08 - 2014-06-14,72
2014-06-15 - 2014-06-21,60
2014-06-22 - 2014-06-28,68
2014-06-29 - 2014-07-05,64
2014-07-06 - 2014-07-12,58
2014-07-13 - 2014-07-19,55
2014-07-20 - 2014-07-26,50
2014-07-27 - 2014-08-02,46
2014-08-03 - 2014-08-09,48
2014-08-10 - 2014-08-16,39
2014-08-17 - 2014-08-23,39
2014-08-24 - 2014-08-30,33
2014-08-31 - 2014-09-06,36
2014-09-07 - 2014-09-13,47
2014-09-14 - 2014-09-20,46
2014-09-21 - 2014-09-27,46
2014-09-28 - 2014-10-04,46
2014-10-05 - 2014-10-11,49
2014-10-12 - 2014-10-18,49
2014-10-19 - 2014-10-25,61
2014-10-26 - 2014-11-01,64
2014-11-02 - 2014-11-08,62
2014-11-09 - 2014-11-15,61
2014-11-16 - 2014-11-22,53
2014-11-23 - 2014-11-29,49
2014-11-30 - 2014-12-06,46
2014-12-07 - 2014-12-13,46
2014-12-14 - 2014-12-20,44
2014-12-21 - 2014-12-27,40
2014-12-28 - 2015-01-03,37
2015-01-04 - 2015-01-10,39
2015-01-11 - 2015-01-17,41
2015-01-18 - 2015-01-24,41
2015-01-25 - 2015-01-31,41
2015-02-01 - 2015-02-07,39
2015-02-08 - 2015-02-14,43
2015-02-15 - 2015-02-21,40
2015-02-22 - 2015-02-28,42
2015-03-01 - 2015-03-07,39
2015-03-08 - 2015-03-14,40
2015-03-15 - 2015-03-21,39
2015-03-22 - 2015-03-28,41
2015-03-29 - 2015-04-04,49
2015-04-05 - 2015-04-11,39
2015-04-12 - 2015-04-18,37
2015-04-19 - 2015-04-25,35
2015-04-26 - 2015-05-02,33
2015-05-03 - 2015-05-09,33
2015-05-10 - 2015-05-16,32
2015-05-17 - 2015-05-23,38
2015-05-24 - 2015-05-30,31
2015-05-31 - 2015-06-06,30
2015-06-07 - 2015-06-13,30
2015-06-14 - 2015-06-20,29
2015-06-21 - 2015-06-27,31
2015-06-28 - 2015-07-04,25
2015-07-05 - 2015-07-11,26
2015-07-12 - 2015-07-18,25
2015-07-19 - 2015-07-25,26
2015-07-26 - 2015-08-01,25


Top sub-regions for calvin harris
Sub-region,calvin harris
New York,100
California,96
New Jersey,95
Florida,92
Illinois,88
Massachusetts,87
Nevada,86
Rhode Island,84
Connecticut,82
Arizona,82
New Hampshire,80
Montana,79
New Mexico,78
Colorado,77
Pennsylvania,76
Vermont,75
Wisconsin,74
Hawaii,73
Delaware,73
Maryland,72
Utah,71
North Dakota,70
Maine,69
Idaho,69
Minnesota,68
Texas,68
Michigan,67
Iowa,67
Washington,65
Indiana,62
Oregon,61
Wyoming,60
South Dakota,59
Ohio,56
Kansas,55
North Carolina,54
Nebraska,53
West Virginia,52
South Carolina,50
District of Columbia,49
Missouri,49
Georgia,48
Oklahoma,47
Alaska,45
Louisiana,43
Tennessee,41
Alabama,41
Kentucky,41
Virginia,40
Arkansas,39
Mississippi,33


Top metros for calvin harris
Metro,calvin harris
Santa Barbara-Santa Maria-San Luis Obispo CA,100
El Paso TX,98
Los Angeles CA,95
Miami-Ft. Lauderdale FL,95
Harlingen-Weslaco-Brownsville-McAllen TX,94
New York NY,86
San Diego CA,85
Boston MA-Manchester NH,77
Chicago IL,77
West Palm Beach-Ft. Pierce FL,73
Tucson (Sierra Vista) AZ,73
Denver CO,72
Las Vegas NV,72
Burlington VT-Plattsburgh NY,71
Phoenix AZ,70
Springfield-Holyoke MA,70
Syracuse NY,69
Portland-Auburn ME,68
Hartford & New Haven CT,67
Albuquerque-Santa Fe NM,64
Buffalo NY,64
Orlando-Daytona Beach-Melbourne FL,62
Fresno-Visalia CA,62
Providence RI-New Bedford MA,62
Madison WI,61
Spokane WA,61
Albany-Schenectady-Troy NY,60
Harrisburg-Lancaster-Lebanon-York PA,60
Milwaukee WI,60
Philadelphia PA,59
San Antonio TX,59
Salt Lake City UT,59
Honolulu HI,58
Minneapolis-St. Paul MN,57
Grand Rapids-Kalamazoo-Battle Creek MI,57
Pittsburgh PA,56
Detroit MI,55
Sacramento-Stockton-Modesto CA,55
Baltimore MD,54
Seattle-Tacoma WA,53
Rochester NY,53
Austin TX,52
Tampa-St. Petersburg (Sarasota) FL,52
Wilkes Barre-Scranton PA,52
Houston TX,51
Portland OR,48
Jacksonville FL,48
San Francisco-Oakland-San Jose CA,47
Raleigh-Durham (Fayetteville) NC,47
Norfolk-Portsmouth-Newport News VA,46
Indianapolis IN,45
Columbus OH,45
Atlanta GA,45
Cincinnati OH,45
Cleveland-Akron (Canton) OH,44
Dallas-Ft. Worth TX,43
Charlotte NC,43
St. Louis MO,41
Nashville TN,41
Greensboro-High Point-Winston Salem NC,40
Oklahoma City OK,39
Greenville-Spartanburg SC-Asheville NC-Anderson SC,38
Washington DC (Hagerstown MD),38
Kansas City MO,34
Binghamton NY,0
Macon GA,0
Savannah GA,0
Ft. Wayne IN,0
Flint-Saginaw-Bay City MI,0
Erie PA,0
Charleston SC,0
Augusta GA,0
Columbus GA,0
Albany GA,0
Utica NY,0
Louisville KY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Youngstown OH,0
Bangor ME,0
Traverse City-Cadillac MI,0
Lexington KY,0
Dayton OH,0
Greenville-New Bern-Washington NC,0
Columbia SC,0
Toledo OH,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Richmond-Petersburg VA,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Roanoke-Lynchburg VA,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Springfield MO,0
New Orleans LA,0
Sioux City IA,0
Waco-Temple-Bryan TX,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Birmingham AL,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Memphis TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Lubbock TX,0
Omaha NE,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Tulsa OK,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Wichita-Hutchinson KS,0
Des Moines-Ames IA,0
Davenport IA-Rock Island-Moline IL,0
Mobile AL-Pensacola (Ft. Walton Beach) FL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Little Rock-Pine Bluff AR,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Colorado Springs-Pueblo CO,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Chico-Redding CA,0


Top cities for calvin harris
Town/City,calvin harris
El Paso,100
New York,70
San Diego,65
San Jose,62
Los Angeles,61
Boston,56
Miami,50
Las Vegas,50
Denver,46
Chicago,46
San Francisco,44
San Antonio,43
Houston,42
Philadelphia,42
Austin,40



Top searches for calvin harris
feel so close,100
rihanna,80
rihanna calvin harris,80
we found love,70
sweet nothing,60
summer calvin harris,55
summer,55
ellie goulding,45
calvin harris remix,40
blame calvin harris,20
bounce calvin harris,20
bounce,20
close to you,15
david guetta,15
calvin harris outside,15
avicii,15
flashback calvin harris,10
calvin harris live,10
calvin harris mix,5
zedd,5
calvin harris girls,5
afrojack,5
swedish house mafia,5
calvin harris awooga,5
spectrum calvin harris,5
steve aoki,5
clarity zedd,5
avicii levels,5



Rising searches for calvin harris
blame calvin harris,Breakout
bounce,Breakout
bounce calvin harris,Breakout
calvin harris remix,Breakout
close to you,Breakout
david guetta,Breakout
ellie goulding,Breakout
feel so close,Breakout
rihanna,Breakout
rihanna calvin harris,Breakout



