YouTube Search interest: waka flocka flame
United States; Jan 2008 - Jul 2015

Interest over time
Week,waka flocka flame
2009-03-22 - 2009-03-28,0
2009-03-29 - 2009-04-04,3
2009-04-05 - 2009-04-11,4
2009-04-12 - 2009-04-18,3
2009-04-19 - 2009-04-25,3
2009-04-26 - 2009-05-02,4
2009-05-03 - 2009-05-09,4
2009-05-10 - 2009-05-16,5
2009-05-17 - 2009-05-23,3
2009-05-24 - 2009-05-30,5
2009-05-31 - 2009-06-06,3
2009-06-07 - 2009-06-13,5
2009-06-14 - 2009-06-20,7
2009-06-21 - 2009-06-27,8
2009-06-28 - 2009-07-04,6
2009-07-05 - 2009-07-11,4
2009-07-12 - 2009-07-18,6
2009-07-19 - 2009-07-25,7
2009-07-26 - 2009-08-01,10
2009-08-02 - 2009-08-08,10
2009-08-09 - 2009-08-15,7
2009-08-16 - 2009-08-22,9
2009-08-23 - 2009-08-29,15
2009-08-30 - 2009-09-05,14
2009-09-06 - 2009-09-12,15
2009-09-13 - 2009-09-19,18
2009-09-20 - 2009-09-26,20
2009-09-27 - 2009-10-03,18
2009-10-04 - 2009-10-10,22
2009-10-11 - 2009-10-17,24
2009-10-18 - 2009-10-24,30
2009-10-25 - 2009-10-31,30
2009-11-01 - 2009-11-07,26
2009-11-08 - 2009-11-14,28
2009-11-15 - 2009-11-21,27
2009-11-22 - 2009-11-28,28
2009-11-29 - 2009-12-05,29
2009-12-06 - 2009-12-12,30
2009-12-13 - 2009-12-19,32
2009-12-20 - 2009-12-26,35
2009-12-27 - 2010-01-02,37
2010-01-03 - 2010-01-09,36
2010-01-10 - 2010-01-16,38
2010-01-17 - 2010-01-23,50
2010-01-24 - 2010-01-30,55
2010-01-31 - 2010-02-06,50
2010-02-07 - 2010-02-13,43
2010-02-14 - 2010-02-20,52
2010-02-21 - 2010-02-27,53
2010-02-28 - 2010-03-06,65
2010-03-07 - 2010-03-13,54
2010-03-14 - 2010-03-20,56
2010-03-21 - 2010-03-27,60
2010-03-28 - 2010-04-03,57
2010-04-04 - 2010-04-10,56
2010-04-11 - 2010-04-17,64
2010-04-18 - 2010-04-24,59
2010-04-25 - 2010-05-01,64
2010-05-02 - 2010-05-08,64
2010-05-09 - 2010-05-15,60
2010-05-16 - 2010-05-22,74
2010-05-23 - 2010-05-29,73
2010-05-30 - 2010-06-05,66
2010-06-06 - 2010-06-12,68
2010-06-13 - 2010-06-19,71
2010-06-20 - 2010-06-26,71
2010-06-27 - 2010-07-03,76
2010-07-04 - 2010-07-10,72
2010-07-11 - 2010-07-17,79
2010-07-18 - 2010-07-24,100
2010-07-25 - 2010-07-31,89
2010-08-01 - 2010-08-07,79
2010-08-08 - 2010-08-14,91
2010-08-15 - 2010-08-21,82
2010-08-22 - 2010-08-28,81
2010-08-29 - 2010-09-04,78
2010-09-05 - 2010-09-11,84
2010-09-12 - 2010-09-18,77
2010-09-19 - 2010-09-25,87
2010-09-26 - 2010-10-02,82
2010-10-03 - 2010-10-09,93
2010-10-10 - 2010-10-16,77
2010-10-17 - 2010-10-23,84
2010-10-24 - 2010-10-30,82
2010-10-31 - 2010-11-06,88
2010-11-07 - 2010-11-13,86
2010-11-14 - 2010-11-20,81
2010-11-21 - 2010-11-27,89
2010-11-28 - 2010-12-04,83
2010-12-05 - 2010-12-11,76
2010-12-12 - 2010-12-18,81
2010-12-19 - 2010-12-25,84
2010-12-26 - 2011-01-01,75
2011-01-02 - 2011-01-08,83
2011-01-09 - 2011-01-15,90
2011-01-16 - 2011-01-22,86
2011-01-23 - 2011-01-29,89
2011-01-30 - 2011-02-05,80
2011-02-06 - 2011-02-12,76
2011-02-13 - 2011-02-19,83
2011-02-20 - 2011-02-26,82
2011-02-27 - 2011-03-05,87
2011-03-06 - 2011-03-12,86
2011-03-13 - 2011-03-19,79
2011-03-20 - 2011-03-26,84
2011-03-27 - 2011-04-02,85
2011-04-03 - 2011-04-09,75
2011-04-10 - 2011-04-16,81
2011-04-17 - 2011-04-23,72
2011-04-24 - 2011-04-30,65
2011-05-01 - 2011-05-07,65
2011-05-08 - 2011-05-14,59
2011-05-15 - 2011-05-21,63
2011-05-22 - 2011-05-28,57
2011-05-29 - 2011-06-04,50
2011-06-05 - 2011-06-11,51
2011-06-12 - 2011-06-18,46
2011-06-19 - 2011-06-25,42
2011-06-26 - 2011-07-02,41
2011-07-03 - 2011-07-09,39
2011-07-10 - 2011-07-16,42
2011-07-17 - 2011-07-23,46
2011-07-24 - 2011-07-30,49
2011-07-31 - 2011-08-06,51
2011-08-07 - 2011-08-13,50
2011-08-14 - 2011-08-20,46
2011-08-21 - 2011-08-27,44
2011-08-28 - 2011-09-03,44
2011-09-04 - 2011-09-10,45
2011-09-11 - 2011-09-17,49
2011-09-18 - 2011-09-24,45
2011-09-25 - 2011-10-01,50
2011-10-02 - 2011-10-08,48
2011-10-09 - 2011-10-15,46
2011-10-16 - 2011-10-22,51
2011-10-23 - 2011-10-29,50
2011-10-30 - 2011-11-05,53
2011-11-06 - 2011-11-12,53
2011-11-13 - 2011-11-19,56
2011-11-20 - 2011-11-26,59
2011-11-27 - 2011-12-03,49
2011-12-04 - 2011-12-10,54
2011-12-11 - 2011-12-17,59
2011-12-18 - 2011-12-24,78
2011-12-25 - 2011-12-31,74
2012-01-01 - 2012-01-07,68
2012-01-08 - 2012-01-14,58
2012-01-15 - 2012-01-21,48
2012-01-22 - 2012-01-28,44
2012-01-29 - 2012-02-04,44
2012-02-05 - 2012-02-11,37
2012-02-12 - 2012-02-18,42
2012-02-19 - 2012-02-25,36
2012-02-26 - 2012-03-03,39
2012-03-04 - 2012-03-10,40
2012-03-11 - 2012-03-17,39
2012-03-18 - 2012-03-24,36
2012-03-25 - 2012-03-31,38
2012-04-01 - 2012-04-07,36
2012-04-08 - 2012-04-14,30
2012-04-15 - 2012-04-21,33
2012-04-22 - 2012-04-28,28
2012-04-29 - 2012-05-05,30
2012-05-06 - 2012-05-12,29
2012-05-13 - 2012-05-19,31
2012-05-20 - 2012-05-26,34
2012-05-27 - 2012-06-02,34
2012-06-03 - 2012-06-09,58
2012-06-10 - 2012-06-16,57
2012-06-17 - 2012-06-23,50
2012-06-24 - 2012-06-30,36
2012-07-01 - 2012-07-07,37
2012-07-08 - 2012-07-14,40
2012-07-15 - 2012-07-21,39
2012-07-22 - 2012-07-28,40
2012-07-29 - 2012-08-04,46
2012-08-05 - 2012-08-11,42
2012-08-12 - 2012-08-18,44
2012-08-19 - 2012-08-25,41
2012-08-26 - 2012-09-01,54
2012-09-02 - 2012-09-08,64
2012-09-09 - 2012-09-15,53
2012-09-16 - 2012-09-22,49
2012-09-23 - 2012-09-29,45
2012-09-30 - 2012-10-06,38
2012-10-07 - 2012-10-13,37
2012-10-14 - 2012-10-20,34
2012-10-21 - 2012-10-27,33
2012-10-28 - 2012-11-03,33
2012-11-04 - 2012-11-10,30
2012-11-11 - 2012-11-17,27
2012-11-18 - 2012-11-24,22
2012-11-25 - 2012-12-01,20
2012-12-02 - 2012-12-08,23
2012-12-09 - 2012-12-15,20
2012-12-16 - 2012-12-22,14
2012-12-23 - 2012-12-29,16
2012-12-30 - 2013-01-05,17
2013-01-06 - 2013-01-12,15
2013-01-13 - 2013-01-19,16
2013-01-20 - 2013-01-26,13
2013-01-27 - 2013-02-02,12
2013-02-03 - 2013-02-09,23
2013-02-10 - 2013-02-16,14
2013-02-17 - 2013-02-23,16
2013-02-24 - 2013-03-02,18
2013-03-03 - 2013-03-09,14
2013-03-10 - 2013-03-16,15
2013-03-17 - 2013-03-23,16
2013-03-24 - 2013-03-30,16
2013-03-31 - 2013-04-06,12
2013-04-07 - 2013-04-13,13
2013-04-14 - 2013-04-20,11
2013-04-21 - 2013-04-27,10
2013-04-28 - 2013-05-04,10
2013-05-05 - 2013-05-11,12
2013-05-12 - 2013-05-18,13
2013-05-19 - 2013-05-25,15
2013-05-26 - 2013-06-01,12
2013-06-02 - 2013-06-08,13
2013-06-09 - 2013-06-15,10
2013-06-16 - 2013-06-22,15
2013-06-23 - 2013-06-29,12
2013-06-30 - 2013-07-06,15
2013-07-07 - 2013-07-13,13
2013-07-14 - 2013-07-20,11
2013-07-21 - 2013-07-27,11
2013-07-28 - 2013-08-03,12
2013-08-04 - 2013-08-10,12
2013-08-11 - 2013-08-17,13
2013-08-18 - 2013-08-24,12
2013-08-25 - 2013-08-31,13
2013-09-01 - 2013-09-07,10
2013-09-08 - 2013-09-14,10
2013-09-15 - 2013-09-21,10
2013-09-22 - 2013-09-28,13
2013-09-29 - 2013-10-05,12
2013-10-06 - 2013-10-12,11
2013-10-13 - 2013-10-19,14
2013-10-20 - 2013-10-26,9
2013-10-27 - 2013-11-02,11
2013-11-03 - 2013-11-09,12
2013-11-10 - 2013-11-16,10
2013-11-17 - 2013-11-23,9
2013-11-24 - 2013-11-30,9
2013-12-01 - 2013-12-07,8
2013-12-08 - 2013-12-14,10
2013-12-15 - 2013-12-21,8
2013-12-22 - 2013-12-28,8
2013-12-29 - 2014-01-04,7
2014-01-05 - 2014-01-11,8
2014-01-12 - 2014-01-18,9
2014-01-19 - 2014-01-25,9
2014-01-26 - 2014-02-01,9
2014-02-02 - 2014-02-08,9
2014-02-09 - 2014-02-15,8
2014-02-16 - 2014-02-22,9
2014-02-23 - 2014-03-01,12
2014-03-02 - 2014-03-08,9
2014-03-09 - 2014-03-15,11
2014-03-16 - 2014-03-22,9
2014-03-23 - 2014-03-29,11
2014-03-30 - 2014-04-05,9
2014-04-06 - 2014-04-12,12
2014-04-13 - 2014-04-19,8
2014-04-20 - 2014-04-26,9
2014-04-27 - 2014-05-03,13
2014-05-04 - 2014-05-10,9
2014-05-11 - 2014-05-17,9
2014-05-18 - 2014-05-24,8
2014-05-25 - 2014-05-31,8
2014-06-01 - 2014-06-07,11
2014-06-08 - 2014-06-14,9
2014-06-15 - 2014-06-21,6
2014-06-22 - 2014-06-28,8
2014-06-29 - 2014-07-05,9
2014-07-06 - 2014-07-12,9
2014-07-13 - 2014-07-19,7
2014-07-20 - 2014-07-26,8
2014-07-27 - 2014-08-02,7
2014-08-03 - 2014-08-09,9
2014-08-10 - 2014-08-16,6
2014-08-17 - 2014-08-23,9
2014-08-24 - 2014-08-30,8
2014-08-31 - 2014-09-06,8
2014-09-07 - 2014-09-13,11
2014-09-14 - 2014-09-20,9
2014-09-21 - 2014-09-27,10
2014-09-28 - 2014-10-04,9
2014-10-05 - 2014-10-11,9
2014-10-12 - 2014-10-18,6
2014-10-19 - 2014-10-25,8
2014-10-26 - 2014-11-01,8
2014-11-02 - 2014-11-08,7
2014-11-09 - 2014-11-15,9
2014-11-16 - 2014-11-22,5
2014-11-23 - 2014-11-29,8
2014-11-30 - 2014-12-06,7
2014-12-07 - 2014-12-13,7
2014-12-14 - 2014-12-20,6
2014-12-21 - 2014-12-27,4
2014-12-28 - 2015-01-03,5
2015-01-04 - 2015-01-10,5
2015-01-11 - 2015-01-17,6
2015-01-18 - 2015-01-24,8
2015-01-25 - 2015-01-31,7
2015-02-01 - 2015-02-07,5
2015-02-08 - 2015-02-14,6
2015-02-15 - 2015-02-21,6
2015-02-22 - 2015-02-28,5
2015-03-01 - 2015-03-07,8
2015-03-08 - 2015-03-14,7
2015-03-15 - 2015-03-21,7
2015-03-22 - 2015-03-28,8
2015-03-29 - 2015-04-04,7
2015-04-05 - 2015-04-11,8
2015-04-12 - 2015-04-18,5
2015-04-19 - 2015-04-25,21
2015-04-26 - 2015-05-02,16
2015-05-03 - 2015-05-09,7
2015-05-10 - 2015-05-16,9
2015-05-17 - 2015-05-23,11
2015-05-24 - 2015-05-30,8
2015-05-31 - 2015-06-06,11
2015-06-07 - 2015-06-13,7
2015-06-14 - 2015-06-20,4
2015-06-21 - 2015-06-27,4
2015-06-28 - 2015-07-04,5
2015-07-05 - 2015-07-11,5
2015-07-12 - 2015-07-18,5
2015-07-19 - 2015-07-25,5
2015-07-26 - 2015-08-01,0


Top sub-regions for waka flocka flame
Sub-region,waka flocka flame
Mississippi,100
South Carolina,92
Alabama,87
North Carolina,84
Georgia,81
Tennessee,74
Illinois,63
Ohio,63
Indiana,59
Missouri,58
Vermont,58
Arkansas,57
Kentucky,56
Florida,52
Michigan,52
District of Columbia,49
Maryland,47
Louisiana,44
Wisconsin,42
Iowa,40
West Virginia,39
Oklahoma,39
Virginia,38
Minnesota,37
Pennsylvania,35
South Dakota,34
Texas,33
Nebraska,32
Kansas,32
Rhode Island,31
New Jersey,30
Arizona,30
Colorado,29
New Mexico,28
New York,27
Massachusetts,27
Connecticut,27
Nevada,26
Washington,26
New Hampshire,24
Maine,21
California,20
Oregon,16
Hawaii,16
Utah,15
Alaska,0
Delaware,0
Idaho,0
Montana,0
North Dakota,0
Wyoming,0


Top metros for waka flocka flame
Metro,waka flocka flame
Memphis TN,100
Raleigh-Durham (Fayetteville) NC,65
Charlotte NC,63
Columbus OH,56
Atlanta GA,54
Chicago IL,50
St. Louis MO,50
Cleveland-Akron (Canton) OH,48
Detroit MI,42
Tampa-St. Petersburg (Sarasota) FL,41
Orlando-Daytona Beach-Melbourne FL,39
Dallas-Ft. Worth TX,29
Washington DC (Hagerstown MD),27
Miami-Ft. Lauderdale FL,24
Philadelphia PA,24
Boston MA-Manchester NH,21
New York NY,17
Los Angeles CA,13
San Francisco-Oakland-San Jose CA,10
Portland-Auburn ME,0
Binghamton NY,0
Macon GA,0
Savannah GA,0
Pittsburgh PA,0
Ft. Wayne IN,0
Baltimore MD,0
Flint-Saginaw-Bay City MI,0
Buffalo NY,0
Cincinnati OH,0
Erie PA,0
Greensboro-High Point-Winston Salem NC,0
Charleston SC,0
Augusta GA,0
Providence RI-New Bedford MA,0
Columbus GA,0
Burlington VT-Plattsburgh NY,0
Albany GA,0
Utica NY,0
Indianapolis IN,0
Louisville KY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Albany-Schenectady-Troy NY,0
Hartford & New Haven CT,0
Youngstown OH,0
Bangor ME,0
Rochester NY,0
Traverse City-Cadillac MI,0
Lexington KY,0
Dayton OH,0
Springfield-Holyoke MA,0
Norfolk-Portsmouth-Newport News VA,0
Greenville-New Bern-Washington NC,0
Columbia SC,0
Toledo OH,0
West Palm Beach-Ft. Pierce FL,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Syracuse NY,0
Richmond-Petersburg VA,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Jacksonville FL,0
Grand Rapids-Kalamazoo-Battle Creek MI,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisburg-Lancaster-Lebanon-York PA,0
Greenville-Spartanburg SC-Asheville NC-Anderson SC,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Roanoke-Lynchburg VA,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Wilkes Barre-Scranton PA,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Minneapolis-St. Paul MN,0
Kansas City MO,0
Milwaukee WI,0
Houston TX,0
Springfield MO,0
New Orleans LA,0
Sioux City IA,0
Waco-Temple-Bryan TX,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Birmingham AL,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Austin TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
San Antonio TX,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Oklahoma City OK,0
Lubbock TX,0
Omaha NE,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
Nashville TN,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Madison WI,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Tulsa OK,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Wichita-Hutchinson KS,0
Des Moines-Ames IA,0
Davenport IA-Rock Island-Moline IL,0
Mobile AL-Pensacola (Ft. Walton Beach) FL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Little Rock-Pine Bluff AR,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Honolulu HI,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Denver CO,0
Colorado Springs-Pueblo CO,0
Phoenix AZ,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Salt Lake City UT,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Tucson (Sierra Vista) AZ,0
Albuquerque-Santa Fe NM,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Seattle-Tacoma WA,0
Portland OR,0
Bend OR,0
San Diego CA,0
Monterey-Salinas CA,0
Las Vegas NV,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Sacramento-Stockton-Modesto CA,0
Fresno-Visalia CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for waka flocka flame
Town/City,waka flocka flame
Delray Beach,100
Memphis,90
Rocky Mount,89
Columbia,73
Jackson,68
Atlanta,59
Ashburn,57
St. Louis,57
Charlotte,53
Columbus,51
Chicago,50
Cleveland,50
Raleigh,49
Indianapolis,47
Cincinnati,45



Top searches for waka flocka flame
waka flocka flames,100
no hands,70
no hands waka,70
get low,45
waka flaka flame,30
waka flaka,30
waka flicka flame,20
wacka flocka,15
wacka flocka flame,15
no hands lyrics,15
waka flocka rumors,15
rumors,15
waka flacka flame,10
grove st party,10
waka laka flame,10
fire flame,10
waka floka flame,10
waka floka,10
brick squad,10
waka flock flame,10
waka flocka clap,10
baraka flocka flame,10
oj da juiceman,5
wacka flocka flames,5
wocka flocka flame,5



Rising searches for waka flocka flame
get low,Breakout
no hands,Breakout
no hands waka,Breakout
waka flaka,Breakout
waka flaka flame,Breakout
waka flocka flames,Breakout



