YouTube Search interest: soundgarden
United States; Jan 2008 - Jul 2015

Interest over time
Week,soundgarden
2010-05-23 - 2010-05-29,34
2010-05-30 - 2010-06-05,35
2010-06-06 - 2010-06-12,28
2010-06-13 - 2010-06-19,28
2010-06-20 - 2010-06-26,32
2010-06-27 - 2010-07-03,33
2010-07-04 - 2010-07-10,36
2010-07-11 - 2010-07-17,30
2010-07-18 - 2010-07-24,31
2010-07-25 - 2010-07-31,36
2010-08-01 - 2010-08-07,41
2010-08-08 - 2010-08-14,65
2010-08-15 - 2010-08-21,54
2010-08-22 - 2010-08-28,53
2010-08-29 - 2010-09-04,51
2010-09-05 - 2010-09-11,41
2010-09-12 - 2010-09-18,46
2010-09-19 - 2010-09-25,56
2010-09-26 - 2010-10-02,66
2010-10-03 - 2010-10-09,62
2010-10-10 - 2010-10-16,50
2010-10-17 - 2010-10-23,51
2010-10-24 - 2010-10-30,43
2010-10-31 - 2010-11-06,37
2010-11-07 - 2010-11-13,65
2010-11-14 - 2010-11-20,46
2010-11-21 - 2010-11-27,31
2010-11-28 - 2010-12-04,30
2010-12-05 - 2010-12-11,41
2010-12-12 - 2010-12-18,34
2010-12-19 - 2010-12-25,36
2010-12-26 - 2011-01-01,36
2011-01-02 - 2011-01-08,39
2011-01-09 - 2011-01-15,39
2011-01-16 - 2011-01-22,35
2011-01-23 - 2011-01-29,37
2011-01-30 - 2011-02-05,42
2011-02-06 - 2011-02-12,38
2011-02-13 - 2011-02-19,42
2011-02-20 - 2011-02-26,39
2011-02-27 - 2011-03-05,42
2011-03-06 - 2011-03-12,41
2011-03-13 - 2011-03-19,36
2011-03-20 - 2011-03-26,35
2011-03-27 - 2011-04-02,40
2011-04-03 - 2011-04-09,35
2011-04-10 - 2011-04-16,45
2011-04-17 - 2011-04-23,40
2011-04-24 - 2011-04-30,36
2011-05-01 - 2011-05-07,43
2011-05-08 - 2011-05-14,40
2011-05-15 - 2011-05-21,44
2011-05-22 - 2011-05-28,37
2011-05-29 - 2011-06-04,42
2011-06-05 - 2011-06-11,37
2011-06-12 - 2011-06-18,39
2011-06-19 - 2011-06-25,41
2011-06-26 - 2011-07-02,42
2011-07-03 - 2011-07-09,59
2011-07-10 - 2011-07-16,61
2011-07-17 - 2011-07-23,60
2011-07-24 - 2011-07-30,50
2011-07-31 - 2011-08-06,53
2011-08-07 - 2011-08-13,38
2011-08-14 - 2011-08-20,40
2011-08-21 - 2011-08-27,38
2011-08-28 - 2011-09-03,38
2011-09-04 - 2011-09-10,41
2011-09-11 - 2011-09-17,36
2011-09-18 - 2011-09-24,37
2011-09-25 - 2011-10-01,37
2011-10-02 - 2011-10-08,34
2011-10-09 - 2011-10-15,41
2011-10-16 - 2011-10-22,33
2011-10-23 - 2011-10-29,40
2011-10-30 - 2011-11-05,32
2011-11-06 - 2011-11-12,34
2011-11-13 - 2011-11-19,28
2011-11-20 - 2011-11-26,28
2011-11-27 - 2011-12-03,32
2011-12-04 - 2011-12-10,34
2011-12-11 - 2011-12-17,38
2011-12-18 - 2011-12-24,31
2011-12-25 - 2011-12-31,35
2012-01-01 - 2012-01-07,33
2012-01-08 - 2012-01-14,35
2012-01-15 - 2012-01-21,37
2012-01-22 - 2012-01-28,35
2012-01-29 - 2012-02-04,28
2012-02-05 - 2012-02-11,34
2012-02-12 - 2012-02-18,33
2012-02-19 - 2012-02-25,32
2012-02-26 - 2012-03-03,29
2012-03-04 - 2012-03-10,30
2012-03-11 - 2012-03-17,32
2012-03-18 - 2012-03-24,31
2012-03-25 - 2012-03-31,34
2012-04-01 - 2012-04-07,40
2012-04-08 - 2012-04-14,49
2012-04-15 - 2012-04-21,50
2012-04-22 - 2012-04-28,49
2012-04-29 - 2012-05-05,63
2012-05-06 - 2012-05-12,82
2012-05-13 - 2012-05-19,66
2012-05-20 - 2012-05-26,63
2012-05-27 - 2012-06-02,58
2012-06-03 - 2012-06-09,58
2012-06-10 - 2012-06-16,52
2012-06-17 - 2012-06-23,44
2012-06-24 - 2012-06-30,48
2012-07-01 - 2012-07-07,58
2012-07-08 - 2012-07-14,46
2012-07-15 - 2012-07-21,44
2012-07-22 - 2012-07-28,38
2012-07-29 - 2012-08-04,37
2012-08-05 - 2012-08-11,38
2012-08-12 - 2012-08-18,33
2012-08-19 - 2012-08-25,38
2012-08-26 - 2012-09-01,38
2012-09-02 - 2012-09-08,40
2012-09-09 - 2012-09-15,34
2012-09-16 - 2012-09-22,45
2012-09-23 - 2012-09-29,50
2012-09-30 - 2012-10-06,48
2012-10-07 - 2012-10-13,39
2012-10-14 - 2012-10-20,46
2012-10-21 - 2012-10-27,38
2012-10-28 - 2012-11-03,43
2012-11-04 - 2012-11-10,62
2012-11-11 - 2012-11-17,100
2012-11-18 - 2012-11-24,61
2012-11-25 - 2012-12-01,60
2012-12-02 - 2012-12-08,55
2012-12-09 - 2012-12-15,41
2012-12-16 - 2012-12-22,39
2012-12-23 - 2012-12-29,35
2012-12-30 - 2013-01-05,43
2013-01-06 - 2013-01-12,45
2013-01-13 - 2013-01-19,47
2013-01-20 - 2013-01-26,45
2013-01-27 - 2013-02-02,58
2013-02-03 - 2013-02-09,57
2013-02-10 - 2013-02-16,46
2013-02-17 - 2013-02-23,40
2013-02-24 - 2013-03-02,42
2013-03-03 - 2013-03-09,36
2013-03-10 - 2013-03-16,40
2013-03-17 - 2013-03-23,33
2013-03-24 - 2013-03-30,34
2013-03-31 - 2013-04-06,31
2013-04-07 - 2013-04-13,36
2013-04-14 - 2013-04-20,37
2013-04-21 - 2013-04-27,37
2013-04-28 - 2013-05-04,37
2013-05-05 - 2013-05-11,38
2013-05-12 - 2013-05-18,37
2013-05-19 - 2013-05-25,39
2013-05-26 - 2013-06-01,33
2013-06-02 - 2013-06-08,36
2013-06-09 - 2013-06-15,29
2013-06-16 - 2013-06-22,32
2013-06-23 - 2013-06-29,31
2013-06-30 - 2013-07-06,39
2013-07-07 - 2013-07-13,35
2013-07-14 - 2013-07-20,31
2013-07-21 - 2013-07-27,32
2013-07-28 - 2013-08-03,33
2013-08-04 - 2013-08-10,28
2013-08-11 - 2013-08-17,31
2013-08-18 - 2013-08-24,33
2013-08-25 - 2013-08-31,32
2013-09-01 - 2013-09-07,40
2013-09-08 - 2013-09-14,36
2013-09-15 - 2013-09-21,35
2013-09-22 - 2013-09-28,36
2013-09-29 - 2013-10-05,28
2013-10-06 - 2013-10-12,34
2013-10-13 - 2013-10-19,34
2013-10-20 - 2013-10-26,34
2013-10-27 - 2013-11-02,34
2013-11-03 - 2013-11-09,33
2013-11-10 - 2013-11-16,28
2013-11-17 - 2013-11-23,29
2013-11-24 - 2013-11-30,27
2013-12-01 - 2013-12-07,24
2013-12-08 - 2013-12-14,24
2013-12-15 - 2013-12-21,27
2013-12-22 - 2013-12-28,24
2013-12-29 - 2014-01-04,26
2014-01-05 - 2014-01-11,31
2014-01-12 - 2014-01-18,30
2014-01-19 - 2014-01-25,23
2014-01-26 - 2014-02-01,31
2014-02-02 - 2014-02-08,27
2014-02-09 - 2014-02-15,28
2014-02-16 - 2014-02-22,30
2014-02-23 - 2014-03-01,31
2014-03-02 - 2014-03-08,27
2014-03-09 - 2014-03-15,38
2014-03-16 - 2014-03-22,40
2014-03-23 - 2014-03-29,35
2014-03-30 - 2014-04-05,32
2014-04-06 - 2014-04-12,33
2014-04-13 - 2014-04-19,37
2014-04-20 - 2014-04-26,30
2014-04-27 - 2014-05-03,31
2014-05-04 - 2014-05-10,30
2014-05-11 - 2014-05-17,27
2014-05-18 - 2014-05-24,27
2014-05-25 - 2014-05-31,31
2014-06-01 - 2014-06-07,39
2014-06-08 - 2014-06-14,38
2014-06-15 - 2014-06-21,34
2014-06-22 - 2014-06-28,33
2014-06-29 - 2014-07-05,42
2014-07-06 - 2014-07-12,31
2014-07-13 - 2014-07-19,26
2014-07-20 - 2014-07-26,38
2014-07-27 - 2014-08-02,36
2014-08-03 - 2014-08-09,41
2014-08-10 - 2014-08-16,34
2014-08-17 - 2014-08-23,34
2014-08-24 - 2014-08-30,35
2014-08-31 - 2014-09-06,33
2014-09-07 - 2014-09-13,26
2014-09-14 - 2014-09-20,28
2014-09-21 - 2014-09-27,24
2014-09-28 - 2014-10-04,23
2014-10-05 - 2014-10-11,25
2014-10-12 - 2014-10-18,25
2014-10-19 - 2014-10-25,23
2014-10-26 - 2014-11-01,27
2014-11-02 - 2014-11-08,28
2014-11-09 - 2014-11-15,27
2014-11-16 - 2014-11-22,22
2014-11-23 - 2014-11-29,26
2014-11-30 - 2014-12-06,23
2014-12-07 - 2014-12-13,21
2014-12-14 - 2014-12-20,28
2014-12-21 - 2014-12-27,22
2014-12-28 - 2015-01-03,22
2015-01-04 - 2015-01-10,20
2015-01-11 - 2015-01-17,25
2015-01-18 - 2015-01-24,22
2015-01-25 - 2015-01-31,27
2015-02-01 - 2015-02-07,30
2015-02-08 - 2015-02-14,24
2015-02-15 - 2015-02-21,23
2015-02-22 - 2015-02-28,25
2015-03-01 - 2015-03-07,25
2015-03-08 - 2015-03-14,24
2015-03-15 - 2015-03-21,31
2015-03-22 - 2015-03-28,29
2015-03-29 - 2015-04-04,26
2015-04-05 - 2015-04-11,22
2015-04-12 - 2015-04-18,25
2015-04-19 - 2015-04-25,18
2015-04-26 - 2015-05-02,28
2015-05-03 - 2015-05-09,25
2015-05-10 - 2015-05-16,23
2015-05-17 - 2015-05-23,27
2015-05-24 - 2015-05-30,24
2015-05-31 - 2015-06-06,20
2015-06-07 - 2015-06-13,23
2015-06-14 - 2015-06-20,19
2015-06-21 - 2015-06-27,33
2015-06-28 - 2015-07-04,22
2015-07-05 - 2015-07-11,23
2015-07-12 - 2015-07-18,23
2015-07-19 - 2015-07-25,20
2015-07-26 - 2015-08-01,31


Top sub-regions for soundgarden
Sub-region,soundgarden
West Virginia,100
Washington,97
Kentucky,85
Maine,85
Montana,79
Ohio,77
New Hampshire,74
Missouri,73
Arkansas,72
Pennsylvania,72
North Dakota,72
Oklahoma,71
Tennessee,70
Wisconsin,69
Louisiana,69
Indiana,69
Iowa,68
Michigan,67
Kansas,65
Alaska,65
Oregon,65
New Mexico,64
North Carolina,64
Massachusetts,63
Alabama,62
Rhode Island,61
Delaware,60
South Carolina,60
Colorado,58
Arizona,58
South Dakota,57
Connecticut,57
Minnesota,57
Texas,57
Mississippi,56
Nebraska,55
Vermont,54
Illinois,54
Georgia,54
New Jersey,53
Idaho,53
Nevada,53
New York,52
Florida,51
Virginia,51
Maryland,49
District of Columbia,47
California,47
Utah,43
Hawaii,24
Wyoming,0


Top metros for soundgarden
Metro,soundgarden
Seattle-Tacoma WA,100
St. Louis MO,78
Cleveland-Akron (Canton) OH,74
Philadelphia PA,66
Boston MA-Manchester NH,65
Orlando-Daytona Beach-Melbourne FL,62
Chicago IL,60
San Diego CA,59
Detroit MI,59
Atlanta GA,58
Phoenix AZ,58
Portland OR,58
Minneapolis-St. Paul MN,56
Houston TX,54
Dallas-Ft. Worth TX,54
Washington DC (Hagerstown MD),50
Los Angeles CA,49
New York NY,48
San Francisco-Oakland-San Jose CA,42
Portland-Auburn ME,0
Binghamton NY,0
Macon GA,0
Savannah GA,0
Pittsburgh PA,0
Ft. Wayne IN,0
Baltimore MD,0
Flint-Saginaw-Bay City MI,0
Buffalo NY,0
Cincinnati OH,0
Erie PA,0
Charlotte NC,0
Greensboro-High Point-Winston Salem NC,0
Charleston SC,0
Augusta GA,0
Providence RI-New Bedford MA,0
Columbus GA,0
Burlington VT-Plattsburgh NY,0
Albany GA,0
Utica NY,0
Indianapolis IN,0
Miami-Ft. Lauderdale FL,0
Louisville KY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Albany-Schenectady-Troy NY,0
Hartford & New Haven CT,0
Columbus OH,0
Youngstown OH,0
Bangor ME,0
Rochester NY,0
Tampa-St. Petersburg (Sarasota) FL,0
Traverse City-Cadillac MI,0
Lexington KY,0
Dayton OH,0
Springfield-Holyoke MA,0
Norfolk-Portsmouth-Newport News VA,0
Greenville-New Bern-Washington NC,0
Columbia SC,0
Toledo OH,0
West Palm Beach-Ft. Pierce FL,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Syracuse NY,0
Richmond-Petersburg VA,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Raleigh-Durham (Fayetteville) NC,0
Jacksonville FL,0
Grand Rapids-Kalamazoo-Battle Creek MI,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisburg-Lancaster-Lebanon-York PA,0
Greenville-Spartanburg SC-Asheville NC-Anderson SC,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Roanoke-Lynchburg VA,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Wilkes Barre-Scranton PA,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Kansas City MO,0
Milwaukee WI,0
Springfield MO,0
New Orleans LA,0
Sioux City IA,0
Waco-Temple-Bryan TX,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Birmingham AL,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Austin TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Memphis TN,0
San Antonio TX,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Oklahoma City OK,0
Lubbock TX,0
Omaha NE,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
Nashville TN,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Madison WI,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Tulsa OK,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Wichita-Hutchinson KS,0
Des Moines-Ames IA,0
Davenport IA-Rock Island-Moline IL,0
Mobile AL-Pensacola (Ft. Walton Beach) FL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Little Rock-Pine Bluff AR,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Honolulu HI,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Denver CO,0
Colorado Springs-Pueblo CO,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Salt Lake City UT,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Tucson (Sierra Vista) AZ,0
Albuquerque-Santa Fe NM,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Las Vegas NV,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Sacramento-Stockton-Modesto CA,0
Fresno-Visalia CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for soundgarden
Town/City,soundgarden
Seattle,100
Portland,83
Columbus,81
Austin,78
St. Louis,73
Oklahoma City,68
San Antonio,62
Denver,61
Boston,58
Phoenix,58
Atlanta,58
Houston,58
Las Vegas,57
Minneapolis,57
Los Angeles,52



Top searches for soundgarden
soundgarden live,100
black hole sun,90
soundgarden black days,40
soundgarden spoonman,35
spoonman,35
live to rise,35
outshined soundgarden,35
outshined,30
alice in chains,30
audioslave,25
rusty cage soundgarden,25
rusty cage,25
soundgarden album,20
black rain soundgarden,20
black rain,20
chris cornell,20
stone temple pilots,15
pretty noose,15
pretty noose soundgarden,15
new soundgarden,15
soundgarden cover,10
soundgarden full album,10
pearl jam black,10
soundgarden acoustic,10
sound garden,10
4th of july,10
superunknown soundgarden,10
soundgarden 2010,10
my wave soundgarden,5
soundgarden unplugged,5
soundgarden 2012,5
soundgarden 2011,5
pearl jam live,5
soundgarden interview,5
soundgarden outshined live,5
like suicide soundgarden,5
spoonman soundgarden lyrics,5
soundgarden king animal,5



Rising searches for soundgarden
black rain soundgarden,Breakout
live to rise,Breakout
soundgarden album,Breakout
black hole sun,+250%
outshined,+250%
outshined soundgarden,+200%
soundgarden live,+200%
soundgarden black days,+190%
rusty cage,+170%
rusty cage soundgarden,+160%



