YouTube Search interest: miranda lambert
United States; Jan 2008 - Jul 2015

Interest over time
Week,miranda lambert
2009-03-29 - 2009-04-04,12
2009-04-05 - 2009-04-11,19
2009-04-12 - 2009-04-18,15
2009-04-19 - 2009-04-25,15
2009-04-26 - 2009-05-02,14
2009-05-03 - 2009-05-09,16
2009-05-10 - 2009-05-16,16
2009-05-17 - 2009-05-23,16
2009-05-24 - 2009-05-30,13
2009-05-31 - 2009-06-06,16
2009-06-07 - 2009-06-13,12
2009-06-14 - 2009-06-20,16
2009-06-21 - 2009-06-27,14
2009-06-28 - 2009-07-04,16
2009-07-05 - 2009-07-11,13
2009-07-12 - 2009-07-18,15
2009-07-19 - 2009-07-25,13
2009-07-26 - 2009-08-01,17
2009-08-02 - 2009-08-08,13
2009-08-09 - 2009-08-15,15
2009-08-16 - 2009-08-22,16
2009-08-23 - 2009-08-29,16
2009-08-30 - 2009-09-05,15
2009-09-06 - 2009-09-12,15
2009-09-13 - 2009-09-19,16
2009-09-20 - 2009-09-26,17
2009-09-27 - 2009-10-03,26
2009-10-04 - 2009-10-10,28
2009-10-11 - 2009-10-17,22
2009-10-18 - 2009-10-24,25
2009-10-25 - 2009-10-31,25
2009-11-01 - 2009-11-07,29
2009-11-08 - 2009-11-14,37
2009-11-15 - 2009-11-21,36
2009-11-22 - 2009-11-28,35
2009-11-29 - 2009-12-05,33
2009-12-06 - 2009-12-12,32
2009-12-13 - 2009-12-19,31
2009-12-20 - 2009-12-26,28
2009-12-27 - 2010-01-02,28
2010-01-03 - 2010-01-09,29
2010-01-10 - 2010-01-16,27
2010-01-17 - 2010-01-23,29
2010-01-24 - 2010-01-30,28
2010-01-31 - 2010-02-06,32
2010-02-07 - 2010-02-13,28
2010-02-14 - 2010-02-20,27
2010-02-21 - 2010-02-27,25
2010-02-28 - 2010-03-06,26
2010-03-07 - 2010-03-13,25
2010-03-14 - 2010-03-20,27
2010-03-21 - 2010-03-27,31
2010-03-28 - 2010-04-03,30
2010-04-04 - 2010-04-10,35
2010-04-11 - 2010-04-17,46
2010-04-18 - 2010-04-24,65
2010-04-25 - 2010-05-01,52
2010-05-02 - 2010-05-08,54
2010-05-09 - 2010-05-15,53
2010-05-16 - 2010-05-22,52
2010-05-23 - 2010-05-29,50
2010-05-30 - 2010-06-05,48
2010-06-06 - 2010-06-12,59
2010-06-13 - 2010-06-19,56
2010-06-20 - 2010-06-26,51
2010-06-27 - 2010-07-03,53
2010-07-04 - 2010-07-10,49
2010-07-11 - 2010-07-17,43
2010-07-18 - 2010-07-24,43
2010-07-25 - 2010-07-31,43
2010-08-01 - 2010-08-07,58
2010-08-08 - 2010-08-14,55
2010-08-15 - 2010-08-21,48
2010-08-22 - 2010-08-28,50
2010-08-29 - 2010-09-04,54
2010-09-05 - 2010-09-11,51
2010-09-12 - 2010-09-18,42
2010-09-19 - 2010-09-25,43
2010-09-26 - 2010-10-02,47
2010-10-03 - 2010-10-09,44
2010-10-10 - 2010-10-16,45
2010-10-17 - 2010-10-23,45
2010-10-24 - 2010-10-30,42
2010-10-31 - 2010-11-06,43
2010-11-07 - 2010-11-13,80
2010-11-14 - 2010-11-20,61
2010-11-21 - 2010-11-27,54
2010-11-28 - 2010-12-04,51
2010-12-05 - 2010-12-11,42
2010-12-12 - 2010-12-18,44
2010-12-19 - 2010-12-25,40
2010-12-26 - 2011-01-01,41
2011-01-02 - 2011-01-08,47
2011-01-09 - 2011-01-15,48
2011-01-16 - 2011-01-22,49
2011-01-23 - 2011-01-29,49
2011-01-30 - 2011-02-05,52
2011-02-06 - 2011-02-12,54
2011-02-13 - 2011-02-19,74
2011-02-20 - 2011-02-26,59
2011-02-27 - 2011-03-05,59
2011-03-06 - 2011-03-12,55
2011-03-13 - 2011-03-19,53
2011-03-20 - 2011-03-26,51
2011-03-27 - 2011-04-02,54
2011-04-03 - 2011-04-09,78
2011-04-10 - 2011-04-16,63
2011-04-17 - 2011-04-23,61
2011-04-24 - 2011-04-30,65
2011-05-01 - 2011-05-07,70
2011-05-08 - 2011-05-14,72
2011-05-15 - 2011-05-21,73
2011-05-22 - 2011-05-28,62
2011-05-29 - 2011-06-04,60
2011-06-05 - 2011-06-11,66
2011-06-12 - 2011-06-18,56
2011-06-19 - 2011-06-25,54
2011-06-26 - 2011-07-02,66
2011-07-03 - 2011-07-09,57
2011-07-10 - 2011-07-16,63
2011-07-17 - 2011-07-23,57
2011-07-24 - 2011-07-30,53
2011-07-31 - 2011-08-06,56
2011-08-07 - 2011-08-13,57
2011-08-14 - 2011-08-20,54
2011-08-21 - 2011-08-27,54
2011-08-28 - 2011-09-03,57
2011-09-04 - 2011-09-10,57
2011-09-11 - 2011-09-17,54
2011-09-18 - 2011-09-24,54
2011-09-25 - 2011-10-01,50
2011-10-02 - 2011-10-08,52
2011-10-09 - 2011-10-15,47
2011-10-16 - 2011-10-22,47
2011-10-23 - 2011-10-29,51
2011-10-30 - 2011-11-05,65
2011-11-06 - 2011-11-12,77
2011-11-13 - 2011-11-19,64
2011-11-20 - 2011-11-26,53
2011-11-27 - 2011-12-03,50
2011-12-04 - 2011-12-10,47
2011-12-11 - 2011-12-17,46
2011-12-18 - 2011-12-24,42
2011-12-25 - 2011-12-31,42
2012-01-01 - 2012-01-07,45
2012-01-08 - 2012-01-14,53
2012-01-15 - 2012-01-21,52
2012-01-22 - 2012-01-28,56
2012-01-29 - 2012-02-04,66
2012-02-05 - 2012-02-11,83
2012-02-12 - 2012-02-18,74
2012-02-19 - 2012-02-25,74
2012-02-26 - 2012-03-03,100
2012-03-04 - 2012-03-10,94
2012-03-11 - 2012-03-17,91
2012-03-18 - 2012-03-24,84
2012-03-25 - 2012-03-31,81
2012-04-01 - 2012-04-07,100
2012-04-08 - 2012-04-14,82
2012-04-15 - 2012-04-21,76
2012-04-22 - 2012-04-28,71
2012-04-29 - 2012-05-05,75
2012-05-06 - 2012-05-12,67
2012-05-13 - 2012-05-19,64
2012-05-20 - 2012-05-26,57
2012-05-27 - 2012-06-02,56
2012-06-03 - 2012-06-09,61
2012-06-10 - 2012-06-16,55
2012-06-17 - 2012-06-23,51
2012-06-24 - 2012-06-30,50
2012-07-01 - 2012-07-07,44
2012-07-08 - 2012-07-14,46
2012-07-15 - 2012-07-21,45
2012-07-22 - 2012-07-28,50
2012-07-29 - 2012-08-04,66
2012-08-05 - 2012-08-11,58
2012-08-12 - 2012-08-18,64
2012-08-19 - 2012-08-25,50
2012-08-26 - 2012-09-01,50
2012-09-02 - 2012-09-08,46
2012-09-09 - 2012-09-15,45
2012-09-16 - 2012-09-22,47
2012-09-23 - 2012-09-29,45
2012-09-30 - 2012-10-06,45
2012-10-07 - 2012-10-13,44
2012-10-14 - 2012-10-20,40
2012-10-21 - 2012-10-27,36
2012-10-28 - 2012-11-03,83
2012-11-04 - 2012-11-10,60
2012-11-11 - 2012-11-17,45
2012-11-18 - 2012-11-24,60
2012-11-25 - 2012-12-01,48
2012-12-02 - 2012-12-08,42
2012-12-09 - 2012-12-15,40
2012-12-16 - 2012-12-22,44
2012-12-23 - 2012-12-29,34
2012-12-30 - 2013-01-05,33
2013-01-06 - 2013-01-12,38
2013-01-13 - 2013-01-19,35
2013-01-20 - 2013-01-26,37
2013-01-27 - 2013-02-02,38
2013-02-03 - 2013-02-09,33
2013-02-10 - 2013-02-16,46
2013-02-17 - 2013-02-23,35
2013-02-24 - 2013-03-02,38
2013-03-03 - 2013-03-09,44
2013-03-10 - 2013-03-16,41
2013-03-17 - 2013-03-23,37
2013-03-24 - 2013-03-30,36
2013-03-31 - 2013-04-06,36
2013-04-07 - 2013-04-13,62
2013-04-14 - 2013-04-20,38
2013-04-21 - 2013-04-27,40
2013-04-28 - 2013-05-04,39
2013-05-05 - 2013-05-11,39
2013-05-12 - 2013-05-18,36
2013-05-19 - 2013-05-25,47
2013-05-26 - 2013-06-01,50
2013-06-02 - 2013-06-08,39
2013-06-09 - 2013-06-15,36
2013-06-16 - 2013-06-22,34
2013-06-23 - 2013-06-29,33
2013-06-30 - 2013-07-06,33
2013-07-07 - 2013-07-13,31
2013-07-14 - 2013-07-20,27
2013-07-21 - 2013-07-27,28
2013-07-28 - 2013-08-03,30
2013-08-04 - 2013-08-10,31
2013-08-11 - 2013-08-17,36
2013-08-18 - 2013-08-24,33
2013-08-25 - 2013-08-31,29
2013-09-01 - 2013-09-07,33
2013-09-08 - 2013-09-14,35
2013-09-15 - 2013-09-21,36
2013-09-22 - 2013-09-28,39
2013-09-29 - 2013-10-05,42
2013-10-06 - 2013-10-12,42
2013-10-13 - 2013-10-19,41
2013-10-20 - 2013-10-26,41
2013-10-27 - 2013-11-02,42
2013-11-03 - 2013-11-09,56
2013-11-10 - 2013-11-16,53
2013-11-17 - 2013-11-23,51
2013-11-24 - 2013-11-30,42
2013-12-01 - 2013-12-07,42
2013-12-08 - 2013-12-14,36
2013-12-15 - 2013-12-21,32
2013-12-22 - 2013-12-28,29
2013-12-29 - 2014-01-04,28
2014-01-05 - 2014-01-11,26
2014-01-12 - 2014-01-18,26
2014-01-19 - 2014-01-25,25
2014-01-26 - 2014-02-01,34
2014-02-02 - 2014-02-08,37
2014-02-09 - 2014-02-15,31
2014-02-16 - 2014-02-22,27
2014-02-23 - 2014-03-01,30
2014-03-02 - 2014-03-08,29
2014-03-09 - 2014-03-15,30
2014-03-16 - 2014-03-22,32
2014-03-23 - 2014-03-29,45
2014-03-30 - 2014-04-05,33
2014-04-06 - 2014-04-12,51
2014-04-13 - 2014-04-19,40
2014-04-20 - 2014-04-26,34
2014-04-27 - 2014-05-03,32
2014-05-04 - 2014-05-10,33
2014-05-11 - 2014-05-17,31
2014-05-18 - 2014-05-24,70
2014-05-25 - 2014-05-31,44
2014-06-01 - 2014-06-07,69
2014-06-08 - 2014-06-14,61
2014-06-15 - 2014-06-21,49
2014-06-22 - 2014-06-28,100
2014-06-29 - 2014-07-05,85
2014-07-06 - 2014-07-12,69
2014-07-13 - 2014-07-19,59
2014-07-20 - 2014-07-26,55
2014-07-27 - 2014-08-02,56
2014-08-03 - 2014-08-09,59
2014-08-10 - 2014-08-16,55
2014-08-17 - 2014-08-23,47
2014-08-24 - 2014-08-30,46
2014-08-31 - 2014-09-06,45
2014-09-07 - 2014-09-13,41
2014-09-14 - 2014-09-20,53
2014-09-21 - 2014-09-27,41
2014-09-28 - 2014-10-04,38
2014-10-05 - 2014-10-11,37
2014-10-12 - 2014-10-18,34
2014-10-19 - 2014-10-25,34
2014-10-26 - 2014-11-01,35
2014-11-02 - 2014-11-08,87
2014-11-09 - 2014-11-15,54
2014-11-16 - 2014-11-22,37
2014-11-23 - 2014-11-29,33
2014-11-30 - 2014-12-06,29
2014-12-07 - 2014-12-13,30
2014-12-14 - 2014-12-20,31
2014-12-21 - 2014-12-27,29
2014-12-28 - 2015-01-03,26
2015-01-04 - 2015-01-10,25
2015-01-11 - 2015-01-17,28
2015-01-18 - 2015-01-24,30
2015-01-25 - 2015-01-31,29
2015-02-01 - 2015-02-07,30
2015-02-08 - 2015-02-14,54
2015-02-15 - 2015-02-21,36
2015-02-22 - 2015-02-28,33
2015-03-01 - 2015-03-07,35
2015-03-08 - 2015-03-14,65
2015-03-15 - 2015-03-21,50
2015-03-22 - 2015-03-28,44
2015-03-29 - 2015-04-04,40
2015-04-05 - 2015-04-11,34
2015-04-12 - 2015-04-18,39
2015-04-19 - 2015-04-25,54
2015-04-26 - 2015-05-02,37
2015-05-03 - 2015-05-09,34
2015-05-10 - 2015-05-16,30
2015-05-17 - 2015-05-23,26
2015-05-24 - 2015-05-30,29
2015-05-31 - 2015-06-06,29
2015-06-07 - 2015-06-13,28
2015-06-14 - 2015-06-20,23
2015-06-21 - 2015-06-27,25
2015-06-28 - 2015-07-04,26
2015-07-05 - 2015-07-11,22
2015-07-12 - 2015-07-18,20
2015-07-19 - 2015-07-25,56
2015-07-26 - 2015-08-01,34


Top sub-regions for miranda lambert
Sub-region,miranda lambert
West Virginia,100
Kentucky,90
North Dakota,72
Tennessee,67
Oklahoma,66
Iowa,64
Montana,64
South Dakota,62
Arkansas,61
Alabama,60
Indiana,56
Missouri,56
Maine,55
Wyoming,55
Nebraska,54
South Carolina,54
Kansas,54
Ohio,53
North Carolina,51
Mississippi,49
Wisconsin,49
Idaho,49
Vermont,44
Minnesota,43
Michigan,42
New Hampshire,41
Georgia,40
Texas,38
Louisiana,37
Pennsylvania,36
New Mexico,35
Colorado,34
Utah,31
Delaware,30
Illinois,29
Florida,28
Washington,28
Oregon,27
Arizona,27
Alaska,26
Virginia,25
Maryland,24
Massachusetts,24
Rhode Island,21
Connecticut,20
Nevada,19
District of Columbia,17
New York,17
New Jersey,15
California,15
Hawaii,11


Top metros for miranda lambert
Metro,miranda lambert
Charleston-Huntington WV,100
Lexington KY,91
Tri-Cities TN-VA,81
Evansville IN,77
Fargo-Valley City ND,76
Springfield MO,71
La Crosse-Eau Claire WI,71
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,70
Knoxville TN,69
Tyler-Longview(Lufkin & Nacogdoches) TX,67
Nashville TN,65
Louisville KY,65
Davenport IA-Rock Island-Moline IL,64
Little Rock-Pine Bluff AR,63
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,61
Sioux Falls(Mitchell) SD,61
Greenville-Spartanburg SC-Asheville NC-Anderson SC,60
Huntsville-Decatur (Florence) AL,60
Tulsa OK,57
Toledo OH,56
Chattanooga TN,56
Dayton OH,56
Lincoln & Hastings-Kearney NE,56
Oklahoma City OK,56
Birmingham AL,56
Champaign & Springfield-Decatur IL,55
Roanoke-Lynchburg VA,55
Peoria-Bloomington IL,53
Flint-Saginaw-Bay City MI,53
Des Moines-Ames IA,53
Wichita-Hutchinson KS,51
Boise ID,49
Grand Rapids-Kalamazoo-Battle Creek MI,48
Green Bay-Appleton WI,48
Cincinnati OH,47
Shreveport LA,47
Indianapolis IN,47
Mobile AL-Pensacola (Ft. Walton Beach) FL,47
Johnstown-Altoona PA,46
Ft. Smith-Fayetteville-Springdale-Rogers AR,46
Burlington VT-Plattsburgh NY,45
St. Louis MO,45
Columbia SC,45
Pittsburgh PA,45
Greensboro-High Point-Winston Salem NC,45
Cleveland-Akron (Canton) OH,44
Charlotte NC,44
South Bend-Elkhart IN,43
Portland-Auburn ME,43
Greenville-New Bern-Washington NC,42
Columbus OH,42
Waco-Temple-Bryan TX,42
Spokane WA,42
Omaha NE,41
Minneapolis-St. Paul MN,41
Savannah GA,40
Jacksonville FL,39
Kansas City MO,39
Madison WI,38
Harrisburg-Lancaster-Lebanon-York PA,38
Colorado Springs-Pueblo CO,36
Buffalo NY,36
Wilkes Barre-Scranton PA,35
San Antonio TX,34
Jackson MS,34
Syracuse NY,34
Memphis TN,33
Denver CO,33
Raleigh-Durham (Fayetteville) NC,32
Albany-Schenectady-Troy NY,32
Atlanta GA,31
Dallas-Ft. Worth TX,31
Richmond-Petersburg VA,31
Tampa-St. Petersburg (Sarasota) FL,30
Rochester NY,30
Milwaukee WI,30
Albuquerque-Santa Fe NM,28
Norfolk-Portsmouth-Newport News VA,28
Austin TX,28
Houston TX,28
Detroit MI,27
Salt Lake City UT,27
New Orleans LA,25
Sacramento-Stockton-Modesto CA,25
Phoenix AZ,24
Orlando-Daytona Beach-Melbourne FL,24
Tucson (Sierra Vista) AZ,23
Baltimore MD,23
Philadelphia PA,23
Seattle-Tacoma WA,22
Boston MA-Manchester NH,22
Providence RI-New Bedford MA,21
Hartford & New Haven CT,20
Chicago IL,20
Portland OR,19
West Palm Beach-Ft. Pierce FL,19
Fresno-Visalia CA,18
Washington DC (Hagerstown MD),17
San Diego CA,15
Las Vegas NV,13
Los Angeles CA,12
New York NY,11
Miami-Ft. Lauderdale FL,10
San Francisco-Oakland-San Jose CA,8
Binghamton NY,0
Macon GA,0
Ft. Wayne IN,0
Erie PA,0
Charleston SC,0
Augusta GA,0
Columbus GA,0
Albany GA,0
Utica NY,0
Tallahassee FL-Thomasville GA,0
Youngstown OH,0
Bangor ME,0
Traverse City-Cadillac MI,0
Springfield-Holyoke MA,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Elmira NY,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Sioux City IA,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Odessa-Midland TX,0
Amarillo TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
St. Joseph MO,0
Jackson TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Lubbock TX,0
Panama City FL,0
Sherman TX-Ada OK,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Columbus-Tupelo-West Point MS,0
Duluth MN-Superior WI,0
Minot-Bismarck-Dickinson(Williston) ND,0
Beaumont-Port Arthur TX,0
Montgomery (Selma) AL,0
Wausau-Rhinelander WI,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Honolulu HI,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Chico-Redding CA,0


Top cities for miranda lambert
Town/City,miranda lambert
Louisville,100
Nashville,93
Oklahoma City,92
St. Louis,71
Columbus,68
San Antonio,63
Charlotte,57
Dallas,54
Houston,53
Atlanta,51
Minneapolis,50
Denver,48
Austin,47
Phoenix,40
Washington,33



Top searches for miranda lambert
miranda lambert lyrics,100
carrie underwood,55
over you,55
gunpowder and lead,45
white liar,35
blake shelton,30
heart like mine,25
kerosene miranda lambert,20
miranda lambert prettier,20
more like her,20
only prettier,20
baggage claim,15
jason aldean,15
keith urban,15
down miranda lambert,15
lady antebellum,15
luke bryan,10
the band perry,10
miranda lambert karaoke,10
miranda lambert live,10
sugarland,10
pistol annies,10
brad paisley,10
miranda lambert automatic,10
eric church,5
kellie pickler,5
sara evans,5
dierks bentley,5
little big town,5
dead flowers,5
martina mcbride,5
reba mcentire,5
gretchen wilson,5



Rising searches for miranda lambert
baggage claim,Breakout
blake shelton,Breakout
heart like mine,Breakout
jason aldean,Breakout
keith urban,Breakout
miranda lambert lyrics,Breakout
miranda lambert prettier,Breakout
more like her,Breakout
only prettier,Breakout
over you,Breakout



