YouTube Search interest: sia
United States; Jan 2008 - Jul 2015

Interest over time
Week,sia
2009-09-13 - 2009-09-19,3
2009-09-20 - 2009-09-26,3
2009-09-27 - 2009-10-03,3
2009-10-04 - 2009-10-10,3
2009-10-11 - 2009-10-17,3
2009-10-18 - 2009-10-24,3
2009-10-25 - 2009-10-31,3
2009-11-01 - 2009-11-07,3
2009-11-08 - 2009-11-14,3
2009-11-15 - 2009-11-21,3
2009-11-22 - 2009-11-28,3
2009-11-29 - 2009-12-05,3
2009-12-06 - 2009-12-12,3
2009-12-13 - 2009-12-19,3
2009-12-20 - 2009-12-26,2
2009-12-27 - 2010-01-02,2
2010-01-03 - 2010-01-09,2
2010-01-10 - 2010-01-16,3
2010-01-17 - 2010-01-23,3
2010-01-24 - 2010-01-30,3
2010-01-31 - 2010-02-06,3
2010-02-07 - 2010-02-13,3
2010-02-14 - 2010-02-20,4
2010-02-21 - 2010-02-27,3
2010-02-28 - 2010-03-06,4
2010-03-07 - 2010-03-13,8
2010-03-14 - 2010-03-20,4
2010-03-21 - 2010-03-27,5
2010-03-28 - 2010-04-03,4
2010-04-04 - 2010-04-10,3
2010-04-11 - 2010-04-17,3
2010-04-18 - 2010-04-24,4
2010-04-25 - 2010-05-01,3
2010-05-02 - 2010-05-08,3
2010-05-09 - 2010-05-15,4
2010-05-16 - 2010-05-22,3
2010-05-23 - 2010-05-29,4
2010-05-30 - 2010-06-05,4
2010-06-06 - 2010-06-12,5
2010-06-13 - 2010-06-19,5
2010-06-20 - 2010-06-26,5
2010-06-27 - 2010-07-03,6
2010-07-04 - 2010-07-10,8
2010-07-11 - 2010-07-17,8
2010-07-18 - 2010-07-24,7
2010-07-25 - 2010-07-31,7
2010-08-01 - 2010-08-07,6
2010-08-08 - 2010-08-14,5
2010-08-15 - 2010-08-21,4
2010-08-22 - 2010-08-28,4
2010-08-29 - 2010-09-04,5
2010-09-05 - 2010-09-11,5
2010-09-12 - 2010-09-18,5
2010-09-19 - 2010-09-25,5
2010-09-26 - 2010-10-02,5
2010-10-03 - 2010-10-09,4
2010-10-10 - 2010-10-16,5
2010-10-17 - 2010-10-23,4
2010-10-24 - 2010-10-30,3
2010-10-31 - 2010-11-06,4
2010-11-07 - 2010-11-13,5
2010-11-14 - 2010-11-20,5
2010-11-21 - 2010-11-27,4
2010-11-28 - 2010-12-04,5
2010-12-05 - 2010-12-11,8
2010-12-12 - 2010-12-18,7
2010-12-19 - 2010-12-25,6
2010-12-26 - 2011-01-01,5
2011-01-02 - 2011-01-08,7
2011-01-09 - 2011-01-15,6
2011-01-16 - 2011-01-22,6
2011-01-23 - 2011-01-29,7
2011-01-30 - 2011-02-05,6
2011-02-06 - 2011-02-12,6
2011-02-13 - 2011-02-19,6
2011-02-20 - 2011-02-26,5
2011-02-27 - 2011-03-05,6
2011-03-06 - 2011-03-12,5
2011-03-13 - 2011-03-19,5
2011-03-20 - 2011-03-26,4
2011-03-27 - 2011-04-02,4
2011-04-03 - 2011-04-09,5
2011-04-10 - 2011-04-16,5
2011-04-17 - 2011-04-23,4
2011-04-24 - 2011-04-30,4
2011-05-01 - 2011-05-07,4
2011-05-08 - 2011-05-14,5
2011-05-15 - 2011-05-21,5
2011-05-22 - 2011-05-28,4
2011-05-29 - 2011-06-04,4
2011-06-05 - 2011-06-11,4
2011-06-12 - 2011-06-18,4
2011-06-19 - 2011-06-25,4
2011-06-26 - 2011-07-02,4
2011-07-03 - 2011-07-09,5
2011-07-10 - 2011-07-16,5
2011-07-17 - 2011-07-23,6
2011-07-24 - 2011-07-30,5
2011-07-31 - 2011-08-06,6
2011-08-07 - 2011-08-13,6
2011-08-14 - 2011-08-20,6
2011-08-21 - 2011-08-27,6
2011-08-28 - 2011-09-03,6
2011-09-04 - 2011-09-10,5
2011-09-11 - 2011-09-17,5
2011-09-18 - 2011-09-24,5
2011-09-25 - 2011-10-01,5
2011-10-02 - 2011-10-08,5
2011-10-09 - 2011-10-15,4
2011-10-16 - 2011-10-22,4
2011-10-23 - 2011-10-29,5
2011-10-30 - 2011-11-05,5
2011-11-06 - 2011-11-12,4
2011-11-13 - 2011-11-19,4
2011-11-20 - 2011-11-26,4
2011-11-27 - 2011-12-03,5
2011-12-04 - 2011-12-10,12
2011-12-11 - 2011-12-17,7
2011-12-18 - 2011-12-24,6
2011-12-25 - 2011-12-31,6
2012-01-01 - 2012-01-07,7
2012-01-08 - 2012-01-14,7
2012-01-15 - 2012-01-21,7
2012-01-22 - 2012-01-28,7
2012-01-29 - 2012-02-04,7
2012-02-05 - 2012-02-11,9
2012-02-12 - 2012-02-18,8
2012-02-19 - 2012-02-25,9
2012-02-26 - 2012-03-03,10
2012-03-04 - 2012-03-10,10
2012-03-11 - 2012-03-17,12
2012-03-18 - 2012-03-24,11
2012-03-25 - 2012-03-31,12
2012-04-01 - 2012-04-07,12
2012-04-08 - 2012-04-14,12
2012-04-15 - 2012-04-21,14
2012-04-22 - 2012-04-28,13
2012-04-29 - 2012-05-05,13
2012-05-06 - 2012-05-12,13
2012-05-13 - 2012-05-19,14
2012-05-20 - 2012-05-26,13
2012-05-27 - 2012-06-02,14
2012-06-03 - 2012-06-09,14
2012-06-10 - 2012-06-16,13
2012-06-17 - 2012-06-23,13
2012-06-24 - 2012-06-30,13
2012-07-01 - 2012-07-07,14
2012-07-08 - 2012-07-14,12
2012-07-15 - 2012-07-21,12
2012-07-22 - 2012-07-28,11
2012-07-29 - 2012-08-04,10
2012-08-05 - 2012-08-11,10
2012-08-12 - 2012-08-18,11
2012-08-19 - 2012-08-25,10
2012-08-26 - 2012-09-01,10
2012-09-02 - 2012-09-08,9
2012-09-09 - 2012-09-15,10
2012-09-16 - 2012-09-22,8
2012-09-23 - 2012-09-29,9
2012-09-30 - 2012-10-06,10
2012-10-07 - 2012-10-13,10
2012-10-14 - 2012-10-20,10
2012-10-21 - 2012-10-27,9
2012-10-28 - 2012-11-03,8
2012-11-04 - 2012-11-10,8
2012-11-11 - 2012-11-17,8
2012-11-18 - 2012-11-24,8
2012-11-25 - 2012-12-01,8
2012-12-02 - 2012-12-08,8
2012-12-09 - 2012-12-15,8
2012-12-16 - 2012-12-22,7
2012-12-23 - 2012-12-29,6
2012-12-30 - 2013-01-05,7
2013-01-06 - 2013-01-12,7
2013-01-13 - 2013-01-19,7
2013-01-20 - 2013-01-26,7
2013-01-27 - 2013-02-02,7
2013-02-03 - 2013-02-09,7
2013-02-10 - 2013-02-16,6
2013-02-17 - 2013-02-23,6
2013-02-24 - 2013-03-02,6
2013-03-03 - 2013-03-09,7
2013-03-10 - 2013-03-16,6
2013-03-17 - 2013-03-23,7
2013-03-24 - 2013-03-30,6
2013-03-31 - 2013-04-06,5
2013-04-07 - 2013-04-13,6
2013-04-14 - 2013-04-20,6
2013-04-21 - 2013-04-27,7
2013-04-28 - 2013-05-04,7
2013-05-05 - 2013-05-11,7
2013-05-12 - 2013-05-18,7
2013-05-19 - 2013-05-25,7
2013-05-26 - 2013-06-01,6
2013-06-02 - 2013-06-08,6
2013-06-09 - 2013-06-15,5
2013-06-16 - 2013-06-22,5
2013-06-23 - 2013-06-29,5
2013-06-30 - 2013-07-06,5
2013-07-07 - 2013-07-13,5
2013-07-14 - 2013-07-20,5
2013-07-21 - 2013-07-27,5
2013-07-28 - 2013-08-03,5
2013-08-04 - 2013-08-10,4
2013-08-11 - 2013-08-17,5
2013-08-18 - 2013-08-24,5
2013-08-25 - 2013-08-31,4
2013-09-01 - 2013-09-07,5
2013-09-08 - 2013-09-14,5
2013-09-15 - 2013-09-21,5
2013-09-22 - 2013-09-28,5
2013-09-29 - 2013-10-05,7
2013-10-06 - 2013-10-12,6
2013-10-13 - 2013-10-19,6
2013-10-20 - 2013-10-26,5
2013-10-27 - 2013-11-02,5
2013-11-03 - 2013-11-09,7
2013-11-10 - 2013-11-16,6
2013-11-17 - 2013-11-23,6
2013-11-24 - 2013-11-30,6
2013-12-01 - 2013-12-07,5
2013-12-08 - 2013-12-14,5
2013-12-15 - 2013-12-21,5
2013-12-22 - 2013-12-28,4
2013-12-29 - 2014-01-04,5
2014-01-05 - 2014-01-11,5
2014-01-12 - 2014-01-18,5
2014-01-19 - 2014-01-25,5
2014-01-26 - 2014-02-01,5
2014-02-02 - 2014-02-08,4
2014-02-09 - 2014-02-15,5
2014-02-16 - 2014-02-22,5
2014-02-23 - 2014-03-01,5
2014-03-02 - 2014-03-08,4
2014-03-09 - 2014-03-15,5
2014-03-16 - 2014-03-22,7
2014-03-23 - 2014-03-29,6
2014-03-30 - 2014-04-05,6
2014-04-06 - 2014-04-12,7
2014-04-13 - 2014-04-19,7
2014-04-20 - 2014-04-26,7
2014-04-27 - 2014-05-03,7
2014-05-04 - 2014-05-10,16
2014-05-11 - 2014-05-17,28
2014-05-18 - 2014-05-24,33
2014-05-25 - 2014-05-31,31
2014-06-01 - 2014-06-07,35
2014-06-08 - 2014-06-14,37
2014-06-15 - 2014-06-21,38
2014-06-22 - 2014-06-28,44
2014-06-29 - 2014-07-05,50
2014-07-06 - 2014-07-12,62
2014-07-13 - 2014-07-19,62
2014-07-20 - 2014-07-26,60
2014-07-27 - 2014-08-02,66
2014-08-03 - 2014-08-09,66
2014-08-10 - 2014-08-16,68
2014-08-17 - 2014-08-23,75
2014-08-24 - 2014-08-30,78
2014-08-31 - 2014-09-06,69
2014-09-07 - 2014-09-13,66
2014-09-14 - 2014-09-20,66
2014-09-21 - 2014-09-27,63
2014-09-28 - 2014-10-04,56
2014-10-05 - 2014-10-11,52
2014-10-12 - 2014-10-18,49
2014-10-19 - 2014-10-25,47
2014-10-26 - 2014-11-01,61
2014-11-02 - 2014-11-08,49
2014-11-09 - 2014-11-15,40
2014-11-16 - 2014-11-22,35
2014-11-23 - 2014-11-29,38
2014-11-30 - 2014-12-06,36
2014-12-07 - 2014-12-13,32
2014-12-14 - 2014-12-20,29
2014-12-21 - 2014-12-27,28
2014-12-28 - 2015-01-03,30
2015-01-04 - 2015-01-10,82
2015-01-11 - 2015-01-17,77
2015-01-18 - 2015-01-24,64
2015-01-25 - 2015-01-31,56
2015-02-01 - 2015-02-07,53
2015-02-08 - 2015-02-14,100
2015-02-15 - 2015-02-21,62
2015-02-22 - 2015-02-28,52
2015-03-01 - 2015-03-07,47
2015-03-08 - 2015-03-14,40
2015-03-15 - 2015-03-21,40
2015-03-22 - 2015-03-28,41
2015-03-29 - 2015-04-04,49
2015-04-05 - 2015-04-11,47
2015-04-12 - 2015-04-18,37
2015-04-19 - 2015-04-25,38
2015-04-26 - 2015-05-02,37
2015-05-03 - 2015-05-09,38
2015-05-10 - 2015-05-16,40
2015-05-17 - 2015-05-23,37
2015-05-24 - 2015-05-30,37
2015-05-31 - 2015-06-06,38
2015-06-07 - 2015-06-13,35
2015-06-14 - 2015-06-20,33
2015-06-21 - 2015-06-27,31
2015-06-28 - 2015-07-04,30
2015-07-05 - 2015-07-11,29
2015-07-12 - 2015-07-18,27
2015-07-19 - 2015-07-25,27
2015-07-26 - 2015-08-01,26


Top sub-regions for sia
Sub-region,sia
New York,100
Minnesota,93
Massachusetts,91
Utah,90
Wisconsin,90
Pennsylvania,88
New Jersey,86
Arizona,86
Florida,83
Rhode Island,82
Hawaii,82
California,81
Vermont,81
Iowa,81
North Dakota,80
Maryland,79
Maine,79
Nevada,78
Idaho,77
North Carolina,77
Colorado,76
New Hampshire,76
Washington,76
Oregon,76
New Mexico,76
Michigan,75
Connecticut,75
Kansas,75
Illinois,75
Montana,74
Texas,74
Nebraska,73
Ohio,73
Alaska,72
Indiana,71
Oklahoma,71
Delaware,70
Wyoming,69
South Dakota,66
Louisiana,66
South Carolina,64
Georgia,64
West Virginia,64
Missouri,64
Tennessee,62
Arkansas,61
Kentucky,60
District of Columbia,58
Alabama,55
Virginia,52
Mississippi,49


Top metros for sia
Metro,sia
New York NY,100
Harlingen-Weslaco-Brownsville-McAllen TX,100
Des Moines-Ames IA,97
Tulsa OK,96
Minneapolis-St. Paul MN,96
Salt Lake City UT,94
Los Angeles CA,94
Madison WI,91
San Diego CA,90
Austin TX,90
Buffalo NY,89
Sacramento-Stockton-Modesto CA,89
Philadelphia PA,88
Honolulu HI,88
Phoenix AZ,86
Tucson (Sierra Vista) AZ,86
Providence RI-New Bedford MA,85
Tampa-St. Petersburg (Sarasota) FL,85
Rochester NY,84
Boston MA-Manchester NH,84
Milwaukee WI,82
Portland OR,81
Fresno-Visalia CA,81
Denver CO,81
Detroit MI,80
Baltimore MD,79
Albany-Schenectady-Troy NY,79
Miami-Ft. Lauderdale FL,79
Orlando-Daytona Beach-Melbourne FL,78
Cincinnati OH,77
Hartford & New Haven CT,76
Las Vegas NV,76
Wilkes Barre-Scranton PA,76
Jacksonville FL,74
Harrisburg-Lancaster-Lebanon-York PA,74
Grand Rapids-Kalamazoo-Battle Creek MI,74
Chicago IL,73
Cleveland-Akron (Canton) OH,73
San Antonio TX,73
Charlotte NC,71
Indianapolis IN,71
Houston TX,71
West Palm Beach-Ft. Pierce FL,70
New Orleans LA,70
Greensboro-High Point-Winston Salem NC,70
Seattle-Tacoma WA,70
Pittsburgh PA,68
Albuquerque-Santa Fe NM,68
Atlanta GA,67
Raleigh-Durham (Fayetteville) NC,64
Dallas-Ft. Worth TX,64
Columbus OH,64
Greenville-Spartanburg SC-Asheville NC-Anderson SC,63
St. Louis MO,62
Oklahoma City OK,62
Kansas City MO,62
Norfolk-Portsmouth-Newport News VA,61
Nashville TN,58
San Francisco-Oakland-San Jose CA,55
Washington DC (Hagerstown MD),49
Portland-Auburn ME,0
Binghamton NY,0
Macon GA,0
Savannah GA,0
Ft. Wayne IN,0
Flint-Saginaw-Bay City MI,0
Erie PA,0
Charleston SC,0
Augusta GA,0
Columbus GA,0
Burlington VT-Plattsburgh NY,0
Albany GA,0
Utica NY,0
Louisville KY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Youngstown OH,0
Bangor ME,0
Traverse City-Cadillac MI,0
Lexington KY,0
Dayton OH,0
Springfield-Holyoke MA,0
Greenville-New Bern-Washington NC,0
Columbia SC,0
Toledo OH,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Syracuse NY,0
Richmond-Petersburg VA,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Roanoke-Lynchburg VA,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Springfield MO,0
Sioux City IA,0
Waco-Temple-Bryan TX,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Birmingham AL,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Memphis TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Lubbock TX,0
Omaha NE,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Wichita-Hutchinson KS,0
Davenport IA-Rock Island-Moline IL,0
Mobile AL-Pensacola (Ft. Walton Beach) FL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Little Rock-Pine Bluff AR,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Colorado Springs-Pueblo CO,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for sia
Town/City,sia
New York,100
Los Angeles,70
San Diego,69
Minneapolis,69
Boston,69
Philadelphia,66
San Antonio,65
Austin,65
San Jose,64
Portland,63
Phoenix,59
San Francisco,58
Houston,58
Denver,57
Seattle,54



Top searches for sia
sia chandelier,100
chandelier,95
sia lyrics,50
breathe sia,50
breathe me sia,50
breathe me,50
breathe,50
chandelier sia lyrics,20
elastic heart sia,20
elastic heart,20
my love sia,20
sia titanium,15
titanium,15
sia live,10
david guetta sia,10
wild ones,10
wild ones sia,10
flo rida sia,10
titanium david guetta,5
sia chandelier live,5
eminem sia,5
sia music video,5
sia ellen,5
breath sia,5
breath me sia,5
sia chandelier cover,5
she wolf sia,5
sia titanium lyrics,5
clap your hands,5
maddie ziegler,5
sia interview,5
sia buttons,5
sia maddie ziegler,5
sia diamonds,0
sia chandelier ellen,0
wild one,0



Rising searches for sia
chandelier,Breakout
chandelier sia lyrics,Breakout
david guetta sia,Breakout
elastic heart,Breakout
elastic heart sia,Breakout
my love sia,Breakout
sia chandelier,Breakout
sia live,Breakout
sia lyrics,Breakout
sia titanium,Breakout



