YouTube Search interest: u2
United States; Jan 2008 - Jul 2015

Interest over time
Week,u2
2010-10-17 - 2010-10-23,30
2010-10-24 - 2010-10-30,28
2010-10-31 - 2010-11-06,31
2010-11-07 - 2010-11-13,29
2010-11-14 - 2010-11-20,29
2010-11-21 - 2010-11-27,29
2010-11-28 - 2010-12-04,32
2010-12-05 - 2010-12-11,33
2010-12-12 - 2010-12-18,31
2010-12-19 - 2010-12-25,28
2010-12-26 - 2011-01-01,34
2011-01-02 - 2011-01-08,25
2011-01-09 - 2011-01-15,23
2011-01-16 - 2011-01-22,28
2011-01-23 - 2011-01-29,24
2011-01-30 - 2011-02-05,25
2011-02-06 - 2011-02-12,26
2011-02-13 - 2011-02-19,26
2011-02-20 - 2011-02-26,24
2011-02-27 - 2011-03-05,24
2011-03-06 - 2011-03-12,24
2011-03-13 - 2011-03-19,28
2011-03-20 - 2011-03-26,22
2011-03-27 - 2011-04-02,22
2011-04-03 - 2011-04-09,25
2011-04-10 - 2011-04-16,26
2011-04-17 - 2011-04-23,25
2011-04-24 - 2011-04-30,23
2011-05-01 - 2011-05-07,22
2011-05-08 - 2011-05-14,28
2011-05-15 - 2011-05-21,28
2011-05-22 - 2011-05-28,31
2011-05-29 - 2011-06-04,25
2011-06-05 - 2011-06-11,30
2011-06-12 - 2011-06-18,27
2011-06-19 - 2011-06-25,33
2011-06-26 - 2011-07-02,35
2011-07-03 - 2011-07-09,32
2011-07-10 - 2011-07-16,30
2011-07-17 - 2011-07-23,29
2011-07-24 - 2011-07-30,31
2011-07-31 - 2011-08-06,25
2011-08-07 - 2011-08-13,23
2011-08-14 - 2011-08-20,22
2011-08-21 - 2011-08-27,23
2011-08-28 - 2011-09-03,22
2011-09-04 - 2011-09-10,24
2011-09-11 - 2011-09-17,25
2011-09-18 - 2011-09-24,22
2011-09-25 - 2011-10-01,22
2011-10-02 - 2011-10-08,22
2011-10-09 - 2011-10-15,22
2011-10-16 - 2011-10-22,23
2011-10-23 - 2011-10-29,24
2011-10-30 - 2011-11-05,22
2011-11-06 - 2011-11-12,23
2011-11-13 - 2011-11-19,25
2011-11-20 - 2011-11-26,20
2011-11-27 - 2011-12-03,23
2011-12-04 - 2011-12-10,22
2011-12-11 - 2011-12-17,22
2011-12-18 - 2011-12-24,24
2011-12-25 - 2011-12-31,22
2012-01-01 - 2012-01-07,25
2012-01-08 - 2012-01-14,23
2012-01-15 - 2012-01-21,22
2012-01-22 - 2012-01-28,21
2012-01-29 - 2012-02-04,21
2012-02-05 - 2012-02-11,21
2012-02-12 - 2012-02-18,21
2012-02-19 - 2012-02-25,19
2012-02-26 - 2012-03-03,19
2012-03-04 - 2012-03-10,20
2012-03-11 - 2012-03-17,22
2012-03-18 - 2012-03-24,19
2012-03-25 - 2012-03-31,21
2012-04-01 - 2012-04-07,19
2012-04-08 - 2012-04-14,19
2012-04-15 - 2012-04-21,19
2012-04-22 - 2012-04-28,18
2012-04-29 - 2012-05-05,18
2012-05-06 - 2012-05-12,19
2012-05-13 - 2012-05-19,19
2012-05-20 - 2012-05-26,20
2012-05-27 - 2012-06-02,19
2012-06-03 - 2012-06-09,20
2012-06-10 - 2012-06-16,18
2012-06-17 - 2012-06-23,17
2012-06-24 - 2012-06-30,16
2012-07-01 - 2012-07-07,18
2012-07-08 - 2012-07-14,16
2012-07-15 - 2012-07-21,17
2012-07-22 - 2012-07-28,16
2012-07-29 - 2012-08-04,15
2012-08-05 - 2012-08-11,17
2012-08-12 - 2012-08-18,18
2012-08-19 - 2012-08-25,18
2012-08-26 - 2012-09-01,16
2012-09-02 - 2012-09-08,19
2012-09-09 - 2012-09-15,19
2012-09-16 - 2012-09-22,17
2012-09-23 - 2012-09-29,17
2012-09-30 - 2012-10-06,18
2012-10-07 - 2012-10-13,17
2012-10-14 - 2012-10-20,17
2012-10-21 - 2012-10-27,17
2012-10-28 - 2012-11-03,16
2012-11-04 - 2012-11-10,17
2012-11-11 - 2012-11-17,16
2012-11-18 - 2012-11-24,16
2012-11-25 - 2012-12-01,16
2012-12-02 - 2012-12-08,15
2012-12-09 - 2012-12-15,17
2012-12-16 - 2012-12-22,18
2012-12-23 - 2012-12-29,15
2012-12-30 - 2013-01-05,17
2013-01-06 - 2013-01-12,15
2013-01-13 - 2013-01-19,16
2013-01-20 - 2013-01-26,18
2013-01-27 - 2013-02-02,17
2013-02-03 - 2013-02-09,18
2013-02-10 - 2013-02-16,16
2013-02-17 - 2013-02-23,15
2013-02-24 - 2013-03-02,17
2013-03-03 - 2013-03-09,16
2013-03-10 - 2013-03-16,16
2013-03-17 - 2013-03-23,14
2013-03-24 - 2013-03-30,15
2013-03-31 - 2013-04-06,15
2013-04-07 - 2013-04-13,14
2013-04-14 - 2013-04-20,16
2013-04-21 - 2013-04-27,16
2013-04-28 - 2013-05-04,16
2013-05-05 - 2013-05-11,16
2013-05-12 - 2013-05-18,17
2013-05-19 - 2013-05-25,15
2013-05-26 - 2013-06-01,16
2013-06-02 - 2013-06-08,15
2013-06-09 - 2013-06-15,13
2013-06-16 - 2013-06-22,16
2013-06-23 - 2013-06-29,15
2013-06-30 - 2013-07-06,16
2013-07-07 - 2013-07-13,13
2013-07-14 - 2013-07-20,13
2013-07-21 - 2013-07-27,14
2013-07-28 - 2013-08-03,15
2013-08-04 - 2013-08-10,13
2013-08-11 - 2013-08-17,14
2013-08-18 - 2013-08-24,15
2013-08-25 - 2013-08-31,14
2013-09-01 - 2013-09-07,14
2013-09-08 - 2013-09-14,16
2013-09-15 - 2013-09-21,15
2013-09-22 - 2013-09-28,15
2013-09-29 - 2013-10-05,14
2013-10-06 - 2013-10-12,16
2013-10-13 - 2013-10-19,15
2013-10-20 - 2013-10-26,14
2013-10-27 - 2013-11-02,16
2013-11-03 - 2013-11-09,13
2013-11-10 - 2013-11-16,14
2013-11-17 - 2013-11-23,17
2013-11-24 - 2013-11-30,18
2013-12-01 - 2013-12-07,19
2013-12-08 - 2013-12-14,17
2013-12-15 - 2013-12-21,17
2013-12-22 - 2013-12-28,17
2013-12-29 - 2014-01-04,16
2014-01-05 - 2014-01-11,16
2014-01-12 - 2014-01-18,23
2014-01-19 - 2014-01-25,18
2014-01-26 - 2014-02-01,18
2014-02-02 - 2014-02-08,31
2014-02-09 - 2014-02-15,22
2014-02-16 - 2014-02-22,36
2014-02-23 - 2014-03-01,24
2014-03-02 - 2014-03-08,38
2014-03-09 - 2014-03-15,25
2014-03-16 - 2014-03-22,22
2014-03-23 - 2014-03-29,21
2014-03-30 - 2014-04-05,20
2014-04-06 - 2014-04-12,18
2014-04-13 - 2014-04-19,18
2014-04-20 - 2014-04-26,18
2014-04-27 - 2014-05-03,16
2014-05-04 - 2014-05-10,15
2014-05-11 - 2014-05-17,16
2014-05-18 - 2014-05-24,16
2014-05-25 - 2014-05-31,14
2014-06-01 - 2014-06-07,16
2014-06-08 - 2014-06-14,15
2014-06-15 - 2014-06-21,13
2014-06-22 - 2014-06-28,16
2014-06-29 - 2014-07-05,14
2014-07-06 - 2014-07-12,16
2014-07-13 - 2014-07-19,15
2014-07-20 - 2014-07-26,15
2014-07-27 - 2014-08-02,15
2014-08-03 - 2014-08-09,16
2014-08-10 - 2014-08-16,15
2014-08-17 - 2014-08-23,15
2014-08-24 - 2014-08-30,15
2014-08-31 - 2014-09-06,17
2014-09-07 - 2014-09-13,34
2014-09-14 - 2014-09-20,32
2014-09-21 - 2014-09-27,27
2014-09-28 - 2014-10-04,24
2014-10-05 - 2014-10-11,19
2014-10-12 - 2014-10-18,23
2014-10-19 - 2014-10-25,22
2014-10-26 - 2014-11-01,20
2014-11-02 - 2014-11-08,18
2014-11-09 - 2014-11-15,18
2014-11-16 - 2014-11-22,24
2014-11-23 - 2014-11-29,19
2014-11-30 - 2014-12-06,26
2014-12-07 - 2014-12-13,19
2014-12-14 - 2014-12-20,17
2014-12-21 - 2014-12-27,18
2014-12-28 - 2015-01-03,20
2015-01-04 - 2015-01-10,18
2015-01-11 - 2015-01-17,17
2015-01-18 - 2015-01-24,16
2015-01-25 - 2015-01-31,17
2015-02-01 - 2015-02-07,17
2015-02-08 - 2015-02-14,18
2015-02-15 - 2015-02-21,15
2015-02-22 - 2015-02-28,16
2015-03-01 - 2015-03-07,15
2015-03-08 - 2015-03-14,16
2015-03-15 - 2015-03-21,17
2015-03-22 - 2015-03-28,15
2015-03-29 - 2015-04-04,16
2015-04-05 - 2015-04-11,15
2015-04-12 - 2015-04-18,15
2015-04-19 - 2015-04-25,14
2015-04-26 - 2015-05-02,16
2015-05-03 - 2015-05-09,21
2015-05-10 - 2015-05-16,31
2015-05-17 - 2015-05-23,23
2015-05-24 - 2015-05-30,25
2015-05-31 - 2015-06-06,22
2015-06-07 - 2015-06-13,19
2015-06-14 - 2015-06-20,16
2015-06-21 - 2015-06-27,18
2015-06-28 - 2015-07-04,18
2015-07-05 - 2015-07-11,17
2015-07-12 - 2015-07-18,21
2015-07-19 - 2015-07-25,20
2015-07-26 - 2015-08-01,22


Top sub-regions for u2
Sub-region,u2
Virginia,100
Massachusetts,96
District of Columbia,87
California,86
Utah,85
New York,84
Vermont,79
New Hampshire,78
Connecticut,76
New Jersey,76
Pennsylvania,76
Colorado,75
Maine,73
Minnesota,72
Illinois,71
Rhode Island,70
Wisconsin,69
Florida,69
Washington,68
Missouri,66
Nebraska,65
Texas,64
Ohio,64
Michigan,63
Maryland,62
Oregon,61
Tennessee,60
Arizona,60
New Mexico,60
North Carolina,60
Montana,59
Oklahoma,59
North Dakota,57
Indiana,57
Delaware,57
Kansas,57
Iowa,55
Idaho,55
Nevada,55
South Dakota,55
Georgia,54
West Virginia,53
Alaska,53
Kentucky,51
South Carolina,50
Wyoming,49
Alabama,49
Arkansas,47
Louisiana,45
Hawaii,45
Mississippi,42


Top metros for u2
Metro,u2
Washington DC (Hagerstown MD),100
San Francisco-Oakland-San Jose CA,99
Boston MA-Manchester NH,89
Salt Lake City UT,86
Portland-Auburn ME,84
New York NY,82
El Paso TX,80
Albany-Schenectady-Troy NY,77
Hartford & New Haven CT,74
Wilkes Barre-Scranton PA,73
Madison WI,73
Miami-Ft. Lauderdale FL,72
Los Angeles CA,71
Philadelphia PA,71
Chicago IL,69
Austin TX,69
Seattle-Tacoma WA,69
Roanoke-Lynchburg VA,68
Spokane WA,68
Providence RI-New Bedford MA,68
Denver CO,67
St. Louis MO,66
Buffalo NY,66
Milwaukee WI,65
Omaha NE,65
San Diego CA,64
Minneapolis-St. Paul MN,64
Kansas City MO,63
Albuquerque-Santa Fe NM,63
Syracuse NY,63
Pittsburgh PA,63
Tucson (Sierra Vista) AZ,62
Baltimore MD,62
Detroit MI,61
Cleveland-Akron (Canton) OH,60
Harrisburg-Lancaster-Lebanon-York PA,59
San Antonio TX,58
Atlanta GA,57
Nashville TN,57
Dallas-Ft. Worth TX,56
Louisville KY,56
Grand Rapids-Kalamazoo-Battle Creek MI,56
Charlotte NC,56
Phoenix AZ,56
Orlando-Daytona Beach-Melbourne FL,56
Cincinnati OH,55
Lexington KY,55
Tampa-St. Petersburg (Sarasota) FL,55
West Palm Beach-Ft. Pierce FL,54
Greensboro-High Point-Winston Salem NC,54
Rochester NY,53
Indianapolis IN,53
Oklahoma City OK,53
Portland OR,53
Greenville-Spartanburg SC-Asheville NC-Anderson SC,53
Richmond-Petersburg VA,53
Houston TX,52
Raleigh-Durham (Fayetteville) NC,49
Sacramento-Stockton-Modesto CA,48
Norfolk-Portsmouth-Newport News VA,48
Las Vegas NV,47
Columbus OH,45
Honolulu HI,45
Jacksonville FL,44
Birmingham AL,44
Binghamton NY,0
Macon GA,0
Savannah GA,0
Ft. Wayne IN,0
Flint-Saginaw-Bay City MI,0
Erie PA,0
Charleston SC,0
Augusta GA,0
Columbus GA,0
Burlington VT-Plattsburgh NY,0
Albany GA,0
Utica NY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Youngstown OH,0
Bangor ME,0
Traverse City-Cadillac MI,0
Dayton OH,0
Springfield-Holyoke MA,0
Greenville-New Bern-Washington NC,0
Columbia SC,0
Toledo OH,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Springfield MO,0
New Orleans LA,0
Sioux City IA,0
Waco-Temple-Bryan TX,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Memphis TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Lubbock TX,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Tulsa OK,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Wichita-Hutchinson KS,0
Des Moines-Ames IA,0
Davenport IA-Rock Island-Moline IL,0
Mobile AL-Pensacola (Ft. Walton Beach) FL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Little Rock-Pine Bluff AR,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Colorado Springs-Pueblo CO,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Fresno-Visalia CA,0
Chico-Redding CA,0


Top cities for u2
Town/City,u2
Milpitas,100
Sterling,94
Boston,58
Miami,54
Los Angeles,53
Salt Lake City,53
Washington,53
New York,52
Irvine,48
Minneapolis,47
San Francisco,46
Seattle,45
Denver,45
St. Louis,44
San Diego,43



Top searches for u2
u2 one,100
u2 live,70
beautiful day,60
beautiful day u2,60
bloody sunday u2,30
bloody sunday,30
u2 one love,25
u2 vertigo,25
vertigo,25
bad u2,20
u2 songs,20
magnificent u2,15
u2 cover,15
u2 pride,15
new years day,15
u2 elevation,10
u2 360,10
u2 one lyrics,10
sweetest thing u2,10
u2 acoustic,10
bono,10
u2 boy,10
bono u2,10
mysterious ways u2,10
ordinary love u2,10
stay u2,10
u2 concert,10
u2 walk on,10
u2 one live,10
the fly u2,5
u2 full album,5
u2 slane castle,5
numb u2,5
u2 bad live,5
u2 please,5
u2 joshua tree,5
rem,5



Rising searches for u2
magnificent u2,Breakout
u2 one love,+250%
beautiful day,+200%
u2 songs,+200%
beautiful day u2,+190%
bloody sunday u2,+120%
bloody sunday,+90%
bad u2,+80%
u2 live,+80%
u2 one,+70%



