YouTube Search interest: fantasia
United States; Jan 2008 - Jul 2015

Interest over time
Week,fantasia
2010-11-21 - 2010-11-27,61
2010-11-28 - 2010-12-04,53
2010-12-05 - 2010-12-11,54
2010-12-12 - 2010-12-18,49
2010-12-19 - 2010-12-25,46
2010-12-26 - 2011-01-01,44
2011-01-02 - 2011-01-08,50
2011-01-09 - 2011-01-15,48
2011-01-16 - 2011-01-22,46
2011-01-23 - 2011-01-29,44
2011-01-30 - 2011-02-05,45
2011-02-06 - 2011-02-12,43
2011-02-13 - 2011-02-19,45
2011-02-20 - 2011-02-26,42
2011-02-27 - 2011-03-05,45
2011-03-06 - 2011-03-12,42
2011-03-13 - 2011-03-19,42
2011-03-20 - 2011-03-26,42
2011-03-27 - 2011-04-02,52
2011-04-03 - 2011-04-09,51
2011-04-10 - 2011-04-16,43
2011-04-17 - 2011-04-23,42
2011-04-24 - 2011-04-30,42
2011-05-01 - 2011-05-07,39
2011-05-08 - 2011-05-14,40
2011-05-15 - 2011-05-21,38
2011-05-22 - 2011-05-28,40
2011-05-29 - 2011-06-04,38
2011-06-05 - 2011-06-11,40
2011-06-12 - 2011-06-18,39
2011-06-19 - 2011-06-25,40
2011-06-26 - 2011-07-02,38
2011-07-03 - 2011-07-09,41
2011-07-10 - 2011-07-16,36
2011-07-17 - 2011-07-23,34
2011-07-24 - 2011-07-30,34
2011-07-31 - 2011-08-06,40
2011-08-07 - 2011-08-13,35
2011-08-14 - 2011-08-20,37
2011-08-21 - 2011-08-27,36
2011-08-28 - 2011-09-03,33
2011-09-04 - 2011-09-10,36
2011-09-11 - 2011-09-17,36
2011-09-18 - 2011-09-24,35
2011-09-25 - 2011-10-01,34
2011-10-02 - 2011-10-08,32
2011-10-09 - 2011-10-15,31
2011-10-16 - 2011-10-22,30
2011-10-23 - 2011-10-29,32
2011-10-30 - 2011-11-05,31
2011-11-06 - 2011-11-12,29
2011-11-13 - 2011-11-19,31
2011-11-20 - 2011-11-26,28
2011-11-27 - 2011-12-03,27
2011-12-04 - 2011-12-10,26
2011-12-11 - 2011-12-17,28
2011-12-18 - 2011-12-24,31
2011-12-25 - 2011-12-31,28
2012-01-01 - 2012-01-07,28
2012-01-08 - 2012-01-14,29
2012-01-15 - 2012-01-21,30
2012-01-22 - 2012-01-28,29
2012-01-29 - 2012-02-04,29
2012-02-05 - 2012-02-11,30
2012-02-12 - 2012-02-18,27
2012-02-19 - 2012-02-25,27
2012-02-26 - 2012-03-03,27
2012-03-04 - 2012-03-10,27
2012-03-11 - 2012-03-17,27
2012-03-18 - 2012-03-24,28
2012-03-25 - 2012-03-31,27
2012-04-01 - 2012-04-07,27
2012-04-08 - 2012-04-14,24
2012-04-15 - 2012-04-21,27
2012-04-22 - 2012-04-28,27
2012-04-29 - 2012-05-05,28
2012-05-06 - 2012-05-12,27
2012-05-13 - 2012-05-19,24
2012-05-20 - 2012-05-26,41
2012-05-27 - 2012-06-02,28
2012-06-03 - 2012-06-09,24
2012-06-10 - 2012-06-16,22
2012-06-17 - 2012-06-23,25
2012-06-24 - 2012-06-30,25
2012-07-01 - 2012-07-07,22
2012-07-08 - 2012-07-14,24
2012-07-15 - 2012-07-21,24
2012-07-22 - 2012-07-28,22
2012-07-29 - 2012-08-04,25
2012-08-05 - 2012-08-11,20
2012-08-12 - 2012-08-18,23
2012-08-19 - 2012-08-25,20
2012-08-26 - 2012-09-01,22
2012-09-02 - 2012-09-08,20
2012-09-09 - 2012-09-15,23
2012-09-16 - 2012-09-22,22
2012-09-23 - 2012-09-29,24
2012-09-30 - 2012-10-06,21
2012-10-07 - 2012-10-13,20
2012-10-14 - 2012-10-20,20
2012-10-21 - 2012-10-27,21
2012-10-28 - 2012-11-03,21
2012-11-04 - 2012-11-10,21
2012-11-11 - 2012-11-17,21
2012-11-18 - 2012-11-24,21
2012-11-25 - 2012-12-01,22
2012-12-02 - 2012-12-08,23
2012-12-09 - 2012-12-15,21
2012-12-16 - 2012-12-22,24
2012-12-23 - 2012-12-29,22
2012-12-30 - 2013-01-05,21
2013-01-06 - 2013-01-12,23
2013-01-13 - 2013-01-19,22
2013-01-20 - 2013-01-26,27
2013-01-27 - 2013-02-02,27
2013-02-03 - 2013-02-09,23
2013-02-10 - 2013-02-16,24
2013-02-17 - 2013-02-23,23
2013-02-24 - 2013-03-02,24
2013-03-03 - 2013-03-09,30
2013-03-10 - 2013-03-16,31
2013-03-17 - 2013-03-23,30
2013-03-24 - 2013-03-30,31
2013-03-31 - 2013-04-06,30
2013-04-07 - 2013-04-13,33
2013-04-14 - 2013-04-20,59
2013-04-21 - 2013-04-27,74
2013-04-28 - 2013-05-04,62
2013-05-05 - 2013-05-11,55
2013-05-12 - 2013-05-18,56
2013-05-19 - 2013-05-25,51
2013-05-26 - 2013-06-01,49
2013-06-02 - 2013-06-08,47
2013-06-09 - 2013-06-15,51
2013-06-16 - 2013-06-22,48
2013-06-23 - 2013-06-29,48
2013-06-30 - 2013-07-06,65
2013-07-07 - 2013-07-13,57
2013-07-14 - 2013-07-20,47
2013-07-21 - 2013-07-27,48
2013-07-28 - 2013-08-03,47
2013-08-04 - 2013-08-10,44
2013-08-11 - 2013-08-17,42
2013-08-18 - 2013-08-24,46
2013-08-25 - 2013-08-31,38
2013-09-01 - 2013-09-07,39
2013-09-08 - 2013-09-14,35
2013-09-15 - 2013-09-21,38
2013-09-22 - 2013-09-28,34
2013-09-29 - 2013-10-05,35
2013-10-06 - 2013-10-12,30
2013-10-13 - 2013-10-19,29
2013-10-20 - 2013-10-26,29
2013-10-27 - 2013-11-02,27
2013-11-03 - 2013-11-09,29
2013-11-10 - 2013-11-16,27
2013-11-17 - 2013-11-23,25
2013-11-24 - 2013-11-30,29
2013-12-01 - 2013-12-07,27
2013-12-08 - 2013-12-14,27
2013-12-15 - 2013-12-21,25
2013-12-22 - 2013-12-28,25
2013-12-29 - 2014-01-04,22
2014-01-05 - 2014-01-11,24
2014-01-12 - 2014-01-18,24
2014-01-19 - 2014-01-25,24
2014-01-26 - 2014-02-01,24
2014-02-02 - 2014-02-08,23
2014-02-09 - 2014-02-15,21
2014-02-16 - 2014-02-22,23
2014-02-23 - 2014-03-01,21
2014-03-02 - 2014-03-08,22
2014-03-09 - 2014-03-15,22
2014-03-16 - 2014-03-22,20
2014-03-23 - 2014-03-29,20
2014-03-30 - 2014-04-05,19
2014-04-06 - 2014-04-12,21
2014-04-13 - 2014-04-19,22
2014-04-20 - 2014-04-26,19
2014-04-27 - 2014-05-03,21
2014-05-04 - 2014-05-10,19
2014-05-11 - 2014-05-17,19
2014-05-18 - 2014-05-24,19
2014-05-25 - 2014-05-31,18
2014-06-01 - 2014-06-07,19
2014-06-08 - 2014-06-14,19
2014-06-15 - 2014-06-21,18
2014-06-22 - 2014-06-28,17
2014-06-29 - 2014-07-05,16
2014-07-06 - 2014-07-12,18
2014-07-13 - 2014-07-19,16
2014-07-20 - 2014-07-26,17
2014-07-27 - 2014-08-02,15
2014-08-03 - 2014-08-09,15
2014-08-10 - 2014-08-16,15
2014-08-17 - 2014-08-23,17
2014-08-24 - 2014-08-30,17
2014-08-31 - 2014-09-06,16
2014-09-07 - 2014-09-13,17
2014-09-14 - 2014-09-20,16
2014-09-21 - 2014-09-27,19
2014-09-28 - 2014-10-04,19
2014-10-05 - 2014-10-11,18
2014-10-12 - 2014-10-18,15
2014-10-19 - 2014-10-25,22
2014-10-26 - 2014-11-01,20
2014-11-02 - 2014-11-08,17
2014-11-09 - 2014-11-15,17
2014-11-16 - 2014-11-22,17
2014-11-23 - 2014-11-29,16
2014-11-30 - 2014-12-06,17
2014-12-07 - 2014-12-13,18
2014-12-14 - 2014-12-20,16
2014-12-21 - 2014-12-27,13
2014-12-28 - 2015-01-03,13
2015-01-04 - 2015-01-10,17
2015-01-11 - 2015-01-17,15
2015-01-18 - 2015-01-24,19
2015-01-25 - 2015-01-31,15
2015-02-01 - 2015-02-07,18
2015-02-08 - 2015-02-14,15
2015-02-15 - 2015-02-21,16
2015-02-22 - 2015-02-28,17
2015-03-01 - 2015-03-07,19
2015-03-08 - 2015-03-14,18
2015-03-15 - 2015-03-21,15
2015-03-22 - 2015-03-28,16
2015-03-29 - 2015-04-04,15
2015-04-05 - 2015-04-11,17
2015-04-12 - 2015-04-18,18
2015-04-19 - 2015-04-25,17
2015-04-26 - 2015-05-02,16
2015-05-03 - 2015-05-09,17
2015-05-10 - 2015-05-16,17
2015-05-17 - 2015-05-23,16
2015-05-24 - 2015-05-30,14
2015-05-31 - 2015-06-06,15
2015-06-07 - 2015-06-13,16
2015-06-14 - 2015-06-20,14
2015-06-21 - 2015-06-27,14
2015-06-28 - 2015-07-04,13
2015-07-05 - 2015-07-11,13
2015-07-12 - 2015-07-18,13
2015-07-19 - 2015-07-25,16
2015-07-26 - 2015-08-01,14


Top sub-regions for fantasia
Sub-region,fantasia
Mississippi,100
Louisiana,78
South Carolina,72
Alabama,71
Georgia,66
North Carolina,57
District of Columbia,50
Arkansas,46
Maryland,44
Florida,43
Tennessee,43
Delaware,34
Virginia,33
Texas,33
Missouri,32
Michigan,30
Illinois,29
New York,28
Ohio,28
New Jersey,27
Pennsylvania,26
Indiana,24
Kentucky,24
Connecticut,21
Oklahoma,21
Wisconsin,21
California,20
Vermont,19
Massachusetts,18
Kansas,18
Minnesota,17
Rhode Island,17
Nevada,17
Washington,16
Colorado,16
Arizona,14
Hawaii,14
Iowa,14
Nebraska,14
Alaska,13
West Virginia,13
Wyoming,13
New Mexico,13
Utah,12
South Dakota,11
New Hampshire,11
Oregon,11
Idaho,10
Maine,9
Montana,8
North Dakota,0


Top metros for fantasia
Metro,fantasia
Albany GA,100
Jackson MS,98
Tallahassee FL-Thomasville GA,87
Montgomery (Selma) AL,87
Macon GA,86
Memphis TN,79
Augusta GA,78
Charleston SC,73
Columbia SC,72
Baton Rouge LA,72
Shreveport LA,62
Birmingham AL,61
Raleigh-Durham (Fayetteville) NC,59
Florence-Myrtle Beach SC,59
New Orleans LA,53
Greenville-New Bern-Washington NC,50
Atlanta GA,50
Greensboro-High Point-Winston Salem NC,46
Charlotte NC,45
Savannah GA,42
Norfolk-Portsmouth-Newport News VA,41
Mobile AL-Pensacola (Ft. Walton Beach) FL,41
Baltimore MD,40
Richmond-Petersburg VA,39
Little Rock-Pine Bluff AR,39
West Palm Beach-Ft. Pierce FL,38
Jacksonville FL,38
Miami-Ft. Lauderdale FL,34
Orlando-Daytona Beach-Melbourne FL,33
Dallas-Ft. Worth TX,31
Tampa-St. Petersburg (Sarasota) FL,30
Detroit MI,29
Houston TX,29
Greenville-Spartanburg SC-Asheville NC-Anderson SC,28
Washington DC (Hagerstown MD),28
Nashville TN,28
St. Louis MO,28
Philadelphia PA,27
Louisville KY,26
Indianapolis IN,26
Rochester NY,25
Chicago IL,25
New York NY,24
Kansas City MO,21
Milwaukee WI,21
Cincinnati OH,20
Cleveland-Akron (Canton) OH,19
Columbus OH,18
Hartford & New Haven CT,18
Austin TX,18
Los Angeles CA,17
San Antonio TX,17
Oklahoma City OK,17
Minneapolis-St. Paul MN,15
Las Vegas NV,15
Pittsburgh PA,15
San Francisco-Oakland-San Jose CA,14
Seattle-Tacoma WA,14
Denver CO,13
San Diego CA,13
Sacramento-Stockton-Modesto CA,13
Boston MA-Manchester NH,13
Phoenix AZ,10
Portland OR,9
Portland-Auburn ME,0
Binghamton NY,0
Ft. Wayne IN,0
Flint-Saginaw-Bay City MI,0
Buffalo NY,0
Erie PA,0
Providence RI-New Bedford MA,0
Columbus GA,0
Burlington VT-Plattsburgh NY,0
Utica NY,0
Tri-Cities TN-VA,0
Albany-Schenectady-Troy NY,0
Youngstown OH,0
Bangor ME,0
Traverse City-Cadillac MI,0
Lexington KY,0
Dayton OH,0
Springfield-Holyoke MA,0
Toledo OH,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Syracuse NY,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Grand Rapids-Kalamazoo-Battle Creek MI,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisburg-Lancaster-Lebanon-York PA,0
Harrisonburg VA,0
Ft. Myers-Naples FL,0
Roanoke-Lynchburg VA,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Wilkes Barre-Scranton PA,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Springfield MO,0
Sioux City IA,0
Waco-Temple-Bryan TX,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Lubbock TX,0
Omaha NE,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Madison WI,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Tulsa OK,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Wichita-Hutchinson KS,0
Des Moines-Ames IA,0
Davenport IA-Rock Island-Moline IL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Quincy IL-Hannibal MO-Keokuk IA,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Honolulu HI,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Colorado Springs-Pueblo CO,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Salt Lake City UT,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Tucson (Sierra Vista) AZ,0
Albuquerque-Santa Fe NM,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Fresno-Visalia CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for fantasia
Town/City,fantasia
Memphis,100
Jackson,98
Montgomery,96
Birmingham,78
New Orleans,74
Atlanta,67
Baltimore,63
Detroit,61
Norfolk,52
Charlotte,52
Jacksonville,51
Raleigh,50
Washington,45
Dallas,43
Philadelphia,42



Top searches for fantasia
bittersweet fantasia,100
bittersweet,100
fantasia barrino,80
truth is,75
truth is fantasia,70
american idol fantasia,70
fantasia believe,65
without me fantasia,65
even angels fantasia,60
monica,55
fantasia live,55
fantasia i believe,55
disney fantasia,55
jennifer hudson,55
i believe,55
fantasia songs,50
fantasia movie,50
fantasia 2000,50
fantasia free yourself,45
keyshia cole,45
mi fantasia,35
fantasia part 1,35
fantasia gospel,35
nella fantasia,25
lyfe jennings,25
baby mama fantasia,25
fantasia 2013,25
baby mama,25
summertime fantasia,20
fantasia 2011,20
fantasia full movie,20
fantasia doing me,20
fantasia beautiful,20
grand fantasia,20
fantasia doin me,20
patti labelle,20
jazmine sullivan,15
fantasia bittersweet lyrics,15



Rising searches for fantasia
bittersweet,Breakout
bittersweet fantasia,Breakout
even angels fantasia,Breakout
without me fantasia,Breakout
monica,+250%
truth is,+200%
truth is fantasia,+170%
jennifer hudson,+160%
fantasia i believe,+120%
fantasia believe,+100%



