YouTube Search interest: young jeezy
United States; Jan 2008 - Jul 2015

Interest over time
Week,young jeezy
2014-07-13 - 2014-07-19,24
2014-07-20 - 2014-07-26,20
2014-07-27 - 2014-08-02,19
2014-08-03 - 2014-08-09,23
2014-08-10 - 2014-08-16,20
2014-08-17 - 2014-08-23,24
2014-08-24 - 2014-08-30,27
2014-08-31 - 2014-09-06,35
2014-09-07 - 2014-09-13,33
2014-09-14 - 2014-09-20,30
2014-09-21 - 2014-09-27,29
2014-09-28 - 2014-10-04,27
2014-10-05 - 2014-10-11,25
2014-10-12 - 2014-10-18,24
2014-10-19 - 2014-10-25,22
2014-10-26 - 2014-11-01,23
2014-11-02 - 2014-11-08,22
2014-11-09 - 2014-11-15,21
2014-11-16 - 2014-11-22,19
2014-11-23 - 2014-11-29,18
2014-11-30 - 2014-12-06,17
2014-12-07 - 2014-12-13,17
2014-12-14 - 2014-12-20,15
2014-12-21 - 2014-12-27,16
2014-12-28 - 2015-01-03,14
2015-01-04 - 2015-01-10,15
2015-01-11 - 2015-01-17,14
2015-01-18 - 2015-01-24,16
2015-01-25 - 2015-01-31,15
2015-02-01 - 2015-02-07,15
2015-02-08 - 2015-02-14,15
2015-02-15 - 2015-02-21,14
2015-02-22 - 2015-02-28,12
2015-03-01 - 2015-03-07,14
2015-03-08 - 2015-03-14,14
2015-03-15 - 2015-03-21,14
2015-03-22 - 2015-03-28,13
2015-03-29 - 2015-04-04,12
2015-04-05 - 2015-04-11,13
2015-04-12 - 2015-04-18,13
2015-04-19 - 2015-04-25,13
2015-04-26 - 2015-05-02,11
2015-05-03 - 2015-05-09,13
2015-05-10 - 2015-05-16,12
2015-05-17 - 2015-05-23,12
2015-05-24 - 2015-05-30,14
2015-05-31 - 2015-06-06,13
2015-06-07 - 2015-06-13,12
2015-06-14 - 2015-06-20,11
2015-06-21 - 2015-06-27,12
2015-06-28 - 2015-07-04,11
2015-07-05 - 2015-07-11,11
2015-07-12 - 2015-07-18,10
2015-07-19 - 2015-07-25,11
2015-07-26 - 2015-08-01,9


Top sub-regions for young jeezy
Sub-region,young jeezy
Mississippi,100
South Carolina,89
Georgia,87
Alabama,87
North Carolina,81
Michigan,79
Florida,70
Louisiana,69
Ohio,61
Maryland,61
Tennessee,59
Kentucky,58
Delaware,55
Illinois,55
Indiana,54
District of Columbia,53
Arkansas,53
Missouri,51
Pennsylvania,50
Wisconsin,48
Texas,45
New York,42
West Virginia,41
New Jersey,41
Minnesota,40
Virginia,39
Iowa,38
South Dakota,37
Kansas,36
Connecticut,36
Rhode Island,36
Vermont,36
North Dakota,35
Oklahoma,35
Arizona,34
Massachusetts,33
Nebraska,32
New Mexico,31
Colorado,28
Maine,27
Nevada,27
Alaska,26
California,26
New Hampshire,25
Wyoming,25
Washington,25
Montana,22
Idaho,18
Hawaii,17
Utah,15
Oregon,15


Top metros for young jeezy
Metro,young jeezy
Albany GA,100
Montgomery (Selma) AL,82
Macon GA,81
Tallahassee FL-Thomasville GA,78
Columbia SC,72
Florence-Myrtle Beach SC,70
Jackson MS,66
Detroit MI,64
Augusta GA,63
Savannah GA,62
Memphis TN,61
Columbus-Tupelo-West Point MS,61
Birmingham AL,58
Raleigh-Durham (Fayetteville) NC,57
Greenville-New Bern-Washington NC,55
Columbus GA,54
Atlanta GA,51
Norfolk-Portsmouth-Newport News VA,51
Miami-Ft. Lauderdale FL,50
Greensboro-High Point-Winston Salem NC,49
Charleston SC,49
Wilmington NC,49
West Palm Beach-Ft. Pierce FL,47
Louisville KY,46
Charlotte NC,46
Baltimore MD,46
Shreveport LA,46
New Orleans LA,45
Mobile AL-Pensacola (Ft. Walton Beach) FL,45
Greenville-Spartanburg SC-Asheville NC-Anderson SC,44
Jacksonville FL,44
Baton Rouge LA,43
Tampa-St. Petersburg (Sarasota) FL,43
Flint-Saginaw-Bay City MI,41
Richmond-Petersburg VA,41
St. Louis MO,40
Youngstown OH,40
Huntsville-Decatur (Florence) AL,40
Roanoke-Lynchburg VA,39
Little Rock-Pine Bluff AR,39
Ft. Wayne IN,39
Milwaukee WI,39
Gainesville FL,39
Lansing MI,38
Cleveland-Akron (Canton) OH,38
Chicago IL,38
Columbus OH,38
Toledo OH,38
Indianapolis IN,37
Philadelphia PA,37
Nashville TN,37
Grand Rapids-Kalamazoo-Battle Creek MI,36
Cincinnati OH,36
Orlando-Daytona Beach-Melbourne FL,36
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,35
Ft. Myers-Naples FL,34
Dayton OH,34
Pittsburgh PA,34
Chattanooga TN,33
Champaign & Springfield-Decatur IL,33
Dallas-Ft. Worth TX,33
South Bend-Elkhart IN,32
Buffalo NY,31
Lafayette LA,31
Tyler-Longview(Lufkin & Nacogdoches) TX,31
La Crosse-Eau Claire WI,31
Davenport IA-Rock Island-Moline IL,30
Charlottesville VA,30
Lexington KY,29
Charleston-Huntington WV,29
Peoria-Bloomington IL,29
Tri-Cities TN-VA,29
Rochester NY,29
Waco-Temple-Bryan TX,29
Kansas City MO,28
Houston TX,27
Minneapolis-St. Paul MN,26
New York NY,26
Bakersfield CA,26
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,26
Knoxville TN,25
Washington DC (Hagerstown MD),24
Albany-Schenectady-Troy NY,24
Des Moines-Ames IA,24
Fargo-Valley City ND,24
Providence RI-New Bedford MA,23
Sioux Falls(Mitchell) SD,23
Wilkes Barre-Scranton PA,23
Oklahoma City OK,23
Green Bay-Appleton WI,23
Hartford & New Haven CT,23
Phoenix AZ,23
Madison WI,23
Burlington VT-Plattsburgh NY,23
Omaha NE,22
Tucson (Sierra Vista) AZ,22
Syracuse NY,22
Boston MA-Manchester NH,22
Albuquerque-Santa Fe NM,22
Austin TX,21
Wichita-Hutchinson KS,21
Johnstown-Altoona PA,21
Tulsa OK,21
Harrisburg-Lancaster-Lebanon-York PA,21
Portland-Auburn ME,20
Springfield-Holyoke MA,20
El Paso TX,20
Springfield MO,19
San Antonio TX,19
Sacramento-Stockton-Modesto CA,19
Las Vegas NV,19
Los Angeles CA,19
Denver CO,19
Fresno-Visalia CA,19
Colorado Springs-Pueblo CO,17
Seattle-Tacoma WA,17
San Diego CA,14
Spokane WA,13
Harlingen-Weslaco-Brownsville-McAllen TX,13
San Francisco-Oakland-San Jose CA,11
Portland OR,11
Honolulu HI,11
Salt Lake City UT,10
Binghamton NY,0
Erie PA,0
Utica NY,0
Bangor ME,0
Traverse City-Cadillac MI,0
Watertown NY,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Elmira NY,0
Harrisonburg VA,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Sioux City IA,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Odessa-Midland TX,0
Amarillo TX,0
St. Joseph MO,0
Jackson TN,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Evansville IN,0
Lubbock TX,0
Panama City FL,0
Sherman TX-Ada OK,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Duluth MN-Superior WI,0
Minot-Bismarck-Dickinson(Williston) ND,0
Beaumont-Port Arthur TX,0
Wausau-Rhinelander WI,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Quincy IL-Hannibal MO-Keokuk IA,0
Lincoln & Hastings-Kearney NE,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Chico-Redding CA,0


Top cities for young jeezy
Town/City,young jeezy
Detroit,100
Jackson,72
Baltimore,68
Memphis,67
Atlanta,64
Greensboro,57
New Orleans,56
Louisville,54
Miami,51
Milwaukee,50
Tampa,50
Jacksonville,50
Raleigh,49
Charlotte,49
Philadelphia,48



Top searches for young jeezy
lil wayne,100
drake,50
gucci mane,40
put on,40
rick ross,35
young jeezy new,35
young money,30
lose my mind,25
wiz khalifa,25
young jeezy ballin,25
kanye west,20
plies,20
rip young jeezy,20
yo gotti,20
jay z,20
lil boosie,20
young jeezy everything,15
ti,15
future,15
akon,15
50 cent,15
young jeezy 2011,15
2 chainz,15
i put on,15
young jeezy freestyle,15
trap or die,15
waka flocka,10
young jeezy diss,10
t.i,10
young jeezy 2010,10
young jezzy,10
young jeezy fame,10
ludacris,10
t.i.,10
young jeezy recession,10
fabolous,10
flexin young jeezy,10
meek mill,10
young jeezy 2012,10
wale,10
i luv it,10
juicy j,5
vacation young jeezy,5
dj khaled,5
neyo,5
young jeezy 103,5
young jeezy supafreak,5
french montana,5



Rising searches for young jeezy
drake,Breakout
lose my mind,Breakout
put on,Breakout
rip young jeezy,Breakout
wiz khalifa,Breakout
yo gotti,Breakout
young jeezy ballin,Breakout
rick ross,+170%
young jeezy new,+120%
young money,+70%



