YouTube Search interest: josh turner
United States; Jan 2008 - Jul 2015

Interest over time
Week,josh turner
2009-04-12 - 2009-04-18,15
2009-04-19 - 2009-04-25,16
2009-04-26 - 2009-05-02,16
2009-05-03 - 2009-05-09,15
2009-05-10 - 2009-05-16,17
2009-05-17 - 2009-05-23,18
2009-05-24 - 2009-05-30,16
2009-05-31 - 2009-06-06,17
2009-06-07 - 2009-06-13,17
2009-06-14 - 2009-06-20,15
2009-06-21 - 2009-06-27,16
2009-06-28 - 2009-07-04,15
2009-07-05 - 2009-07-11,14
2009-07-12 - 2009-07-18,15
2009-07-19 - 2009-07-25,16
2009-07-26 - 2009-08-01,17
2009-08-02 - 2009-08-08,15
2009-08-09 - 2009-08-15,19
2009-08-16 - 2009-08-22,16
2009-08-23 - 2009-08-29,16
2009-08-30 - 2009-09-05,21
2009-09-06 - 2009-09-12,16
2009-09-13 - 2009-09-19,13
2009-09-20 - 2009-09-26,19
2009-09-27 - 2009-10-03,20
2009-10-04 - 2009-10-10,20
2009-10-11 - 2009-10-17,22
2009-10-18 - 2009-10-24,25
2009-10-25 - 2009-10-31,23
2009-11-01 - 2009-11-07,24
2009-11-08 - 2009-11-14,27
2009-11-15 - 2009-11-21,25
2009-11-22 - 2009-11-28,26
2009-11-29 - 2009-12-05,23
2009-12-06 - 2009-12-12,28
2009-12-13 - 2009-12-19,24
2009-12-20 - 2009-12-26,23
2009-12-27 - 2010-01-02,21
2010-01-03 - 2010-01-09,24
2010-01-10 - 2010-01-16,24
2010-01-17 - 2010-01-23,25
2010-01-24 - 2010-01-30,24
2010-01-31 - 2010-02-06,28
2010-02-07 - 2010-02-13,31
2010-02-14 - 2010-02-20,33
2010-02-21 - 2010-02-27,32
2010-02-28 - 2010-03-06,29
2010-03-07 - 2010-03-13,26
2010-03-14 - 2010-03-20,27
2010-03-21 - 2010-03-27,25
2010-03-28 - 2010-04-03,24
2010-04-04 - 2010-04-10,23
2010-04-11 - 2010-04-17,23
2010-04-18 - 2010-04-24,23
2010-04-25 - 2010-05-01,25
2010-05-02 - 2010-05-08,28
2010-05-09 - 2010-05-15,28
2010-05-16 - 2010-05-22,28
2010-05-23 - 2010-05-29,27
2010-05-30 - 2010-06-05,25
2010-06-06 - 2010-06-12,29
2010-06-13 - 2010-06-19,28
2010-06-20 - 2010-06-26,28
2010-06-27 - 2010-07-03,30
2010-07-04 - 2010-07-10,30
2010-07-11 - 2010-07-17,32
2010-07-18 - 2010-07-24,30
2010-07-25 - 2010-07-31,30
2010-08-01 - 2010-08-07,32
2010-08-08 - 2010-08-14,30
2010-08-15 - 2010-08-21,31
2010-08-22 - 2010-08-28,27
2010-08-29 - 2010-09-04,35
2010-09-05 - 2010-09-11,30
2010-09-12 - 2010-09-18,29
2010-09-19 - 2010-09-25,35
2010-09-26 - 2010-10-02,31
2010-10-03 - 2010-10-09,30
2010-10-10 - 2010-10-16,26
2010-10-17 - 2010-10-23,27
2010-10-24 - 2010-10-30,25
2010-10-31 - 2010-11-06,28
2010-11-07 - 2010-11-13,30
2010-11-14 - 2010-11-20,29
2010-11-21 - 2010-11-27,21
2010-11-28 - 2010-12-04,29
2010-12-05 - 2010-12-11,33
2010-12-12 - 2010-12-18,28
2010-12-19 - 2010-12-25,23
2010-12-26 - 2011-01-01,25
2011-01-02 - 2011-01-08,31
2011-01-09 - 2011-01-15,32
2011-01-16 - 2011-01-22,31
2011-01-23 - 2011-01-29,46
2011-01-30 - 2011-02-05,44
2011-02-06 - 2011-02-12,45
2011-02-13 - 2011-02-19,54
2011-02-20 - 2011-02-26,55
2011-02-27 - 2011-03-05,57
2011-03-06 - 2011-03-12,51
2011-03-13 - 2011-03-19,43
2011-03-20 - 2011-03-26,44
2011-03-27 - 2011-04-02,44
2011-04-03 - 2011-04-09,46
2011-04-10 - 2011-04-16,43
2011-04-17 - 2011-04-23,43
2011-04-24 - 2011-04-30,42
2011-05-01 - 2011-05-07,45
2011-05-08 - 2011-05-14,42
2011-05-15 - 2011-05-21,100
2011-05-22 - 2011-05-28,80
2011-05-29 - 2011-06-04,59
2011-06-05 - 2011-06-11,50
2011-06-12 - 2011-06-18,50
2011-06-19 - 2011-06-25,50
2011-06-26 - 2011-07-02,47
2011-07-03 - 2011-07-09,43
2011-07-10 - 2011-07-16,46
2011-07-17 - 2011-07-23,40
2011-07-24 - 2011-07-30,42
2011-07-31 - 2011-08-06,44
2011-08-07 - 2011-08-13,39
2011-08-14 - 2011-08-20,48
2011-08-21 - 2011-08-27,43
2011-08-28 - 2011-09-03,40
2011-09-04 - 2011-09-10,35
2011-09-11 - 2011-09-17,36
2011-09-18 - 2011-09-24,31
2011-09-25 - 2011-10-01,35
2011-10-02 - 2011-10-08,34
2011-10-09 - 2011-10-15,35
2011-10-16 - 2011-10-22,34
2011-10-23 - 2011-10-29,35
2011-10-30 - 2011-11-05,40
2011-11-06 - 2011-11-12,35
2011-11-13 - 2011-11-19,39
2011-11-20 - 2011-11-26,30
2011-11-27 - 2011-12-03,29
2011-12-04 - 2011-12-10,39
2011-12-11 - 2011-12-17,33
2011-12-18 - 2011-12-24,35
2011-12-25 - 2011-12-31,30
2012-01-01 - 2012-01-07,34
2012-01-08 - 2012-01-14,34
2012-01-15 - 2012-01-21,36
2012-01-22 - 2012-01-28,37
2012-01-29 - 2012-02-04,39
2012-02-05 - 2012-02-11,37
2012-02-12 - 2012-02-18,38
2012-02-19 - 2012-02-25,39
2012-02-26 - 2012-03-03,39
2012-03-04 - 2012-03-10,42
2012-03-11 - 2012-03-17,44
2012-03-18 - 2012-03-24,62
2012-03-25 - 2012-03-31,52
2012-04-01 - 2012-04-07,51
2012-04-08 - 2012-04-14,58
2012-04-15 - 2012-04-21,50
2012-04-22 - 2012-04-28,52
2012-04-29 - 2012-05-05,44
2012-05-06 - 2012-05-12,44
2012-05-13 - 2012-05-19,45
2012-05-20 - 2012-05-26,46
2012-05-27 - 2012-06-02,51
2012-06-03 - 2012-06-09,56
2012-06-10 - 2012-06-16,60
2012-06-17 - 2012-06-23,58
2012-06-24 - 2012-06-30,56
2012-07-01 - 2012-07-07,63
2012-07-08 - 2012-07-14,50
2012-07-15 - 2012-07-21,48
2012-07-22 - 2012-07-28,47
2012-07-29 - 2012-08-04,47
2012-08-05 - 2012-08-11,46
2012-08-12 - 2012-08-18,53
2012-08-19 - 2012-08-25,47
2012-08-26 - 2012-09-01,48
2012-09-02 - 2012-09-08,49
2012-09-09 - 2012-09-15,45
2012-09-16 - 2012-09-22,52
2012-09-23 - 2012-09-29,52
2012-09-30 - 2012-10-06,49
2012-10-07 - 2012-10-13,43
2012-10-14 - 2012-10-20,42
2012-10-21 - 2012-10-27,39
2012-10-28 - 2012-11-03,37
2012-11-04 - 2012-11-10,40
2012-11-11 - 2012-11-17,33
2012-11-18 - 2012-11-24,30
2012-11-25 - 2012-12-01,31
2012-12-02 - 2012-12-08,27
2012-12-09 - 2012-12-15,30
2012-12-16 - 2012-12-22,27
2012-12-23 - 2012-12-29,23
2012-12-30 - 2013-01-05,25
2013-01-06 - 2013-01-12,24
2013-01-13 - 2013-01-19,26
2013-01-20 - 2013-01-26,27
2013-01-27 - 2013-02-02,33
2013-02-03 - 2013-02-09,25
2013-02-10 - 2013-02-16,33
2013-02-17 - 2013-02-23,30
2013-02-24 - 2013-03-02,30
2013-03-03 - 2013-03-09,30
2013-03-10 - 2013-03-16,27
2013-03-17 - 2013-03-23,23
2013-03-24 - 2013-03-30,28
2013-03-31 - 2013-04-06,23
2013-04-07 - 2013-04-13,27
2013-04-14 - 2013-04-20,25
2013-04-21 - 2013-04-27,23
2013-04-28 - 2013-05-04,25
2013-05-05 - 2013-05-11,24
2013-05-12 - 2013-05-18,26
2013-05-19 - 2013-05-25,23
2013-05-26 - 2013-06-01,24
2013-06-02 - 2013-06-08,29
2013-06-09 - 2013-06-15,28
2013-06-16 - 2013-06-22,28
2013-06-23 - 2013-06-29,28
2013-06-30 - 2013-07-06,27
2013-07-07 - 2013-07-13,28
2013-07-14 - 2013-07-20,29
2013-07-21 - 2013-07-27,28
2013-07-28 - 2013-08-03,34
2013-08-04 - 2013-08-10,28
2013-08-11 - 2013-08-17,26
2013-08-18 - 2013-08-24,27
2013-08-25 - 2013-08-31,25
2013-09-01 - 2013-09-07,25
2013-09-08 - 2013-09-14,27
2013-09-15 - 2013-09-21,27
2013-09-22 - 2013-09-28,25
2013-09-29 - 2013-10-05,24
2013-10-06 - 2013-10-12,22
2013-10-13 - 2013-10-19,24
2013-10-20 - 2013-10-26,21
2013-10-27 - 2013-11-02,24
2013-11-03 - 2013-11-09,27
2013-11-10 - 2013-11-16,26
2013-11-17 - 2013-11-23,23
2013-11-24 - 2013-11-30,26
2013-12-01 - 2013-12-07,22
2013-12-08 - 2013-12-14,20
2013-12-15 - 2013-12-21,21
2013-12-22 - 2013-12-28,17
2013-12-29 - 2014-01-04,18
2014-01-05 - 2014-01-11,22
2014-01-12 - 2014-01-18,20
2014-01-19 - 2014-01-25,25
2014-01-26 - 2014-02-01,23
2014-02-02 - 2014-02-08,22
2014-02-09 - 2014-02-15,22
2014-02-16 - 2014-02-22,24
2014-02-23 - 2014-03-01,24
2014-03-02 - 2014-03-08,23
2014-03-09 - 2014-03-15,18
2014-03-16 - 2014-03-22,20
2014-03-23 - 2014-03-29,20
2014-03-30 - 2014-04-05,20
2014-04-06 - 2014-04-12,22
2014-04-13 - 2014-04-19,18
2014-04-20 - 2014-04-26,23
2014-04-27 - 2014-05-03,17
2014-05-04 - 2014-05-10,19
2014-05-11 - 2014-05-17,20
2014-05-18 - 2014-05-24,18
2014-05-25 - 2014-05-31,20
2014-06-01 - 2014-06-07,23
2014-06-08 - 2014-06-14,18
2014-06-15 - 2014-06-21,16
2014-06-22 - 2014-06-28,13
2014-06-29 - 2014-07-05,16
2014-07-06 - 2014-07-12,19
2014-07-13 - 2014-07-19,15
2014-07-20 - 2014-07-26,17
2014-07-27 - 2014-08-02,19
2014-08-03 - 2014-08-09,16
2014-08-10 - 2014-08-16,19
2014-08-17 - 2014-08-23,15
2014-08-24 - 2014-08-30,18
2014-08-31 - 2014-09-06,15
2014-09-07 - 2014-09-13,18
2014-09-14 - 2014-09-20,23
2014-09-21 - 2014-09-27,19
2014-09-28 - 2014-10-04,21
2014-10-05 - 2014-10-11,20
2014-10-12 - 2014-10-18,18
2014-10-19 - 2014-10-25,18
2014-10-26 - 2014-11-01,20
2014-11-02 - 2014-11-08,21
2014-11-09 - 2014-11-15,22
2014-11-16 - 2014-11-22,23
2014-11-23 - 2014-11-29,21
2014-11-30 - 2014-12-06,23
2014-12-07 - 2014-12-13,22
2014-12-14 - 2014-12-20,17
2014-12-21 - 2014-12-27,17
2014-12-28 - 2015-01-03,15
2015-01-04 - 2015-01-10,22
2015-01-11 - 2015-01-17,22
2015-01-18 - 2015-01-24,21
2015-01-25 - 2015-01-31,24
2015-02-01 - 2015-02-07,22
2015-02-08 - 2015-02-14,24
2015-02-15 - 2015-02-21,22
2015-02-22 - 2015-02-28,25
2015-03-01 - 2015-03-07,20
2015-03-08 - 2015-03-14,26
2015-03-15 - 2015-03-21,21
2015-03-22 - 2015-03-28,24
2015-03-29 - 2015-04-04,26
2015-04-05 - 2015-04-11,26
2015-04-12 - 2015-04-18,26
2015-04-19 - 2015-04-25,25
2015-04-26 - 2015-05-02,22
2015-05-03 - 2015-05-09,22
2015-05-10 - 2015-05-16,23
2015-05-17 - 2015-05-23,19
2015-05-24 - 2015-05-30,19
2015-05-31 - 2015-06-06,18
2015-06-07 - 2015-06-13,16
2015-06-14 - 2015-06-20,20
2015-06-21 - 2015-06-27,20
2015-06-28 - 2015-07-04,16
2015-07-05 - 2015-07-11,17
2015-07-12 - 2015-07-18,18
2015-07-19 - 2015-07-25,17
2015-07-26 - 2015-08-01,16


Top sub-regions for josh turner
Sub-region,josh turner
West Virginia,100
Kentucky,86
Wyoming,85
South Dakota,83
Montana,78
North Dakota,74
Idaho,73
Iowa,71
Tennessee,71
Indiana,66
Kansas,65
South Carolina,63
Wisconsin,63
New Mexico,63
Arkansas,62
North Carolina,62
Oklahoma,61
Maine,61
Nebraska,60
Alabama,60
Missouri,58
Ohio,58
Minnesota,50
Mississippi,49
Vermont,49
Colorado,48
Texas,48
Michigan,48
Utah,45
Georgia,43
Pennsylvania,38
Louisiana,38
New Hampshire,36
Alaska,36
Washington,34
Oregon,34
Arizona,34
Florida,33
Delaware,32
Illinois,32
Virginia,30
Maryland,28
Connecticut,25
Rhode Island,24
Nevada,23
Massachusetts,23
Hawaii,21
District of Columbia,20
New York,19
California,18
New Jersey,16


Top metros for josh turner
Metro,josh turner
Lexington KY,100
Greenville-Spartanburg SC-Asheville NC-Anderson SC,73
Louisville KY,71
Charlotte NC,60
Grand Rapids-Kalamazoo-Battle Creek MI,58
Greensboro-High Point-Winston Salem NC,58
Harrisburg-Lancaster-Lebanon-York PA,58
Indianapolis IN,55
Oklahoma City OK,54
Nashville TN,53
Kansas City MO,51
San Antonio TX,50
Columbus OH,50
Salt Lake City UT,49
Cleveland-Akron (Canton) OH,48
Milwaukee WI,47
Raleigh-Durham (Fayetteville) NC,46
St. Louis MO,46
Pittsburgh PA,44
Cincinnati OH,44
Minneapolis-St. Paul MN,42
Austin TX,40
Denver CO,40
Houston TX,37
Atlanta GA,35
Dallas-Ft. Worth TX,34
Tampa-St. Petersburg (Sarasota) FL,32
Portland OR,32
Detroit MI,31
Phoenix AZ,30
Orlando-Daytona Beach-Melbourne FL,29
Baltimore MD,28
Seattle-Tacoma WA,26
Chicago IL,25
Sacramento-Stockton-Modesto CA,23
Philadelphia PA,23
Boston MA-Manchester NH,23
Washington DC (Hagerstown MD),19
Los Angeles CA,14
New York NY,11
San Francisco-Oakland-San Jose CA,9
Portland-Auburn ME,0
Binghamton NY,0
Macon GA,0
Savannah GA,0
Ft. Wayne IN,0
Flint-Saginaw-Bay City MI,0
Buffalo NY,0
Erie PA,0
Charleston SC,0
Augusta GA,0
Providence RI-New Bedford MA,0
Columbus GA,0
Burlington VT-Plattsburgh NY,0
Albany GA,0
Utica NY,0
Miami-Ft. Lauderdale FL,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Albany-Schenectady-Troy NY,0
Hartford & New Haven CT,0
Youngstown OH,0
Bangor ME,0
Rochester NY,0
Traverse City-Cadillac MI,0
Dayton OH,0
Springfield-Holyoke MA,0
Norfolk-Portsmouth-Newport News VA,0
Greenville-New Bern-Washington NC,0
Columbia SC,0
Toledo OH,0
West Palm Beach-Ft. Pierce FL,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Syracuse NY,0
Richmond-Petersburg VA,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Jacksonville FL,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Roanoke-Lynchburg VA,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Wilkes Barre-Scranton PA,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Springfield MO,0
New Orleans LA,0
Sioux City IA,0
Waco-Temple-Bryan TX,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Birmingham AL,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Memphis TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Lubbock TX,0
Omaha NE,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Madison WI,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Tulsa OK,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Wichita-Hutchinson KS,0
Des Moines-Ames IA,0
Davenport IA-Rock Island-Moline IL,0
Mobile AL-Pensacola (Ft. Walton Beach) FL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Little Rock-Pine Bluff AR,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Honolulu HI,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Colorado Springs-Pueblo CO,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Tucson (Sierra Vista) AZ,0
Albuquerque-Santa Fe NM,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
San Diego CA,0
Monterey-Salinas CA,0
Las Vegas NV,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Fresno-Visalia CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for josh turner
Town/City,josh turner
Albuquerque,100
Oklahoma City,87
Louisville,84
San Antonio,83
Indianapolis,79
Columbus,74
St. Louis,70
Denver,67
Austin,65
Charlotte,64
Houston,61
Dallas,56
Minneapolis,54
Atlanta,53
Portland,52



Top searches for josh turner
your man,100
josh turner lyrics,90
long black train,60
time is love,50
scotty mccreery,25
firecracker,20
josh turner firecracker,20
all over me,20
josh turner dance,20
me and god,15
randy travis,15
josh turner live,10
soulmate,5
soulmate josh turner,5
josh thompson,5



Rising searches for josh turner
all over me,Breakout
josh turner dance,Breakout
josh turner lyrics,Breakout
scotty mccreery,Breakout
time is love,Breakout
your man,+850%
long black train,+400%
me and god,+40%



