YouTube Search interest: owl city
United States; Jan 2008 - Jul 2015

Interest over time
Week,owl city
2009-03-22 - 2009-03-28,2
2009-03-29 - 2009-04-04,3
2009-04-05 - 2009-04-11,3
2009-04-12 - 2009-04-18,2
2009-04-19 - 2009-04-25,3
2009-04-26 - 2009-05-02,3
2009-05-03 - 2009-05-09,3
2009-05-10 - 2009-05-16,3
2009-05-17 - 2009-05-23,4
2009-05-24 - 2009-05-30,4
2009-05-31 - 2009-06-06,4
2009-06-07 - 2009-06-13,3
2009-06-14 - 2009-06-20,3
2009-06-21 - 2009-06-27,3
2009-06-28 - 2009-07-04,3
2009-07-05 - 2009-07-11,4
2009-07-12 - 2009-07-18,7
2009-07-19 - 2009-07-25,12
2009-07-26 - 2009-08-01,11
2009-08-02 - 2009-08-08,12
2009-08-09 - 2009-08-15,12
2009-08-16 - 2009-08-22,15
2009-08-23 - 2009-08-29,17
2009-08-30 - 2009-09-05,18
2009-09-06 - 2009-09-12,23
2009-09-13 - 2009-09-19,27
2009-09-20 - 2009-09-26,40
2009-09-27 - 2009-10-03,50
2009-10-04 - 2009-10-10,62
2009-10-11 - 2009-10-17,75
2009-10-18 - 2009-10-24,86
2009-10-25 - 2009-10-31,94
2009-11-01 - 2009-11-07,100
2009-11-08 - 2009-11-14,97
2009-11-15 - 2009-11-21,96
2009-11-22 - 2009-11-28,97
2009-11-29 - 2009-12-05,85
2009-12-06 - 2009-12-12,80
2009-12-13 - 2009-12-19,81
2009-12-20 - 2009-12-26,86
2009-12-27 - 2010-01-02,76
2010-01-03 - 2010-01-09,62
2010-01-10 - 2010-01-16,60
2010-01-17 - 2010-01-23,55
2010-01-24 - 2010-01-30,52
2010-01-31 - 2010-02-06,46
2010-02-07 - 2010-02-13,45
2010-02-14 - 2010-02-20,41
2010-02-21 - 2010-02-27,40
2010-02-28 - 2010-03-06,38
2010-03-07 - 2010-03-13,38
2010-03-14 - 2010-03-20,37
2010-03-21 - 2010-03-27,42
2010-03-28 - 2010-04-03,41
2010-04-04 - 2010-04-10,37
2010-04-11 - 2010-04-17,30
2010-04-18 - 2010-04-24,27
2010-04-25 - 2010-05-01,26
2010-05-02 - 2010-05-08,25
2010-05-09 - 2010-05-15,24
2010-05-16 - 2010-05-22,22
2010-05-23 - 2010-05-29,22
2010-05-30 - 2010-06-05,22
2010-06-06 - 2010-06-12,20
2010-06-13 - 2010-06-19,19
2010-06-20 - 2010-06-26,18
2010-06-27 - 2010-07-03,16
2010-07-04 - 2010-07-10,15
2010-07-11 - 2010-07-17,15
2010-07-18 - 2010-07-24,15
2010-07-25 - 2010-07-31,16
2010-08-01 - 2010-08-07,15
2010-08-08 - 2010-08-14,15
2010-08-15 - 2010-08-21,14
2010-08-22 - 2010-08-28,14
2010-08-29 - 2010-09-04,16
2010-09-05 - 2010-09-11,14
2010-09-12 - 2010-09-18,15
2010-09-19 - 2010-09-25,17
2010-09-26 - 2010-10-02,14
2010-10-03 - 2010-10-09,13
2010-10-10 - 2010-10-16,13
2010-10-17 - 2010-10-23,12
2010-10-24 - 2010-10-30,14
2010-10-31 - 2010-11-06,13
2010-11-07 - 2010-11-13,13
2010-11-14 - 2010-11-20,12
2010-11-21 - 2010-11-27,14
2010-11-28 - 2010-12-04,12
2010-12-05 - 2010-12-11,12
2010-12-12 - 2010-12-18,13
2010-12-19 - 2010-12-25,12
2010-12-26 - 2011-01-01,12
2011-01-02 - 2011-01-08,12
2011-01-09 - 2011-01-15,13
2011-01-16 - 2011-01-22,13
2011-01-23 - 2011-01-29,12
2011-01-30 - 2011-02-05,13
2011-02-06 - 2011-02-12,12
2011-02-13 - 2011-02-19,14
2011-02-20 - 2011-02-26,12
2011-02-27 - 2011-03-05,12
2011-03-06 - 2011-03-12,11
2011-03-13 - 2011-03-19,11
2011-03-20 - 2011-03-26,15
2011-03-27 - 2011-04-02,13
2011-04-03 - 2011-04-09,12
2011-04-10 - 2011-04-16,12
2011-04-17 - 2011-04-23,12
2011-04-24 - 2011-04-30,12
2011-05-01 - 2011-05-07,13
2011-05-08 - 2011-05-14,18
2011-05-15 - 2011-05-21,13
2011-05-22 - 2011-05-28,13
2011-05-29 - 2011-06-04,12
2011-06-05 - 2011-06-11,13
2011-06-12 - 2011-06-18,22
2011-06-19 - 2011-06-25,14
2011-06-26 - 2011-07-02,14
2011-07-03 - 2011-07-09,16
2011-07-10 - 2011-07-16,14
2011-07-17 - 2011-07-23,13
2011-07-24 - 2011-07-30,13
2011-07-31 - 2011-08-06,12
2011-08-07 - 2011-08-13,11
2011-08-14 - 2011-08-20,11
2011-08-21 - 2011-08-27,11
2011-08-28 - 2011-09-03,12
2011-09-04 - 2011-09-10,12
2011-09-11 - 2011-09-17,12
2011-09-18 - 2011-09-24,11
2011-09-25 - 2011-10-01,11
2011-10-02 - 2011-10-08,11
2011-10-09 - 2011-10-15,11
2011-10-16 - 2011-10-22,10
2011-10-23 - 2011-10-29,11
2011-10-30 - 2011-11-05,10
2011-11-06 - 2011-11-12,10
2011-11-13 - 2011-11-19,11
2011-11-20 - 2011-11-26,10
2011-11-27 - 2011-12-03,10
2011-12-04 - 2011-12-10,10
2011-12-11 - 2011-12-17,10
2011-12-18 - 2011-12-24,11
2011-12-25 - 2011-12-31,9
2012-01-01 - 2012-01-07,9
2012-01-08 - 2012-01-14,9
2012-01-15 - 2012-01-21,9
2012-01-22 - 2012-01-28,9
2012-01-29 - 2012-02-04,9
2012-02-05 - 2012-02-11,9
2012-02-12 - 2012-02-18,9
2012-02-19 - 2012-02-25,9
2012-02-26 - 2012-03-03,8
2012-03-04 - 2012-03-10,9
2012-03-11 - 2012-03-17,8
2012-03-18 - 2012-03-24,9
2012-03-25 - 2012-03-31,8
2012-04-01 - 2012-04-07,8
2012-04-08 - 2012-04-14,8
2012-04-15 - 2012-04-21,9
2012-04-22 - 2012-04-28,9
2012-04-29 - 2012-05-05,8
2012-05-06 - 2012-05-12,9
2012-05-13 - 2012-05-19,10
2012-05-20 - 2012-05-26,9
2012-05-27 - 2012-06-02,9
2012-06-03 - 2012-06-09,10
2012-06-10 - 2012-06-16,10
2012-06-17 - 2012-06-23,10
2012-06-24 - 2012-06-30,17
2012-07-01 - 2012-07-07,22
2012-07-08 - 2012-07-14,22
2012-07-15 - 2012-07-21,27
2012-07-22 - 2012-07-28,34
2012-07-29 - 2012-08-04,34
2012-08-05 - 2012-08-11,34
2012-08-12 - 2012-08-18,34
2012-08-19 - 2012-08-25,38
2012-08-26 - 2012-09-01,38
2012-09-02 - 2012-09-08,33
2012-09-09 - 2012-09-15,33
2012-09-16 - 2012-09-22,34
2012-09-23 - 2012-09-29,31
2012-09-30 - 2012-10-06,28
2012-10-07 - 2012-10-13,27
2012-10-14 - 2012-10-20,25
2012-10-21 - 2012-10-27,25
2012-10-28 - 2012-11-03,30
2012-11-04 - 2012-11-10,29
2012-11-11 - 2012-11-17,24
2012-11-18 - 2012-11-24,20
2012-11-25 - 2012-12-01,18
2012-12-02 - 2012-12-08,15
2012-12-09 - 2012-12-15,14
2012-12-16 - 2012-12-22,13
2012-12-23 - 2012-12-29,14
2012-12-30 - 2013-01-05,13
2013-01-06 - 2013-01-12,12
2013-01-13 - 2013-01-19,12
2013-01-20 - 2013-01-26,12
2013-01-27 - 2013-02-02,12
2013-02-03 - 2013-02-09,11
2013-02-10 - 2013-02-16,12
2013-02-17 - 2013-02-23,10
2013-02-24 - 2013-03-02,10
2013-03-03 - 2013-03-09,11
2013-03-10 - 2013-03-16,11
2013-03-17 - 2013-03-23,11
2013-03-24 - 2013-03-30,12
2013-03-31 - 2013-04-06,10
2013-04-07 - 2013-04-13,9
2013-04-14 - 2013-04-20,9
2013-04-21 - 2013-04-27,9
2013-04-28 - 2013-05-04,9
2013-05-05 - 2013-05-11,9
2013-05-12 - 2013-05-18,11
2013-05-19 - 2013-05-25,10
2013-05-26 - 2013-06-01,10
2013-06-02 - 2013-06-08,9
2013-06-09 - 2013-06-15,9
2013-06-16 - 2013-06-22,9
2013-06-23 - 2013-06-29,9
2013-06-30 - 2013-07-06,8
2013-07-07 - 2013-07-13,8
2013-07-14 - 2013-07-20,7
2013-07-21 - 2013-07-27,7
2013-07-28 - 2013-08-03,8
2013-08-04 - 2013-08-10,8
2013-08-11 - 2013-08-17,7
2013-08-18 - 2013-08-24,7
2013-08-25 - 2013-08-31,7
2013-09-01 - 2013-09-07,7
2013-09-08 - 2013-09-14,8
2013-09-15 - 2013-09-21,7
2013-09-22 - 2013-09-28,7
2013-09-29 - 2013-10-05,7
2013-10-06 - 2013-10-12,8
2013-10-13 - 2013-10-19,8
2013-10-20 - 2013-10-26,8
2013-10-27 - 2013-11-02,7
2013-11-03 - 2013-11-09,7
2013-11-10 - 2013-11-16,7
2013-11-17 - 2013-11-23,7
2013-11-24 - 2013-11-30,7
2013-12-01 - 2013-12-07,8
2013-12-08 - 2013-12-14,7
2013-12-15 - 2013-12-21,7
2013-12-22 - 2013-12-28,6
2013-12-29 - 2014-01-04,6
2014-01-05 - 2014-01-11,7
2014-01-12 - 2014-01-18,6
2014-01-19 - 2014-01-25,6
2014-01-26 - 2014-02-01,6
2014-02-02 - 2014-02-08,7
2014-02-09 - 2014-02-15,7
2014-02-16 - 2014-02-22,6
2014-02-23 - 2014-03-01,6
2014-03-02 - 2014-03-08,6
2014-03-09 - 2014-03-15,5
2014-03-16 - 2014-03-22,5
2014-03-23 - 2014-03-29,6
2014-03-30 - 2014-04-05,6
2014-04-06 - 2014-04-12,7
2014-04-13 - 2014-04-19,6
2014-04-20 - 2014-04-26,6
2014-04-27 - 2014-05-03,6
2014-05-04 - 2014-05-10,6
2014-05-11 - 2014-05-17,5
2014-05-18 - 2014-05-24,6
2014-05-25 - 2014-05-31,5
2014-06-01 - 2014-06-07,6
2014-06-08 - 2014-06-14,5
2014-06-15 - 2014-06-21,6
2014-06-22 - 2014-06-28,8
2014-06-29 - 2014-07-05,8
2014-07-06 - 2014-07-12,6
2014-07-13 - 2014-07-19,6
2014-07-20 - 2014-07-26,6
2014-07-27 - 2014-08-02,5
2014-08-03 - 2014-08-09,5
2014-08-10 - 2014-08-16,5
2014-08-17 - 2014-08-23,5
2014-08-24 - 2014-08-30,5
2014-08-31 - 2014-09-06,5
2014-09-07 - 2014-09-13,6
2014-09-14 - 2014-09-20,5
2014-09-21 - 2014-09-27,5
2014-09-28 - 2014-10-04,5
2014-10-05 - 2014-10-11,6
2014-10-12 - 2014-10-18,6
2014-10-19 - 2014-10-25,6
2014-10-26 - 2014-11-01,5
2014-11-02 - 2014-11-08,6
2014-11-09 - 2014-11-15,5
2014-11-16 - 2014-11-22,5
2014-11-23 - 2014-11-29,5
2014-11-30 - 2014-12-06,5
2014-12-07 - 2014-12-13,6
2014-12-14 - 2014-12-20,5
2014-12-21 - 2014-12-27,4
2014-12-28 - 2015-01-03,4
2015-01-04 - 2015-01-10,5
2015-01-11 - 2015-01-17,5
2015-01-18 - 2015-01-24,4
2015-01-25 - 2015-01-31,5
2015-02-01 - 2015-02-07,4
2015-02-08 - 2015-02-14,5
2015-02-15 - 2015-02-21,5
2015-02-22 - 2015-02-28,4
2015-03-01 - 2015-03-07,5
2015-03-08 - 2015-03-14,5
2015-03-15 - 2015-03-21,4
2015-03-22 - 2015-03-28,5
2015-03-29 - 2015-04-04,4
2015-04-05 - 2015-04-11,5
2015-04-12 - 2015-04-18,5
2015-04-19 - 2015-04-25,5
2015-04-26 - 2015-05-02,5
2015-05-03 - 2015-05-09,5
2015-05-10 - 2015-05-16,6
2015-05-17 - 2015-05-23,5
2015-05-24 - 2015-05-30,5
2015-05-31 - 2015-06-06,6
2015-06-07 - 2015-06-13,6
2015-06-14 - 2015-06-20,5
2015-06-21 - 2015-06-27,5
2015-06-28 - 2015-07-04,5
2015-07-05 - 2015-07-11,6
2015-07-12 - 2015-07-18,6
2015-07-19 - 2015-07-25,5
2015-07-26 - 2015-08-01,6


Top sub-regions for owl city
Sub-region,owl city
Utah,100
South Dakota,94
Idaho,90
Missouri,82
North Dakota,82
Wisconsin,81
Minnesota,80
Wyoming,77
Nebraska,77
Kansas,76
Michigan,75
Iowa,74
Ohio,73
Indiana,70
Maine,69
Colorado,69
Washington,68
Oklahoma,67
Montana,66
Pennsylvania,66
New Hampshire,66
Kentucky,62
Alaska,62
Arkansas,61
Hawaii,61
Texas,60
Arizona,60
Vermont,59
Nevada,59
Connecticut,58
Illinois,58
Tennessee,58
Massachusetts,57
Florida,56
District of Columbia,56
New Jersey,56
North Carolina,56
Georgia,55
South Carolina,55
Oregon,54
Virginia,54
California,53
New Mexico,52
West Virginia,52
Alabama,52
Delaware,52
New York,51
Rhode Island,51
Maryland,49
Mississippi,48
Louisiana,46


Top metros for owl city
Metro,owl city
La Crosse-Eau Claire WI,100
Sioux Falls(Mitchell) SD,98
Salt Lake City UT,90
Kansas City MO,87
Fargo-Valley City ND,87
Green Bay-Appleton WI,85
Grand Rapids-Kalamazoo-Battle Creek MI,84
Ft. Wayne IN,84
Flint-Saginaw-Bay City MI,82
Springfield MO,79
South Bend-Elkhart IN,78
St. Louis MO,76
Madison WI,76
Portland-Auburn ME,75
Colorado Springs-Pueblo CO,75
Eugene OR,75
Dayton OH,73
Minneapolis-St. Paul MN,73
Omaha NE,72
Oklahoma City OK,71
Boise ID,70
Wichita-Hutchinson KS,70
Milwaukee WI,69
Lansing MI,69
Spokane WA,68
Wilkes Barre-Scranton PA,68
Reno NV,67
Detroit MI,66
Seattle-Tacoma WA,65
Roanoke-Lynchburg VA,65
Dallas-Ft. Worth TX,65
Cleveland-Akron (Canton) OH,64
Pittsburgh PA,63
Rochester NY,63
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,63
Columbus OH,63
Harrisburg-Lancaster-Lebanon-York PA,63
Buffalo NY,62
Indianapolis IN,62
Chattanooga TN,62
Des Moines-Ames IA,61
Huntsville-Decatur (Florence) AL,61
Charleston-Huntington WV,60
Philadelphia PA,60
Johnstown-Altoona PA,60
Tucson (Sierra Vista) AZ,60
Champaign & Springfield-Decatur IL,60
Syracuse NY,60
Albany-Schenectady-Troy NY,60
Little Rock-Pine Bluff AR,60
Albuquerque-Santa Fe NM,59
Toledo OH,59
Denver CO,59
Greenville-Spartanburg SC-Asheville NC-Anderson SC,59
Louisville KY,58
Las Vegas NV,58
Cincinnati OH,58
Chicago IL,58
Sacramento-Stockton-Modesto CA,58
Phoenix AZ,57
Waco-Temple-Bryan TX,57
Nashville TN,57
Hartford & New Haven CT,56
Charlotte NC,56
Tampa-St. Petersburg (Sarasota) FL,56
San Antonio TX,56
Honolulu HI,55
Los Angeles CA,55
Norfolk-Portsmouth-Newport News VA,55
Jackson MS,55
Boston MA-Manchester NH,54
Atlanta GA,54
Tulsa OK,54
Burlington VT-Plattsburgh NY,53
Houston TX,53
Orlando-Daytona Beach-Melbourne FL,53
West Palm Beach-Ft. Pierce FL,52
Santa Barbara-Santa Maria-San Luis Obispo CA,52
San Diego CA,52
Raleigh-Durham (Fayetteville) NC,51
Knoxville TN,51
Fresno-Visalia CA,51
Washington DC (Hagerstown MD),50
Providence RI-New Bedford MA,50
Lexington KY,50
Columbia SC,49
Portland OR,49
Austin TX,48
Springfield-Holyoke MA,48
Baltimore MD,48
Greensboro-High Point-Winston Salem NC,48
Richmond-Petersburg VA,47
New York NY,47
Birmingham AL,47
Jacksonville FL,46
Memphis TN,45
Mobile AL-Pensacola (Ft. Walton Beach) FL,45
Miami-Ft. Lauderdale FL,44
New Orleans LA,42
San Francisco-Oakland-San Jose CA,39
Harlingen-Weslaco-Brownsville-McAllen TX,37
Binghamton NY,0
Macon GA,0
Savannah GA,0
Erie PA,0
Charleston SC,0
Augusta GA,0
Columbus GA,0
Albany GA,0
Utica NY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Youngstown OH,0
Bangor ME,0
Traverse City-Cadillac MI,0
Greenville-New Bern-Washington NC,0
Watertown NY,0
Wilmington NC,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Elmira NY,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Sioux City IA,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
St. Joseph MO,0
Jackson TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Evansville IN,0
Lubbock TX,0
Panama City FL,0
Sherman TX-Ada OK,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Davenport IA-Rock Island-Moline IL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Beaumont-Port Arthur TX,0
Montgomery (Selma) AL,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Lincoln & Hastings-Kearney NE,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Bakersfield CA,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Chico-Redding CA,0


Top cities for owl city
Town/City,owl city
Salt Lake City,100
St. Louis,88
Herndon,85
Richardson,82
Reston,70
Minneapolis,67
Seattle,66
Oklahoma City,66
Pleasanton,65
Denver,65
Orlando,63
Columbus,61
Phoenix,60
Atlanta,60
Las Vegas,59



Top searches for owl city
owl city fireflies,100
fireflies,100
owl city lyrics,50
good time,30
vanilla twilight,25
carly rae jepsen,25
fireflies lyrics,20
owl city seattle,10
hello seattle,10
fireflies music video,5
owl city songs,5
vanilla twilight lyrics,5
rainbow veins,5
owl city live,5
owl city cover,5
alligator sky,5
owl city galaxies,5
galaxies,5
in christ alone,5
shooting star,5
owl city enchanted,5
owl city parody,5
fireflys owl city,0
fireflys,0
owl city gold,0
meteor shower,0
owl city firefly,0
firefly,0
owl city dubstep,0



Rising searches for owl city
carly rae jepsen,Breakout
fireflies,Breakout
fireflies lyrics,Breakout
fireflies music video,Breakout
good time,Breakout
hello seattle,Breakout
owl city fireflies,Breakout
owl city lyrics,Breakout
owl city seattle,Breakout
owl city songs,Breakout



