YouTube Search interest: nicki minaj
United States; Jan 2008 - Jul 2015

Interest over time
Week,nicki minaj
2009-03-22 - 2009-03-28,1
2009-03-29 - 2009-04-04,1
2009-04-05 - 2009-04-11,1
2009-04-12 - 2009-04-18,1
2009-04-19 - 2009-04-25,1
2009-04-26 - 2009-05-02,1
2009-05-03 - 2009-05-09,2
2009-05-10 - 2009-05-16,2
2009-05-17 - 2009-05-23,3
2009-05-24 - 2009-05-30,3
2009-05-31 - 2009-06-06,3
2009-06-07 - 2009-06-13,3
2009-06-14 - 2009-06-20,3
2009-06-21 - 2009-06-27,3
2009-06-28 - 2009-07-04,3
2009-07-05 - 2009-07-11,3
2009-07-12 - 2009-07-18,4
2009-07-19 - 2009-07-25,3
2009-07-26 - 2009-08-01,4
2009-08-02 - 2009-08-08,4
2009-08-09 - 2009-08-15,4
2009-08-16 - 2009-08-22,4
2009-08-23 - 2009-08-29,4
2009-08-30 - 2009-09-05,5
2009-09-06 - 2009-09-12,5
2009-09-13 - 2009-09-19,4
2009-09-20 - 2009-09-26,5
2009-09-27 - 2009-10-03,5
2009-10-04 - 2009-10-10,7
2009-10-11 - 2009-10-17,10
2009-10-18 - 2009-10-24,11
2009-10-25 - 2009-10-31,14
2009-11-01 - 2009-11-07,14
2009-11-08 - 2009-11-14,12
2009-11-15 - 2009-11-21,13
2009-11-22 - 2009-11-28,13
2009-11-29 - 2009-12-05,13
2009-12-06 - 2009-12-12,16
2009-12-13 - 2009-12-19,20
2009-12-20 - 2009-12-26,22
2009-12-27 - 2010-01-02,21
2010-01-03 - 2010-01-09,21
2010-01-10 - 2010-01-16,20
2010-01-17 - 2010-01-23,19
2010-01-24 - 2010-01-30,23
2010-01-31 - 2010-02-06,24
2010-02-07 - 2010-02-13,24
2010-02-14 - 2010-02-20,26
2010-02-21 - 2010-02-27,27
2010-02-28 - 2010-03-06,27
2010-03-07 - 2010-03-13,27
2010-03-14 - 2010-03-20,30
2010-03-21 - 2010-03-27,32
2010-03-28 - 2010-04-03,39
2010-04-04 - 2010-04-10,37
2010-04-11 - 2010-04-17,36
2010-04-18 - 2010-04-24,37
2010-04-25 - 2010-05-01,35
2010-05-02 - 2010-05-08,34
2010-05-09 - 2010-05-15,33
2010-05-16 - 2010-05-22,31
2010-05-23 - 2010-05-29,32
2010-05-30 - 2010-06-05,38
2010-06-06 - 2010-06-12,42
2010-06-13 - 2010-06-19,39
2010-06-20 - 2010-06-26,41
2010-06-27 - 2010-07-03,46
2010-07-04 - 2010-07-10,44
2010-07-11 - 2010-07-17,44
2010-07-18 - 2010-07-24,52
2010-07-25 - 2010-07-31,49
2010-08-01 - 2010-08-07,47
2010-08-08 - 2010-08-14,47
2010-08-15 - 2010-08-21,46
2010-08-22 - 2010-08-28,45
2010-08-29 - 2010-09-04,46
2010-09-05 - 2010-09-11,46
2010-09-12 - 2010-09-18,51
2010-09-19 - 2010-09-25,44
2010-09-26 - 2010-10-02,44
2010-10-03 - 2010-10-09,46
2010-10-10 - 2010-10-16,46
2010-10-17 - 2010-10-23,48
2010-10-24 - 2010-10-30,66
2010-10-31 - 2010-11-06,80
2010-11-07 - 2010-11-13,67
2010-11-14 - 2010-11-20,66
2010-11-21 - 2010-11-27,77
2010-11-28 - 2010-12-04,80
2010-12-05 - 2010-12-11,67
2010-12-12 - 2010-12-18,61
2010-12-19 - 2010-12-25,61
2010-12-26 - 2011-01-01,63
2011-01-02 - 2011-01-08,69
2011-01-09 - 2011-01-15,66
2011-01-16 - 2011-01-22,59
2011-01-23 - 2011-01-29,67
2011-01-30 - 2011-02-05,85
2011-02-06 - 2011-02-12,78
2011-02-13 - 2011-02-19,68
2011-02-20 - 2011-02-26,62
2011-02-27 - 2011-03-05,59
2011-03-06 - 2011-03-12,58
2011-03-13 - 2011-03-19,57
2011-03-20 - 2011-03-26,51
2011-03-27 - 2011-04-02,51
2011-04-03 - 2011-04-09,54
2011-04-10 - 2011-04-16,50
2011-04-17 - 2011-04-23,49
2011-04-24 - 2011-04-30,49
2011-05-01 - 2011-05-07,62
2011-05-08 - 2011-05-14,80
2011-05-15 - 2011-05-21,76
2011-05-22 - 2011-05-28,82
2011-05-29 - 2011-06-04,78
2011-06-05 - 2011-06-11,80
2011-06-12 - 2011-06-18,78
2011-06-19 - 2011-06-25,86
2011-06-26 - 2011-07-02,86
2011-07-03 - 2011-07-09,78
2011-07-10 - 2011-07-16,79
2011-07-17 - 2011-07-23,76
2011-07-24 - 2011-07-30,78
2011-07-31 - 2011-08-06,83
2011-08-07 - 2011-08-13,80
2011-08-14 - 2011-08-20,72
2011-08-21 - 2011-08-27,66
2011-08-28 - 2011-09-03,85
2011-09-04 - 2011-09-10,69
2011-09-11 - 2011-09-17,64
2011-09-18 - 2011-09-24,57
2011-09-25 - 2011-10-01,55
2011-10-02 - 2011-10-08,60
2011-10-09 - 2011-10-15,80
2011-10-16 - 2011-10-22,76
2011-10-23 - 2011-10-29,68
2011-10-30 - 2011-11-05,80
2011-11-06 - 2011-11-12,76
2011-11-13 - 2011-11-19,65
2011-11-20 - 2011-11-26,80
2011-11-27 - 2011-12-03,72
2011-12-04 - 2011-12-10,65
2011-12-11 - 2011-12-17,64
2011-12-18 - 2011-12-24,71
2011-12-25 - 2011-12-31,70
2012-01-01 - 2012-01-07,61
2012-01-08 - 2012-01-14,54
2012-01-15 - 2012-01-21,60
2012-01-22 - 2012-01-28,76
2012-01-29 - 2012-02-04,74
2012-02-05 - 2012-02-11,73
2012-02-12 - 2012-02-18,100
2012-02-19 - 2012-02-25,71
2012-02-26 - 2012-03-03,67
2012-03-04 - 2012-03-10,61
2012-03-11 - 2012-03-17,64
2012-03-18 - 2012-03-24,63
2012-03-25 - 2012-03-31,68
2012-04-01 - 2012-04-07,83
2012-04-08 - 2012-04-14,97
2012-04-15 - 2012-04-21,79
2012-04-22 - 2012-04-28,82
2012-04-29 - 2012-05-05,84
2012-05-06 - 2012-05-12,80
2012-05-13 - 2012-05-19,94
2012-05-20 - 2012-05-26,90
2012-05-27 - 2012-06-02,82
2012-06-03 - 2012-06-09,75
2012-06-10 - 2012-06-16,71
2012-06-17 - 2012-06-23,66
2012-06-24 - 2012-06-30,63
2012-07-01 - 2012-07-07,66
2012-07-08 - 2012-07-14,59
2012-07-15 - 2012-07-21,56
2012-07-22 - 2012-07-28,53
2012-07-29 - 2012-08-04,57
2012-08-05 - 2012-08-11,55
2012-08-12 - 2012-08-18,56
2012-08-19 - 2012-08-25,56
2012-08-26 - 2012-09-01,55
2012-09-02 - 2012-09-08,53
2012-09-09 - 2012-09-15,49
2012-09-16 - 2012-09-22,46
2012-09-23 - 2012-09-29,39
2012-09-30 - 2012-10-06,46
2012-10-07 - 2012-10-13,43
2012-10-14 - 2012-10-20,45
2012-10-21 - 2012-10-27,42
2012-10-28 - 2012-11-03,40
2012-11-04 - 2012-11-10,40
2012-11-11 - 2012-11-17,45
2012-11-18 - 2012-11-24,56
2012-11-25 - 2012-12-01,42
2012-12-02 - 2012-12-08,36
2012-12-09 - 2012-12-15,33
2012-12-16 - 2012-12-22,35
2012-12-23 - 2012-12-29,38
2012-12-30 - 2013-01-05,35
2013-01-06 - 2013-01-12,32
2013-01-13 - 2013-01-19,37
2013-01-20 - 2013-01-26,35
2013-01-27 - 2013-02-02,31
2013-02-03 - 2013-02-09,28
2013-02-10 - 2013-02-16,27
2013-02-17 - 2013-02-23,26
2013-02-24 - 2013-03-02,25
2013-03-03 - 2013-03-09,27
2013-03-10 - 2013-03-16,29
2013-03-17 - 2013-03-23,26
2013-03-24 - 2013-03-30,26
2013-03-31 - 2013-04-06,35
2013-04-07 - 2013-04-13,30
2013-04-14 - 2013-04-20,27
2013-04-21 - 2013-04-27,27
2013-04-28 - 2013-05-04,27
2013-05-05 - 2013-05-11,26
2013-05-12 - 2013-05-18,25
2013-05-19 - 2013-05-25,35
2013-05-26 - 2013-06-01,28
2013-06-02 - 2013-06-08,25
2013-06-09 - 2013-06-15,24
2013-06-16 - 2013-06-22,25
2013-06-23 - 2013-06-29,26
2013-06-30 - 2013-07-06,29
2013-07-07 - 2013-07-13,28
2013-07-14 - 2013-07-20,24
2013-07-21 - 2013-07-27,27
2013-07-28 - 2013-08-03,29
2013-08-04 - 2013-08-10,25
2013-08-11 - 2013-08-17,23
2013-08-18 - 2013-08-24,26
2013-08-25 - 2013-08-31,22
2013-09-01 - 2013-09-07,24
2013-09-08 - 2013-09-14,22
2013-09-15 - 2013-09-21,21
2013-09-22 - 2013-09-28,21
2013-09-29 - 2013-10-05,22
2013-10-06 - 2013-10-12,20
2013-10-13 - 2013-10-19,21
2013-10-20 - 2013-10-26,20
2013-10-27 - 2013-11-02,22
2013-11-03 - 2013-11-09,20
2013-11-10 - 2013-11-16,21
2013-11-17 - 2013-11-23,19
2013-11-24 - 2013-11-30,19
2013-12-01 - 2013-12-07,17
2013-12-08 - 2013-12-14,17
2013-12-15 - 2013-12-21,17
2013-12-22 - 2013-12-28,17
2013-12-29 - 2014-01-04,17
2014-01-05 - 2014-01-11,16
2014-01-12 - 2014-01-18,15
2014-01-19 - 2014-01-25,15
2014-01-26 - 2014-02-01,14
2014-02-02 - 2014-02-08,14
2014-02-09 - 2014-02-15,24
2014-02-16 - 2014-02-22,22
2014-02-23 - 2014-03-01,17
2014-03-02 - 2014-03-08,16
2014-03-09 - 2014-03-15,16
2014-03-16 - 2014-03-22,14
2014-03-23 - 2014-03-29,13
2014-03-30 - 2014-04-05,14
2014-04-06 - 2014-04-12,16
2014-04-13 - 2014-04-19,14
2014-04-20 - 2014-04-26,16
2014-04-27 - 2014-05-03,16
2014-05-04 - 2014-05-10,15
2014-05-11 - 2014-05-17,15
2014-05-18 - 2014-05-24,19
2014-05-25 - 2014-05-31,18
2014-06-01 - 2014-06-07,20
2014-06-08 - 2014-06-14,24
2014-06-15 - 2014-06-21,19
2014-06-22 - 2014-06-28,18
2014-06-29 - 2014-07-05,25
2014-07-06 - 2014-07-12,20
2014-07-13 - 2014-07-19,20
2014-07-20 - 2014-07-26,21
2014-07-27 - 2014-08-02,23
2014-08-03 - 2014-08-09,38
2014-08-10 - 2014-08-16,29
2014-08-17 - 2014-08-23,76
2014-08-24 - 2014-08-30,96
2014-08-31 - 2014-09-06,61
2014-09-07 - 2014-09-13,53
2014-09-14 - 2014-09-20,57
2014-09-21 - 2014-09-27,49
2014-09-28 - 2014-10-04,43
2014-10-05 - 2014-10-11,37
2014-10-12 - 2014-10-18,36
2014-10-19 - 2014-10-25,32
2014-10-26 - 2014-11-01,35
2014-11-02 - 2014-11-08,37
2014-11-09 - 2014-11-15,38
2014-11-16 - 2014-11-22,31
2014-11-23 - 2014-11-29,32
2014-11-30 - 2014-12-06,30
2014-12-07 - 2014-12-13,41
2014-12-14 - 2014-12-20,50
2014-12-21 - 2014-12-27,44
2014-12-28 - 2015-01-03,37
2015-01-04 - 2015-01-10,35
2015-01-11 - 2015-01-17,38
2015-01-18 - 2015-01-24,39
2015-01-25 - 2015-01-31,35
2015-02-01 - 2015-02-07,35
2015-02-08 - 2015-02-14,35
2015-02-15 - 2015-02-21,33
2015-02-22 - 2015-02-28,31
2015-03-01 - 2015-03-07,27
2015-03-08 - 2015-03-14,30
2015-03-15 - 2015-03-21,30
2015-03-22 - 2015-03-28,29
2015-03-29 - 2015-04-04,28
2015-04-05 - 2015-04-11,27
2015-04-12 - 2015-04-18,26
2015-04-19 - 2015-04-25,27
2015-04-26 - 2015-05-02,27
2015-05-03 - 2015-05-09,27
2015-05-10 - 2015-05-16,26
2015-05-17 - 2015-05-23,49
2015-05-24 - 2015-05-30,33
2015-05-31 - 2015-06-06,29
2015-06-07 - 2015-06-13,28
2015-06-14 - 2015-06-20,26
2015-06-21 - 2015-06-27,25
2015-06-28 - 2015-07-04,29
2015-07-05 - 2015-07-11,26
2015-07-12 - 2015-07-18,23
2015-07-19 - 2015-07-25,27
2015-07-26 - 2015-08-01,24


Top sub-regions for nicki minaj
Sub-region,nicki minaj
Mississippi,100
Louisiana,99
South Carolina,88
Georgia,85
Alabama,85
Maryland,84
New York,84
Florida,84
North Carolina,82
Pennsylvania,81
Delaware,80
Ohio,76
Michigan,73
Kentucky,70
Rhode Island,70
Indiana,69
New Jersey,69
New Mexico,68
Illinois,68
Connecticut,67
Texas,67
Tennessee,66
Arkansas,65
Massachusetts,64
West Virginia,64
Iowa,63
Missouri,62
Wisconsin,62
District of Columbia,60
Arizona,60
South Dakota,58
Hawaii,58
North Dakota,56
Nebraska,55
Minnesota,52
Kansas,51
Oklahoma,51
Maine,51
Nevada,51
Montana,49
New Hampshire,49
California,49
Colorado,48
Wyoming,47
Virginia,46
Idaho,45
Washington,45
Vermont,45
Utah,41
Alaska,37
Oregon,36


Top metros for nicki minaj
Metro,nicki minaj
Greenwood-Greenville MS,100
Meridian MS,73
Florence-Myrtle Beach SC,69
Montgomery (Selma) AL,68
Albany GA,67
Alexandria LA,63
Columbia SC,61
New Orleans LA,60
Augusta GA,59
Monroe LA-El Dorado AR,58
Tallahassee FL-Thomasville GA,58
Hattiesburg-Laurel MS,57
Baton Rouge LA,57
Savannah GA,57
Memphis TN,57
Columbus-Tupelo-West Point MS,56
Macon GA,56
Columbus GA,56
Philadelphia PA,54
Raleigh-Durham (Fayetteville) NC,53
Shreveport LA,53
Jackson MS,53
Lafayette LA,52
New York NY,51
Greenville-New Bern-Washington NC,51
Birmingham AL,51
Norfolk-Portsmouth-Newport News VA,51
Baltimore MD,51
West Palm Beach-Ft. Pierce FL,51
Jacksonville FL,50
Miami-Ft. Lauderdale FL,50
Yuma AZ-El Centro CA,50
Dothan AL,50
Salisbury MD,49
Odessa-Midland TX,49
Biloxi-Gulfport MS,49
Ft. Myers-Naples FL,49
Great Falls MT,49
Lake Charles LA,48
Charleston SC,48
Cleveland-Akron (Canton) OH,48
Atlanta GA,48
Youngstown OH,48
Rockford IL,48
Utica NY,48
Watertown NY,48
Beaumont-Port Arthur TX,47
Abilene-Sweetwater TX,47
Wilkes Barre-Scranton PA,47
Mobile AL-Pensacola (Ft. Walton Beach) FL,47
Tampa-St. Petersburg (Sarasota) FL,46
Greensboro-High Point-Winston Salem NC,45
Providence RI-New Bedford MA,45
Richmond-Petersburg VA,45
Milwaukee WI,45
Columbus OH,45
Detroit MI,45
Chicago IL,44
Panama City FL,44
Houston TX,44
Charlotte NC,44
Harrisburg-Lancaster-Lebanon-York PA,44
Rapid City SD,44
Bakersfield CA,44
Toledo OH,44
Cincinnati OH,44
Erie PA,44
Evansville IN,44
Grand Rapids-Kalamazoo-Battle Creek MI,43
San Antonio TX,43
Buffalo NY,43
Lima OH,43
Hartford & New Haven CT,43
Little Rock-Pine Bluff AR,43
Albuquerque-Santa Fe NM,43
Quincy IL-Hannibal MO-Keokuk IA,42
Ft. Wayne IN,42
Charleston-Huntington WV,42
Davenport IA-Rock Island-Moline IL,42
Rochester NY,42
Flint-Saginaw-Bay City MI,42
Amarillo TX,42
Dayton OH,42
Syracuse NY,41
Louisville KY,41
Orlando-Daytona Beach-Melbourne FL,41
Springfield-Holyoke MA,41
Jackson TN,41
Corpus Christi TX,41
Indianapolis IN,41
Bluefield-Beckley-Oak Hill WV,41
Chattanooga TN,41
Albany-Schenectady-Troy NY,41
Terre Haute IN,41
San Angelo TX,41
Pittsburgh PA,40
Champaign & Springfield-Decatur IL,40
Parkersburg WV,40
Greenville-Spartanburg SC-Asheville NC-Anderson SC,40
Peoria-Bloomington IL,40
St. Louis MO,40
Jonesboro AR,40
Huntsville-Decatur (Florence) AL,39
Boston MA-Manchester NH,39
Wilmington NC,39
Grand Junction-Montrose CO,39
Wheeling WV-Steubenville OH,39
Lexington KY,39
Fresno-Visalia CA,39
Elmira NY,39
El Paso TX,39
Nashville TN,39
Laredo TX,38
Sioux City IA,38
Harlingen-Weslaco-Brownsville-McAllen TX,38
Waco-Temple-Bryan TX,37
Sioux Falls(Mitchell) SD,37
Clarksburg-Weston WV,37
South Bend-Elkhart IN,37
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,37
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,37
Traverse City-Cadillac MI,36
Los Angeles CA,36
Honolulu HI,36
St. Joseph MO,36
Phoenix AZ,36
Dallas-Ft. Worth TX,36
Lansing MI,36
Minot-Bismarck-Dickinson(Williston) ND,36
Binghamton NY,35
Tucson (Sierra Vista) AZ,35
Wichita Falls TX & Lawton OK,35
Mankato MN,35
Wichita-Hutchinson KS,35
Yakima-Pasco-Richland-Kennewick WA,35
Tyler-Longview(Lufkin & Nacogdoches) TX,35
Lubbock TX,35
Marquette MI,35
Columbia-Jefferson City MO,35
Omaha NE,35
Kansas City MO,35
Fargo-Valley City ND,35
Topeka KS,35
Charlottesville VA,34
Joplin MO-Pittsburg KS,34
Green Bay-Appleton WI,34
Des Moines-Ames IA,34
Portland-Auburn ME,34
Johnstown-Altoona PA,34
Gainesville FL,34
Oklahoma City OK,34
Washington DC (Hagerstown MD),34
Rochester MN-Mason City IA-Austin MN,33
Billings MT,33
Roanoke-Lynchburg VA,33
Sherman TX-Ada OK,33
Wausau-Rhinelander WI,33
Palm Springs CA,33
Tri-Cities TN-VA,33
Harrisonburg VA,33
Bowling Green KY,33
Cheyenne WY-Scottsbluff NE,32
Denver CO,32
Sacramento-Stockton-Modesto CA,32
Duluth MN-Superior WI,32
Las Vegas NV,32
Burlington VT-Plattsburgh NY,32
Reno NV,31
Colorado Springs-Pueblo CO,31
Minneapolis-St. Paul MN,31
Springfield MO,31
Eureka CA,31
San Diego CA,30
Lincoln & Hastings-Kearney NE,30
Knoxville TN,30
Bangor ME,30
Madison WI,29
Tulsa OK,29
Austin TX,29
Monterey-Salinas CA,29
Chico-Redding CA,29
Lafayette IN,29
Missoula MT,28
Butte-Bozeman MT,28
Salt Lake City UT,27
Santa Barbara-Santa Maria-San Luis Obispo CA,27
Boise ID,27
La Crosse-Eau Claire WI,27
Ft. Smith-Fayetteville-Springdale-Rogers AR,27
Idaho Falls-Pocatello ID,27
Medford-Klamath Falls OR,26
Spokane WA,26
Seattle-Tacoma WA,25
Anchorage AK,24
Eugene OR,23
Portland OR,21
San Francisco-Oakland-San Jose CA,18
Presque Isle ME,0
Alpena MI,0
Zanesville OH,0
Victoria TX,0
Ottumwa IA-Kirksville MO,0
North Platte NE,0
Fairbanks AK,0
Juneau AK,0
Twin Falls ID,0
Helena MT,0
Casper-Riverton WY,0
Glendive MT,0
Bend OR,0


Top cities for nicki minaj
Town/City,nicki minaj
Philadelphia,100
Baltimore,99
Detroit,97
New York,96
Indianapolis,75
Houston,70
Chicago,70
Charlotte,70
Columbus,69
San Antonio,69
Atlanta,67
Washington,66
Dallas,60
Miami,60
St. Louis,59



Top searches for nicki minaj
nicki minaj lyrics,100
super bass,60
lil wayne,35
drake,35
chris brown,30
rihanna,25
starships,20
nicki minaj starships,20
nicki minaj dance,20
super bass lyrics,20
your love,20
dance,15
justin bieber,15
beyonce,15
nicki minaj anaconda,15
fly nicki minaj,15
stupid hoe,15
eminem,10
trey songz,10
moment 4 life,10
katy perry,10
usher,10
nicki minaj starship,10
big sean,10
nikki minaj,10
wiz khalifa,10
only nicki minaj,5
taylor swift,5
monster nicki minaj,5
nicki minaj live,5
save me,5
rick ross,5
check it out,5
bruno mars,5
gucci gucci,5
selena gomez,5
turn me on,5
lady gaga,5
lil kim,5
tyga,5
bottoms up,5
mariah carey,5
how to love,5
pink,5
nicki manaj,5
kesha,5
nicki minaj diss,5
ciara,5
britney spears,5
massive attack,5



Rising searches for nicki minaj
beyonce,Breakout
chris brown,Breakout
dance,Breakout
drake,Breakout
justin bieber,Breakout
lil wayne,Breakout
nicki minaj dance,Breakout
nicki minaj lyrics,Breakout
nicki minaj starships,Breakout
rihanna,Breakout



