YouTube Search interest: lloyd
United States; Jan 2008 - Jul 2015

Interest over time
Week,lloyd
2009-02-01 - 2009-02-07,16
2009-02-08 - 2009-02-14,18
2009-02-15 - 2009-02-21,18
2009-02-22 - 2009-02-28,19
2009-03-01 - 2009-03-07,18
2009-03-08 - 2009-03-14,18
2009-03-15 - 2009-03-21,19
2009-03-22 - 2009-03-28,17
2009-03-29 - 2009-04-04,16
2009-04-05 - 2009-04-11,16
2009-04-12 - 2009-04-18,17
2009-04-19 - 2009-04-25,17
2009-04-26 - 2009-05-02,17
2009-05-03 - 2009-05-09,18
2009-05-10 - 2009-05-16,16
2009-05-17 - 2009-05-23,16
2009-05-24 - 2009-05-30,16
2009-05-31 - 2009-06-06,17
2009-06-07 - 2009-06-13,18
2009-06-14 - 2009-06-20,19
2009-06-21 - 2009-06-27,18
2009-06-28 - 2009-07-04,15
2009-07-05 - 2009-07-11,14
2009-07-12 - 2009-07-18,15
2009-07-19 - 2009-07-25,15
2009-07-26 - 2009-08-01,15
2009-08-02 - 2009-08-08,15
2009-08-09 - 2009-08-15,15
2009-08-16 - 2009-08-22,15
2009-08-23 - 2009-08-29,16
2009-08-30 - 2009-09-05,18
2009-09-06 - 2009-09-12,17
2009-09-13 - 2009-09-19,16
2009-09-20 - 2009-09-26,17
2009-09-27 - 2009-10-03,17
2009-10-04 - 2009-10-10,18
2009-10-11 - 2009-10-17,19
2009-10-18 - 2009-10-24,19
2009-10-25 - 2009-10-31,18
2009-11-01 - 2009-11-07,19
2009-11-08 - 2009-11-14,21
2009-11-15 - 2009-11-21,21
2009-11-22 - 2009-11-28,20
2009-11-29 - 2009-12-05,24
2009-12-06 - 2009-12-12,26
2009-12-13 - 2009-12-19,28
2009-12-20 - 2009-12-26,26
2009-12-27 - 2010-01-02,25
2010-01-03 - 2010-01-09,23
2010-01-10 - 2010-01-16,25
2010-01-17 - 2010-01-23,22
2010-01-24 - 2010-01-30,23
2010-01-31 - 2010-02-06,23
2010-02-07 - 2010-02-13,25
2010-02-14 - 2010-02-20,24
2010-02-21 - 2010-02-27,25
2010-02-28 - 2010-03-06,26
2010-03-07 - 2010-03-13,25
2010-03-14 - 2010-03-20,30
2010-03-21 - 2010-03-27,30
2010-03-28 - 2010-04-03,29
2010-04-04 - 2010-04-10,28
2010-04-11 - 2010-04-17,29
2010-04-18 - 2010-04-24,28
2010-04-25 - 2010-05-01,26
2010-05-02 - 2010-05-08,26
2010-05-09 - 2010-05-15,25
2010-05-16 - 2010-05-22,26
2010-05-23 - 2010-05-29,24
2010-05-30 - 2010-06-05,22
2010-06-06 - 2010-06-12,23
2010-06-13 - 2010-06-19,19
2010-06-20 - 2010-06-26,19
2010-06-27 - 2010-07-03,19
2010-07-04 - 2010-07-10,19
2010-07-11 - 2010-07-17,20
2010-07-18 - 2010-07-24,19
2010-07-25 - 2010-07-31,19
2010-08-01 - 2010-08-07,19
2010-08-08 - 2010-08-14,18
2010-08-15 - 2010-08-21,24
2010-08-22 - 2010-08-28,22
2010-08-29 - 2010-09-04,23
2010-09-05 - 2010-09-11,28
2010-09-12 - 2010-09-18,26
2010-09-19 - 2010-09-25,31
2010-09-26 - 2010-10-02,33
2010-10-03 - 2010-10-09,34
2010-10-10 - 2010-10-16,44
2010-10-17 - 2010-10-23,50
2010-10-24 - 2010-10-30,48
2010-10-31 - 2010-11-06,58
2010-11-07 - 2010-11-13,57
2010-11-14 - 2010-11-20,59
2010-11-21 - 2010-11-27,60
2010-11-28 - 2010-12-04,51
2010-12-05 - 2010-12-11,51
2010-12-12 - 2010-12-18,52
2010-12-19 - 2010-12-25,53
2010-12-26 - 2011-01-01,47
2011-01-02 - 2011-01-08,54
2011-01-09 - 2011-01-15,54
2011-01-16 - 2011-01-22,53
2011-01-23 - 2011-01-29,54
2011-01-30 - 2011-02-05,52
2011-02-06 - 2011-02-12,43
2011-02-13 - 2011-02-19,44
2011-02-20 - 2011-02-26,43
2011-02-27 - 2011-03-05,38
2011-03-06 - 2011-03-12,38
2011-03-13 - 2011-03-19,37
2011-03-20 - 2011-03-26,42
2011-03-27 - 2011-04-02,43
2011-04-03 - 2011-04-09,39
2011-04-10 - 2011-04-16,37
2011-04-17 - 2011-04-23,37
2011-04-24 - 2011-04-30,36
2011-05-01 - 2011-05-07,34
2011-05-08 - 2011-05-14,35
2011-05-15 - 2011-05-21,38
2011-05-22 - 2011-05-28,38
2011-05-29 - 2011-06-04,38
2011-06-05 - 2011-06-11,34
2011-06-12 - 2011-06-18,35
2011-06-19 - 2011-06-25,35
2011-06-26 - 2011-07-02,37
2011-07-03 - 2011-07-09,43
2011-07-10 - 2011-07-16,38
2011-07-17 - 2011-07-23,32
2011-07-24 - 2011-07-30,34
2011-07-31 - 2011-08-06,32
2011-08-07 - 2011-08-13,29
2011-08-14 - 2011-08-20,30
2011-08-21 - 2011-08-27,30
2011-08-28 - 2011-09-03,27
2011-09-04 - 2011-09-10,27
2011-09-11 - 2011-09-17,33
2011-09-18 - 2011-09-24,35
2011-09-25 - 2011-10-01,32
2011-10-02 - 2011-10-08,37
2011-10-09 - 2011-10-15,43
2011-10-16 - 2011-10-22,36
2011-10-23 - 2011-10-29,32
2011-10-30 - 2011-11-05,33
2011-11-06 - 2011-11-12,33
2011-11-13 - 2011-11-19,31
2011-11-20 - 2011-11-26,28
2011-11-27 - 2011-12-03,27
2011-12-04 - 2011-12-10,26
2011-12-11 - 2011-12-17,26
2011-12-18 - 2011-12-24,31
2011-12-25 - 2011-12-31,29
2012-01-01 - 2012-01-07,27
2012-01-08 - 2012-01-14,27
2012-01-15 - 2012-01-21,31
2012-01-22 - 2012-01-28,30
2012-01-29 - 2012-02-04,26
2012-02-05 - 2012-02-11,25
2012-02-12 - 2012-02-18,24
2012-02-19 - 2012-02-25,24
2012-02-26 - 2012-03-03,24
2012-03-04 - 2012-03-10,23
2012-03-11 - 2012-03-17,23
2012-03-18 - 2012-03-24,26
2012-03-25 - 2012-03-31,25
2012-04-01 - 2012-04-07,24
2012-04-08 - 2012-04-14,24
2012-04-15 - 2012-04-21,24
2012-04-22 - 2012-04-28,24
2012-04-29 - 2012-05-05,29
2012-05-06 - 2012-05-12,28
2012-05-13 - 2012-05-19,26
2012-05-20 - 2012-05-26,29
2012-05-27 - 2012-06-02,30
2012-06-03 - 2012-06-09,31
2012-06-10 - 2012-06-16,38
2012-06-17 - 2012-06-23,45
2012-06-24 - 2012-06-30,50
2012-07-01 - 2012-07-07,56
2012-07-08 - 2012-07-14,65
2012-07-15 - 2012-07-21,75
2012-07-22 - 2012-07-28,87
2012-07-29 - 2012-08-04,94
2012-08-05 - 2012-08-11,100
2012-08-12 - 2012-08-18,99
2012-08-19 - 2012-08-25,99
2012-08-26 - 2012-09-01,98
2012-09-02 - 2012-09-08,93
2012-09-09 - 2012-09-15,86
2012-09-16 - 2012-09-22,83
2012-09-23 - 2012-09-29,81
2012-09-30 - 2012-10-06,90
2012-10-07 - 2012-10-13,83
2012-10-14 - 2012-10-20,81
2012-10-21 - 2012-10-27,82
2012-10-28 - 2012-11-03,73
2012-11-04 - 2012-11-10,69
2012-11-11 - 2012-11-17,67
2012-11-18 - 2012-11-24,75
2012-11-25 - 2012-12-01,62
2012-12-02 - 2012-12-08,58
2012-12-09 - 2012-12-15,52
2012-12-16 - 2012-12-22,51
2012-12-23 - 2012-12-29,58
2012-12-30 - 2013-01-05,53
2013-01-06 - 2013-01-12,43
2013-01-13 - 2013-01-19,46
2013-01-20 - 2013-01-26,44
2013-01-27 - 2013-02-02,41
2013-02-03 - 2013-02-09,39
2013-02-10 - 2013-02-16,40
2013-02-17 - 2013-02-23,41
2013-02-24 - 2013-03-02,37
2013-03-03 - 2013-03-09,39
2013-03-10 - 2013-03-16,38
2013-03-17 - 2013-03-23,39
2013-03-24 - 2013-03-30,40
2013-03-31 - 2013-04-06,39
2013-04-07 - 2013-04-13,39
2013-04-14 - 2013-04-20,39
2013-04-21 - 2013-04-27,38
2013-04-28 - 2013-05-04,36
2013-05-05 - 2013-05-11,38
2013-05-12 - 2013-05-18,41
2013-05-19 - 2013-05-25,39
2013-05-26 - 2013-06-01,36
2013-06-02 - 2013-06-08,34
2013-06-09 - 2013-06-15,31
2013-06-16 - 2013-06-22,33
2013-06-23 - 2013-06-29,30
2013-06-30 - 2013-07-06,29
2013-07-07 - 2013-07-13,28
2013-07-14 - 2013-07-20,28
2013-07-21 - 2013-07-27,26
2013-07-28 - 2013-08-03,26
2013-08-04 - 2013-08-10,25
2013-08-11 - 2013-08-17,27
2013-08-18 - 2013-08-24,25
2013-08-25 - 2013-08-31,22
2013-09-01 - 2013-09-07,28
2013-09-08 - 2013-09-14,25
2013-09-15 - 2013-09-21,24
2013-09-22 - 2013-09-28,29
2013-09-29 - 2013-10-05,28
2013-10-06 - 2013-10-12,27
2013-10-13 - 2013-10-19,26
2013-10-20 - 2013-10-26,25
2013-10-27 - 2013-11-02,27
2013-11-03 - 2013-11-09,27
2013-11-10 - 2013-11-16,28
2013-11-17 - 2013-11-23,24
2013-11-24 - 2013-11-30,26
2013-12-01 - 2013-12-07,25
2013-12-08 - 2013-12-14,22
2013-12-15 - 2013-12-21,22
2013-12-22 - 2013-12-28,22
2013-12-29 - 2014-01-04,21
2014-01-05 - 2014-01-11,20
2014-01-12 - 2014-01-18,21
2014-01-19 - 2014-01-25,21
2014-01-26 - 2014-02-01,19
2014-02-02 - 2014-02-08,20
2014-02-09 - 2014-02-15,19
2014-02-16 - 2014-02-22,20
2014-02-23 - 2014-03-01,18
2014-03-02 - 2014-03-08,19
2014-03-09 - 2014-03-15,19
2014-03-16 - 2014-03-22,18
2014-03-23 - 2014-03-29,18
2014-03-30 - 2014-04-05,18
2014-04-06 - 2014-04-12,18
2014-04-13 - 2014-04-19,19
2014-04-20 - 2014-04-26,18
2014-04-27 - 2014-05-03,21
2014-05-04 - 2014-05-10,20
2014-05-11 - 2014-05-17,19
2014-05-18 - 2014-05-24,20
2014-05-25 - 2014-05-31,21
2014-06-01 - 2014-06-07,20
2014-06-08 - 2014-06-14,20
2014-06-15 - 2014-06-21,19
2014-06-22 - 2014-06-28,19
2014-06-29 - 2014-07-05,22
2014-07-06 - 2014-07-12,19
2014-07-13 - 2014-07-19,18
2014-07-20 - 2014-07-26,18
2014-07-27 - 2014-08-02,18
2014-08-03 - 2014-08-09,18
2014-08-10 - 2014-08-16,18
2014-08-17 - 2014-08-23,16
2014-08-24 - 2014-08-30,15
2014-08-31 - 2014-09-06,15
2014-09-07 - 2014-09-13,15
2014-09-14 - 2014-09-20,14
2014-09-21 - 2014-09-27,15
2014-09-28 - 2014-10-04,14
2014-10-05 - 2014-10-11,14
2014-10-12 - 2014-10-18,15
2014-10-19 - 2014-10-25,13
2014-10-26 - 2014-11-01,12
2014-11-02 - 2014-11-08,12
2014-11-09 - 2014-11-15,11
2014-11-16 - 2014-11-22,12
2014-11-23 - 2014-11-29,11
2014-11-30 - 2014-12-06,10
2014-12-07 - 2014-12-13,11
2014-12-14 - 2014-12-20,11
2014-12-21 - 2014-12-27,11
2014-12-28 - 2015-01-03,11
2015-01-04 - 2015-01-10,11
2015-01-11 - 2015-01-17,11
2015-01-18 - 2015-01-24,11
2015-01-25 - 2015-01-31,11
2015-02-01 - 2015-02-07,10
2015-02-08 - 2015-02-14,11
2015-02-15 - 2015-02-21,10
2015-02-22 - 2015-02-28,10
2015-03-01 - 2015-03-07,11
2015-03-08 - 2015-03-14,10
2015-03-15 - 2015-03-21,10
2015-03-22 - 2015-03-28,10
2015-03-29 - 2015-04-04,10
2015-04-05 - 2015-04-11,10
2015-04-12 - 2015-04-18,11
2015-04-19 - 2015-04-25,11
2015-04-26 - 2015-05-02,11
2015-05-03 - 2015-05-09,10
2015-05-10 - 2015-05-16,11
2015-05-17 - 2015-05-23,10
2015-05-24 - 2015-05-30,10
2015-05-31 - 2015-06-06,10
2015-06-07 - 2015-06-13,9
2015-06-14 - 2015-06-20,10
2015-06-21 - 2015-06-27,9
2015-06-28 - 2015-07-04,9
2015-07-05 - 2015-07-11,16
2015-07-12 - 2015-07-18,9
2015-07-19 - 2015-07-25,9
2015-07-26 - 2015-08-01,10


Top sub-regions for lloyd
Sub-region,lloyd
New York,100
Rhode Island,97
Mississippi,93
Louisiana,86
North Carolina,83
Georgia,83
Delaware,83
Connecticut,82
Maryland,80
South Carolina,79
New Jersey,79
Alabama,78
Pennsylvania,77
Massachusetts,75
Michigan,73
Illinois,73
Indiana,73
Florida,73
Ohio,70
Arizona,66
Kentucky,66
Texas,65
District of Columbia,65
Tennessee,64
Iowa,64
Arkansas,62
Missouri,62
West Virginia,61
Nevada,61
Wisconsin,61
New Mexico,60
Nebraska,59
Hawaii,59
Minnesota,59
Oklahoma,58
Kansas,58
California,58
Wyoming,57
South Dakota,56
Virginia,54
North Dakota,54
New Hampshire,53
Maine,53
Colorado,52
Vermont,52
Washington,51
Utah,51
Idaho,50
Montana,47
Alaska,45
Oregon,39


Top metros for lloyd
Metro,lloyd
New York NY,100
Florence-Myrtle Beach SC,98
Providence RI-New Bedford MA,96
Jackson MS,90
Albany GA,90
Augusta GA,89
Montgomery (Selma) AL,86
Memphis TN,86
Norfolk-Portsmouth-Newport News VA,85
Charleston SC,84
Wilmington NC,84
Richmond-Petersburg VA,84
Columbia SC,84
Baton Rouge LA,83
Raleigh-Durham (Fayetteville) NC,83
Shreveport LA,80
New Orleans LA,79
Lafayette LA,79
Macon GA,78
Palm Springs CA,78
Columbus GA,78
Baltimore MD,77
Detroit MI,77
Philadelphia PA,76
Erie PA,76
Ft. Wayne IN,75
West Palm Beach-Ft. Pierce FL,75
Savannah GA,74
Greensboro-High Point-Winston Salem NC,74
Wilkes Barre-Scranton PA,73
Youngstown OH,72
Hartford & New Haven CT,72
Harrisburg-Lancaster-Lebanon-York PA,72
Bakersfield CA,72
Atlanta GA,71
Springfield-Holyoke MA,70
Syracuse NY,70
Little Rock-Pine Bluff AR,70
Evansville IN,70
Birmingham AL,70
Albany-Schenectady-Troy NY,69
Chicago IL,69
Greenville-New Bern-Washington NC,69
Jacksonville FL,69
Boston MA-Manchester NH,68
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,67
Lansing MI,67
Rochester NY,67
Charlotte NC,67
Indianapolis IN,66
Tampa-St. Petersburg (Sarasota) FL,66
Grand Rapids-Kalamazoo-Battle Creek MI,66
Peoria-Bloomington IL,66
Ft. Myers-Naples FL,66
Tallahassee FL-Thomasville GA,66
Toledo OH,65
Buffalo NY,65
Cleveland-Akron (Canton) OH,65
Phoenix AZ,64
Pittsburgh PA,64
South Bend-Elkhart IN,63
Houston TX,63
Louisville KY,63
Mobile AL-Pensacola (Ft. Walton Beach) FL,62
Miami-Ft. Lauderdale FL,62
Tyler-Longview(Lufkin & Nacogdoches) TX,61
Orlando-Daytona Beach-Melbourne FL,61
San Antonio TX,61
Davenport IA-Rock Island-Moline IL,61
Lincoln & Hastings-Kearney NE,61
El Paso TX,61
Yakima-Pasco-Richland-Kennewick WA,61
St. Louis MO,61
Las Vegas NV,60
Fresno-Visalia CA,60
Tucson (Sierra Vista) AZ,60
Flint-Saginaw-Bay City MI,60
Topeka KS,60
Milwaukee WI,59
Chattanooga TN,59
Gainesville FL,59
Huntsville-Decatur (Florence) AL,59
Cincinnati OH,58
Fargo-Valley City ND,58
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,58
Lexington KY,58
Los Angeles CA,58
Honolulu HI,57
Sioux Falls(Mitchell) SD,57
Kansas City MO,57
Greenville-Spartanburg SC-Asheville NC-Anderson SC,57
Des Moines-Ames IA,57
Sacramento-Stockton-Modesto CA,57
Omaha NE,57
Dayton OH,57
Minneapolis-St. Paul MN,57
Roanoke-Lynchburg VA,57
Colorado Springs-Pueblo CO,56
Washington DC (Hagerstown MD),56
Dallas-Ft. Worth TX,56
Columbus OH,56
Waco-Temple-Bryan TX,55
Nashville TN,55
Champaign & Springfield-Decatur IL,55
Charleston-Huntington WV,54
Albuquerque-Santa Fe NM,54
Boise ID,53
San Diego CA,53
Oklahoma City OK,51
Salt Lake City UT,51
Johnstown-Altoona PA,50
Green Bay-Appleton WI,50
Denver CO,50
Wichita-Hutchinson KS,49
Portland-Auburn ME,49
Burlington VT-Plattsburgh NY,49
Spokane WA,48
Tulsa OK,48
Harlingen-Weslaco-Brownsville-McAllen TX,47
Ft. Smith-Fayetteville-Springdale-Rogers AR,46
Seattle-Tacoma WA,46
Madison WI,45
Monterey-Salinas CA,45
Austin TX,44
La Crosse-Eau Claire WI,44
Reno NV,43
Knoxville TN,43
Springfield MO,42
Santa Barbara-Santa Maria-San Luis Obispo CA,42
Portland OR,40
Eugene OR,37
San Francisco-Oakland-San Jose CA,36
Binghamton NY,0
Utica NY,0
Tri-Cities TN-VA,0
Bangor ME,0
Traverse City-Cadillac MI,0
Watertown NY,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Elmira NY,0
Harrisonburg VA,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Sioux City IA,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Odessa-Midland TX,0
Amarillo TX,0
St. Joseph MO,0
Jackson TN,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Lubbock TX,0
Panama City FL,0
Sherman TX-Ada OK,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Columbus-Tupelo-West Point MS,0
Duluth MN-Superior WI,0
Minot-Bismarck-Dickinson(Williston) ND,0
Beaumont-Port Arthur TX,0
Wausau-Rhinelander WI,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Eureka CA,0
Medford-Klamath Falls OR,0
Bend OR,0
Chico-Redding CA,0


Top cities for lloyd
Town/City,lloyd
New York,100
Baltimore,90
Philadelphia,86
Charlotte,75
Atlanta,74
Chicago,74
Las Vegas,67
Washington,66
Houston,66
Boston,62
Phoenix,62
Los Angeles,60
St. Louis,60
Miami,60
Dallas,59



Top searches for lloyd
cher,100
cher lloyd,100
you lloyd,60
lloyd banks,50
want u back,30
want you back,20
lil wayne,20
lay it down,20
i want you,10
chris brown,10
oath cher lloyd,10
oath,10
new lloyd,10
swagger jagger,10
trey songz,10
50 cent,5
with your love,5
cupid lloyd,5
southside,5
lloyd southside,5
one direction,5
x factor,5
ashanti,5
lloyd cole,5
players prayer lloyd,5
lloyd banks freestyle,5
start it up,5
drake ft lloyd,5
keri hilson,5
be the one,5
fabolous,5
llyod,5
karma lloyd banks,0
superhero cher lloyd,0
bedrock lloyd,0
drake and lloyd,0
bedrock,0
cher lloyd audition,0
loyd,0



Rising searches for lloyd
cher,Breakout
cher lloyd,Breakout
lay it down,Breakout
oath,Breakout
oath cher lloyd,Breakout
swagger jagger,Breakout
want u back,Breakout
want you back,Breakout
i want you,+850%
you lloyd,+100%



