YouTube Search interest: sara ramirez
United States; Jan 2008 - Jul 2015

Interest over time
Month,sara ramirez
2008-01,12
2008-02,15
2008-03,18
2008-04,7
2008-05,17
2008-06,12
2008-07,10
2008-08,9
2008-09,15
2008-10,15
2008-11,17
2008-12,8
2009-01,11
2009-02,8
2009-03,7
2009-04,9
2009-05,12
2009-06,7
2009-07,6
2009-08,5
2009-09,5
2009-10,9
2009-11,14
2009-12,10
2010-01,8
2010-02,9
2010-03,10
2010-04,5
2010-05,7
2010-06,3
2010-07,6
2010-08,4
2010-09,6
2010-10,8
2010-11,7
2010-12,7
2011-01,9
2011-02,8
2011-03,40
2011-04,100
2011-05,27
2011-06,16
2011-07,12
2011-08,13
2011-09,14
2011-10,17
2011-11,12
2011-12,12
2012-01,14
2012-02,16
2012-03,10
2012-04,14
2012-05,12
2012-06,12
2012-07,13
2012-08,16
2012-09,13
2012-10,15
2012-11,13
2012-12,12
2013-01,12
2013-02,9
2013-03,10
2013-04,11
2013-05,13
2013-06,9
2013-07,9
2013-08,11
2013-09,11
2013-10,9
2013-11,11
2013-12,9
2014-01,11
2014-02,9
2014-03,4
2014-04,10
2014-05,7
2014-06,10
2014-07,9
2014-08,9
2014-09,9
2014-10,12
2014-11,4
2014-12,8
2015-01,8
2015-02,8
2015-03,5
2015-04,7
2015-05,9
2015-06,10
2015-07,6


Top sub-regions for sara ramirez
Sub-region,sara ramirez
New York,100
Massachusetts,91
Michigan,86
Ohio,83
Pennsylvania,83
New Jersey,75
Texas,68
California,67
Illinois,65
Florida,64
Virginia,52
Alaska,0
Alabama,0
Arkansas,0
Arizona,0
Colorado,0
Connecticut,0
District of Columbia,0
Delaware,0
Georgia,0
Hawaii,0
Iowa,0
Idaho,0
Indiana,0
Kansas,0
Kentucky,0
Louisiana,0
Maryland,0
Maine,0
Minnesota,0
Missouri,0
Mississippi,0
Montana,0
North Carolina,0
North Dakota,0
Nebraska,0
New Hampshire,0
New Mexico,0
Nevada,0
Oklahoma,0
Oregon,0
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,0
Utah,0
Vermont,0
Washington,0
Wisconsin,0
West Virginia,0
Wyoming,0




Top cities for sara ramirez
Town/City,sara ramirez
New York,100
Los Angeles,74



Top searches for sara ramirez
sara ramirez singing,100
spamalot,75
sara ramirez spamalot,70
jessica capshaw,60
sara ramirez interview,40



Rising searches for sara ramirez
jessica capshaw,Breakout
sara ramirez interview,Breakout
sara ramirez singing,Breakout
sara ramirez spamalot,Breakout



