YouTube Search interest: one direction
United States; Jan 2008 - Jul 2015

Interest over time
Week,one direction
2009-03-22 - 2009-03-28,0
2009-03-29 - 2009-04-04,0
2009-04-05 - 2009-04-11,0
2009-04-12 - 2009-04-18,0
2009-04-19 - 2009-04-25,0
2009-04-26 - 2009-05-02,0
2009-05-03 - 2009-05-09,0
2009-05-10 - 2009-05-16,0
2009-05-17 - 2009-05-23,0
2009-05-24 - 2009-05-30,0
2009-05-31 - 2009-06-06,0
2009-06-07 - 2009-06-13,0
2009-06-14 - 2009-06-20,0
2009-06-21 - 2009-06-27,0
2009-06-28 - 2009-07-04,0
2009-07-05 - 2009-07-11,0
2009-07-12 - 2009-07-18,0
2009-07-19 - 2009-07-25,0
2009-07-26 - 2009-08-01,0
2009-08-02 - 2009-08-08,0
2009-08-09 - 2009-08-15,0
2009-08-16 - 2009-08-22,0
2009-08-23 - 2009-08-29,0
2009-08-30 - 2009-09-05,0
2009-09-06 - 2009-09-12,0
2009-09-13 - 2009-09-19,0
2009-09-20 - 2009-09-26,0
2009-09-27 - 2009-10-03,0
2009-10-04 - 2009-10-10,0
2009-10-11 - 2009-10-17,0
2009-10-18 - 2009-10-24,0
2009-10-25 - 2009-10-31,0
2009-11-01 - 2009-11-07,0
2009-11-08 - 2009-11-14,0
2009-11-15 - 2009-11-21,0
2009-11-22 - 2009-11-28,0
2009-11-29 - 2009-12-05,0
2009-12-06 - 2009-12-12,0
2009-12-13 - 2009-12-19,0
2009-12-20 - 2009-12-26,0
2009-12-27 - 2010-01-02,0
2010-01-03 - 2010-01-09,0
2010-01-10 - 2010-01-16,0
2010-01-17 - 2010-01-23,0
2010-01-24 - 2010-01-30,0
2010-01-31 - 2010-02-06,0
2010-02-07 - 2010-02-13,0
2010-02-14 - 2010-02-20,0
2010-02-21 - 2010-02-27,0
2010-02-28 - 2010-03-06,0
2010-03-07 - 2010-03-13,0
2010-03-14 - 2010-03-20,0
2010-03-21 - 2010-03-27,0
2010-03-28 - 2010-04-03,0
2010-04-04 - 2010-04-10,0
2010-04-11 - 2010-04-17,0
2010-04-18 - 2010-04-24,0
2010-04-25 - 2010-05-01,0
2010-05-02 - 2010-05-08,0
2010-05-09 - 2010-05-15,0
2010-05-16 - 2010-05-22,0
2010-05-23 - 2010-05-29,0
2010-05-30 - 2010-06-05,0
2010-06-06 - 2010-06-12,0
2010-06-13 - 2010-06-19,0
2010-06-20 - 2010-06-26,0
2010-06-27 - 2010-07-03,0
2010-07-04 - 2010-07-10,0
2010-07-11 - 2010-07-17,0
2010-07-18 - 2010-07-24,0
2010-07-25 - 2010-07-31,0
2010-08-01 - 2010-08-07,0
2010-08-08 - 2010-08-14,0
2010-08-15 - 2010-08-21,0
2010-08-22 - 2010-08-28,0
2010-08-29 - 2010-09-04,0
2010-09-05 - 2010-09-11,0
2010-09-12 - 2010-09-18,0
2010-09-19 - 2010-09-25,0
2010-09-26 - 2010-10-02,0
2010-10-03 - 2010-10-09,0
2010-10-10 - 2010-10-16,0
2010-10-17 - 2010-10-23,0
2010-10-24 - 2010-10-30,0
2010-10-31 - 2010-11-06,0
2010-11-07 - 2010-11-13,0
2010-11-14 - 2010-11-20,0
2010-11-21 - 2010-11-27,0
2010-11-28 - 2010-12-04,0
2010-12-05 - 2010-12-11,1
2010-12-12 - 2010-12-18,1
2010-12-19 - 2010-12-25,0
2010-12-26 - 2011-01-01,0
2011-01-02 - 2011-01-08,0
2011-01-09 - 2011-01-15,0
2011-01-16 - 2011-01-22,0
2011-01-23 - 2011-01-29,0
2011-01-30 - 2011-02-05,0
2011-02-06 - 2011-02-12,0
2011-02-13 - 2011-02-19,0
2011-02-20 - 2011-02-26,0
2011-02-27 - 2011-03-05,0
2011-03-06 - 2011-03-12,0
2011-03-13 - 2011-03-19,0
2011-03-20 - 2011-03-26,0
2011-03-27 - 2011-04-02,0
2011-04-03 - 2011-04-09,0
2011-04-10 - 2011-04-16,0
2011-04-17 - 2011-04-23,0
2011-04-24 - 2011-04-30,0
2011-05-01 - 2011-05-07,0
2011-05-08 - 2011-05-14,0
2011-05-15 - 2011-05-21,0
2011-05-22 - 2011-05-28,0
2011-05-29 - 2011-06-04,0
2011-06-05 - 2011-06-11,0
2011-06-12 - 2011-06-18,0
2011-06-19 - 2011-06-25,0
2011-06-26 - 2011-07-02,0
2011-07-03 - 2011-07-09,0
2011-07-10 - 2011-07-16,0
2011-07-17 - 2011-07-23,0
2011-07-24 - 2011-07-30,0
2011-07-31 - 2011-08-06,0
2011-08-07 - 2011-08-13,1
2011-08-14 - 2011-08-20,2
2011-08-21 - 2011-08-27,3
2011-08-28 - 2011-09-03,1
2011-09-04 - 2011-09-10,2
2011-09-11 - 2011-09-17,2
2011-09-18 - 2011-09-24,2
2011-09-25 - 2011-10-01,3
2011-10-02 - 2011-10-08,2
2011-10-09 - 2011-10-15,3
2011-10-16 - 2011-10-22,4
2011-10-23 - 2011-10-29,3
2011-10-30 - 2011-11-05,4
2011-11-06 - 2011-11-12,5
2011-11-13 - 2011-11-19,6
2011-11-20 - 2011-11-26,6
2011-11-27 - 2011-12-03,6
2011-12-04 - 2011-12-10,7
2011-12-11 - 2011-12-17,7
2011-12-18 - 2011-12-24,8
2011-12-25 - 2011-12-31,9
2012-01-01 - 2012-01-07,10
2012-01-08 - 2012-01-14,12
2012-01-15 - 2012-01-21,15
2012-01-22 - 2012-01-28,14
2012-01-29 - 2012-02-04,15
2012-02-05 - 2012-02-11,14
2012-02-12 - 2012-02-18,15
2012-02-19 - 2012-02-25,18
2012-02-26 - 2012-03-03,20
2012-03-04 - 2012-03-10,26
2012-03-11 - 2012-03-17,42
2012-03-18 - 2012-03-24,51
2012-03-25 - 2012-03-31,53
2012-04-01 - 2012-04-07,75
2012-04-08 - 2012-04-14,100
2012-04-15 - 2012-04-21,91
2012-04-22 - 2012-04-28,86
2012-04-29 - 2012-05-05,75
2012-05-06 - 2012-05-12,74
2012-05-13 - 2012-05-19,66
2012-05-20 - 2012-05-26,64
2012-05-27 - 2012-06-02,73
2012-06-03 - 2012-06-09,69
2012-06-10 - 2012-06-16,67
2012-06-17 - 2012-06-23,63
2012-06-24 - 2012-06-30,64
2012-07-01 - 2012-07-07,61
2012-07-08 - 2012-07-14,61
2012-07-15 - 2012-07-21,64
2012-07-22 - 2012-07-28,65
2012-07-29 - 2012-08-04,57
2012-08-05 - 2012-08-11,53
2012-08-12 - 2012-08-18,59
2012-08-19 - 2012-08-25,52
2012-08-26 - 2012-09-01,49
2012-09-02 - 2012-09-08,49
2012-09-09 - 2012-09-15,45
2012-09-16 - 2012-09-22,49
2012-09-23 - 2012-09-29,47
2012-09-30 - 2012-10-06,42
2012-10-07 - 2012-10-13,42
2012-10-14 - 2012-10-20,36
2012-10-21 - 2012-10-27,32
2012-10-28 - 2012-11-03,66
2012-11-04 - 2012-11-10,71
2012-11-11 - 2012-11-17,70
2012-11-18 - 2012-11-24,65
2012-11-25 - 2012-12-01,52
2012-12-02 - 2012-12-08,52
2012-12-09 - 2012-12-15,51
2012-12-16 - 2012-12-22,57
2012-12-23 - 2012-12-29,60
2012-12-30 - 2013-01-05,56
2013-01-06 - 2013-01-12,77
2013-01-13 - 2013-01-19,56
2013-01-20 - 2013-01-26,51
2013-01-27 - 2013-02-02,46
2013-02-03 - 2013-02-09,43
2013-02-10 - 2013-02-16,42
2013-02-17 - 2013-02-23,55
2013-02-24 - 2013-03-02,50
2013-03-03 - 2013-03-09,45
2013-03-10 - 2013-03-16,41
2013-03-17 - 2013-03-23,44
2013-03-24 - 2013-03-30,42
2013-03-31 - 2013-04-06,35
2013-04-07 - 2013-04-13,30
2013-04-14 - 2013-04-20,29
2013-04-21 - 2013-04-27,27
2013-04-28 - 2013-05-04,25
2013-05-05 - 2013-05-11,24
2013-05-12 - 2013-05-18,24
2013-05-19 - 2013-05-25,23
2013-05-26 - 2013-06-01,23
2013-06-02 - 2013-06-08,23
2013-06-09 - 2013-06-15,22
2013-06-16 - 2013-06-22,24
2013-06-23 - 2013-06-29,28
2013-06-30 - 2013-07-06,25
2013-07-07 - 2013-07-13,25
2013-07-14 - 2013-07-20,34
2013-07-21 - 2013-07-27,60
2013-07-28 - 2013-08-03,42
2013-08-04 - 2013-08-10,37
2013-08-11 - 2013-08-17,43
2013-08-18 - 2013-08-24,42
2013-08-25 - 2013-08-31,48
2013-09-01 - 2013-09-07,42
2013-09-08 - 2013-09-14,34
2013-09-15 - 2013-09-21,32
2013-09-22 - 2013-09-28,32
2013-09-29 - 2013-10-05,25
2013-10-06 - 2013-10-12,25
2013-10-13 - 2013-10-19,24
2013-10-20 - 2013-10-26,27
2013-10-27 - 2013-11-02,37
2013-11-03 - 2013-11-09,50
2013-11-10 - 2013-11-16,31
2013-11-17 - 2013-11-23,41
2013-11-24 - 2013-11-30,58
2013-12-01 - 2013-12-07,44
2013-12-08 - 2013-12-14,44
2013-12-15 - 2013-12-21,38
2013-12-22 - 2013-12-28,40
2013-12-29 - 2014-01-04,37
2014-01-05 - 2014-01-11,33
2014-01-12 - 2014-01-18,31
2014-01-19 - 2014-01-25,32
2014-01-26 - 2014-02-01,34
2014-02-02 - 2014-02-08,28
2014-02-09 - 2014-02-15,25
2014-02-16 - 2014-02-22,24
2014-02-23 - 2014-03-01,22
2014-03-02 - 2014-03-08,20
2014-03-09 - 2014-03-15,20
2014-03-16 - 2014-03-22,19
2014-03-23 - 2014-03-29,17
2014-03-30 - 2014-04-05,17
2014-04-06 - 2014-04-12,16
2014-04-13 - 2014-04-19,23
2014-04-20 - 2014-04-26,23
2014-04-27 - 2014-05-03,19
2014-05-04 - 2014-05-10,16
2014-05-11 - 2014-05-17,16
2014-05-18 - 2014-05-24,16
2014-05-25 - 2014-05-31,18
2014-06-01 - 2014-06-07,16
2014-06-08 - 2014-06-14,15
2014-06-15 - 2014-06-21,14
2014-06-22 - 2014-06-28,14
2014-06-29 - 2014-07-05,13
2014-07-06 - 2014-07-12,13
2014-07-13 - 2014-07-19,14
2014-07-20 - 2014-07-26,14
2014-07-27 - 2014-08-02,13
2014-08-03 - 2014-08-09,14
2014-08-10 - 2014-08-16,13
2014-08-17 - 2014-08-23,13
2014-08-24 - 2014-08-30,11
2014-08-31 - 2014-09-06,11
2014-09-07 - 2014-09-13,17
2014-09-14 - 2014-09-20,14
2014-09-21 - 2014-09-27,14
2014-09-28 - 2014-10-04,17
2014-10-05 - 2014-10-11,15
2014-10-12 - 2014-10-18,16
2014-10-19 - 2014-10-25,22
2014-10-26 - 2014-11-01,21
2014-11-02 - 2014-11-08,21
2014-11-09 - 2014-11-15,25
2014-11-16 - 2014-11-22,34
2014-11-23 - 2014-11-29,33
2014-11-30 - 2014-12-06,22
2014-12-07 - 2014-12-13,20
2014-12-14 - 2014-12-20,20
2014-12-21 - 2014-12-27,23
2014-12-28 - 2015-01-03,21
2015-01-04 - 2015-01-10,19
2015-01-11 - 2015-01-17,16
2015-01-18 - 2015-01-24,16
2015-01-25 - 2015-01-31,14
2015-02-01 - 2015-02-07,14
2015-02-08 - 2015-02-14,13
2015-02-15 - 2015-02-21,13
2015-02-22 - 2015-02-28,12
2015-03-01 - 2015-03-07,12
2015-03-08 - 2015-03-14,11
2015-03-15 - 2015-03-21,11
2015-03-22 - 2015-03-28,19
2015-03-29 - 2015-04-04,16
2015-04-05 - 2015-04-11,13
2015-04-12 - 2015-04-18,11
2015-04-19 - 2015-04-25,10
2015-04-26 - 2015-05-02,10
2015-05-03 - 2015-05-09,10
2015-05-10 - 2015-05-16,11
2015-05-17 - 2015-05-23,11
2015-05-24 - 2015-05-30,10
2015-05-31 - 2015-06-06,10
2015-06-07 - 2015-06-13,9
2015-06-14 - 2015-06-20,9
2015-06-21 - 2015-06-27,10
2015-06-28 - 2015-07-04,9
2015-07-05 - 2015-07-11,9
2015-07-12 - 2015-07-18,9
2015-07-19 - 2015-07-25,9
2015-07-26 - 2015-08-01,11


Top sub-regions for one direction
Sub-region,one direction
Iowa,100
Utah,94
Michigan,90
Wisconsin,89
Pennsylvania,88
Ohio,87
Indiana,87
New Jersey,87
Illinois,85
Nebraska,83
Minnesota,83
Idaho,82
Arizona,82
South Dakota,78
Texas,78
California,77
New York,77
North Dakota,77
Maine,76
Connecticut,76
New Hampshire,75
Rhode Island,75
Kentucky,74
Massachusetts,74
Florida,74
Nevada,71
West Virginia,71
Hawaii,70
Tennessee,69
North Carolina,68
Maryland,68
Kansas,67
Delaware,66
Missouri,64
Montana,64
South Carolina,64
Oklahoma,64
Colorado,63
Alabama,63
Washington,63
Georgia,61
New Mexico,59
Wyoming,59
Arkansas,58
Oregon,58
Vermont,57
Louisiana,54
Mississippi,48
Alaska,46
Virginia,40
District of Columbia,21


Top metros for one direction
Metro,one direction
Yuma AZ-El Centro CA,100
Idaho Falls-Pocatello ID,87
Sioux City IA,86
Davenport IA-Rock Island-Moline IL,80
Utica NY,79
Salt Lake City UT,78
Laredo TX,78
Harlingen-Weslaco-Brownsville-McAllen TX,77
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,76
Rockford IL,73
Green Bay-Appleton WI,73
Grand Rapids-Kalamazoo-Battle Creek MI,72
Evansville IN,71
Lincoln & Hastings-Kearney NE,71
Harrisburg-Lancaster-Lebanon-York PA,69
Ft. Myers-Naples FL,68
Erie PA,68
Minneapolis-St. Paul MN,68
Milwaukee WI,67
Wilkes Barre-Scranton PA,67
Des Moines-Ames IA,67
Dayton OH,67
Toledo OH,66
New York NY,66
Omaha NE,66
Watertown NY,65
Buffalo NY,65
Fargo-Valley City ND,65
Flint-Saginaw-Bay City MI,65
Terre Haute IN,64
Cincinnati OH,64
Los Angeles CA,64
Rochester MN-Mason City IA-Austin MN,64
Ft. Wayne IN,64
Portland-Auburn ME,63
Providence RI-New Bedford MA,63
Knoxville TN,63
Palm Springs CA,63
Champaign & Springfield-Decatur IL,63
Sioux Falls(Mitchell) SD,62
Philadelphia PA,62
Peoria-Bloomington IL,62
Phoenix AZ,61
Detroit MI,61
Boise ID,61
Cleveland-Akron (Canton) OH,61
Bangor ME,60
Wichita-Hutchinson KS,60
Boston MA-Manchester NH,60
Youngstown OH,60
Chattanooga TN,60
Traverse City-Cadillac MI,60
Lansing MI,60
Bakersfield CA,60
Madison WI,59
Wausau-Rhinelander WI,59
Chicago IL,59
Amarillo TX,59
Joplin MO-Pittsburg KS,58
El Paso TX,58
South Bend-Elkhart IN,58
San Antonio TX,58
Charleston-Huntington WV,57
Pittsburgh PA,57
Yakima-Pasco-Richland-Kennewick WA,57
Harrisonburg VA,57
Minot-Bismarck-Dickinson(Williston) ND,57
Rapid City SD,57
Odessa-Midland TX,56
Tucson (Sierra Vista) AZ,56
Fresno-Visalia CA,56
Columbus OH,55
Tri-Cities TN-VA,55
Houston TX,55
Sacramento-Stockton-Modesto CA,55
Hartford & New Haven CT,55
Johnstown-Altoona PA,54
Lafayette IN,54
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,54
Las Vegas NV,54
San Diego CA,54
Honolulu HI,54
Springfield MO,53
La Crosse-Eau Claire WI,53
St. Louis MO,53
Duluth MN-Superior WI,53
Bowling Green KY,53
Nashville TN,53
Columbia-Jefferson City MO,53
Indianapolis IN,53
Charlotte NC,52
Lexington KY,52
Topeka KS,52
Wichita Falls TX & Lawton OK,52
Tampa-St. Petersburg (Sarasota) FL,52
Biloxi-Gulfport MS,51
Columbus-Tupelo-West Point MS,51
West Palm Beach-Ft. Pierce FL,51
Huntsville-Decatur (Florence) AL,51
Binghamton NY,51
Colorado Springs-Pueblo CO,51
Corpus Christi TX,51
Miami-Ft. Lauderdale FL,51
Mobile AL-Pensacola (Ft. Walton Beach) FL,50
Albuquerque-Santa Fe NM,50
Albany-Schenectady-Troy NY,50
Wilmington NC,50
Springfield-Holyoke MA,50
Spokane WA,50
Louisville KY,50
Greensboro-High Point-Winston Salem NC,49
Florence-Myrtle Beach SC,49
Greenville-Spartanburg SC-Asheville NC-Anderson SC,49
Baltimore MD,49
Chico-Redding CA,49
Syracuse NY,48
Monterey-Salinas CA,48
Denver CO,48
Medford-Klamath Falls OR,48
Kansas City MO,47
Raleigh-Durham (Fayetteville) NC,47
Tulsa OK,47
Orlando-Daytona Beach-Melbourne FL,47
Burlington VT-Plattsburgh NY,47
Santa Barbara-Santa Maria-San Luis Obispo CA,47
Birmingham AL,47
Lubbock TX,47
Greenville-New Bern-Washington NC,46
Charleston SC,46
Seattle-Tacoma WA,46
Salisbury MD,46
Reno NV,46
Waco-Temple-Bryan TX,45
Lafayette LA,45
Augusta GA,45
Richmond-Petersburg VA,45
New Orleans LA,45
Albany GA,44
Atlanta GA,44
Portland OR,44
Memphis TN,44
Roanoke-Lynchburg VA,44
Ft. Smith-Fayetteville-Springdale-Rogers AR,44
Charlottesville VA,43
Dallas-Ft. Worth TX,43
Columbus GA,43
Little Rock-Pine Bluff AR,43
Baton Rouge LA,43
Jacksonville FL,42
Austin TX,42
Norfolk-Portsmouth-Newport News VA,41
Rochester NY,41
Oklahoma City OK,41
Savannah GA,41
Eugene OR,41
Macon GA,41
Gainesville FL,40
Tyler-Longview(Lufkin & Nacogdoches) TX,39
Columbia SC,39
Anchorage AK,38
Tallahassee FL-Thomasville GA,36
Abilene-Sweetwater TX,36
Shreveport LA,34
Montgomery (Selma) AL,34
San Francisco-Oakland-San Jose CA,32
Washington DC (Hagerstown MD),28
Jackson MS,20
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Elmira NY,0
Alpena MI,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Dothan AL,0
Victoria TX,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
St. Joseph MO,0
Jackson TN,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Panama City FL,0
Sherman TX-Ada OK,0
San Angelo TX,0
Beaumont-Port Arthur TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jonesboro AR,0
Mankato MN,0
North Platte NE,0
Fairbanks AK,0
Juneau AK,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Helena MT,0
Casper-Riverton WY,0
Grand Junction-Montrose CO,0
Glendive MT,0
Eureka CA,0
Bend OR,0


Top cities for one direction
Town/City,one direction
San Jose,100
Las Vegas,87
San Antonio,86
Houston,84
Phoenix,80
New York,77
San Diego,74
Denver,73
Los Angeles,70
Philadelphia,69
Portland,69
Chicago,62
Dallas,56
Seattle,52
San Francisco,50



Top searches for one direction
beautiful one direction,100
beautiful,100
one direction lyrics,95
one thing,45
kiss you,30
little things,25
justin bieber,25
one direction moments,25
best song ever,25
taylor swift,20
one direction funny,20
one direction interview,15
one direction songs,15
one direction live,15
gotta be you,15
up all night,10
more than this,10
one direction album,10
harry styles,10
call me maybe,10
katy perry,10
rock me,10
i want,10
boyfriend,10
one direction parody,10
maroon 5,5
boyfriend justin bieber,5
midnight memories,5
forever young,5
bruno mars,5
demi lovato,5
cher lloyd,5
one direction audition,5
selena gomez,5
one direction acoustic,5
the wanted,5
ed sheeran,5
niall horan,5
torn one direction,5
vevo,5
one direction vevo,5
ariana grande,5
little mix,5
gangnam style,5
louis tomlinson,5
zayn malik,5
one direction diana,5
key of awesome,5
teenage dirtbag,5
payphone,5



Rising searches for one direction
beautiful,Breakout
beautiful one direction,Breakout
best song ever,Breakout
justin bieber,Breakout
kiss you,Breakout
little things,Breakout
one direction funny,Breakout
one direction interview,Breakout
one direction lyrics,Breakout
one direction moments,Breakout



