YouTube Search interest: rihanna
United States; Jan 2008 - Jul 2015

Interest over time
Week,rihanna
2009-05-31 - 2009-06-06,21
2009-06-07 - 2009-06-13,21
2009-06-14 - 2009-06-20,20
2009-06-21 - 2009-06-27,19
2009-06-28 - 2009-07-04,18
2009-07-05 - 2009-07-11,17
2009-07-12 - 2009-07-18,17
2009-07-19 - 2009-07-25,20
2009-07-26 - 2009-08-01,20
2009-08-02 - 2009-08-08,20
2009-08-09 - 2009-08-15,19
2009-08-16 - 2009-08-22,22
2009-08-23 - 2009-08-29,22
2009-08-30 - 2009-09-05,24
2009-09-06 - 2009-09-12,23
2009-09-13 - 2009-09-19,24
2009-09-20 - 2009-09-26,24
2009-09-27 - 2009-10-03,22
2009-10-04 - 2009-10-10,20
2009-10-11 - 2009-10-17,20
2009-10-18 - 2009-10-24,28
2009-10-25 - 2009-10-31,27
2009-11-01 - 2009-11-07,42
2009-11-08 - 2009-11-14,47
2009-11-15 - 2009-11-21,46
2009-11-22 - 2009-11-28,56
2009-11-29 - 2009-12-05,48
2009-12-06 - 2009-12-12,48
2009-12-13 - 2009-12-19,52
2009-12-20 - 2009-12-26,50
2009-12-27 - 2010-01-02,44
2010-01-03 - 2010-01-09,44
2010-01-10 - 2010-01-16,45
2010-01-17 - 2010-01-23,41
2010-01-24 - 2010-01-30,40
2010-01-31 - 2010-02-06,38
2010-02-07 - 2010-02-13,43
2010-02-14 - 2010-02-20,46
2010-02-21 - 2010-02-27,49
2010-02-28 - 2010-03-06,55
2010-03-07 - 2010-03-13,54
2010-03-14 - 2010-03-20,55
2010-03-21 - 2010-03-27,53
2010-03-28 - 2010-04-03,56
2010-04-04 - 2010-04-10,52
2010-04-11 - 2010-04-17,46
2010-04-18 - 2010-04-24,43
2010-04-25 - 2010-05-01,39
2010-05-02 - 2010-05-08,36
2010-05-09 - 2010-05-15,34
2010-05-16 - 2010-05-22,32
2010-05-23 - 2010-05-29,38
2010-05-30 - 2010-06-05,37
2010-06-06 - 2010-06-12,36
2010-06-13 - 2010-06-19,40
2010-06-20 - 2010-06-26,43
2010-06-27 - 2010-07-03,45
2010-07-04 - 2010-07-10,50
2010-07-11 - 2010-07-17,49
2010-07-18 - 2010-07-24,48
2010-07-25 - 2010-07-31,48
2010-08-01 - 2010-08-07,54
2010-08-08 - 2010-08-14,58
2010-08-15 - 2010-08-21,48
2010-08-22 - 2010-08-28,45
2010-08-29 - 2010-09-04,42
2010-09-05 - 2010-09-11,45
2010-09-12 - 2010-09-18,50
2010-09-19 - 2010-09-25,49
2010-09-26 - 2010-10-02,48
2010-10-03 - 2010-10-09,48
2010-10-10 - 2010-10-16,52
2010-10-17 - 2010-10-23,58
2010-10-24 - 2010-10-30,56
2010-10-31 - 2010-11-06,66
2010-11-07 - 2010-11-13,75
2010-11-14 - 2010-11-20,100
2010-11-21 - 2010-11-27,96
2010-11-28 - 2010-12-04,80
2010-12-05 - 2010-12-11,80
2010-12-12 - 2010-12-18,78
2010-12-19 - 2010-12-25,73
2010-12-26 - 2011-01-01,71
2011-01-02 - 2011-01-08,63
2011-01-09 - 2011-01-15,61
2011-01-16 - 2011-01-22,57
2011-01-23 - 2011-01-29,53
2011-01-30 - 2011-02-05,69
2011-02-06 - 2011-02-12,66
2011-02-13 - 2011-02-19,71
2011-02-20 - 2011-02-26,70
2011-02-27 - 2011-03-05,62
2011-03-06 - 2011-03-12,59
2011-03-13 - 2011-03-19,57
2011-03-20 - 2011-03-26,53
2011-03-27 - 2011-04-02,52
2011-04-03 - 2011-04-09,52
2011-04-10 - 2011-04-16,53
2011-04-17 - 2011-04-23,49
2011-04-24 - 2011-04-30,45
2011-05-01 - 2011-05-07,45
2011-05-08 - 2011-05-14,50
2011-05-15 - 2011-05-21,47
2011-05-22 - 2011-05-28,58
2011-05-29 - 2011-06-04,75
2011-06-05 - 2011-06-11,69
2011-06-12 - 2011-06-18,53
2011-06-19 - 2011-06-25,52
2011-06-26 - 2011-07-02,54
2011-07-03 - 2011-07-09,48
2011-07-10 - 2011-07-16,48
2011-07-17 - 2011-07-23,45
2011-07-24 - 2011-07-30,45
2011-07-31 - 2011-08-06,44
2011-08-07 - 2011-08-13,44
2011-08-14 - 2011-08-20,44
2011-08-21 - 2011-08-27,45
2011-08-28 - 2011-09-03,53
2011-09-04 - 2011-09-10,46
2011-09-11 - 2011-09-17,43
2011-09-18 - 2011-09-24,44
2011-09-25 - 2011-10-01,48
2011-10-02 - 2011-10-08,50
2011-10-09 - 2011-10-15,57
2011-10-16 - 2011-10-22,76
2011-10-23 - 2011-10-29,79
2011-10-30 - 2011-11-05,66
2011-11-06 - 2011-11-12,83
2011-11-13 - 2011-11-19,94
2011-11-20 - 2011-11-26,96
2011-11-27 - 2011-12-03,89
2011-12-04 - 2011-12-10,80
2011-12-11 - 2011-12-17,78
2011-12-18 - 2011-12-24,77
2011-12-25 - 2011-12-31,84
2012-01-01 - 2012-01-07,70
2012-01-08 - 2012-01-14,65
2012-01-15 - 2012-01-21,68
2012-01-22 - 2012-01-28,64
2012-01-29 - 2012-02-04,62
2012-02-05 - 2012-02-11,59
2012-02-12 - 2012-02-18,63
2012-02-19 - 2012-02-25,78
2012-02-26 - 2012-03-03,65
2012-03-04 - 2012-03-10,62
2012-03-11 - 2012-03-17,63
2012-03-18 - 2012-03-24,61
2012-03-25 - 2012-03-31,58
2012-04-01 - 2012-04-07,58
2012-04-08 - 2012-04-14,59
2012-04-15 - 2012-04-21,53
2012-04-22 - 2012-04-28,56
2012-04-29 - 2012-05-05,68
2012-05-06 - 2012-05-12,63
2012-05-13 - 2012-05-19,62
2012-05-20 - 2012-05-26,60
2012-05-27 - 2012-06-02,58
2012-06-03 - 2012-06-09,56
2012-06-10 - 2012-06-16,55
2012-06-17 - 2012-06-23,49
2012-06-24 - 2012-06-30,45
2012-07-01 - 2012-07-07,44
2012-07-08 - 2012-07-14,41
2012-07-15 - 2012-07-21,38
2012-07-22 - 2012-07-28,36
2012-07-29 - 2012-08-04,35
2012-08-05 - 2012-08-11,33
2012-08-12 - 2012-08-18,32
2012-08-19 - 2012-08-25,34
2012-08-26 - 2012-09-01,31
2012-09-02 - 2012-09-08,36
2012-09-09 - 2012-09-15,35
2012-09-16 - 2012-09-22,29
2012-09-23 - 2012-09-29,37
2012-09-30 - 2012-10-06,40
2012-10-07 - 2012-10-13,42
2012-10-14 - 2012-10-20,43
2012-10-21 - 2012-10-27,45
2012-10-28 - 2012-11-03,47
2012-11-04 - 2012-11-10,56
2012-11-11 - 2012-11-17,65
2012-11-18 - 2012-11-24,70
2012-11-25 - 2012-12-01,65
2012-12-02 - 2012-12-08,63
2012-12-09 - 2012-12-15,58
2012-12-16 - 2012-12-22,63
2012-12-23 - 2012-12-29,65
2012-12-30 - 2013-01-05,61
2013-01-06 - 2013-01-12,56
2013-01-13 - 2013-01-19,59
2013-01-20 - 2013-01-26,56
2013-01-27 - 2013-02-02,58
2013-02-03 - 2013-02-09,58
2013-02-10 - 2013-02-16,90
2013-02-17 - 2013-02-23,80
2013-02-24 - 2013-03-02,74
2013-03-03 - 2013-03-09,80
2013-03-10 - 2013-03-16,79
2013-03-17 - 2013-03-23,75
2013-03-24 - 2013-03-30,74
2013-03-31 - 2013-04-06,69
2013-04-07 - 2013-04-13,63
2013-04-14 - 2013-04-20,61
2013-04-21 - 2013-04-27,61
2013-04-28 - 2013-05-04,59
2013-05-05 - 2013-05-11,54
2013-05-12 - 2013-05-18,49
2013-05-19 - 2013-05-25,45
2013-05-26 - 2013-06-01,44
2013-06-02 - 2013-06-08,49
2013-06-09 - 2013-06-15,43
2013-06-16 - 2013-06-22,41
2013-06-23 - 2013-06-29,39
2013-06-30 - 2013-07-06,38
2013-07-07 - 2013-07-13,38
2013-07-14 - 2013-07-20,32
2013-07-21 - 2013-07-27,30
2013-07-28 - 2013-08-03,29
2013-08-04 - 2013-08-10,29
2013-08-11 - 2013-08-17,27
2013-08-18 - 2013-08-24,26
2013-08-25 - 2013-08-31,26
2013-09-01 - 2013-09-07,25
2013-09-08 - 2013-09-14,24
2013-09-15 - 2013-09-21,25
2013-09-22 - 2013-09-28,24
2013-09-29 - 2013-10-05,45
2013-10-06 - 2013-10-12,36
2013-10-13 - 2013-10-19,28
2013-10-20 - 2013-10-26,27
2013-10-27 - 2013-11-02,37
2013-11-03 - 2013-11-09,35
2013-11-10 - 2013-11-16,37
2013-11-17 - 2013-11-23,47
2013-11-24 - 2013-11-30,49
2013-12-01 - 2013-12-07,38
2013-12-08 - 2013-12-14,34
2013-12-15 - 2013-12-21,35
2013-12-22 - 2013-12-28,32
2013-12-29 - 2014-01-04,27
2014-01-05 - 2014-01-11,29
2014-01-12 - 2014-01-18,31
2014-01-19 - 2014-01-25,28
2014-01-26 - 2014-02-01,29
2014-02-02 - 2014-02-08,29
2014-02-09 - 2014-02-15,24
2014-02-16 - 2014-02-22,24
2014-02-23 - 2014-03-01,24
2014-03-02 - 2014-03-08,22
2014-03-09 - 2014-03-15,21
2014-03-16 - 2014-03-22,19
2014-03-23 - 2014-03-29,19
2014-03-30 - 2014-04-05,19
2014-04-06 - 2014-04-12,19
2014-04-13 - 2014-04-19,20
2014-04-20 - 2014-04-26,19
2014-04-27 - 2014-05-03,18
2014-05-04 - 2014-05-10,17
2014-05-11 - 2014-05-17,17
2014-05-18 - 2014-05-24,17
2014-05-25 - 2014-05-31,16
2014-06-01 - 2014-06-07,18
2014-06-08 - 2014-06-14,16
2014-06-15 - 2014-06-21,14
2014-06-22 - 2014-06-28,15
2014-06-29 - 2014-07-05,15
2014-07-06 - 2014-07-12,14
2014-07-13 - 2014-07-19,15
2014-07-20 - 2014-07-26,14
2014-07-27 - 2014-08-02,14
2014-08-03 - 2014-08-09,15
2014-08-10 - 2014-08-16,13
2014-08-17 - 2014-08-23,13
2014-08-24 - 2014-08-30,14
2014-08-31 - 2014-09-06,13
2014-09-07 - 2014-09-13,13
2014-09-14 - 2014-09-20,13
2014-09-21 - 2014-09-27,12
2014-09-28 - 2014-10-04,12
2014-10-05 - 2014-10-11,11
2014-10-12 - 2014-10-18,12
2014-10-19 - 2014-10-25,12
2014-10-26 - 2014-11-01,12
2014-11-02 - 2014-11-08,12
2014-11-09 - 2014-11-15,12
2014-11-16 - 2014-11-22,12
2014-11-23 - 2014-11-29,11
2014-11-30 - 2014-12-06,10
2014-12-07 - 2014-12-13,11
2014-12-14 - 2014-12-20,10
2014-12-21 - 2014-12-27,10
2014-12-28 - 2015-01-03,11
2015-01-04 - 2015-01-10,11
2015-01-11 - 2015-01-17,11
2015-01-18 - 2015-01-24,10
2015-01-25 - 2015-01-31,18
2015-02-01 - 2015-02-07,22
2015-02-08 - 2015-02-14,34
2015-02-15 - 2015-02-21,25
2015-02-22 - 2015-02-28,22
2015-03-01 - 2015-03-07,20
2015-03-08 - 2015-03-14,19
2015-03-15 - 2015-03-21,21
2015-03-22 - 2015-03-28,23
2015-03-29 - 2015-04-04,31
2015-04-05 - 2015-04-11,25
2015-04-12 - 2015-04-18,27
2015-04-19 - 2015-04-25,25
2015-04-26 - 2015-05-02,20
2015-05-03 - 2015-05-09,19
2015-05-10 - 2015-05-16,20
2015-05-17 - 2015-05-23,18
2015-05-24 - 2015-05-30,17
2015-05-31 - 2015-06-06,16
2015-06-07 - 2015-06-13,15
2015-06-14 - 2015-06-20,14
2015-06-21 - 2015-06-27,14
2015-06-28 - 2015-07-04,26
2015-07-05 - 2015-07-11,20
2015-07-12 - 2015-07-18,15
2015-07-19 - 2015-07-25,15
2015-07-26 - 2015-08-01,13


Top sub-regions for rihanna
Sub-region,rihanna
New York,100
Maryland,92
Georgia,87
Mississippi,86
New Jersey,85
Florida,85
Rhode Island,85
Pennsylvania,84
Louisiana,83
District of Columbia,82
Massachusetts,80
North Carolina,80
Ohio,80
Connecticut,77
Alabama,77
Illinois,77
Delaware,76
South Carolina,76
Michigan,76
Virginia,74
Texas,72
California,72
Missouri,70
Kentucky,68
South Dakota,68
Wisconsin,67
Indiana,66
Arizona,65
North Dakota,65
Hawaii,65
Tennessee,65
New Mexico,64
Arkansas,63
Iowa,62
Minnesota,62
Maine,62
New Hampshire,61
Nevada,60
West Virginia,60
Nebraska,58
Utah,58
Wyoming,58
Oklahoma,57
Kansas,57
Montana,57
Colorado,57
Vermont,56
Washington,54
Idaho,52
Alaska,47
Oregon,47


Top metros for rihanna
Metro,rihanna
Greenwood-Greenville MS,100
New York NY,95
Philadelphia PA,89
Albany GA,86
Miami-Ft. Lauderdale FL,83
Providence RI-New Bedford MA,83
Raleigh-Durham (Fayetteville) NC,83
Hattiesburg-Laurel MS,82
Baton Rouge LA,82
Montgomery (Selma) AL,82
Baltimore MD,81
Columbus-Tupelo-West Point MS,81
Tallahassee FL-Thomasville GA,79
Jackson MS,79
Memphis TN,79
Atlanta GA,77
Macon GA,77
Columbia SC,77
Springfield-Holyoke MA,75
Washington DC (Hagerstown MD),74
Shreveport LA,73
Florence-Myrtle Beach SC,73
New Orleans LA,73
Los Angeles CA,73
Augusta GA,72
Savannah GA,71
Detroit MI,71
Lake Charles LA,71
Yuma AZ-El Centro CA,71
Columbus GA,71
Biloxi-Gulfport MS,71
Monroe LA-El Dorado AR,70
West Palm Beach-Ft. Pierce FL,70
Alexandria LA,70
Bakersfield CA,70
Chicago IL,70
Boston MA-Manchester NH,70
Hartford & New Haven CT,69
Cleveland-Akron (Canton) OH,69
Salisbury MD,69
Lafayette LA,69
Utica NY,69
Orlando-Daytona Beach-Melbourne FL,68
Greenville-New Bern-Washington NC,68
Laredo TX,67
Odessa-Midland TX,67
Tampa-St. Petersburg (Sarasota) FL,67
Greensboro-High Point-Winston Salem NC,67
Wilkes Barre-Scranton PA,67
Watertown NY,67
Norfolk-Portsmouth-Newport News VA,67
Rochester NY,66
Richmond-Petersburg VA,66
Johnstown-Altoona PA,65
Jonesboro AR,65
San Antonio TX,65
El Paso TX,65
Harrisburg-Lancaster-Lebanon-York PA,65
Harlingen-Weslaco-Brownsville-McAllen TX,65
Ottumwa IA-Kirksville MO,65
Birmingham AL,64
Rapid City SD,64
Louisville KY,64
Buffalo NY,64
Beaumont-Port Arthur TX,63
Jacksonville FL,63
Mankato MN,63
Palm Springs CA,63
Cincinnati OH,63
Syracuse NY,63
Flint-Saginaw-Bay City MI,63
Little Rock-Pine Bluff AR,63
Albany-Schenectady-Troy NY,63
Ft. Myers-Naples FL,63
Columbus OH,63
Lansing MI,62
Fresno-Visalia CA,62
Lima OH,62
Charleston SC,62
Phoenix AZ,62
Charlotte NC,62
Rochester MN-Mason City IA-Austin MN,62
Houston TX,62
Pittsburgh PA,62
St. Louis MO,62
Youngstown OH,62
Binghamton NY,62
Indianapolis IN,61
Sioux Falls(Mitchell) SD,61
Mobile AL-Pensacola (Ft. Walton Beach) FL,61
Champaign & Springfield-Decatur IL,61
Toledo OH,61
Jackson TN,61
Kansas City MO,61
Rockford IL,61
Honolulu HI,60
Dallas-Ft. Worth TX,60
Sherman TX-Ada OK,60
Milwaukee WI,60
Grand Rapids-Kalamazoo-Battle Creek MI,60
Dothan AL,60
Dayton OH,60
Wilmington NC,59
St. Joseph MO,59
Grand Junction-Montrose CO,59
Charlottesville VA,58
Gainesville FL,58
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,58
Tucson (Sierra Vista) AZ,58
Harrisonburg VA,58
Billings MT,58
Minot-Bismarck-Dickinson(Williston) ND,58
Yakima-Pasco-Richland-Kennewick WA,58
Wichita Falls TX & Lawton OK,58
Chattanooga TN,57
Greenville-Spartanburg SC-Asheville NC-Anderson SC,57
Ft. Wayne IN,57
Amarillo TX,57
Lexington KY,57
South Bend-Elkhart IN,57
Erie PA,57
Wheeling WV-Steubenville OH,56
Elmira NY,56
Albuquerque-Santa Fe NM,56
Bluefield-Beckley-Oak Hill WV,56
Monterey-Salinas CA,56
Quincy IL-Hannibal MO-Keokuk IA,56
Abilene-Sweetwater TX,56
Terre Haute IN,56
Huntsville-Decatur (Florence) AL,55
Waco-Temple-Bryan TX,55
San Diego CA,55
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,55
Las Vegas NV,55
Portland-Auburn ME,55
Sacramento-Stockton-Modesto CA,55
Corpus Christi TX,55
La Crosse-Eau Claire WI,55
Sioux City IA,55
Madison WI,55
Burlington VT-Plattsburgh NY,55
Santa Barbara-Santa Maria-San Luis Obispo CA,54
Lubbock TX,54
Peoria-Bloomington IL,54
San Francisco-Oakland-San Jose CA,54
Roanoke-Lynchburg VA,54
Columbia-Jefferson City MO,54
Wichita-Hutchinson KS,54
Minneapolis-St. Paul MN,54
Eureka CA,54
Davenport IA-Rock Island-Moline IL,54
Panama City FL,53
Fargo-Valley City ND,53
Green Bay-Appleton WI,53
Bangor ME,53
Joplin MO-Pittsburg KS,53
Cheyenne WY-Scottsbluff NE,53
Omaha NE,52
Des Moines-Ames IA,52
Duluth MN-Superior WI,52
San Angelo TX,52
Lincoln & Hastings-Kearney NE,52
Charleston-Huntington WV,52
Salt Lake City UT,51
Wausau-Rhinelander WI,51
Nashville TN,51
Reno NV,51
Chico-Redding CA,51
Evansville IN,50
Oklahoma City OK,50
Marquette MI,50
Tri-Cities TN-VA,50
Clarksburg-Weston WV,49
Boise ID,49
Missoula MT,49
Tyler-Longview(Lufkin & Nacogdoches) TX,48
Lafayette IN,48
Topeka KS,48
Colorado Springs-Pueblo CO,48
Spokane WA,48
Denver CO,47
Anchorage AK,47
Ft. Smith-Fayetteville-Springdale-Rogers AR,47
Austin TX,47
Traverse City-Cadillac MI,47
Knoxville TN,47
Springfield MO,47
Idaho Falls-Pocatello ID,46
Bowling Green KY,45
Eugene OR,45
Butte-Bozeman MT,45
Seattle-Tacoma WA,45
Medford-Klamath Falls OR,44
Portland OR,44
Tulsa OK,43
Presque Isle ME,0
Alpena MI,0
Zanesville OH,0
Parkersburg WV,0
Victoria TX,0
Meridian MS,0
North Platte NE,0
Fairbanks AK,0
Juneau AK,0
Great Falls MT,0
Twin Falls ID,0
Helena MT,0
Casper-Riverton WY,0
Glendive MT,0
Bend OR,0


Top cities for rihanna
Town/City,rihanna
New York,100
Philadelphia,92
Baltimore,85
Miami,74
Washington,73
Atlanta,73
Chicago,69
Boston,68
Los Angeles,68
Orlando,66
St. Louis,66
Houston,65
Columbus,64
Reston,61
Tampa,60



Top searches for rihanna
chris brown,100
nicki minaj,95
eminem rihanna,95
eminem,95
drake,90
found love rihanna,85
we found love,80
beyonce,75
stay,75
rihanna stay,75
diamonds rihanna,70
rude boy,60
rude boy rihanna,60
lil wayne,55
cake rihanna,50
rihanna man down,45
justin bieber,40
whats my name,40
katy perry,35
take a bow,35
love song rihanna,35
lady gaga,35
rihanna birthday cake,35
eminem ft rihanna,35
rihanna umbrella,35
unfaithful rihanna,30
rihanna disturbia,30
disturbia,30
drake take care,30
rihanna russian roulette,30
stay rihanna lyrics,30
taylor swift,30
bruno mars,25
live your life,25
usher,25
rihanna new song,25
rihanna monster,25
rihanna and eminem,25
rehab rihanna,25
rehab,25
britney spears,20
fly nicki minaj,20
jay z,20
rhianna,20
rihanna only girl,20
rihanna cry,20
rihanna and drake,20
california king bed,20



Rising searches for rihanna
cake rihanna,Breakout
diamonds rihanna,Breakout
drake,Breakout
found love rihanna,Breakout
nicki minaj,Breakout
rihanna man down,Breakout
rude boy,Breakout
rude boy rihanna,Breakout
we found love,Breakout
stay,+2,500%



