YouTube Search interest: cash cash
United States; Jan 2008 - Jul 2015

Interest over time
Week,cash cash
2010-10-17 - 2010-10-23,46
2010-10-24 - 2010-10-30,43
2010-10-31 - 2010-11-06,47
2010-11-07 - 2010-11-13,47
2010-11-14 - 2010-11-20,47
2010-11-21 - 2010-11-27,47
2010-11-28 - 2010-12-04,43
2010-12-05 - 2010-12-11,49
2010-12-12 - 2010-12-18,50
2010-12-19 - 2010-12-25,48
2010-12-26 - 2011-01-01,49
2011-01-02 - 2011-01-08,55
2011-01-09 - 2011-01-15,52
2011-01-16 - 2011-01-22,53
2011-01-23 - 2011-01-29,55
2011-01-30 - 2011-02-05,55
2011-02-06 - 2011-02-12,52
2011-02-13 - 2011-02-19,55
2011-02-20 - 2011-02-26,54
2011-02-27 - 2011-03-05,57
2011-03-06 - 2011-03-12,54
2011-03-13 - 2011-03-19,50
2011-03-20 - 2011-03-26,50
2011-03-27 - 2011-04-02,57
2011-04-03 - 2011-04-09,66
2011-04-10 - 2011-04-16,64
2011-04-17 - 2011-04-23,54
2011-04-24 - 2011-04-30,52
2011-05-01 - 2011-05-07,49
2011-05-08 - 2011-05-14,50
2011-05-15 - 2011-05-21,53
2011-05-22 - 2011-05-28,54
2011-05-29 - 2011-06-04,49
2011-06-05 - 2011-06-11,50
2011-06-12 - 2011-06-18,50
2011-06-19 - 2011-06-25,51
2011-06-26 - 2011-07-02,49
2011-07-03 - 2011-07-09,53
2011-07-10 - 2011-07-16,50
2011-07-17 - 2011-07-23,48
2011-07-24 - 2011-07-30,50
2011-07-31 - 2011-08-06,52
2011-08-07 - 2011-08-13,52
2011-08-14 - 2011-08-20,47
2011-08-21 - 2011-08-27,49
2011-08-28 - 2011-09-03,47
2011-09-04 - 2011-09-10,49
2011-09-11 - 2011-09-17,60
2011-09-18 - 2011-09-24,52
2011-09-25 - 2011-10-01,48
2011-10-02 - 2011-10-08,52
2011-10-09 - 2011-10-15,49
2011-10-16 - 2011-10-22,46
2011-10-23 - 2011-10-29,46
2011-10-30 - 2011-11-05,46
2011-11-06 - 2011-11-12,46
2011-11-13 - 2011-11-19,51
2011-11-20 - 2011-11-26,47
2011-11-27 - 2011-12-03,51
2011-12-04 - 2011-12-10,48
2011-12-11 - 2011-12-17,51
2011-12-18 - 2011-12-24,51
2011-12-25 - 2011-12-31,49
2012-01-01 - 2012-01-07,50
2012-01-08 - 2012-01-14,53
2012-01-15 - 2012-01-21,52
2012-01-22 - 2012-01-28,53
2012-01-29 - 2012-02-04,52
2012-02-05 - 2012-02-11,49
2012-02-12 - 2012-02-18,52
2012-02-19 - 2012-02-25,59
2012-02-26 - 2012-03-03,58
2012-03-04 - 2012-03-10,54
2012-03-11 - 2012-03-17,55
2012-03-18 - 2012-03-24,67
2012-03-25 - 2012-03-31,64
2012-04-01 - 2012-04-07,68
2012-04-08 - 2012-04-14,71
2012-04-15 - 2012-04-21,88
2012-04-22 - 2012-04-28,100
2012-04-29 - 2012-05-05,82
2012-05-06 - 2012-05-12,79
2012-05-13 - 2012-05-19,80
2012-05-20 - 2012-05-26,81
2012-05-27 - 2012-06-02,79
2012-06-03 - 2012-06-09,73
2012-06-10 - 2012-06-16,74
2012-06-17 - 2012-06-23,69
2012-06-24 - 2012-06-30,72
2012-07-01 - 2012-07-07,74
2012-07-08 - 2012-07-14,69
2012-07-15 - 2012-07-21,69
2012-07-22 - 2012-07-28,66
2012-07-29 - 2012-08-04,65
2012-08-05 - 2012-08-11,68
2012-08-12 - 2012-08-18,69
2012-08-19 - 2012-08-25,66
2012-08-26 - 2012-09-01,64
2012-09-02 - 2012-09-08,63
2012-09-09 - 2012-09-15,63
2012-09-16 - 2012-09-22,60
2012-09-23 - 2012-09-29,60
2012-09-30 - 2012-10-06,60
2012-10-07 - 2012-10-13,60
2012-10-14 - 2012-10-20,54
2012-10-21 - 2012-10-27,57
2012-10-28 - 2012-11-03,57
2012-11-04 - 2012-11-10,57
2012-11-11 - 2012-11-17,60
2012-11-18 - 2012-11-24,57
2012-11-25 - 2012-12-01,57
2012-12-02 - 2012-12-08,55
2012-12-09 - 2012-12-15,51
2012-12-16 - 2012-12-22,52
2012-12-23 - 2012-12-29,47
2012-12-30 - 2013-01-05,50
2013-01-06 - 2013-01-12,49
2013-01-13 - 2013-01-19,51
2013-01-20 - 2013-01-26,51
2013-01-27 - 2013-02-02,52
2013-02-03 - 2013-02-09,49
2013-02-10 - 2013-02-16,48
2013-02-17 - 2013-02-23,46
2013-02-24 - 2013-03-02,52
2013-03-03 - 2013-03-09,47
2013-03-10 - 2013-03-16,47
2013-03-17 - 2013-03-23,47
2013-03-24 - 2013-03-30,48
2013-03-31 - 2013-04-06,44
2013-04-07 - 2013-04-13,45
2013-04-14 - 2013-04-20,51
2013-04-21 - 2013-04-27,52
2013-04-28 - 2013-05-04,55
2013-05-05 - 2013-05-11,51
2013-05-12 - 2013-05-18,51
2013-05-19 - 2013-05-25,51
2013-05-26 - 2013-06-01,52
2013-06-02 - 2013-06-08,50
2013-06-09 - 2013-06-15,44
2013-06-16 - 2013-06-22,47
2013-06-23 - 2013-06-29,44
2013-06-30 - 2013-07-06,45
2013-07-07 - 2013-07-13,43
2013-07-14 - 2013-07-20,42
2013-07-21 - 2013-07-27,43
2013-07-28 - 2013-08-03,43
2013-08-04 - 2013-08-10,42
2013-08-11 - 2013-08-17,44
2013-08-18 - 2013-08-24,43
2013-08-25 - 2013-08-31,43
2013-09-01 - 2013-09-07,45
2013-09-08 - 2013-09-14,48
2013-09-15 - 2013-09-21,43
2013-09-22 - 2013-09-28,43
2013-09-29 - 2013-10-05,45
2013-10-06 - 2013-10-12,45
2013-10-13 - 2013-10-19,45
2013-10-20 - 2013-10-26,42
2013-10-27 - 2013-11-02,46
2013-11-03 - 2013-11-09,46
2013-11-10 - 2013-11-16,43
2013-11-17 - 2013-11-23,44
2013-11-24 - 2013-11-30,45
2013-12-01 - 2013-12-07,50
2013-12-08 - 2013-12-14,46
2013-12-15 - 2013-12-21,44
2013-12-22 - 2013-12-28,47
2013-12-29 - 2014-01-04,45
2014-01-05 - 2014-01-11,48
2014-01-12 - 2014-01-18,52
2014-01-19 - 2014-01-25,52
2014-01-26 - 2014-02-01,54
2014-02-02 - 2014-02-08,51
2014-02-09 - 2014-02-15,56
2014-02-16 - 2014-02-22,54
2014-02-23 - 2014-03-01,59
2014-03-02 - 2014-03-08,55
2014-03-09 - 2014-03-15,57
2014-03-16 - 2014-03-22,54
2014-03-23 - 2014-03-29,58
2014-03-30 - 2014-04-05,54
2014-04-06 - 2014-04-12,52
2014-04-13 - 2014-04-19,50
2014-04-20 - 2014-04-26,49
2014-04-27 - 2014-05-03,52
2014-05-04 - 2014-05-10,50
2014-05-11 - 2014-05-17,47
2014-05-18 - 2014-05-24,49
2014-05-25 - 2014-05-31,50
2014-06-01 - 2014-06-07,50
2014-06-08 - 2014-06-14,48
2014-06-15 - 2014-06-21,51
2014-06-22 - 2014-06-28,48
2014-06-29 - 2014-07-05,49
2014-07-06 - 2014-07-12,51
2014-07-13 - 2014-07-19,46
2014-07-20 - 2014-07-26,48
2014-07-27 - 2014-08-02,46
2014-08-03 - 2014-08-09,46
2014-08-10 - 2014-08-16,44
2014-08-17 - 2014-08-23,48
2014-08-24 - 2014-08-30,45
2014-08-31 - 2014-09-06,47
2014-09-07 - 2014-09-13,50
2014-09-14 - 2014-09-20,49
2014-09-21 - 2014-09-27,50
2014-09-28 - 2014-10-04,46
2014-10-05 - 2014-10-11,50
2014-10-12 - 2014-10-18,47
2014-10-19 - 2014-10-25,46
2014-10-26 - 2014-11-01,44
2014-11-02 - 2014-11-08,47
2014-11-09 - 2014-11-15,46
2014-11-16 - 2014-11-22,45
2014-11-23 - 2014-11-29,42
2014-11-30 - 2014-12-06,45
2014-12-07 - 2014-12-13,46
2014-12-14 - 2014-12-20,45
2014-12-21 - 2014-12-27,43
2014-12-28 - 2015-01-03,43
2015-01-04 - 2015-01-10,42
2015-01-11 - 2015-01-17,49
2015-01-18 - 2015-01-24,46
2015-01-25 - 2015-01-31,45
2015-02-01 - 2015-02-07,47
2015-02-08 - 2015-02-14,49
2015-02-15 - 2015-02-21,44
2015-02-22 - 2015-02-28,52
2015-03-01 - 2015-03-07,52
2015-03-08 - 2015-03-14,48
2015-03-15 - 2015-03-21,48
2015-03-22 - 2015-03-28,49
2015-03-29 - 2015-04-04,48
2015-04-05 - 2015-04-11,44
2015-04-12 - 2015-04-18,45
2015-04-19 - 2015-04-25,46
2015-04-26 - 2015-05-02,43
2015-05-03 - 2015-05-09,41
2015-05-10 - 2015-05-16,44
2015-05-17 - 2015-05-23,42
2015-05-24 - 2015-05-30,43
2015-05-31 - 2015-06-06,40
2015-06-07 - 2015-06-13,39
2015-06-14 - 2015-06-20,39
2015-06-21 - 2015-06-27,40
2015-06-28 - 2015-07-04,41
2015-07-05 - 2015-07-11,40
2015-07-12 - 2015-07-18,37
2015-07-19 - 2015-07-25,37
2015-07-26 - 2015-08-01,38


Top sub-regions for cash cash
Sub-region,cash cash
Michigan,100
West Virginia,84
Kentucky,83
Georgia,81
Tennessee,77
North Dakota,76
South Dakota,75
Missouri,74
Ohio,74
Wisconsin,73
Alabama,73
Arkansas,73
Montana,72
Mississippi,71
South Carolina,71
Iowa,69
North Carolina,69
Indiana,68
Wyoming,67
Nebraska,66
Maine,66
Oklahoma,65
Minnesota,64
Kansas,63
Pennsylvania,62
Louisiana,62
Vermont,60
New Mexico,60
Alaska,59
Illinois,59
Texas,59
Florida,58
Idaho,56
New Hampshire,55
Colorado,54
Arizona,54
Washington,52
Massachusetts,51
New York,51
Rhode Island,50
Maryland,50
District of Columbia,50
Oregon,49
Connecticut,49
Nevada,48
Delaware,47
Utah,46
New Jersey,46
Virginia,46
California,45
Hawaii,30


Top metros for cash cash
Metro,cash cash
Detroit MI,100
Albany GA,89
Lexington KY,80
Flint-Saginaw-Bay City MI,75
Charleston-Huntington WV,75
Grand Rapids-Kalamazoo-Battle Creek MI,75
Macon GA,74
Lansing MI,74
Columbus GA,73
Columbia-Jefferson City MO,73
Wausau-Rhinelander WI,72
Evansville IN,72
Florence-Myrtle Beach SC,71
Fargo-Valley City ND,71
Charleston SC,70
Louisville KY,70
Huntsville-Decatur (Florence) AL,70
Jackson MS,69
Little Rock-Pine Bluff AR,69
Traverse City-Cadillac MI,68
Minot-Bismarck-Dickinson(Williston) ND,67
Augusta GA,67
Montgomery (Selma) AL,67
Springfield MO,66
Chattanooga TN,66
Cincinnati OH,66
Knoxville TN,66
Youngstown OH,66
Jacksonville FL,65
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,65
Atlanta GA,65
Memphis TN,65
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,64
Savannah GA,64
Nashville TN,64
Green Bay-Appleton WI,64
Kansas City MO,63
Ft. Wayne IN,63
St. Louis MO,63
Cleveland-Akron (Canton) OH,62
Sioux Falls(Mitchell) SD,62
Tri-Cities TN-VA,62
Wilkes Barre-Scranton PA,62
Rochester MN-Mason City IA-Austin MN,62
La Crosse-Eau Claire WI,62
Lincoln & Hastings-Kearney NE,61
Eugene OR,61
Milwaukee WI,61
Birmingham AL,61
Peoria-Bloomington IL,61
Shreveport LA,61
Wichita-Hutchinson KS,61
Sioux City IA,61
Dayton OH,60
Greenville-Spartanburg SC-Asheville NC-Anderson SC,60
Tallahassee FL-Thomasville GA,60
Charlotte NC,60
Greenville-New Bern-Washington NC,60
Toledo OH,59
Raleigh-Durham (Fayetteville) NC,59
Binghamton NY,59
Columbus OH,58
Indianapolis IN,58
Davenport IA-Rock Island-Moline IL,58
Anchorage AK,58
Yakima-Pasco-Richland-Kennewick WA,57
Albuquerque-Santa Fe NM,57
Greensboro-High Point-Winston Salem NC,57
Mobile AL-Pensacola (Ft. Walton Beach) FL,57
Tyler-Longview(Lufkin & Nacogdoches) TX,57
Des Moines-Ames IA,56
Oklahoma City OK,56
Pittsburgh PA,56
Johnstown-Altoona PA,56
Albany-Schenectady-Troy NY,56
Gainesville FL,55
Columbia SC,55
Wilmington NC,55
Corpus Christi TX,55
Buffalo NY,55
Lafayette LA,55
Norfolk-Portsmouth-Newport News VA,54
Topeka KS,54
Reno NV,54
Roanoke-Lynchburg VA,54
Tampa-St. Petersburg (Sarasota) FL,54
Chico-Redding CA,54
South Bend-Elkhart IN,54
Tulsa OK,53
Champaign & Springfield-Decatur IL,53
Omaha NE,53
Minneapolis-St. Paul MN,53
Waco-Temple-Bryan TX,52
Portland-Auburn ME,52
Harrisburg-Lancaster-Lebanon-York PA,51
Madison WI,51
Chicago IL,51
Dallas-Ft. Worth TX,50
Burlington VT-Plattsburgh NY,49
New Orleans LA,49
Spokane WA,49
Charlottesville VA,49
Baltimore MD,49
Orlando-Daytona Beach-Melbourne FL,49
Boise ID,48
Richmond-Petersburg VA,48
Ft. Myers-Naples FL,47
Austin TX,47
Denver CO,47
Colorado Springs-Pueblo CO,47
Syracuse NY,46
Baton Rouge LA,46
Boston MA-Manchester NH,46
Houston TX,46
West Palm Beach-Ft. Pierce FL,46
San Antonio TX,46
Philadelphia PA,45
Ft. Smith-Fayetteville-Springdale-Rogers AR,45
Phoenix AZ,45
Rochester NY,45
Springfield-Holyoke MA,45
Seattle-Tacoma WA,45
Harlingen-Weslaco-Brownsville-McAllen TX,43
Tucson (Sierra Vista) AZ,43
Portland OR,43
Sacramento-Stockton-Modesto CA,42
Hartford & New Haven CT,42
Bakersfield CA,42
San Diego CA,41
Salt Lake City UT,41
Los Angeles CA,41
New York NY,40
Miami-Ft. Lauderdale FL,40
Providence RI-New Bedford MA,40
Fresno-Visalia CA,40
Santa Barbara-Santa Maria-San Luis Obispo CA,38
Washington DC (Hagerstown MD),38
El Paso TX,37
Monterey-Salinas CA,37
Las Vegas NV,37
San Francisco-Oakland-San Jose CA,30
Honolulu HI,24
Erie PA,0
Utica NY,0
Bangor ME,0
Watertown NY,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Elmira NY,0
Harrisonburg VA,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Joplin MO-Pittsburg KS,0
Dothan AL,0
Rockford IL,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Odessa-Midland TX,0
Amarillo TX,0
St. Joseph MO,0
Jackson TN,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Lubbock TX,0
Panama City FL,0
Sherman TX-Ada OK,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Columbus-Tupelo-West Point MS,0
Duluth MN-Superior WI,0
Beaumont-Port Arthur TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Eureka CA,0
Palm Springs CA,0
Medford-Klamath Falls OR,0
Bend OR,0


Top cities for cash cash
Town/City,cash cash
Detroit,100
Atlanta,45
Jacksonville,38
St. Louis,38
Columbus,35
Charlotte,33
Chicago,32
Dallas,32
Minneapolis,31
Denver,31
San Antonio,30
Washington,30
Houston,30
Phoenix,30
Portland,29



Top searches for cash cash
johnny cash,100
cash out,20
hurt cash,20
hurt,20
johnny cash hurt,20
cash money,15
ring of fire,10
young cash,5
folsom prison blues,5
no cash,5
cashin out,5
walk the line,5
john cash,5
cash flow,5
johnny cash jackson,5
one johnny cash,5
christmas cash,5
cash out doughboyz,5
cash back,5
jonny cash,5
johnny cash sue,5
june carter cash,5
johnny cash live,5
take me home,5
boy named sue,5
cash luna,0
i got cash,0
fred christmas cash,0
ray cash,0
johny cash,0
willie nelson,0
hank williams,0
bob dylan,0
johnny cash cover,0
cocaine blues,0
rosanne cash,0
elvis presley,0
cash money millionaires,0
t cash,0
cash poker,0
cash camp,0
man in black,0
straight cash,0
johnny cash show,0
waylon jennings,0



Rising searches for cash cash
cash flow,Breakout
cashin out,Breakout
cash out,+900%
no cash,+350%
folsom prison blues,+300%
christmas cash,+160%
one johnny cash,+110%
ring of fire,+110%
johnny cash hurt,+90%
hurt,+70%



