YouTube Search interest: miguel
United States; Jan 2008 - Jul 2015

Interest over time
Week,miguel
2012-09-09 - 2012-09-15,40
2012-09-16 - 2012-09-22,38
2012-09-23 - 2012-09-29,41
2012-09-30 - 2012-10-06,53
2012-10-07 - 2012-10-13,49
2012-10-14 - 2012-10-20,44
2012-10-21 - 2012-10-27,43
2012-10-28 - 2012-11-03,44
2012-11-04 - 2012-11-10,43
2012-11-11 - 2012-11-17,40
2012-11-18 - 2012-11-24,41
2012-11-25 - 2012-12-01,41
2012-12-02 - 2012-12-08,42
2012-12-09 - 2012-12-15,35
2012-12-16 - 2012-12-22,36
2012-12-23 - 2012-12-29,34
2012-12-30 - 2013-01-05,34
2013-01-06 - 2013-01-12,32
2013-01-13 - 2013-01-19,35
2013-01-20 - 2013-01-26,32
2013-01-27 - 2013-02-02,34
2013-02-03 - 2013-02-09,30
2013-02-10 - 2013-02-16,48
2013-02-17 - 2013-02-23,34
2013-02-24 - 2013-03-02,36
2013-03-03 - 2013-03-09,33
2013-03-10 - 2013-03-16,32
2013-03-17 - 2013-03-23,32
2013-03-24 - 2013-03-30,32
2013-03-31 - 2013-04-06,30
2013-04-07 - 2013-04-13,36
2013-04-14 - 2013-04-20,42
2013-04-21 - 2013-04-27,43
2013-04-28 - 2013-05-04,38
2013-05-05 - 2013-05-11,49
2013-05-12 - 2013-05-18,54
2013-05-19 - 2013-05-25,100
2013-05-26 - 2013-06-01,63
2013-06-02 - 2013-06-08,60
2013-06-09 - 2013-06-15,50
2013-06-16 - 2013-06-22,48
2013-06-23 - 2013-06-29,45
2013-06-30 - 2013-07-06,55
2013-07-07 - 2013-07-13,48
2013-07-14 - 2013-07-20,41
2013-07-21 - 2013-07-27,35
2013-07-28 - 2013-08-03,35
2013-08-04 - 2013-08-10,32
2013-08-11 - 2013-08-17,30
2013-08-18 - 2013-08-24,32
2013-08-25 - 2013-08-31,28
2013-09-01 - 2013-09-07,26
2013-09-08 - 2013-09-14,29
2013-09-15 - 2013-09-21,28
2013-09-22 - 2013-09-28,27
2013-09-29 - 2013-10-05,26
2013-10-06 - 2013-10-12,27
2013-10-13 - 2013-10-19,26
2013-10-20 - 2013-10-26,23
2013-10-27 - 2013-11-02,22
2013-11-03 - 2013-11-09,23
2013-11-10 - 2013-11-16,21
2013-11-17 - 2013-11-23,21
2013-11-24 - 2013-11-30,21
2013-12-01 - 2013-12-07,20
2013-12-08 - 2013-12-14,20
2013-12-15 - 2013-12-21,16
2013-12-22 - 2013-12-28,18
2013-12-29 - 2014-01-04,17
2014-01-05 - 2014-01-11,17
2014-01-12 - 2014-01-18,16
2014-01-19 - 2014-01-25,17
2014-01-26 - 2014-02-01,18
2014-02-02 - 2014-02-08,18
2014-02-09 - 2014-02-15,19
2014-02-16 - 2014-02-22,18
2014-02-23 - 2014-03-01,20
2014-03-02 - 2014-03-08,18
2014-03-09 - 2014-03-15,18
2014-03-16 - 2014-03-22,18
2014-03-23 - 2014-03-29,18
2014-03-30 - 2014-04-05,18
2014-04-06 - 2014-04-12,17
2014-04-13 - 2014-04-19,17
2014-04-20 - 2014-04-26,18
2014-04-27 - 2014-05-03,17
2014-05-04 - 2014-05-10,17
2014-05-11 - 2014-05-17,16
2014-05-18 - 2014-05-24,18
2014-05-25 - 2014-05-31,18
2014-06-01 - 2014-06-07,17
2014-06-08 - 2014-06-14,20
2014-06-15 - 2014-06-21,15
2014-06-22 - 2014-06-28,17
2014-06-29 - 2014-07-05,15
2014-07-06 - 2014-07-12,14
2014-07-13 - 2014-07-19,15
2014-07-20 - 2014-07-26,14
2014-07-27 - 2014-08-02,15
2014-08-03 - 2014-08-09,15
2014-08-10 - 2014-08-16,15
2014-08-17 - 2014-08-23,13
2014-08-24 - 2014-08-30,14
2014-08-31 - 2014-09-06,14
2014-09-07 - 2014-09-13,14
2014-09-14 - 2014-09-20,15
2014-09-21 - 2014-09-27,15
2014-09-28 - 2014-10-04,14
2014-10-05 - 2014-10-11,14
2014-10-12 - 2014-10-18,13
2014-10-19 - 2014-10-25,13
2014-10-26 - 2014-11-01,13
2014-11-02 - 2014-11-08,14
2014-11-09 - 2014-11-15,13
2014-11-16 - 2014-11-22,14
2014-11-23 - 2014-11-29,13
2014-11-30 - 2014-12-06,13
2014-12-07 - 2014-12-13,13
2014-12-14 - 2014-12-20,12
2014-12-21 - 2014-12-27,13
2014-12-28 - 2015-01-03,13
2015-01-04 - 2015-01-10,13
2015-01-11 - 2015-01-17,13
2015-01-18 - 2015-01-24,13
2015-01-25 - 2015-01-31,12
2015-02-01 - 2015-02-07,13
2015-02-08 - 2015-02-14,13
2015-02-15 - 2015-02-21,12
2015-02-22 - 2015-02-28,12
2015-03-01 - 2015-03-07,12
2015-03-08 - 2015-03-14,13
2015-03-15 - 2015-03-21,13
2015-03-22 - 2015-03-28,12
2015-03-29 - 2015-04-04,12
2015-04-05 - 2015-04-11,12
2015-04-12 - 2015-04-18,13
2015-04-19 - 2015-04-25,13
2015-04-26 - 2015-05-02,13
2015-05-03 - 2015-05-09,17
2015-05-10 - 2015-05-16,16
2015-05-17 - 2015-05-23,16
2015-05-24 - 2015-05-30,14
2015-05-31 - 2015-06-06,15
2015-06-07 - 2015-06-13,15
2015-06-14 - 2015-06-20,16
2015-06-21 - 2015-06-27,17
2015-06-28 - 2015-07-04,18
2015-07-05 - 2015-07-11,20
2015-07-12 - 2015-07-18,16
2015-07-19 - 2015-07-25,15
2015-07-26 - 2015-08-01,19


Top sub-regions for miguel
Sub-region,miguel
California,100
Virginia,93
New York,86
Florida,85
Texas,85
Mississippi,84
Georgia,80
Maryland,79
North Carolina,78
New Jersey,76
Rhode Island,76
Delaware,75
South Carolina,74
Nevada,71
Louisiana,71
District of Columbia,71
Alabama,68
New Mexico,63
Illinois,62
Connecticut,61
Arizona,61
Massachusetts,55
Michigan,54
Pennsylvania,52
Tennessee,49
Arkansas,48
Indiana,47
Hawaii,47
Colorado,47
Ohio,46
Kansas,44
Oklahoma,42
Washington,39
Kentucky,39
Missouri,39
Wisconsin,37
Utah,35
Nebraska,34
Oregon,34
Minnesota,30
West Virginia,29
Iowa,29
Alaska,29
Vermont,25
Idaho,25
South Dakota,24
New Hampshire,24
Montana,22
North Dakota,22
Wyoming,19
Maine,16


Top metros for miguel
Metro,miguel
Harlingen-Weslaco-Brownsville-McAllen TX,100
Laredo TX,93
El Paso TX,82
Miami-Ft. Lauderdale FL,81
San Francisco-Oakland-San Jose CA,75
Palm Springs CA,71
Albany GA,71
New York NY,67
Tallahassee FL-Thomasville GA,67
Washington DC (Hagerstown MD),66
Bakersfield CA,64
Los Angeles CA,62
Florence-Myrtle Beach SC,62
Montgomery (Selma) AL,62
Fresno-Visalia CA,60
Augusta GA,59
Jackson MS,59
Houston TX,59
Memphis TN,58
Columbia SC,57
Monterey-Salinas CA,56
Raleigh-Durham (Fayetteville) NC,56
Savannah GA,55
San Diego CA,55
Norfolk-Portsmouth-Newport News VA,54
West Palm Beach-Ft. Pierce FL,54
Las Vegas NV,53
Providence RI-New Bedford MA,52
Greensboro-High Point-Winston Salem NC,52
Atlanta GA,52
Baton Rouge LA,51
Columbus GA,50
San Antonio TX,49
Tucson (Sierra Vista) AZ,49
Philadelphia PA,49
Greenville-New Bern-Washington NC,48
Macon GA,48
Santa Barbara-Santa Maria-San Luis Obispo CA,48
Sacramento-Stockton-Modesto CA,47
Orlando-Daytona Beach-Melbourne FL,47
Baltimore MD,47
Dallas-Ft. Worth TX,46
Corpus Christi TX,46
New Orleans LA,46
Charlotte NC,45
Richmond-Petersburg VA,45
Tampa-St. Petersburg (Sarasota) FL,45
Lafayette LA,45
Shreveport LA,45
Albuquerque-Santa Fe NM,44
Chicago IL,43
Birmingham AL,43
Charleston SC,42
Jacksonville FL,41
Ft. Myers-Naples FL,41
Detroit MI,41
Little Rock-Pine Bluff AR,40
Mobile AL-Pensacola (Ft. Walton Beach) FL,40
Phoenix AZ,39
Milwaukee WI,38
Waco-Temple-Bryan TX,38
South Bend-Elkhart IN,37
Hartford & New Haven CT,37
Huntsville-Decatur (Florence) AL,36
Tyler-Longview(Lufkin & Nacogdoches) TX,36
Reno NV,36
Austin TX,35
Greenville-Spartanburg SC-Asheville NC-Anderson SC,35
Springfield-Holyoke MA,34
Rochester NY,34
Boston MA-Manchester NH,33
Cleveland-Akron (Canton) OH,33
Lansing MI,33
Denver CO,33
Indianapolis IN,33
Nashville TN,32
Honolulu HI,32
Harrisburg-Lancaster-Lebanon-York PA,31
Wichita-Hutchinson KS,31
Cincinnati OH,31
Grand Rapids-Kalamazoo-Battle Creek MI,30
Louisville KY,30
Chattanooga TN,30
Columbus OH,29
Oklahoma City OK,29
Toledo OH,29
Omaha NE,28
Albany-Schenectady-Troy NY,28
Kansas City MO,28
Flint-Saginaw-Bay City MI,28
Tulsa OK,27
Dayton OH,27
Roanoke-Lynchburg VA,27
Champaign & Springfield-Decatur IL,27
Colorado Springs-Pueblo CO,26
St. Louis MO,26
Buffalo NY,26
Seattle-Tacoma WA,26
Wilkes Barre-Scranton PA,25
Portland OR,23
Des Moines-Ames IA,22
Pittsburgh PA,22
Lexington KY,21
Minneapolis-St. Paul MN,21
Spokane WA,21
Salt Lake City UT,20
Knoxville TN,20
Syracuse NY,20
Madison WI,19
Portland-Auburn ME,0
Binghamton NY,0
Ft. Wayne IN,0
Erie PA,0
Burlington VT-Plattsburgh NY,0
Utica NY,0
Tri-Cities TN-VA,0
Youngstown OH,0
Bangor ME,0
Traverse City-Cadillac MI,0
Watertown NY,0
Wilmington NC,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisonburg VA,0
Johnstown-Altoona PA,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Springfield MO,0
Sioux City IA,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Evansville IN,0
Lubbock TX,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Davenport IA-Rock Island-Moline IL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Beaumont-Port Arthur TX,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Quincy IL-Hannibal MO-Keokuk IA,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Eugene OR,0
Eureka CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Medford-Klamath Falls OR,0
Bend OR,0
Chico-Redding CA,0


Top cities for miguel
Town/City,miguel
Milpitas,100
Sterling,94
McAllen,92
El Paso,67
New York,65
Miami,59
Houston,56
Los Angeles,51
Philadelphia,47
San Diego,45
Dallas,45
Las Vegas,44
Charlotte,44
San Antonio,44
Chicago,41



Top searches for miguel
luis miguel,100
sure thing,85
sure thing miguel,85
miguel lyrics,55
miguel y miguel,55
adorn,55
miguel adorn,55
quickie,35
quickie miguel,35
miguel bose,25
j cole,20
beautiful,20
miguel beautiful,20
mariah carey,20
mariah carey beautiful,15
amanda miguel,15
miguel do you,15
miguel cotto,15
cotto,15
san miguel,15
luis miguel y,15
miguel angel,10
adorn miguel lyrics,10
adorn you miguel,10
wale miguel,10
jose jose,10
frank ocean,10
miguel quickie lyrics,10
miguel live,5
girls like you,5
kendrick lamar,5
miguel y raymond,5
miguel gallardo,5
miguel vixen,5
mia y miguel,5
simple things miguel,5
miguel mateos,5
wale ft miguel,5
manny pacquiao,5
alejandro fernandez,5
kelly rowland motivation,5
teach me miguel,5
vicente fernandez,5
miguel jontel,5



Rising searches for miguel
adorn,Breakout
beautiful,Breakout
j cole,Breakout
mariah carey,Breakout
miguel adorn,Breakout
miguel beautiful,Breakout
miguel lyrics,Breakout
quickie,Breakout
quickie miguel,Breakout
sure thing,Breakout



